discid,n,ttitle,extt
ce0d060f,13,You Do Or You Don't,""
ce0d060f,14,Keep Walkin' On,""
d1122610,0,Happy Mondays / W.F.L. (Vince Clarke mix),""
d1122610,1,Stone Roses / Elephant Stone,""
d1122610,2,Charlatans / Indian Rope,""
d1122610,3,Northside / Shall We Take a Trip,""
d1122610,4,Inspiral Carpets / Joe,""
d1122610,5,New Fast Automatic Daffodils / Big,""
d1122610,6,"New Order / True Faith (original 12"" mix)",""
d1122610,7,Paris Angels / Perfume (Loved Up),""
d1122610,8,MC Tunes vs. 808 State / Tunes Splits the Atom (original rap),""
d1122610,9,Happy Mondays / Step On (Stuff It In mix),""
d1122610,10,James / Come Home (extended Flood mix),""
d1122610,11,Mock Turtles / Can You Dig It?,""
d1122610,12,Charlatans / Then,""
d1122610,13,"New Order / Bizarre Love Triangle (original 12"" mix)",""
d1122610,14,808 State / Pacific State (Origin),""
d1122610,15,Stone Roses / Fools Gold,""
d70f7e0e,0,Pride (In the Name of Love),""
d70f7e0e,1,New Year's Day,""
d70f7e0e,2,With Or Without You,""
d70f7e0e,3,I Still Haven't Found What I'm Looking for,""
d70f7e0e,4,Sunday Bloody Sunday,""
d70f7e0e,5,Bad,""
d70f7e0e,6,Where The Streets Have No Name,""
d70f7e0e,7,I Will Follow,""
d70f7e0e,8,The Unforgettable Fire,""
d70f7e0e,9,Sweetest Thing (The Single Mix),""
d70f7e0e,10,Desire,""
d70f7e0e,11,When Love Comes to Town,""
d70f7e0e,12,Angel of Harlem,""
d70f7e0e,13,All I Want Is You,""
e8104710,0,Neneh Cherry / Woman,""
e8104710,1,"Peter Gabriel, Kate Bush / Don't Give Up",""
e8104710,2,Roxette / It Must Have Been Love,""
e8104710,3,Meat Loaf / I'd Do Anything for Love (But I Won't Do That),""
e8104710,4,T'Pau / China in Your Hand,""
e8104710,5,Richard Marx / Right Here Waiting,""
e8104710,6,The Pretenders / I'll Stand by You,""
e8104710,7,Cutting Crew / (I Just) Died in Your Arms,""
e8104710,8,"Paula Abdul / Rush, Rush",""
e8104710,9,Huey Lewis And The News / The Power of Love,""
e8104710,10,Lenny Kravitz / Again,""
e8104710,11,Iggy Pop;  Kate Pierson / Candy,""
e8104710,12,Whitesnake / Is This Love,""
e8104710,13,Beverley Craven / I Miss You,""
e8104710,14,Bill Withers / Ain't No Sunshine,""
e8104710,15,Sinead O'Connor / Nothing Compares 2 U,""
f20f2e10,0,lenny kravitz - rock and roll is dead rock commercial 92  ,""
f20f2e10,1,red hot chili peppers - warped rock alternative 122  ,""
f20f2e10,2,urge overkill - somebody else's body rock alternative 140  ,""
f20f2e10,3,garbage - vow rock alternative 126  ,""
f20f2e10,4,max sharam - laydown rock alternative 92  ,""
f20f2e10,5,regurgitator - track one (explicit lyrics) rock alternative 81  ,""
f20f2e10,6,straw people - trick with a knife pop progressive 110  ,""
f20f2e10,7,wet wet wet - don't want to forgive me now contemporary 138  ,""
f20f2e10,8,peter andre - mysterious girl funk / groove 86  ,""
f20f2e10,9,m people - search for the hero funk / groove 100  ,""
f20f2e10,10,kylie minogue - where is the feeling pop 121  ,""
f20f2e10,11,mokenstef - he's mine r&b 65  ,""
f20f2e10,12,jon b. feat babyface - someone to love r&b 68  ,""
f20f2e10,13,monica - don't take it personal (just one of dem days) r&b 88  ,""
f20f2e10,14,jill sobule - i kissed a girl rock alternative 91  ,""
f20f2e10,15,michael bolton - can i touch you there? contemporary 83   16,""
f20f3510,0,Whispering,""
f20f3510,1,Wang-Wang Blues,""
f20f3510,2,Rhapsody In Blue,""
f20f3510,3,Washboard Blues,""
f20f3510,4,When Day Is Gone,""
f20f3510,5,Way Down Yonder In New Orleans,""
f20f3510,6,Muddy Water,""
f20f3510,7,China Boy,""
f20f3510,8,It's Only A Paper Moon,""
f20f3510,9,Among My Souvenirs,""
f20f3510,10,The Man I Love,""
f20f3510,11,Sugar,""
f20f3510,12,Mississipi Mud,""
f20f3510,13,"I'm Coming, Virginia",""
f20f3510,14,Deep Purple,""
f20f3510,15,Star Dust,""
fa10bb11,0,Think Twice (Celine Dion),""
fa10bb11,1,He's My Baby (Original),""
fa10bb11,2,Destiny (Jennifer Rush),""
fa10bb11,3,From This Moment (Shania Twain),""
fa10bb11,4,Zombie (Cranberries),""
fa10bb11,5,How Do I Live Without You (Lee-Ann Rhymes),""
fa10bb11,6,Man I Feel Like A Women (Shania Twain),""
fa10bb11,7,From A Distance (Bette Midler),""
fa10bb11,8,Ironic (Alanis Morrisette),""
fa10bb11,9,What's Up (Four Non-Blondes),""
fa10bb11,10,"Whatever You Do, Don't Do That (Shania Twain)",""
fa10bb11,11,I Will Always Love You (Whitney Houston),""
fa10bb11,12,I Am I Said (Neil Diamond),""
fa10bb11,13,Crash Boom Bang (Roxette),""
fa10bb11,14,Mary Jane (Alanis Morrisette),""
fa10bb11,15,Tubesnake Boogoe (ZZ Top),""
fa10bb11,16,You (Kunze),""
