abv,beer_name,brew_factory_name,style
5.0,thr3e wise men hoggy style amber,thr3e wise men,belgian ale
6.4,free state thunderhead pale ale,free state brewing company,american pale ale
5.7,four saints potters clay amber ale,four saints brewing company,amber ale
5.1,planetary brewing heliotropic amber,planetary brewing company,amber ale
5.9,booze brothers green eyed amber,booze brothers brewing co,amber ale
4.0,hobbs tavern wakewolfe amber,hobbs tavern brewing company,amber ale
6.3,svaty norbert masopustn 16 naku 345 ovan 12 porter,kl tern pivovar strahov,smoked
5.3,fort barcelona amber ale,llpols i llevats 40 glops 41,amber ale
7.5,catskill devils path ipa,catskill brewery,india pale ale 40 ipa 41
6.1,main street amber ale with ella galaxy,main street brewing 40 bc 41,amber ale
4.6,noble ale works the irisher,noble ale works,irish ale
6.0,sockeye crooked trail harvest ale,sockeye brewing,amber ale
6.7,empirical atomic amber honey hypothesis,empirical brewery,amber ale
5.2,sui 269 k tmav emilka,pivovar u velch 367,dunkel tmav  1 2
6.1,blue owl van dayum 033 sour red ale,blue owl brewing,sour red brown
6.5,molly pitcher imperial red,molly pitcher brewing company,american strong ale
5.1,lake norman outboard amber ale,lake norman brewing company,amber ale
6.1,mike hess station copper ale,mike hess brewing company,amber ale
5.2,sun up armadillo red ale,sun up brewing company 40 sonora brewhouse 41,amber ale
7.0,equinox borealis winter ale,equinox brewing,belgian ale
,prohibition pig dream of the 90s,prohibition pig,amber ale
5.8,earth eagle chillaxico,earth eagle brewings,traditional ale
5.0,basqueland arraun amber ale,mateo bernab,amber ale
4.7,16 mile mile stones batch 1,16 mile brewing company,session ipa
5.5,brew by numbers 1603 red ale mosaic chinook,brew by numbers,amber ale
10.1,thunder canyon morning star imperial red,thunder canyon brewery,american strong ale
6.2,sisyphus hoppy amber,sisyphus brewing,amber ale
5.5,leavenworth nosferatu red ale,fish brewing companyleavenworth beers,english strong ale
,1516 amarillo amber ale,1516 brewing company,amber ale
5.5,baias ambar,baias garagardotegia,amber ale
,black woods forest ale,august schell brewing company,amber ale
7.2,fairhope rescue dog red ale,fairhope brewing company,amber ale
6.7,peak organic the maple collaboration,shipyard brewing company,amber ale
8.0,8 wired c4 double coffee brown ale,renaissance brewing,brown ale
5.6,exit 005 amber ale,cavalier beer,amber ale
9.5,8 wired wild feijoa sour ale 2013,renaissance brewing,sour wild ale
5.0,la virgen jamonera,cervezas la virgen,amber ale
7.0,21st amendment poor richards ale,21st amendment brewery,traditional ale
,horse dragon flagstone copper ale,horse dragon brewing company,amber ale
8.5,big bear lake sidewinder red ale,big bear lake brewing company,amber ale
5.0,fish tale organic amber ale,fish brewing companyleavenworth beers,amber ale
0.5,irv 279 nos dundulio pilstoma gira,irv 279 nos bravoras 40 dundulis 41,low alcohol
5.3,rock bottom milwaukee badger stripe ale,rock bottom milwaukee,amber ale
5.8,okkara rinkusteinur,okkara,amber ale
6.0,acoustic ales rock out with your vienna out,acoustic ales brewing experiment,amber lager vienna
4.2,12th abbey altered amber,12th abbey,amber ale
,5 seasons westside rosebuds milk stout,5 seasons westside,sweet stout
4.5,marks spencer lowland glen amber,harviestoun,amber ale
5.0,albatros bira pilsener,t 14 rk tuborg,pilsener
,blue blood vanessas wheat,blue blood brewing company,wheat ale
9.5,40 512 41 cabernet barrel aged three,40 512 41 brewing company,abbey tripel
8.0,our mutual friend brett and barreled chinook red ale,our mutual friend malt brew,american strong ale
,troubled monk accidental amber,troubled monk,amber ale
5.2,michelob amberbock,anheuserbusch inbev,amber lager vienna
5.5,metropolitan shezmu red lager,metropolitan brewing,amber lager vienna
8.5,northwest peaks double redoubt red,northwest peaks brewery,american strong ale
7.0,boneyard diablo rojo,boneyard beer company,amber ale
,brickstone irish red ale,brickstone restaurant brewery,irish ale
5.0,wolf hollow amber,wolf hollow brewing company,amber ale
,georgia tea party,eagle creek brewing company,amber ale
,508 dorado pampeana,508 gastrobrewery,golden ale blond ale
5.2,agua mala marea roja,cervecera agua mala,amber ale
5.7,sawtooth false summit amber ale,sawtooth brewery,amber ale
5.6,uncle bears head to tale amber,uncle bears brewery,amber ale
5.5,prohibition pig rufous,prohibition pig,amber ale
5.0,brew bus detour series rollin dirty red ale wood aged,cigar city brewing,irish ale
4.0,dugges juldricka,dugges ale porterbryggeri,amber ale
5.2,dry city miracale amber,dry city brew works,amber ale
,atlas pterodactyl deathscream imperial red ipa,atlas brewing company,imperial ipa
5.0,legends of the bay champlain 16152015,midland beer works,amber ale
5.8,ornery occoquan oats,ornery beer company public house,amber ale
7.0,cartel indiana nights imperial american amber,brew link brewing,amber ale
5.2,hill farmstead amarillo single hop pale ale,hill farmstead brewery,american pale ale
9.5,18th street barrel aged hunter,18th street brewery,sweet stout
,courtyard nova convention,the courtyard brewery,amber ale
,pints pub phonebox amber,pints pub brewery freehouse,amber ale
,chatham amber,chatham brewing,amber ale
6.0,grimm brothers ungrateful son,grimm brothers brewhouse,belgian ale
,padre island tailing red amber,padre island brewing company,amber ale
3.9,hereford hops cleary red,hereford hops restaurant brew pub,irish ale
7.3,s t eriks samuel adams transatlantic belgian red strong ale,s t eriks bryggeri 40 galatea 41,belgian strong ale
9.5,bifferhaus wacko swami amber ale,bifferhaus brewing company,american strong ale
5.5,inlet brewing monk in the trunk organic amber ale,thomas creek brewery,amber ale
5.6,dry dock nautilus american red,dry dock brewing co,amber ale
5.0,aotearoa mata brownboy,aotearoa breweries,amber ale
6.0,twains blushing ape oatmeal india red,twains billiards and tap,amber ale
,bills rudys red,bills tavern and brewhouse,irish ale
5.6,asheville thirsty monk sister bad habit,asheville brewing company,amber ale
3.9,cigar city duclaw impey barbicanes moongun,cigar city brewing,amber ale
5.4,flytrap rehders red ale,flytrap brewing,amber ale
5.3,amberweiss wheat beer,kaluzhskaya 40 moskvaefes 41,german hefeweizen
4.3,mash amber,mash brewery 40 hampshire 41,bitter
5.5,10 barrel crosby farms harvest fresh hop ale,10 barrel brewing 40 ab inbev 41,india pale ale 40 ipa 41
6.5,bucks county munich autumn,bucks county brewery,oktoberfest m   rzen
6.3,7venth sun ruby red overhead ipa,7venth sun brewery,india pale ale 40 ipa 41
5.5,santan epicenter amber ale,santan brewing company,amber ale
5.1,paw paw gus meister amber ale,paw paw microbrewery,amber ale
5.0,bandwagon ezra red ale,bandwagon brewpub,irish ale
5.5,broad ripple firecracker red ale,broad ripple brewing co,amber ale
,big spruce ready yer knot regatta red ale,big spruce brewing,amber ale
5.4,gun hill redcoat resistance,gun hill brewing company,amber ale
5.2,little apple rileys red ale,little apple brewing co,amber ale
5.2,sherwood production line red,sherwood brewing company,amber ale
4.0,m r scode 033,m r brewing,bitter
5.2,illawarra rust amber ale,illawarra brewing company,amber ale
7.5,mogala winter ale,joalda,american strong ale
4.0,vizir lucky luke sexy ale,pivovarna vizir,amber ale
5.4,bethlehem brew works rockwell red ale,fegleys brew works,amber ale
8.0,sick n twisted naughty redhead imperial red ale,sick n twisted brewing company,amber ale
6.5,baerlic arctos,baerlic brewing,american strong ale
4.9,fresh chios beer fr skia mp 12 ra chou 40 house ale 41,chios microbrewery,golden ale blond ale
4.5,swamp head parttime lubber,swamp head brewery,amber ale
5.5,blue canoe joes electric bill,blue canoe brewery,amber ale
6.7,manitou tall rev red ale,manitou brewing company,amber ale
,angry minnow redhorse ale,angry minnow,irish ale
5.0,8 wired extra pils,renaissance brewing,pilsener
5.0,colleens finest amber ale,hogs head brewing company,amber ale
4.0,bonneville brewery antelope amber ale,bonneville brewery company,amber ale
6.2,portsmouth amber dandy,portsmouth brewery,amber ale
11.0,backpocket first runnings,backpocket brewing,imperial stout
6.1,i i orange flower amber,i i brewing,amber ale
,40 512 41 mole cream stout,40 512 41 brewing company,sweet stout
4.5,able ebenezer auburn ale,able ebenezer brewing company,amber ale
6.2,10 barrel big black stout,10 barrel brewing 40 ab inbev 41,sweet stout
5.6,borderlands santa rita amber ale,borderlands brewing company,amber ale
5.2,elitch gardens fire roasted amber,wynkoop brewing company,spice herb vegetable
5.7,bad beat ante up amber ale,bad beat brewing,amber ale
5.9,buffalo bayou cedar aged 1836,buffalo bayou brewing,premium bitter esb
5.3,fotm hoosier amber,fire on the mountain brewing co,amber ale
9.5,momentum brewhouse knee highs,momentum brewhouse,american strong ale
7.5,alpha state red simcoe,alpha state,india pale ale 40 ipa 41
,21st amendment larrys last call ale,21st amendment brewery,amber ale
6.0,braindead red,braindead brewing,amber ale
5.8,lompoc saison devolution,lompoc brewing,saison
7.5,milwaukee ale house louies resurrection,milwaukee ale house,amber ale
5.0,mcminnville malthouse scaredman cream ale,mcminnville malthouse,cream ale
5.5,heartland belgian red rooster,greenpoint beer works,amber ale
,rocky mountain spirit hill amber,rocky mountain brewery,amber ale
5.3,rock bottom arlington oatmeal amber ale,rock bottom arlington,amber ale
5.5,rhinelander bad hare red ale,minhas craft brewery,amber ale
,rock bottom des moines mud in your eye red,rock bottom des moines,amber ale
5.5,avalanche treasure mountain pale ale,avalanche brewing company,american pale ale
6.8,pizza boy simcoe samurye,pizza boy brewing,specialty grain
5.0,slow boat knot 51 red ale,slow boat brewery,amber ale
5.7,rock bottom minneapolis mary jane amber ale,rock bottom minneapolis,amber ale
6.2,1912 hoppy amber,1912 brewing company,amber ale
6.8,pinglehead brewers pizza artisans blobde ale,pinglehead brewing co brewers pizza,golden ale blond ale
5.0,big axe amber ale,big axe brewing company,amber ale
5.7,flytrap belgian blonde,flytrap brewing,belgian ale
4.5,suomenlinnan coyet ale,suomenlinnan panimo,bitter
,backyard brew pub rocking red chair,joseph james brewing company,amber ale
6.2,secret engine das saftige,rocky point artisan brewers,amber lager vienna
,crown city arroyo amber ale,crown city brewery,amber ale
5.5,bruuveri coral reef pretty baby,panimoravintola bruuveri,india pale ale 40 ipa 41
5.0,3 rivers delta dark,3 rivers,mild ale
,blackstone sweet tooth,blackstone restaurant brewery,cream ale
6.0,anderson valley boont barl bourbon barrel amber ale,anderson valley brewing company,amber ale
,shoreline region rat red ale,shoreline brewery,irish ale
7.5,broadoak amber jack cider,broadoak cider,cider
5.6,bemidji harvest red ale,bemidji brewing company,amber ale
9.0,t ij columbus,brouwerij t ij,belgian strong ale
5.0,bin saskale prairie grass ale,great western brewing 40 canadian brewing 41,pale lager
5.7,mad beach amberale,mad beach craft brewing company,amber ale
,brew brothers copperopolis,brew brothers 40 reno el dorado casino 41,amber ale
7.1,21st amendment red dwarf,21st amendment brewery,amber ale
5.2,sackets harbor war of 1812 ale,olde saratoga brewing 40 mendocino brewing co 41,amber ale
5.9,rateliers bell de loing ambr e,les r cents teliers,amber ale
,300 suns raspberry red,300 suns brewing,fruit beer
6.8,harmony jacksons joy,harmony brewing company,oktoberfest m   rzen
5.8,weldwerks red,weldwerks brewing co,irish ale
5.5,bare hands nugget amber,bare hands brewery,amber ale
5.2,plattsburgh brewing spitfire red ale,plattsburgh brewing company,amber ale
7.3,dunedin ipa chronicle 8 scottish,dunedin brewery,india pale ale 40 ipa 41
5.0,amsterdam big wheel deluxe amber beer,amsterdam brewing company,amber ale
5.4,tommyknocker mountain city amber ale,tommyknocker brewery,amber ale
3.4,lovibonds henley amber,lovibonds,bitter
9.5,rockaway double curiosity,rockaway brewing company,american strong ale
4.4,ajs ales ruby red,ajs ales,bitter
,lighthouse lumberjack amber ale,lighthouse brewing company 40 usa 41,amber ale
4.7,2 brothers rusty,2 brothers brewery,belgian ale
4.2,3 rivers pilgrims progress,3 rivers,golden ale blond ale
5.4,14th star valor ale,14th star brewing company,amber ale
6.8,baerlic primeval brown ale,baerlic brewing,brown ale
,von jakob red ale,von jakob vineyard brewery,american pale ale
5.8,cornerstone patriot red,cornerstone brewing company,amber ale
5.7,blue mountain beer run pr job,blue mountain brewery,india pale ale 40 ipa 41
5.0,benford summer irish blonde,benford brewing,golden ale blond ale
5.5,brown ales full metal jacket,ashover,american pale ale
5.8,right brain northern hawk owl amber,right brain brewery,amber ale
5.0,draught works shadow caster,draught works brewery,altbier
5.3,former future second story,former future brewing company,amber ale
4.5,audacity wallonia,audacity brew house,saison
4.5,1565 victory lager,l wenbr u munich 40 inbev 41,pale lager
5.5,the beer diviner rudys hammer pale ale,bly hollow brewery,english pale ale
5.9,sornin ambr e 40 biere du sornin 41,les brasseurs du sornin,amber ale
5.8,swamp head lost in time amber ale,swamp head brewery,amber ale
5.0,bad bear amber ale,bad bear brewery,amber ale
5.5,duncans founders 1903 red ale,duncans founders brewery 40 independent breweries nz 41,amber ale
6.5,full sail nugget special red ale,full sail brewing company,amber ale
5.0,william street red sky amber ale,william street beer co,amber ale
6.0,pitchfork cranberry cheer amber,pitchfork brewing company,fruit beer
7.0,arcadia panama red,arcadia brewing company,smoked
5.0,la fabrique salamagone,la fabrique,american pale ale
4.1,small batch a player to be named later,small batch beer company,amber ale
7.8,barley macca meda,birrificio barley,amber ale
6.5,brassta rousse et or,brasseurs du nord,irish ale
13.5,celestial meads odins gift,celestial meads,mead
8.0,kern river dirty hippie imperial red ale,kern river brewing,american strong ale
5.0,minhas lazy mutt alberta red ale,minhas micro brewery calgary,amber ale
,twin peaks ride the hoh 033 red ale,twin peaks brewing and malting company,irish ale
,bear creek log jam amber,bear creek brewing company,amber ale
5.9,new glory rapid fire red ale,new glory craft brewery,amber ale
5.3,i i bitter orange blossom,i i brewing,amber ale
5.1,scuttlebutt amber ale,scuttlebutt brewing co,amber ale
5.2,carlsberg brewmasters collection india pale ale,carlsberg brewery,india pale ale 40 ipa 41
4.5,loch lomond the ale of leven,loch lomond,bitter
4.5,maku amber ale,maku brewing,amber ale
4.2,isle of mull the red monk of iona,oban bay 40 argyll breweries 41,amber ale
5.0,multibrasses buck rousse,multibrasses,amber ale
5.7,aslan alpenglow summer ale,aslan brewing company,golden ale blond ale
4.9,green room ravenous ruby red,green room brewing 40 fl 41,amber ale
7.0,ithaca cascazilla,ithaca beer company,amber ale
,kona aina brown ale,kona brewing company,brown ale
5.8,mountain town cow catcher red ale,mountain town brewing company,amber ale
7.0,ice harbor double red ale fresh hop,ice harbor brewing company,amber ale
5.0,liberator carols speckelbelly amber,liberator brewing,amber ale
7.5,firehouse smokin betty,firehouse brewing company 40 sd 41,smoked
9.0,bjs goliath,bjs restaurant brewhouse,barley wine
5.2,banger rebellion red,banger brewing company,irish ale
5.9,smog city sabre toothed squirrel,smog city brewing,amber ale
5.2,bushnell bofuss amber ale,bushnell craft brewing,amber ale
5.4,wendlandt harry polanco red ale,cervecera wendlandt,amber ale
5.3,blue ridge hiawassee golden ale,blue ridge brewery,golden ale blond ale
5.8,maui brewing hole in the head red,maui brewing company,amber ale
6.5,schoune alsacienne pale ale,ferme brasserie schoune,india pale ale 40 ipa 41
,5 seasons westside jurassic fat lip belgian amber,5 seasons westside,belgian ale
8.7,oskar blues gknight 40 apple whiskey barrel 41,oskar blues brewery,american strong ale
7.0,bells debs red ale,bells brewery,amber ale
6.4,great waters killybegs amber ale,great waters brewing,amber ale
8.0,alpha four horsemen cuve,alpha brewing company,sour wild ale
5.5,atom rare earth,atom,specialty grain
,milwaukee ale house scooter ale,milwaukee ale house,amber ale
6.0,3 ravens bacchus holgate moo brew the congress,3 ravens,smoked
5.2,reads landing capn amber,reads landing brewing company,amber ale
4.6,blue monkey monkey wrench,blue monkey,golden ale blond ale
4.8,carlow oharas starr hill foreign affair,carlow,india pale ale 40 ipa 41
4.8,tapistry amber cadabra,tapistry brewing,amber ale
,flycaster yakima river red,flycaster brewing company,amber ale
3.8,alehouse yet another tick 033,verulam,bitter
4.8,5 rabbit gringolandia series magnifica wheat,5 rabbit cerveceria,wheat ale
5.4,britt chatmalo,britt 40 brasserie de bretagne 41,amber lager vienna
5.7,caleya mayuca amber,cerveza caleya,amber ale
8.2,out of bounds relentless double red ale,out of bounds brewing company,american strong ale
6.8,shubrew heart and sole imperial red ale,shubrew,american strong ale
4.7,beaver island fabulous armadillo session ipa,beaver island brewing company,session ipa
5.6,duck foot red ale,duck foot brewing company,amber ale
6.0,beer works amber chai,beer works,spice herb vegetable
5.0,offshore amber ale,offshore ale company,amber ale
5.3,arbor red dawn american amber,arbor brewing company pub eatery,amber ale
6.6,fall unicorn stampede,fall brewing company,amber ale
6.1,seven arrows maelstrom red,seven arrows brewing company,amber ale
5.5,heartly amber ale lucky rhino,heartly craft brewery,amber ale
11.0,florida orange groves orange blossom honey wine,florida orange groves,mead
9.0,intuition ale works jesses girl,intuition ale works,abt quadrupel
5.1,franklins anacostia ale,brewery general store,amber ale
5.6,lancaster hop buggy amber ale,lancaster brewing co,amber ale
8.5,santa cruz mountain nicky 666,santa cruz mountain brewing,american strong ale
5.0,able ebenezer emma wood pale ale,able ebenezer brewing company,belgian ale
4.0,briarbank cardinale wolsey,briarbank brewing,old ale
5.5,freedom a toast,freedom craft brewery,brown ale
6.0,1933 dry hopped irish red,1933 brewing company,irish ale
6.0,new boswell the hoppit amber ale,new boswell brewing company,amber ale
8.4,dryhop photobomb,dryhop brewers,american strong ale
9.5,eugene city natty red,eugene city brewery rogue ales,american strong ale
5.9,queens head fuggles red ale,queens head 40 uk 41,amber ale
8.0,hillcrest big red balls,hillcrest brewing company,imperial ipa
6.0,arcadia salted caramel amber,arcadia brewing company,amber ale
5.3,bandwagon north by northwest,bandwagon brewpub,amber ale
,barley brothers freedom bridge amber ale,barley brothers brewery and grill,amber ale
9.0,shine down dog imperial red,shine brewing co,american strong ale
6.0,rockslide rabbit ears amber ale,rockslide brew pub,amber ale
4.0,headstrong mulish amber ale,headstrong brewery,amber ale
8.0,spb barrel aged mississippi fire ant,southern prohibition brewery,american strong ale
5.0,the libertine pub manrock brewery amber sour mash,the libertine pub,sour wild ale
6.8,karma amber doll,karma,spice herb vegetable
,american sky curly juniper pale ale,hudson brewing company,american pale ale
6.0,storybook little reds rocking ale,storybook brewing,amber ale
5.2,aftershock red alert,aftershock brewing company,amber ale
8.2,american winter classic,american brewing company,american strong ale
5.5,aarup red bitter ale,aarup bryghus,premium bitter esb
7.2,epic carolina,steam brewing company,amber ale
4.9,10 barrel rude boy rye,10 barrel brewing 40 ab inbev 41,specialty grain
4.4,jg crummers kick arse ale,custom brewcrafters,amber ale
5.3,bootstrap red beerd,bootstrap brewing,irish ale
5.5,pat ohara attitude adjustment,pat ohara brewing company,amber ale
5.0,hilton head calibogue amber,hilton head brewing company,amber ale
6.5,hammond river red coat india red ale,hammond river brewing,amber ale
5.1,los muertos agave maria amber ale,los muertos brewing,amber ale
,denver beer mud bug amber,denver beer company,amber ale
5.5,full sail amber ale,full sail brewing company,amber ale
5.6,upland rad red amber ale,upland brewing company,amber ale
7.0,sarasota brewing ya mills honeymeade ale,sarasota brewing company,amber ale
5.2,funky buddha combat rock,funky buddha brewery,amber ale
11.2,black market holiday 2014 triple black rye ipa,black market brewing company,american strong ale
4.8,aux fous brassant hurluberlue,aux fous brassant,amber ale
8.3,bredalens g rdscider,bredalens g rdsmusteri,cider
5.8,charleston brewing westward gaze,charleston brewing company 40 wv 41,amber ale
5.0,3 sheeps rebel kent the first,3 sheeps brewing company,belgian ale
5.5,bowser winifred red raider ale,bowser brewing company,amber ale
,75th street waldo wallace scotch ale,75th street brewery,scotch ale
5.0,r dan s hillbilly red ale,r dan s bryggeri,amber ale
4.9,plank town lil red ryder ale,plank town brewing company,amber ale
,rockyard blarney rock irish ale,rockyard brewing company,irish ale
5.6,gusswerk aaa austrian amber ale,brauerei gusswerk,amber ale
6.0,titletown toasted oats and molasses brown ale,titletown brewing company,brown ale
5.0,bike rack rusty tricycle,bike rack brewing company,amber ale
4.2,allgates bottoms up,allgates,bitter
7.7,below grade super duty double red ale,below grade brewing llc,american strong ale
5.5,hideout hired gun red,the hideout brewing company,irish ale
,3 guys a beerd happy holidays deicer,3 guys a beerd brewing company,amber ale
5.1,duclaw misfit red,duclaw brewing company,amber ale
7.2,georgetown superchopp,georgetown brewing company,american strong ale
4.6,beaver creek castor mexican amber,beaver creek brewery,amber ale
6.6,boxing cat firecracker imperial red ale,boxing cat brewery,amber ale
4.8,stadtguet amber,stadtguet,amber ale
8.5,the hop garden sunset imperial amber,house of brews,american strong ale
5.0,ironwood st colombanos of bobbio not so red,ironwood brewing co llc,irish ale
8.5,southern star red cockaded ale,southern star brewing company,imperial ipa
6.0,brooksville hot head red ale,brooksville brewing company,amber ale
6.2,bridger roosevelt red ale,bridger brewing,amber ale
7.8,tumbledown imp imperial red ale,tumbledown brewing llc,american strong ale
4.6,blackstone red trail ale,blackstone restaurant brewery,amber ale
5.1,wensky saci american amber ale,wensky beer,amber ale
7.8,de koninck tstbrw 01 imperial red ale,brouwerij de koninck 40 duvelmoortgat 41,american strong ale
8.0,rapscallion blessing,paper city brewery,american strong ale
5.5,minhas fire brew red ale,minhas craft brewery,amber ale
6.1,fat heads autumn brisk amber ale,fat heads brewery saloon,amber ale
,red castle scarlet throne amber ipa,red castle brewery distillery,india pale ale 40 ipa 41
4.5,black iris bleeding heart,black iris,specialty grain
5.6,bravo zulu ember amber ale,bravo zulu brewing,amber ale
5.0,books brews clifford the lil red ale,books brews,amber ale
6.0,st brigids tko amber ale,st brigids brewery,amber ale
4.0,wasatch evolution amber ale,wasatch brewery,amber ale
5.0,cellarmaker schwag,cellarmaker brewing company,brown ale
10.5,dogfish head black and red,dogfish head brewery,spice herb vegetable
4.5,amber summer bock,amber,bitter
9.5,peter bs sum of hours imperial red ale,peter bs brewpub,american strong ale
8.0,figueroa mountain pizza port shark lips imperial red ale,figueroa mountain brewing,american strong ale
,horse heaven hills mustang red,horse heaven hills brewery,amber ale
10.1,de molen pais vree,brouwerij de molen,belgian strong ale
9.7,cherry street the redcoats are cumming,cherry street brewing cooperative,american strong ale
,big nose red ale,big nose brewing,amber ale
5.5,atlas orange is the new red,atlas brewing company,amber ale
6.8,lakeland brewing company damn it,lakeland brewing co old school annex,specialty grain
5.5,prodigal son righteous indignation organic red,prodigal son brewery,amber ale
5.6,kona lavaman red ale,kona brewing company,amber ale
10.6,nebraska ninja gnome 40 inception series 41,nebraska brewing company,spice herb vegetable
8.0,alpine dog howl at the moon imperial red,alpine dog brewery,american strong ale
5.5,seven brides waldo hills ira,seven brides brewing company,india pale ale 40 ipa 41
4.8,firehall stoked ember ale,firehall brewery,amber ale
4.5,glasstown fortescue fishermans ale,glasstown brewing company,american pale ale
5.0,burial quest calumet strawberry rhubarb grisette,burial beer company,saison
4.5,revolutions five towns scary monsters,revolutions,black ipa
6.5,excel my hoppy valentine,excel brewing company,amber ale
6.2,fetching lab round up amber,fetching lab brewery,amber ale
5.8,ore dock good grist,ore dock brewing company,specialty grain
5.5,adnams the alchemist enraptured,adnams,amber ale
4.5,1516 pub brewery may smoked ale,1516 pub brewery,smoked
7.0,off the grid trail blazer red,inland empire brewing,american strong ale
5.2,rogue dry hopped st rogue red ale,rogue ales,amber ale
6.9,ipswich harvest ale,ipswich ale brewery,india pale ale 40 ipa 41
8.0,alley kat dragon series bearded dragon imperial red ipa,alley kat brewing company,imperial ipa
6.0,ragtime tavern atlantic beach amber,ragtime tavern 40 gordon biersch 41,amber ale
7.5,3cross kannibaal,3cross brewing company,amber ale
5.0,mismatch archies red ale,big shed brewing concern,amber ale
5.7,twains river sunset amber,twains billiards and tap,amber ale
,elk grove woodys hophead red,elk grove brewery,amber ale
4.5,amherst ace in the hole pilsner,amherst brewing company,pilsener
5.3,gallo red lager,cerveceria centro americana,amber lager vienna
5.4,big muddy saluki dunkeldog dark amber,big muddy brewing company,amber ale
6.6,shorts proverbial mind spread,shorts brewing company,amber ale
7.5,bear republic smoked prickly pear lager,bear republic brewing company,amber lager vienna
4.3,franciscan well rebel red ale,franciscan well 40 molsoncoors 41,irish ale
6.0,bad weather windvane minnesota red ale,lucid brewing company,amber ale
,tworows jalapeno route 66 amber ale,tworows restaurant brewery,spice herb vegetable
6.7,north mountain octomalt,north mountain brewing company,amber ale
7.0,liquid laundry sleepless in saison,liquid laundry,saison
4.7,noire et blanche brousse willis,brasseur de montr al,specialty grain
5.8,4th street red lager,4th street brewing co,amber lager vienna
3.8,big rock paradox dark light ale,big rock brewery,mild ale
7.8,intuition barrel aged riverside red,intuition ale works,amber ale
5.5,tooborac woodcutters amber ale,tooborac hotel and brewery,amber ale
5.5,outpost mr grain jeans organic amber ale,lakefront brewery,amber ale
5.5,aftershock oatmeal raisin cookie ale,aftershock brewing company,golden ale blond ale
,harbor city mile rock amber ale,sand creek brewing company,amber ale
9.0,cambridge 25th anniversary imperial amber ale,cambridge brewing company,amber ale
4.9,rincon warrior pride red ale,rincon brewery,amber ale
4.8,buffys garnet,buffys,premium bitter esb
7.0,iron springs anne maries amber,iron springs pub and brewery,amber ale
5.5,cigar city french toast brown ale,cigar city brewing,brown ale
6.0,bear republic rebellion ipa 40 05256 41,bear republic brewing company,india pale ale 40 ipa 41
6.5,flossmoor station barrel aged panama limited red ale,flossmoor station restaurant brewery,amber ale
7.5,solemn oath ultrahighfrequency,solemn oath brewery,amber ale
4.6,bear republic speed bump,bear republic brewing company,amber ale
5.6,capitol city amber waves ale,capitol city brewing company,amber ale
5.0,flat tail amber ale,flat tail brewing company,amber ale
6.0,mt head punters special ale,mt head brewing co,irish ale
4.7,blue skye fire engine red,blue skye brewery and eats,amber ale
4.8,hales red menace big amber,hales ales,amber ale
6.1,zaftig heavy hearted amber ale,zaftig brewing company,amber ale
5.3,pacific crest dryhopped red,pacific crest brewing company,amber ale
6.7,secret engine sticke handwerker,rocky point artisan brewers,altbier
4.7,big time dragonfly,big time brewery,american pale ale
,get well amarillo sunrise amber ale,get well,amber ale
5.3,ellicott mills redrum ale,ellicott mills brewing,amber ale
5.3,declaration hardtack copper,declaration brewing,amber ale
5.0,coronado ramblers red,coronado brewing company,irish ale
5.0,mehana volcano red ale,mehana brewing company,amber ale
5.0,corfu beer red ale special,corfu beer,amber ale
5.7,38 state titan rock red,38 state brewing company,amber ale
6.9,denver beer 545 summit sunrise,denver beer company,amber ale
6.0,yolo assemblyman red ipa,yolo brewing company,india pale ale 40 ipa 41
9.5,natty greenes double ought buck double amber,natty greenes pub brewing company,amber ale
,ambereck 12 kanec imperial stout,pivovar amberk,imperial stout
,arvada butter pecan brown,arvada beer company,brown ale
5.5,innovation phat chance amber,innovation brewing,amber ale
1.9,allersheimer blue moon,brauerei allersheim,spice herb vegetable
4.9,malm point reyes amber,malm brygghus,amber ale
4.6,malm ruby soho red ale,malm brygghus,amber ale
5.2,hillbilly wisconsin amber ale,maiden wines llc,amber ale
8.2,barley creek expedition strong ale,barley creek brewing co,american strong ale
6.0,bull city fullsteam triangle collabeeration trinity,bull city burger and brewery,spice herb vegetable
6.0,gull dam american amber ale,gull dam brewing,amber ale
4.5,fullers traitors gate,fullers,bitter
7.1,hoppy ruby slipper ale,hoppy brewing company,amber ale
9.0,acoustic ales surly mosh pit,acoustic ales brewing experiment,american strong ale
4.8,13 virtues saisonnalisa,13 virtues brewing company,saison
,barley mill brewing redtail ale,barley mill brewing co 40 malt house brewing co 41,altbier
5.0,bristol mass transit ale,bristol brewing company,amber ale
4.6,deschutes commuter amber ale,deschutes brewery,amber ale
5.5,south fork nerdy girl amber,south fork brewing company,amber ale
6.0,garage project pan pacific,garage project,amber ale
6.2,black oak love fuzz,black oak brewing,amber ale
5.0,railyard firemans red,railyard brewing company,irish ale
,stoneyard rippers red ale,custom brewcrafters,amber ale
5.7,tram k american pale ale 14,minipivovar tram k,american pale ale
,tustin dog ditch amber,tustin brewing company,amber ale
4.9,negev amber ale,negev brewery,amber ale
6.0,wild ride 3 sisters american red ale,wild ride brewing,amber ale
4.7,moncada notting hill amber,moncada,amber ale
5.9,tricksters inspector stonewalls amber ale,tricksters brewing company,amber ale
7.0,pigskin legendary amber,pigskin brewing company,amber ale
6.5,levrette bio,brunehaut,amber ale
