"formerCallsign"
"KFTI (2001–2010)"
"KMML (1983–1993)"
"KPHT (1995–1999)"
"KLGO (2014–2017)"
"WLSB (1958–2013)"
"1993-1997: WBOB"
"WFBE (1924–1935)"
"DWLS(1992-2007)"
"WFMG (1960-1971)"
"KSET-FM (1962-1966, 1969-1986)"
"1993)"
"1992)"
"KFME-FM (2001-2004)"
"CJLB (1980-2005)"
"KZOC (1982&ndash;1995)"
"XEBD-AM"
"KJJO (1981–1995)"
"KTID (1989–90)"
"WDDV (2020, unused on air)"
"KMQA (1993-1996)"
"KENT (2001-2002)"
"WPRG(1979–1982)"
"WJKI (1989-1998)"
"WEAZ (1981–89)"
"KSDL (construction permit)KFIM (1978-1987)"
"WFMB (1957&ndash;1964)"
"KMGX (1982–1989)"
"KYTE (1956–1962)"
"WZZS (1992-2019)"
"WMDR (1984-1993)"
"01)"
"WBEC-FM (1979–2006)"
"WNOC (1946–1949)"
"KSZZ (1995–2001)"
"5MMM"
"WMAI-FM (1965–1973)"
"KDVE (1995-1997)"
"KTFS (1996-2014)"
"KZNO (2014-2015)"
"KFLZ (1980-2005)"
"WBAV (1922&ndash;1925)"
"WOHZ"
"WWRT (1983–1990)"
"KITA (CP, 1975–1977)"
"KBUH-FM (1972-1984)"
"WGMI (unlicensed)"
"KDYL-FM (1947-1959)"
"WNMR (1963-1975)"
"WHKK-LP (2010-2012)"
"KBGG-FM (2003–2004)"
"KMZK (2011-present)"
"KZTS (2009-2018)"
"WCGJ (2011-2014)"
"KFXD-FM (1975-1998)"
"KFBB (1922-1969)"
"WIBT (2004-2011)"
"WRTP (1986-2005)"
"KQEG (1989-2020)"
"WUVA (1979-2017)"
"KBSN-FM (1989-1984)"
"KSON (2009&ndash;2017)"
"WXNU (1995-1997)"
"WZJX (1992-1994)"
"WFEX (1999–2012)"
"WLRS (2013–2016)"
"WAAP (1999)"
"KQCS (2004-2014)"
"KBNO (2000-2001)"
"KEGY (2017&ndash;2018)"
"WMJQ (1987&ndash;2000)"
"KQXA (CP; 1991–1993)"
"KDZA-FM (1993-2018)"
"71)"
"K2K Radio, K to K Radio"
"WSHN-FM (1971-2005)"
"KFUN-FM (1973-1980)"
"WTMM (1997-2007)"
"WZXI (1978-1987)"
"KTWN-FM (2012–2017)"
"WKTZ-FM (2015-Present)"
"KICR (1968-1984)"
"KMBH-FM (1989–2015)"
"KERE (1986-1996)"
"KENO-FM (1966-1982)"
"KZLN-FM (1989-2004)"
"KIAJ (1981)"
"WRTM (1968-1986)"
"KNLT (2009-2012)"
"WFJY (1988-1989)"
"WRLT (October 4, 1988-March 2, 1990)"
"WNML-FM (1997–1998)"
"WIQB (1975–1992)"
"DKMUL-FM(1993-1980)"
"KATZ-FM (1988-1995)"
"WVZA (1991-2009)"
"KKPW (1986–1988)"
"WIXZ (1969–1998)"
"KPRZ (1980&ndash;84)"
"WZEZ (1994)"
"WOLF-AM (1966-1968)"
"KKRK (1999-2013)"
"KZXS (1993–1995)"
"WWRK-FM (1988-2004)"
"WMGR-FM (1967–1971)"
"WPPA-FM (1946-1969)"
"WPFM (1973–1997)"
"WZFR-LP (2002-2010)"
"WBCS (1997-1998)"
"KITT (1958–1981)"
"1995)"
"XEREC-AM"
"KWOM (1989-2004)"
"WINK (1944-1999)"
"WROO (1991-2005)"
"WDAY-FM (1965-2015)"
"KKMO (1987-1997)"
"1998)"
"WHEB-FM (1964–1967)"
"WKIS (1957–1988)"
"91)"
"KYLD (1994–1997)"
"WFEZ (1987-1996)"
"WRPK-LP (2017-Present)"
"WJGR (1987-1989)"
"WKLI (1999-2001)"
"WCPT (1987&ndash;95)"
"WJJZ (2008–2009)"
"KSBT (1995-1996)"
"KRIC (1972–2001)"
"WEMR-FM (1989-1990)"
"WUTS (1972-1979)"
"WNOK (1947-1979)"
"WGSE (1999-1999)"
"KHLB (2004-2005)"
"WATD (2016–2019)"
"WPZE (2001-2009)"
"KCEZ (1987-1999)"
"WAGH (1987-2007)"
"KSNS (1994)"
"KVCK (1957-1989)"
"KYMC"
"WCAH (1922–1934)"
"KDUT (1996-1997)"
"WLOT (1983-1993)"
"KXET (1984–1989)"
"WKZA (1965–1992)"
"WNMR (2000–2003)"
"KXOJ-FM (1977-2016)"
"WTSJ (2006-2010)"
"91)"
"WUSS (2001-2006)"
"WWZB (2001-2002)"
"WGAN-FM (1967–1987)"
"KLLT (2000-2014)"
"WYCA (2001)"
"WKGA (1982–1986)"
"WSAY (1989-2003)"
"KZTS (1991-1992)"
"KBZR, KFRX, KFOR, KWHG"
"WCHN-FM (1961-1983)"
"WSSH (1990–1995)"
"KDEE (1989-1994)"
"KYGO (1988–94)"
"WIJK-FM (1988–1992)"
"KTND (1994–1997)"
"WDAL (1976–1979)"
"XEZAJ-AM"
"KVNG (1991–1993, CP)"
"KRSR (2009-2010)"
"KYBS (1977–1993)"
"WRLX (1989-1991)"
"WGSY (2018-2020)"
"WLBG (1926–32)"
"WKBQ-FM (1994–97)"
"KYRK (1993-1999)"
"WRJM (1948–1953)"
"KBIS (2001–2005)"
"WKOP (1992-2002)"
"WVTS (2001-2010)"
"1992)"
"WGTK (1984-1984)"
"1994"
"WMNB (April 14–May 2, 2006)"
"WCAU (1922–90)"
"KKMR (1999-2002)"
"WKXI-FM (1978)"
"KADI-FM (1975–78)"
"WRCI (1989-2000)"
"KQLL (1990-2001)"
"WRLX (1970–1981)"
"KBZG (1998–1999)"
"KZBS (2004-2005)"
"KQUY (1979-1980)"
"WGHT (1987–1989)"
"WQCR (1972–1990)"
"Gleneden Beach:"
"WUPQ"
"WAMG (1999&ndash;2003)"
"KBRG (May–November 1960)"
"WXZR-LP (2015-Present)"
"WSTG (1995-1997)"
"KFAY-FM (1964-1970)KKEG (1970-2009)"
"WNTW (2004-2013)"
"KYTX-FM (1979–1983)"
"WXBX (1990–93)"
"KQOL (2007-2009)"
"CHFI (1962&ndash;71)"
"CISV (1980-1987)"
"WPPT (2005-2012)"
"WXLN (1979&ndash;90)"
"WIIN (1978–1988)"
"KZZR (1984–2010)"
"WEZB (1950–1959)"
"WOGY (2006)"
"KQXK (1980-1994)"
"WSSH (1996–2001)"
"KSUR (2017&ndash;20)"
"KCKK (1985-1992)"
"KBNG (1984-1985)"
"WGLY (1976-1984)"
"KLTO (1998–2004)"
"WNJR (2002–present)"
"DZFM (1947-1987)"
"WMKM (September 21, 1981-March 19, 1985, CP)"
"KSCR (1979-1984)"
"98)"
"WCOH-FM (1948-1985)"
"KLNB"
"WAHC (1993-1997)"
"WZOW (1977-2006)"
"KXOA (1945–1971)"
"WOGY (1993)"
"KTAR-FM (1960–1973)"
"2007, CP)"
"WFGL (1967–1991)"
"KGCQ (2011-2012)"
"WUHN (1971&ndash;?)"
"KCRE (1979–1981)"
"WAVN (1989-1996)"
"KZTQ (2004-2011)"
"WTRF (1972-1984)"
"KRKZ (2011-2012)"
"WWTE (1994-1996)"
"KABC (1931–54)"
"KVMX (2011-2016)"
"XEMX-AM (1934-1960s or 1970s)"
"WBZL (1987-1992)"
"CHZZ-FM (1980s)"
"WBCD (1994-2002)"
"WFFC (1987–2017)"
"WEZR (1989-1999)"
"KGMR-FM (1969-1979)"
"WMYF (1982–1998)"
"WOMI-FM (1948-1975)"
"KTHO-FM (1966-1990)"
"WMJA (1984-1990)"
"KGNG (1985–1993)"
"WICE (1952–1983)"
"WAZY (1959-1982)"
"KIEZ (1986–1989)"
"WBHB-FM (2005-2008)"
"WGIA (1983-2000)"
"KYDZ (2003-2009)"
"WHGT (1993–2005)"
"WFYN-FM (1967-1986)"
"WWNT (1979-2014)"
"KTCB (1984-2008)"
"KAYZ (1979-1993)"
"XHTIM-FM"
"KAVD (1997-2010)"
"KAPT (1961-1972)"
"WRIK (1982-1987)"
"KZRK (1987–1989)"
"WZPC (1996&ndash;2001)"
"KSOX-FM (1981-1999)"
"WMMA (2002–2016)"
"WSEN (1930&ndash;34)"
"KWBI-FM (1971-2000)"
"KVAN (1960-1980)"
"WFXE-FM(1978-?)"
"WTAQ:"
"KMOW (August 20—October 15, 2015)"
"WONF (CP, 1967-1971)"
"WPRW (1997–1999)"
"KTCJ (1984–1997)"
"WAIU (1925&ndash;1936)"
"KGKB (1928-1965)"
"KXEM (2000–2000)"
"DWOK (1984–1986)"
"WKXW (1980–1981)"
"86)"
"KPRS-FM (1963-October 15, 1974)"
"WIVY (1948–1976)"
"WFNQ (1994-1996)"
"KEWS (1996–1997)"
"WDMS (1962–1968)"
"WTWT (1948–1951)"
"WMSH (1989-2009)"
"WJBL (1925-1939)"
"WFBX (2008–2017)"
"KVAO"
"WIXI (1986-1996)"
"WSJZ (1999-2000)"
"CKCI (1995-2002)"
"KZZU(1985-1987)"
"WLEC-FM (1959–80)"
"WESA (1947–2000)"
"1990)"
"WVMX (1988–89)"
"WKSJ (1972-1973)"
"KHTL (1995–2000)"
"WCEI"
"WWVV (1994)"
"KRQR (1982–1996)"
"KVAL (2008–2015)"
"WVTR (1963–1966)"
"WICE (2000–2001)"
"WAYE (1955–1984)"
"KOTE (1983–1987)"
"KFUT (2007–13)"
"WIVI-FM (1964-1987)"
"WICE (1985–1995)"
"KFXB (1991-1993)"
"WWII (1985–2011)"
"WJLT-FM (1988–1990)"
"WEZR (1968–1985)"
"80)"
"WSPL (?-1996)"
"KNCI (1992–94)"
"WDFH (1992-2013)"
"WVRV (1994–2006)"
"WLSN (1982–1999)"
"AM:"
"WDNT (2006–2019)"
"KELZ-FM (2003-2006)"
"WTZN-FM (2007)"
"WJEV-LP (2014-Present)"
"KBLN (1999-2001)"
"WWWJ (1975&ndash;88)"
"WEAZ (1989-1993)"
"WMVM (1990-1998)"
"WWSG (1993-2002)"
"WNTM (2004–2005)"
"WAIB (1995-2010)"
"05)"
"WFQR"
"WKBN-FM (1947–1999)"
"WYAS(2007-2009)"
"WVNZ (1999)"
"WHTK-FM (1994)"
"WQZN (1987–1988)"
"KSSA-FM (1988-1993)"
"Hunter TV (2014-2020)"
"WRJQ (1981-1982)"
"KDAB (July 15, 2013—June 7, 2015)"
"KCHQ (1999-2001)"
"KTWK (Mar.-Dec. 2000)"
"KIKN (1970-1984)"
"WUDZ (1979–2000)"
"KLWT (1946–1947)"
"WMUF-FM (1991-1997)"
"KSVA (1989-1999)"
"WDJO (1985–1990)"
"KRSA-FM (1964-1973)"
"KAYK (1983-1988)"
"WKRZ (1980-1987)"
"KFAN (1991-1991)"
"KVAA"
"WQSX (1999–2005)"
"KBMG (1987–2000)"
"WLRO (1988-1990)"
"WPGS (1986-2009)"
"KBFN (1989–1990)"
"WOCT (1994–2002)"
"KXIT-FM (1966-2008)"
"WBBF (1953–98)"
"WBIM (1972-1979)"
"KSEA (1975-91)"
"WCGX, WGZM"
"WXMM (2011-2013)"
"KKCB (1988–1992)"
"WQRH (1973)"
"KPSD (1960–1962)"
"KRYL (1989-1999)"
"OCZ-4T FM (Lima)"
"KLDE (2000–06)"
"WIXO (1979-1981)"
"08)"
"KANG (1997-1998)"
"08)"
"WOW-FM (1961–1971)"
"WAHT (1968–1993)"
"KZAM (1985-1990)"
"WZVS-FM (1978-1981)"
"KSAQ (1984–1993)"
"WWLA (until 1976)"
"KMYZ (1980-1984)"
"WZNN (2004–2006)"
"KABS (1983-1987)"
"KFZO (2004–2012)"
"WHJX (2013–15)"
"WTXM-FM (2000-2005)"
"WROC-FM (1961–75)"
"WKXI (1971-1978)"
"WIIT (?-1993)"
"KDMI (1994–2001)"
"WDYX (1964-1986)"
"KATG (1989–92)"
"2002)"
"90)"
"WEVE 1948-1998"
"KPIX-FM (1994–97)"
"1979)"
"KJOI (1990–1997)"
"WCFF (2005-2015)"
"WGMA (1982–2012)"
"1957-1974)"
"WMBG (1927–1966)"
"2011)"
"KVLV-FM (1966-2011)"
"WXDR (1976-1992)"
"WMYB (1954–1982)"
"WPDQ (1942–1975)"
"WORL (1935–49; 1950–66)"
"KWKD (2000-2003)"
"DYOO (1957-1972)"
"WLEG (2002-2014)"
"WGBZ (2011-2012)"
"WELP (March 4, 1951-December 20, 1992)"
"WBHN (1967-Present)"
"WWKS (1960-1995)"
"WJFR (1976-1982)"
"KRYN(1987-1988)"
"WNMB (1972-2000)"
"WCOG (1986-1992)"
"XWA (1919-1921)"
"KARK (1931-1972)"
"WDOT (1993-1994)"
"KTDO (1994-2000)"
"KGTR (1991-1993)"
"KKHG (January 18—April 12, 2016)"
"WGLO (1974-1979)"
"KSMJ (1985-1995)"
"KXGR (1975-1981)"
"WNBW (1990-1990)"
"WDJC (2002–2004)"
"WXLF (1989-1990)"
"WDHP (1973–1990)"
"CJBQ-FM (1962-1978)"
"KASC (1966–1975)"
"KBKO-FM (2008)"
"KRNO (1989-1990)"
"KLEC (1972–1976)"
"WCLW-FM (1962–78)"
"1997)"
"KBLQ(1954-1988)"
"WWPB-FM (1948–70)"
"KCFR (1970–2001)"
"KQJZ (1998–2000)"
"WDRV (2000–2001)"
"WYGV (January 21, 2000–March 21, 2003)"
"WCST"
"WMMA (1958)"
"KIMN (1995-1995)"
"WRQC (2008-2011)"
"KLQT (2010-2016)"
"WEZR (2007-2020)"
"1980)"
"WYNL (2015-Present)"
"WCCR (1984-2015)"
"WYYN (1988–1990)"
"KABD (1994-1996)"
"DZMS (1970-February 2017)"
"WOKR (2015-2017)"
"WKBL-FM (1965-1999)"
"WISQ (1981-1986)"
"2012)"
"WJFP (1995–2021)"
"KTEZ (1972-1993)"
"WNTC-FM (June–October 2021)"
"KHBR-FM (1959-1983)"
"KCRA (1945–1978)"
"KAFY (1986–2000)"
"WGBZ (2000-2007)"
"WPKZ (1989–1997)"
"WBGM (1962–1986)"
"WEXI (1994-2002)"
"KDXX (2012–2016)"
"KSIZ (1991–1998)"
"1989)"
"KLIH (1997–2004)"
"KCJV-LP (2015-Present)"
"KWOF-FM (2002-2008)"
"KWHN (1947-2000)"
"KHIQ (1960–73)"
"KITE-FM (1951–1957)"
"WLZR (2005-2006)"
"1990)"
"WBKC (1969–1986)"
"KANY (2005-2014)"
"KMYZ (1999-2001)"
"WREQ (1998-2009)"
"KAYI (1982–1993)"
"WCHH (2001–2004)"
"Radio Hermann in Raeren, Radio Aktivität"
"WDMT (2002–13)"
"KKUL (1986-1988)"
"WGBI (1925–2005)"
"WGLS"
"WDAK (1991-1994)"
"WOWL-FM (1962-1965)"
"WRGA-FM (1966–1977)"
"KIDD (1991–2021)"
"KAZZ (1986-2012)"
"WRHF (1924–1928)"
"KCDH (1988-1992)"
"WCKJ (1983–1994)"
"WGRG-FM (1975–77)"
"WBEY (1981-1991)"
"WDCS (1995-1996)"
"KXIL (1997-1998)"
"KTOX (1984-1987)"
"WTSZ (2002–2012)"
"WAKM (1966-1980)"
"KLIQ (1988–1991)"
"WMOP-FM (1960–1973)"
"KVI-FM (1976–1981)"
"KCNB (1979-1985)"
"KCLD (1988-1990)"
"WEEW (1961-1983)"
"KKDG (2013-2014)"
"WOOO-FM (1967–1970)"
"WYSK (1994–1996)"
"KQKL (1989–1991)"
"WWWD (1976–1988)"
"WHBP (1925-1929)"
"KRSI-FM (1962–1973)"
"WEIM (1941–2009)"
"WGRT (1984-1990)"
"WCMI-FM (1947-1970)"
"WTCO (1984–1986)"
"WSFM (2011-2013)"
"WSEH (1991-2005)"
"KMGS (2005–2006)"
"KAAP-FM (1976–1982)"
"WYPY (2010–2011)"
"2001)"
"WTOF (1985–88)"
"KQDJ-FM (1982-1993)"
"KSLV-FM (1984-2008)"
"KYZZ (2006-2013)"
"80)"
"WKDW-FM (1992–1996)"
"WAOH (1993)"
"WGOA (1957-1959)"
"WJSS (2000–2014)"
"WLFF (1981-1984)"
"WHRV (1948–1963)"
"WNOS"
"WGAL-FM (1947–1977)"
"WJHU (1979–2002)"
"WSMK (1925-1939)"
"DXJT (2007-2018)"
"KXYQ (1986–94)"
"WVZN (1987-1993)"
"06)"
"KEZF (2014-2018)"
"WTNM (2000-2015)"
"WSKX (2008–2014)"
"KFBL (1922-1934)"
"WFWN (2013-2016)"
"95.9: KDXE (1982-1999)"
"KTCR (2012-2013)"
"WKIS-FM (1950–1971)"
"KQEO (2000–2002)"
"WVIC (2015-2016)"
"KNOT-FM (1978–2005)"
"KTZR (1988–2003)"
"KRSO (1991–1995)"
"WRBN (1990–1993)"
"KHTY (2004–2005)"
"WBML (1940–1978)"
"WCBS (1926-1946)"
"KXJX (1980-1986)"
"WRFX (1995–2002)"
"KLHB (1996–2010)"
"XHUMY-FM (February 11, 1994—May 9, 1996)"
"KVAS (2012-2016)"
"WYND-FM (1988–1989)"
"WGFP (1979–2022)"
"WRRD (1954-1961)"
"WWSW (1988–2000)"
"KGOH (1973-March 4, 1974, never used)"
"Municipal University of Wichita (former name ofWichita State)"
"97)"
"WATL-FM (1966-1968)"
"KRKU (2010-2011)"
"KYJT (1994–2005)"
"KRZQ (2012-2017)"
"WIBC (1938–2007)"
"WASZ (1984-2004)"
"WMFD-FM (1989-1990)"
"WAAA (1950–2006)"
"WNAK (1958-2010)"
"WHHA (1998-1998)"
"KWRD-FM (1997–2000)"
"WSSM (2008-2010)"
"92)"
"WKCM-FM (1990-1990)"
"KCRE (1982–1991)"
"WCJZ (2004–2007)"
"WKST-FM (1988-2000)"
"KSEI-FM (1984–1993)"
"KWSH-FM"
"WLYV (1990&ndash;2019)"
"KRXO (1987-2015)"
"CKOR-FM (1977-1986)"
"KYOD (1999-2011)"
"WKDE (1962-2018)"
"WNOW (1948–1985)"
"WRCP-LP (2002-2003)"
"WOWI-FM (1970&ndash;71)"
"WLLX, WYBM, WEUP-FM"
"KHIS (1977–2001)"
"KONY-FM (1992-2002)"
"KSFQ (1997-2007)"
"WTMI (1971–2001)"
"WYUR (1980-1994)"
"WIQI (1982-1986)"
"KBGN-FM (1961-1970)"
"KMMK (1969-1985)"
"KLDY (1994–1995)"
"1997)"
"KBZB (1982–1993)"
"KANG (1996)"
"WAGM (1932–1981)"
"WJIB (1990–1991)"
"WZBL (2007–2009)"
"WORQ (1984-1987)"
"KSKD (1978–86)"
"WQWM (1984–1993)"
"KJXJ (2007-2018)"
"WJLN (1948-1973)"
"KANS (1963-1997)"
"WBYB (2009–2011)"
"KRQC (1992-1995)"
"WAMP ""The Swamp"""
"WPFB-FM (1959-1985)"
"BBC Home Service"
"KBZK (1997–1999)"
"XHTNA-FM (February–August 2000)"
"WGHT (1973-1975)"
"KZZP-FM (1980-1991)"
"WMBR-FM (1948-1965)"
"WEJM (1994-1997)"
"KSON-FM (1998&ndash;2009)"
"KOAX (1971–1985)"
"WAII (1996)"
"KHIH (1986-1993)"
"KIMA (1944–1969)"
"KPEP (1982-1988)"
"WPHD-FM (1970-1989)"
"WJOL-FM (1960-1974)"
"WSSI-FM (1985-2003)"
"WWAX (1996–2020)"
"KARN-FM (1968-1973)"
"KGHO (1999-2000)"
"KOAM (1937-1981)"
"WJMK (1964–1974)"
"WTNQ (ca. 1974&ndash;1984)"
"CFCT (1925-1941)"
"WXLN (1991-1991)"
"CFDC (1923-1927)"
"CFJC (1926-2001)"
"KVMN (1967–1978)"
"2006)"
"1994, CP)"
"KYNF (2003-2012)"
"WEZO (1988-1990)"
"XEEX-AM"
"KJCY (1983–1989)"
"WCBN (2017–2022)"
"WIDE (1949-2003)"
"KTFM (1969-2003)"
"KSSA (1987-1993)"
"KESE (1990–1995)"
"KOWS (1997-1998)"
"KRBI (1984-2008)"
"KUIR-LP (2003-2003)"
"CFCN (1922-1994)"
"XEKT-AM"
"WEGO (2009–2016)"
"WLDR (2002-2007)"
"KBER (1987-1990)"
"WHTE (1998–2003)"
"KRUZ (1954-1957)"
"WMYM (1985–1992)"
"WRRN (1941–48)"
"2001)"
"KYKN (1980–1983)"
"KFZO (2012-2013)"
"WMIN (1963-1972)"
"WOKV-FM (1991-1993)"
"WTRZ (1976–1979)"
"WSTF (1985-1992)"
"KYNO"
"98)"
"KMMK (1991–1992)"
"WTNR (1987-2000)"
"FM:"
"WGOG (1959-2002)"
"WRMM (1988–1990)"
"KYMN (1964-1967)"
"KPKW (1945–1962)"
"WVYG (1991&ndash;1993)"
"Radio Ndebele"
"85)"
"WAMA (1968-1977)"
"WOQL (2002–2005)"
"WOVE-FM (1966–1969)"
"CHQM (1959-1994)"
"KONN-FM (2008–2009)"
"WCRY-FM (1978–1981)"
"WICT (1996&ndash;97)"
"KAVS (1971–1983)"
"KARU (1991-1995)"
"KRZN (1990-1993)"
"KEWC"
"WVOM (1997–2013)"
"WTFX (1991-2002)"
"WTIX (2009-2018)"
"KDMG (1988-1992)"
"WWEE (1973–1988)"
"WPTP (2000–03)"
"KFAN (1991&ndash;2011)"
"KKWD (2000-2006)"
"KUCU (1991-1994)"
"KABD (2007-2007)"
"KPRE (1950-1990)"
"WWRM (1984-87)"
"KLVM (1988-2018)"
"KEYR (1962-1989)"
"WIOI (1965-1991)"
"WLOL (1994-1999)"
"2017)"
"KWYS-FM (1998-2012)"
"WCOB (1974–1985)"
"WLTQ (1985–2004)"
"WNYR (1965-1988)"
"WTJW (2008-2012)"
"WELT-FM (1985-2008)"
"WDXR-FM (1990-2002)"
"WARI-FM (1968-1976)"
"KAMC (1955-1958)"
"WDOQ (1984-1985)"
"WCTD-LP"
"KDQQ (1981-1982)"
"18)"
"WMAX-FM (2004-2005)"
"WSOC (1930–1960)"
"KMBR (1967–91)"
"WPFC (1990-1990)"
"WINA-FM (1954–1971)"
"KRDY (1999-2000)"
"KMKX (1997-1999)"
"KPTO (2003-2005)"
"KWYD-FM (1973–1989)"
"KVKM (1947-1989)"
"1987)"
"KTLE (1979-1982)"
"KGAM (1980-1981)"
"KLUP (1979-1984)"
"KRBT (1994–1996)"
"KCAT"
"KMOD (1968–1980)"
"WSKS (1987-1993)"
"WDCD-FM (1996-2004)"
"KARR-FM (1964)"
"CBA"
"WFII (1997&ndash;2001)"
"KVEG (1961–1977)"
"WTOB (1947-2015)"
"WRGI (1974-1989, 1990–1994)"
"KZOL (2002-2005)"
"WBL (1921–22)"
"WPHD (1986–88)"
"WZTZ (1986–2006)"
"WJDJ (1985–1998)"
"WYZY (2000-2016)"
"KJBS (1979-1987)"
"KYYS (1974–1998)"
"WEEP (1992-1995)"
"WZUR (2002-2003)"
"KLMF-FM (1979-1982)"
"96)"
"WEZR-FM (2019)"
"KZTS (1997–1998)"
"WWKJ (1996-2001)"
"WVCG-FM (1958-1968)"
"KRWZ (2008–16)"
"WKLJ (1985-1992)"
"WDNJ (1973–1978)"
"WAWL-FM (1987–2008)"
"KJR-FM (2002–2022)"
"WNIX (1954-1957)"
"KSQN (2014–2020)"
"WMLW (1977–1978)"
"KRRK (1981–1986)"
"CJFI (1981-1988)"
"KURR (1996-2004)"
"1992)"
"WATK-FM (1973-1978)"
"WILD (1950–1957)"
"KUCL (1990-1992)"
"WKEA (1998-2001)"
"WHKN (1994-2018)"
"WKKD-FM (1981-2001)"
"WSRO (1958–2002)"
"WTQX (2009–2017)"
"WKAA (1983-1989)"
"WVCV (1998-Present)"
"WLTT (1993-2003)"
"KLSQ (1990–1993)"
"WGCX (1994-1997)"
"1992)"
"WFOV (1984-1984)"
"WGST (1989&ndash;2020)"
"KBKW (1949-1982)"
"WEZV-FM (1991-1998)"
"WACA (1997–2021)"
"WOOB (2006-07)"
"WAIX (2014-2019)"
"WULF (?-1994)"
"KVXN (1965)"
"KYDN (2007–2008)"
"KHIS-FM (19771996)"
"KWSJ (2001-2002)"
"KBHQ (1998-2005)"
"WRDS (1995-2000)"
"WXOT (2005-2006)"
"WYHL (2006)"
"Radio 21 (1983-2004)"
"WCNH-LP (2003-2011)"
"WXBR (2006–2016)"
"WSJG (1991-1991)"
"WVVV (1995–1996)"
"KXOL (1985-1996)"
"KEXX (1980–1985)"
"KHLT-FM (1988-1989)"
"WRUL (1939–1966)"
"KTQN (1984-1990)"
"WIL (1925&ndash;91)"
"WUPE (1979–2006)"
"WJCF (1981-1986)"
"WKIF (2012-2013)"
"WCCZ, WXVE"
"KLVU (1981–84)"
"WBNU (2003-2007)"
"WAFS (1989&ndash;2004)"
"KMHO (2008-2012, CP)"
"WYDH (1991-2004)"
"WIST (2005-2012)"
"KMOT-FM (1967–1978)"
"KNET-FM (1996-1998)"
"WVWC (1968-2975)"
"WUSX (2005–2010)"
"DKELP (July 12, 2006-February 15, 2008)"
"WMUZ (1958-2017)"
"KMRR (1999-2001)"
"WNOR-FM (1962–2002)"
"KBAT (1962–72)"
"KEYJ (1987-1993)"
"WHGB (2006–2007)"
"2009)"
"WTBC-FM (1958-1969)"
"WSRZ (1979–84)"
"WZMP (2015–17)"
"KAPX (1971-1977)"
"WNNW (1988–2002)"
"WJPC (1973-1994)"
"KYRE (1983-1995)"
"KJOK (1997–2009)"
"WKLN (1967-1982)"
"KIEL (1976-1978)"
"KFMB-FM (1959–2020)"
"WGVN (2008-2012)"
"WKXU (2004–2010)"
"WTPN (1999–2001)"
"WHIM (2010–2018)"
"WZZM-FM (1991-2001, Corinth)"
"WMTS-FM (1963&ndash;1977)"
"WRJR (2001–2004)"
"KRGO (1989-1995)"
"WINN (1984-1988)"
"KGDP-FM (2003–2006)"
"WANS-FM (1963-1991)"
"WZEZ (1995-2000)"
"WHPK-FM (1968-2016)"
"KLOD (1999–2005)"
"WFMR (1983-2000)"
"KANM: KLGQ (2005-2012)"
"KFLY-FM (1966-1979)"
"KKRE (1986-1989)"
"WTHQ (1992–2002)"
"WGSB (1961-1980)"
"KSEL (1947-1987)"
"KKTZ (1999-2014)"
"KZRK (1995&ndash;2002)"
"KCUE-FM (1965-1981)"
"WLOV-FM (1970–1984)"
"XECX-AM"
"2015)"
"KOOO (1999-2002)"
"KXCD (2000-2003)"
"95)"
"KNLT (1970-1974)"
"WKBZ (1926–1999)"
"WOSH-FM (1975–1984)"
"KSPR (1948–1959)"
"WFLP (1992-1993)"
"KIHX-FM (1985–1994)"
"WMGO-FM (1997-2003)"
"2016)"
"KBIQ (1954-1963)"
"WMLX (1981–1985)"
"WMUS-FM (1979–2005)"
"WPLC (1989–1994)"
"WBCY (1978–89)"
"WXLV (1983-2013)"
"KPOL (1952&ndash;1979)"
"WRQR (2011-2020)"
"KQNM (1975-1996)"
"KHYT (1987–88)"
"WCAT-FM (1989–2002)"
"DXKE"
"WBRE-FM (1988-1989)"
"WMPS (1983-1998)"
"KMWC (1989–1991, CP)"
"WQCW (1983–1986)"
"WDNY-FM (1992-2013)"
"WSZE (February 2001)"
"WDEK (1976-2008)"
"WBOB-FM (2007-2012)"
"WLIC (1989-Present)"
"93)"
"KAYY (1979–1992)"
"WXOR (1973-1984)"
"WZRH (2015-2017)"
"WFLN (2004-2020)"
"WFAW-FM (1959–1981)"
"KEZU (1959-1971)"
"WZOU (1993–2001)"
"KFSD (1961)"
"WRPL (1964-1979)"
"KINF (2011-2013)"
"WBAX (1922-2018)"
"WBMS (1946–1951)"
"WJZV (2000-2006)"
"RMC (1981-2001)"
"WAWV (1986-2001)"
"67)"
"WRC (1923–84)"
"* 4IP (1989–1992)"
"WHTB (1945-1959)"
"KLWG (1987-1988, CP)"
"KSAY (1957-1974)"
"WPLZ-FM (2001)"
"WIQR (1981-1988)"
"91)"
"KLTI-FM (1997-2014)"
"WLUN (1983-1997)"
"WNOK (1980-1988)"
"KTYD (1973)"
"WAFL (1980-1982)"
"KGLL (1991-2002)"
"KZZD (2014-2016)"
"KRCQ (1990-1993)"
"KKPL(1985–1989)"
"KVVA (1982–1996)"
"KYBI (1996-2005)"
"KATM (1984–1986)"
"WFDV (1929–1934)"
"WCNL (1990–1998)"
"KSWN(1982-1990)"
"KRTV (1954–1957)"
"KAGR (1994–1997)"
"KEWI (1992-2015)"
"WODY (?-1993)"
"WUSQ (1982–1986)"
"WCLX (1978&ndash;91)"
