"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"* Phenacoptygma kiiense (Kuroda, 1931)"
"* Dolichoprosopus leuciscus (Pascoe, 1866)"
"*Eristalis lugubris Zetterstedt, 1838"
"*Amblyseius cucumeris( (Oudemans) Athias-Henriot)"
"* Lyauteya (Maire 1919)"
"*Eriphia quinquepunctata (Forbes, 1931)"
"Індура"
"*Haballia mandela"
"Kashia Sadat"
"* Austrocylichna lagena Burn, 1978"
"*Edema fuscescens (Walker, 1855)"
"* Dirphya nigricornis (Olivier, 1795)"
"Beautiful Theatrical Play"
"Kramatorsk"
"Thopha nigricans Distant"
"* Desmodium elegans (Lour.) Benth., 1861"
"* Symphyletes vicarius (Pascoe, 1865)"
"* Ochrobactrum pecoris (Kämpfer et al. 2011)"
"Fly River Province"
"*Microxena (Warren, 1897)"
"*Lucilia viridescens (Robineau-Desvoidy, 1830)"
"*Cyphoma robustior (Bayer, 1941)"
"* Pyrgulina connexa (Dautzenberg, 1912)"
"* Annamanum thoracicum sinicum (Gressitt, 1951)"
"* Cratocentrus auropilosus Cameron, 1911"
"*Hesperia netopha (Hewitson, 1878)"
"*Lotomyia (Lioy, 1864)"
"* Phaeovulum (Suresh et al. 2020)"
"*Eucosma trophiodes (Meyrick, 1908)"
"*Thelphusa dentata (Latreille, 1825)"
"* Sticholotis rufoplagiatus (Bielawski, 1960)"
"Ghuar Mota, Guher Moti"
"Panagallu, Panugal"
"*Noctua nexa"
"Klonowa Commune"
"Stereum frustulatum (Pers.)Fr.(1838)"
"* Scabricola (Swainsonia) ocellata ocellata (Swainson, 1831)"
"* Nerita exarataPfeiffer, 1840"
"* Conus (Stephanoconus) (Mörch, 1852)"
"Parezzago"
"* Nemophas rosenbergi (Ritsema, 1881) (misspelling)"
"*Evergestis mimounalis distinctalis (Rungs, 1975)"
"*Hercyna andereggialis (Herrich-Schaffer, 1851)"
"*Pseudoprionopeltis (Australopeltis) (Johns, 1964)"
"Omphalotukaia hajimeana (Yoshida, 1948)"
"* Joesse sanguinolenta (Thomson) Gemminger & Harold, 1873)"
"* Neritina auriculata (Lamarck, 1816) (original combination)"
"Qadesh"
"Trichotropis kelseyi (Dall, 1908)"
"*Oligostigma obscuralis (Grote, 1881)"
"Tolong"
"* Colubraria brazieri (Angas, 1869)"
"Boletus leguei (Boud., 1894)"
"* Aganope macrophylla (Miq.)"
"*Ochthocloa (Edgew.), alternate spelling"
"Lyria (Indolyria) michardi (Bail, 2009)· accepted, alternate representation"
"* Boltenia beringi (Dall, 1872)"
"Lanang"
"*Nasusina irremorata (Dyar, 1923)"
"Conasprella (Fusiconus) (da Motta, 1991) represented as Conasprella (Thiele, 1929)"
"* Globiceps cruciatus Reuter, 1879"
"Gorenje Pijavško (until 1990)"
"Bjelland og Grindheim"
"*Protoceratophya (Hull, 1949)"
"Шонжы"
"Apelocera (Chevrolat, 1862)"
"* Natica (Natica) vittata textilis (Reeve, 1855)"
"*Leucania dactylidis (Boisduval, 1840)"
"Notosetia ghanensis (Rolán & Ryall, 2000)"
"Stereum purpureum"
"*Euproctis bigutta Walker, 1855"
"* Anybostheta quedenfeldti (Duvivier, 1892)"
"Acmaea semirubida (Dall, 1914)"
"Panaeolus castaneifolius"
"* Lomanotus berghi Graeffe, 1902"
"Lernaea pectoralis (Müller, 1776)"
"* Pseudobrachiaria (Launert)"
"Beit Jibrin Camp"
"*Trichosilia"
"*Polyporus decipiens (Berk.) Lloyd (1915)"
"* Bridouxiana rotundata Smith[orth. error]"
"Попенки (Russian)"
"*Ischiopsopha coerulea"
"Nios"
"Streptoverticillium luteoreticuli"
"Martinci"
"*Witlesia silacealis (Amsel, 1951)"
"*Mordella pseudobrachyura (Franciscolo, 1949)"
"* Echineulima tokiokai ( Habe, 1952 )"
"*Calotermes dilatatus (Bugnion & Popoff, 1910)"
"*Rhyacia sareptana"
"*Diatraea ochrileucalis (Hampson, 1919)"
"Kālāigaon"
"* Caecula pantherina (Cadenat, 1956)"
"Argomycetella (Syd.(1922)"
"*Plusia aurata"
"Loganton No. 345 (1909–1934)"
"*Cryptolechia roseomarginella (Busck, 1911)"
"*Rhinacosmus Kraatz, 1895"
"* Ophiochitonidae (Matsumoto, 1915)"
"*H. pseudalhagi (M.Bieb.)"
"Syrphus subcoleoptratus (Fabricius, 1775 non Linnaeus, 1767)"
"*Eudorea petrophila confusella (La Harpe, 1863)"
"*Gelechia galbanella var. griseella (Caradja, 1920)"
"Swingsiella fulva,"
"Atelopodomorpha (but see text)"
"Hertleinella leucostephes (Berry, 1958)"
"Krasnystaw Commune"
"*Leucania niphadopa (Meyrick, 1899)"
"*Leucopardus tigrinus (Hampson, 1894)"
"* Oncideres defectiofasciata (Gilmour, 1950)"
"*Aeromachus plumbeolus"
"*Phalaena palpalis (Fabricius, 1775)"
"Дьаарыла"
"* Glossaulax aulacoglossa (Pilsbry & Vanatta, 1909)"
"Straža Svetega Valentina (until 1955)"
"*Perisomena derosata (Schawerda, 1914)"
"* Oliva galeola (Duclos, 1840)"
"*Rhaphium discolor  Zetterstedt 1838"
"*Epagoge probolias (Meyrick, 1907)"
"*Coenonympha phryne"
"* Stenostola fuscipes (Say) Haldeman, 1847)"
"Mapolomyia (Verbeke, 1960)"
"Parapedobacter compostus"
"* Chemnitzia trifida (Totten, 1834)"
"* Stiliger amphibius (Allman, 1845)"
"Santo Domingo de Soriano"
"*Botys concinnalis (Möschler, 1890)"
"Bansada, Bansda"
"Typhis (Typhinellus) tosaensis (Azuma, 1960)"
"*Porcellana sayii (Gray, 1831)[misspelling]"
"*Papilio hippolyte (Esper, 1783)"
"Makar"
"*Stenia phaeospilalis (Hampson, 1907)"
"Chhattiana"
"*Carolella medioxima (Razowski, 1986)"
"Simariya"
"*Mompha calcarata"
"Risella alta (Tate, 1894)"
"* Purpura (Ricinula) martiniana (Anton, 1839)"
"*Marsupiaria (Hoehne)"
"Oleszyce Commune"
"*Nephopterix reductella (Walker, 1863)"
"*Theila (C. Swinhoe, 1900)"
"Erebia alpestris (Warren, 1936)"
"*Croesia sulfureana (Clemens, 1860)"
"mankoungyaunt"
"*Boletus indecorus (Massee (1914)"
"*Paratype discalis (Draudt, 1919)"
"* Nupserha elongata m. rufifrons (Breuning, 1964)"
"*Hypogryphia amictodes (Turner, 1947)"
"Dysedrognathus (Taylor, 1968)"
"Cancellaria melanostoma Sowerby, 1849"
"Kalingapatana (କଳିଙ୍ଗପାଟଣା) (Odia)"
"*Noctua trifida (Fischer von Waldheim, 1820)"
"*Euchromia rubrilinea (Hulstaert, 1924)"
"Bosanski Brod"
"Murex (Murex) acanthostephes (R. B. Watson, 1883·) accepted, alternate representation"
"*Pleurota bistriella (Constant, 1885)"
"Kámaháza"
"Kyenjojo Municipality"
"Husainpur"
"Hymenochaete agglutinans"
"*Nepticula incognitella (Herrich-Schaffer, 1855)"
""
"*Melanostoma pruinosa (Bigot, 1884)"
"Clavaria amethystina (Bull. (1791)"
"* Purpura altispiralis (Grabau & King, 1928)"
"*Doliolum gegenbauri"
"*Omiza subaurantiaca (Warren, 1896)"
"*Ptericoptus truncatus (Monné & Giesbert, 1992)"
"*Lagoptera pallescens (Walker, 1864)"
"* Cypraea pulchella (Swainson, 1823)"
"*Corticium laeticolor (P.Karst.)Sacc.(1888)"
"* Callisthenes (Callisthenes) elegans keminensis Obydov 2002"
"*Delphyra elegans"
"* Conus verrucosus (Hwass in Bruguière, 1792)"
"*Syllepte secta"
"Obryte Commune"
"Coryphantha robbinsorum"
"* Sandalia bridgesi (Lorenz, 2009)  junior subjective synonym"
"* Astathes ignita (Thomson, 1865)"
"* Crossotus stypticus sahariensis (Breuning) Téocchi, 1998)"
"* Cimex fuscispinus (Boheman, 1850)"
"* Boltenia reniformis (MacLeay, 1825)"
"Boguty-Pianki Commune"
"*Scyllarus sculptus (Latreille, 1818)"
"Pot Mosbi"
"*Cimbex fagi Konow, 1897"
"*Trichophyton raubitschekii (J. Kane, Salkin, Weitzman & Smitka (1982)"
"Calliostoma (Kombologian) bairdii psyche (Dall, W.H., 1889)"
"*Pempelia geminella"
"*Sympetrum flavicosta (Hagen, 1875)"
"*Xylina serrata (Walker, 1857)"
"*Mictopsichia stemmatias (Meyrick, 1921)"
"Heitō"
"manaspuri"
"Murex broderipii (Michelotti, 1841)"
"*Orthonama centrostrigaria"
"Pratylenchus aberrans"
"*Polystictina (Kiriakoff, 1968)"
"*Dysgonia orthaea (Mabille, 1890)"
"*Epiblema brunnichianum ab. ochreana (Hauder, 1918)"
"* Laevilacunaria benetti[sic]"
"Sonai"
"**Hipparchia circe"
"*Aphimallota (Zagulajev, 1983)"
"*Damithrax spinosissimus"
"Mashishing"
"Pāra Khurd"
"* Ereis ventralis (Pascoe, 1865)"
"Sykesia longifolia (Bojer) Kuntze)"
"Lamellaxis gracilis (Hutton, 1834)"
"* Enigmata Hansen, 1999"
"*Notaspis (Warren, 1892)"
"* Mimoenispia 4-dentata (Pic, 1936)"
"* Phryneta melanoptera (Thomson, 1878)"
"*Calonotos trotschi (H. Druce, 1884)"
"Vadakumbadu"
"Kamionka Commune"
"* Quercus brachystachys f. caerulea (Trel.)"
"* Rissoa oenonensis (Brusina, 1866) · unaccepted (dubious synonym)"
"Lutocin Commune"
"Malthinus flaveolus (Herbst, 1786)"
"*Semioscopis acertella (Busck, 1913)"
"*Nemapogon heydeni (G. Petersen, 1957)"
"*Cinclidia perse"
"* Scarabaeus parvus (MacLeay, 1821)"
"* Specula marginata (Suter, 1908)"
"*Microdracon (Warren, 1890)"
"Kishui"
"* Dorcadion interruptum (Jakovlev, 1895)"
"*Cryptophlebia illepida var. fulva (Walsingham in Sharp, 1907)"
"Csilizpatas"
"* Tornatella nitidula (Lamarck, 1816) (original combination)"
"Pupa plicidens Benson, 1849 (original combination)"
"Mitra albomaculata (A. Adams)"
"Bachhraon"
"Murowana Goślina Commune"
"* Phantasis occidentalis (Lansberge, 1877)"
"Liostomia afzelli (Warén, 1991)"
"*Aphthonetus veterella (Walsingham, 1907)"
"Phalaena Noctua circumflexa Linnaeus, 1767"
"*Blastobasis constans"
"*Timyra molybdantha (Meyrick, 1908)"
"*Murex (Pteronotus) loebbeckei (Kobelt, in Loebbecke & Kobelt, 1879)"
"* Carpocoris infuscatus (Seabra, 1925)"
"Maclear"
"*Hypochlorosis buruana (Holland, 1900)"
"*Myelois ilignella (Zeller, 1839)"
"* Saperda palliata (Klug, 1825)"
"Onchidium steindachneri Semper, 1885"
"*Merulius parasiticus (Pers. ex Bull.)Purton(1821)"
"*Arctephora iubata (Diakonoff, 1953)"
"* Homelix albofasciatus (Thomson, 1858 (misspelling)"
"* Phytoecia achilleae (Holzschuh, 1971)"
"ପାରଳାଖେମୁଣ୍ଡି"
"*Empyreuma sanguinea (Rothschild, 1912)"
"* Ischnurus complanatus (C.L. Koch, 1838)"
"*Sparganothis amoebaea (Walsingham, 1913)"
"Curacaobacter baltica"
"*Theila guillermetorum (Viette, 1988)"
"Camp Anderson"
"*Dromia intermedia( Laurie, 1906)"
"Covelong"
"Astylospora multipedata (Murrill(1922)"
"*Curculio coronatus Goeze, 1777"
"Berkheya fruticosa (Thunb.)Willd.)"
"*Emodesa (Moore, 1888)"
"*Coccus ficus (Fabricius, 1787)"
"Diana"
"*Scolecostroma (Bat.& Peres (1960)"
"Cheilosia ruffipes (Preyssler)"
"*Nanaster albulus( Perrier, 1894)"
"*Lithosia peruviana (Schaus, 1894)"
"* Munnozia subg. Kastnera (Sch.Bip.) H.Rob. & Brettell)"
"Sphaceloma australis (Bitanc. & Jenkins, (1936)"
"* Falsilunatia soluta (Gould, 1848)"
"* ""Ca. Methanoregula"" (Brauer et al. 2006)"
"*Xenophora (Xenophora) crispa (König, 1825) · accepted, alternate representation"
"*Apha tychoona arisana"
"*Labyrinthodonschwartzenbergii (Fritsch, 1875)"
"* Monohammus aspersus (Pascoe, 1856)"
"North Park, Inwood Park"
"* Chlanidota lamyi (Dell, 1990)"
"* Cerambyx aurantiaca (Voet, 1778 (Unav.)"
"Bagan"
"* Gonolabis verhoeffi (Burr, 1905)"
"*Pyroderces pyrrhota (Meyrick, 1915)"
"बंगाई मर्चवार"
"*Eucyane rhaetia (H. Druce, 1895)"
"Frederikshåb"
"*Acronarista (Townsend, 1908)"
"* Malacoscylus klugi (Aurivillius, 1923)"
"* Azeca tridens (Pulteney, 1799) (Original name suppressed by Opinion 335)"
"Hamelia sphaerocarpa (Ruiz & Pav.)"
"*Melitaea acastus"
"Landaur"
"Lingkiu"
"*Troglophila (Brunetti, 1924)"
"Ralstonia paucula, Wautersia paucula"
"Çamlı"
"*Oniscus linearis (Linnaeus, 1763)"
"*Holcocerus consobrinus (Püngeler, 1898)"
"*Phaeolimacium (Henn.(1899)"
"Litorea albida"
"Helix ambigua C. B Adams, 1849"
"* Cordyla madagascariensis (R. Vig.)"
"* Spirillum desulfuricans (Beijerinck 1895)"
"* Hylastes rufipes (Eichhoff)"
"* Frea flavosternalis (Lepesme, 1950)"
"*Nephoteryx privata (Walker in Melliss, 1875)"
"*Desmeocraera lineata (Okano, 1960)"
"(Dremetse, Dremtse, Demtsi)"
"Colletotrichopsis graminicola (Ces.) Munt.-Cvetk. (1953) )"
"Rasūlpur"
"*Agathia irregularis (Prout, 1916)"
"Mesonia phycicolae"
"Ӄэпэрвээм"
"*Metopoceras sagarraina ( (Peres, deGregorio, Romana & Ferrer-Vidal, 1980)"
"*Glyphiulinae (Chamberlin, 1922)"
"*Deistogyna unocellata (Carpenter and Jackson, 1950)"
"*Glaucopis folletii (Guérin-Méneville, 1832)"
"*Sarcophaga dolosa (Lehrer, 1967)"
"Numerous, see [[#Synonyms"
"Tetrapetalonema berghei"
"* Tragocephala nyassica (Hintz, 1909)"
"*Cypraea nigrescens (Gray, 1824)"
"*Semiocosma epiphanes (Meyrick, 1884)"
"* Columbella gowllandi Brazier, 1874"
"Lodhwāri"
"Astagalpa"
"* Melanatria debeauxiana"
"* Gymnopogon rigidus (Thwaites)"
"Kaistomonas ginsengisoli"
"*Padenodes bifasciatus (Rothschild, 1912)"
"*Echinosporella (Contu (1992)"
"*Cleophana gafsana (Blachier, 1905)"
"*Zizyphinus Milne-Edwardsi (Locard, 1898) (original combination)"
"Pseudodevosia insulae"
"Sabia wyattae (Powell, 1958)"
"*Anisodes porphyropis mediusta (L. B. Prout, 1938)"
"Abadasa Taluka, Abrasa Taluka"
"Albatrellopsis pes-caprae (Pers.) Teixeira (1994)"
"*Cratosia unilineata (Dognin, 1891)"
"*Rabdosia clio (Fawcett, 1902)"
"*Tinea fuscescentella (Morris, 1870)"
"*Acrodrepanis (Perkins, 1901)"
"*Botys odiusalis (Walker, 1859)"
"*Tortrix leopardella"
"Erkay"
"Prithudak"
"*Eustixia minima (Butler, 1878)"
"Clitocybe olida (Quél.)Konrad(1929)"
"*Campyloplesis inveterella (Dyar, 1919)"
"Narycius olivaceus"
"*Cis zoufali (Reitter, 1902)"
"* Hathlia grammica (Pascoe, 1859)"
"*Machaeranthera ammophila (Reveal)"
"Suichow"
"*Helicopis acis santaremensis (Le Moult, 1939)"
"Hervia quadrilineata Baba, 1930"
"*Plotheia frontalis (Walker,[1858])"
"* Cancilla (Domiporta) carnicolor (Reeve, 1844)"
"*Tortrix viburnana ([Denis & Schiffermuller], 1775)"
"*Aulacodes wollastoni (Rothschild, 1915)"
"* Cynthia grossularia (Beneden, 1846)"
"*Deudorix sequeira (Distant, 1885)"
"*Agrotis cuprea"
"*Pseudonympha schultzei (Grünberg, 1910)"
"* Columbella variabilis (Schumacher, 1817)"
"Vermiculus spiratus var. quadrangularis (Môrch, 1861)"
"* Chariesthes nigroguttata (Aurivillius, 1908)"
"* † Perrinia waiwailevensis (Ladd, H.S., 1982)"
"*Olethreutes trophiodes (Clarke, 1958)"
"Cratichneumon tibialis (Geoffroy, 1785)"
"Shikhalapur"
"Ephemerocybe ephemerus (Fayod(1889)"
"*Semanotus juniperi (Van Dyke, 1923)"
"Hoplolaimoides"
"Cerithium bandatum (Perry, 1811)"
"*Polydorus (Swainson,[1833])"
"Shaikpet Mandal"
"*Stagmatophora thaumatella (Walsingham, 1907)"
"Tortosa"
"*Caradrina poliocrossa (Turner, 1903)"
"Łubnice Commune"
"*Syntomis efulensis (Holland, 1898)"
"* Nerita viridis (Linnaeus,1758)"
"* Cerambyx balteus (Linnaeus, 1767)"
"* Bittium retiferum (Suter, 1908)"
"Ilha dos Fidalgos"
"* Volvarina rufescens Reeve, 1865"
"(Valenciennes, inCuvier& Valenciennes, 1840)"
"Calliostoma imperialis (Kosuge, 1979)"
"Cerosterna scabratrix (Löbl & Smetana, 2010 (misspelling)"
"*Phragmatoecia foeda (C. Swinhoe, 1899)"
"*Lygranthoecia errans"
"* Stempfferia (Cercenia) congoana"
"*Agrotis impacta (Walker,[1857])"
"Vadakkumkara"
"Phaeotrichoconis terrestris (R.Y.Roy & P.C.Gupta[as 'terrestre'](1967)"
"*Mardara plagidotata"
"* Murex beckii (Philippi, 1847)"
"·"
"Alvania areolata (Stimpson, 1851)"
"Phoma solanicola (Prill. & Delacr., (1890)"
"Mikstat Commune"
"*Linnaemya analis (Robineau-Desvoidy, 1830)"
"*Nepticula slingerlandella (Kearfott, 1908)"
"Rondonia ropicoides (Breuning, 1962)"
"Matāutu"
"*Pamphila ariel (Mabille, 1878)"
"*Meliana bertha (Schaus & Clements, 1893)"
"* Cosmotomidius nitidulus (Bates) Gilmour, 1965)"
"* Fissurella philippiana (Reeve, 1850)"
"*Aspilates orciferaria"
"Al-Kāẓimīyah"
"Garbatka-Letnisko Commune"
"Lishih"
"*Heteropsyche melanochroma (Perkins, 1905)"
"Tārāgarh"
"*Papilio aeneides (Esper, 1788)"
"*Aulacodes stresemanni (Rothschild, 1915)"
"*Antigius michiyoae (Morita, 2003)"
"*Lepidarbela discipuncta (Wileman, 1915)"
"*Nemecomyces (Pilát(1933)"
"*Ravigia basiplaga (Schaus, 1905)"
"*Desmotricha aurimacula (Hampson, 1914)"
"*Charidea bicolor (Herrich-Schäffer, 1866)"
"Myszyniec Commune"
"* Patella pontica (Milaschewitsch, 1914)"
"*Bruandia (Desmarest, 1857)"
"* Calliscotus (Butler, 1878)"
"Chapar Bari"
"Newāda"
"Eulima agulhasensis (Thiele, 1925)"
"* Leptura quadrimaculata (Linnaeus,1758)"
"*Eurata xanthorhina"
"* Turritella fragilis (Kiener, 1873)"
"Platyrrhacus bivirgatus (Carl, 1902)"
"*Polyptychus suffuscus (Griveaud, 1959)"
"* Cuspidia castrata (Cass.)"
"( Mertinienė, Nessov, & Nazarkin, 1994)"
"* Arthrodelen Flagellaten Stein 1883"
"*Eurydema nevadensis lineola (Lindberg, 1932)"
"* Thereva funebris (Walker, 1851)"
"Vayoopuram"
"* Mionochroma rufescens var. aureotinctum (Bates, 1885)"
"* Lamia ferrugator (Fabricius, 1787)"
"* Paracalophya"
"(Gauthier and Breittmayer, 1979)"
"* Pyramidella humilis (Preston, 1905)"
"*Botys plagalis (Moore, 1867)"
"Łubnice Commune"
"Pediatric cancer"
"Neasuroides simplicior (Matsumura, 1927)"
"*Lecithocera callirrhabda (Meyrick, 1936)"
"*Paracorymbia trisignata (Fairmaire) Danilevsky, 2002)"
"*Panicum palmeri (Vasey)"
"Kunustoria"
"Przedbórz Commune"
"* Lamia aenea (Parry, 1849)"
"*Geometra peribolata (Hübner, 1817)"
"Specula odhneri (Powell, 1927) (original combination)"
"* Amphidromus phuonglinhae (Thach, 2017) (junior synonym)"
"* ""Streptomyces kentuckensis"" (Barr and Carman 1956)"
"Uredo parallela (Sowerby) Berk. (1836)"
"Caccia, Sciara"
"* Melania (Melanoides) palembangensis Strubell, 1897 (junior synonym)"
"مەنبج"
"*Xyleutes urvillii (Newman, 1856)"
"*Actinoseris polymorpha (Vell.) Cabrera)"
"ابن الطيب"
"*Megarthria cervicalis (Dyar, 1919)"
"Uścimów Commune"
"*Ophiusa cuneilineata (Warren, 1915)"
"*Bocula plecopteridia (Hampson, 1907)"
"*Allocota coerulea (Kirschenhofer, 1996)[misspelling]"
"*Lethe bhadra f. beata (Talbot, 1947)"
"*Prionoxystus duplex (Schaus, 1905)"
"Boletus durus (Timm (1788)"
"*Thereva zonata (Kröber, 1912)"
"* Libellula rufa (Rambur, 1842)"
"*Aeria pacifica (Godman & Salvin,[1879])"
""
"*Synstellicola carens( (Humes, 1986)"
"* ""Komagatabacter"" (Yamada et al. 2012)"
"Sericoris instrutana (Clemens, 1865)"
"Wan Namon"
"*Arractocetus Kurosawa, 1985"
"*Erycides albicilla (Herrich-Schäffer, 1869)"
"*Specific"
"Bakerilymnaea cubensis"
"Opilio tridens"
"Rudziniec Commune"
"Potok Wielki Commune"
"River Zone, Three RiversDevelopment"
"*Ilema creatoplaga (Hampson, 1901)"
"*Hepialus dinggyeensis (Chu & Wang, 2004)"
"*Leccinum corsicum (Rolland)Singer(1967)"
"Big Conne Cove, Little Conne Cove"
"*Seguenzia delicatula (Dall, 1881)"
"Cratichneumon infestor (Thunberg, 1822)"
"*Philenora convergens (Toulgoët, 1956)"
"* Argidava punctata (Butler, 1880)"
"*Tracheoniscus difficilis"
"*Monema rubriceps"
"*Aeraula dioctis (Meyrick, 1897)"
"*Bradburya insulana (Vell.) Kuntze)"
"*Peziza trib. Hymenoscypha (Fr.(1822)"
"* Erosaria guttata azumai (F. A. Schilder, 1960)"
"* Burtonia (R.Br.ex W.T.Aiton 1811)"
"Wildcat Station (former name)"
"*Cyclophragma basidiscata (Holloway, 1982)"
"* Pseudomonas andropogonis (Smith 1911)"
"* Bathylaco kreffti (J. G. Nielsen & Larsen, 1970)"
"Ramgarh Sethan"
"Sagaranadu"
"* Opsilia transcaspica (E. Fuchs, 1955)"
"Generic"
"* Murex calcar (Kiener, 1843)"
"Tienkiaan"
"*Palirisa chocolatina (Mell, 1937)"
"* Patella aenea (Reeve, 1854)"
"*Acropolitis rudis (Meyrick, 1910)"
"Helminthosporium cassiicola (Berk. & M.A. Curtis[as 'cassiaecola'], (1868)"
"*Geometra graminaria (Zeller, 1849)"
"*Oligia sordida; (Hampson, 1908)"
"*Divona shahidanella (Amsel, 1970)"
"Benthobrookula proseila (Absalao & Pimenta, 2005)"
"Dobiegniew Commune"
"*Cosmiotes cornutifera (Sruoga, 1995)"
"*Nephopteryx orthozona (Lower, 1903)"
"* Fusus lateroides (Monterosato, 1891)"
"*Endagria infuscata (Staudinger, 1892)"
"Sodpur"
"Onthocharis laeta (Waterhouse, 1891)"
"Badambagarh"
"Oncidium simrothi (Plate, 1893)"
"*Papilio nicias (Fabricius, 1787)"
"*Psidopala ornata yuennanensis (Werny, 1966)"
"Cardiaspis Schwarz, 1898"
"*Adenoneura storeella"
"Zanqufeh"
"*Cochylis dictyodana (Staudinger, 1880)"
"Several, see [[#Classification"
"Tupallë"
"*Oospila aphenges (Prout, 1932)"
"* Hypoxylon magnosporum(Lloyd, (1921)"
"* Bauhinia sect. Phanera ser. Corymbosae (de Wit) Wunderlin, K. Larsen & S.S. Larsen 1987)"
"*Oglasa opalescens (Hampson, 1926)"
"Astracantha atenica (Ivan.) Podlech)"
"*Papilio eurinome (Cramer, 1775)"
"Tibiania"
"Keyfoun"
"*Papilio liger (Cramer, 1779)"
"*Aulacodes klimai (Bryk, 1937)"
"Shirin"
"*Conchylis amoenana var. alaiana (Caradja, 1916)"
"Ayn al-Ghubayah"
"* Iberodorcadion ferdinandi (Escalera, 1900)"
"*Euclemensia umbrata (Dognin, 1914)"
"Limax marginatus O. F. Müller, 1774"
"*Lobesia (Lobesia) botrana"
"* Hapheniastus donovani (Jordan, 1903)"
"* Buccinum obesum (C. B. Adams, 1845) (original combination)"
"See list"
"al-Shiniyeh"
"* Syrnola canaria (Hedley, 1907) ·)"
"*Scolia bifasciata (Swederus, 1787)"
"Coprinus subimpatiens (M. Lange&A.H. Sm.(1953)"
"* Opsilia chinensis (Breuning, 1943)"
"*Exoletuncus ocystolus"
"Behai Dohor"
"*Leucinodella agroterodes (Strand, 1918)"
"*Xenomicrus Wollaston 1864"
"Phanerochaete filamentosa (sensu auct. eur.; (2005)"
"*Carolinaptera (Richards, 1967)"
"Plectopylis (Endoplon) choanomphalaMöllendorff, 1901"
"Turbonilla (Chemnitzia) aepynota Dall & Bartsch, 1909"
"Char Jahapur"
"Vungutur"
"*Scoparia interlinealis (Warren, 1905)"
"Mambacao Island"
"Departamento de Rivas"
"*Viscainopelmatus Tinkham, 1970"
"* Soudekia (Vimmer, 1928)"
"* Eolis exigua Alder & Hancock, 1848"
"* Parthenina monocycla (Yokoyama, 1922)"
"*Palaemon anophtalmus (Kollar, 1848) (incorrect original spelling)"
"*Germaria sabulosa (Van der Wulp, 1869)"
"*Agarista feisthamelii (Herrich-Schäffer,[1853])"
"*Petavia sakuni (Horsfield, 1828)"
"*Cheilosia nasutula (Becker, 1894) misident."
"*Miraleria (Haensch, 1903)"
"Uttar Madarihat"
"Cilli"
"Aporusa isabellina"
"*Tortrix ophtalmicana (Hubner,[1796-1799])"
"*Stericta shisalis (Strand, 1919)"
"Monoceros denticulatum (Wood, 1828)"
"Pirari"
"* Geomitra coronata (Deshayes, 1840)"
"*Epitola albomaculata (Bethune-Baker, 1903)"
"*Pyroderces caudata (Meyrick, 1917)"
"Pachyta cerambyciformis ( (Schrank - Gemminger & Harold, 1872) )"
"Barony of Gabhrán"
"*Syrphus ferrugineus (Macquart, 1829)"
"Esoli"
"*Hyblaea cruenta (Turner)"
"* Mitra hybrida (Kiener, L.C., 1838)"
"Małkinia Górna Commune"
"Cerithium versicolor (C.B. Adams, 1850)"
"*Phalaena nemorella (Linnaeus, 1758)"
"Tyagi Baba Mandir"
"*Doxa (Walsingham, 1912)"
"* Trochus bicingulatus (non Lamarck) Krauss, 1848)"
"*Caradrina basisticha (Turner, 1908)"
"* Helix auricularia (Linnaeus, 1758)"
"* Boucomontia Paulian, 1933"
"* Poirieria (Pazinotus) philcloveri (Houart, 1984)"
"Thlantlang"
"*Musca fuscus (Harris, 1776)"
"*Cataclysta moniligeralis (Lederer, 1863)"
"Pao-chi, Paoki"
"*Epitola versicolor (Kirby, 1887)"
"* Saperda rugicollis (Dalman, 1817)"
"*Hydnum kauffmani (Peck(1907)"
"*Nereis norvegica Linnaeus, 1767"
"Pindāri Kalān"
"*Propolomyces (Sherwood (1977)"
"Epiblema solandriana f. albosinuana (Grabe, 1944)"
"*Sparus smaris( Linnaeus, 1758)"
"* Nodiscala ahiparana (Powell, 1930)"
"*Boarmia tephrinaria"
"Pakur"
"*Microcausta demeridalis (Schaus, 1924)"
"*Thysanoptyx signata (Walker, 1854)"
"*Mendesia inscia (Meyrick, 1913)"
"*Bleptina sordescens (Rosenstock, 1885)"
"("
"*Capua xanthogona"
"* Salibacillus marismortui"
"*Tortrix prona (Meyrick, 1911)"
"*Cossus amundasa (H. Druce, 1890)"
"Podegrodzie Commune"
"* Pyrene versicolor (Sowerby, G.B. I, 1832)"
"Cyclostrema (Daronia) spirula (A. Adams, 1850)"
"* Symphyletes egenus (Pascoe, 1864)"
"* Phanaeus ducalis Castelnau, 1840"
"Kowalewo Pomorskie Commune"
""
"*Eunomia abdominalis (Walker, 1856)"
"*Abrota pratti (Leech, 1891)"
"*Pseudomya tijuca (Schaus, 1892)"
"Kisozi"
"*Deloneura innesi (van Son, 1949)"
"Fomes oregonensis (Murrill)Sacc.&Traverso(1910)"
"* Glyphodes testudinalis (Saalmüller, 1880)"
"* Cerambyx longicollis (Fabricius, 1787 nec DeGeer, 1775)"
"*Coprophila (Duda, 1918)"
"*Listoca (Walker, 1855)"
"*Dactylioglypha tonica (Diakonoff, 1973)"
