<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,power requirements,security
"Toshiba Satellite S55-B5268 15.6"" Notebook PSPQ6U-01600T",4-Cell Built-In Lithium-Ion ( 45Wh ),14.9 x 0.9 x 10.2 '' / 37.8 x 2.3 x 25.9 cm,"Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 65W",Kensington Lock Slot
"Dell Inspiron 15 i5547-7500sLV 15.6"" I5547-7500SLV B&H",Lithium-Ion ( 43Wh ),Not Specified By Manufacturer,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,,Not Specified By Manufacturer
"ASUS Zenbook NX500JK-XH72T 15.6"" 4K NX500JK-XH72T B&H Photo",6-Cell Built-In Lithium-Polymer ( 96 Wh ),10.0 x 0.7 x 14.9 '' / 25.4 x 1.8 x 37.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 Pro ( 64-bit ),TouchPad,5 lb / 2.27 kg,Not Specified By Manufacturer,
"ASUS F551MAV-DB02-B 15.6"" Notebook Computer F551MAV-DB02-B",Lithium-Ion Providing up to 4 Hours per Charge ( 34Wh ),19.1 x 2.6 x 11.8 '' / 48.5 x 6.6 x 30.0 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad,4.7 lb / 2.13 kg,,
"ASUS ZENBOOK UX303LA-DS51T 13.3"" Notebook UX303LA-DS51T B&H",3-Cell Lithium-Polymer Providing up to 8 Hours per Charge ( 50 Wh ),12.7 x 0.8 x 8.8 '' / 32.3 x 2.0 x 22.4 cm,"Type : Standard Notebook Keyboard Features : Backlight , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.2 lb / 1.45 kg,,
"Toshiba Satellite S55-B5148 15.6"" Notebook PSPRBU-02R03L",Not Specified By Manufacturer,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Not Specified By Manufacturer
"HP 15-r150nr 15.6"" TouchSmart Notebook Computer J9K39UA#ABA",4-Cell Built-In Lithium-Ion ( 41 Wh ),13.6 x 1.0 x 9.6 '' / 34.5 x 2.5 x 24.4 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.20 lb / 1910 g,Not Specified By Manufacturer,
"ASUS X755JA-DS71 17.3"" Notebook Computer (Black)",6-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 47 Wh ),16.5 x 1.5 x 11.1 '' / 41.9 x 3.8 x 28.2 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad,6.6 lb / 2.99 kg,,
"Gigabyte P34Gv2-CF2 14"" Gaming Notebook Computer P34GV2-CF2",Built-In Lithium-Polymer,13.4 x 0.8 x 9.4 '' / 34.0 x 2.0 x 23.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1,TouchPad,3.9 lb / 1.77 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Panasonic Toughboook 53 CF-532ALZYCM 14"" HD CF-532ALZYCM",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"HP ProBook 650 G1 K4L00UT#ABA 15.6"" Notebook PC K4L00UT#ABA",6-Cell Lithium-Ion ( 55 Wh ),14.9 x 1.1 x 10.1 '' / 37.8 x 2.8 x 25.7 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,5.3 lb / 2.40 kg,,Infineon TPM Software Professional Package
"ASUS Republic of Gamers G751JY-DH72X 17.3"" G751JY-DH72X B&H",8-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 88 Wh ),16.4 x 1.7 x 12.5 '' / 41.7 x 4.3 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,8.4 lb / 3.81 kg,,
"Toshiba Satellite S55-TB5150 15.6"" PSPRDU-00204T B&H Photo",4-Cell Built-In Lithium-Ion ( 45 Wh ),15.0 x 0.9 x 10.2 '' / 381.0 x 22.9 x 259.1 mm,Type : Standard Notebook Keyboard Features : LED Backlight,Windows 8.1 ( 64-bit ),TouchPad,4.85 lb / 2.20 kg ( starting weight ),"AC : 100-240 VAC , 50-60 Hz",Kensington Lock Slot
"Toshiba Satellite L55T-B5257W 15.6"" PSKT8U-017004 B&H Photo",4-Cell Built-In Lithium-Ion ( 45Wh ),14.9 x 0.9 x 10.2 '' / 37.8 x 2.3 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,5.2 lb / 2.36 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 45W",Kensington Lock Slot
"Lenovo Flex 2-15 Dual-Mode 15.6"" Touchscreen 59418265 B&H",4-Cell Built-In Lithium-Ion Providing up to 7 Hours per Charge ( 2800 mAh ),15.0 x 0.9 x 10.5 '' / 38.1 x 2.3 x 26.7 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.10 lb / 2.31 kg,Not Specified By Manufacturer,Kensington Lock Slot
"MSI GS60 Ghost-265 15.6"" Notebook Computer GS60 GHOST-265",6-Cell,15.3 x 0.8 x 10.5 '' / 38.9 x 2.0 x 26.7 cm,"Type : Standard Notebook Keyboard Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad,4.2 lb / 1.91 kg,"AC : 100-240 VAC , 50/60 Hz Consumption : 150 W",Not Specified By Manufacturer
"Panasonic Toughbook 53 CF-532SLZYCM 14"" CF-532SLZYCM B&H",Built-In Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.1 x 11.1 x 2.2 '' / 33.3 x 28.2 x 5.6 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 8.1 Pro ( 64-bit ),TouchPad with Multi-Touch Control,6.5 lb / 2.95 kg,"AC : 100-240 VAC , 50/60 Hz","BIOS Booting , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Toshiba C55D-B5241 15.6"" Notebook Computer PSCN4U-01F002",4-Cell Lithium-Ion ( 45 Wh ),14.9 x 1.0 x 10.2 '' / 37.8 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 45 W",Kensington Lock Slot
"ASUS X555LA-DB51 15.6"" Notebook Computer X555LA-DB51 B&H",2-Cell Built-In Lithium-Polymer Providing up to 5 Hours per Charge ( 37Wh ),15.0 x 1.0 x 10.1 '' / 38.1 x 2.5 x 25.7 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad,5.1 lb / 2.31 kg,,Kensington Lock Slot
"ASUS K550LAV-MH51T 15.6"" Notebook Computer K550LAV-MH51T",4-Cell Built-In Lithium-Ion Providing up to 5 Hours per Charge ( 37 Wh ),15.0 x 9.9 x 1.3 '' / 38.1 x 25.1 x 3.3 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad,5.3 lb / 2.40 kg,Not Specified By Manufacturer,Not Specified By Manufacturer
"Toshiba Satellite C55-B5265 15.6"" Notebook PSCLUU-01E004",4-Cell Built-In Lithium-Ion ( 45 Wh ),14.9 x 1.0 x 10.2 '' / 37.8 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 45 W",Kensington Lock Slot
"Lenovo Flex 2 59418275 Convertible 14"" Multi-Touch 59418275",Providing up to 7 Hours per Charge,13.5 x 0.9 x 10.1 '' / 34.3 x 2.3 x 25.7 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad,4.19 lb / 1.90 kg,,
"ASUS Republic of Gamers G751JT-CH71 17.3"" G751JT-CH71 B&H",8-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 88 Wh ),16.4 x 1.7 x 12.5 '' / 41.7 x 4.3 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,8.4 lb / 3.81 kg,,
"Toshiba Satellite S75-B7248 17.3"" Notebook PSPPJU-008001",6-Cell Lithium-Ion ( 48 Wh ),16.3 x 1.3 x 10.6 '' / 41.4 x 3.3 x 26.9 cm,"Type : Standard Notebook Keyboard Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,5.9 lb / 2.68 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 90 W",Kensington Lock Slot
"Panasonic Toughbook 31 CF-31XFLAXRM 13.1"" CF-31XFLAXRM B&H",Lithium-Ion Providing up to 14.5 Hours per Charge,11.9 x 2.9 x 11.5 '' / 30.2 x 7.4 x 29.2 cm,Type : Standard Notebook Keyboard,Windows 8 Pro,TouchPad,8.2 lb / 3.72 kg,,Infineon TPM Software Professional Package
"Lenovo Flex 10 59420879 Convertible 10.1"" 59420879 B&H",Providing up to 4 Hours per Charge,10.8 x 0.8 x 7.4 '' / 27.4 x 2.0 x 18.8 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,2.7 lb / 1.22 kg,,Not Specified By Manufacturer
"Lenovo IdeaPad Flex 2-14 Dual-Mode 14"" Touchscreen 59418273",4-Cell Built-In Lithium-Ion Providing up to 7 Hours per Charge ( 2800 mAh ),13.5 x 0.9 x 10.0 '' / 34.3 x 2.3 x 25.4 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.19 lb / 1.90 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Dell Inspiron 15 i5547-3751sLV 15.6"" I5547-3751SLV B&H",Lithium-Ion ( 43Wh ),Not Specified By Manufacturer,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,,Not Specified By Manufacturer
"Acer Aspire ES1-711-C7TL 17.3"" Notebook NX.MS2AA.001 B&H",4-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 3220 mAh ),16.7 x 1.1 x 11.4 '' / 42.4 x 2.8 x 29.0 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad,6.61 lb / 3.00 kg,,
"Dell Inspiron 13 7000 I7347-10051SLV 13.3"" I7347-10051SLV",3-Cell Built-In ( 43 Wh ),0.7 x 12.9 x 8.7 '' / 1.8 x 32.8 x 22.1 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,3.6 lb / 1.63 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 65 W",Not Specified By Manufacturer
"HP ENVY 17-j140us TouchSmart 17.3"" Multi-Touch F9M13UA#ABA",6-Cell Built-In Lithium-Ion ( 62 Wh ),16.4 x 1.3 x 10.8 '' / 41.7 x 3.3 x 27.4 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,7.07 lb / 3.21 kg,,Fingerprint Reader
"HP Pavilion 17-f210nr 17.3"" Notebook Computer K7U29UA#ABA",4-Cell Built-In Lithium-Ion Providing up to 5.25 Hours per Charge ( 41 Wh ),16.5 x 11.0 x 1.1 '' / 41.9 x 27.9 x 2.8 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6.23 lb / 2.83 kg,Not Specified By Manufacturer,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Panasonic Toughbook 31 CF-31XFLAXLM 13.1"" CF-31XFLAXLM B&H",Lithium-Ion Providing up to 14.5 Hours per Charge,11.9 x 2.9 x 11.5 '' / 30.2 x 7.4 x 29.2 cm,Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad,8.2 lb / 3.72 kg,"AC : 120-230 V AC , 50/60Hz",Infineon TPM Software Professional Package
"ASUS D550MAV-DB01(S) 15.6"" Notebook D550MAV-DB01(S) B&H",3-Cell Lithium-Ion Providing up to 4 Hours per Charge ( 34 Wh ),15.0 x 1.2 x 9.9 '' / 38.1 x 3.0 x 25.1 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.7 lb / 2.13 kg,,
"Toshiba Satellite S55-B5155 15.6"" Notebook PSPQEU-00900P",Not Specified By Manufacturer,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Not Specified By Manufacturer
"HP ProBook 450 G2 J8U85UT#ABA 15.6"" Notebook PC J8U85UT#ABA",4-Cell Lithium-Ion ( 44 Wh ),14.8 x 10.4 x 1.0 '' / 37.6 x 26.4 x 2.5 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.54 lb / 2.06 kg,,
"Panasonic Toughbook 53 CF-532CLZACM 14"" Elite CF-532CLZACM",Built-In Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard Features : Backlight,Windows 7 Professional,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Lenovo Flex 2 59422542 Convertible 15.6"" 59422542 B&H Photo",Providing up to 6 Hours per Charge,15.1 x 1.1 x 10.9 '' / 38.4 x 2.8 x 27.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad,5.51 lb / 2.50 kg,,
"Gigabyte P35Wv3-CF2 15.6"" Gaming Notebook P35WV3-CF2 B&H",Built-In Lithium-Polymer ( 76 Wh ),15.6 x 0.8 x 10.6 '' / 39.6 x 2.0 x 26.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1,TouchPad,5.1 lb / 2.31 kg,,Kensington Lock Slot
Dell Inspiron 13 7000 Series I7348-4286SLV I7348-4286SLV B&H,3-Cell Lithium-Ion ( 43 Wh ),13.0 x 0.8 x 8.7 '' / 33.0 x 2.0 x 22.1 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad/Stylus with Multi-Touch Control,3.68 lb / 1.67 kg,,Kensington Lock Slot
"Fujitsu LIFEBOOK E744 14"" Notebook Computer SPFC-E744-001",6-Cell Lithium-Cylinder Providing up to 10 Hours per Charge ( 63Wh ),13.3 x 1.1 x 9.1 '' / 33.8 x 2.8 x 23.1 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,3.94 lb / 1.79 kg,,"Infineon TPM Software Professional Package , Fingerprint Reader"
"Panasonic Toughbook 31 CF-31WFLAXRM 13.1"" CF-31WFLAXRM B&H",Lithium-Ion Providing up to 14.5 Hours per Charge,11.9 x 2.9 x 11.5 '' / 30.2 x 7.4 x 29.2 cm,Type : Standard Notebook Keyboard,Windows 8 Pro,TouchPad,8.2 lb / 3.72 kg,,Infineon TPM Software Professional Package
"HP Stream 14-z010nr 14"" Notebook Computer J9V55UA#ABA B&H",3-Cell Lithium-Polymer Providing up to 6.5 Hours per Charge ( 32 Wh ),13.5 x 0.7 x 9.4 '' / 34.3 x 1.8 x 23.9 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.86 lb / 1.75 kg,,
"ASUS X550JK-DH71 15.6"" Notebook Computer X550JK-DH71 B&H",4-Cell Built-In Lithium-Polymer Providing up to 5 Hours per Charge ( 44 Wh ),15.0 x 9.9 x 1.1 '' / 38.1 x 25.1 x 2.8 cm,Type : Full-Size Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad,5.4 lb / 2.45 kg,"AC : 100-240 VAC , 50/60 Hz Consumption : 120 W","BIOS Booting , HDD User Password Protection , Kensington Lock Slot"
"HP ProBook 640 G1 K4L16UT#ABA 14""Notebook PC K4L16UT#ABA",6-Cell Lithium-Ion ( 55 Wh ),13.4 x 1.1 x 9.3 '' / 34.0 x 2.8 x 23.6 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad with Two-Finger Scrolling,4.59 lb / 2.08 kg,,Infineon TPM Software Professional Package
"Gigabyte P35WV2-CF3 15.6"" Notebook Computer P35WV2-CF3 B&H",Built-In Lithium-Polymer ( 75 Wh ),15.2 x 0.8 x 10.6 '' / 38.6 x 2.0 x 26.9 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,5.07 lb / 2.30 kg,Not Specified By Manufacturer,Kensington Lock Slot
"Fujitsu LIFEBOOK E554 15.6"" Notebook Computer SPFC E554-001",Providing up to 8.5 Hours per Charge,14.7 x 1.2 x 9.8 '' / 37.3 x 3.2 x 24.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad,5 lb / 2.27 kg,,
"Panasonic Toughbook 53 CF-53SALC8RM 14"" CF-53SALC8RM B&H",Lithium-Ion,13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Type : Standard Notebook Keyboard,Windows 8,TouchPad with Multi-Touch Control,5.8 lb / 2.63 kg,AC : 110-220 V AC,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Lenovo Flex 2 59418264 Convertible 15.6"" 59418264 B&H Photo",Providing up to 7 Hours per Charge,15.1 x 1.1 x 10.8 '' / 38.4 x 2.8 x 27.4 cm,"Type : Standard Notebook Keyboard Features : Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,5.51 lb / 2.50 kg,,
"Lenovo ThinkPad 540p 20BE003AUS 15.6"" Notebook 20BE003AUS",6-Cell Lithium-Ion Providing up to 7 Hours per Charge ( 56 Wh ),14.8 x 1.3 x 9.7 '' / 37.6 x 3.3 x 24.6 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,5.31 lb / 2.41 kg,Not Specified By Manufacturer,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot"
"Toshiba Satellite C55D-B5242 15.6"" Notebook PSCN4U-00P002",4-Cell Lithium-Ion ( 45Wh ),14.9 x 1.0 x 10.2 '' / 37.8 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,"AC : 100-240 V AC , 50-60Hz Consumption : 45W",Kensington Lock Slot
"Panasonic Toughbook 31 CF-31YFCAXLM 13.1"" CF-31YFCAXLM B&H",Lithium-Ion Providing up to 18 Hours per Charge ( 8550 mAh ),11.9 x 2.9 x 11.5 '' / 302.3 x 73.7 x 292.1 mm,Keys : 87,Windows 7 Professional ( 64-bit ),TouchPad/Stylus,7.9 lb / 3.58 kg,"AC : 100-240 VAC , 50/60 Hz",Kensington Lock Slot
"Lenovo ThinkPad E555 20DH002TUS 15.6"" Notebook 20DH002TUS",6-Cell Built-In Providing up to 6.3 Hours per Charge ( 48 Wh ),10.1 x 13.3 x 1.1 '' / 25.7 x 33.8 x 2.8 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad,5.18 lb / 2.35 kg,Not Specified By Manufacturer,
Dell Inspiron 17 5000 Series I5749-4445SLV I5749-4445SLV B&H,4-Cell ( 40 Wh ),16.2 x 1.1 x 10.6 '' / 41.1 x 2.8 x 26.9 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,6.61 lb / 3.00 kg,,Kensington Lock Slot
"HP Pavilion 15-p220nr 15.6"" Touchscreen J9H87UA#ABA B&H",4-Cell Built-In Lithium-Ion Providing up to 6 Hours per Charge ( 41 Wh ),15.1 x 0.9 x 10.2 '' / 38.4 x 2.3 x 25.9 cm,Type : Full-Size Features : Numeric Keypad,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,5.62 lb / 2.55 kg,Not Specified By Manufacturer,"Power-On Password , Accepts 3rd Party Security Lock Devices , Kensington Lock Slot"
"Lenovo ThinkPad E555 20DH002QUS 15.6"" Notebook 20DH002QUS",6-Cell Built-In Providing up to 6.3 Hours per Charge ( 48 Wh ),10.1 x 13.3 x 1.1 '' / 25.7 x 33.8 x 2.8 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad,5.18 lb / 2.35 kg,Not Specified By Manufacturer,
"Lenovo B50 59422966 15.6"" Notebook Computer (Black)",Providing up to 5 Hours per Charge,14.9 x 1.0 x 10.3 '' / 37.8 x 2.5 x 26.2 cm,Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad,5.12 lb / 2.32 kg,,
ASUS Transformer Book Flip TP300LA-DS31T TP300LA-DS31T B&H Photo,3-Cell Lithium-Polymer Providing up to 5 Hours per Charge ( 50 Wh ),13.0 x 0.9 x 8.9 '' / 33.0 x 2.3 x 22.6 cm,Type : Standard Notebook Keyboard Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.7 lb / 1.68 kg,,
"Lenovo ThinkPad E440 20C5004YUS 14"" Notebook 20C5004YUS B&H",6-Cell Lithium-Ion Providing up to 6.3 Hours per Charge ( 48Wh ),13.5 x 1.1 x 9.4 '' / 34.3 x 2.8 x 23.9 cm,Type : Standard Notebook Keyboard,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,4.69 lb / 2.13 kg,,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Lenovo B50 59423000 15.6"" Notebook Computer (Black)",Providing up to 5 Hours per Charge,14.9 x 1.0 x 10.3 '' / 37.8 x 2.5 x 26.2 cm,Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad,5.12 lb / 2.32 kg,,
"Lenovo ThinkPad E550 20DF0030US 15.6"" Notebook 20DF0030US",6-Cell Built-In Providing up to 9 Hours per Charge ( 48 Wh ),14.8 x 1.1 x 10.1 '' / 37.6 x 2.8 x 25.7 cm,Type : Standard Notebook Keyboard Features : Numeric Keypad,Windows 7 Professional ( 64-bit ),TouchPad,5.21 lb / 2.36 kg,Not Specified By Manufacturer,"Infineon TPM Software Professional Package , Fingerprint Reader"
"Lenovo ThinkPad 540p 20BE0085US 15.6"" Notebook 20BE0085US",9-Cell Lithium-Ion Providing up to 11 Hours per Charge ( 100 Wh ),14.8 x 1.1 x 9.7 '' / 37.6 x 2.8 x 24.6 cm,Type : Standard Notebook Keyboard Features : Backlight,,,5.7 lb / 2.59 kg,Not Specified By Manufacturer,"HDD User Password Protection , Power-On Password , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader"
"Dell Inspiron 3000 I3148-6840SLV 11.6"" Touch I3148-6840SLV",3-Cell Built-In ( 43 Wh ),0.7 x 11.8 x 7.9 '' / 1.8 x 30.0 x 20.1 cm,Type : Full-Size Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,3.1 lb / 1.41 kg,"AC : 100-240 VAC , 50-60 Hz Consumption : 65 W",Not Specified By Manufacturer
"Lenovo Z70 80FG0037US 17.3"" Notebook Computer 80FG0037US",4-Cell Built-In Providing up to 4 Hours per Charge,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Kensington Lock Slot
ASUS TP500LA-DH51T Transformer Book Flip TP500LA-DH51T B&H Photo,3-Cell Built-In Lithium-Polymer Providing up to 5 Hours per Charge ( 48 Wh ),15.0 x 0.9 x 10.2 '' / 381.0 x 22.9 x 259.1 mm,Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad,4.6 lb / 2.09 kg,"AC : 100-240 VAC , 50/60 Hz Consumption : 65 W",HDD User Password Protection
"ASUS VivoBook V551LB-DB71T Multi-Touch 15.6"" V551LB-DB71T",3-Cell Lithium-Ion Providing up to 5 Hours per Charge ( 4500mAh ),15.0 x 0.9 x 10.2 '' / 38.1 x 2.3 x 25.9 cm,"Type : Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style",Windows 8 ( 64-bit ),TouchPad with Multi-Touch Control,5.3 lb / 2.40 kg,Not Specified By Manufacturer,Not Specified By Manufacturer
"Toshiba Satellite L55DT-B5144 15.6"" PSKUNU-008005 B&H Photo",Not Specified By Manufacturer,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Not Specified By Manufacturer
Dell Inspiron 15 3000 Series I3543-3251BLK I3543-3251BLK B&H,4-Cell Lithium-Ion ( 40 Wh ),15.0 x 1.0 x 10.0 '' / 38.1 x 2.5 x 25.4 cm,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad with Multi-Touch Control,4.8 lb / 2.18 kg,,Kensington Lock Slot
ASUS TP500LA-EB31T Transformer Book Flip TP500LA-EB31T B&H Photo,3-Cell Built-In Lithium-Polymer Providing up to 5 Hours per Charge ( 48 Wh ),15.0 x 0.9 x 10.2 '' / 381.0 x 22.9 x 259.1 mm,Features : Chiclet Style,Windows 8.1 ( 64-bit ),TouchPad,4.6 lb / 2.09 kg,"AC : 100-240 VAC , 50/60 Hz Consumption : 65 W",HDD User Password Protection
"Panasonic Toughboook 53 CF-532SLZACM 14"" CF-532SLZACM B&H",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,6.5 lb / 2.95 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
"Lenovo Z70 80FG0038US 17.3"" Notebook Computer 80FG0038US",4-Cell Built-In Providing up to 4 Hours per Charge,Not Specified By Manufacturer,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,Not Specified By Manufacturer,Not Specified By Manufacturer,Kensington Lock Slot
"Panasonic Toughboook 53 CF-532SLC8CM 14"" CF-532SLC8CM B&H",Lithium-Ion Providing up to 15 Hours per Charge ( 6750 mAh ),13.4 x 2.2 x 11.1 '' / 34.0 x 5.6 x 28.2 cm,Keys : 87 Type : Standard Notebook Keyboard,Windows 7 Professional,TouchPad with Multi-Touch Control,6.5 lb / 2.95 kg,"AC : 100-240 VAC , 50/60 Hz","HDD User Password Protection , Kensington Lock Slot"
