64bit computing,<page title>,brand,clock speed,manufacturing process,multicore technology,platform compatibility,processor quantity,product type,socket type,tdp,architecture features,bus speed,packaging type,max supported quantity
Yes,Intel Core 2 Duo T8100 2.1 GHz Dual-Core (BX80577T8100) Processor - Pricing and Details - Catalog.com,Intel,2.1 GHz,45 nm,Dual-Core,PC,1.0,Processor,Socket 478 / N ● Socket P,,,FSB Speed - 800 MHz,478-pin Micro FCPGA,
Yes,Intel Core i5 750 2.66 GHz Quad-Core (BX80605I5750) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,FC-LGA8,
,HP Intel Xeon E5430 2.66 GHz Quad-Core (458414B21) Processor - Pricing and Details - Catalog.com,,2.66 GHz,,Quad-Core,,1.0,Processor upgrade,,80 W,,,,
,Intel Xeon L5640 2.26 GHz Six Core (59Y4005) Processor - Pricing and Details - Catalog.com,,2.26 GHz,,Six Core,,1.0,Processor upgrade,,60 W,,,,
,AMD A4-3400 2.7 GHz Dual-Core (AD3400OJHXBOX) Processor - Pricing and Details - Catalog.com,,2.7 GHz,,Dual-Core,,,Processor,Socket F,,,,,
Yes,Intel Core 2 Duo P9500 2.53 GHz Dual-Core (AW80576SH0616M) Processor - Pricing and Details - Catalog.com,Intel,2.53 GHz,45 nm,Dual-Core,PC,1.0,Processor,Socket P,25 W,"Deeper Sleep , Enhanced SpeedStep technology , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache , Intel Smart Memory Access , Intel Dynamic Acceleration",FSB Speed - 1066 MHz,478-pin Micro FCPGA,
Yes,Intel Xeon X5470 3.33 GHz Quad-Core (BX80574X5470A) Processor - Pricing and Details - Catalog.com,Intel,3.33 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,120 W,"Enhanced SpeedStep technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 1333 MHz,,
Yes,Intel Xeon E5506 2.13 GHz Quad-Core (NF147AA) Processor - Pricing and Details - Catalog.com,Intel,2.13 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",FSB Speed - 1066 MHz,,
Yes,Intel Xeon X5570 2.93 GHz Quad-Core (44T1887) Processor - Pricing and Details - Catalog.com,Intel,2.93 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,95 W,"Hyper-Threading Technology , Intel Turbo Boost Technology",FSB Speed - 1333 MHz,,
Yes,Intel Pentium D 925 3 GHz Dual-Core (HH80553PG0804MN) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,95 W,,FSB Speed - 800 MHz,,
Yes,Intel 3570K 3.4 GHz Quad-Core (BX80637I53570K) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,22 nm,Quad-Core,PC,,Processor,LGA 1155 / Socket H2,,,,,
Yes,HP Intel Xeon E5645 2.4 GHz Six Core (LB211AT) Processor - Pricing and Details - Catalog.com,HP,2.4 GHz,32 nm,Six Core,PC,1.0,Processor upgrade,,80 W,Intel QuickPath Technology,,,
,HP Intel Xeon MP 2 GHz (334036-B21) Processor - Pricing and Details - Catalog.com,HP,2 GHz,,,PC,4.0,Processor upgrade,Socket 603,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",400 MHz,,
Yes,AMD Athlon 64 X2 3800+ 2 GHz Dual-Core (ADO3800CUBOX) Processor - Pricing and Details - Catalog.com,AMD,2 GHz,90 nm,Dual-Core,PC,1.0,Processor,Socket AM2+ ● Socket AM2,65 W,"HyperTransport technology , AMD64 technology , integrated memory controller , Enhanced Virus Protection",FSB Speed - 1000 MHz,,
,IBM Intel Pentium III Xeon 700 MHz (10K2330) Processor - Pricing and Details - Catalog.com,IBM,700 MHz,,,PC,1.0,Processor upgrade,Slot 2,,"Dual independent bus , dynamic execution , superscalar , superpipelined , data dependency removal , multi-branch prediction , speculative execution , out-of-order completion , sixth-generation , register renaming , IEEE 754-compatible FPU , MMX instructions set , system management mode ( SMM ) , 100MHz front side bus , streaming SIMD extensions , SEC cartridge 2 packaging , processor serial number",,,
,HP AMD Opteron 6140 2.6 GHz Eight Core (632989-B21) Processor - Pricing and Details - Catalog.com,,2.6 GHz,,Eight Core,,1.0,Processor upgrade,,80 W,,,,
,Intel Xeon E5620 2.4 GHz Quad-Core (59Y4020) Processor - Pricing and Details - Catalog.com,,2.4 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
Yes,Intel Core i7 940 2.93 GHz Quad-Core (BX80601940) Processor - Pricing and Details - Catalog.com,Intel,2.93 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 1366 / Socket B ● Socket M,,"Enhanced SpeedStep technology , Hyper-Threading Technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 600 MHz,,
Yes,Intel Core 2 Duo E8500 3.16 GHz Dual-Core (EU80570PJ0876M) Processor - Pricing and Details - Catalog.com,Intel,3.16 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel Core i5-520M 2.4 GHz Dual-Core (CP80617004119AE) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,32 nm,Dual-Core,PC,1.0,Processor,PGA988 Socket,35 W,,DMI Speed - 2.5 GT / s,988-pin Micro FCPGA,
,HP AMD Opteron 6180 SE 2.5 GHz Twelve Core (633965-B21) Processor - Pricing and Details - Catalog.com,,2.5 GHz,,Twelve Core,,2.0,Processor upgrade,,105 W,,,,
,AMD Opteron 6386 SE 2.8 GHz Sixteen Core (OS6386YETGGHK) Processor - Pricing and Details - Catalog.com,,2.8 GHz,,Sixteen Core,,1.0,Processor,Socket G34,140 W,,,,
Yes,Intel Core 2 Duo T7500 2.2 GHz Dual-Core (LF80537GG0494M) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,478-pin Micro FCPGA,
,Intel Xeon X5650 2.66 GHz Six Core (59Y5709) Processor - Pricing and Details - Catalog.com,,2.66 GHz,,Six Core,,1.0,Processor upgrade,LGA 1366 / Socket B,95 W,,,,
Yes,Intel Core 2 Duo E8400 3 GHz Dual-Core (AT80570PJ0806M) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel Core 2 Duo E6300 1.86 GHz Dual-Core (BX80557E6300) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1066 MHz,,
,Intel BX80637G1620 Processor - Pricing and Details - Catalog.com,,2.7 GHz,,Dual-Core,,,Processor,LGA 1155 / Socket H2,,,,,
Yes,Intel Pentium E5700 3 GHz Dual-Core (AT80571PG0802ML) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Thermal Monitor 2",FSB Speed - 800 MHz,,
Yes,Intel Pentium E2140 1.6 GHz Dual-Core (BX80557E2140) Processor - Pricing and Details - Catalog.com,Intel,1.6 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,Intel Xeon E5-2620 2 GHz Six Core (CM8062101048401) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,32 nm,Six Core,PC,,Processor,Socket LGA2011,,,FSB Speed - 3600 MHz,,
,Intel Xeon 3 GHz (RK80546KG0802MM) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,,Single-Core,PC,1.0,Processor,Socket 604,110 W,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Demand Based Switching , Intel 64 Technology",FSB Speed - 800 MHz,,
,HP Intel Xeon E7530 1.86 GHz Six Core (603610B21) Processor - Pricing and Details - Catalog.com,,1.86 GHz,,Six Core,,1.0,Processor upgrade,,105 W,,,,
Yes,Intel Xeon 7030 2.8 GHz Dual-Core (BX80560KG2800F) Processor - Pricing and Details - Catalog.com,Intel,2.8 GHz,90 nm,Dual-Core,PC,1.0,Processor,Socket 604,,,FSB Speed - 800 MHz,,
Yes,Intel Xeon X5675 3.06 GHz Six Core (81Y6554) Processor - Pricing and Details - Catalog.com,Intel,3.06 GHz,32 nm,Six Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,95 W,"Enhanced SpeedStep technology , Hyper-Threading Technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel Turbo Boost Technology , Intel 64 Technology , Intel Trusted Execution Technology",,,
Yes,Intel Core 2 Duo P8600 2.4 GHz Dual-Core (AW80577SH0563M) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,45 nm,Dual-Core,PC,1.0,Processor,PGA478 ● Socket M ● Socket P,25 W,"Deeper Sleep , Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache , Intel Smart Memory Access , Intel Dynamic Acceleration",FSB Speed - 1066 MHz,478-pin Micro FCPGA,
Yes,AMD Opteron 852 2.6 GHz Dual-Core (OSA852FAA5BM) Processor - Pricing and Details - Catalog.com,AMD,2.6 GHz,,Dual-Core,PC,1.0,Processor,Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",FSB Speed - 500 MHz,,
Yes,Intel 3820 3.6 GHz Quad-Core (BX80619I73820) Processor - Pricing and Details - Catalog.com,Intel,3.6 GHz,32 nm,Quad-Core,PC,1.0,Processor,Socket LGA2011,,,FSB Speed - 1600 MHz,,
Yes,Dell Intel Xeon E5504 2 GHz Quad-Core (K021J) Processor - Pricing and Details - Catalog.com,Dell,2 GHz,,Quad-Core,PC,1.0,Processor upgrade,,,"Enhanced SpeedStep technology , Intel Virtualization Technology",,,
Yes,Intel Core i5-520M 2.4 GHz Dual-Core (BX80617I5520M) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,32 nm,Dual-Core,PC,1.0,Processor,PGA988 Socket ● Socket P,35 W,"Enhanced SpeedStep technology , Hyper-Threading Technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel Turbo Boost Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E )",DMI Speed - 2.5 GT / s,988-pin Micro FCPGA,
Yes,Intel Celeron 440 2 GHz (BX80557440SL9XL) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Single-Core,PC,1.0,Processor,LGA 775 / Socket T,,,FSB Speed - 800 MHz,,
Yes,Intel Xeon X5460 3.16 GHz Quad-Core (BX80574X5460A) Processor - Pricing and Details - Catalog.com,Intel,3.16 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J ● Socket 771,120 W,"Enhanced SpeedStep technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel I / O Acceleration Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel Pentium E5300 2.6 GHz Dual-Core (AT80571PG0642M) Processor - Pricing and Details - Catalog.com,Intel,2.6 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 800 MHz,,
Yes,Intel Core 2 Duo E8400 3 GHz Dual-Core (BX80570E8400A) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1333 MHz,,
Yes,HP AMD Opteron 852 2.6 GHz (381476B21) Processor - Pricing and Details - Catalog.com,HP,2.6 GHz,,,PC,1.0,Processor board,Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",FSB Speed - 1000 MHz,,1.0
,Intel Xeon X5680 3.33 GHz Six Core (59Y4014) Processor - Pricing and Details - Catalog.com,,3.33 GHz,,Six Core,,1.0,Processor upgrade,LGA 1366 / Socket B,130 W,,,,
Yes,Intel Xeon E5472 3 GHz Quad-Core (AT80574KL080N) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,80 W,"Enhanced SpeedStep technology , streaming SIMD extensions 2 , streaming SIMD extensions 3 , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache , streaming SIMD extensions 4 , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1600 MHz,,
Yes,Intel Xeon 5050 3 GHz Dual-Core (HH80555KF0804M) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,,Dual-Core,PC,1.0,Processor,LGA 771 / Socket J ● Socket 771,,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 667 MHz,,
Yes,Intel Core 2 Duo E8500 3.16 GHz Dual-Core (BX80570E8500) Processor - Pricing and Details - Catalog.com,Intel,3.16 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,"Enhanced SpeedStep technology , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Trusted Execution Technology , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel 4770K 3.5 GHz Quad-Core (BX80646I74770K) Processor - Pricing and Details - Catalog.com,Intel,3.5 GHz,22 nm,Quad-Core,PC,1.0,Processor,LGA 1150 / Socket H3,95 W,,DMI Speed - 5 GT / s,,
Yes,Intel Xeon E7-4850 2 GHz Ten Core (AT80615007449AA) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,32 nm,Ten Core,PC,1.0,Processor,LGA 1567,,,FSB Speed - 3200 MHz,,
Yes,Intel Core 2 Duo E6400 2.13 GHz Dual-Core (HH80557PH0462M) Processor - Pricing and Details - Catalog.com,Intel,2.13 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1066 MHz,,
,HP Intel Xeon X5365 3 GHz Quad-Core (445560B21) Processor - Pricing and Details - Catalog.com,,3 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 771 / Socket J,120 W,,,,
,IBM Intel Xeon E5530 2.4 GHz Quad-Core (59Y3956) Processor - Pricing and Details - Catalog.com,,2.4 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
,HP Intel Xeon MP 3 GHz (351050B21) Processor - Pricing and Details - Catalog.com,HP,,,,PC,,,,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",FSB Speed - 400 MHz,,4.0
,HP Intel Pentium III Xeon 500 MHz (117648B21) Processor - Pricing and Details - Catalog.com,,500 MHz,,,,1.0,Processor upgrade,Slot 2,,,,,
Yes,AMD Opteron 6172 2.1 GHz Twelve Core (OS6172WKTCEGOWOF) Processor - Pricing and Details - Catalog.com,AMD,2.1 GHz,45 nm,Twelve Core,PC,1.0,Processor,Socket G34,80 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization , Enhanced Halt State ( C1E ) , AMD CoolCore Technology",FSB Speed - 3200 MHz,,
Yes,Intel Xeon L5520 2.26 GHz Quad-Core (AT80602000810AA) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 1366 / Socket B,60 W,"Hyper-Threading Technology , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",,,
,HP Intel Xeon X5675 3.06 GHz Six Core (633414-L21) Processor - Pricing and Details - Catalog.com,,3.06 GHz,,Six Core,,1.0,Processor upgrade,,95 W,,,,
Yes,Intel Core 2 Duo E4600 2.4 GHz Dual-Core (HH80557PG0562M) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 800 MHz,,
,Intel Xeon E5649 2.53 GHz Six Core (637410-B21) Processor - Pricing and Details - Catalog.com,,2.53 GHz,,Six Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
Yes,Intel Xeon 5150 2.66 GHz Dual-Core (418323-B21) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,65 nm,Dual-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J,65 W,"Enhanced SpeedStep technology , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",1333 MHz,,
Yes,Intel Core 2 Duo T9400 2.53 GHz Dual-Core (AW80576GH0616M) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,478-pin Micro FCPGA,
Yes,AMD Fusion A4-3300M 2.5 GHz Dual-Core (AD3300OJGXBOX) Processor - Pricing and Details - Catalog.com,AMD,2.5 GHz,32 nm,Dual-Core,PC,1.0,Processor,Socket F ● Socket FM1,65 W,"PowerNow ! technology , streaming SIMD extensions , streaming SIMD extensions 2 , AMD64 technology , integrated memory controller , streaming SIMD extensions 3 , AMD Cool'n'Quiet Technology , AMD Virtualization , streaming SIMD extensions 4",,,
,IBM Intel Xeon E5630 2.53 GHz Quad-Core (69Y0852) Processor - Pricing and Details - Catalog.com,,2.53 GHz,,Quad-Core,,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,,,,
Yes,Intel Core 2 Duo T7300 2 GHz Dual-Core (BX80537T7300) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket M ● Socket P ● Socket 479,35 W,"Enhanced SpeedStep technology , streaming SIMD extensions 2 , streaming SIMD extensions 3 , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology",FSB Speed - 800 MHz,478-pin Micro FCPGA,
,AMD Turion X2 TL-60 2 GHz Dual-Core (TMDTL60HAX5DM) Processor - Pricing and Details - Catalog.com,,2 GHz,,Dual-Core,,,Processor,Socket S1,35 W,,,,
Yes,Intel Core i7-3770S 3.1 GHz Quad-Core (BX80637I73770S) Processor - Pricing and Details - Catalog.com,Intel,3.1 GHz,22 nm,Quad-Core,PC,,Processor,LGA 1155 / Socket H2,,,DMI Speed - 5 GT / s,,
Yes,Intel Xeon E5504 2 GHz Quad-Core (507682-B21) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",,,
Yes,Intel Xeon E5-2640 2.5 GHz Six Core (BX80621E52640) Processor - Pricing and Details - Catalog.com,Intel,2.5 GHz,32 nm,Six Core,PC,1.0,Processor,Socket F,,,FSB Speed - 1333 MHz,,
Yes,Intel Core 2 Duo T9600 2.8 GHz Dual-Core (AW80576GH0726M) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,478-pin Micro FCPGA,
Yes,AMD Turion X2 RM-72 2.1 GHz Dual-Core (TMRM72DAM22GG) Processor - Pricing and Details - Catalog.com,AMD,2.1 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket S1,35 W,,FSB Speed - 3600 MHz,,
Yes,Intel Xeon 3050 2.13 GHz Dual-Core (HH80557KH0462M) Processor - Pricing and Details - Catalog.com,Intel,2.13 GHz,65 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,,,FSB Speed - 1066 MHz,,
Yes,Intel Core i5 560M 2.66 GHz Dual-Core (CP80617005487AA) Processor - Pricing and Details - Catalog.com,Intel,,,,PC,,,,,,,988-pin Micro FCPGA,
Yes,Intel Core 2 Duo E8400 3 GHz Dual-Core (BX80570E8400) Processor - Pricing and Details - Catalog.com,Intel,3 GHz,45 nm,Dual-Core,PC,1.0,Processor,LGA 775 / Socket T,65 W,,FSB Speed - 1333 MHz,,
,AMD Athlon II P320 2.1 GHz Dual-Core (AMP320SGR22GM) Processor - Pricing and Details - Catalog.com,AMD,2.1 GHz,45 nm,Dual-Core,PC,1.0,Processor,Socket S1 ● Socket A,25 W,AMD Virtualization,FSB Speed - 3200 MHz,,
,AMD Opteron 2380 2.5 GHz Quad-Core (OS2380WAL4DGI) Processor - Pricing and Details - Catalog.com,AMD,2.5 GHz,45 nm,Quad-Core,PC,1.0,Processor,Socket F,75 W,,FSB Speed - 1000 MHz,,
Yes,AMD Opteron 6128 2 GHz Eight Core (OS6128WKT8EGO) Processor - Pricing and Details - Catalog.com,AMD,2 GHz,45 nm,Eight Core,PC,1.0,Processor,Socket G34,80 W,"PowerNow ! technology , HyperTransport technology , AMD64 technology , integrated memory controller , AMD Virtualization , Enhanced Halt State ( C1E ) , AMD CoolCore Technology",FSB Speed - 400 MHz,,
Yes,Intel Xeon X5667 3.06 GHz Quad-Core (AT80614005154AB) Processor - Pricing and Details - Catalog.com,Intel,3.06 GHz,32 nm,Quad-Core,PC,1.0,Processor,LGA 1366 / Socket B,95 W,"Enhanced SpeedStep technology , streaming SIMD extensions , streaming SIMD extensions 2 , Hyper-Threading Technology , integrated memory controller , streaming SIMD extensions 3 , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel Turbo Boost Technology , Intel 64 Technology , supplemental streaming SIMD extensions 3 , Intel Trusted Execution Technology , streaming SIMD extensions 4.1 , streaming SIMD extensions 4.2",,,
,Intel Core Duo T2400 1.83 GHz Dual-Core (LF80539GF0342M) Processor - Pricing and Details - Catalog.com,Intel,1.83 GHz,65 nm,Dual-Core,PC,1.0,Processor,Socket M ● Socket 479,31 W,,FSB Speed - 667 MHz,478-pin Micro FCPGA,
Yes,HP Intel Xeon E5649 2.53 GHz Six Core (636205-B21) Processor - Pricing and Details - Catalog.com,HP,2.53 GHz,,Six Core,PC,1.0,Processor upgrade,,80 W,"Hyper-Threading Technology , Intel Turbo Boost Technology",,,
Yes,Intel Xeon E5405 2 GHz Quad-Core (AT80574KJ041N) Processor - Pricing and Details - Catalog.com,Intel,2 GHz,45 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J,80 W,"Enhanced SpeedStep technology , streaming SIMD extensions 2 , streaming SIMD extensions 3 , Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache , Intel I / O Acceleration Technology , streaming SIMD extensions 4 , Enhanced Halt State ( C1E ) , Intel Thermal Monitor 2",FSB Speed - 1333 MHz,,
Yes,Intel Xeon E5320 1.86 GHz Quad-Core (BX80563E5320A) Processor - Pricing and Details - Catalog.com,Intel,1.86 GHz,65 nm,Quad-Core,PC,1.0,Processor,LGA 771 / Socket J ● Socket 771,80 W,"Enhanced SpeedStep technology , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1066 MHz,,
,Dell Intel Xeon E5540 2.53 GHz Quad-Core (317-1324) Processor - Pricing and Details - Catalog.com,,2.53 GHz,,Quad-Core,,1.0,Processor upgrade,,,,,,
Yes,Intel Core i7-2700K 3.5 GHz Quad-Core (BX80623I72700K) Processor - Pricing and Details - Catalog.com,Intel,3.5 GHz,32 nm,Quad-Core,PC,1.0,Processor,LGA 1155 / Socket H2,95 W,,DMI Speed - 5 GT / s,,
,HP Intel Xeon X6550 2 GHz Eight Core (589082B21) Processor - Pricing and Details - Catalog.com,,2 GHz,,Eight Core,,1.0,Processor upgrade,LGA 1567,130 W,,,,
Yes,Intel Xeon 3.4 GHz (40K2512) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Demand Based Switching , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,Intel Xeon E5520 2.26 GHz Quad-Core (490459-B21) Processor - Pricing and Details - Catalog.com,Intel,2.26 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",FSB Speed - 1066 MHz,,
Yes,Intel Xeon E5-2609 2.4 GHz Quad-Core (BX80621E52609) Processor - Pricing and Details - Catalog.com,Intel,2.4 GHz,32 nm,Quad-Core,PC,1.0,Processor,Socket F ● Socket LGA2011,,,FSB Speed - 1066 MHz,,
Yes,Intel Xeon L5420 2.5 GHz Quad-Core (493459-B21) Processor - Pricing and Details - Catalog.com,Intel,2.5 GHz,,Quad-Core,PC,1.0,Processor upgrade,,50 W,"Demand Based Switching , Execute Disable Bit capability , Intel Virtualization Technology , Intel 64 Technology , Intel Advanced Smart Cache",FSB Speed - 1333 MHz,,
Yes,HP Intel Xeon E5530 2.4 GHz Quad-Core (495938-B21#0D1) Processor - Pricing and Details - Catalog.com,HP,2.4 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 1366 / Socket B,80 W,"Hyper-Threading Technology , Intel Intelligent Power Technology , Intel Data Center Manager",,,
Yes,Intel Xeon X5355 2.66 GHz Quad-Core (435956-B21) Processor - Pricing and Details - Catalog.com,Intel,2.66 GHz,,Quad-Core,PC,1.0,Processor upgrade,LGA 771 / Socket J ● Socket 771,120 W,,FSB Speed - 1333 MHz,,
Yes,AMD Opteron 285 2.6 GHz Dual-Core (411097-B21) Processor - Pricing and Details - Catalog.com,AMD,2.6 GHz,,Dual-Core,PC,1.0,Processor upgrade,Socket P ● Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",FSB Speed - 1000 MHz,,
,HP AMD Opteron 2425 HE 2.1 GHz Six Core (570119-B21) Processor - Pricing and Details - Catalog.com,,2.1 GHz,,Six Core,,1.0,Processor upgrade,,55 W,,,,
,Intel Xeon 2.8 GHz (352567-B21) Processor - Pricing and Details - Catalog.com,Intel,2.8 GHz,,,PC,1.0,Processor upgrade,Socket 604,,"Streaming SIMD extensions 2 , Hyper-Threading Technology",FSB Speed - 533 MHz,,
Yes,HP AMD Opteron 6140 2.6 GHz Eight Core (632996-B21) Processor - Pricing and Details - Catalog.com,HP,2.6 GHz,,Eight Core,PC,2.0,Processor upgrade,,80 W,"HyperTransport technology , AMD64 technology , integrated memory controller",,,
Yes,HP AMD Opteron 854 2.8 GHz (397820-B21) Processor - Pricing and Details - Catalog.com,HP,2.8 GHz,,,PC,1.0,Processor board,Socket P ● Socket 940,,"HyperTransport technology , AMD64 technology , integrated memory controller",,,1.0
,Intel Xeon 3.4 GHz (RK80546KG0961M) Processor - Pricing and Details - Catalog.com,Intel,3.4 GHz,,,PC,1.0,Processor,Socket 604,,"Enhanced SpeedStep technology , Hyper-Threading Technology , streaming SIMD extensions 3 , Intel 64 Technology",FSB Speed - 800 MHz,,
Yes,AMD Third-Generation Opteron 2346 HE 1.8 GHz Quad-Core (457239-B21) Processor - Pricing and Details - Catalog.com,AMD,1.8 GHz,,Quad-Core,PC,1.0,Processor upgrade,Socket F,,,FSB Speed - 1000 MHz,,
