64bit processing,<page title>,aspect ratio,battery chemistry,battery energy,bluetooth,bluetooth standard,brand name,cache,certifications standards,color,connection type,depth,display screen technology,display screen type,form factor,front camera resolutionwebcam resolution,front camerawebcam,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,headphonemicrophone combo port,height,keyboard,keyboard type,manufacturer,manufacturer part number,manufacturer website address,maximum battery run time,maximum standby battery time,maximum turbo speed,memory card reader,memory card supported,memory technology,micro hdmi,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system,operating system platform,optical drive type,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product name,product series,product type,screen mode,screen resolution,screen size,software included,solid state drive capacity,speakers,standard memory,total number of usb ports,touchpad features,touchscreen,weight approximate,width,wireless lan,wireless lan standard,additional information,audio line out,backlight technology,battery capacity,ethernet technology,finger print reader,hard drive capacity,hdcp supported,hdmi,height front,height rear,maximum memory,network rj45,number of total memory slots,number of usb 20 ports,operating system architecture,optical media supported,tv card,vga,webcam,wireless lan manufacturer,wireless lan model,mini hdmi,rear camera,rear camera resolution,wwan supported,direct media interface,focus modes,hard drive interface,hard drive rpm,hyperthreading,keyboard backlight,memory standard,security features,sensor type,solid state drive interface,vpro technology,wimax,chipset manufacturer,construction,mini displayport,applicationusage,carrying options,case features,compartment depth,compartment height,compartment width,durability,exterior material,maximum screen size supported,minimum screen size supported,style,chipset model,acer converter cable supported,acer converter port,displayport,checkpoint friendly,compatibility,graphics memory capacity,duallayer media supported,flash memory capacity,country of origin,input voltage,keyboard localization,maximum power supply wattage,digitizer,audio line in,esata,modem,modem rj11,printed designpatterntexture,features,memory form factor,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,total hard drive capacity,near field communication,number of 35 bays,number of external 525 bays,number of total expansion bays,hard drive configuration,gps,maximum web surfing battery time,maximum video battery time,number of graphic controllers,number of internal 25 bays,number of pci express x1 slots,number of pci express x16 slots,controller type,raid levels,raid supported,expansion bay type,expansion slot type,switchable graphics,number of optical drives,cellular data connectivity technology,solid state drive configuration,number of msata interfaces,number of mxm slots,total solid state drive capacity,burst frequency,widi technology,usb host,rear camera video resolution,maximum audio battery time,accessibility,interior material,pixel density
Yes,"Acer Aspire SW5-011-13GQ Net-tablet PC - 10.1"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3745 1.33 GHz - NTL47AA003 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),,Yes,Bluetooth 4.0 + HS,Acer,2 MB,ACPI 5.0,,Micro USB,7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Hybrid,2 Megapixel,Yes,Intel,HD Graphics,Shared,LPDDR3,,,Yes,0.4 '',Yes,Physical Keyboard,"Acer , Inc",NT.L47AA.003,http : //us.acer.com,,,,Yes,microSD,LPDDR3,,Yes,Yes,2-cell,,Windows 8.1,Windows,No,Aspire SW5-011-13GQ Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,TouchPad,Quad-core ( 4 Core ),Intel,Z3745,1.33 GHz,Atom,Aspire,SW5-011-13GQ,Aspire SW5-011-13GQ Net-tablet PC,SW5-011,Net-tablet PC,HD,1366 x 768,10.1 '',,64 GB,Yes,2 GB,,Multi-touch Gesture,Yes,2.58 lb,10.3 '',Yes,IEEE 802.11a/b/g/n,Wireless LAN : Acer Nplify 802.11a/b/g/n,,LED,,,No,,,Yes,,,,,,,32-bit,,No,,,Broadcom,BCM43241,,,,,,,,,,,,Trusted Platform Module ( TPM ),Digital Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HP Chromebook 11 G2 11.6"" LED Notebook - Samsung Exynos 5 5250 1.70 GHz - J2L80UAABA - Laptops & Notebooks - HP CTO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),29.97 Wh,Yes,Bluetooth 4.0 + HS,HP,1 MB,,,,8.1 '',,Active Matrix TFT Color LCD,,,,ARM,Mali-T604,,,ENERGY STAR,Yes,Yes,0.8 '',,,Hewlett-Packard,J2L80UA # ABA,http : //www.hp.com,,,,,,DDR3L SDRAM,,Yes,,3-cell,,,,,Chromebook 11 G2 ( ENERGY STAR ) Lithium Polymer Battery AC Adapter,,Dual-core ( 2 Core ),Samsung,5250,1.70 GHz,Exynos 5,Chromebook,,Chromebook 11 G2 ( ENERGY STAR ),11 G2,Notebook,HD,1366 x 768,11.6 '',,,Yes,2 GB,2.0,,,2.95 lb,11.8 '',Yes,IEEE 802.11a/b/g/n,,,LED,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,DDR3L-1600/PC3-12800,Security Lock Slot TPM 1.2 Embedded Security Chip Sign-in with your Google Credentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Toshiba Satellite L75 L75-B7240 17.3"" LED (TruBrite) Notebook - Intel Core i5 i5-4210U 1.70 GHz - PSKRLU01200M - Laptops & Notebooks - TOSHIBA Laptops & Notebooks - TheNerds.net",16 : 9,,,,,Toshiba,3 MB,,,,,TruBrite,Active Matrix TFT Color LCD,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,WEEE,Yes,,,Yes,,Toshiba,PSKRLU-01200M,http : //www.toshiba.com,,,2.70 GHz,Yes,Secure Digital ( SD ),DDR3L SDRAM,,Yes,,,,,,DVD-Writer,Satellite L75-B7240 Laptop Standard Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-4210U,1.70 GHz,Core i5,Satellite,L75-B7240,Satellite L75-B7240 Laptop,L75,Notebook,HD+,1600 x 900,17.3 '',,,Yes,8 GB,,Multi-touch Gesture,No,,,,,,,LED,,,,1 TB,,,,,16 GB,,2.0,,,DVD-RAM/ R/ RW,,,Yes,,,,,,,5 GT/s,,Serial ATA,5400.0,Yes,,DDR3L-1600/PC3-12800,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad Edge E540 20C6005KUS 15.6"" Touchscreen LED Notebook - Intel Core i5 i5-4200M 2.50 GHz - Matte Black, Silver - 20C6005KUS - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),48 Wh,Yes,Bluetooth 4.0,Lenovo,3 MB,,Matte Black,,9.8 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4600,Shared,DDR3L SDRAM,ENERGY STAR 5.2,Yes,Yes,1.2 '',Yes,,Lenovo Group Limited,20C6005KUS,http : //www.lenovo.com/us/en/,6.20 Hour,,3.10 GHz,Yes,Secure Digital High Capacity ( SDHC ),DDR3L SDRAM,,Yes,Yes,6-cell,2.0,Windows 8 Pro,,DVD-Writer,ThinkPad Edge E540 20C6005KUS Notebook Lithium Ion Battery AC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-4200M,2.50 GHz,Core i5,ThinkPad Edge,20C6005KUS,ThinkPad Edge E540 20C6005KUS Notebook,E540,Notebook,HD,1366 x 768,15.6 '',Lenovo Support Lenovo Companion Lenovo Cloud Storage ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ),,Yes,4 GB,3.0,Multi-touch Gesture,Yes,5.40 lb,14.8 '',Yes,IEEE 802.11b/g/n,,,LED,,Gigabit Ethernet,Yes,500 GB,Yes,Yes,,,16 GB,Yes,2.0,1.0,64-bit,,,Yes,Yes,Intel,Wireless-N 7260,,,,No,5 GT/s,,Serial ATA/300,7200.0,Yes,,DDR3L-1600/PC3-12800,Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,No,No,Intel,,,,,,,,,,,,,,HM87 Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Toshiba Portege Z30T-A1301 13.3"" LED (TruBrite) Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - PT24AU006003 - Laptops & Notebooks - TOSHIBA Laptops & Notebooks - TheNerds.net",,,,Yes,,Toshiba,3 MB,,,,,TruBrite,Active Matrix TFT Color LCD,,,,Intel,HD 4400,Shared,,ENERGY STAR,Yes,,,,,Toshiba,PT24AU-006003,http : //www.toshiba.com,,,2.90 GHz,,,,,,,,,Windows 7 Professional,,,Portege Z30T-A1301 Ultrabook Standard Battery AC Adapter,,Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,Portege,Z30T-A1301,Portege Z30T-A1301 Ultrabook,Z30T-A,Ultrabook,,,13.3 '',,,,,,,,,,,,,,LED,,Gigabit Ethernet,,,,,,,,,,,32-bit/64-bit,,,,,,,,,,,5 GT/s,,,,Yes,,,Toshiba EasyGuard Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Asus X552EA-DH41 15.6"" Notebook - AMD A-Series A4-5000 1.50 GHz - Black - 90NB03RBM00240 - Laptops & Notebooks - ASUS Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),37 Wh,No,,Asus,2 MB,,Black,,10 '',,Active Matrix TFT Color LCD,,,,AMD,Radeon HD 8330,Shared,DDR3L SDRAM,RoHS,Yes,Yes,1.3 '',,,ASUS Computer International,90NB03RB-M00240,http : //usa.asus.com,4 Hour,,,Yes,Secure Digital ( SD ),DDR3L SDRAM,,,,4-cell,2.0,Windows 8,,DVD-Writer,X552EA-DH41 Notebook Lithium Ion Battery AC Adapter,,Quad-core ( 4 Core ),AMD,A4-5000,1.50 GHz,A-Series,,X552EA-DH41,X552EA-DH41 Notebook,,Notebook,HD,1366 x 768,15.6 '',,,,4 GB,2.0,,No,5.10 lb,15 '',Yes,IEEE 802.11b/g/n,,,,2600 mAh,,,500 GB,,Yes,,,8 GB,Yes,1.0,,64-bit,DVD R/ RW,,Yes,,,,,,,,,,,5400.0,,,DDR3L-1600/PC3-12800,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad S1 Yoga 20CD00B1US Ultrabook/Tablet - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i7 i7-4600U 2.10 GHz - Black - 20CD00B1US - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),47 Wh,Yes,Bluetooth 4.0,Lenovo,4 MB,,Black,,8.7 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Convertible,,Yes,Intel,HD 4400,Shared,DDR3L SDRAM,ENERGY STAR,Yes,Yes,0.8 '',Yes,Physical Keyboard,Lenovo Group Limited,20CD00B1US,http : //www.lenovo.com/us/en/,7 Hour,,3.30 GHz,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,Yes,8-cell,2.0,Windows 8.1 Pro,Windows,No,ThinkPad S1 Yoga 20CD00B1US Ultrabook/Tablet AC Adapter Stylus,Stylus,Dual-core ( 2 Core ),Intel,i7-4600U,2.10 GHz,Core i7,ThinkPad,20CD00B1US,ThinkPad S1 Yoga 20CD00B1US Ultrabook/Tablet,S1 Yoga,Ultrabook/Tablet,Full HD,1920 x 1080,12.5 '',Lenovo Support Lenovo Companion Lenovo Cloud Storage Password Manager ThinkVantage System Update Norton Internet Security ( 30 days of virus definitions ) Microsoft Office Preloaded ( purchase a product key to activate ) Skype,256 GB,Yes,8 GB,2.0,Multi-touch Gesture,Yes,3.59 lb,12.4 '',Yes,IEEE 802.11ac,,,LED,,,No,,,Yes,,,,No,,,64-bit,,,,,Intel,Dual Band Wireless-AC 7260,,,,No,5 GT/s,Fixed Focus,,,Yes,Yes,DDR3L-1600/PC3-12800,"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",Ambient Light Sensor,Serial ATA/600,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"HP ProBook 450 G2 15.6"" LED Notebook - Intel Core i3 i3-4005U 1.70 GHz - J8U86UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),44 Wh,Yes,Bluetooth 4.0,HP,3 MB,ACPI Compliance UL CSA FCC Compliance ICES Australia / NZ A-Tick Compliance CCC Japan VCCI Compliance KC BSMI CE Marking Compliance BNCI or BELUS CIT GOST Saudi Arabian Compliance ( ICCP ) SABS UKRSERTCOMPUTER Wi-Fi Certified,,,10.3 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,WEEE,Yes,Yes,1 '',Yes,,Hewlett-Packard,J8U86UT # ABA,http : //www.hp.com,,,,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,,4-cell,2.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,,DVD-Writer,ProBook 450 G2 Notebook PC Lithium Ion Battery AC Adapter Power Cord Windows 8.1 Pro License Media,TouchPad,Dual-core ( 2 Core ),Intel,i3-4005U,1.70 GHz,Core i3,ProBook,,ProBook 450 G2 Notebook PC,450 G2,Notebook,HD,1366 x 768,15.6 '',MultiMedia : Cyberlink Power2Go Cyberlink PowerDVD Cyberlink YouCam BE Communications : HP Connection Manager HP Mobile Connect Intel My WiFi and Wireless Drivers for Microsoft HP Value Add Software : HP Ceement HP Hotkey HP PageLift for Win 7 HP Recovery Manager HP Registration App HP Setup HP Softpaq Download Manager HP Software Setup HP Support Assistant HP Recovery Disc Creator ( HPRDC ) HP WallPaper 3rd Party : Box App Foxit PhantomPDF Express,,Yes,4 GB,4.0,Multi-touch Gesture,No,,14.8 '',Yes,IEEE 802.11a/b/g/n/ac,,,LED,2850 mAh,Gigabit Ethernet,,500 GB,,Yes,,,16 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,,Yes,Yes,Intel,,,,,No,5 GT/s,,Serial ATA/300,5400.0,Yes,,DDR3L-1600/PC3-12800,Absolute Persistence Module Device Access Manager with Just In Time Authentication HP File Sanitizer HP SpareKey DigitalPersona Fingerprint Driver Validity Fingerprint Driver Hardware Root of Trust HP Automatic DriveLock DASH Support HP DriveLock HP SpareKey Hybrid Boot Master Record Security Measured Boot Power On Authentication Pre-Boot Security Secure Boot ( Windows 7 ) Secure Erase Standard : HP Client Security Microsoft Security Essentials HP Drive Encryption HP BIOS Protection Security Lock Slot TPM 1.2 Embedded Security Chip,,,No,No,Intel,,,,,,,,,,,,,,,,,,,,,Yes,,China,230 V AC,English ( US ),45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Toshiba Portege R30-A1310 13.3"" Notebook - Intel Core i5 i5-4310M 2.70 GHz - PT341U05T01G - Laptops & Notebooks - TOSHIBA Laptops & Notebooks - TheNerds.net",,,,Yes,,Toshiba,3 MB,,,,,,Active Matrix TFT Color LCD,,,,,,,,WEEE,Yes,,,,,Toshiba,PT341U-05T01G,http : //www.toshiba.com,,,3.40 GHz,,,DDR3 SDRAM,,,,,,,,DVD-Writer,Portege R30-A1310 Notebook Standard Battery AC Adapter,,Dual-core ( 2 Core ),Intel,i5-4310M,2.70 GHz,Core i5,Portege,R30-A1310,Portege R30-A1310 Notebook,R30-A,Notebook,,,13.3 '',,128 GB,,8 GB,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 GT/s,,,,Yes,,,Toshiba EasyGuard Technology,,mini-SATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"HP ProBook 440 G2 14"" Touchscreen LED Notebook - Intel Core i5 i5-4210U 1.70 GHz - J5P68UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),44 Wh,Yes,Bluetooth 4.0,HP,3 MB,ACPI Compliance UL CSA FCC Compliance ICES Australia /NZ A-Tick Compliance CCC Japan VCCI Compliance KC BSMI CE Marking Compliance BNCI or BELUS CIT GOST Saudi Arabian Compliance ( ICCP ) SABS UKRSERTCOMPUTER Wi-Fi Certified,,,9.6 '',,Active Matrix TFT Color LCD,,,,Intel,HD Graphics 4400,Shared,DDR3L SDRAM,EPEAT Gold,Yes,Yes,1 '',Yes,,Hewlett-Packard,J5P68UT # ABA,http : //www.hp.com,,,2.70 GHz,Yes,Secure Digital High Capacity ( SDHC ),DDR3L SDRAM,,Yes,,4-cell,2.0,Windows 8.1 Pro,,DVD-Writer,ProBook 440 G2 Notebook PC Lithium Ion Battery AC Adapter Power Cord,TouchPad,Dual-core ( 2 Core ),Intel,i5-4210U,1.70 GHz,Core i5,ProBook,,ProBook 440 G2 Notebook PC,440 G2,Notebook,HD,1366 x 768,14 '',Security : Absolute Persistence Module Device Access Manager with Just In Time Authentication HP File Sanitizer HP Client Security HP SpareKey Microsoft Defenderigital Hardware Root of Trust HP Automatic DriveLock HP BIOS Protection HP Disk Sanitizer DASH Support HP DriveLock HP SpareKey Hybrid Boot Master Record Security Measured Boot Power On Authentication Pre-Boot Security Secure Boot Secure Erase MultiMedia : Cyberlink Power2Go Cyberlink PowerDVD Cyberlink YouCam BE Communications : HP Connection Manager HP Mobile Connect HP Wireless Hotspot HP Value Add Software : Digital Energy Star Logo W8 Getting Started with Windows 8 HP Ceement HP ePrint Driver HP Hotkey HP PageLift App HP Recovery Manager HP Registration App HP Setup HP Softpaq Download Manager HP Software Setup HP Support Assistant HP Recovery Disc Creator ( HPRDC ) HP WallPaper System Default Settings for Win8 UEFI System Diagnostics W8 3rd Party : Box 50GB Offer Desktop Icon Box App Foxit PhantomPDF Express,,Yes,4 GB,4.0,Multi-touch Gesture,Yes,4.96 lb,13.4 '',Yes,IEEE 802.11b/g/n,,,LED,2850 mAh,Gigabit Ethernet,,500 GB,,Yes,,,16 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,,Yes,Yes,Realtek,,,,,No,5 GT/s,,Serial ATA/300,5400.0,Yes,,DDR3L-1600/PC3-12800,HP Client Security Microsoft Defender ( models with Windows 8 ) Drive Encryption HP BIOS Protection Security lock slot TPM 1.2 Embedded Security Chip HP 3D DriveGuard,,,No,No,Intel,,,,,,,,,,,,,,,,,,,,,Yes,,China,120 V AC,English ( US ),45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop Pro 6305 Desktop Computer - AMD A-Series A4-5300B 3.40 GHz - Small Form Factor - C7C95AWABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net,,,,,,HP,1 MB,ACPI,,,14.9 '',,,Small Form Factor,,,AMD,Radeon HD 7480D,Shared,DDR3 SDRAM,EPEAT Gold,Yes,,4 '',Yes,,Hewlett-Packard,C7C95AW # ABA,http : //www.hp.com,,,,,,DDR3 SDRAM,,,,,4.0,Windows 7 Professional,,DVD-Writer,Compaq Pro 6305 Small Form Factor PC ( ENERGY STAR ) KeyboardMouse,Mouse,Dual-core ( 2 Core ),AMD,A4-5300B,3.40 GHz,A-Series,Business Desktop,,Compaq Pro 6305 Small Form Factor PC ( ENERGY STAR ),Pro 6305,Desktop Computer,,,,HP Client Security : Credential ManagerPassword ManagerOne Step LogonSpareKeyDigitalPassDevice Access Manager w/ JITADrive Encryption ( McAfee ) File SanitizerPrivacy ManagerWindows Applications : Bing ( Search ) Productivity : HP Power AssistantHP Additions : HP MarketplaceHP WallpaperSRS Premium SoundAMD Eyefinity TechnologyDesktop Applications : PDF Complete Corporate EditionWinZip BasicAdobe Flash PlayerHP Support Applications : HP EUDI Support EnvironmentHP Help and SupportHP Recovery ManagerHP Setup v9.0HP Support Assistant,,,4 GB,10.0,,,16.70 lb,13.3 '',,,,Yes,,,,,,,,,,32 GB,Yes,4.0,6.0,64-bit,DVD-RAM/ R/ RW,,Yes,,,,,,,,,,Serial ATA/300,7200.0,,,DDR3-1600/PC3-12800,,,,,,AMD,,,,,,,,,,,,,,A75,,,Yes,,,,Yes,,,220 V AC,,240 W,,Yes,,,,,,,,1.0,1.0,4.0,500 GB,,2.0,1.0,3.0,,,,,,,1.0,2.0,Serial ATA/600,"0 , 1 , 10",Yes,,,,,,,,,,,,,,,,,
,Mobile Edge Eco-Friendly ecollection ECO Messenger - MECME3 - Laptops & Notebooks - MOBILE EDGE Laptops & Notebooks - TheNerds.net,,,,,,Mobile Edge,,,Navy Blue,,4.3 '',,,,,,,,,,,,,13 '',,,Mobile Edge,MECME3,http : //www.mobileedge.com,,,,,,,,,,,,,,,The ECO Messenger - Navy BlueID Holder,,,,,,,ECO,,The ECO Messenger - Navy Blue,,Carrying Case,,,,,,,,,,,4 lb,17.5 '',,,Custom molded fasteners keep your gear securePadded shoulder strap for maximum ComfortFull size back pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notebook,Shoulder Strap,Padded Interior,2.25 '',10.50 '',16.50 '',,Cotton Canvas,16 '',,Messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Lenovo ThinkPad Helix 36986EU Ultrabook/Tablet - 11.6"" - VibrantView, In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i5 i5-3337U 1.80 GHz - Black - 36986EU - Laptops & Notebooks - LENOVO Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),28 Wh,Yes,Bluetooth 4.0,Lenovo,3 MB,,Black,,8.9 '',In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Convertible,2 Megapixel,Yes,Intel,HD 4000,Shared,DDR3 SDRAM,ENERGY STAR 5.0,Yes,,0.8 '',Yes,Physical Keyboard,Lenovo Group Limited,36986EU,http : //www.lenovo.com/us/en/,8 Hour,,,,,DDR3 SDRAM,,Yes,Yes,3-cell,2.0,Windows 8 Pro,Windows,,ThinkPad Helix 36986EU Ultrabook/Tablet2 x Lithium Polymer BatteriesAC Adapter,TouchPad,Dual-core ( 2 Core ),Intel,i5-3337U,1.80 GHz,Core i5,ThinkPad Helix,36986EU,ThinkPad Helix 36986EU Ultrabook/Tablet,,Ultrabook/Tablet,Full HD,1920 x 1080,11.6 '',,128 GB,Yes,4 GB,3.0,Multi-touch Gesture,Yes,3.54 lb,11.7 '',Yes,IEEE 802.11a/b/g/n,,Yes,LED,,,,,,,,,,No,,1.0,64-bit,,,,,Intel,Centrino Advanced-N 6205S,,Yes,5 Megapixel,No,5 GT/s,Auto-focus,,,Yes,,DDR3-1333/PC3-10600,"Security KeyholeTrusted Platform Module , TCG 1.2-compliant",Magnetometer,mini-SATA/600,,No,Intel,,,,,,,,,,,,,,QS77 Express,,,Yes,,,,,,,,,,,,,,,,Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080,,,,
,"Samsung ATIV Book 9 Lite NP915S3G-K04US 13.3"" Touchscreen LED Notebook - AMD 1.40 GHz - Mineral Ash Black - NP915S3GK04US - Laptops & Notebooks - SAMSUNG Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Polymer ( Li-Polymer ),30 Wh,Yes,Bluetooth 4.0,Samsung,2 MB,,Mineral Ash Black,,8.8 '',,Active Matrix TFT Color LCD,,,,AMD,Radeon HD 8250,Shared,DDR3L SDRAM,ENERGY STAR 5.2,Yes,Yes,0.7 '',Yes,,Samsung,NP915S3G-K04US,http : //www.samsungusa.com,5.50 Hour,,,Yes,Secure Digital Extended Capacity ( SDXC ),DDR3L SDRAM,,Yes,Yes,2-cell,1.0,Windows 8.1,,,ATIV Book 9 Lite NP915S3G-K04US Notebook Lithium Polymer Battery AC Adapter LAN Dongle,TouchPad,Quad-core ( 4 Core ),AMD,,1.40 GHz,,ATIV Book 9 Lite,NP915S3G-K04US,ATIV Book 9 Lite NP915S3G-K04US Notebook,,Notebook,HD,1366 x 768,13.3 '',Samsung SideSync Samsung HomeSync Lite S Player+ S PhotoStudio Samsung SmartAdvisor,128 GB,Yes,4 GB,2.0,Multi-touch Gesture,Yes,3.48 lb,12.8 '',Yes,IEEE 802.11b/g/n,,,LED,4080 mAh,,,,,Yes,,,,,,1.0,64-bit,,,,Yes,,,,,,,,,,,,,DDR3L-1066/PC3-8500,Security Lock Slot BIOS / HDD Password,,Serial ATA/600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"Asus X750JA-DB71 17.3"" LED Notebook - Intel Core i7 i7-4700HQ 2.40 GHz - Dark Gray - X750JADB71 - Laptops & Notebooks - ASUS Laptops & Notebooks - TheNerds.net",16 : 9,Lithium Ion ( Li-Ion ),44 Wh,No,,Asus,6 MB,,Dark Gray,,10.6 '',,Active Matrix TFT Color LCD,,,,Intel,HD 4600,Shared,DDR3 SDRAM,RoHS,Yes,Yes,1.2 '',Yes,,ASUS Computer International,X750JA-DB71,http : //usa.asus.com,3.65 Hour,,,Yes,MultiMediaCard ( MMC ),DDR3 SDRAM,,Yes,,4-cell,2.0,Windows 8,,DVD-Writer,X750JA-DB71 Notebook Lithium Ion Battery AC Adapter,TouchPad,Quad-core ( 4 Core ),Intel,i7-4700HQ,2.40 GHz,Core i7,,X750JA-DB71,X750JA-DB71 Notebook,X750JA,Notebook,HD+,1600 x 900,17.3 '',Microsoft Office 2010 ( Buy Key to Use The Full-Featured Buy Office Software on This PC . ),,Yes,8 GB,4.0,Multi-touch Gesture,No,6.20 lb,16.3 '',Yes,IEEE 802.11b/g/n,,,LED,2950 mAh,Ethernet,,1 TB,,Yes,,,8 GB,Yes,2.0,2.0,64-bit,DVD-RAM/ R/ RW,,Yes,Yes,,,,,,,,,Serial ATA,5400.0,Yes,,DDR3-1600/PC3-12800,Kensington Lock Slot BIOS Booting User Password Protection HDD User Password Protection and Security,,,No,,Intel,,,,,,,,,,,,,,HM86 Express,,,,,,,Yes,,,220 V AC,,90 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
