<page title>,display,hard drives,memory,networking,operating system,processors,support,video cards,optical drives
"$969 HP 15-k020us, HP ENVY 15-k020us Notebook PC",15.6 '' diagonal FHD LED-backlit touch screen ( 1920 x 1080 ),1TB 5400 rpm SATA,8GB 1600 MHz DDR3L SDRAM ( 1 x 8 GB ),Integrated 10/100/1000 Gigabit Ethernet LAN,Windows 8.1 64,"Intel® Core™ i7-4710HQ with Intel HD Graphics 4600 ( 3.5 GHz , 6 MB cache , 4 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics 4600 ( up to 1.75 GB ),SuperMulti DVD burner
"$629 Lenovo 11e, Lenovo ThinkPad Yoga 11e Convertible Laptop","11.6 '' HD ( 1366 x 768 ) IPS Display , Multitouch , Black","320GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,Intel Dual Band Wireless 7260AN with Bluetooth 4.0,Windows 8.1 64,Intel Celeron N2930 Processor on Mother Board,1 Year Depot or Carry-in,Integrated HD Graphics,
"$724 HP 15t, HP Pavilion - 15t Touch",15.6-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor + Intel® HD Graphics 4400,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",Intel® HD Graphics 4400,SuperMulti DVD burner
"$474 Lenovo E545, Lenovo ThinkPad E545 Laptop - 20B2CTO1WW","15.6W HD AntiGlare , Midnight Black","320GB Hard Disk Drive , 5400rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,ThinkPad 1x1 b/g/n,Windows 8 64,"AMD A6-5350M Accelerated Processor ( 2.9GHz to 3.5GHz , 1MB Cache , 1600MHz ) with Radeon HD 8450G Graphics",1 Year Depot or Carry-in,"E545 AMD , Integrated Graphics",DVD Recordable 8x Max Dual Layer
"$459 HP 17t, HP Pavilion 17t",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i3-4030U Dual Core Processor + Intel® HD Graphics 4400,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4400,SuperMulti DVD burner
"$774 HP 17t, HP Pavilion - 17t Touch Laptop Best Value i5",17.3-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ) Touchscreen,1TB 5400 rpm Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),Intel 802.11ac WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor + Intel® HD Graphics 4400,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",Intel® HD Graphics 4400,SuperMulti DVD burner
"$1149 Lenovo Y50, Lenovo Y50 Laptop",15.6 '' FHD LED AntiGlare Backlight ( 1920x1080,Hybrid 500GB 5400 RPM+8GB SSHD,8.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel® Dual Band Wireless-AC 3160,Windows 8.1 64,4th Generation Intel Core i7-4710HQ Processor ( 2.50GHz 1600MHz 6MB ),1 Year Depot or Carry-in,NVIDIA GeForce GTX 860M 2GB,
"$379 Lenovo S215, Lenovo IdeaPad S215 Laptop - 59414509",11.6 '' HD AntiGlare with integrated camera ( 1366x768 ),500GB 5400 RPM HDD,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1,AMD E1-2100 Processor ( 1GHz 1000MHz 1MB ),One year,AMD Radeon HD 8210 300MHz,
"$1124 HP 17-j184nr, HP ENVY 17-j184nr Notebook PC",17.3 '' diagonal FHD anti-glare LED-backlit ( 1920 x 1080 ),1TB 5400 rpm SATA,8GB 1600 MHz DDR3L SDRAM ( 1 x 8 GB ),Integrated 10/100/1000 Gigabit Ethernet LAN,Windows 8.1 64,"Intel® Core™ i7-4702MQ ( 2.2 GHz , up to 3.2 GHz , 6 MB cache , 4 cores )",1-year limited hardware warranty with toll-free support,"NVIDIA GeForce GT 750M ( 2 GB DDR3 dedicated , up to 4 GB )",Blu-ray player and SuperMulti DVD burner
"$704 HP 15t, HP ENVY 15t Slim Touch",15.6-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ),750GB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210M Dual Core Processor,1-year limited hardware warranty with toll-free support,Intel® HD Graphics,No Internal DVD or CD Drive
"$559 HP 15z, HP ENVY - 15z Laptop",15.6-inch diagonal HD BrightView LED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3 System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-5550M Accelerated Processor,1-year limited hardware warranty support,AMD Radeon ( TM ) HD Graphics,No Internal DVD or CD Drive
"$599 Lenovo Z710 , Lenovo IdeaPad Z710 Laptop - 59400487",17.3 '' HD LED Glossy 1366x768,500GB 5400 RPM,6.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8 64,4th Generation Intel Core i5-4200M Processor ( 3.10 GHz 400 MHz 3 MB ),One year,Intel® HD Graphics 4600,DVD Recordable ( Dual Layer )
"$469 Lenovo G50-70, Lenovo G50-70 Laptop",15.6 '' HD LED Glossy with integrated camera ( 1366x768 ),500GB 5400RPM,4.0GB PC3-12800 DDR3 SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1 64,4th Generation Intel® Core™ i3-4030U Processor ( 1.90 GHz 1600MHz 3MB ),One year,Intel® HD Graphics 4400,DVD Recordable ( Dual Layer )
"$519 HP 17z, HP Pavilion 17z PC",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A4-6210 Processor + AMD Radeon™ R3 Graphics,1-year limited hardware warranty with toll-free support,AMD Radeon™ R3 Graphics,SuperMulti DVD burner
"$774 HP 15z, HP Pavilion - 15z Beats Special Edition Touch Best Value",15.6-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ) Touchscreen,1TB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN and Bluetooth® [ 1x1 ],Windows 8.1 64,AMD Quad-Core A8-5545M Processor + AMD Radeon™ HD 8510G Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",AMD Radeon™ HD 8510G Graphics,SuperMulti DVD burner
"$1184 HP 15t, HP ENVY 15t Laptop Best Value",15.6-inch diagonal Full HD WLED-backlit Display ( 1920x1080 ),1.5TB 5400 rpm Hard Drive,16GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i7-4510U Dual Core Processor + 4GB NVIDIA GeForce GTX 850M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",4GB NVIDIA GeForce GTX 850M Graphics,SuperMulti DVD burner
"$1024 HP 17t, HP ENVY - 17t Leap Motion QE Laptop",17.3-inch diagonal HD+ BrightView LED-backlit Display ( 1600 x 900 ),1TB 5400 rpm Hard Drive,8GB DDR3 System Memory ( 2 Dimm ),802.11b/g/n WLAN,Windows 8.1 64,4th generation Intel® Core™ i7-4702MQ Processor,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4600,SuperMulti 8X DVD+/-R/RW with Double Layer Support
"$679 HP 15-p011nr, HP Pavilion 15-p011nr Notebook PC",15.6 '' diagonal FHD anti-glare LED-backlit touch screen ( 1920 x 1080 ),1TB 5400 rpm SATA,8GB 1600 MHz DDR3L SDRAM ( 1 x 8 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"AMD Quad-Core A10-5745M APU with Radeon HD 8610G Graphics ( 2.1 GHz , 4 MB cache )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",AMD Radeon R2 Graphics,SuperMulti DVD burner
"$529 Lenovo Z40, Lenovo Z40 Laptop",14.0 '' HD LED Glare ( 1366x768 ),500GB SSHD + 8 GB SSD,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1 64,4th Generation Intel Core i3-4030U Processor ( 1.90GHz 1600MHz 3MB ),One year,NVIDIA GeForce GT 820M 2GB,DVD Recordable ( Dual Layer )
"$954 HP 15t, HP ENVY - 15t Touch Laptop Best Value",15.6-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,1TB 5400 rpm Hard Drive,16GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4510U Dual Core Processor + 2GB NVIDIA GeForce 840M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",2GB NVIDIA GeForce 840M Graphics,Blu-ray writer and SuperMulti DVD burner
"$899 Lenovo T440s, Lenovo ThinkPad T440s Ultrabook",T440s 14.0 HD+ WWAN,"500GB Hard Disk Drive , 7200rpm",4 GB DDR3L - SDRAM 1600MHz Base,TThinkPad Wireless 2 x 2 BGN with Bluetooth,Windows 8 64,"4th Gen Intel Core i5-4200U Processor ( 3MB Cache , up to 2.60GHz )",,Intel HD Graphics 4400,
"$549 HP 500-291, HP Pavilion 500-291 Desktop PC",,1TB 7200 rpm SATA,4GB 1600 MHz DDR3 ( 1 x 4 GB ),Integrated 10/100/1000BASE-T Gigabit Ethernet LAN,Windows 7 Professional 64,"Intel® Core™ i3-4130 with Intel HD Graphics 4400 ( 3.4 GHz , 3 MB cache , 2 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics 4400,SuperMulti DVD burner
"$519 HP 15t, HP Pavilion 15t",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i3-4005U Dual Core Processor,"1-year limited hardware warranty , toll-free technical support ; 1-year",Intel® HD Graphics 4400,SuperMulti DVD burner
"$1399 Lenovo Y70, Lenovo Y70 Touch Laptop",17.3 '' FHD LED AntiGlare Multitouch with integrated camera ( 1920x1080 ),1TB 5400 RPM+8GB SSHD,8.0GB PC3-12800 DDR3L 1600 MHz,Intel® Dual Band Wireless-AC 3160,Windows 8.1 64,4th Generation Intel Core i7-4710HQ Processor ( 2.50GHz 1600MHz 6MB ),One year,NVIDIA GeForce GTX 860M GDDR5 4GB,
"$569 HP 17t, HP Pavilion - 17t Windows 7 Laptop",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),500GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 7 Professional 64,4th generation Intel Core i3-4005U Dual Core Processor 1.90GHz,1-year limited hardware warranty,Intel HD Graphics 4400,SuperMulti DVD burner
"$399 HP 11-n010dx, HP Pavilion 11-n010dx x360 PC",11.6 '' diagonal HD LED-backlit touch screen ( 1366 x 768 ),500GB 5400 rpm SATA,4GB 1600 MHz DDR3L SDRAM ( 1 x 4 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"Intel® Pentium® N3520 with Intel HD Graphics ( 2.16 GHz , up to 2.42 GHz , 2 MB cache , 4 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics ( up to 1.75 GB ),
"$569 HP 14t, HP Pavilion 14t",14.0-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i3-4030U Dual Core Processor + Intel® HD Graphics 4400,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4400,SuperMulti DVD burner
"$429 HP 14-p010nr, HP SlateBook 14-p010nr PC",14 '' diagonal FHD BrightView LED-backlit touch screen ( 1920 x 1080 ),16 GB eMMC,2 GB 1600 MHz DDR3L SDRAM ( onboard ),802.11b/g/n ( 1x1 ) and Bluetooth® 4.0 combo,"Android™ 4.3 , Jelly Bean",NVIDIA® Tegra® 4,"1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",,
"$519 HP 15t Laptop Best Value: 15.6"", Core i5-4210U, 6GB Memory, 500GB Hard Drive, Windows 8.1 - K0C13AV",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),500GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i5-4210U Dual Core Processor,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",Intel® HD Graphics 4400,SuperMulti DVD burner
"$249 HP 10z, HP Pavilion 10z Touch Laptop",10.1-inch diagonal HD WLED-backlit Display ( 1366x768 ) Touchscreen,500GB 5400 rpm Hard Drive,2GB DDR3L System Memory,802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Dual-Core E1 Micro-6200T Processor + AMD Radeon™ R2 Graphics,1-year limited hardware warranty support,,No Internal DVD or CD Drive
"$379 Lenovo Z50, Lenovo Z50 Laptop",15.6 '' FHD LED AntiGlare Backlight 1920x1080p,500GB 5400 RPM,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel Dual Band Wireless-AC 3160,Windows 8.1 ( 64-Bit ),Intel Celeron Processor 2957U ( 1.40GHz 1600MHz 2MB ),One year,NVIDIA GeForce 820M 2GB,DVD Recordable ( Dual Layer )
"$499 Lenovo U430p, Lenovo U430p Laptop - 59393074",14.0 '' HD LED with integrated camera 1366x768,Hybrid 500GB 5400 RPM+8GB SSHD,4.0GB PC3-12800 DDR3 SDRAM 1600 MHz,Intel Centrino Wireless -N 7260,Windows 8.1 64,4th Generation Intel Core i3-4010U Processor ( 1.70GHz 1600MHz 3MB ),One year,Intel® HD Graphics 4400,
"$659 Lenovo U530, Lenovo IdeaPad U530 Touch Laptop",15.6 '' FHD LED AntiGlare Multitouch with integrated camera ( 1920x1080 ),Hybrid 500GB 5400RPM+8GB SSHD,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel® Wireless-N 7260 ( 802.11bgn ),Windows 8.1 64,4th Generation Intel Core i3-4030U Processor ( 1.90GHz 1600MHz 3MB ),One Year,NVIDIA Geforce GT 730M N14M-GS DDR3 2GB,
"$754 HP 17t, HP ENVY - 17t Windows 7 Laptop",17.3-inch diagonal HD+ BrightView WLED-backlit Display ( 1600x900 ),1TB 5400 rpm Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 7 Professional 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor + Intel® HD Graphics 4600,1-year limited hardware warranty,Intel® HD Graphics 4600,SuperMulti DVD burner
"$704 HP 15t, HP ENVY 15t Windows 7 Laptop",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),1TB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 7 Professional 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor,1-year limited hardware warranty,Intel® HD Graphics 4600,SuperMulti DVD burner
"$469 HP 17z, HP Pavilion 17z Touch",17.3-inch diagonal HD+ WLED-backlit Display ( 1600x900 ),750GB 5400 rpm Hard Drive,4GB DDR3L System Memory ( 1Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,AMD Quad-Core A4-6210 Processor + AMD Radeon™ R3 Graphics,1-year limited hardware warranty with toll-free support,AMD Radeon™ R3 Graphics,SuperMulti DVD burner
"$549 Lenovo Flex 2, Lenovo Flex 2 (15 inch) Laotop",15.6 '' HD LED 10-Point Multitouch ( 1366x768 ),Hybrid 500GB 5400 RPM+8GB SSHD,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1 64,4th Generation Intel Core i3-4030U Processor ( 1.90GHz 1600MHz 3MB ),One year,Intel® HD Graphics 4400,None
"$399 Lenovo Tablet, Lenovo Thinkpad 10 Tablet",10.1 '' IPS LED LCD Touch 1920x1200,128GB,4.0GB LPDDR3 1066 MHz,Broadcom 802.11abgn WLAN ( 2x2 ),Windows 8.1 Pro 64,Intel Atom Z3795 Processor ( 1.59GHz 1066MHz 2MB ),One year,,
"$1324 HP 17t, HP ENVY 17t Touch Laptop Best Value",17.3-inch diagonal HD+ WLED-backlit Display ( 1600x900 ) Touchscreen,1TB 5400 rpm Hybrid Hard Drive,16GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4510U Dual Core Processor + 4GB NVIDIA GeForce GTX 850M Graphics,"1-year limited hardware warranty , toll-free technical support ; 1-year free limited software support ( from date of purchase )",4GB NVIDIA GeForce GTX 850M Graphics,SuperMulti DVD burner
"$439 HP 15t, HP - 15t Touch Laptop",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ) Touchscreen,500GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel ( R ) Core ( TM ) i3-4005U Dual Core Processor + Intel ( R ) HD Graphics 4400,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4400,SuperMulti DVD burner
"$804 HP 17t, HP ENVY 17t Touch",17.3-inch diagonal HD+ WLED-backlit Display ( 1600x900 ),1TB 5400 rpm Hard Drive,12GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor + Intel® HD Graphics 4600,1-year limited hardware warranty with toll-free support,Intel® HD Graphics 4600,SuperMulti DVD burner
"$854 Lenovo Yoga, Lenovo ThinkPad Yoga Ultrabook - 20CDCTO1WW",,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L on MB,Intel Wireless-N 7260 2X2 BGN+BT,Windows 8.1 64,"4th Gen Intel Core i3-4010U Processor ( 3MB Cache , 1.70GHz )",1 Year Depot or Carry-in,Intel HD Graphics 4400,
"$589 HP 13-r010dx, HP Split 13-r010dx x2 Detachable PC",13.3 '' diagonal IPS HD LED-backlit touch screen ( 1366 x 768 ),500GB 5400 rpm SATA SSHD,4GB 1066 MHz DDR3L SDRAM ( onboard ),802.11b/g/n ( 1x1 ) ; Bluetooth®,Windows 8.1 64,"Intel® Core™ i3-4012Y with Intel HD Graphics 4200 ( 1.5 GHz , 3 MB cache , 2 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",Intel HD Graphics 4200,
"$579 Lenovo Flex 2, Lenovo Flex 2 Laptop",14.0 '' HD LED 10-Point Multitouch ( 1366x768 ),Hybrid 500GB 5400 RPM+8GB SSHD,4.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Lenovo BGN Wireless,Windows 8.1 64,4th Generation Intel Core i5-4210U Processor ( 1.70GHz 1600MHz 3MB ),One year,Intel® HD Graphics 4400,
"$1369 Lenovo Y50 Touch, Lenovo Y50 Touch Laptop",15.6 '' FHD LED Backlit Multitouch ( 1920x1080 ),Hybrid 1TB 5400 RPM+8GB SSHD,16.0GB PC3-12800 DDR3L SDRAM 1600 MHz,Intel® Dual Band Wireless-AC 3160,Windows 8.1 64,4th Generation Intel Core i7-4710HQ Processor ( 2.50GHz 1600MHz 6MB ),One year,NVIDIA GeForce GTX 860M 2GB,
"$939 HP 15-k019nr, HP ENVY 15-k019nr Notebook PC",15.6 '' diagonal HD BrightView LED-backlit ( 1366 x 768 ),1TB 5400 rpm SATA,8GB 1600 MHz DDR3L SDRAM ( 1 x 8 GB ),Integrated 10/100/1000 Gigabit Ethernet LAN,Windows 8.1 64,"Intel® Core™ i7-4510U with Intel HD Graphics 4400 ( 2 GHz , 4 MB cache , 2 cores )","1-year limited hardware warranty , toll-free technical support ; 90-days limited software technical support ( from date of purchase )",NVIDIA GeForce 840M ( 2 GB DDR3 dedicated ),SuperMulti DVD burner
"$789 HP 17-f040us, HP Pavilion 17-f040us Notebook PC",17.3 '' diagonal HD+ BrightView LED-backlit touch screen ( 1600 x 900 ),750 GB 5400 rpm SATA,"6 GB DDR3L SDRAM ( 1 x 2 GB , 1 x 4 GB )",Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"Intel® Core™ i5-4210U with Intel HD Graphics 4400 ( 1.7 GHz , 3 MB cache , 2 cores )",1-year limited hardware warranty with toll-free support,Intel HD Graphics 4400,SuperMulti DVD burner
"$419 HP 15-g020nr, HP 15-g020nr TouchSmart Notebook PC",15.6 '' diagonal HD BrightView LED-backlit touch screen ( 1366 x 768 ),500 GB 5400 rpm SATA,4 GB 1600 MHz DDR3L SDRAM ( 1 x 4 GB ),Integrated 10/100 BASE-T Ethernet LAN,Windows 8.1 64,"AMD Quad Core A4-6210 APU with Radeon R3 Graphics ( 1.8 GHz , 2 MB cache )",1-year limited hardware warranty with toll-free support,AMD Radeon R3 Graphics,SuperMulti DVD burner
"$654 HP 15t, HP ENVY 15t",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),1TB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor + Intel® HD Graphics 4600,"1-year limited hardware warranty , toll-free technical support",Intel® HD Graphics 4600,SuperMulti DVD burner
"$569 HP 15t, HP Pavilion - 15t Windows 7 Laptop",15.6-inch diagonal HD BrightView WLED-backlit Display ( 1366x768 ),750GB 5400 rpm Hard Drive,6GB DDR3L System Memory ( 2 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 7 Professional 64,4th generation Intel® Core™ i3-4005U Dual Core Processor + Intel® HD Graphics 4400,1-year limited hardware warranty,Intel® HD Graphics 4400,SuperMulti DVD burner
"$799 Lenovo T540p, Lenovo ThinkPad T540p Laptop",T540p 15.6HD WWAN,"500GB Hard Disk Drive , 7200rpm",4GB PC3-12800 DDR3L SDRAM 1600MHz SODIMM,ThinkPad Wireless 2 x 2 BGN with Bluetooth,Windows 8 64,"Intel Core i3-4000M Processor ( 3MB Cache , 2.40GHz )",1 Year Depot or Carry-in,Intel HD Graphics,DVD Recordable 8x Max Dual Layer
"$704 HP 15t, HP ENVY 15t Touch",15.6-inch diagonal HD WLED-backlit Display ( 1366x768 ),1TB 5400 rpm Hard Drive,8GB DDR3L System Memory ( 1 Dimm ),802.11b/g/n WLAN [ 1x1 ],Windows 8.1 64,4th generation Intel® Core™ i7-4710HQ Quad Core Processor + Intel® HD Graphics 4600,"1-year limited hardware warranty , toll-free technical suppor",Intel® HD Graphics 4600,SuperMulti DVD burner
"$724 HP 14t-k100, HP ENVY TouchSmart 14t-k100 Ultrabook",14.0-inch diagonal HD+ Anti-glare LED-backlit Display Touchscreen ( 1600 x 900 ),500GB 5400 rpm Hard Drive,4GB DDR3 System Memory ( 1Dimm ),802.11 AC WLAN and Bluetooth® [ 2x2 ],Windows 8.1 64,"4th generation Intel® Core™ i5-4200U ( 1.6GHz , 3MB L3 Cache )",1-year limited hardware warranty support,Intel® HD Graphics,No Internal DVD or CD Drive
