<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
Lenovo Thinkcentre M93p 10ab0010us Desktop Computer - Intel Core I5 I5-4570t 2.90 Ghz - Tiny - Business Black - 4 Gb Ram - 500 Gb Hdd - Intel Hd 4600 - Windows 7 Professional 64-bit - Wireless Lan - (10AB0010US) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AB0010US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M93p 10AB0010US Desktop Computer,Desktop Computer,,,Yes,Yes,Yes,Yes,4 MB,Intel,Q87 Express,Business Black,Serial ATA/600,7.2 '' ( 182.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,1.4 '' ( 35.6 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,1.0,1.0,1.0,1.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,,,ThinkCentre M93p 10AB0010US Desktop ComputerKeyboardMouseAC/DC AdapterFloor standWindows 8 Professional License Media,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,10AB0010US,M93p,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,,4 GB,2.0,Yes,Yes,1.32 kg,7 '' ( 177.8 mm ),IEEE 802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkstation 1 Tb 3.5"" Internal Hybrid Hard Drive - 8 Gb Ssd Cache Capacity - Sata - 7200 Rpm - (4XB0F18665) - SoftwareCity.ca - Canada",Lenovo,Lenovo ThinkStation Desktop Workstations,SATA,SATA/600,Internal,3.5 '',,Lenovo Group Limited,4XB0F18665,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),No,,ThinkStation 1TB SATA 3.5 '' Hybrid HDD,Hybrid Hard Drive,7200 rpm,1 TB,No,,,,,,,,,,,,,Tunnelling Giant Magneto-resistive ( TGMR ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinkStation,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad T440s 20aq005qca 14"" Led Ultrabook - Intel Core I5 I5-4300u 1.90 Ghz - Graphite Black - 4 Gb Ram - 500 Gb Hdd - 16 Gb Ssd - Intel Hd 4400 - Windows 7 Professional 64-bit (french) - 1600 X 900 Display - Bluetooth - French Keyboard - (20AQ005QCA) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20AQ005QCA,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad T440s 20AQ005QCA Ultrabook,Ultrabook,,,Yes,Yes,,,3 MB,Intel,QM87 Express,Graphite Black,,8.9 '' ( 226.1 mm ),Yes,,Gigabit Ethernet,,,,Intel,HD 4400,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.0 , GREENGUARD , RoHS",Yes,,0.8 '' ( 20.6 mm ),,,Yes,Yes,3 Year,12 GB,45 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,1.0,3.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,No,,ThinkPad T440s 20AQ005QCA Ultrabook2 x Standard BatteriesAC AdapterWin 8 Pro ( 64-bit ) License Media,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,ThinkPad,20AQ005QCA,T440s,,,4 GB,3.0,Yes,Yes,1.59 kg,13 '' ( 330.2 mm ),IEEE 802.11a/b/g/n/ac,16 : 9,LED,Lithium Ion ( Li-Ion ),23.50 Wh,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,,Yes,,,Yes,Yes,French,,8.40 Hour,2.90 GHz,Yes,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,3-cell,,HD+,1600 x 900,14 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-Compliant Smart Card Reader",,16 GB,M.2,Yes,Multi-touch Gesture,No,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad Edge E540 20c600aaca 15.6"" Led Notebook - Intel Core I3 I3-4000m 2.40 Ghz - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 8 Pro 64-bit (french) - 1366 X 768 Display - Bluetooth - French Keyboard - (20C600AACA) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20C600AACA,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad Edge E540 20C600AACA Notebook,Notebook,,,,Yes,,,3 MB,Intel,HM87 Express,,,9.8 '' ( 249.9 mm ),,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"RoHS , EPEAT Gold , ENERGY STAR 5.2",Yes,Yes,1.2 '' ( 29.7 mm ),,,Yes,Yes,1 Year,16 GB,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,2.0,2.0,Windows 8 Pro Downgradable to Windows 7 Professional ( French ),64-bit,DVD-Writer,,ThinkPad Edge E540 20C600AACA Notebook Lithium Ion Battery AC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i3-4000M,2.40 GHz,Core i3,ThinkPad Edge,20C600AACA,E540,,,4 GB,3.0,Yes,No,2.46 kg,14.8 '' ( 376.9 mm ),,16 : 9,LED,Lithium Ion ( Li-Ion ),,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,Mini PCI Express,,,,Yes,,French,,,,Yes,"Secure Digital ( SD ) , Secure Digital Extended Capacity ( SDXC ) , Secure Digital High Capacity ( SDHC ) , MultiMediaCard ( MMC )",Yes,,6-cell,,HD,1366 x 768,15.6 '',Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,,Yes,Multi-touch Gesture,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,1 x 500 GB,Serial ATA/300,5400.0,,,,,,,,,,,,,,,500 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Canvio Connect 1 Tb External Hard Drive - Usb 3.0 - 5400 Rpm - 8 Mb Buffer - Portable - Black - 1 Pack - (HDTC710XK3A1) - SoftwareCity.ca - Canada,Toshiba,,,,External,,,Toshiba,HDTC710XK3A1,http : //www.toshiba.ca,640 MBps ( 5 Gbps ),,,Canvio Connect Hard Drive,Hard Drive,5400 rpm,1 TB,,,,,,,,Black,,4.4 '' ( 111 mm ),,,,"Password Protection , 256-bit AES Encryption",,Portable,,,,,,,,0.6 '' ( 15 mm ),,,,,2 Year,,,,,,,,,,,,,,,,,Canvio Connect Hard Drive USB 3.0 Cable ( works with USB 2.0 ) Quick Start Guide,,,,,,,Canvio Connect,,,NTI Backup Now EZ Cloud Backup,,,,,,229.9 g,3.1 '' ( 79 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac , PC",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8 MB,Yes,USB 3.0,Available USB 2.0 or USB 3.0 Port Operating System ( s ) : Windows 8 Windows 7 Windows XP Mac OS X Snow Leopard ( 10.6.6 or above ) Mac OS X Lion Mac OS X Mountain Lion,,,,,,,,,,,,,12 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo 3 Tb 3.5"" Internal Hard Drive - Sata - 7200 Rpm - 64 Mb Buffer - (4N40A33711) - SoftwareCity.ca - Canada",Lenovo,Lenovo EMC PX Series NVR,SATA,SATA/600,Internal,3.5 '',,Lenovo Group Limited,4N40A33711,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),,,"Spare Hard Drive for px-d , Server Class 3 TB",Hard Drive,7200 rpm,3 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Storage Controller Battery - 1500 Mah - Lithium Ion (li-ion) - 3.7 V Dc - (67Y2647) - SoftwareCity.ca - Canada,Lenovo,RAID 700 Controller for Lenovo ThinkServer,,,,,,Lenovo Group Limited,67Y2647,http : //www.lenovo.com/ca/en,,,,Storage Controller Battery,Storage Controller Battery,,,,,,,,,,,,2.6 '' ( 66 mm ),,,,,,,,,,,,,,2.1 '' ( 53.3 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67Y2647,,,,,,,,,0.6 '' ( 15 mm ),,,,Lithium Ion ( Li-Ion ),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 mAh,Yes,Proprietary Battery Size,3.7 V DC,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Enterprise 1 Tb 3.5"" Internal Hard Drive - Sata - 7200 Rpm - (0C19502) - SoftwareCity.ca - Canada",Lenovo,Lenovo Thinkserver TS440,SATA,SATA/600,Internal,3.5 '',,Lenovo Group Limited,0C19502,http : //www.lenovo.com/ca/en,768 MBps ( 6 Gbps ),No,,ThinkServer 3.5 '' 1TB 7.2K Enterprise SATA 6Gbps Hard Drive,Hard Drive,7200 rpm,1 TB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Storcenter Px4-300r Network Storage Array, Server Class - Intel Celeron E1500 2.20 Ghz - 4 X Total Bays - 12 Tb Hdd (4 X 3 Tb) - 2 Gb Ram - Raid Supported - 3 X Usb Ports - (70BJ9004WW) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,70BJ9004WW,http : //www.lenovo.com/ca/en,,Yes,,"StorCenter px4-300r Network Storage Array , Server Class",NAS Server,,,,,,,,,,,,20 '' ( 508 mm ),,,,,,Rack-mountable,,,,,,,,1.7 '' ( 43.2 mm ),,,,,,,,,,,,,,,,,,EMC LifeLine,,,,,,Dual-core ( 2 Core ),Intel,E1500,2.20 GHz,Celeron,StorCenter,px4-300r,Server Class,,,2 GB,3.0,,,14.97 kg,17 '' ( 431.8 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 3 TB,Serial ATA,7200.0,,,,,,,"0 , 1 , 10 , 5 , 5+1 Hot Spare , JBOD",Yes,,12 TB,,,,,,3.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1U,,,,,,,,,,,,,,,,,,4,,"iSCSI , UPnP , IP , CIFS/SMB , NFS , AFP , Bonjour , FTP , SFTP , TFTP , HTTP , HTTPS , WEBDAV , FXP , DFS , SNMP , PTP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M73 10b00006ca Desktop Computer - Intel Core I3 I3-4130 3.40 Ghz - Mini-tower - Business Black - 4 Gb Ram - 500 Gb Hdd - Intel - Windows 7 Professional 64-bit (french) - (10B00006CA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10B00006CA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCenter M73 10B00006CA Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,3 MB,Intel,H81 Express,Business Black,Serial ATA/600,16.6 '' ( 421.6 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Mini-tower,Intel,HD Graphics 4400,Shared,DDR3 SDRAM,"RoHS , GREENGUARD",Yes,,15.3 '' ( 388.6 mm ),,,Yes,Yes,3 Year,16 GB,280 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,1.0,1.0,3.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCenter M73 10B00006CA Desktop ComputerUSB KeyboardUSB MouseWindows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,ThinkCentre,10B00006CA,M73,,,4 GB,6.0,Yes,No,9.39 kg,6.3 '' ( 160 mm ),,,,,,No,,,5 GT/s,,,,,,,,,French,Physical Keyboard,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Serial ATA/600,7200.0,1.0,,1.0,,,,,,,500 GB,,,,,,4.0,Yes,DIMM,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo 57y4390 2gb Ddr3 Sdram Memory Module - 2 Gb - Ddr3 Sdram - 1333 Mhz Ddr3-1333/pc3-10600 - Non-parity - Registered - 240-pin - Dimm - (57Y4390) - SoftwareCity.ca - Canada,Lenovo,Lenovo ThinkStation E20Lenovo ThinkCentre Desktop PCs : M90M90pA63,,,,,,Lenovo Group Limited,57Y4390,http : //www.lenovo.com/ca/en,,,,57Y4390 2GB DDR3 SDRAM Memory Module,RAM Module,,,,,,,,,,,,,,,,,,DIMM,,,,,,,,,,,,,3 Year,,,DDR3-1333/PC3-10600,DDR3 SDRAM,,,,,,,,,,,,,,,,,,,,,57Y4390,,,,,,,,20 g,1.5 '' ( 39 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-parity,5.2 '' ( 133 mm ),2 GB,1333 MHz,240-pin,,Registered,0.2 '' ( 4 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M73 10ay0020ca Desktop Computer - Intel Core I5 I5-4570t 2.90 Ghz - Tiny - Business Black - 4 Gb Ram - 128 Gb Ssd - Intel - Windows 7 Professional 64-bit (french) - Wireless Lan - Bluetooth - (10AY0020CA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AY0020CA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCenter M73 10AY0020CA Desktop Computer,Desktop Computer,,,Yes,Yes,Yes,,4 MB,Intel,H81 Express,Business Black,Serial ATA/600,7.2 '' ( 182.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Tiny,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"ENERGY STAR 5.0 , RoHS , GREENGUARD , EPEAT Gold",Yes,,1.4 '' ( 35.6 mm ),,,Yes,Yes,3 Year,16 GB,65 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,1.0,1.0,1.0,1.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,No,,ThinkCenter M73 10AY0020CA Desktop ComputerUSB KeyboardUSB MouseWindows 8 Pro License MediaFloor Stand,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,10AY0020CA,M73,,,4 GB,5.0,Yes,No,1.32 kg,7 '' ( 177.8 mm ),IEEE 802.11b/g/n,,,,,Yes,Bluetooth 4.0,,5 GT/s,,,,,,,Yes,,French,Physical Keyboard,,3.60 GHz,,,,,,,,,,,,,Serial ATA/600,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,SoDIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,
"Lenovo Thinkpad Edge E540 20c6008wus 15.6"" Led Notebook - Intel Core I3 I3-4000m 2.40 Ghz - 4 Gb Ram - 320 Gb Hdd - Dvd-writer - Intel Hd 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth - (20C6008WUS) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20C6008WUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkPad Edge E540 ( 20C6-008WUS ),Notebook,,,Yes,Yes,,,3 MB,Intel,HM87 Express,,,9.8 '' ( 249.9 mm ),,,Gigabit Ethernet,,,,Intel,HD 4600,Shared,DDR3L SDRAM,"ENERGY STAR 5.2 , RoHS , EPEAT Gold",Yes,Yes,1.2 '' ( 29.7 mm ),,,Yes,Yes,,16 GB,,DDR3L-1600/PC3-12800,,,,,,,,2.0,2.0,Windows 7 Professional,64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkPad Edge E540 ( 20C6-008WUS ) Lithium Ion BatteryAC Adapter,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i3-4000M,2.40 GHz,Core i3,ThinkPad Edge,20C6008WUS,E540,,,4 GB,3.0,Yes,No,2.45 kg,14.8 '' ( 376.9 mm ),IEEE 802.11b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),,Yes,Bluetooth 4.0,,5 GT/s,,Active Matrix TFT Color LCD,Mini PCI Express,,,,Yes,,,,,3.10 GHz,Yes,"Secure Digital High Capacity ( SDHC ) , Secure Digital ( SD ) Card , Secure Digital Extended Capacity ( SDXC ) , MultiMediaCard ( MMC )",Yes,,6-cell,,HD,1366 x 768,15.6 '',Secure Chip Power-on Password Hard Disk Password Supervisor Password Security Keyhole,,,,Yes,Multi-touch Gesture,,,Intel,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Serial ATA/600,7200.0,,,,,,,,,,,,,,,320 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
