<page title>,anzahl der kernethreads,level 2 cache,prozessorhersteller,prozessormodel,prozessortyp,taktung,tdp thermal design power,level 3 cache,besonderheiten,turboboost,level 23 cache,3x usb 2x usb 30
"Schenker XMG C404-9UD 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 512GB SSD, GTX860M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG C404-7AB 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG A504-9UH 39,6cm (15,6"") Gaming Notebook | ab 35,6 cm (14"") | Gaming & Highend | nach Einsatzgebiet | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"ASUS PRO P55VA-SO025G Notebook 15,6"" (Intel P2020M, 4GB, 500GB, DVD SuperMulti, HD Graphics, W | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/2,,Intel,2020M,Pentium,"2 x 2,40 GHz",35 Watt,,,,2 MB,
"Schenker XMG C404-3ED 35,6cm (14.0"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P704-6EL 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker B513-1OX 39,6cm (15.6'') Notebook (Core i5-4310M, 8GB, 1000GB, Intel HD Graphics, ohne OS) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,4310M,Core i5-4,"2 x 2,70 GHz",37 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,40 GHz",,
"Schenker XMG P704-2OC 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P304-2OV 33,8cm (13,3"") Gaming Notebook | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"2 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",6 MB,
"Schenker XMG C504-5IK 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 750GB HDD + 120GB SS | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker B713-1AX 43,9cm (17.3'') Notebook (Core i7-4710MQ, 8GB, 1000GB, Intel HD Graphics, Win7HP) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P504-1EM 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker XMG P304-4OF 33,8cm (13.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS B53A-SO098X Business 15,6"" Notebook (Ci3-3110M, 4GB, 500GB,DVD SuperMulti, HD4000, Win 7 P | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,3110M,Core i3-3,"2 x 2,40 GHz",35 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading,,,
"Schenker XMG C504-5OG 39,6cm (15.6"") Gaming Notebook (Core i7-4710HQ, 8GB, 1000GB HDD + 250GB S | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710HQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"Schenker B513-8AR 39,6cm (15.6'') Notebook (Core i5-4310M, 8GB, 1000GB, Intel HD Graphics, Win7HP) | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,4310M,Core i5-4,"2 x 2,70 GHz",37 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,40 GHz",,
"Schenker XMG P504-9OP 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 1000GB + 250GB SSD, GTX8 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS Notebook PRO P55VA-SO028G Notebook 15,6"" (Ci5-3210M, 4GB, 500GB, Win 7 Pro) | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,,"3,10 GHz",,
"ASUS Notebook P55VA-SO028D (15,6'') (Ci5-3210M, 4GB, 500GB, DVD-Writer, HD4000, FreeDOS) | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,10 GHz",,
HP Pavilion 17-f050ng 17'' (A8-6410 4GB 500GB Radeon R5 Win8.1) (J1R31EA) | HP Pavilion 17 Serie | HP | nach Hersteller-Serie | Notebooks | hoh.de,4/4,2 MB,AMD,A8-6410,AMD-A8,"4 x 2,00 GHz",15 Watt,,,"2,40 GHz",,1x USB 2.0 ) /LAN/WLAN 802.11bgn
"HP Pavilion 17-f054ng 17,3'' Full HD (A10-5745M 8GB 750GB R7 M260 Win8.1) (J1R35EA) | ab 43,2 cm (17"") | Multimedia | nach Einsatzgebiet | Notebooks | hoh.de",4/4,4 MB,AMD,A10-5745M,AMD-A10,"4 x 2,10 GHz",25 Watt,,,"2,90 GHz",,1x USB 2.0 ) /LAN/WLAN 802.11bgn
"HP ProBook 450 G1 15,6 (i7-4702MQ 8GB 750GB HD4600 Win 7 + 8 Pro) (E9Y58EA) | HP | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",4/8,1 MB,Intel,i7-4702MQ,Core i7-4,"4 x 2,20 GHz",37 Watt,6 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,20 GHz",,
"Toshiba Tecra W50-A-10G 39,6cm (15,6"") Notebook | Toshiba | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",4/8,,Intel,i7-4800MQ,Core i7-4,"4 x 2,70 GHz",47 Watt,6 MB,,,,
HP Pavilion 17-f022ng 17'' (A8-6410 4GB 500GB Radeon R5 FreeDOS) (J1T21EA) | HP Pavilion 17 Serie | HP | nach Hersteller-Serie | Notebooks | hoh.de,4/4,2 MB,AMD,A8-6410,AMD-A8,"4 x 2,00 GHz",15 Watt,,,"2,40 GHz",,1x USB 2.0 ) /LAN/WLAN 802.11bgn
"Schenker M504-1AB 39,6cm (15.6"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS Business TRANSFORMER BOOK TX300CA-C4005H Notebookl 13.3"" (Ci7-3517U, 4GB, 500GB, 500GB + 1 | Mobile Entertainment | Asus | nach Hersteller-Serie | Notebooks | hoh.de",2/4,,Intel,3517U,Core i7-3,"2 x 1,90 GHz",17 Watt,4 MB,,"3,00 GHz",,
"Schenker M504-5AN 39,6cm (15.6"") Notebook (Core i7-4710MQ, 8GB, 500GB HDD + 120GB SSD, GTX850M, | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"ASUS Notebook ASUSPRO ESSENTIAL P550CA XO522G 15.6'' (CI3-3217U, 4Gb, 500GB, Win 7 Pro) | ab 15"" | Einsteiger | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,3317U,Core i3,"2 x 1,80 GHz",17 Watt,,,,3 MB,
"ASUS PRO P55VA-SO025D Notebook 15,6"" (Intel 2020M, 4GB, 500GB, DVD SuperMulti, HD Graphics, Fre | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/2,,Intel,2020M,Pentium,"2 x 2,40 GHz",35 Watt,,,,2 MB,
"Fujitsu TS Ultrabook U772 14"" | Ultrabooks | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,i5-3337U,Core i5-3,"2 x 1,80 GHz",17 Watt,,,"2,70 GHz",3 MB,
"ASUS B53V-SO041G Notebook 15,6"" (Ci5-3210M, 4GB, 500GB, Win 8 Pro) | ab 38,1cm (15"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,2 x 256 KB,Intel,3210M,Core i5-3,"2 x 2,50 GHz",35 Watt,3 MB,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost,"3,10 GHz",,
"Schenker XMG A504-2EG 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 128GB SSD, GTX86 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"HP 255 G2 15,6'' (E1-2100 4GB 500GB HD8210 DOS) (F0Z73EA) | HP | 15"" bis 16,9"" | nach DisplaygrÃ¶Ãe | Notebooks | hoh.de",2/2,1 MB,AMD,E1-2100,AMD E-Series,"2 x 1,00 GHz",9 Watt,,,,,
"Schenker XMG P504-7EF 39,6cm (15.6'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
"DELL Notebook Latitude 3440 35,6 cm (14'') | ab 35,6 cm (14"") | Business | nach Einsatzgebiet | Notebooks | hoh.de",2/4,,Intel,i5-4200U,Core i5-4,"2 x 1,60 GHz",15 Watt,3 MB,,,,
"Schenker XMG P704-5EY 43,9cm (17.3'') Gaming Notebook (Core i7-4710MQ, 8GB, 500GB + 120GB SSD, GTX87 | Schenker XMG | Schenker | nach Hersteller-Serie | Notebooks | hoh.de",4/8,,Intel,4710MQ,Core i7-4,"4 x 2,50 GHz",47 Watt,,64 Bit wird unterstÃ¼tzt / Intel Hyper-Threading / Intel Turbo Boost 2.0,"3,50 GHz",,
