<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
"Gateway 15.6"" Laptop, NE56R52u-10054G50Mnks - Walmart.com","Power Cord , Battery",4 hours 30 minutes,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,15.6 inch,NX.Y1UAA.045,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,1.90 GHz,Intel Celeron 1005M Dual-Core Processor,16.8 x 12.4 x 3.3,1366 x 768,"LED Backlight , HD Ultrabright Display",7.45,Please visit your local store to see if this item is in stock .,4 GB,552241467,,8 GB,,,,,
"Lenovo ThinkPad T540P Black 15.6"" Laptop PC with Intel Core i5-4200M Processor - Walmart.com","Power Cord , Battery",7 hours,Lithium Ion,"4-in-1 card reader 1 x ( SD ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MMC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,500 GB,15.6 inch,20BE003AUS,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.50 GHz , with a Max Turbo Speed of 3.10 GHz",Intel Core i5-4200M Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Display",7.55,Please visit your local store to see if this item is in stock .,4 GB,552114475,2500MHz,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",,,,,
Dell Refurbished Silver E6420 Windows 7 Laptop PC - Walmart.com,"Power Cord , Battery",6 hours,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel HD Graphics,320 GB,14.0 inch,E6420,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Silver,Intel,2.50 GHz,Intel Core i5 Processor,9.5 x 13.8 x 1.3,1280 x 800,"LED Backlight , AntiGlare HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,552818771,,4 GB,,,,,
"Dell Pre-Owned, Refurbished Black 14.1"" Laptop - Walmart.com","AC Adapter , Battery",,Lithium Primary,,"1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Headphone , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Intel GMA 4500 HD,80 GB,14.1 inch,E5400,DVD-RW,10/100/1000 Gigabit Ethernet & 802.11a Wireless LAN,Windows 7 Home Premium 64-bit,PC,Black,Intel,2.40 GHz,Intel Core 2 Duo Processor,13.0 x 10.0 x 1.0,1280 x 800,"LED Backlight , HD Display",10.0,Please visit your local store to see if this item is in stock .,2 GB,551956093,,4 GB,,Refurbished,,,
Get the Dell 745 Tower Desktop PC at Walmart.com. Save money. Live better.,,,Lithium Ion,,,,1TB,,745,,,Windows 7 Professional 32-bit,,Black,,,Intel Core 2 Duo Processor,17.3 x 16.3 x 7.3,,,27.2,Please visit your local store to see if this item is in stock .,4 GB,552088536,,,,,N/A,No,DVD-CDRW Drive
"Dell 15.6"" Inspiron Laptop PC, Silver, 8GB Memory - Walmart.com","Power Cord , Battery",,Lithium Ion,8-in-1 Digital Media Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 2 x USB 3.0",AMD Radeon HD 8610G,1 TB,15.6 inch,i5535-2684sLV,DVD Writer,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1,PC,Silver,AMD,"2.10 GHz , with a Max Turbo Speed of 2.90 GHz",AMD Quad-Core A10-5745M Processor,14.8 x 10.2 x 1.1,1366 x 768,"LED Backlight , HD Truelife Display",8.31,Please visit your local store to see if this item is in stock .,8 GB,552200957,,,,,,,
"Acer Glossy Black 11.6"" Aspire V5-123-3466 Laptop PC with AMD E1-2100 Dual-Core Processor, 4GB Memory, 500GB Hard Drive and Windows 8: Computers : Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",AMD Radeon HD 8210,500 GB,11.6 inch,NX.MFQAA.005,,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8 64-bit,PC,Black,AMD,1.0 GHz,AMD Dual-Core E1-2100 Processor,15.0 x 9.4 x 3.0,1366 x 768,"LED Backlight , ComfyView HD Display",4.25,Please visit your local store to see if this item is in stock .,4 GB,552210559,,4 GB,,,,,
"Acer Windows 8 Laptop,S3-391-6448 - Walmart.com","Power cord , 3-Cell Lithium Ion , Quick Start Guide",6 hours 30 minutes,Lithium Ion,"2 in 1 Card Reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x HDMI , 2 x USB 3.0",Intel HD Graphics 3000,20 GB,13.3 inch,NX.M1FAA.013,,802.11a/g/n Wireless LAN,Windows 8 64-bit,PC,Silver,Intel,1.70 GHz,Intel Core i3-2377M Processor,12.7 x 8.6 x 1.2,1366 x 768,"LED Backlight , HD+ BrightView Display",4.6,Please visit your local store to see if this item is in stock .,6 GB,551292956,,4 GB,,Refurbished,,,
"Dell 17.3"" Inspiron Laptop PC, 17 5748 - Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,1 TB,17.3 inch,i5748-6428sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,16.3 x 11.2 x 1.1,1600 x 900,"LED Backlight , HD+ Truelife Display",9.13,Please visit your local store to see if this item is in stock .,8 GB,552701160,,8 GB,,,,,
"Dell E6510 Laptop, 15.5"" - Walmart.com","Power Cord , Battery",,Lithium Primary,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD,160 GB,15.5 inch,E6510,DVD-RW Drive,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Silver,Intel,2.40 GHz,Intel Core i5 Processor,9.9 x 14.7 x 1.28,1280 x 800,"LCD , HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,552220659,,8 GB,,,,,
"HP Black Licorice 15.6"" Laptop, 15-g059wm - Walmart.com","Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",AMD Radeon R5,750 GB,15.6 inch,15-g059wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,"2.00 GHz , with a Max Turbo Speed of 2.40 GHz",AMD Quad-Core A8-6410 APU Processor,10.2 x 14.88 x 1.0,1366 x 768,"LED Backlight , HD Brightview Touchscreen Display",6.9,Please visit your local store to see if this item is in stock .,4 GB,552902623,,,,,,,
"HP 6005 Desktop PC, Black - Walmart.com",,,Lithium Primary,,,,160GB,,6005Pro,,,Windows 7 Home Premium 32-bit,,Black,,,AMD Athlon II X2 Processor,14.9 x 13.3 x 4.0,,,25.0,Please visit your local store to see if this item is in stock .,4 GB,551220928,,,,,N/A,No,DVD-RW Drive
Get the HP DC5800 Tower PC at Walmart.com. Save money. Live better.,,,Lithium Ion,,,,750GB,,DC5800,,,Windows 7 Professional 64-bit,,Gray,,,Intel Core 2 Duo Processor,16.85 x 14.85 x 6.95,,,26.0,Please visit your local store to see if this item is in stock .,4 GB,551916896,,,,,N/A,No,DVD-RW Drive
Acer TravelMate P645-M-6427 - Core i5 4200U / 1.6 GHz - Windows 7 Pro 64-bit / 8 Pro 64-bit - pre-installed: Windows 7 -: Computers : Walmart.com,,,,,,,256 GB,14.0 inch,,,,Windows 8 Pro 64-bit,,,Intel,,Intel Dual-Core i5-4200U Processor,,,,6.4,Please visit your local store to see if this item is in stock .,,552119773,,,,,,,
"Acer Aspire Laptop PC, E1-532-35584G50Mnrr - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,15.6 inch,NX.MHGAA.002,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Red,Intel,1.70 GHz,Intel Pentium 3558U Dual-Core Processor,15.0 x 10.1 x 0.5,1366 x 768,"LED Backlight , HD Display",5.2,Please visit your local store to see if this item is in stock .,4 GB,552307948,,,),,,,
"ASUS 15.6"" Laptop, D550MAV-DB01 - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel UMA,500 GB,15.6 inch,Asus D550MAV-DB01,DL DVD±RW/CD-RW,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,"2.16 GHz , with a Max Turbo Speed of 2.40 GHz",Intel Bay Trail-M N2830 Dual-Core Processor,15.0 x 9.9 x 1.2,1366 x 768,"LED Backlight , HD Glossy Display",6.4,Please visit your local store to see if this item is in stock .,4 GB,552945623,,4 GB,,,,,
"Acer Aspire Laptop PC, E1-532-29574G50Mnrr - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,15.6 inch,NX.MHGAA.001,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Red,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,15.0 x 10.1 x 0.5,1366 x 768,"LED Backlight , HD Display",5.2,Please visit your local store to see if this item is in stock .,4 GB,552307929,,8 GB,),,,,
Asus Tablet with 64GB Memory - Black - Walmart.com,,,,,,,64 GB,N/A,,,,Windows,,,Intel,,Intel Atom Z3740 Processor,,,,3.75,Please visit your local store to see if this item is in stock .,,551796345,,,,,,,
"HP Refurbished Argento 17.3"" Pavilion dv7-4169wm Laptop PC with AMD Phenom II N850 Processor, 4GB Memory, 640GB Hard Drive, Blu-ray Disc Drive and Windows 7 Home Premium: Computers : Walmart.com",,,Lithium Ion,,"1 x DC-in , 1 x eSATA/USB 2.0 Combo , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 3 x USB 2.0 , 1 x VGA",ATI Mobility Radeon HD 5470 with 512MB of dedicated system memory,640GB,N/A,DV7-4169WM,,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,AMD,2.20 GHz,AMD Phenom II N850 Processor,10.8 x 16.35 x 1.46,1600 x 900,,11.5,Please visit your local store to see if this item is in stock .,4 GB,552055814,1800MHz,,),,,,
"HP Refurbished Laptop, 15-d017c - Walmart.com","Power Cord , Battery",,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",AMD Radeon HD 8400,750 GB,15.6 inch,F5Y33UAR # ABA,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Red,AMD,2.00 GHz,AMD Quad-Core A6-5200 Accelerated Processor,20.4 x 13.4 x 3.1,1366 x 768,"LED Backlight , HD BrightView Display",6.65,Please visit your local store to see if this item is in stock .,4 GB,552701563,,,,,,,
"ASUS TP500LA-DH71T Transformer Book Flip Intel Core i7 4510U 2GHz 8GB Memory 1TB HDD 15.6"" Full HD 1366 x 768 2-In-One N: Computers : Walmart.com",,,,,,,1 TB,15.6 inch,,,,Windows 8.1 64-bit,,,Intel,,Intel Core i7-4510U Haswell Processor,,,,7.6,Please visit your local store to see if this item is in stock .,,553165495,,,,,,,
"ASUS 17.3"" Laptop PC with Intel Core i7-4700HQ Quad-Core Processor, G750JM-DS71 - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Ion,,"1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x HDMI , 1 x Thunderbolt , 4 x USB 2.0",NVIDIA GeForce GTX 860M with 2GB of dedicated system memory,1 TB,17.3 inch,G750JM-DS71,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,2.40 GHz,Intel Core i7-4700HQ Quad-Core Processor,22.5 x 14.6 x 3.8,1920 x 1080,"LED Backlight , Full HD Display",13.45,Please visit your local store to see if this item is in stock .,12 GB,552599369,,"32 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",,,,,
"Dell Silver 15.6"" Inspiron 15 5547 laptop with intel core i7-4510U processor - Walmart.com","Power Cord , Battery",7 hours 17 minutes,Lithium Ion,"5-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SD 3.0 ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Integrated Graphics,1 TB,15.6 inch,i5547-15001sLV,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,14.9 x 10.0 x 0.9,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",5.4,Please visit your local store to see if this item is in stock .,16 GB,552701058,,16 GB,,,,,
"Dell 18.4"" Alienware ALW18-3005SLV Laptop with Intel Core i7-4700MQ Processor - Walmart.com","Power Cord , Battery",,Lithium Ion,9-in-1 Digital Media Card Reader,"2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Microphone , 1 x Mini-DisplayPort , 4 x USB 3.0",NVIDIA GeForce GTX 765M with 2GB of dedicated system memory,1 TB,18.4 inch,ALW18-3005sLV,Dual-Layer DVD Burner,10/100/1000 Gigabit Ethernet & 802.11a/c Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,Intel,3.40 GHz,Intel Core i7-4700MQ Processor,17.97 x 12.91 x 2.23,1920 x 1080,"LED Backlight , Full HD Display",21.1,Please visit your local store to see if this item is in stock .,8 GB,552359130,,,),,,,
"Dell 17.3"" Inspiron Laptop PC, 17 5748 - Walmart.com","Power Cord , Battery",5 hours 26 minutes,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0",Integrated Graphics,1 TB,17.3 inch,i5748-8571sLV,Tray Load DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,16.3 x 11.2 x 1.1,1920 x 1080,"LED Backlight , Full HD Touchscreen Display",9.13,Please visit your local store to see if this item is in stock .,8 GB,552701168,,8 GB,,,,,
Lenovo ThinkPad W540 Laptop PC - Walmart.com,"Power Cord , Battery",11 hours 6 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600 & NVIDIA Quadro K2100M,256 GB,15.6 inch,20BG0016US,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.70 GHz , with a Max Turbo Speed of 3.70 GHz",Intel Quad-Core i7-4800MQ Processor,15.3 x 11.4 x 5.0,2880 x 1620,"LED Backlight , Full HD Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552210584,,32 GB,,,,,
"Acer Aspire Laptop PC, E1-771-53236G50Mnii - Walmart.com","Power Cord , Battery",3 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel HD Graphics 4000,500 GB,17.3 inch,NX.MG7AA.005,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Gray,Intel,2.60 GHz,Intel Dual-Core i5-3230M Processor,16.3 x 10.8 x 1.2,1600 x 900,"LED Backlight , CineCrystal Widescreen HD+ Display",7.1,Please visit your local store to see if this item is in stock .,6 GB,552307967,,8 GB,),,,,
"Lenovo ThinkPad Laptop, W540 - Walmart.com","Power Cord , Battery",11 hours 6 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x Headphone/Microphone , 2 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600 & NVIDIA Quadro K1100M with 2GB of dedicated system memory,256 GB,15.6 inch,20BG0014US,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.70 GHz , with a Max Turbo Speed of 3.70 GHz",Intel Quad-Core i7-4800MQ Processor,15.3 x 11.4 x 5.0,1920 x 1080,"LED Backlight , Full HD Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552210582,2500MHz,32 GB,,,,,
Dell Refurbished 780 Small Form Factor Desktop PC - Walmart.com,,,Lithium Primary,,,,1TB,,780,,,Windows 7 Professional 64-bit,,Black,,,Intel Core 2 Duo Processor,13.0 x 12.0 x 4.0,,,20.0,Please visit your local store to see if this item is in stock .,6 GB,551693520,,,,,N/A,No,DVD-RW Drive
"Acer 15.6"" Aspire Laptop, V3-571-9646 - Walmart.com","Power Cord , Battery",4 hours 30 minutes,Lithium Ion,"5-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO ) , 1 x ( xD Picture Card )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4000,1 TB,15.6 inch,NX.RZGAA.025,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Gray,Intel,"2.20 GHz , with a Max Turbo Speed of 3.20 GHz",Intel Quad-Core i7-3632QM Processor,15.1 x 9.3 x 3.2,1366 x 768,"LED Backlight , HD Display",4.85,Please visit your local store to see if this item is in stock .,8 GB,552119780,,8 GB,),,,,
"Lenovo Midnight Black ThinkPad X140e Laptop PC, 20BL - Walmart.com","Power Cord , Battery",8 hours 30 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",AMD Radeon HD 8330,500 GB,11.6 inch,20BL000BUS,,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional 64-bit,PC,Black,AMD,1.50 GHz,AMD Quad-Core A4-5000 Processor,15.3 x 11.4 x 5.0,1366 x 768,"LED Backlight , HD Anti-Glare Display",8.0,Please visit your local store to see if this item is in stock .,4 GB,552210574,,8 GB,,,,,
"Dell 15.6"" Inspiron 15 Laptop PC i15RV 6146BLK - Walmart.com","Power Cord , Battery",8 hours 17 minutes,Lithium Primary,"8-in-1 card reader 1 x ( SD Memory ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( Hi Speed-SD ) , 1 x ( MultiMediaCard ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO ) , 1 x ( xD Picture Card )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics,500 GB,15.6 inch,i15RV-6146BLK,8x DVD±RW DL Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.90 GHz,Intel Core i3-3227U Processor,14.8 x 1.1 x 10.2,1366 x 768,"LED Backlight , HD Truelife Display",5.0,Please visit your local store to see if this item is in stock .,6 GB,552773884,,8 GB,,,,,
Dell Silver 760 Core 2 Duo Desktop - Walmart.com,,,Alkaline,,,,1TB,,760,,,Windows 7 Professional 32-bit,,Silver,,,Intel Core 2 Duo Processor,15.7 x 13.9 x 4.5,,,25.0,Please visit your local store to see if this item is in stock .,4 GB,550963403,,,,,N/A,No,DVD-RW Drive
"Acer Aspire Laptop PC, E1-731-10054G50Mnii - Walmart.com","Power Cord , Battery",3 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 3 x USB 2.0",Intel GMA HD,500 GB,17.3 inch,NX.MGAAA.003,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Gray,Intel,1.90 GHz,Intel Celeron 1005M Dual-Core Processor,16.3 x 10.8 x 1.2,1600 x 900,"LED Backlight , CineCrystal Widescreen HD+ Display",7.1,Please visit your local store to see if this item is in stock .,4 GB,552307972,,8 GB,),,,,
"Dell Inspiron 17R Laptop, Silver, 8GB Memory - Walmart.com","Power Cord , Battery",,Lithium Ion,8-in-1 Digital Media Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 2 x USB 3.0",AMD Radeon HD 8610G,1 TB,17.3 inch,i5735-1935sLV,DVD Drive,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1,PC,Silver,AMD,"2.10 GHz , with a Max Turbo Speed of 2.90 GHz",AMD Quad-Core A10-5745M Processor,16.22 x 10.63 x 1.12,1600 x 900,"LED Backlight , HD+ Truelife Display",10.19,Please visit your local store to see if this item is in stock .,8 GB,552201014,,,,,,,
"Dell Inspiron 14 7000 14-7437 14"" Touchscreen LED (TrueLife) Notebook - Intel Core i7 i7-4510U 2 GHz - Silver: Computers : Walmart.com",,,,,,,500 GB,14.0 inch,,,,Windows 8.1 64-bit,,,Intel,,Intel Core i7-4510U Processor,,,,5.29,Please visit your local store to see if this item is in stock .,,552811985,,,,,,,
"Dell Silver 15.6"" Inspiron 15 5547 Laptop PC with Intel Core i7-4510U Processor, 8GB Memory, Touchscreen, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",7 hours 17 minutes,Lithium Ion,"5-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SD 3.0 ) , 1 x ( Memory Stick ) , 1 x ( Memory Stick PRO )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Integrated Graphics,1 TB,15.6 inch,i5547-7500sLV,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i7-4510U Processor,14.9 x 10.0 x 0.9,1366 x 768,"LED Backlight , HD Touchscreen Display",5.4,Please visit your local store to see if this item is in stock .,8 GB,552701075,,16 GB,,,,,
"Toshiba Jet Black 17.3"" Satellite C75D-B7215 Laptop PC with AMD A8-6410 Quad-Core Processor, 8GB Memory, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",AMD Radeon R4,1 TB,17.3 inch,C75D-B7215,SuperMulti DVD Drive,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,AMD,2.40 GHz,AMD Quad-Core A8-6410 APU Processor,16.3 x 10.6 x 1.3,1600 x 900,"LED Backlight , HD TruBrite Display",7.5,Please visit your local store to see if this item is in stock .,8 GB,552735901,,16 GB,,,,,
Lenovo ThinkPad S1 Yoga 20CD - Ultrabook - Core i7 4600U / 2.1 GHz - Windows 8.1 Pro 64-bit - 8 GB RAM - 500 GB HDD ( 16: Computers : Walmart.com,,,,,,,16 GB,12.5 inch,,,,Windows 8.1 Pro 64-bit,,,Intel,,Intel Core i7-4600U Dual-Core Processor,,,,5.35,Please visit your local store to see if this item is in stock .,,552891016,,,,,,,
"Dell Silver 17.3"" Alienware 17 Laptop PC with Intel Core i7-4930MX Processor, 32GB Memory, 1TB Hard Drive and Windows 7 Home Premium: Computers : Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,9-in-1 card reader,"3 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Mini-DisplayPort , 4 x USB 3.0",NVIDIA GeForce GTX 880M with 8GB of dedicated system memory,1 TB,17.3 inch,ALW17-22494sLV,,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,Intel,3.90 GHz,Intel Core i7-4930MX Processor,16.22 x 23.03 x 4.76,1920 x 1080,"LED Backlight , AntiGlare Full HD Display",8.47,Please visit your local store to see if this item is in stock .,32 GB,552813059,,32 GB,,,,,
"HP 17.3"" Pavilion Laptop, 17-e119wm - Walmart.com","AC Adapter , Battery",4 hours 45 minutes,Lithium Ion,1 x SD Card Reader,"1 x Ethernet , 1 x Headphone/Microphone , 1 x HDMI , 1 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",AMD Radeon HD 8650G with 4206MB of dedicated system memory,1 TB,17.3 inch,17-e119wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,"2.50 GHz , with a Max Turbo Speed of 3.50 GHz",AMD Quad-Core A10-5750M Accelerated Processor,10.5 x 16.5 x 1.29,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",8.0,Please visit your local store to see if this item is in stock .,8 GB,552157742,,8 GB,,,,,
