64bit processing,<page title>,aspect ratio,audio line in,audio line out,backlight technology,brand name,cache,certifications standards,chipset manufacturer,chipset model,controller type,direct media interface,display screen technology,display screen type,displayport,ethernet technology,features,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdcp supported,hyperthreading,input voltage,keyboard,keyboard localization,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum memory,maximum power supply wattage,maximum turbo speed,memory form factor,memory standard,memory technology,network rj45,number of external 525 bays,number of internal 25 bays,number of mini pci express slots,number of msata interfaces,number of mxm slots,number of processors installed,number of processors supported,number of total expansion bays,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product name,product series,product type,raid supported,screen mode,screen resolution,screen size,software included,standard memory,total hard drive capacity,total number of usb ports,touchscreen,width,depth,hard drive interface,hard drive rpm,height,keyboard type,number of m2 interfaces,number of usb 20 ports,vga,vpro technology,weight approximate,wireless lan,wireless lan standard,color,esata,firewireilink,hdmi,hybrid hard drive capacity,hybrid hard drive interface,modem,modem rj11,optical drive type,optical media supported,product model,ssd cache capacity,memory card reader,number of optical drives,bluetooth,bluetooth standard,microphone,webcam,dvi,solid state drive interface,total solid state drive capacity,number of 35 bays,number of pci express x1 slots,number of pci express x16 slots,duallayer media supported,number of pci slots,raid levels,graphics controller interface,graphics memory capacity,compatibility,device supported,print color,flash memory,headphonemicrophone combo port,clock speed,l1 cache,l2 cache,l3 cache,number of monitors supported,overclocking speed,package type,platform supported,process technology,processor socket,processor technology,thermal design power,thermal specification,memory card supported,multitouch screen,connectivity technology,host interface,system requirements,media type,power source,recommended use,operating power consumption,standby power consumption,usb,usb standard,adjustable display angle,brightness,contrast ratio,horizontal viewing angle,maximum resolution,number of screens,panel technology,response time,screen surface,vertical viewing angle
Yes,Lenovo ThinkCentre M93p 10A7000EUS Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,AMD,Radeon HD 8570,,,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10A7000EUS,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro Genuine Windows 7 Professional,64-bit,ThinkCentre M93p ( 10A7-000EUS ) Windows 8 Professional License Media Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4770 i7-4770,3.40 GHz 3.40 GHz,Core i7 Core i7,ThinkCentre,ThinkCentre M93p ( 10A7-000EUS ),M93p,Desktop Computer Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB 8 GB,,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),,,16.3 '' ( 414.5 mm ),,,2.0,Yes,Yes,11.20 kg,No,,Business Black Business Black,No,No,Yes,500 GB,Serial ATA/600,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A7000EUS,8 GB,Yes,,No,,,,,,,3.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - F4K91UT#ABA,,Yes,Yes,,HP,3 MB,,Intel,Q87 Express,Serial ATA,5 GT/s,,,Yes,Gigabit Ethernet,,Micro Tower,Intel,HD Graphics 4400,Shared,DDR3 SDRAM,,,,Yes,,Yes,,3 Year,Hewlett-Packard,F4K91UT # ABA,http : //www.hp.com/ca,32 GB,320 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,1.0,,,,1.0,1.0,6.0,4.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,EliteDesk 800 G1 Tower PCKeyboardMouseWindows 8.1 Pro Media,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,EliteDesk,EliteDesk 800 G1 Tower PC,800 G1,Desktop Computer,,,,,HP Client SecurityMicrosoft Security EssentialsCyberlink Multimedia Suite,4 GB,500 GB,10.0,,6.7 '' ( 170 mm ),17.4 '' ( 442 mm ),Serial ATA,7200.0,15.7 '' ( 399 mm ),,,6.0,Yes,No,9.30 kg,,,,,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,,,,,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteOne 800 G1 All-in-One Computer - F4K62UA#ABA,,Yes,Yes,,HP,6 MB,,Intel,Q87 Express,Serial ATA,5 GT/s,,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,ENERGY STAR,Yes,,No,,Yes,,3 Year,Hewlett-Packard,F4K62UA # ABA,http : //www.hp.com/ca,16 GB,200 W,3.60 GHz,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ) KeyboardMouse Windows 8.1 Pro Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570S,2.90 GHz,Core i5,EliteOne,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ),800 G1,All-in-One Computer,,,,23 '',HP Client SecurityMicrosoft Security EssentialsCyberlink Multimedia Suite,4 GB,,6.0,No,22 '' ( 560 mm ),2 '' ( 50.3 mm ),,,15.3 '' ( 389 mm ),,,,,,8.74 kg,Yes,IEEE 802.11a/b/g/n,,,,,1 TB,Serial ATA,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteOne 800 G1 All-in-One Computer - K1K42UT#ABA,16 : 9,Yes,Yes,,HP,6 MB,,Intel,Q87 Express,Serial ATA,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,ENERGY STAR,Yes,,No,,Yes,,3 Year,Hewlett-Packard,K1K42UT # ABA,http : //www.hp.com/ca,16 GB,200 W,3.90 GHz,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,Windows 8.1 Pro,64-bit,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ) KeyboardMouse,Mouse,Quad-core ( 4 Core ),Intel,i5-4690S,3.20 GHz,Core i5,EliteOne,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ),800 G1,All-in-One Computer,,Full HD,1920 x 1080,23 '',,4 GB,500 GB,6.0,Yes,22 '' ( 558.8 mm ),15.3 '' ( 388.6 mm ),Serial ATA,7200.0,2 '' ( 50.3 mm ),Physical Keyboard,,,,,8.75 kg,,,,,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 600 G1 Desktop Computer - E7P48AW#ABA,,Yes,Yes,,HP,6 MB,ACPI TAA Compliant,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"ENERGY STAR , REACH",Yes,Yes,,"110 V AC , 220 V AC",Yes,,3 Year,Hewlett-Packard,E7P48AW # ABA,http : //www.hp.com/ca,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,4.0,4.0,4.0,Windows 7 Professional,64-bit,ProDesk 600 G1 Small Form Factor PC ( ENERGY STAR ) Keyboard,,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,Business Desktop,ProDesk 600 G1 Small Form Factor PC ( ENERGY STAR ),ProDesk 600 G1,Desktop Computer,,,,,"Cyberlink Multimedia Suite HP ProtectTools security software Security : Device Access Manager Drive Encryption File Sanitizer ( Activated via Wizard ) Microsoft Security Essentials HP Client Security MultiMedia : Cyberlink Media Suite Cyberlink PhotoDirector Cyberlink Power Director Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) 3rd Party : Adobe Flash Player Bing Search for Internet Explorer 10 Box Evernote PDF Complete Skype Microsoft Products : Buy Office",4 GB,500 GB,10.0,,13.3 '' ( 338 mm ),14.9 '' ( 379 mm ),Serial ATA/600,7200.0,3.9 '' ( 100 mm ),,,6.0,Yes,,7.60 kg,,,,,,,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,,,,,,,,,,,,2.0,3.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A9000SCA Desktop Computer,,Yes,Yes,,Lenovo,6 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,,,Yes,French,3 Year,Lenovo Group Limited,10A9000SCA,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,,,,,1.0,1.0,4.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,ThinkCentre M93p 10A9000SCA Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10A9000SCA Desktop Computer,M93p,Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,500 GB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,2.0,Yes,Yes,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A9000SCA,,No,,No,,,,,,,2.0,1.0,2.0,Yes,1.0,"0 , 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP EliteDesk 800 G1 Desktop Computer - F4L14UT#ABA,,Yes,Yes,,HP,4 MB,ACPI TAA Compliant,Intel,Q87 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Desktop Mini,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"Eco-label , IT Eco Declaration , RoHS , WEEE , EU RoHS , EU WEEE",Yes,Yes,Yes,"110 V AC , 220 V AC",Yes,English ( US ),3 Year,Hewlett-Packard,F4L14UT # ABA,http : //www.hp.com/ca,16 GB,65 W,3.60 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,1.0,,,,1.0,1.0,1.0,,2.0,6.0,,,EliteDesk 800 G1 Desktop Computer Keyboard Mouse Power Adapter,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,EliteDesk,EliteDesk 800 G1 Desktop Computer,800 G1,Desktop Computer,No,,,,,4 GB,,6.0,,6.9 '' ( 175.3 mm ),7 '' ( 177.8 mm ),,,1.3 '' ( 33 mm ),,,,Yes,,1.30 kg,,,,,,,500 GB,Serial ATA/600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10A7000QCA Desktop Computer,,Yes,Yes,,Lenovo,8 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Mini-tower Mini-tower,NVIDIA,Geforce GT 620,,,"ENERGY STAR 5.2 , ULE Gold , EPEAT Gold , RoHS , GREENGUARD",Yes Yes,,Yes,,Yes,French,3 Year,Lenovo Group Limited,10A7000QCA,http : //www.lenovo.com/ca/en,32 GB,280 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,2.0,,,,,1.0,1.0,5.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ) Genuine Windows 7 Professional,64-bit,ThinkCentre M93p 10A7000QCA Desktop Computer Keyboard Mouse Windows 8 Professional License Media,Mouse,Quad-core ( 4 Core ),Intel Intel,i7-4770 i7-4770,3.40 GHz 3.40 GHz,Core i7 Core i7,ThinkCentre,ThinkCentre M93p 10A7000QCA Desktop Computer,M93p,Desktop Computer Desktop Computer,Yes,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,8 GB 8 GB,1 TB,8.0,,6.9 '' ( 175 mm ),17.4 '' ( 442.2 mm ),Serial ATA/600,7200.0,16.3 '' ( 414.5 mm ),,,2.0,Yes,Yes,11.20 kg,No,,Business Black Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10A7000QCA,,No,,No,,,,,,,3.0,1.0,2.0,Yes,1.0,"0 , 1",PCI Express x16,Up to 1 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M83 10AM000BUS Desktop Computer - 10AM000BUS-DDO,,Yes,Yes,,Lenovo,6 MB,,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ULE Gold , GREENGUARD , RoHS",Yes,,,,Yes,,,Lenovo Group Limited,10AM000BUS,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M83 10AM000BUS Desktop Computer Keyboard Mouse Windows 8 Pro License Media Floor Stand,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,ThinkCentre M83 10AM000BUS Desktop Computer,M83,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,1 TB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,4.0,Yes,,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10AM000BUS,,Yes,,No,,,,,Serial ATA/600,128 GB,2.0,1.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10B6000BUS Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,H81 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD Graphics,Shared,DDR3 SDRAM,"GREENGUARD , RoHS",Yes,,No,,Yes,,3 Year,Lenovo Group Limited,10B6000BUS,http : //www.lenovo.com/ca/en,16 GB,240 W,,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M73 10B6000BUS Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),Intel,G3220,3 GHz,Pentium,ThinkCentre,ThinkCentre M73 10B6000BUS Desktop Computer,M73,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,4 GB,500 GB,6.0,,13.2 '' ( 335.3 mm ),15 '' ( 381 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.1 mm ),,,4.0,Yes,No,6.62 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10B6000BUS,,No,,No,,,,,,,1.0,2.0,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo IdeaCentre B550 All-in-One Computer - 57327084,16 : 9,Yes,Yes,LED,Lenovo,6 MB,,Intel,H81,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,Gigabit Ethernet,Security Slot,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,,,,No,,Yes,,,Lenovo Group Limited,57327084,http : //www.lenovo.com/ca/en,,,3.40 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,,,,1.0,1.0,,,,2.0,Windows 8.1,64-bit,IdeaCentre B550 All-in-One Computer Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,i5-4460,3.20 GHz,Core i5,IdeaCentre,IdeaCentre B550 All-in-One Computer,B550,All-in-One Computer,,Full HD,1920 x 1080,23 '',,8 GB,1 TB,4.0,Yes,22.8 '' ( 579.1 mm ),4 '' ( 101.6 mm ),,7200.0,16.8 '' ( 426.7 mm ),,,2.0,,No,11.79 kg,Yes,IEEE 802.11b/g/n,Black,,,Yes,,,,,DVD-Writer,DVD-RAM,,,Yes,,Yes,Bluetooth 4.0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) , Memory Stick , Memory Stick PRO , MultiMediaCard ( MMC )",Yes,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M83 10AM0007US Desktop Computer,,Yes,Yes,,Lenovo,6 MB,,Intel,Q85 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ULE Gold , GREENGUARD , RoHS",Yes,,,,Yes,,3 Year,Lenovo Group Limited,10AM0007US,http : //www.lenovo.com/ca/en,32 GB,240 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M83 10AM0007US Desktop Computer Keyboard Mouse Windows 8 Professional License Media Floor Stand,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,ThinkCentre M83 10AM0007US Desktop Computer,M83,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,500 GB,8.0,,13.3 '' ( 338.1 mm ),14.8 '' ( 374.9 mm ),Serial ATA/600,7200.0,4 '' ( 102.1 mm ),,,4.0,Yes,,7.80 kg,No,,Business Black,No,No,,,,No,No,DVD-Writer,DVD-RAM/Â±R/Â±RW,10AM0007US,,No,,No,,,,,,,2.0,1.0,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10AB0015US Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AB0015US,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p 10AB0015US Desktop ComputerKeyboardMouseAC/DC AdapterExternal Optical BoxVESA MountWindows 8 Professional License Media,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10AB0015US Desktop Computer,M93p,Desktop Computer,,,,,"ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus defi nitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD ( DVDÂ±RW , DVD ) Cyberlink Power2Go ( DVDÂ±RW ) Cyberlink PowerProducer ( DVDÂ±RW ) Evernote Intel AppUp Intel Small Business Advantage Nitro Pro",4 GB,500 GB,5.0,,7.2 '' ( 182.9 mm ),7.2 '' ( 182.9 mm ),Serial ATA/600,7200.0,2.6 '' ( 64.8 mm ),,,,Yes,Yes,2.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,,,,No,No,DVD-Writer,DVDÂ±R/Â±RW,10AB0015US,,,,Yes,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10AA002UUS Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,Intel,Q87 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AA002UUS,http : //www.lenovo.com/ca/en,16 GB,65 W,3.60 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p 10AA002UUS Desktop Computer Keyboard Mouse AC/DC Adatper Floor Stand,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10AA002UUS Desktop Computer,M93p,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),,,1.4 '' ( 35.6 mm ),,,,Yes,Yes,1.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,Yes,500 GB,Serial ATA/600,No,No,,,10AA002UUS,8 GB,,No,Yes,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M78 10BU0004CA Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,AMD,A75,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,AMD,Radeon HD 8570,,,RoHS,Yes,,,,Yes,French,,Lenovo Group Limited,10BU0004CA,http : //www.lenovo.com/ca/en,32 GB,240 W,4.10 GHz,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,,,,,1.0,1.0,3.0,4.0,4.0,4.0,Windows 7 Professional ( French ),64-bit,ThinkCentre M78 ( 10BU-0004CA ) Keyboard Mouse,Mouse,Quad-core ( 4 Core ),AMD,A8-6500B,3.50 GHz,A-Series,ThinkCentre,ThinkCentre M78 ( 10BU-0004CA ),M78,Desktop Computer,Yes,,,,,4 GB,500 GB,10.0,,13.3 '' ( 337.8 mm ),15 '' ( 381 mm ),Serial ATA/600,7200.0,3.9 '' ( 99.1 mm ),,,6.0,Yes,,7.50 kg,,,Business Black,No,,Yes,,,,,DVD-Writer,DVD-RAM/Â±R/Â±RW,10BU0004CA,,,,,,,,,,,2.0,1.0,1.0,Yes,2.0,"0 , 1",PCI Express x16,Up to 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
