<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Samsung ATIV Book 9 Lite NP915S3G-K05US 13.3"" Touchscreen LED Notebook - AMD 1.40 GHz - White Marble (4 GB RAM - 128 GB SSD - AMD Radeon HD 8250 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,LED Backlight,ENERGY STAR 5.2|RoHS|EPEAT Gold|TCO Certified Notebooks 4,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Bluetooth 4.0,TouchPad|Touch Screen Yes,4 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes,Notebook,DDR3L SDRAM,2-cell,AMD,1.40 GHz,128 GB,http : //www.samsungusa.com,1 Year,12.8 in,5.50 Hour,Windows 8.1,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),AMD Radeon HD 8250,3.48 lbs,White Marble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Transformer Book T300LA-DH51T Tablet PC - 13.3"" - In-plane Switching IPS Technology - Intel Core I5 I5-4200U 1.60 GHz - Silver Aluminum (4 GB RAM - 128 GB SSD - Windows 8 64-bit - Hybrid - 1920 X 1080 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",8.6 in,13.3 in,In-plane Switching ( IPS ) Technology LED Backlight,RoHS|ENERGY STAR 4.0|EPEAT,0.9 in,Built-In Microphone Yes,IEEE 802.11 a/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Touch Screen Yes,4 GB,1 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes,Tablet PC,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,128 GB,http : //usa.asus.com,1 Year,13.5 in,7 Hour,Windows 8,Secure Digital ( SD ) Card,Intel HD 4400,3.70 lbs,Silver Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex 15 15.6"" Touchscreen LED Notebook - Intel - Core I5 I5-4200U 1.6GHz (8 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 8 - 1366 X 768 Display) Price Comparison at Buy.net",10.5 in,15.6 in,LED Backlight,,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet,TouchPad|Touch Screen Yes,8 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //www.lenovo.com/us/en/,,15 in,9 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 4400,5.10 lbs,,500 GB,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Razer BladeRZ09-0116 Black 14"" Notebook (2.2 GHz Intel Core I7-4702HQ, 8 GB DDR3, 256 GB SSD, NVIDIA GeForce GTX 870M, Windows 8.1, LED Backlight) Price Comparison at Buy.net",9.3 in,14 in,LCD Display w/ LED Backlight,,0.7 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11ac|Wireless Ethernet - IEEE802.11a|Bluetooth,Touchpad|Keyboard|Touch Screen,8 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,,Intel Core i7,2.2 GHz,256 GB,http : //www.razerzone.com/,1 year ( s ),13.6 in,6 hour ( s ),Windows 8.1,,Intel HD Graphics 4600,4.5 lbs,Black,,,32 GB,16 : 9,6 MB,3 GB,3200 x 1800,,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 17 17.3"" LED Notebook - Intel - Core I7 I7-4700MQ 2.4GHz (8 GB RAM - 750 GB HDD - DVD-Writer - NVIDIA, Intel Quadro K610M, HD 4600 - Windows 7 Professional 64-bit English - 1920 X 1080 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",10.7 in,17.3 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Gold,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,8 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,8-cell,Intel Core i7,2.40 GHz,,http : //www.hp.com,3 Year,16.4 in,,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),ExpressCard/54|Secure Digital ( SD ) Card,NVIDIA|Intel Quadro K610M|HD 4600,7.62 lbs,,750 GB,DVD-RAM/R/RW,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 840 G1 14"" LED Notebook - Intel - Core I5 I5-4300U 1.9GHz (4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.3 in,14 in,LED Backlight,ENERGY STAR|EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick|Touch Screen No,4 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,256 GB,http : //www.hp.com,3 Year,13.3 in,,Windows 7 Professional Upgradable to Windows 8 Pro,SIM Card|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.48 lbs,,,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Pavilion TouchSmart 10-e010nr 10.1"" Touchscreen LED Notebook - AMD - A-Series A4-1200 1GHz - Anodized Silver - Sparkling Black (2 GB RAM - 320 GB HDD - AMD Radeon HD 8180 - Windows 8.1 - 1366 X 768 Display) Price Comparison at Buy.net",7.7 in,10.1 in,LED Backlight,RoHS|ENERGY STAR|EPEAT Silver,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Fast Ethernet,ImagePad|Touch Screen Yes,2 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,3-cell,AMD A-Series,1 GHz,,http : //www.hp.com,1 Year,10.7 in,,Windows 8.1,Secure Digital ( SD ) Card,AMD Radeon HD 8180,3.20 lbs,Anodized Silver|Sparkling Black,320 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus G750JX-RB71 Black 17.3"" Notebook (2.4 GHz Intel Core I7-4700HQ, 12 GB DDR3, 750 GB HDD, DVD±RW DL, NVIDIA GeForce GTX 770M, Windows 8, LED Backlight) Price Comparison at Buy.net",12.52 in,17.3 in,LCD Display w/ LED Backlight,,1.97 in,Built-In Webcam|Built-In Subwoofer,Wireless Ethernet - IEEE802.11n|Gigabit Ethernet|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Bluetooth,Touchpad|Keyboard,12 GB,VGA|USB - Universal Serial Bus 3.0|HDMI|Ethernet - RJ45|DisplayPort|Audio - S/PDIF ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,8-cell,Intel Core i7,2.4 GHz,,http : //www.asus.com/us/Notebooks_Ultrabooks/G750JX/,1 year ( s ),16.14 in,3.5 hour ( s ),Windows 8,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |Memory Stick,NVIDIA GeForce GTX 770M,10.6 lbs,Black,750 GB,DVD+-RW DL,32 GB,16 : 9,6 MB,3 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ElitePad 900 G1 64GB Net-tablet PC - 10.1"" - Intel - Atom Z2760 1.8GHz (2 GB RAM - Windows 8.1 32-bit - Slate - 1280 X 800 Multi-touch Screen Display LED Backlight - Bluetooth) Price Comparison at Buy.net",7 in,10.1 in,LED Backlight,IT Eco Declaration|RoHS|WEEE|EU WEEE,0.4 in,Built-In Microphone Yes,IEEE 802.11a/b/g/n|Bluetooth 4.0 + HS,Touch Screen Yes,2 GB,,Net-tablet PC,,2-cell,Intel Atom,1.80 GHz,,http : //www.hp.com,1 Year,10.2 in,10.50 Hour,Windows 8.1,Micro SIM Card|microSD Card|microSD High Capacity ( microSDHC ),Intel Graphics Media Accelerator,1.38 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo G505s Black 15.6"" Notebook (2.1 GHz AMD A8 5550M, 4 GB DDR3, 500 GB HDD, DVD±RW, AMD Radeon HD 8550G, Windows 8, LED Backlight) Price Comparison at Buy.net",10.2 in,15.6 in,LCD Display w/ LED Backlight,,1 in,Built-In Webcam,Bluetooth|Fast Ethernet|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n,Keyboard|Touchpad,4 GB,Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ) |Ethernet - RJ45|HDMI|USB - Universal Serial Bus 2.0|USB - Universal Serial Bus 3.0|VGA,,DDR3,4-cell,AMD A-Series,2.1 GHz,,http : //shop.lenovo.com/us/en/laptops/essential/g-series/,1 year ( s ),15 in,5 hour ( s ),Windows 8,MultiMedia Card ( MMC ) |SD Card|SDHC Card|SDXC Card,AMD Radeon HD 8550G,5.3 lbs,Black,500 GB,DVD+-RW,8 GB,16 : 9,4 MB,,1366 x 768 ( WXGA ),1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Presario M2010US Notebook (1.3GHz Intel Celeron Mobile, 256MB, 40GB, DVD/CD-RW, Windows XP, 15"" TFT) Price Comparison at Buy.net",10.8 in,15 in,Active Matrix LCD ( TFT ),,1.78 in,Modem|Wireless LAN Antenna,Ethernet ( 10/100 Mbps ) |Wireless Ethernet - 11 Mbps IEEE802.11b|Wireless Ethernet - 54 Mbps IEEE802.11g,Keyboard|Touchpad,256 MB,Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ) |Ethernet - RJ45 Twisted-Pair ( XBaseT ) |IEEE 1394 - ( Unspecified ) |Serial - RJ11 Modular ( Phone/Telco ) |USB - Universal Serial Bus 2.0|Video - 15 pin High-Density D-shell ( VGA ),,DDR-SDRAM ( DDRRAM ),,Intel Celeron Mobile,1.3 GHz,,http : //www.hp.com,1 Year Limited Warranty,13.15 in,,Microsoft Windows XP,Type I CardBus|Type II CardBus,Intel Extreme Graphics 2,6.27 lbs,,40 GB,DVD/CD-RW Combo|Hard Drive,1 GB,4 : 3 ( Standard ),1 MB,,1024 x 768 ( XGA ),,,,,,400 MHz,,IDE ( ATA/EIDE/ATAPI ),,,,,,,,,,,,,,,,,,,AGP ( Version Unspecified ),Motherboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audio Codec '97,,,,,,,,,,,
"Dell Alienware 18 Grey 18.4"" Notebook (2.7 GHz Intel Core I7-4800MQ, 16 GB DDR3, 1 TB HDD + 80 GB SSD, DVD±RW, NVIDIA GeForce GTX 860M, Windows 7 Home Premium, LED Backlight) Price Comparison at Buy.net",12.91 in,18.4 in,LCD Display w/ Glossy Screen & LED Backlight,,2.26 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11ac|Bluetooth|Gigabit Ethernet,Touchpad|Keyboard,16 GB,USB - Universal Serial Bus 3.0|HDMI|Ethernet - RJ45|DisplayPort|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,8-cell,Intel Core i7,2.7 GHz,80 GB,http : //www.dell.com/us/p/Alienware-18/pd ? oc=DKCWX02S,1 year ( s ),17.97 in,,Windows 7 Home Premium,xD-Picture Card|SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ) |Memory Stick PRO|Memory Stick,,12.06 lbs,Grey,1 TB,DVD+-RW,32 GB,16 : 9,6 MB,4 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire S7-392-54208G12tws 13.3"" Touchscreen LED In-plane Switching IPS Technology Ultrabook - Intel Core I5 I5-4200U 1.60 GHz (8 GB RAM - 128 GB SSD - Intel HD 4400 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,In-plane Switching ( IPS ) Technology LED Backlight,,0.5 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n,TouchPad|Touch Screen Yes,8 GB,2 x USB 3.0|HDMI Yes|Audio Line Out Yes,Ultrabook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,128 GB,http : //us.acer.com,,12.7 in,8 Hour,Windows 8 Pro,Secure Digital ( SD ) Card,Intel HD 4400,2.87 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 15.4"" Silver Notebook (2 GHz Intel Core I7, 4 GB DDR3, 500 GB HDD, DVD±RW DL, AMD Radeon HD 6490M, Mac OS X 10.6 Snow Leopard, LED Backlight) Price Comparison at Buy.net",9.8 in,15.4 in,LED Backlight,ENERGY STAR|EPEAT Gold,1 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 2.1,Track Pad,4 GB,2 x USB 2.0|Firewire Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,,Intel Core i7,2 GHz,,http : //www.apple.com,1 Year,14.4 in,7 Hour,Mac OS X 10.7 Lion,Secure Digital Extended Capacity ( SDXC ),Intel|AMD HD 3000|Radeon HD 6490M,5.60 lbs,,500 GB,DVDR/RW,8 GB,16 : 10,6 MB,,1440 x 900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,384 MB Shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook 13.3"" White Notebook (2.13 GHz Intel Core 2 Duo, 2 GB DDR3, 160 GB HDD, DVD±RW DL, NVIDIA GeForce 9400M, Mac OS X 10.6 Snow Leopard, LED Backlight) Price Comparison at Buy.net",8.9 in,13.3 in,LCD Display w/ Glossy Screen,ENERGY STAR|EPEAT Gold,0.9 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 2.1,Track Pad,2 GB,2 x USB 2.0|Firewire Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3 SDRAM,,Intel Core 2 Duo,2.13 GHz,No,http : //www.apple.com,1 Year,12.8 in,5 Hour,Mac OS X 10.6 Snow Leopard,,NVIDIA GeForce 9400M,5 lbs,White,160 GB,DVDR/RW,4 GB,16 : 10,3 MB,,1280 x 800,1,,,,,1066 MHz,0.95 '' Height x 12.80 '' Width x 8.94 '' Depth,,,,,,,,,,,,,,,,,,,,,,256 MB Shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire C710-844G01ii 11.6"" LED Notebook - Intel Celeron 1.10 GHz (4 GB RAM - 16 GB SSD - Intel Graphics - Chrome OS - 1366 X 768 Display) Price Comparison at Buy.net",8 in,11.6 in,LCD Display w/ Glossy Screen & LED Backlight,WEEE|RoHS|Energy Star,1.1 in,Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11a|Fast Ethernet,Keyboard|Touchpad,4 GB,USB - Universal Serial Bus 2.0|VGA|HDMI|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,4-cell,Intel Celeron,1.1 GHz,16 GB,http : //us.acer.com/ac/en/US/content/model/NU.SH7AA.015,1 year ( s ),11.2 in,4 hour ( s ),Chrome OS,SDHC Card|SD Card,Intel HD Graphics,3.04 lbs,Grey,,,4 GB,16 : 9,2 MB,,1366 x 768 ( WXGA ),,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer TravelMate P633-V TMP633-V-53328G32ikk 13.3"" LED ComfyView Notebook - Intel Core I5 I5-3320M 2.60 GHz - Black (8 GB RAM - 320 GB HDD - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.3 in,13.3 in,ComfyView LED Backlight,,1 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0 + HS,TouchPad,8 GB,3 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes|eSATA/USB Combo Yes,Notebook,DDR3 SDRAM,8-cell,Intel Core i5,2.60 GHz,,http : //us.acer.com,1 Year,12.8 in,12 Hour,Windows 7 Professional & Windows 8 Pro,ExpressCard/34|Secure Digital ( SD ) Card|MultiMediaCard ( MMC ) |Memory Stick|Memory Stick PRO|xD-Picture Card,Intel HD 4000,4.19 lbs,,320 GB,,8 GB,,,,,,,Yes,,Acer,,,,,DDR3 SDRAM,7200.0,Yes,,13.3,320000.0,25.4,8000.0,,2600.0,67.04,2.0,,TravelMate,HD,"Microsoft® Office Starter : reduced-functionality Word and Excel® only , with advertising . No PowerPoint® or Outlook® . Buy Office 2010 to use the full-featured software.Bing™ BarWindows Live™ Essentials",4.0,,,,Intel,Centrino Advanced-N 6235,,B009VBF5E0,5 GT/s,,Yes,Yes,,3.0,i5-3320M,P633-V,Multi-touch Gesture,Yes,Wireless LAN : Acer Nplify 802.11a/b/g/n,,65 W,64-bit,TMP633-V-53328G32ikk,No,,,,,,,,,,Yes,,,,,,,,,,
"Acer Aspire V5-132P-10194G50nss 11.6"" Touchscreen LED Notebook - Intel Celeron 1019Y 1 GHz - Silver (4 GB RAM - 500 GB HDD - Intel HD Graphics - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.1 in,11.6 in,LED Backlight,,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n,TouchPad|Touch Screen Yes,4 GB,1 x USB 2.0|1 x USB 3.0|Audio Line Out Yes,Notebook,DDR3L SDRAM,3-cell,Intel Celeron,1 GHz,,http : //us.acer.com,,11.4 in,3.50 Hour,Windows 8,Secure Digital ( SD ) Card,Intel HD Graphics,3.04 lbs,Silver,500 GB,,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 1040 G1 14"" LED Ultrabook - Intel - Core I5 I5-4300U 1.9GHz - Platinum (4 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit English - 1920 X 1080 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",9.2 in,14 in,LED Backlight,EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.6 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n|Gigabit Ethernet|Bluetooth 4.0,ForcePad,4 GB,2 x USB 3.0|DisplayPort Yes,Ultrabook,DDR3L SDRAM,6-cell,Intel Core i5,1.90 GHz,256 GB,http : //www.hp.com,3 Year,13.3 in,,Windows 7 Professional Upgradable to Windows 8.1 Pro ( English ),microSD Card|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.30 lbs,Platinum,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire S7-392-6484 Crystal White 13.3"" Ultrabook (1.6 GHz Intel Core I5-4200U, 8 GB DDR3, 256 GB SSD, Intel HD Graphics 4400, Windows 8.1, LED Backlight) Price Comparison at Buy.net",8.8 in,13.3 in,LCD Display w/ LED Backlight,,0.51 in,Keyboard Backlight|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Bluetooth,Touchpad|Touch Screen|Keyboard,8 GB,USB - Universal Serial Bus 3.0|HDMI|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),Ultra Portable,DDR3,4-cell,Intel Core i5,1.6 GHz,256 GB,http : //us.acer.com/ac/en/US/content/model/NX.MBKAA.023,1 year ( s ),12.7 in,8 hour ( s ),Windows 8.1,SD Card,Intel HD Graphics 4400,2.87 lbs,White,,,16 GB,16 : 9,3 MB,,1920 x 1080,,Hexa-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoBook V451LA-DS51T 14"" Touchscreen Notebook - Intel Core I5 I5-4200U 1.60 GHz - Silver Aluminum (6 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",9.5 in,14 in,,RoHS|ENERGY STAR 4.0|EPEAT,1 in,Built-In Webcam Yes,IEEE 802.11b/g/n|Ethernet|Bluetooth 4.0,Touch Screen Yes,6 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i5,1.60 GHz,,http : //usa.asus.com,1 Year,13.7 in,5 Hour,Windows 8,Secure Digital ( SD ) Card,Intel HD 4400,4.90 lbs,Silver Aluminum,500 GB,DVDR/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 455 G1 15.6"" LED Notebook - AMD - A-Series A6-5350M 2.9GHz (4 GB RAM - 500 GB HDD - DVD-Writer - AMD Radeon HD 8450G - Windows 7 Professional 64-bit English - 1366 X 768 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,EPEAT Gold|RoHS|IT Eco Declaration|WEEE|EU WEEE,1.1 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,6-cell,AMD A-Series,2.90 GHz,,http : //www.hp.com,1 Year,14.8 in,7.75 Hour,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |Memory Stick|Memory Stick Extended Capacity ( MSXC ),AMD Radeon HD 8450G,5.29 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 9 Lite NP915S3G 13.3"" Touchscreen LED Notebook - AMD A-Series 1.40 GHz - White Marble (4 GB RAM - 128 GB SSD - AMD Radeon HD 8250 - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,LED Backlight,ENERGY STAR|RoHS|EPEAT,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Touch Screen Yes,4 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes,Notebook,DDR3 SDRAM,2-cell,AMD A-Series,1.40 GHz,128 GB,http : //www.samsungusa.com,1 Year,12.8 in,5.50 Hour,Windows 8,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),AMD Radeon HD 8250,3.48 lbs,White Marble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
