<page title>,average battery life in hours,batteries,brand name,chipset brand,color,computer memory type,graphics coprocessor,hard drive,hard drive interface,hard drive rotational speed,hardware platform,item dimensions l x w x h,item model number,item weight,max screen resolution,number of usb 30 ports,operating system,optical drive type,processor,processor brand,processor count,ram,screen resolution,screen size,series,wireless type,audioout ports,battery type,memory speed,number of usb 20 ports,power source,asin,best sellers rank,buy used and save,customer reviews,date first available,graphics card ram size,heres how,shipping,shipping weight,card description,flash memory size,rear webcam resolution,voltage,manufacturer part number,number of items,product dimensions,size
Amazon.com : Dell Vostro 3450 Intel I3 2.1ghz 4gb Ram 250gb HDD Webcam +1 Year Dell Warranty : Notebook Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Dell,,Black,DDR3 SDRAM,,250 GB,PC Card,,PC,13.50 x 9.68 x 1.30 inches,3450,5.8 pounds,1366 X 768,,Windows 7,DVD+RW,Intel Core i3,Intel,,4 GB SDRAM DDR3,1366 X 768,14 inches,3450,802.11bgn,,,,1.0,,,,,,,,,,,INTEL HD GRAPHICS 3000,,,,,,,
"Amazon.com : Acer Aspire V5-571P-6698 15.6-Inch Touchscreen Laptop (1.5 GHz Intel Core i3-2377M Processor, 8GB DDR3, 750GB HDD, Windows 8) Silky Silver : Laptop Computers : Computers & Accessories",5 hours,1 Lithium ion batteries required . ( included ),Acer,,Silky Silver,,Intel HD Graphics,750 GB SATA,,5400 RPM,PC,15 x 9.96 x 0.96 inches,V5-571P-6698,5.3 pounds,1366 x 768 pixels,1.0,Windows 8,8X DVD-Super Multi Double-Layer Drive,1.5 GHz Core i3-2377M,Intel,,8 GB DDR3,,15.6 inches,V5-571P,802.11bgn,,,,2.0,,,,,,,128 MB,,,,,,,,,,,
Amazon.com : ASUS K200MA-DS01T 11.6-Inch HD Touchscreen Laptop (OLD VERSION) : Computers & Accessories,5 hours,1 Lithium ion batteries required . ( included ),Asus,,Black,DDR3 SDRAM,,500 GB,Serial ATA,5400 RPM,PC,11.90 x 7.90 x 1.20 inches,90NB04U6-M03070,3 pounds,1366*768 pixels,1.0,Windows 8.1,No,1.86 GHz Intel Celeron,Intel,1.0,4 GB DDR3,1366 x 768,11.6 inches,Asus,802.11bgn,,,1333 MHz,2.0,,B00HZT1T5E,"# 1,731 in Computers & Accessories ( See top 100 )",See all Used offers from Amazon Warehouse Deals .,3.8 out of 5 stars See all reviews 153 reviews 3.8 out of 5 stars,"March 14 , 2014",,( restrictions apply ),This item is also available for shipping to select countries outside the U.S .,4.1 pounds ( View shipping rates and policies ),,,1.2 MP,,,,,
"Amazon.com : Aspire E5-571-34AK 15.6"" LED Notebook - Intel Core i3 i3-4030U 1.80 GHz - Blue : Computers & Accessories",,,Acer,,,,,,,,,19.60 x 2.90 x 12 inches,NX.MPSAA.001,7.2 pounds,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnkk 15.6"" Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Black : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : IdeaPad S400 14"" LED Notebook - Intel - Core i3 i3-3227U 1.9GHz - Silver : Laptop Computers : Computers & Accessories",,,Lenovo,,,DDR3 SDRAM,,500 GB,Serial ATA,,PC,19.20 x 14.80 x 4 inches,S400-20283,5.5 pounds,,,Windows 8,,1.90 GHz Intel Core i3,Intel,1.0,4 MB ddr3,,14 inches,IdeaPad,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS Flip 15.6-Inch 2-in-1 Convertible Touchscreen Laptop (Core i3, 500GB HDD, 6GB RAM) : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Asus,,,,,500 GB,,5400 RPM,,10.20 x 15 x 0.90 inches,TP500LA-EB31T,5 pounds,1366*768 pixels,1.0,Windows 8.1,,1.9 GHz Core i3-4030U,,,6 GB DDR3,,15.6 inches,TP500LA Series,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell XPS 11 Ultrabook/Tablet - 11.6"" - TrueLife - Intel Core i3 i3-4020Y 1.50 GHz : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,80 GB,Solid State,,PC,17 x 12 x 4 inches,XPS 12 Convertible Ultrabook,5.2 pounds,,,Windows 8,,1.50 GHz Intel Core i3,Intel,1.0,4 MB,,11.60 inches,XPS 11 Ultrabook/Tablet,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ThinkPad Edge E540 20C60054US 15.6"" LED Notebook - Intel - Core i3 i3-4000M 2.4GHz - Matte Black - Silver : Computers & Accessories",,,Lenovo,,,,,,,,,19 x 13 x 4 inches,20C60054US,7.6 pounds,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad T410i notebook - Intel Core i3-330M Processor 2.13GHz, Windows 7 Home Premium, 2 GB DDR3, 250 GB HD, DVD Recordable 8x Max Dual Layer, Intel HD Graphics, 14.1 WXGA TFT, w/ LED Backlight (WWAN antenna) : Laptop Computers : Computers & Accessories",,,,,,,,250 GB,,,,,,,,,,,Intel Core i3,,,2 GB ddr3,,14.1 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Sony VAIO VPC-EA43FX/WI 14-Inch Laptop (White) : Notebook Computers : Computers & Accessories,5.5 hours,,Sony,Intel,White,DDR3 SDRAM,HD Graphics,320 GB,Serial ATA,5400 RPM,PC,9.40 x 13.62 x 1.08 inches,VPC-EA43FX/WI,5.2 pounds,1336 x 768 pixels,,Windows 7 Home Premium ( 64-Bit ),DVD Super Multi,2.53 GHz Intel Core i3,Intel,2.0,4 GB DDR3-SDRAM,1366 x 768,14 inches,laptop,,1.0,lithium_ion,1066 MHz,3.0,AC,,,,,,,,,,HD Graphics,,,230 volts,,,,
"Amazon.com : Sony VPCEH16FX/B 15.5"" Notebook Intel Core i3 2310M(2.10GHz) 15.5"" 4GB Memory DDR3 1333 640GB HDD 5400rpm Blu-Ray DVD±R/RW Intel HD Graphics 3000 HDMI : Laptop Computers : Computers & Accessories",,,Sony,,,DRAM,,640 GB,Serial ATA,,PC,14.50 x 9.80 x 1.30 inches,VPCEH16FX/B,6 pounds,,,Microsoft Windows 7 Home Premium 64-bit,,2100 MHz Intel Core 2 Duo,Intel,1.0,4096 MB ddr3,1366_x_768,15.5 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP 15-d090nr 15.6"" Laptop (Windows 7) : Computers & Accessories",4.5 hours,1 Lithium ion batteries required . ( included ),HP,,Black,DDR3 SDRAM,,500 GB,,5400 RPM,PC,10.20 x 14.88 x 1.11 inches,G1U99UA # ABA,5 pounds,1366x768,1.0,Windows 7 Home Premium 64-bit,SuperMulti DVD burner,2.4 GHz Core i3-3110M,Intel Core i3,,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,HP,802.11bgn,1.0,Li-Ion polymer,1600 MHz,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Vostro V3500 15.6"" Notebook, Intel Core i3-350M (2.26GHz), 2GB DDR3 Memory, 250GB HDD, DVD Super Multi-Drive, Intel GMA HD, Windows 7 Home Premium : Laptop Computers : Computers & Accessories",3 hours,,Dell,,Silver/Black,,,280 GB,,,PC,,,8 pounds,,,windows_7_home_premium,,Intel Core i3,,,2 GB ddr3,,15.9 inches,Vostro,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS X75A-DB31 17.3-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Asus,Intel,Black,SODIMM,Intel HD Graphics 4000,500 GB SATA,Serial ATA,5400 RPM,PC,16.50 x 1.40 x 11 inches,X75A-DB31,6.7 pounds,1600x900 pixels,2.0,Windows 7 Home Premium 64-bit,DVD Super Multi,2.1 GHz Core i3-2370M,Intel,1.0,4 GB SO-DIMM,1600 x 900,17.3 inches,X75A,802.11bgn,1.0,,,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer C720-3404 11.6-Inch Chromebook (Intel Core i3, 4 GB) Granite Gray : Computers & Accessories",8.5 hours,1 Lithium ion batteries required . ( included ),Acer,,Granite Gray,DDR3 SDRAM,Intel HD Graphics 4400,32 GB flash_memory_solid_state,Solid State,,PC,11.34 x 8.03 x 0.75 inches,C720-3404,2.8 pounds,1366x768,1.0,Chrome,,1.7 GHz Core i3-4005U,Intel Core i3,2.0,4 GB DDR3L SDRAM,,11.6 inches,C720,802.11bgn,,,,1.0,,,,,,,,,,,,32,,,,,,
"Amazon.com : Dell Inspiron i17RV Black Laptop, Intel Core i3 4010U 1.7GHz, 16GB DDR3 Ram, 17.3in Screen, 1TB HDD, DVD Burner, Windows 8 : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,,,,PC,20.20 x 13.13 x 3.58 inches,I17RV,,,,Windows 8,,,,,,,,Inspiron i17RV,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS X55C-DS31 15.6-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Asus,,Black,DDR3 SDRAM,Intel GMA HD,500 GB,Serial ATA,5400 RPM,PC,14.90 x 9.90 x 1 inches,X55C-DS31,5.8 pounds,1366x768,1.0,Windows 8,DL DVD±RW/CD-RW,2.4 GHz Core i3-2370M,intel core I3,2.0,4 GB DDR3,1366 x 768,15.6 inches,X55,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Latitude 3330 13.3"" Notebook - Intel Core i3 i3-3217U 1.80 GHz : Computer Internal Components : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,320 GB,Serial ATA,,PC,17.50 x 12.50 x 0.75 inches,730-7504,6.1 pounds,,,Windows 7 Home Premium,,1.80 GHz Intel Core i3,Intel,1.0,4 MB DDR3L SDRAM,,13.30 inches,Dell Latitude 3330 - Core i3 3217U / 1.8 GHz - Windows 7 Home Premium 64-bit - 4 GB RAM - 320 GB Hybrid Drive ( 8 GB SSD cache ) - 13.3 '' wide 1366 x 768 / HD - Intel HD Graphics 4000 - keyboard : English,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS 15.6"" Notebook 2.16 GHz Intel Celeron Processor, 4GB RAM and 500GB (OLD VERSION) : Computers & Accessories",3.25 hours,1 Lithium ion batteries required . ( included ),Asus,,Black,DDR3 SDRAM,,500 GB,IEEE_1284,5400 RPM,PC,9.88 x 14.96 x 1.22 inches,X551MAV-RCLN06,4.7 pounds,1366 x 768,1.0,Windows 8,,2.16 GHz Celeron N2830,Intel Celeron,,4 GB SDRAM,1366x 768,15.6 inches,X551MAV-RCLN06,802.11n,,,,1.0,AC,B00LNG8UPC,# 373 in Computers & Accessories ( See top 100 ) # 65 in Computers & Accessories > Notebooks,,4.0 out of 5 stars See all reviews 101 reviews 4.0 out of 5 stars,"July 1 , 2014",,,This item is also available for shipping to select countries outside the U.S .,6.3 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : Dell Inspiron 14R i14RMT-2501sLV 14-Inch Touchscreen Laptop (1.7 GHz Intel Core i3-4010U Processor, 4GB DDR3L, 500GB HDD, Windows 8) Moon Silver : Laptop Computers : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Dell,,Moon Silver,,,500 GB mechanical_hard_drive,,5400 RPM,,19.11 x 13.23 x 4.20 inches,i14RMT-2500sLV,,1366x768,2.0,windows 8 home,,1.7 GHz Core i3-4010U,Intel Core i3,,4 GB DDR3L SDRAM,,14 inches,Inspiron 14R,802.11bgn,,,,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 17R Core i3-2310M Dual-Core 2.1GHz 4GB 500GB DVD±RW 17.3"" WLED Laptop Windows 7 Home Premium w/Webcam, 6-Cell & Bluetooth : Notebook Computers : Computers & Accessories",,,Dell,,BLACK,,,500 GB,,,PC,,,,,,windows_7_home_premium,,Intel Core i5,,2.0,4 GB ddr3,,17.3 inches,DELL INSPIRON N7110 17R,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Latitude E5530 15.6"" LED Notebook - Intel Core i3 i3-3110M 2.40 GHz (Open Box) : Laptop Computers : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,320 GB,Serial ATA,,PC,21.65 x 13.70 x 4.09 inches,469-3907,8.8 pounds,,,Windows 7 Home Premium,,2.40 GHz Intel Core i3,Intel,1.0,2 GB DDR3 SDRAM,,15.60 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP 210 G1 - Core i3 4010U / 1.7 GHz - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed: Windows 7 - 4 GB RAM - 320 GB HDD - 11.6"" 1366 : Computers & Accessories",,,,,,,,320 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,11.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer Corp. GT70 DOMINATORPRO-889;9S7-1763A2-889 17.3-Inch Laptop : Computers & Accessories,,1 Lithium ion batteries required .,MSI,,Alumium Black,,NVIDIA Geforce GTX880M,1024 GB flash_memory_solid_state,Serial ATA-600,7200 RPM,PC,16.85 x 11.34 x 2.17 inches,GT70 DOMINATORPRO-889 ; 9S7-1763A2-889,8.6 pounds,1920x1080,3.0,Windows 8.1,BD Burner,2.7 GHz Intel Core i7 4800MQ Quad-Core,Intel,1.0,2 GB DDR3L SDRAM,,17.3 inches,GT70,802.11bgn,,,,2.0,,,,See all Used offers .,,,8000 MB,( restrictions apply ),,,,128,,,,,,
Amazon.com : Dell Inspiron i5447-6250sLV 14-Inch Touchscreen Laptop : Computers & Accessories,6.5 hours,1 Lithium ion batteries required . ( included ),Dell,,Silver,DDR3 SDRAM,Integrated Graphics,1024 GB mechanical_hard_drive,,5400 RPM,,18.39 x 13 x 3.37 inches,i5447-6250sLV,5 pounds,1366x768,2.0,Windows 8.1,No,1.7 GHz Intel Core i5,Intel Core I5,1.0,8 GB DDR3L SDRAM,1366 x 768,14 inches,Inspiron,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : ThinkPad Edge E540 20C6008WUS 15.6"" LED Notebook - Intel Core i3 i3-4000M 2.40 GHz : Computers & Accessories",,,Lenovo,,,,,,,,,19.40 x 3.70 x 13 inches,20C6008WUS,7.7 pounds,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo Z50 15.6-Inch Laptop (80EC000TUS) Black : Computers & Accessories,5 hours,1 Nonstandard Battery batteries required . ( included ),Lenovo,,Black,,,1000 GB,,5400 RPM,,10.43 x 0.98 x 15.12 inches,80EC000TUS,5.3 pounds,1366x768 pixels,1.0,Windows 8.1,DVDRW,1.9 GHz AMD A Series,AMD,1.0,8 GB DDR3,,15.6 inches,Lenovo,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Portege R705-P35 Laptop, Intel Core i3 Processor, 13.3"" Display : Laptop Computers : Computers & Accessories",8.5 hours,,Toshiba,,,,Intel HD Graphics,500 GB,,5400 RPM,PC,8.94 x 12.44 x 1.01 inches,R705-P35,3.2 pounds,1336 x 768 pixels,,Microsoft Windows 7 Home Premium,,2.26 GHz Intel Core i3,Intel,,4 GB DDR3,1366 x 768,13.3 inches,Portege,,1.0,lithium_ion,,,AC,,,,,,,,,,,,,,,,,
Amazon.com : Gateway Laptop Nv55c56u : Laptop Computers : Computers & Accessories,,,Gateway,,,,,320 GB,Serial ATA,,PC,15 x 1.30 x 10 inches,Nv55c,5.7 pounds,1366 x 768,,Windows® 7 Home Premium 64-bit,,Core i3-370M,Intel,,4 GB ddr3,,15.6 inches,Nv55c56u,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI GE70 Apache Pro-061 17.3-Inch Laptop : Computers & Accessories,,1 Lithium ion batteries required .,MSI,,Alumium Black,DDR3 SDRAM,NVIDIA Geforce GTX860M,1024 GB,Serial ATA-600,5400 RPM,PC,16.46 x 10.61 x 1.54 inches,GE70 Apache Pro-061 ; 9S7-175912-061,6 pounds,1920x1080,2.0,Windows 8.1,DVD Super Multi,3.2 GHz Core i5-4200H,Intel,1.0,8 GB DDR3L SDRAM,,17.3 inches,GE70,802.11bgn,,,,2.0,,,,,,,2000 MB,,,,,,,,,,,
"Amazon.com : Toshiba Satellite 14"" P845T-S4305 3rd Generation i3-3217U Touch-Screen Laptop, 4GB Memory - 500GB Hard Drive - Prestige Silver : Laptop Computers : Computers & Accessories",,,Toshiba,,,DDR3 SDRAM,,,,,,9.20 x 13.70 x 1.10 inches,,4.3 pounds,,,Windows 8,,,Intel,,,,,Satellite,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion x2 - 13-p110nr - 13.3"" Detachable 2-in-1 Laptop and Tablet - Intel Core i3-4020Y Haswell / 4GB DDR3 SDRAM / 128GB SSD / Windows 8.1 / Intel HD Graphics 4200 / WiFi / Bluetooth / Webcam - Graphite : Computers & Accessories",5 hours,,HP,,Graphite,DDR3 SDRAM,,128 GB,,,PC,1 x 9.05 x 13.38 inches,13-p110nr,4.9 pounds,,,other,,,,,4 GB SDRAM DDR3,1366 x 768,13.3 inches,Pavilion x2,"802.11bgn , Bluetooth",,,,1.0,,,,,,,,,,,,,1 MP,,,,,
"Amazon.com : Acer C720-3404 11.6-Inch Chromebook (Intel Core i3, 4 GB) Granite Gray : Computers & Accessories",8.5 hours,1 Lithium ion batteries required . ( included ),Acer,,Granite Gray,DDR3 SDRAM,Intel HD Graphics 4400,32 GB flash_memory_solid_state,Solid State,,PC,11.34 x 8.03 x 0.75 inches,C720-3404,2.8 pounds,1366x768,1.0,Chrome,,1.7 GHz Core i3-4005U,Intel Core i3,2.0,4 GB DDR3L SDRAM,,11.6 inches,C720,802.11bgn,,,,1.0,,,,,,,,,,,,32,,,,,,
"Amazon.com : Toshiba Satellite Laptop L755-S5311/ Intel® CoreTM I3-2330m Processor /4g/500g/ 15.6"" Display - Matrix Graphite : Laptop Computers : Computers & Accessories",,,Toshiba,,,,Intel HD Graphics,500 GB,,,,,,,,,Windows 7 Home Premium ( 64-bit ),,2.2 GHz Core i3-2330M,Intel,,4 GB DDR3,,15.6 inches,Satellite,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 15R 15.6"" Notebook / Intel Core i3-380M (2.53GHz) / 3GB Memory DDR3 / 320GB Hdd 5400rpm / DVD±RW / HDMI Webcam Bluetooth : Laptop Computers : Computers & Accessories",,,Dell,,,,,320 GB,,5400 RPM,PC,14.80 x 10.31 x 1.25 inches,15R,5.8 pounds,,,Microsoft Windows 7 Home Premium ( 64 bit ),,2.53 GHz Intel Core i3,Intel,1.0,3 GB DDR3,1366_x_768,15.3 inches,Inspiron,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com: Lenovo G570 43347PU 15.6-Inch Laptop (Black): Computers & Accessories,4 hours,,Lenovo,Intel,Black,DDR3 SDRAM,Integrated Intel HD 3000 Graphics,500 GB SATA,,5400 RPM,PC,9.80 x 1.37 x 14.80 inches,43347PU,5.7 pounds,1366x768 pixels,,Windows 7 Home Premium,DVD±R/RW,2.2 GHz Intel Core i3,Intel,1.0,4 GB DDR3,1366 x 768,15.6 inches,Essential,,1.0,Lithium-Ion ( Li-Ion ),1333 MHz,4.0,AC,,,,,,,,,,HD Graphics 3000,,,,,,,
"Amazon.com : Dell Inspiron 14z Ultrabook - 3rd generation Intel Core i3-3217U 1.8GHz, 4GB DDR3, 128GB SSD, DVDRW, 14"" Display, Windows 8 64-bit : Laptop Computers : Computers & Accessories",,,Dell,,,,,128 GB,Solid State,,PC,9.45 x 0.83 x 13.66 inches,,,,,Windows 8,,Intel Core i3,,,4 GB ddr3,,14 inches,i14z,Bluetooth,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba Satellite U945-S4380 14.0-Inch Ultrabook (Ice Blue with Fusion Lattice) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Toshiba,Intel,Ice Blue with Fusion Lattice,DDR3 SDRAM,Intel Graphics,500 GB,Serial ATA,5400 RPM,PC,9.40 x 13.40 x 0.82 inches,PSU6SU-013008,4.1 pounds,1366 x 768 pixels,2.0,Windows 8,No,1.8 GHz Core i3-3217U,Intel,2.0,4 GB DDR3,1366 x 768,14 inches,Satellite,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,AC 100 - 240V,,,,,,1696 MB,,,,,32,,,,,,
"Amazon.com : HP Business F7V09UT#ABA 340G1 14"" i3 4010U 4GB 500GB (F7V09UT#ABA) : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ThinkPad L440 20AT001YUS 14"" LED Intel Core i3 i3-4000M 2.40GHz 4GB RAM 500GB HDD Win7 Pro 64-bit Notebook : Computers & Accessories",,,Lenovo,,,,,,,,,16.10 x 5.60 x 11.40 inches,20AT001YUS,7.3 pounds,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire E5-771-378Y 17.3-Inch Laptop (Iron Silver) : Computers & Accessories,5.5 hours,1 Lithium ion batteries required . ( included ),Acer,,Iron Silver,,Intel HD Graphics 4400,1000 GB SATA,,5400 RPM,,16.67 x 11.41 x 1.10 inches,E5-771-378Y,6.6 pounds,1600 x 900,2.0,Windows 8.1,,1.8 GHz Intel Core i3,Intel,,8 GB DDR3L SDRAM,,17.3 inches,E5-771,802.11bgn,,,,2.0,,,,,,,64 MB,,,,,,,,,,,
Amazon.com : MSI GS60 GHOST-012 15.6-Inch Laptop : Computers & Accessories,,1 Lithium ion batteries required .,MSI,,Aluminum Black,,NVIDIA Geforce GTX850M,1 TB SATA,,7200 RPM,PC,15.50 x 23 x 5.50 inches,GS60 GHOST-012 ; 9S7-16H412-012,11.5 pounds,1920 x 1080 pixels,3.0,Windows 8.1,,2.5 GHz Intel Core i7,Intel,1.0,8 GB DDR3L,,15.6 inches,G Series,802.11 A/C,2.0,,,,,B00LIZQDG6,"# 4,652 in Computers & Accessories ( See top 100 )",See all Used offers .,5.0 out of 5 stars See all reviews 4 reviews 5.0 out of 5 stars,"July 4 , 2014",,( restrictions apply ),This item is also available for shipping to select countries outside the U.S .,11.5 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : Toshiba Satellite C55-A5100 15.6"" Laptop PC - Intel Core i3 / 6GB Memory / 750GB HD / Webcam & Microphone / DVD±RW/CD-RW / Windows 8.1 64-bit : Computers & Accessories",,,Toshiba,,,DDR3 SDRAM,,750 GB mechanical_hard_drive,,,,9.50 x 15 x 1.30 inches,Toshiba Satellite C55-A5100,5.3 pounds,1366 x 768,,Windows 8,,Intel Core i3,Intel Core i3,,6 GB,1366 x 768,15.6 inches,Toshiba Satellite C55-A5100,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ACER V5-471-6569 14"" Notebook (Intel i3-2367M, 4GB Ram, 500Gb hard drive, Windows 7 Home Premium 64, HDMI, WebCam) : Laptop Computers : Computers & Accessories",,,Acer,,,,,,,,,13.50 x 9.60 x 0.90 inches,,,,,windows_7_home_premium,,,,,,,,ACER V5,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire E5-471-383Y 14-Inch Laptop (Piano Black) : Computers & Accessories,7 hours,1 Lithium ion batteries required . ( included ),Acer,,Piano Black,,Intel HD Graphics 4400,500 GB SATA,,5400 RPM,,13.62 x 9.76 x 1.19 inches,E5-471-383Y,5.1 pounds,1366 x 768 pixels,1.0,Windows 8.1,,1.8 GHz Intel Core i3,Intel,,4 GB DDR3L SDRAM,,14 inches,E5-471,802.11bgn,,,,2.0,,,,,,,64 MB,,,,,,,,,,,
Amazon.com : HP Pavilion dv4-4140us Entertainment PC - Black : Notebook Computers : Computers & Accessories,5 hours,,HP,Intel,Black,SDRAM,Intel HD Graphics,640 GB 640GB 5400RPM hard drive,Serial ATA,5400 RPM,PC,18.90 x 3.10 x 13.60 inches,Pavilion dv4-4140us Entertainment PC,7.1 pounds,1366 x 768 pixels,,Windows 7 Home Premium,DVD Super Multi,2.2 Hz Intel Core i3,Intel,2.0,4 GB SDRAM,1366 x 768,14 inches,Pavilion,,1.0,lithium_ion,,3.0,AC,,,,,,1696 MB,,,,HD Graphics 3000,,,,,,,
"Amazon.com : Dell Inspiron 17R N7110 17.3"" Notebook Laptop Computer Intel Core i3 2.1GHz, 4GB RAM, 500GB Hard Drive, Intel HD Graphics, Windows 7 Home Premium : Computers & Accessories",,,Dell,,Black,DDR3 SDRAM,,500 GB,,,PC,,N7110,,,,Windows 7 Home Premium,,Intel Core i3,,,4 GB SDRAM DDR3,,17.3 inches,Inspiron,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i17RV-818BLK 17.3-Inch Ultrabook (1.9 GHz Intel Core i3-3227U, 4GB DDR3, 500GB HDD, Windows 8) Matte Black : Laptop Computers : Computers & Accessories",,,Dell,,Black Matte with Textured Finish,,Intel HD Graphics 4000,500 GB mechanical_hard_drive,Serial ATA,5400 RPM,PC,10.60 x 16.20 x 1.12 inches,i17RV-818BLK,5.8 pounds,1366x768,2.0,Windows 8,8X CD / DVD Burner ( Dual Layer DVD+/-R Drive ),1.9 GHz Core i3 3227U,intel core I3,,4 GB DDR3,,17.3 inches,Inspiron 17 ( 3721 ),802.11bgn,1.0,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com: Dell Inspiron 15RN i15RN-7059DBK 15.6-Inch Laptop (Black): Computers & Accessories,,,Dell,Intel,Black,DDR3 SDRAM,Intel HD Graphics 3000,500 GB mechanical_hard_drive,,5400 RPM,PC,4.17 x 13.90 x 19.92 inches,i15RN-7059DBK,7 pounds,1366x768,2.0,Windows 7 Home Premium,DVD Super Multi DL,2.2 GHz Core i3-2330M,intel core I3,1.0,4 GB DDR3-SDRAM,1366 x 768,15.6 inches,Inspiron,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1333 MHz,1.0,AC,,,,,,,,,,HD Graphics 3000,,,,,,,
"Amazon.com : HP Business G4S60UT#ABA 350 15.6"" i3 4005 500GB Win8 (G4S60UT#ABA) : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron i17RV Black Laptop, Intel Core i3 4010U 1.7GHz, 8GB DDR3 Ram, 17.3in Screen, 750GB HDD, DVD Burner, Windows 8 : Computers & Accessories",,,Dell,,,DDR3 SDRAM,,,,,PC,20.20 x 13.13 x 3.58 inches,I17RV,,,,Windows 8,,,,,,,,Inspiron i17RV,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Inspiron I15-1821BK Core i3-2370M Laptop : Laptop Computers : Computers & Accessories,,,Dell,,,DDR3 SDRAM,,500 GB mechanical_hard_drive,,,Consumer Electronics,,,,,,Windows 8,,Intel Core i3,,,4 GB,,15.6 inches,i15-1821BK,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
