<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
ASUS T100TAM Transformer Book Intel Atom 2GB Memory 64GB SSD 10.1 2-in-1 Brushed Aluminum  Notebook Windows 8.1 + Microsoft Office 365 - T100TAM-C1-GM at TigerDirect.com,,,New,,,,,,,DDR3,,,2-in-One,10.1 '',,,,2.4 lbs,SonicMaster Audio,2-Cell Lithium-Polymer,64GB,Gray,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",6.8 '',IPS HD,SSD,IntelÂ® HD Graphics,1x 64GB SSD,1 - Micro-HDMI,0.93 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11a/g/n",Keyboard Dock,,2GB,1368 x 768,SDXC,,Integrated Touchpad,Windows 8.1,,,Intel,Atom,Z3775,1.46GHz,Quad-Core,"802.11 a/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,Yes,,,10.4 '',,,,,,Home & Student,,,,"1 - USB 3.0 , Micro-USB Port",1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS UX303LN Intel Core i7 12GB Memory 256GB SSD 13.3 Notebook Windows 8.1 64-bit - UX303LN-DB71T at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3,,,Laptop,13.3 '',,,,3.2 lbs,SonicMaster,3-Cell Lithium Polymer,256GB,,"Integrated Wireless LAN , Integrated Bluetooth",8.8 '',QHD+,SSD,NVIDIA GeForce GT 840M,1x 256GB,1,0.7 '',Yes,"10/100/1000 Base T , Bluetooth V4.0",Standard Size,,,3200 x 1800,SD/ SDHC,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i7,4510U,2GHz,Dual-Core,Bluetooth 4.0,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",2-in-1,12GB,,,,12.7 '',,,,,,,,,,3 - USB 3.0,1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,2GB DDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X1 Carbon Intel Core i5 4GB Memory 120GB SSD 14.0 Ultrabook Windows 7 Professional 64-bit - 3448CXU at TigerDirect.com,,,New,,,,1 - mini,,,DDR3L,,,Ultrabook,14.0 '',,,,3.4 lbs,Realtek ALC3202,4-Cell Lithium-Polymer,120GB,,"Integrated Wireless LAN , Integrated Bluetooth",8.9 '',HD+ anti-glare LED-backlit,SSD,Intel HD Graphics 4400,1x 120GB,,0.8 '',Yes,"Intel Centrino Advanced-N 6205S , Bluetooth",Spill Resistant,,,1600 x 900,SD/MMC/SDHC/SDXC,,Integrated Touchpad,Windows 7 Professional 64-Bit,None,,Intel,Core i5,3427U,1.8GHz,Dual-Core,"802.11a/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",4-in-1,4GB,,,,13 '',,Integrated Audio,,,,Business,,,,"1 - USB 3.0 , 1 - USB 2.0",1 Headphone out/Microphone-in combo jack,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,,,,,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,Up to 8.2 hours,,,,,,,,,,
"Lenovo Y50 Intel Quad Core i7-4700HQ, 16GB Memory, 256GB SSD, 2GB NVIDIA GTX 860M 15.6 4K 3840 x 2160 Display Windows 8.1 64-bit Gaming Laptop - 59425943 at TigerDirect.com",,,New,,,,,,,DDR3L,,,Laptop,15.6 '',,,,5.29 lbs,JBL speakers with Dolby Advanced Audio V2,,256GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.37 '',UHD IPS Display,SSD,NVIDIAÂ® GTX-860M,1x 256GB,1,0.94 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11ac , Bluetooth",Backlit AccuTypeÂ® keyboard,1 - RJ-45,,3840 x 2160,SD/MMC/SDXC/SDHC,,Integrated Touchpad,Windows 8.1 64-Bit,DVDRW,,Intel,Core i7,4700HQ,2.4GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",4-in-1,16GB,,,1,15.24 '',,,,,,Gaming,,,,"2 - USB 3.0 , 1 - USB 2.0",1 - Combo Headphone/Microphone Jack,Discrete Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,2G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 4.0 hours,,,,,,,,,,
"iBUYPOWER TD741 Gaming PC - Intel Pentium G3220 3.00GHz, 8GB DDR3 Memory, 1600MHz, 1TB HDD, DVDRW, 1GB NVIDIA GeForce GT 610, Windows 8.1 64-bit - TD741 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,19.5 '',Monitor Not Included,,NVIDIA GeForce GT 610,,1,17.3 '',,,Multimedia,1,16GB,,,2 Slots Total / 0 Free,Optical,Windows 8.1 64-Bit,,,Intel,Pentium,G3220,3.00GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,1,7.7 '',1 - PCI Slot Bluetooth 802.11g 2 - USB 3.0 1 - Keyboard 8 - 3.5 '' Bays,Integrated Audio,,,,Gaming,,,,6 - USB 2.0,1,Dedicated Graphics,,,Black,USB USB,1.0,Mid-Tower,HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,2 x 4GB,1 - PCI Express X16 Slot,DVD±RW,Vertical,300 Watt,,PC3-12800 1600MHz,,"7,200RPM",,,,1GB,1,,,,Wireless LAN 802.11 b/g,,,,,,,,,1,,,,,,,,802.11b,,,,,,,,3 - 5.25 '' Bays,,,,,,,,,,,,,1 - Mouse,,,,,,,,,
"Acer Aspire GT620 ATC-605-UR15 Gaming PC - Intel Core i7-4770 3.40GHz, 12GB Memory, 1TB HDD, DVDRW, Windows 8.1 64-bit - DT.SRQAA.014 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,15 '',Monitor Not Included,,NVIDIA GeForce GT 620,,1,6.9 '',,,Included,1,16GB,,,,Included,Windows 8.1 64-Bit,,,Intel,Core i7,i7-4770,3.40GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,12GB,,,1,16.3 '',Bluetooth 4.0 4 - USB 2.0 802.11a 1 - PCI Express X1 Slot 1 - Mini PCI-E Slot Horizontal 802.11n 802.11g,Integrated Audio,,,,Home & Student,,,,2 - USB 3.0,1,Dedicated Graphics,,,Black,,,Small Form Factor ( SFF ),HDD,1,Serial ATA/300,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,1 - PCI Express X16 Slot,DVD±RW,Vertical,300 Watt,,,,,,,,1GB,,,,,Wireless LAN 802.11 a/b/g/n,,,,,,,,,1,,,,,,,,802.11b,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad T400 Intel Core 2 Duo 3GB Memory 160GB HDD 14.1 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-825633377981 at TigerDirect.com,,,Off-Lease,,,,,,,DDR3,,,Laptop,14.1 '',,,,4.85 lbs,,Lithium-Ion,160GB,,Integrated LAN,9.28 '',WXGA,HDD,Intel Graphics 4500MHD,1x 160GB,,1.19 '' - 1.36 '',,RJ-11 Phone Connector,Standard Size,1 - RJ-45,4GB,1280 x 800,,,Integrated Touchpad,Windows 7 Professional 64-Bit,CDROM Burner/DVD Player,,Intel,Core 2 Duo,P8700,2.53GHz,Dual-Core,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",7-in-1,3GB,,,,13.2 '',RJ-45 Ethernet Connector Integrated Modem,Integrated Audio,,,,Business,,2.0,,3,1 Headphone out,Integrated Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - RJ-11,,,,,,,,
HP EliteBook 840 G1 Intel Core i5 4GB Memory 500GB HDD 14.0 Notebook Windows 7 Professional 32-bit - F8F35US#ABA at TigerDirect.com,,,New,,,,1,,,DDR3L,,,Laptop,14 '',,,,3.48 lbs,HD Audio with DTS Studio Sound,3-Cell Lithium-ion,500GB,,"Integrated LAN , Integrated Wireless LAN",9.33 '',LED-backlit HD anti-glare,HDD,IntelÂ® HD Graphics 4400,1x 500GB,,0.83 '',Yes,"RJ-45 Ethernet Connector , 802.11 a/b/g/n",Standard Size,1 - RJ-45,16GB,1366 x 768,,,Integrated Touchpad,Windows 7 Professional 32-Bit,None,,Intel,Core i5,4300U,1.9GHz,Dual-Core,802.11 a/b/g/n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,,1 - USB 3.0,1,13.35 '',,,,,,,,,,3 - USB 3.0,1 - Headphone/Microphone Combo Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 6570b Intel Core i5 4GB Memory 320GB HDD 15.6 Notebook Windows 7 Professional 32-bit - E9E75US#ABA at TigerDirect.com,,,New,,,,1,,,DDR3,,,Laptop,15.6 '',,,,5.76 lbs,High Definition Audio,6-Cell Lithium-ion,320GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",9.86 '',LED-backlit HD anti-glare,HDD,Intel HD Graphics 4000,1x 320GB,,1.35 '',Yes,"RJ-45 Ethernet Connector , 802.11 a/b/g/n",Full-sized spill-resistant keyboard with drains,1 - RJ-45,16GB,1366 x 768,,,Integrated Touchpad,Windows 7 Professional 32-Bit,DVDRW,,Intel,Core i5,3380M,2.9GHz,Dual-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,,1 - eSATA/USB,1,14.72 '',,Integrated Audio,,,,,,,1 - Docking Connector,"2 - USB 3.0 , 3 - USB 2.0",1 - Headphone/line-out,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supermicro QT0032233 Value Server Intel Pentium G2120 (3.2GHz), 4GB Memory, 2x 1TB HDD, No OS at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,23 '',,,,,,21 '',,,,3,32GB,,,,,No OS,,,Intel,Pentium,G3420,3.2GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,,,2,12 '',2 - USB 3.0,,,,,,,,,6 - USB 2.0,,Integrated,,,,,,,,,,Intel i217LM + Intel i210AT,10/100/1000Mbps,Gigabit Ethernet,,,,,,,FCLGA1150,,,,,7200RPM,,,,DVDRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATA,,,,,3MB L2,2TB,Tower,,,,Intel,,,,,,,
MSI GP60 Leopard-009 Intel Core i7 8GB Memory 750GB HDD NVIDIA Geforce GT840M 15.6 Notebook Windows 8.1 64-bit  - GP60 LEOPARD-009 at TigerDirect.com,,,New,,,,,,,DDR3L,,,,15.6 '',,,,5.29 lbs,,6-Cell Lithium-ion,750GB,Black,Integrated Wireless LAN,9.82Â,Full HD Display,HDD,NVIDIA Geforce GT840M,1 x 750GB,1,1.27 '',Yes,Killer Gaming Network,Steel Series Gaming Keyboard,,,1920 x 1080,SD ( XC/HC ),,Integrated Touchpad,Windows 8.1 64-Bit,DVDRW,,Intel,Core i7,4700HQ,3.2GHz,,Bluetooth,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,15.07 '',2 - USB 3.0 802.11ac Intel 1x1 Wireless-AC 3160 a/c Integrated Bluetooth,,,,,Gaming,,,,2 - USB 2.0,1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,2G GDDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad X230T 3435-22U Tablet PC - 3rd generation Intel Core i5-3320M 2.6GHz, 4GB DDR3, 500GB HDD, 12.5 Multi-Touch Display, Windows 7 Professional 64-bit at TigerDirect.com",,,New,,,,1,,,DDR3,,,Tablet PC,12.5 '',,,,3.97 lbs,High Definition Audio,6-Cell Lithium-ion,500GB,,Integrated LAN,9 '',HD anti-glare LED backlight display,HDD,Intel HD Graphics 4000,,,1.1 '' - 1.23 '',Yes,RJ-45,Spill Resistant,1,,1366 x 768,Secure Digital ( SD ),,TrackPoint with `` Press-to-Select '',Windows 7 Professional 64-Bit,DVDRW,,Intel,Core i5,i5-3320M,2.6GHz,Dual-Core,802.11b,"[ 4 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published in the manufacturer 's product documentation .",4-in-1,4GB,Yes,1 - USB 2.0,1,12 '',1 - USB 2.0 802.11a MultiMediaCard ( MMC ) 802.11n Integrated Wireless LAN Intel Centrino Advanced-N 6205 10/100/1000 Gigabit Ethernet LAN Multi-touch touchpad Secure Digital ( SDXC ) Up to 300 Mbps Bluetooth 4.0 SecureDigital High Capacity 802.11g 84-key Keyboard Integrated Bluetooth BluetoothÂ,Integrated Audio,2.4GHz Bluetooth,,,Business,,2.0,,2 - USB 3.0,1 Headphone out/Microphone-in combo jack,Integrated Graphics,Yes,,,,,,,,,,,,,1 x 4GB,,,,,,,,,,7200 RPM,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,1600MHz PC3-12800,1600MHz,No,,,Built-in Stereo Speakers,,,,,,,,1.0,,,,,,Up to 9.9 hours,,,,Office 2010 preloaded ; purchase a product key to activate .,,,,,,
ASUS Transformer Book T200TA 4GB Memory 64GB SSD 11.6 2-in-One Notebook Windows 8.1 64-bit - T200TA-C1-BL at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,11.6 '',,,,,,,64GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",,IPS HD Multi-Touch Screen,SSD,IntelÂ® HD Graphics,1x 64GB,1 - micro,,Yes,"RJ-45 Ethernet Connector , IEEE 802.11 a/b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Atom,Z3795,1.59GHZ,Quad-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,,,Integrated Audio,,,,,,,,"1x USB 3.0 , 1x USB 2.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo H530 Desktop PC - Intel Core i5-4460 3.20GHz, 8GB DDR3 Memory, 1TB HDD, DVDRW, Windows 8.1 64-bit - 57328304 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,16.9 '',Monitor Not Included,,Intel HD Graphics 4600,,1,14.5 '',,,,1,,,,,,Windows 8.1 64-Bit,,,Intel,Core i5,i5-4460,3.20GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",7-in-1,8GB,,,1,6.9 '',,Integrated Audio,,,,Home & Student,"LCU-102406285 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",,,"4 - USB 2.0 , 2 - USB 3.0",Yes,Integrated Graphics,,Lenovo 12 months parts ; 12 months labor 57328304 888772180249 22.0000 pound ( s ) 23pounds What is Dimensional weight ? Click here for full warranty and support information logos are registered trademarks of Lenovo . All others trademarks and copyrights mentioned herein are the property of their respective owners .,Black,,,Tower,HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,Yes,,,,Media Reader,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
HP 355 G2 AMD A6 8GB Memory 1TB HDD 15.6 Notebook Windows 7 Professional/Windows 8 64-bit - J5P06UT#ABA at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.07 lbs,DTS Sound,4-Cell Lithium-ion,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.27 '',LED-backlit HD anti-glare SVA,HDD,,1x 1TB,1,0.9 '',,"RJ-45 Ethernet Connector , IEEE 802.11a/b/g/n , Bluetooth",Standard Size,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,Windows 8 Pro 64-Bit,AMD,A6,6310,1.8GHz,,"IEEE 802.11a/b/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,15.12 '',,,,,,,,,,"2 - USB 3.0 , 1 - USB 2.0",1 - Combo Headphone/Microphone Jack,Integrated Graphics,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS GL551JM Intel Core i7 16GB Memory 1TB HDD NVIDIA GTX 860M 2G 15.6 Gaming Laptop Windows 8.1 64-bit - GL551JM-DH71 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,,,,1TB,Black,"Integrated Wireless LAN , Integrated Bluetooth",,Full HD Display,HDD,NVIDIA GTX 860M,1x 1TB,,,Yes,"IEEE 802.11a/g/n , Bluetooth 4.0",Illuminated Backlit,,,1920 x 1080,,,Integrated Touchpad,Windows 8.1 64-Bit,DVD Super Multi Dual Layer Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11a/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,,,,Integrated Audio,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 5 hours,,,,,,,,,,
Dell Latitude E5500 Intel Core 2 Duo 2GB Memory 160GB HDD 15.4 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-825633378100 at TigerDirect.com,,,Off-Lease,,,,,,,DDR2,,,Laptop,15.4 '',,,,6.36 lbs,High Definition Audio,6-Cell Lithium-ion,160GB,,"Integrated LAN , Integrated Wireless LAN",10.2 '',Widescreen WXGA,HDD,Intel GMA 4500MHD,1x 160GB,,1.5 '',,"RJ-45 Ethernet Connector , IEEE 802.11a/g/n",Standard Size,1 - RJ-45,,1280 x 800,,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVD-ROM,,Intel,Core 2 Duo,,2.53GHz,Dual-Core,802.11a/g/n,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,2GB,,,1,14.0 '',,,,,1,,,,,4 - USB 2.0,1 - Headphone/line-out,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP EliteBook Folio 9470m Ultrabook - 3rd generation Intel Core i7-3687U 2.1GHz, 8GB DDR3, 256GB SSD, Backlit Keyboard, 14 in. Display, Windows 7 Pro / Windows 8 Pro 64-bit  - D3K33UT#ABA at TigerDirect.com",,,New,,,,1,,,DDR3,,,Laptop,14 '',,,,3.6 lbs,SRS PRO Audio,4-Cell Lithium-ion,256GB,,Integrated LAN,9.1 '',HD+ anti-glare LED-backlit,SSD,Intel HD Graphics 4000,,,0.7 '',Yes,RJ-45,Spill Resistant,1,16GB,1600 x 900,Secure Digital ( SD ),2 Slots Total / 1 Free,Pointstick,Windows 7 Professional 64-Bit,None,Windows 8 Pro 64-Bit,Intel,Core i7,i7-3687U,2.1GHz,Dual-Core,802.11a,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",Multi-In-1,8GB,,,1,13.3 '',Touchpad Pointing Device with Gesture 802.11n 10/100/1000 Gigabit Ethernet LAN BluetoothÂ MultiMediaCard ( MMC ) Ultrabook SecureDigital High Capacity Secure Digital ( SDXC ) Intel Centrino Advanced-N 6235 Integrated Wireless LAN Windows 8 Pro 64-Bit Bluetooth 4.0 + HS Smart Card Reader Integrated Bluetooth 802.11g MMC plus,Integrated Audio,Up to 300 Mbps,,,Business,,,1 - Docking Connector,3 - USB 3.0,1 Headphone out/Microphone-in combo jack,Integrated Graphics,Yes,,,,,,,,,,,,,1 x 8GB,,,,,,PC3-12800 1600MHz,,,Windows 7 Professional 64-Bit,,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Built-in Stereo Speakers,,,,,,,,,,,,,,Up to 9.5 Hours,,,,Office 2010 preloaded ; purchase a product key to activate .,,,,,,
Lenovo Flex 2 14 Intel Core i7 4510U 2.0GHz 8GB Memory 128GB SSD 14.0 Touchscreen Full HD 1920 x 1080 2-in-One Touch Notebook Windows 8.1 64-bit - DCC-2800DNU at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,14 '',,,,4.18 lbs,Dolby Advanced Audio v2 audio enhancement,,128GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10 '',FHD Display,SSD,IntelÂ® HD 4400 Graphics,1x 128GB,1,0.8 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 b/g/n",Standard Size,1 - RJ-45,,1920 x 1080,SD / MMC,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Core i7,4510U,2GHz,Dual-Core,"802.11 b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",2-in-1,8GB,Yes,,,13.5 '',,,,,,,,,,"1 - USB 3.0 , 2 - USB 2.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
HP 350 G1 Intel Core i5 8GB Memory 1TB HDD 15.6 Notebook Windows 7 Professional/ Windows 8.1 Pro 64-bit - J5P04UT#ABA at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,5.07 lbs,DTS Sound,4-Cell Lithium-ion,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",10.28 '',LED-backlit HD anti-glare,HDD,Intel HD Graphics,1x 1TB,1,0.91 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11a/b/g/n , Bluetooth",Standard Size,1 - RJ-45,,1366 x 768,SD/SDHC/SDXC,,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,Windows 8.1 Pro 64-Bit,Intel,Core i5,4200U,1.6GHz,Dual-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,No,,1,15.12 '',,,,,,,,,,"2 - USB 3.0 , 1 - USB 2.0",1 - Headphone/Microphone Combo Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad Helix 3698 - Ultrabook - Core i7 3667U / 2 GHz - Windows 8 Pro 64-bit - 8 GB RAM - 256 GB SSD - 11.6 VibrantView wide 1920 x 1080 / Full HD - Intel HD Graphics 4000 - NFC - black - To at TigerDirect.com,,,New,,,,,,,,,,2-in-One,11.6 '',,,,3.8 lbs,,,256GB,Black,,7.3 '',Widescreen,SSD,,,,0.5 '' / 0.8 '',Yes,RJ-45 Ethernet Connector,Precision ThinkPad Keyboard,,,1920 x 1080,,,,Windows 8 Pro 64-Bit,None,,Intel,Core i7,3667U,,,,"[ 3 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website .",,8GB,Yes,,,11.7 '',IntelÂ® CentrinoÂ® Advanced-N 6235 HD Webcam 1.8 lbs,,,,,,,,,2,1 Headphone out/Microphone-in combo jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Light Sensitive,,,,DDR3 1333MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
