<page title>,brand name,color,computer memory type,hard drive,hard drive interface,hardware platform,item dimensions l x w x h,item weight,max screen resolution,operating system,processor,processor brand,processor count,ram,screen size,series,wireless type,item model number,power source,audioout ports,batteries,battery type,flash memory size,graphics coprocessor,memory speed,number of usb 30 ports,optical drive type,screen resolution,asin,best sellers rank,customer reviews,date first available,shipping,shipping weight,average battery life in hours,graphics card ram size,hard drive rotational speed,buy used and save,heres how,voltage,card description,chipset brand,number of usb 20 ports,rear webcam resolution,manufacturer part number,product dimensions,size,number of items
Amazon.com : HP 15-p030nr 15.6-Inch Special Edition Laptop with Beats Audio : Computers & Accessories,HP,,,1024 GB,,PC,10.24 x 15.14 x 0.99 inches,5.9 pounds,1366x768,Windows 8.1,1.7 GHz A-Series Quad-Core A8,AMD A8,1.0,8 GB DDR3L SDRAM,15.6 inches,HP,802.11bgn,G6R14UA # ABA,,1.0,1 Lithium ion batteries required . ( included ),,,AMD Radeon HD 8510G graphics,,2.0,SuperMulti DVD burner,,,,,,,,,,5400 RPM,,,,,,1.0,,,,,
Amazon.com : MSI Computer Corp. GP60 LEOPARD-009 15.6-Inch Laptop : Computers & Accessories,MSI,Black,,750 GB mechanical_hard_drive,,PC,15.07 x 9.82 x 1.27 inches,5.3 pounds,1920x1080,Windows 8.1,3.2 GHz Core i7-4700HQ,Intel,1.0,8 GB DDR3L SDRAM,15.6 inches,GP60,802.11abg,GP60 LEOPARD-009,,1.0,1 Lithium ion batteries required .,,,NVIDIA Geforce GT840M,,2.0,DVD SuperMulti,,,,,,,,,2000 MB,7200 RPM,,,,,,2.0,,,,,
"Amazon.com : Dell Inspiron i5547-3753sLV 15.6-Inch Laptop (1.7 GHz Intel Core i5-4210U Processor, 6GB DDR3, 1TB HDD, Windows 8.1) Silver : Computers & Accessories",Dell,"Black , Silver",DDR3 SDRAM,1024 GB,,,19.29 x 13.15 x 3.31 inches,6 pounds,1366 x 768 pixels,Windows 8.1,1.7 GHz Intel Core i5,Intel,1.0,6 GB DDR3L SDRAM,15.6 inches,Inspiron,802.11bgn,i5547-3753sLV,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,Integrated Graphics,1600 MHz,2.0,No,1366 x 768,B00IB0ANW6,# 856 in Computers & Accessories ( See top 100 ) # 44 in Electronics > Outlet,3.0 out of 5 stars See all reviews 3 reviews 3.0 out of 5 stars,"May 15 , 2014",This item is also available for shipping to select countries outside the U.S .,7.4 pounds ( View shipping rates and policies ),7.25 hours,,5400 RPM,See all Used offers .,( restrictions apply ),11.1 volts,,,1.0,,,,,
Amazon.com : Monster Gaming Toshiba Qosmio X70-AST3G26 Laptop Notebook Windows 8.1 Intel i7-4700MQ 3.40GHz 32GB RAM 1.0TB Hard drive + 256GB Solid State Drive NVIDIA GeForce GTX 770M 3GB with Optimus HD - 17.3 inch display Blu-ray Disc Rewriteable Drive Webcam : Laptop Computers : Computers & Accessories,Toshiba,,DDR3 SDRAM,1.256 TB,"ATA , Solid State",PC,,7.6 pounds,1920 x 1080,Windows 8,Intel Core i7,,,3 GB SO-DIMM DDR3,17.3 inches,Qosmio,"802.11bgn , Bluetooth",,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite S55 Laptop Computer - 15.6"" LED-Backlit Screen, 4th Gen Intel Quad-Core i7-4700MQ Processor 2.4GHz, 8GB DDR3 Memory, 1TB HDD, DVD Super Multi Burner, Window 7 Professional : Computers & Accessories",Toshiba,Silver,DDR3 SDRAM,1 TB,Serial ATA,PC,14.80 x 9.40 x 1.10 inches,5.6 pounds,1366 x 768,"Windows 7 Professional , Windows 8 Pro",,,,8 GB SDRAM DDR3,15.6 inches,Satellite,802.11bgn,S55-A,AC,,,,,,,,,1366 X 768,,,,,,,5 hours,,,,,,,,,,,,,
"Amazon.com : Lenovo Thinkpad T440p 20AN0069US 14"" i5-4200M 2.50GHz 8GB 500GB 7200rpm W7 Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,500 GB,Serial ATA-300,PC,13.20 x 9.02 x 1.10 inches,4.7 pounds,1366x768,,2.50 GHz Intel Core i5,Intel,2.0,8 GB,14 inches,ThinkPad,802.11bgn,T440p,,1.0,,,,,,2.0,DVD-RW,1366x768,,,,,,,,1.70 GB,7200.00,,,,Intel HD Graphics 4600,Intel,2.0,,,,,
"Amazon.com : ZBook 14 14"" LED Notebook - Intel - Core i7 i7-4600U 2.1GHz - Graphite : Laptop Computers : Computers & Accessories",HP,graphite,DDR3 SDRAM,240 GB,Solid State,PC,,3.6 pounds,,Windows 7 Professional,2.10 GHz Intel Core i7,Intel,1.0,16 GB DDR3L SDRAM,14 inches,HP ZBook 14 14 '' Touchscreen LED Notebook,,F2S00UT # ABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite C55-B5298 15.6-inch Laptop (2.1 GHz Intel Celeron N2830 Processor, 4GB DIMM, 500GB HDD, Windows 8.1) Jet Black : Computers & Accessories",Toshiba,Black,DDR3 SDRAM,500 GB SATA,,,10.20 x 14.96 x 1.05 inches,4.8 pounds,1366x768 pixels,Windows 8.1,2.16 GHz Celeron N2830,Intel,1.0,4 GB DIMM,15.6 inches,Toshiba Satellite C55-B5298,802.11bgn,PSCMLU-03601M,,1.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,Mobile Intel HD graphics,1333 MHz,1.0,No,1366 x 768,B00KF4980Y,# 30 in Computers & Accessories > Notebooks,3.7 out of 5 stars See all reviews 139 reviews 3.7 out of 5 stars,"July 6 , 2014",This item is also available for shipping to select countries outside the U.S .,6 pounds ( View shipping rates and policies ),,,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : Alienware 17 17-Inch Gaming Laptop, 4th Gen Intel Core i7-4700MQ UP to 3.4GHz, 16GB Memory, 256GB SSD + 750GB SATA HDD, 2GB NVIDIA GTX 765 Graphics, Windows 7 Home Premium : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 7 Home Premium,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : ULTIMATE GAMING PC INTEL Z97 i7 4790 3.6Ghz ANTEC LIQUID COOLING 16Gb DDR3 SSD 240Gb 2TB NVIDIA GTX TITAN BLACK 6Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,2 TB,Serial ATA-600,PC,,,,Windows 8,Intel Core i7,Intel,,SDRAM DDR3,,B00N57ZEJM,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer Aspire S7-392-6425 13.3-Inch WQHD Touchscreen Ultrabook, i5-4200U Processor, 8GB RAM, 256GB SSD Hard Drive (Crystal White) : Computers & Accessories",Acer,,DDR3 SDRAM,256 GB,Solid State,PC,12.72 x 8.78 x 0.51 inches,2.9 pounds,,Windows 8.1 64-bit,1.60 GHz Intel Core i5,Intel,2.0,8 GB,13.30 inches,"Acer Aspire S7-392-6425 13.3-Inch WQHD Touchscreen Ultrabook , i5-4200U Processor , 8GB RAM , 256GB SSD Hard Drive ( Crystal White )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo Thinkpad T540p 20BE003AUS 15.6"" i7-4930MX 16GB 500GB SSD W7 Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,500 GB,Solid State,PC,14.83 x 9.77 x 1.18 inches,5.3 pounds,1366x768,Windows 7 Professional,2.90 GHz Intel Core i7,Intel,4.0,16 GB,15.60 inches,T540p,802.11bgn,T540p,,1.0,,,,Intel HD Graphics 4600,,2.0,DVD-RW,1366x768,,,,,,,,1.70 GB,,,,,Intel HD Graphics 4600,Intel,2.0,,,,,
"Amazon.com : Lenovo Thinkpad X240, Intel Core i5-4200U (2C/4T, up to 2.6GHz, 3MB L3, 1600MHz DDR3, 15W), 1x4GB, 180GB SSD, Intel HD Gr : Computers & Accessories",Lenovo,,DDR3 SDRAM,,,,39.37 x 39.37 x 39.37 inches,3.1 pounds,,,,,2.0,,,,,20AL008EUK,,,3 Lithium ion batteries required . ( included ),,,,,,,,,,,,,,,,,,,240 volts,,,,,,,,
"Amazon.com : Apple MacBook Pro 15-Inch Laptop Intel Quad-Core i7 2.3GHz, 500 GB Hard Drive, 16GB DDR3 Memory, DVD Burner (Newest Version) : Laptop Computers : Computers & Accessories",Apple,,DDR3 SDRAM,500 GB,"USB 3.0 , Ethernet 100Base-T",Mac,9.82 x 14.35 x 0.95 inches,4.5 pounds,1440x900,Mac OS X,Intel Core i7,,,16 GB SDRAM DDR3,15.4 inches,Macbook Pro,,,,,,,,,,,,,,,,,,,,,,See all Used offers .,( restrictions apply ),,,,,,,,,
"Amazon.com : Toshiba Satellite C55-A5180 Windows 8.1 15.6""LED HD Screen New Intel Celeron 2.39GHZ Dual-Core Processor 500GB HD 4GB RAM CDR/DVDR USB3 HDMI Webcam Long-life Lithium battery (Black) : Computers & Accessories",Toshiba,Black,DDR3 SDRAM,500 GB mechanical_hard_drive,"Serial ATA-600 , Ethernet 100Base-T",PC,15 x 9.50 x 1.40 inches,5.3 pounds,1366 x 768,Windows 8,Intel Celeron,,,4 GB SO-DIMM DDR3,15.6 inches,C55-A5180,802.11bgn,C55-A5180,AC,,1 Lithium ion batteries required . ( included ),,,,,,,1366 x 768,,,,,,,5 hours,,,,,,,,2.0,,,,,
"Amazon.com : MSI GS70 Stealth Pro 212 17.3"" FHD Super RAID 4TB SSD i7 4710MQ 3.5GHz 6GB GTX 870M 16GB RAM Windows 8.1 Pro : Computers & Accessories",MSI,,DDR3 SDRAM,3 TB,"Solid State , Serial ATA-600",PC,16.47 x 11.29 x 0.85 inches,5.7 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,17.3 inches,GS70 Stealth Pro,802.11bgn,,,,1 Lithium ion batteries required .,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Brand New, and Configure-to-Order [CTO Special Order] +++ Dell Mobile Workstation Precision M6700 : Laptop Computers : Computers & Accessories",Dell,,,750 GB,,,24 x 20 x 10 inches,7.8 pounds,,windows_7_professional,Intel Core i7,,,16 GB dimm,17.3 inches,,,M6700,,,,,,,,,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP ENVY TouchSmart 17-j153cl 17.3"" Touchscreen Notebook - Intel Core i7 Haswell / 16GB DDR3L SDRAM / 1TB HDD / Windows 8.1 / Intel HD graphics 4600 / SuperMulti DVD Burner / WiFi / Webcam / Beats Audio - Silver (Certified Refurbished) : Computers & Accessories",HP,Silver,DDR3 SDRAM,1 TB,,PC,1.16 x 10.83 x 16.38 inches,7.1 pounds,,other,Intel Core i7,,,16 GB SDRAM DDR3,17.3 inches,ENVY,"802.11A , Bluetooth",17-j153cl,,,,,,,,,,1600 x 900,,,,,,,,,,,,,,,,,,,,
Amazon.com : SIX CORE INTEL Core i7 5820k 3.3Ghz 32Gb DDR4 SSD 240Gb 2TB WD BLACK 750W WIN7 PRO High Speed Desktop Computer : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,2 TB,Serial ATA-600,PC,,,,Windows 7 Professional,Intel Core i7,Intel,,32 GB SDRAM DDR3,,B00NO412Q0,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : 17.3"" I7 4700hq 24gb 1tb : Computers & Accessories",,,,1 TB,,,,,,,Intel Core i7,,,24 GB,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron 15R i15RM-3414sLV 15.6-Inch Laptop : Laptop Computers : Computers & Accessories,Dell,,,500 GB mechanical_hard_drive,,,19.29 x 13.15 x 3.31 inches,,1366x768,Windows 7 Home Premium,1.6 GHz Intel Core i5,Intel Core I5,,6 GB DDR3L SDRAM,15.6 inches,Inspiron 15R,802.11bgn,i15RM-3414sLV,,,1 Lithium ion batteries required . ( included ),,,,,2.0,,,,,,,,,,,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : ASUS N550JK-DB74T 15.6"" Full-HD Touchscreen Quad Core i7 Laptop w/ Aluminum-Body, 16GB RAM & 256GB SSD : Computers & Accessories",Asus,Aluminum,,256 GB flash_memory_solid_state,,,10 x 15.10 x 1.10 inches,6 pounds,1920x1080,Windows 8.1,2.5 GHz Intel Core i7,Intel,1.0,16 GB DDR3L SDRAM,15.6 inches,Laptop,802.11 A/C,N550JK-DB74T,,,1 Lithium ion batteries required . ( included ),,256,NVIDIA GTX850M,,3.0,DL DVD±RW/CD-RW,,,,,,,,,2,,See all Used offers .,( restrictions apply ),,,,,,,,,
"Amazon.com : Portege R30-A1302 13.3"" LED Notebook - Intel Core i7 i7-4600M 2.90 GHz - Graphite Black Metallic : Computers & Accessories",Toshiba,,,0 GB flash_memory_solid_state,,,17.50 x 2.50 x 10.60 inches,5 pounds,,,0 MHz 8032,Intel Core I7,1.0,0 GB,13.3 inches,A1320,802.11bgn,PT341U-02K01G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Edge E545 (20B20011US) 15.6-Inch AMD 2.9GHz, 16GB RAM, 1TB SSD, Windows 7 Professional Laptop PC - 3 Year Support : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Solid State,PC,14.84 x 9.64 x 1.34 inches,5.4 pounds,,Windows 7 Professional x64-bit,2.90 GHz AMD A Series,AMD,2.0,16 GB DDR3 1600,15.60 inches,E545,802.11bgn,20B20011US,,1.0,,,,AMD Radeon HD 8450G,1600 MHz,3.0,DVD-RW,1366x768,,,,,,,,,,,,,,AMD,1.0,,,,,
"Amazon.com : HP ZBook 15 Windows 7 Professional Mobile Business Workstation - Intel Core i7 Quad Core with Nvidia Quadro Graphics, 1920x1080p FULL HD Anti-Glare, 1.5TB Hard Drive, Win 8 Pro Option (32GB DDR3 RAM) : Laptop Computers : Computers & Accessories",ZBook,,DDR3 SDRAM,1.5 TB mechanical_hard_drive,,PC,,,1920 x 1080,Windows 7 Professional,Intel Core i7,,,1 GB dimm,15.6 inches,HP ZBook 15 Mobile Workstation,802.11 a/b/g/n,HP ZBook 15,,,,,,,,1.0,,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS N56JR Gaming Multimedia Notebook (15.6-inch, i7-4700HQ, 16GB-DDR3, 750GB HDD, GT 760M-2G, DVD-RW, Windows 8) : Computers & Accessories",N56JR,,DDR3 SDRAM,750 GB,,,15 x 10 x 1.30 inches,6 pounds,"15.6 '' 16 : 9 HD with EWV ( 1366 x 768 ) /FHD EWV LED Backlight Asus Splendid Video Intelligent Technology , Zero Bright Dot , anti-glare",Windows 8,Intel Core i7,,,SO-DIMM DDR3,15.6 inches,ASUS,,N56JR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite S75 17.3""(1920 x 1080) Laptop Computer, Intel 4th generation Quad Core i7-4710HQ 2.5GHz, 16GB Memory, 1TGB Hard Drive, Wireless, HDMI, Windows 8.1 : Laptop Computers : Computers & Accessories",Toshiba,,DDR3 SDRAM,1 TB HDD 5400 rpm,Serial ATA,PC,16.98 x 12.44 x 2.12 inches,8 pounds,1920 x 1080,Windows 8,2.50 GHz Intel Core i7,Intel,4.0,16 GB ddr3,17.30 inches,Toshiba Satellite S75,802.11bgn,Toshiba S75,AC,,1 Lithium ion batteries required . ( included ),,,,,,DVD+RW,1920 x 1080,,,,,,,6 hours,,,,,,,,,,,,,
"Amazon.com : HP EliteBook Folio 9470m 14"" LED Ultrabook - Intel - Core i7 i7-3687U 2.1GHz - Platinum - 4 GB RAM - 500 GB HDD - Intel HD 4000 - Windows 7 Professional 64-bit - 1366 x 768 Display - Bluetooth : Laptop Computers : Computers & Accessories",HP,,DDR3 SDRAM,500 GB mechanical_hard_drive,,,,9 pounds,,N/A,Intel Core i7,Intel Core I7,,4 GB SO-DIMM DDR3,14 inches,EliteBook Folio 9470M,802.11 a/b/g/n,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer Corp. MSI GE60 2OE-003US;9S7-16GC11-003 15.6-Inch Laptop : Computers & Accessories,MSI,Black/Red,DDR3 SDRAM,750 GB SATA,Serial ATA-600,PC,15.09 x 9.83 x 1.27 inches,5.3 pounds,1920x1080,Windows 8,3.2 GHz Intel Core i7-4700MQ,Intel,4.0,8 GB DDR3,15.6 inches,MSI,802.11bgn,GE60 2OE-003US ; 9S7-16GC11-003,,1.0,1 Lithium ion batteries required .,Lithium-Ion ( Li-Ion ),,NVIDIA Geforce GTX765M,1600 MHz,2.0,DVD SuperMulti,1920 x 1080,,,,,,,,2000 MB,7200 RPM,,,,,,2.0,,,,,
"Amazon.com : Lenovo ThinkPad X1 Carbon 20A7 - Ultrabook - Core i7 4600U / 2.1 GHz - Windows 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD eDrive - 14"" touchscreen 2560 x 1440 ( WQHD ) - Intel HD Graphics 4400 - 802.11ac - 4G - TopSeller : Computers & Accessories",Lenovo Topseller Notebooks,,,256 GB,,,,,,windows 8 professional,Intel Core i7,,,8 GB,14 inches,,,20A7003LUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS Flip TP500LN-QB72T-CB Touchscreen Notebook (15.6-Inch, i7-4510U, 8GB-DDR3, 1TB HDD, 24GB SSD, GT840M-2G, Windows 8.1, Bilingual) Black : Computers & Accessories",Asus,Black,DDR3 SDRAM,1 TB,,PC,101.57 x 149.61 x 8.66 inches,5 pounds,,Windows 8,Intel Core i7,,,SO-DIMM,15.6 inches,TP500LN-QB72T-CB,,TP500LN-QB72T-CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo ThinkPad T540p 20BE0085US 15.6-Inch Laptop (Black) : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,240 GB Serial ATA-600,Solid State,PC,9.77 x 14.83 x 1.16 inches,1 pounds,1920 x 1080 pixels,Windows 8 Professional,2.9 GHz Intel Core i7,Intel,1.0,8 GB DDR3L SDRAM,15.6 inches,ThinkPad T540p,802.11bgn,20BE0085US,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),240.0,NVIDIA GeForce GT 730M / Intel HD Graphics 4600,,2.0,DVD-Writer,1920 x 1080,,,,,,,11 hours,1 MB,1 RPM,,,,,,2.0,,,,,
"Amazon.com : Lenovo ThinkPad W540 Mobile Workstation (Intel Core i7-4700MQ Quad Core, 15.6"" Full HD 1920 x 1080, 2GB K1100M Quadro Graphics, Extended Life Battery, 250GB Pro Performance SSD, 16GB RAM) : Computers & Accessories",Eluktronics Inc .,,DDR3 SDRAM,250 GB,Solid State,PC,,,,Windows 7 Professional,2.40 GHz Intel Core i7,Intel,4.0,16 GB SO-DIMM DDR3,15.60 inches,ThinkPad W540,,,,,,,,i7-4700MQ,,,DVD+R DL,1920x1080,,,,,,,,,,,,,,NVIDIA,,,,,,
"Amazon.com : HP ENVY 17t QE Notebook PC, 4th Gen Intel i7-4700MQ 2.4 GHz, 17.3"" Full HD Touchscreen, 16GB, 256GB SSD, NVIDIA GT 840M 2GB Graphics, Blu-ray Player, Windows 8.1 : Computers & Accessories",HP,,DDR3 SDRAM,,Serial ATA,PC,10.83 x 16.38 x 1.32 inches,7.6 pounds,,Windows 8,,,,,,Envy dv7t,,ENVY 17t qe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell XPS 13ULT-4289sLV Touchscreen Laptop : Computers & Accessories,Dell,Silver,DDR3 SDRAM,0 GB,,,15.43 x 11.65 x 5.20 inches,4 pounds,1920 x 1080 pixels,Windows 8.1,2.3 GHz Core i5-4210U,Intel,1.0,8 GB DDR3,13.3 inches,XPS,802.11bgn,XPS13ULT-4289sLV,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),128,Intel HD Graphics 4400,1600 MHz,2.0,No,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware ALW18-7500sLV 18.4-Inch Laptop (2.4 GHz Intel Core i7-4700MQ Processor, 8GB DDR3L, 1TB HDD, 80GB SSD, Dual NVIDIA GeForce GTX 770M 3GB GDDR5, Windows 7 Home Premium) : Computers & Accessories",Alienware,,,1024 GB flash_memory_solid_state,,,24.65 x 5.35 x 16.79 inches,20.8 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.4 GHz Core i7-4700MQ,Intel Core I7,,8 GB DDR3L SDRAM,18.4 inches,Alienware,802.11n,ALW18-7500sLV,,,1 Lithium ion batteries required . ( included ),,80,Dual NVIDIA® GeForce® GTX 770M with 3GB GDDR5 - NVIDIA SLI® Enabled,,4.0,,,B00IMUAZA0,"# 13,955 in Computers & Accessories ( See top 100 )",4.4 out of 5 stars See all reviews 5 reviews 4.4 out of 5 stars,"March 6 , 2014",This item is also available for shipping to select countries outside the U.S .,21.4 pounds ( View shipping rates and policies ),,,5400 RPM,See all Used offers .,( restrictions apply ),,,,,,,,,
"Amazon.com : Panasonic Toughbook CF-31WBLAHLM 13-Inch Touchscreen Notebook (2.70 GHz Intel Core i5-3340M Processor 4GB DDR3, 500GB HDD, Windows XP Professional) : Computers & Accessories",,,,500 GB,,,,,,,Intel Core i5,,,4 GB,13 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo Thinkpad Edge E440 20C50050US i7-4702MQ 16GB RAM 1TB HDD Windows 7 Professional 14"" HD Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA,PC,13.54 x 9.41 x 1.15 inches,4.7 pounds,,Windows 7 Professional x64-bit,2.20 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,14 inches,ThinkPad,802.11bgn,E440,,,,,,Intel HD Graphics 4600,1600 MHz,,DVD-RW,1366x768,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite P50-BBT2G22 15.6"" IPS Ultra HD 4K (3840x2160) Technicolor Touchscreen Premium Business Notebook PC (Intel i7-4710HQ Quad Core CPU, Windows 7 Professional, 2GB GDDR5 Graphics, Blu-Ray Burner, 8GB RAM, MASSIVE 2TB Hard Drive, Dual Band AC) : Computers & Accessories",Eluktronics Inc .,,DDR3 SDRAM,2 TB HDD 5400 rpm,Serial ATA-600,PC,,,3840x2160,Windows 7 Professional,2.50 GHz Intel Core i7,Intel,4.0,8 GB SO-DIMM DDR3,15.60 inches,P50T 4K Win 7 Pro,,,,,,,,i7-4710HQ,,,,,,,,,,,,,,,,,,AMD,,,,,,
Amazon.com : MSI G Series GS60 Ghost Pro-052 15.6-Inch Laptop (Aluminum Black) : Computers & Accessories,MSI,Aluminum Black,DDR3 SDRAM,1024 GB flash_memory_solid_state,"Solid State , Serial ATA-300",PC,15.35 x 0.78 x 10.47 inches,4.3 pounds,1920x1080,Windows 8.1,2.4 GHz Core i7-4700HQ,Intel,4.0,12 GB DDR3,15.6 inches,GS Series,802.11 A/C,GS60 GHOST PRO-052 ; 9S7-16H212-052,,2.0,1 Lithium ion batteries required .,,128,NVIDIA GeForce GTX870M,1600 MHz,3.0,None,1920 x 1080,B00JKCHT1C,"# 2,420 in Computers & Accessories ( See top 100 )",4.7 out of 5 stars See all reviews 23 reviews 4.7 out of 5 stars,"April 2 , 2014",This item is also available for shipping to select countries outside the U.S .,11.6 pounds ( View shipping rates and policies ),,3000 MB,7200 RPM,See all Used offers .,( restrictions apply ),,,,,,,,,
Amazon.com : Gigabyte P34GV2-CF4 14-Inch Laptop : Computers & Accessories,Gigabyte,,,1024 GB,,PC,16 x 2.50 x 15 inches,3.9 pounds,1920 x 1080 pixels,Windows 8.1,2.4 GHz Intel Core i7,Intel,,8 GB DDR3L SDRAM,14 inches,Laptop,802.11 B/G,P34GV2-CF4,,,,,128.0,,,,,,,,,,,,,,5400 RPM,,,,,,1.0,,,,,
Amazon.com : Lenovo ThinkPad 3460CEU 14' LED Ultrabook - Intel Core i5 1.90 GHz - Black : Notebook Computers : Computers & Accessories,Lenovo,,,,,,15.12 x 12.52 x 5.24 inches,3 pounds,,,,,1.0,,,lenovo,,3460CEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : TP X240 CI5/4200U : Computers & Accessories,Lenovo,,DDR3 SDRAM,,,,39.37 x 39.37 x 39.37 inches,3.1 pounds,,,,,2.0,,,,,20AL007AUK,,,1 Lithium ion batteries required . ( included ),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Samsung ATIV Book 9 2014 Edition 15.6-Inch Touchscreen Laptop (Intel Core i5, Mineral Ash Black) : Computers & Accessories",Samsung,Mineral Ash Black,DDR3 SDRAM,0 GB flash_memory_solid_state,Solid State,PC,14.74 x 9.84 x 0.63 inches,4.4 pounds,1920x1080,Windows 8.1,1.6 GHz Intel Core i5,Intel,1.0,8 GB DDR3L SDRAM,15.6 inches,ATIV Book 9 2014 Edition,802.11 A/C,NP940X5J-K01US,,1.0,1 Lithium ion batteries required . ( included ),,128,Intel HD Graphics 4400,1600 MHz,2.0,No,1920 x 1080,,,,,,,14 hours,,,See all Used offers .,( restrictions apply ),,,,1.0,,,,,
"Amazon.com : Lenovo ThinkPad X1 Carbon 20A70037US 14"" i7-4600U 8GB 512GB SSD W8.1 WQHD Touch Screen Ultrabook : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,512 GB,Solid State,PC,13.03 x 8.94 x 0.74 inches,3.2 pounds,,windows 8 professional,2.10 GHz Intel Core i7,Intel,2.0,8 GB,14 inches,X1 Carbon,,X1 Carbon,,,,,,Intel HD Graphics 4400,,,,2560 x 1440,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Apple Macbook ME874LL/A Pro 15.4-Inch Laptop (2.6 GHz Intel Core i7 processor, 16GB DDR3, 1 TB Hard drive, 10.9 Mavericks) : Laptop Computers : Computers & Accessories",Apple,Silver,DDR3 SDRAM,1 TB flash_memory_solid_state,"USB 3.0 , EIO",Mac,14.13 x 9373 x 0.71 inches,4.5 pounds,2880x1800,Mac OS X,Intel Core i7,,,16 GB SDRAM DDR3,15.4 inches,15-inch high-performance notebook with Retina display,802.11 a/b/g/n,ME874LL/A,Battery,,,,,,1000 MHz,,,,,,,,,,8 hours,,,,,,,,,,,,,
"Amazon.com : Alienware 14 ALW14-1250sLV 14-Inch Gaming Laptop (i5-4200M, 8GB Memory, 750GB Hard Drive, 1GB NVIDIA GeForce GT 750M, DVD+/-RW, Bluetooth, Windows 7 Home 64-bit) : Laptop Computers : Computers & Accessories",Alienware,Silver-Anodized Aluminum,,750 GB mechanical_hard_drive,,PC,20.31 x 4.50 x 14.58 inches,11.5 pounds,1366x768,Windows 7 Home Premium 64-bit,2.4 GHz Core i5-4200M,Intel Core I5,,8 GB DDR3L SDRAM,14 inches,Alienware 14,802.11bgn,ALW14-1250sLV,,,1 Lithium ion batteries required . ( included ),,,,,2.0,,,,,,,,,,,7200 RPM,,,,,,1.0,,,,,
"Amazon.com : Alienware 18 18.4"" Overclocked i7 4930MX EXTREME 4.3GHz NVIDIA 16GB SLI 880M 16GB 1600MHz RAM 750GB HDD DVDRW Windows 8.1 : Computers & Accessories",Alienware,,DDR3 SDRAM,750 GB,Serial ATA-600,PC,17.97 x 2.23 x 12.91 inches,12 pounds,1920 x 1080,Windows 8,Intel Core i7,,,SO-DIMM DDR3,18.4 inches,Alienware 18-HID10,802.11n,Alienware 18-HID10,,,1 Lithium ion batteries required . ( included ),,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
