<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer TravelMate TMP455-M-74508G12Mtkk-i7-4500U-8GB-128GB SSD-Win 7-15.6"" LED Notebook | TopEndElectronics UK",4-cell lithium ion,,,Windows 7 Professional 64-bit,,5.29 lbs .,,Acer,4500U ( 1.80GHz ),Intel Core i7,15 '' W x 10.1 '' D x 1 '' H,Intel HD Graphics 4400,,,1 x HDMI,10/100/1000Mbps,8GB,,,1920 x 1080,,15.6 '',TravelMate,,Model Brand Acer Series TravelMate CPU CPU Type Intel Core i7 CPU Speed 4500U ( 1.80GHz ) Display Screen Size 15.6 '' Display Type Full HD Resolution 1920 x 1080 Operating Systems Operating System Windows 7 Professional 64-bit Graphics GPU/VPU Intel HD Graphics 4400 Hard Drive HDD 128GB Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 8GB Memory Slot ( Total ) 2 Optical Drive Optical Drive Type DVD-Writer Ports USB 1 x USB 3.0 2 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 4-cell lithium ion Physical Specifications Dimensions 15 '' W x 10.1 '' D x 1 '' H Weight 5.29 lbs .,1 x USB 3.0 2 x USB 2.0,,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD-Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128GB,,,,,,,,,,,,,,,,Full HD,1 x VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Asus B551LG-XB51-Core i5-4310U 2.0GHz-8GB RAM-128GB SSD-Win 7 Pro-15.6""Notebook-Black | TopEndElectronics UK",4-Cell Built-In Lithium-Polymer ( 45Wh ),15.1 x 1.0 x 10.2 '' / 38.4 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard,Windows 7 Pro,TouchPad with Multi-Touch Control,5.5 lb / 2.49 kg,,,,,,,Type : Dedicated,,,,Slots : 2,,,,,,,,Performance Processor 2.0GHz Intel Core i5- 4310U Cache L3 : 3MB System Bus 5GT/s Memory Slots : 2,,,Yes,,,1x 1/8 '' ( 3.5mm ) Headphone/Microphone Combo Jack,LED,Bluetooth 4.0,L3 : 3MB,1x Mini DisplayPort,Antiglare,1x SD,Installed : 128GB SSD,1920 x 1080,1x 10/100/1000Mbps Gigabit Ethernet ( RJ-45 ),SuperMulti DVD Burner with Dual Layer Support,3x USB 3.0 ( A ),"AC : 100-240 V AC , 50/60Hz",2.0GHz Intel Core i5- 4310U,15.6 '',"Standard Notebook Keyboard Features : Numeric Keypad , Chiclet Style Pointing Device TouchPad with Multi-Touch Control Battery 4-Cell Built-In Lithium-Polymer ( 45Wh ) 3-Cell Built-In Lithium-Polymer ( 23Wh ) Power Requirements AC : 100-240 V AC , 50/60Hz Consumption : 65W Dimensions ( WxHxD ) 15.1 x 1.0 x 10.2 '' / 38.4 x 2.5 x 25.9 cm Weight 5.5 lb / 2.49 kg",802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BIOS Booting , HDD User Password Protection , Infineon TPM Software Professional Package , Kensington Lock Slot , Fingerprint Reader",,,,,,,,,,,,,,,,,,,,,,,5GT/s,,,,,,,,,,,,,,,,
"Best Dell Latitude E5440-i7-4600U-8GB-500GB HHD-Win 7-14"" LED Notebook | TopEndElectronics UK",9-cell lithium ion,,,Windows 7 Pro .,,,,DELL,i7 4600U ( 2.10 GHz ),Intel Core i7,13.3 in x 9.3 in x 1.3 in,"NVIDIA GeForce GT 720M , HD 4400 Graphics",,,,,8 GB,,,1600 x 900,,14 '',Latitude,,"Model Brand DELL Series Latitude CPU CPU Type Intel Core i7 CPU Speed i7 4600U ( 2.10 GHz ) Display Screen Size 14 '' Resolution 1600 x 900 Operating Systems Operating System Windows 7 Pro . Graphics GPU/VPU NVIDIA GeForce GT 720M , HD 4400 Graphics Hard Drive HDD 500 GB Communications Bluetooth Bluetooth 4.0 Memory Memory 8 GB Optical Drive DVD-Writer Yes Power Battery 9-cell lithium ion Physical Specifications Dimensions 13.3 in x 9.3 in x 1.3 in",,,,,,,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo IdeaPad Flex10 -Intel Celeron N2807-2GB- 500GB HDD-Win8.1-10.1""LED Notebook | TopEndElectronics UK","3-cell , Li-cyclinder battery , 2200mAh",,,Windows 7 Home Premium 64-Bit,,,,Lenovo,N2807 1.58 GHz,Intel Celeron N2807 1.58GHz,,Intel HD Graphics,,,1 x HDMI,,2GB,,,,,10.1,Flex 10,,"Model Brand Lenovo Series Flex 10 CPU CPU Type Intel Celeron N2807 1.58GHz CPU Speed N2807 1.58 GHz Display Screen Size 10.1 Operating Systems Operating System Windows 7 Home Premium 64-Bit Graphics GPU/VPU Intel HD Graphics Hard Drive HDD 500GB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Memory Memory 2GB Max Memory Supported 4GB Ports HDMI 1 x HDMI Supplemental Drive Webcam 720p HD Power Battery 3-cell , Li-cyclinder battery , 2200mAh",,,720p HD,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad T440 20B6005RUS-i5-4300U 1.9GHz-4GB-500GB HDD-Win 7-14"" LED Ultrabook-Graphite Black-Next Day Delivery | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Professional 64bit Windows 7 Pro 64-bit,,,,ThinkPad,4300U ( 1.90GHz ),Intel Core i5 Intel Core i5 4300U ( 1.90GHz ),,,Intel HD Graphics 4400,500GB,,,,4GB DDR3,20B6005RUS,,14 '',14.0 '',T Series,,Model Brand ThinkPad Series T Series Model 20B6005RUS General Operating System Windows 7 Professional 64bit CPU Type Intel Core i5 4300U ( 1.90GHz ) Screen 14 '' Memory Size 4GB DDR3 Hard Disk 500GB Video Memory Shared memory Webcam Yes Graphics Card Intel HD Graphics 4400 CPU CPU Type Intel Core i5 CPU Speed 4300U ( 1.90GHz ) Display Screen Size 14.0 '' Operating Systems Operating System Windows 7 Pro 64-bit Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Power Battery 6-cell lithium ion,,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E431-i3-3120M-4GB -320GB-Win7-Pro-14""LED Notebook | TopEndElectronics UK",,,,,,,,,,,,,,,,,,,,,,,,,Performance Processor Intel Core i3-3120M -2.5GHz Cache L3 : 3MB Memory,,,,,,,,,,Type Widescreen,,,,,,,,,,,Standard Notebook Keyboard Dimensions 13.5 x 1.1 x 9.4 '' / 34.3 x 2.8 x 23.9 cm Weight 4.7 lb / 2.13 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hard Drive Installed : 320GB 7200rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network 10/100/1000Mbps Ethernet ( RJ-45 ),Operating System Windows 7 Professional ( 64-bit ),Ports 2x USB 3.0 ( A ),Processor Intel Core i3-3120M -2.5GHz,,,,,,,
"Best Lenovo ThinkPad Edge E440 20C50050US-i7-4702MQ-4GB-500GB HDD-Win 7-14"" LED Notebook-Matte Black | TopEndElectronics UK",,,,Windows 7 Pro .,,13.5 '' x 9.4 '' x 1.2 '',,Lenovo,4702MQ ( 2.20 GHz ),Intel Core i7,,,,,1 x HDMI,,4GB,,E440,1366 x 768,,14.0 '',ThinkPad Edge,,Model Brand Lenovo Model E440 Series ThinkPad Edge CPU CPU Type Intel Core i7 CPU Speed 4702MQ ( 2.20 GHz ) Display Screen Size 14.0 '' Resolution 1366 x 768 Operating Systems Operating System Windows 7 Pro . Optical Drive Optical Drive Type DVD Super Multi Hard Drive HDD 500GB Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Bluetooth 4.0 Memory Memory 4GB Memory Speed DDR3L 1600 Ports USB 1 x 2.0 & 2 x 3.0 HDMI 1 x HDMI Supplemental Drive Webcam Yes Physical Specifications Weight 13.5 '' x 9.4 '' x 1.2 '',1 x 2.0 & 2 x 3.0,,Yes,802.11b/g/n Wireless LAN,,,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Super Multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,DDR3L 1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Apple MacBook Pro MGX92ZP/A Core i5-2.6GHz-8GB RAM-256GB Flash Storage-13""MacBook Pro Notebook | TopEndElectronics UK",Built-In Lithium-Polymer Providing up to 9 Hours per Charge ( 71Wh ),12.3 x 0.7 x 8.6 '' / 31.2 x 1.8 x 21.8 cm,Keys : 78,Mac OS X 10.9 Mavericks ( 64-bit ),"TouchPad with Double-Tap , Drag , Four-Finger Swipe , Inertial Scrolling , Multi-Touch Control , Pinch , Rotate , Tap , Three-Finger Swipe",3.46 lb / 1.57 kg,,,,,,,Type : Integrated,,,,OnboardType : 1600MHz DDR3L SDRAM,,,,,,,,,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 3MB,2x Mini DisplayPort via Thunderbolt port,Glossy,1x SDXC,Installed : 256GB,2560 x 1600,10/100/1000Mbps Gigabit Ethernet ( RJ-45 ) via optional cable,,2x Thunderbolt 2,"AC : 100-240 V AC , 50-60Hz",2.6GHz Intel Core i5 Dual-Core 4th-Gen Haswell,13 '',Widescreen,802.11a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2560 x 1600,,,2560 x 1600 at 16 : 10 Aspect Ratio,,,,,,,,,,,,,,,,,
"Best Apple MacBook Air MD712ZP/B-i5-1.4GHz-4GB-256GB Flash Storage-11.6"" LED Notebook | TopEndElectronics UK",Built-In Lithium-Polymer Providing up to 9 Hours per Charge ( 38Wh ),11.8 x 0.6 x 7.5 '' / 30.0 x 1.5 x 19.1 cm,Keys : 78,Mac OS X 10.9 Mavericks,"TouchPad with Double-Tap , Drag , Four-Finger Swipe , Inertial Scrolling , Multi-Touch Control , Pinch , Rotate , Three-Finger Swipe",2.38 lb / 1.08 kg,,,,,,,Type : Integrated,,,,Type : 1600MHz LPDDR3 SDRAM,,,,,,,,Performance Processor 1.4GHz Intel Core i5 Dual-Core 4th-Gen Haswell Cache L3 : 3MB Memory,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 3MB,1x Mini DisplayPort via Thunderbolt port,Glossy,None,Installed : 256GB,1366 x 768,None,None,2x USB 3.0 ( A ),"AC : 100-240 V AC , 50-60Hz",1.4GHz Intel Core i5 Dual-Core 4th-Gen Haswell,11.6 '',Widescreen,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Apple MacBook Air MD760ZP/B-i5-1.4GHz-4GB-128GB Flash Storage-13.3"" LED Notebook | TopEndElectronics UK",Built-In Lithium-Polymer Providing up to 12 Hours per Charge ( 54Wh ),12.8 x 0.6 x 8.9 '' / 32.5 x 1.5 x 22.6 cm,Keys : 78,Mac OS X 10.9 Mavericks,"TouchPad with Double-Tap , Drag , Four-Finger Swipe , Inertial Scrolling , Multi-Touch Control , Pinch , Rotate , Three-Finger Swipe",2.96 lb / 1.34 kg,,,,,,,Type : Integrated,,,,Type : 1600MHz LPDDR3 SDRAM,,,,,,,,,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 3MB,1x Mini DisplayPort via Thunderbolt port,Glossy,1x SD,Installed : 128GB,1440 x 900,None,None,2x USB 3.0 ( A ),"AC : 100-240 V AC , 50-60Hz",1.4GHz Intel Core i5 Dual-Core 4th-Gen Haswell,13.3 '',Widescreen,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad Edge E540 20C6008SUS-i5-4200M 2.5GHz-4GB-500GB HDD-Win 8-15.6"" LED Notebook | TopEndElectronics UK",,,,,,,,,,,,,,,Yes,,,,,,,15.60 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 6.20 Hour Interfaces/Ports HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 1 Number of USB 3.0 Ports 2 Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 15.60 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED HDCP Supported Yes Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Storage Storage Size 500 GB Hard Drive Interface Serial ATA/300 Hard Drive RPM 7200 Optical Drive Type DVD-Writer General Information Brand Name Lenovo Product Line ThinkPad Edge Product Series E540 Memory Standard Memory 4 GB Maximum Memory 16 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Standard IEEE 802.11b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 1.2 '' Width 14.8 '' Depth 9.8 '' Weight ( Approximate ) 86.4 oz Built-in Devices Webcam Yes Microphone Yes Finger Print Reader Yes Speakers Yes Processor & Chipset Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4200M Processor Speed 2.50 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB vPro Technology No Chipset Model HM87 Express Input Devices Pointing Device Type TouchPad , Trackpoint TouchPad Features Multi-touch Gesture",,,Yes,,16 : 9,,,,3 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,Intel,HD 4600,,,Serial ATA/300,7200.0,Yes,,,,6.20 Hour,16 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,2.0,2.0,,DVD-Writer,,"TouchPad , Trackpoint",,Dual-core ( 2 Core ),i5-4200M,2.50 GHz,Core i5,HD,1366 x 768,,Yes,,Multi-touch Gesture,,No,,,IEEE 802.11b/g/n,,,,,9.8 '',,Yes,1.2 '',,,,,Yes,,1.0,Intel,,ThinkPad Edge,,,E540,,4 GB,14.8 '',Yes,,,,,,,,,,,HM87 Express,,,,500 GB,,86.4 oz,,,,Yes,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,,,,,,,,,,,,,,,
"Best Lenovo B50-i3-4030U-4GB RAM-500GB HDD-Win 7-15.6"" LED Notebook-Black | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Home Premium 64,,,,Lenovo,4030U 1.9 GHz,Intel Core i3,,Intel HD Graphics,,,1 x HDMI,,4GB,,,,,15.6 '',B50,,Model Brand Lenovo Series B50 CPU CPU Type Intel Core i3 CPU Speed 4030U 1.9 GHz Display Screen Size 15.6 '' Operating Systems Operating System Windows 7 Home Premium 64 Graphics GPU/VPU Intel HD Graphics Hard Drive HDD 500GB Communications WLAN Gigabit LAN and WLAN Bluetooth Yes Memory Memory 4GB Max Memory Supported 16GB Optical Drive Optical Drive Type DVDRW Ports HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 6-cell lithium ion,,,Yes,Gigabit LAN and WLAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVDRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Dell Inspiron i3542-5000BK-Core i3-4030U 1.90 GHz-4GB RAM-500GB HDD-Win 8.1-15.6” Touchscreen Laptop-Black | TopEndElectronics UK,4-Cell ( 40Wh ),,Type : Standard Notebook Keyboard,Windows 8.1 ( 64-bit ),TouchPad,,,,,,,,Type : Integrated,,,,Type : 1600MHz DDR3L SDRAM,,,,,,,,,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,Bluetooth 4.0,L3 : 3MB,1x HDMI,Glossy,1x SD,Installed : 500GB 5400rpm,1366 x 768,Ethernet ( RJ-45 ),SuperMulti DVD Burner,1x USB 3.0 ( B ),,1.9GHz Intel Core i3-4030U Dual-Core 4th-Gen Haswell,15.6 '',Touchscreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Lenovo ThinkPad T440s 20AQ004JUS Intel Core i7-4600M 2.90 GHz-8GB RAM-256GB SSD-LED Ultrabook-Black | TopEndElectronics UK,,,,Windows 8 Pro,,,,,,,,,,,,,,,,,,14.00 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 8.40 Hour Interfaces/Ports Total Number of USB Ports 2 Number of USB 3.0 Ports 2 VGA Yes DisplayPort Yes Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 14.00 `` Touchscreen Yes Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode Full HD Screen Resolution 1920 x 1080 Backlight Technology LED Multi-touch Screen Yes Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Solid State Drive Capacity 256 GB Solid State Drive Interface Serial ATA/600 Optical Drive Type No Memory Memory Card Supported MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) Standard Memory 8 GB Maximum Memory 12 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 1 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Dual Band Wireless-AC 7260 Wireless LAN Standard IEEE 802.11a/b/g/n/ac Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 0.9 '' Width 13.0 '' Depth 8.9 '' Weight ( Approximate ) 62.4 oz Color Graphite Black Built-in Devices Webcam Yes Microphone Yes Finger Print Reader Yes Speakers Yes Processor & Chipset Processor Manufacturer Intel Processor Type Core i7 Processor Model i7-4600M Processor Speed 2.90 GHz Processor Core Dual-core ( 2 Core ) Cache 4 MB vPro Technology Yes Chipset Manufacturer Intel Chipset Model QM87 Express Software Operating System Windows 8 Pro Operating System Architecture 64-bit",,,Yes,,16 : 9,,,Yes,4 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,Intel,,,,Active Matrix TFT Color LCD,Yes,,Gigabit Ethernet,,Intel,HD 4600,Shared,DDR3L SDRAM,,,Yes,,,,8.40 Hour,12 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,1.0,2.0,64-bit,No,,,,Dual-core ( 2 Core ),i7-4600M,2.90 GHz,Core i7,Full HD,1920 x 1080,,Yes,,,Yes,Yes,Intel,Dual Band Wireless-AC 7260,IEEE 802.11a/b/g/n/ac,,,,Graphite Black,8.9 '',,,0.9 '',,,,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,,Intel,,,,,,,8 GB,13.0 '',Yes,,,,,,,,,,,QM87 Express,,,Yes,,Yes,62.4 oz,,,,Yes,256 GB,Serial ATA/600,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Dell XPS-Core i5-3337U-1.80GHz-4GB-500GB HDD+32GB SSD-Win 8-14""ULTRABOOK-ANODIZED ALUMINUM | TopEndElectronics UK",,,,Windows 8,,,,DELL,3337U ( 1.80GHz ),Intel Core i5,,Intel HD Graphics 4000,,,1 x HDMI,,4GB,,,,,14 '',XPS,32GB,"Model Brand DELL Series XPS CPU CPU Type Intel Core i5 CPU Speed 3337U ( 1.80GHz ) Display Screen Size 14 '' Operating Systems Operating System Windows 8 Graphics GPU/VPU Intel HD Graphics 4000 Hard Drive SSD 32GB HDD 500GB HDD RPM 5400RPM Communications WLAN Wireless-N , 1202 for Video & Voice Bluetooth Yes Memory Memory 4GB Ports USB 2 x USB 3.0 HDMI 1 x HDMI Supplemental Drive Webcam Yes",2 x USB 3.0,,Yes,"Wireless-N , 1202 for Video & Voice",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400RPM,,,,,,
