<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
Other Laptops & Notebooks - HP ProBook 470 G2 | G6W51EA for sale in Johannesburg (ID:164395963),6-cell,41.38 cm x 27.95 cm x 3.22 cm,17.3 '' LED backlight 1600 x 900 / HD+,,ENERGY STAR Qualified,AMD Radeon R5 M255 - 1 GB DDR3,4 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4030U / 1.9 GHz / 3 MB Cache,HP ProBook 470 G2 - 17.3 '' - Core i3 4030U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 5400 rpm,2.95 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440s 20AQ | 20AQ006SZA for sale in Johannesburg (ID:150041486),3-cell,33.1 cm x 22.6 cm x 2.294 cm,14 '' LED backlight touchscreen 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Lenovo ThinkPad T440s 20AQ - 14 '' - Core i7 4600U - Windows 8 Pro 64-bit - 4 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,1.76 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Acer TravelMate - Core i7 | NX.V8NEA.005 for sale in Johannesburg (ID:140135844),4-cell - up to 3.5 hours,38.16 cm x 25.6 cm x 2.54 cm,15.6 '' LED backlight ComfyView 1366 x 768 / HD - matt,,,AMD Radeon HD 8750M - 2 GB DDR3,8 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade,DVD-Writer,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer TravelMate P455-MG - 15.6 '' - Core i7 4500U - Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade - 8 GB RAM - 1 TB HDD,Notebook,Fingerprint reader,1 TB HDD,2.4 kg,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 650 G1 | H5G75EA for sale in Johannesburg (ID:162342769),6-cell,37.8 cm x 25.7 cm x 2.9 cm,15.6 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,HP ProBook 650 G1 - 15.6 '' - Core i5 4200M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2.32 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X1 Carbon | 20A7000SZA for sale in Johannesburg (ID:149015481),8-cell - up to 9 hours,33.1 cm x 22.68 cm x 1.816 cm,14 '' LED backlight 1600 x 900 / HD+,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad X1 Carbon 20A7 - 14 '' - Core i5 4200U - Windows 8.1 Pro 64-bit - 4 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",256 GB - M.2 SSD,1.34 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook 820 G1 | F1P74EA was listed for R18,282.10 on 23 Oct at 01:03 by FirstShop in Johannesburg (ID:164395892)",3-cell,31 cm x 21.53 cm x 2.1 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"Bluetooth 4.0 HS , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,HP EliteBook 820 G1 - 12.5 '' - Core i7 4500U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD Self Encrypting Drive,1.33 kg,,,,,,,,,4G - no service included,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5540 - 15.6"" | CA001LE55402EMEA for sale in Johannesburg (ID:149015513)",6-cell,37.9 cm x 25.05 cm x 2.97 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i3 ( 4th Gen ) 4010U / 1.7 GHz / 3 MB Cache,Dell Latitude E5540 - 15.6 '' - Core i3 4010U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,Trusted Platform Module ( TPM ) Security Chip,500 GB HDD / 5400 rpm,2.3 kg,,,,,,,,,,,Spanish,1 year warranty,,Includes a pre-loaded image of select Microsoft Office 2013 suites . Purchase an Office 2013 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Apple MacBook Pro - 13.3"" | MD101 was listed for R14,209.20 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:160541124)",Up to 7 hours,32.5 cm x 22.7 cm x 2.41 cm,13.3 '' LED backlight 1280 x 800 / WXGA,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",OS X 10.9 Mavericks,DVD-Writer DL,Intel Core i5 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,Apple MacBook Pro - 13.3 '' - Core i5 - OS X 10.9 Mavericks - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.06 kg,,,,,,,,,,,Italian / Italy,1 year warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X1 Carbon | 20A7001QZA for sale in Johannesburg (ID:147826949),8-cell - up to 9 hours,33.1 cm x 22.71 cm x 1.846 cm,14 '' LED backlight touchscreen 2560 x 1440 / WQHD,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 5000,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4550U / 1.5 GHz ( 3 GHz ) / 4 MB Cache,Lenovo ThinkPad X1 Carbon 20A7 - 14 '' - Core i7 4550U - Windows 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",256 GB - M.2 SSD,1.43 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - Lenovo ThinkPad X201 3626 /COREI5/4GIG DDR/320GIG HDD/12.1""LED for sale in Pretoria / Tshwane (ID:164418170)",,,,,,Intel Media Accelerator HD ( integrated ),"4GB , 1066MHz DDR2",,Windows 7 Home Premium ( 64-bit ),,2.53GHz Intel Core i5 M540,,,,,,Ultraportable,Intel HM55,11.6 x 10.1 inches,"320GB 7,200rpm",1.3 inches,"$ 1,464 / $ 1,999",12.1 inches,3.8 / 4.5 pounds,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440p 20AN | 20AN001WZA for sale in Johannesburg (ID:147826992),6-cell - up to 7.4 hours,33.5 cm x 22.91 cm x 2.995 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA GeForce GT 730M / Intel HD Graphics 4600 - 1 GB,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,,Intel Core i5 ( 4th Gen ) 4300M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,Lenovo ThinkPad T440p 20AN - 14 '' - Core i5 4300M - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.16 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440p 20AN | 20AN007WZA for sale in Johannesburg (ID:150041470),6-cell - up to 7.2 hours,33.5 cm x 22.91 cm x 2.995 cm,14 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce GT 730M / Intel HD Graphics 4600 - 1 GB,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,Lenovo ThinkPad T440p 20AN - 14 '' - Core i7 4700MQ - Windows 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.16 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - TOSHIBA PORTEGE R930-F0251 - Toshiba for sale in Johannesburg (ID:157342227),,,13.3 '' Anti-Glare LED,,,Intel,4GB DDR3,,,N/A,,,,TPM / HDD Protection,,1.48kg,,,,,,,,,,,,,,,Spill Resistant STD,,500GB 5400RPM,R930-F0251,Win 8 Pro,3 Year Onsite / Free Bag,WLAN+ BT,,,Silver,i5-3210M ( HM chipset ),10/100 / 1000,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440 20B6 | 20B6001MZA for sale in Johannesburg (ID:144214971),3-cell,33.9 cm x 23.25 cm x 2.1 cm,14 '' LED backlight 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,Lenovo ThinkPad T440 20B6 - 14 '' - Core i7 4600U - Windows 8 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 640 G1 | H5G65EA for sale in Johannesburg (ID:163781009),6-cell,34 cm x 23.7 cm x 2.9 cm,14 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,HP ProBook 640 G1 - 14 '' - Core i5 4200M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - ASUS ROG G750JH-T4113P  - Asus for sale in Johannesburg (ID:157412074),8Cells 5900 mAh 89 Whrs,,17.3 '' 16 : 9 FHD EWV LED Backlight/Full HD 3D ( 1920x1080 120Hz ),,,,DDR3L 1600 MHz SDRAM 16 G,Integrated 802.11 a/b/g/n 10/100/1000 Base T BT 4.0 support ( on WLAN+ BT 4.0 combo card ),Windows 8 Pro,Blu-Ray DVD Combo Super-Multi DVD Blue-ray Writer,Intel® Core™ i7 4700HQ Processor,,,Kensington lock LoJack Intel Anti-theft,1.5 TB HDD 5400 RPM With 256 GB SSD,4.8 kg,,Intel® HM87 Express Chipset,,,,,,,,,,,,,,HD Web Camera,,,,,,,,,,,,,,410 x 318 x 18 ~58 mm ( WxDxH ) ( w/ 8cell battery )
Other Laptops & Notebooks - HP ZBook 14 Mobile | F0V01EA for sale in Johannesburg (ID:148490716),3-cell,33.9 cm x 23.7 cm x 2.1 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,,AMD FirePro M4100 - 1 GB GDDR5,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,HP ZBook 14 Mobile Workstation - 14 '' - Core i5 4300U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 750 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",750 GB HDD / 7200 rpm,1.59 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5540 - 15.6"" | CA005LE55402EDB for sale in Johannesburg (ID:162342789)",6-cell,37.9 cm x 25.05 cm x 2.97 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce GT 720M / Intel HD Graphics 4400 - 2 GB,4 GB DDR3L,"Bluetooth 4.0 LE , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / 8,DVD-Writer,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,Dell Latitude E5540 - 15.6 '' - Core i5 4300U - Windows 7 Pro 64-bit / 8 - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm + 8 GB SSD cache,2.3 kg,,,,,,,,,,,Poland,1 year warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X1 Carbon | 20A70010ZA for sale in Johannesburg (ID:147826619),8-cell - up to 9 hours,33.1 cm x 22.68 cm x 1.816 cm,14 '' LED backlight 1600 x 900 / HD+,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4550U / 1.5 GHz ( 3 GHz ) / 4 MB Cache,Lenovo ThinkPad X1 Carbon 20A7 - 14 '' - Core i7 4550U - Windows 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",256 GB - M.2 SSD,1.34 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo Yoga 2 13 | 59425931 was listed for R17,518.80 on 25 Oct at 01:03 by FirstShop in Johannesburg (ID:161123753)",,,13.3 '' LED backlight touchscreen,,,,DDR3L,,,No optical drive,Intel Core i7 ( 4th Gen ) 4510U / 4 MB Cache,Lenovo Yoga 2 13 - 13.3 '' - Core i7 4510U - 256 GB SSD,,,256 GB SSD,,,,,,,,,,,,,,360 degree flip design,,,,,,,,,Ultrabook,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Mobile Workstation | LW924AW for sale in Johannesburg (ID:137914220),8-cell - up to 6.5 hours,38.2 cm x 25.8 cm x 3.8 cm,15.6 '' LED backlight HD+ WVA anti-glare 1600 x 900 / HD+,Yes,,NVIDIA Quadro 1000M - 2 GB GDDR3,4 GB DDR3,"802.11n , Bluetooth 2.1 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit,DVD SuperMulti DL,Intel Core i5 ( 2nd Gen ) 2540M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,HP EliteBook Mobile Workstation 8560w - 15.6 '' - Core i5 2540M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",320 GB HDD / 7200 rpm,3.1 kg,,,,,,,,,,,,3 years warranty,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Yoga 20CD | 20CD00DMZA for sale in Johannesburg (ID:161481315),8-cell - up to 7 hours,31.6 cm x 22.1 cm x 1.88 cm,12.5 '' LED backlight touchscreen 1920 x 1080 / Full HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,Lenovo ThinkPad Yoga 20CD - 12.5 '' - Core i7 4510U - Windows 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB SSD,1.57 kg,,,,,,,,,,,,,360 degree flip design,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Aspire R7-572-54208G1Tass - 15.6"" | NX.M94EA.002 for sale in Johannesburg (ID:158050553)",4-cell - up to 8 hours,37.68 cm x 25.45 cm x 2.85 cm,15.6 '' LED backlight touchscreen 1920 x 1080 / Full HD,,,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 Single Language 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Acer Aspire R7-572-54208G1Tass - 15.6 '' - Core i5 4200U - Windows 8.1 Single Language 64-bit - 8 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.4 kg,,,,,,,,,,Silver,South Africa,,Flip-hinge design,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 430 G1 | F0X32EA for sale in Johannesburg (ID:152897537),4-cell - up to 9.5 hours,32.6 cm x 23.35 cm x 2.1 cm,13.3 '' LED backlight HD anti-glare 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i3 ( 4th Gen ) 4005U / 1.7 GHz / 3 MB Cache,HP ProBook 430 G1 - 13.3 '' - Core i3 4005U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,Fingerprint reader,500 GB HDD / 5400 rpm,1.5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 430 G2 | G6W04EA for sale in Johannesburg (ID:160854980),4-cell - up to 8.5 hours,32.6 cm x 23.35 cm x 2.1 cm,13.3 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i3 ( 4th Gen ) 4030U / 1.9 GHz / 3 MB Cache,HP ProBook 430 G2 - 13.3 '' - Core i3 4030U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 5400 rpm,1.6 kg,,,,,,,,,3G,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Aspire E1-510-28202G50Dnkk - 15.6"" | NX.MGREA.018 was listed for R4,320.00 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:158050541)",4-cell - up to 6 hours,38.16 cm x 25.6 cm x 2.53 cm,15.6 '' LED backlight 1366 x 768 / HD,,,Intel HD Graphics,2 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,No optical drive,Intel Celeron N2820 / 2.13 GHz ( 2.39 GHz ) / 2 MB Cache,Acer Aspire E1-510-28202G50Dnkk - 15.6 '' - Celeron N2820 - Windows 8.1 Single Language 64-bit - 2 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.35 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440 20B6 | 20B6006SZA for sale in Johannesburg (ID:149015448),6-cell,33.9 cm x 23.25 cm x 2.1 cm,14 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad T440 20B6 - 14 '' - Core i5 4200U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude 3440 - 14"" | CA003L34406EM was listed for R10,090.80 on 23 Oct at 01:03 by FirstShop in Johannesburg (ID:163780949)",4-cell,34.6 cm x 24.5 cm x 2.5 cm,14 '' WLED 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Dell Latitude 3440 - 14 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,Notebook,,500 GB Hybrid Drive ( 8 GB flash ) / 5400 rpm,2 kg,,,,,,,,,,Black,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer TravelMate - Core i5 | NX.V8YEA.002 was listed for R9,598.80 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:164202185)",4-cell - up to 4 hours,38.16 cm x 25.6 cm x 2.49 cm,15.6 '' LED backlight ComfyView 1366 x 768 / HD - matt,,ENERGY STAR Qualified,AMD Radeon HD 8750M - 2 GB DDR3,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro 64-bit Dual Load,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Acer TravelMate P255-MG-54204G75Mnkk - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit / 8 Pro 64-bit Dual Load - 4 GB RAM - 750 GB HDD,Notebook,,750 GB HDD / 5400 rpm,2.35 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E5540 - 15.6"" | CA003LE55406EDBSAF for sale in Johannesburg (ID:162342763)",6-cell,37.9 cm x 25.05 cm x 2.97 cm,15.6 '' WLED 1366 x 768 / HD,Yes,,Intel HD Graphics 4400,4 GB DDR3L,"802.11 a/b/g/n/ac , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 8 Pro 64-bit - English,DVD-Writer,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,Dell Latitude E5540 - 15.6 '' - Core i5 4300U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive,,,500 GB Hybrid Drive ( 8 GB flash ),2.3 kg,,,,,,,,,,Black,,3 years warranty,,,,,,,,,,Notebook,,,,,,,,
"Other Laptops & Notebooks - HP ProBook 640 G1 | H5G67EA was listed for R11,906.40 on 30 Oct at 00:53 by FirstShop in Johannesburg (ID:163780986)",6-cell,34 cm x 23.7 cm x 2.9 cm,14 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,HP ProBook 640 G1 - 14 '' - Core i5 4200M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Revolve 810 | F1N29EA for sale in Johannesburg (ID:158360141),6-cell - up to 10.75 hours,28.5 cm x 21.2 cm x 2.22 cm,11.6 '' LED backlight touchscreen 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 EDR , NFC , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP EliteBook Revolve 810 G2 Tablet - 11.6 '' - Core i5 4200U - Windows 8.1 Pro 64-bit - 4 GB RAM - 128 GB SSD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,128 GB - M.2 SSD,1.4 kg,,,,,,,,,3G - no service included,,,,Convertible design,,,,,,,,,,,,,,,,,
