2in1,<page title>,hard drive capacity,laptop battery life,laptop display type,laptop hard drive capacity gb,laptop hard drive speed,laptop hard drive type,laptop memory ram gb,laptop network card,laptop operating system,laptop optical drive,laptop processor speed,laptop processor type,laptop refurbished,laptop screen size inches,laptop style,laptop use,laptop warranty,laptop weight,processor speed up to ghz,processor type,ram capacity,screen size,touch screen enabled,video graphics memory,bluetooth compatibility,cpu cache,laptop audio,laptop battery type,laptop color,laptop dimensions l x w x h,laptop memory type,laptop other ports,laptop usb slots,laptop webcam,laptop weight filter,media card reader,laptop memory expandable,laptop video graphics,color family,laptop processor type details,wireless connectivity,hard drive type,bluetooth compatibility details,laptop color details,laptop extra features,windows select pc,all in one desktop,desktop audio,desktop cpu cache,desktop dimensions l x w x h,desktop hard drive size gb,desktop includes monitor,desktop media card reader,desktop network card,desktop operating system,desktop optical drive,desktop other ports,desktop power,desktop processor,desktop refurbished,desktop usb ports,desktop use,desktop warranty,desktop weight,e desktop memory expandable,form factor,ram desktop memory gb,sp desktop hard drive speed,speed desktop processor speed,t desktop hard drive type,t desktop memory type,desktop special feature,desktop video graphics,all in one desktop details,desktop includes monitor details,desktop lan data transfer rate,desktop processor details,desktop refurbished details,desktop use details,desktop video memory,touch screen enabled details,desktop operating system details,desktop weight details,desktop hard drive size details
No,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,WXGA LCD,160.0,SATA,5400 RPM,4.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 Month parts and labor,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,Intel GMA 4500MHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC7900, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",1TB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated HD audio with AD1884A codec,3MB L2,Small Form Factor 3.95 '' x 13.3 '' x 14.9 '',1000,No,n/a,Integrated Intel 82567LM GbE Network Connection,Windows 7,DVDRW Drive,"1 x standard serial port , 2 x PS/2 , 1 x RJ-45 , 1 x VGA , 1 x Display Port , audio in/out , headphone and microphone",240 watts,Intel Other,Yes,8 ( 2 in front and 6 in rear ),Everyday,1 year limited,,8GB,Small Form Factor,4,7200RPM,3.0GHz,SATA,DDR2 800MHz,n/a,Integrated Intel GMA 4500,,,10/100/1000 Mbps,Intel Core 2 Duo,,,n/a,,Genuine Windows 7 Home Premium 32-bit,18.75 lbs .,
No,Toshiba Satellite 15.6-Inch Laptop (S55-B5280) | Staples®,1TB,4.3 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,12.0,10/100/1000 Ethernet,Windows 8.1,N/A,2.0GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,2 to 2.9 GHz,Intel i7,12GB,15 '' to 16.9 '',No,Mobile Intel HD graphics with shared graphics memory,Yes,4MB,Built-in harman/kardon stereo speakers,4 cell/45Wh lithium ion battery,Gold,14.96 x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"HDMI with 4K Ultra HD output , Microphone/Headphone Combo , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,4.85 lbs,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP Compaq DC7900 Tower, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,6MB,15.7 '' x 6.9 '' x 17 '',1024,,Intel GMA 4500,Intel Pro 1000 PT PCIe Gigabit,Windows 7 Professional,DVD-ROM,"Serial , 2 x PS2 , RJ-45 , VGA , audio in/out",,Intel Other,,8 x USB,Business,1 Year,,N/A,Desktop,4,7200RPM,3.0GHz,SATA,DDR2 SYNCH DRAM,,Intel GMA 4500,No,No,,Intel Core Duo,Yes,Everyday,,No,,31 lbs .,
No,"Refurbished Lenovo T500 15.5"", 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",Under 320GB,Up to 4 Hours,WXGA Display,500.0,5400RPM,SATA,4.0,802.11 b/g,Windows 7 Professional,DVDRW Drive,2.4 GHz,AMD Other,Yes,15.5,Laptop/Notebook,Business,1 year limited,Over 6 lbs,2 to 2.9 GHz,Intel,4GB,15 '' to 16.9 '',No,N/A,Yes,3MB L2,Integrated Audio,6-cell Lithium-ion,Black,10 '' x 14.1 '' x 1.3 '',DDR3 1067MHz,"1 x LAN , 1 x Audio Out , 1 x MIC , 1 x VGA , 1 x IEEE 1394",3 x USB 2.0,N/A,5.9 lbs .,7-in-1 Media Card Reader,8GB,Intel Integrated Graphics 4500MHD,Black,Intel Core 2 Duo,802.11/a/b/g/n,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"HP® 350 G1 15.6"" Business notebook | Staples®",1TB,,LED-Backlight Display,1024.0,,5400 rpm,8.0,,Windows 7 Professional,DVD-Writer,4200U ( 1.60GHz ),Intel i5,No,15.6,Laptop/Notebook,Business,Limited 1-year warranty,5.1 to 6 lbs,1 to 1.9 GHz,Intel i5,8GB,15 '' to 16.9 '',No,Intel® HD Graphics 4400,Yes,3 MB,"DTS Sound , integrated microphone , integrated speaker",,Black,15.12 x 10.28 x 0.91 in,DDR3L,"1 LAN RJ-45 , 1 -Headphone/Microphone Combo Jack , 1 VGA , 1 HDMI","2 USB 3.0 , 1 USB 2.0",HD webcam,5.07 lbs,DVD-RAM/±R/ ±RW,N/A,,Black,Intel Core i5,802.11/a/b/g/n,,,,Available for Windows 8.1 Upgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,ASUS Touchscreen 15.6-Inch Convertible Laptop (TP550LA-RHI5T01) | Staples®,,Up to 5.5 hours estimated,HD Touch,1024.0,HDD,5400 RPM,6.0,802.11n wireless,Windows 8.1,SMDVDRW,1.7GHZ,Intel i5,No,15.6 '',Laptop/Notebook,Everyday,1 Year,,,,,,Yes,UMA,Yes,3MB L3,Stereo Speakers,Lithium polymer,Assorted,14.96 '' x 10.28 '' x 1.07 '',DDR3L 1600MHz,"HDMI , combo audio jack , RJ-45","1 x USB 3.0 , 2 x USB 2.0",Integrated,5.73 lbs .,SD Card Reader,Up to 8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell Off-Lease, Refurbished Optiplex 760, 1.5TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1.5TB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,,15.7 in . H x 4.5 in . W x 13.9 in . D,1.536,No,,,Windows 7 Professional,DVD,"2 Line-in ( Stereo/Microphone ) , 2 Line-out ( Headphone/Speaker ) ,1 VGA port , 1 parallel port , 1 serial port",,Intel Other,Yes,8 USB 2.0 ports- 2 front/ 6 rear,Business,1 Year,22 lbs .,,Desktop,4,,3.0GHz,,,,Integrated,Yes,Yes,10/100/1000 Mbps,,Yes,Everyday,,Yes,,,
No,Toshiba Satellite 15.6-Inch Laptop (C55-B5299) | Staples®,500GB,3.9 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),500.0,5400RPM,Serial ATA hard disk drive,2.0,10/100 Ethernet,Windows 8.1,N/A,2.16GHz,Intel Other,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,2 to 2.9 GHz,Intel,2GB,15 '' to 16.9 '',No,Mobile Intel HD graphics with shared graphics memory,Yes,1MB,Built in Stereo Speakers,4 cell/32Wh lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L 1333MHz,"VGA , HDMI , Microphone , RJ-45","2 x USB 2.0 , 1 x USB 3.0",Integrated,4.8 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Dell Inspiron 15.6"" Touch Screen Laptop | Staples®",,,HD Widescreen Display,500.0,5400RPM,SATA,4.0,Wireless-N,Windows 8,DVD/RW,1.9GHz,AMD Other,No,15.6,Laptop/Notebook,Everyday,1 year limited,,,,,,Yes,,Yes,2MB Cache,Waves MaxxAudio®,6-cell,Black,10.20 '' x 14.80 '' x 0.98 '',"DDR3 , 1600MHz",HDMI,"2 x USB 3.0 , 2 x USB 2.0",Yes,5.19 lbs,8-in-1 Media Card Reader,8GB,Integrated Intel® HD Graphics,,Pentium® 2127U,,,,Black/Silver,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell Latitude E6400 14.1"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 | Staples®",Under 320GB,Up to 5.5 Hours,LCD,80.0,SATA,5400 RPM,2.0,Wireless : 802.11a/b/g/n,Windows 7,DVD-CDRW,2.2Ghz,,,14.1,,Business,1 Year,4.1 to 5 lbs,2 to 2.9 GHz,Intel,2GB,13 '' to 14.9 '',,,,,HD Integrated,,,9.3 '' ( L ) x 13.1 '' ( W ) x 1.1 '' ( H ),DDR2 RAM,,,,4.3 lbs,,,,,Intel Core 2 Duo,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell E6410 14"", 160GB Hard Drive, 4GB Memroy, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,,,5400.0,160,SATA,4.0,,Windows 7 Professional,DVD Rom,,Intel i5,Yes,14,Laptop/Notebook,Business,1 Year,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,,,,Integrated HD,,,9.4 '' x 13.2 '' x 1.2 '',DDR3,,,,4.4lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo Flex 2 15-Inch Touch Screen Notebook (15D) | Staples®,,Up to 6 hours WiFi browsing,HD IPS Technology Active Matrix TFT Color LCD With LED Backlit Display,500.0,SSHD,5400 RPM,4.0,100/1000,Windows 8.1,N/A,1.90 GHz,Intel i3,No,15,Laptop/Notebook,Everyday,1 Year,,,,,,Yes,Intel HD Graphics 4400,Yes,3MB,Stereo speakers with Dolby® Advanced Audio v2,Lithium-Ion ( Li-Ion ),Black,10.87 x 15.04 x 1.06,DDR3L,"1 x HDMI , 1 x RJ45 , 1 x Headphone/Microphone Combo Port","1 x USB 3.0 , 2 x USB 2.0",0.3MP or 1MP,5.51 lbs,SD/SDHC/SDXC/MMC,,,,,,,,,Thin And Light Dual Mode Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,,,,,,,,,,,,,,,Business,,4.1 to 5 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',,,,,,,,,,,,,,,,,,,802.11/a/b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite 15.6-Inch Touch Screen Laptop (S55T-B5282) | Staples®,1TB,4 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,12.0,10/100 Ethernet,Windows 8.1,Sold Separately : DVD SuperMulti drive supporting 11 formats,1.7GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,1 to 1.9 GHz,Intel i7,12GB,15 '' to 16.9 '',Yes,Mobile Intel HD graphics with shared graphics memory,Yes,3MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Gold,14.96 '' x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"VGA , HDMI , Microphone , Headphone , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,5.2 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,Wireless A/C,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung Chromebook | Staples®,Under 320GB,Up to 6.3 hours,"LED HD , 1366 x 768",16.0,,SSD,2.0,802.11 a/b/g/n,Google Chrome,None,1.7GHz,Other,No,11.6,Chromebook,Everyday,1 year,2.1 to 3 lbs,1 to 1.9 GHz,,2GB,10.1 '' to 12.9 '',No,Shared,Yes,1MB,3W Stereo Speaker ( 1.5W x 2 ),2 cell/Li-Po ( 4080 mAh ),Silver,11.4 '' x 8.09 '' x 0.69 '',DDR3L,"1 x HDMI , Headphone/Mic Combo","1 x USB 2.0 , 1 x USB 3.0",0.3 MP,2.43 lb .,3- in-1 ( SD/SDHC/SDXC ),No,Integrated,Gray/Silver,Samsung Exynos 5 Dual,802.11/a/b/g/n,Solid State,,,Fast Boot Technology allows you to boot in less than 10 seconds,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Lenovo T400-0074 14"", 100GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,,WXGA Display,100.0,7200RPM,SATA,4.0,802.11 b/g/n,Windows 7,DVD-CDRW COMBO Drive,2.26 GHz,Intel Other,Yes,14,Laptop/Notebook,Business,1 year limited,Over 6 lbs,2 to 2.9 GHz,Intel,4GB,13 '' to 14.9 '',No,256MB,Yes,3MB L2,Integrated Audio,,Black,9.28 '' x 13.2 '' x 1.36 '',DDR3 1066MHz SODIMM,"1 x LAN , 1 x Audio Out , 1 x MIC , 1 x VGA , 1 x IEEE 1394 , 1 x Built in CAM","1 x USB 3.0 , 2 x USB 2.0",N/A,4.85 lbs .,,4GB,Intel 4500 MHD Graphics,Black,Intel Core 2 Duo,802.11/a/b/g,Spindle,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dell Optiplex 760 Windows 7 Professional 64BIT Refurbished Desktop PC, 4GB, 1TB HD | Staples®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,15.7 `` ( H ) x 4.5 `` ( W ) x 13.9 `` ( D ),,,,10/100/1000 Mbps,Windows 7 Professional,DVDRW,,,,Yes,"8 x USB 2.0 ( 2 front , 6 rear ) , 1 x VGA , 1 x parallel , 1 x serial , 1 x Ethernet ( RJ-45 ) , 2 x 3.5mm audio line-in , 2 x 3.5mm audio line-out",,1-year limited,21 lbs,,,4,,3.0GHz,,,,Integrated,No,No,,Intel Core 2 Duo 3.0GHz,Yes,Everyday,,No,,,1TB
No,Toshiba Satellite (L75-B7150) Laptop | Staples®,500GB,,TruBrite® TFT display at 1600 x 900 native resolution ( HD+ ),500.0,Serial ATA hard disk drive,5400 RPM,6.0,Wi-Fi® Wireless networking ( 802.11b/g/n ),Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,17.3 ”,Laptop/Notebook,Everyday,1 year standard limited warranty,5.1 to 6 lbs,1 to 1.9 GHz,Intel i3,6GB,17 '' to 18.9 '',No,,Yes,3M,"Stereo speakers tuned by Skull Candy , DTS Sound",6 cell/48Wh Lithium Ion battery pack,Gold,16.3 ” W x10.6 ” D x 1.3 ” H,DDR3L,"RGB , HDMI , Microphone input port , Headphone output port , RJ-45 LAN port , Slot for Security Lock","1 USB 3.0 with USB Sleep and Charge , 1 USB 3.0 , 2 USB 2.0 port",HD webcam,5.9 lbs,Memory Card Reader,N/A,Mobile Intel® HD graphics with shared graphics memory,Gold,Intel® Core™ i3-4005U Processor,802.11b/g/n,,Bluetooth v.4.0,Satin Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo Flex 2 15-Inch Touch Screen Notebook (15D) | Staples®,,Up to 6 hours WiFi browsing,HD IPS Technology Active Matrix TFT Color LCD With LED Backlit Display,500.0,SSHD,5400 RPM,4.0,100/1000,Windows 8.1,N/A,1.90 GHz,Intel i3,No,15,Laptop/Notebook,Everyday,1 Year,,,,,,Yes,Intel HD Graphics 4400,Yes,3MB,Stereo speakers with Dolby® Advanced Audio v2,Lithium-Ion ( Li-Ion ),Black,10.87 x 15.04 x 1.06,DDR3L,"1 x HDMI , 1 x RJ45 , 1 x Headphone/Microphone Combo Port","1 x USB 3.0 , 2 x USB 2.0",0.3MP or 1MP,5.51 lbs,SD/SDHC/SDXC/MMC,,,,,,,,,Thin And Light Dual Mode Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo ThinkPad T61 14.1"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,TFT Color LCD,80.0,SATA,5400 RPM,2.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.0Ghz,,Yes,14.1,Laptop/Notebook,Business,1 Year,Less than 1 lb .,2 to 2.9 GHz,Intel,2GB,13 '' to 14.9 '',No,Intel Graphics Media Accelerator 950,,,,,,,,,,,,,,,,Intel Core 2 Duo,,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Dell Inspiron 13-Inch Touch Screen 2-in-1 Laptop (i7347-50sLV) | Staples®,,Up to 8 hours battery life*,"LED Backlit Touch True Color Display with Truelife , True Color , Wide-Angle Viewing ( IPS )",500.0,5400 RPM,SATA,4.0,Dell Wireless-N 1708,Windows 8.1,N/A,1.7GHz,Intel i3,No,13.3,Laptop/Notebook,Everyday,1 Year,,,,,,Yes,,Yes,3M,HD Audio with Waves MaxxAudio®,"43 WHr , 3-Cell Lithium-Ion Battery ( removable )",Silver,8.74 x 12.99 x 0.75,DDR3L,1 x HDMI,"2 x USB 3.0 , 1 x USB 2.0",Integrated,3.66 lbs .,2-in1 Media Card Reader and USB 3.0,N/A,Intel® HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 755 TW-2.3-1TB-4GB, Intel Core 2 Duo Windows 7 Home | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,6MB,17.3 '' x 6.9 '' x 15.8 '',160,No,Intel GMA 4500,Intel Pro 1000 PT PCIe Gigabit,Windows 7,DVD-ROM,"Serial , 2 x PS2 , RJ-45 , VGA , audio in/out",240W,Intel Other,Yes,8 x USB,Business,1 Year,31lbs,16,Desktop,4,7200RPM,,SATA,DDR2 SYNCH DRAM,,Intel GMA 4500,,,,,,,,,,,
,HP Pro 3500 - Core i3 3240 3.4 GHz - 4 GB - 500 GB | Staples®,500GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel i3,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,,No,,Business,,,,Desktop,,,,,,,,,,,,,,,,,,
No,"Refurbished Dell E6400 14"", 160GB Hard Drive, 3GB Memory, Intel Core 2 Duo (2.4Ghz), Win 7 Home | Staples®",Under 320GB,30 minutes to a hour,WXGA ( 1280x800 ),160.0,2.4GHz,SATA,8.0,Gigabit Ethernet 10/100/1000,Windows 7,DVDRW,5400 RPM,Intel Other,Yes,14,Laptop/Notebook,,1 year warranty,5.1 to 6 lbs,2 to 2.9 GHz,Intel,3GB,13 '' to 14.9 '',No,,No,2MB,Integrated HD audio,Lithium ion,Gray,13.1x9.4x1.2,,"IEEE - 1394 , docking connector , USB 2.0 ( x4 ) , VGA , Display Port , RJ-11 ( optional ) , RJ-45 , eSATA , USB PowerShare , headphone/speaker out , mic",2 USB Slots,,5 lbs,DDR 2,3GB,Integrated video graphics,Gray/Silver,,802.11/a,,N/A,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC7800, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated High Definition audio with ADI1884 codec,2MB L2,Small Form Factor 3.95 '' x 13.3 '' x 14.9 '',1000,No,n/a,Integrated Intel 82566DM Gigabit Network Connection Ethernet,Windows 7 Professional,DVDRW Drive,"1 x standard serial port , 1 x parallel port , 2 x PS/2 , 1 x RJ-45 , 1 x VGA , audio in/out , headphone and microphone",240 watts,Intel Other,Yes,8 ( 2 in front and 6 in rear ),Business,1 year limited,,8GB,Small Form Factor,4,7200RPM,2.8GHz,SATA,DDR2 800MHz,n/a,Integrated Intel GMA 3100,,,10/100/1000 Mbps,Intel Core 2 Duo,,,n/a,,Genuine Windows 7 Professional 32-bit,18.75 lbs .,
,"HP Off-Lease, Refurbished 8440P 14"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®",Under 320GB,Up to 6 hours,LED-backlit HD+ anti-glare,,7200RPM,SATA,4.0,Integrated Intel Gigabit Network Connection ; 56k Modem ; 802.11 Wireless,Windows 7 Professional,DVD-CDRW,2.4GHz,Intel i5,Yes,14,Laptop/Notebook,Business,1 year limited,,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,512 MB,Yes,3MB L3,Integrated HD audio,6 cell lithium ion,Silver,13.2 '' x 9.3 '' x 1.23 '',DDR3 SODIMM,"1 x 1394a port , 1 x stereo microphone in , 1 x sterep headphone/line out , 1 x power connector , 1 x display port , 1 x VGA connector , 1 x docking connector , 1 x secondary battery connector",3 USB 2.0,N/A,4.7 lbs .,Integrated Smart Card Reader,8GB,intel integrated graphics,Gray/Silver,Intel Core i5,802.11/a,,,Mercury Silver,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HP J4W31AA#ABA Desktop, 2.41 GHz | Staples®",500GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,500,No,,,Windows 8,,,,Intel Other,No,,Business,,,,Desktop,4,,,,,,,,,,,,,,,,,
No,"Refurbished Dell E6400 14"", 160GB Hard Drive, 3GB Memory, Intel Core 2 Duo (2.26Ghz), Win 7 Home | Staples®",Under 320GB,30 minutes to a hour,WXGA ( 1280x800 ),160.0,2.26GHz,SATA,8.0,Gigabit Ethernet 10/100/1000,Windows 7,COMBO,5400 RPM,Intel Other,Yes,14,Laptop/Notebook,,1 year warranty,5.1 to 6 lbs,2 to 2.9 GHz,Intel,3GB,13 '' to 14.9 '',No,,No,2MB,Integrated HD audio,Lithium ion,Gray,13.1x9.4x1.2,,"IEEE - 1394 , docking connector , USB 2.0 ( x4 ) , VGA , Display Port , RJ-11 ( optional ) , RJ-45 , eSATA , USB PowerShare , headphone/speaker out , mic",2 USB Slots,,5 lbs,DDR 2,3GB,Integrated video graphics,Gray/Silver,,802.11/a,,N/A,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Dell Inspiron 15.6-Inch Laptop (I3543-7500BLK/I3542-8335BK) | Staples®,1TB,Up to 6 hours 33min,LED Backlit Display with Truelife and HD resolution ( 1366 x 768 ),1024.0,5400 RPM,SATA,8.0,,Windows 7 Professional,Tray load DVD Drive ( Reads and Writes to DVD/CD ),2.7GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,,,Intel i5,8GB,15 '' to 16.9 '',No,Intel® HD Graphics 4400,No,3M,HD Audio enhanced with Wave MaxxAudio,"40 WHr , 4-Cell Battery",Black,10.5 x 15.0 x 1.0,DDR3,"HDMI 1.4a , Security Slot , Media Card Reader ( SD , SDHC and SDXC ) , Headphone/Microphone","1 x USB 3.0 , 2 x USB 2.0",720 MP,5.26 lbs .,Integrated,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP Pavilion 14-Inch Touch Screen Laptop (14-v062us) | Staples®,750GB,up to 5 hours and 30 min,HD WLED-backlit touchscreen display,750.0,5400RPM,HDD,8.0,10/100 BASE-T Ethernet LAN,Windows 8.1,SuperMulti DVD burner,1.9GHz,Intel i3,No,14,Laptop/Notebook,Everyday,1 Year,,1 to 1.9 GHz,Intel i3,8GB,13 '' to 14.9 '',Yes,Intel® HD graphics 4400,No,N/A,BeatsAudio™ dual speakers,4-cell 41WHr 2.8Ah lithium-ion battery,Silver,13.62 '' x 9.68 '' x 1 '',DDR3L,"1 HDMI , 1 RJ-45 , 1 Headphone/Microphone combo jack","2 x USB 3.0 , 1 x USB 2.0",Integrated,4.6 lbs .,Multi-format digital media card reader for Secure Digital cards,N/A,N/A,Gray/Silver,,,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba, Satellite C55-B5270, 15.6"" Laptop, 8GB Memory, 500GB Hard Drive, Intel Pentium, Windows 8.1 | Make More Happen at Staples®",500GB,4.5 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),500.0,5400RPM,Serial ATA hard disk drive,8.0,10/100 Ethernet,Windows 8.1,DVD SuperMulti drive supporting 11 formats,2.16GHz,Intel Other,No,15.6,Laptop/Notebook,Everyday,1 Year,,1 to 1.9 GHz,Intel,8GB,15 '' to 16 '',No,Mobile Intel HD graphics with shared graphics memory,No,2MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L 1333MHz,"VGA , HDMI , Microphone , RJ-45","2 x USB 2.0 , 1 x USB 3.0",Integrated,4.85 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP DC7700, 160GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,1 to 1.9 GHz,Intel,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated High Definition audio with Realtek 4-channel ALC262 codec,2MB L2,Minitower 17.65 '' x 6.6 '' x 17.8 '',160,No,n/a,Integrated Intel 82566DM Gigabit Network Connection Ethernet,Windows 7,DVDRW Drive,"1 x standard serial port , 1 x parallel port , 2 x PS/2 , 1 x RJ-45 , 1 x VGA , audio in/out , mic in , headphone and microphone",365 watts,Intel Other,Yes,8 ( 2 in front and 6 in rear ),Everyday,1 year limited,,8GB,Desktop,2,7200RPM,1.86GHz,SATA,DDR2 800MHz,n/a,Integrated Intel GMA 3000,,,10/100/1000 Mbps,Intel Core 2 Duo,,,n/a,,Genuine Windows 7 Home Premium 32-bit,31.8 lbs .,
