<page title>,deal first added on,ean13,last updated,manufactured in,manufacturer,product name,product number mpn,retail price,upc,processor manufacturer,processor type,hard drive size,num of processors,processor speed,ram,ram type,computer hardware,ean14,operating system,weight,dimensions,modem,cddvd drive,floppy disk drive,hard drive,keyboard mouse,memory,processor,battery,camera,card reader,color,display,graphics,input output,storage,wireless,monitor resolution
"Compaq Presario V2410US 14"" Notebook PC on sale for $707.48",11-December-2005,0882780222465,01-November-2014,,Hewlett-Packard,"Compaq Presario V2410US 14 '' Notebook PC ( AMD Turion 64 Processor ML-30 , 512 MB RAM , 80 GB Hard Drive , DVD+/-R/RW and CD-RW Combo Drive )",EH459UA # ABA,$ 1287.00,882780222465.0,AMD,AMD Turion 64,80 Gb,1.0,,,"DDR SDRAM , DDR DRAM",Notebook Computer,,Windows XP Home Edition,5 lbs .,13.15 x 9.1 x 1.53 in .,56 Kbps,"Offering the latest in DVD writing technology , this multiformat DVD/CD drive is compatible with both DVD+ and DVD- disc formats as well as dual-layer ( DL ) DVD+R discs , which can store up to 8.5 GB of data . It features 16x DVD+R , 8x DVD-R , 4x DVD+/-RW , 2.4x DVD+R DL , 16x DVD-ROM , 40x CDR , 24x CD-RW , and 40x CD-ROM ROM speeds .",None,The 80 GB hard drive ( 4200 RPM ) is a bit above average in size for notebook PCs . It offers more than enough capacity for storing documents and productivity software for road warriors . You 'll also be able to store a good-sized digital audio library .,This notebook has a full-sized 101-key keyboard and touchpad with four-way scroll zone on/off button and dedicated vertical scroll up/down pad .,"The 512 MB of installed RAM ( PC3200 ) is enough to get you started , but you 'll want to add more RAM to handle today 's demanding multimedia and productivity suites . This desktop has a 2 GB maximum RAM capacity .","Combining strong performance with efficient usage of power , the 1.6 GHz AMD Turion 64 ML-30 is uniquely optimized to power today 's thinnest notebooks . It 's also built for tomorrow 's 64-bit applications , which will require a processor with significant power . It includes such AMD technology features as HyperTransport ( which increases the communication between integrated circuits ) , PowerNow ! ( which enables longer battery life and reduced heat generation ) , and Enhanced Virus Protection ( which works with Windows XP Service Pack 2 to better withstand attacks from certain classes of viruses ) . It also features a 512 KB L2 cache and up to 1600 MHz front-side bus . ( An L2 , or secondary , cache temporarily stores data ; and a larger L2 cache can help speed up your system 's performance . )",Lithium Ion,,,,,,,,,1280 x 768
HP Pavilion dm1-2010nr Notebook on sale for $190.00,22-August-2012,0885631491645,01-November-2014,,Hewlett-Packard,HP Pavilion dm1-2010nr Notebook with 11.6 '' Display,dm1-2010nr,,885631491645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C55-B5270 15.6"" Laptop on sale for $345.99",29-August-2014,0022265805008,01-November-2014,,Toshiba,"Toshiba Satellite C55-B5270 15.6 '' Laptop with 8GB Memory , 500GB Hard Drive , Windows 8.1 )",C55-B5270,$ 509.99,22265805008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i15R-1579sLV 15"" Laptop on sale for $908.94",11-December-2012,0884116097792,01-November-2014,,Dell,Dell Inspiron i15R-1579sLV 15 '' Laptop,i15R-1579sLV,$ 669.00,884116097792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alienware ALW17-4681sLV 17"" Laptop on sale for $1813.37",23-September-2013,0884116120698,01-November-2014,,Dell,"Alienware ALW17-4681sLV 17 '' Laptop with Core i7 , 8GB RAM , 750GB HD",ALW17-4681sLV,$ 1800.00,884116120698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archos 101 Android Internet Tablet on sale for $320.00,17-December-2010,0690590515949,01-November-2014,,Archos,Archos 101 Android Internet Tablet ( 16GB ),501594,$ 349.99,690590515949.0,ARM,,16 Gb,1.0,1 GHz,,,,,,,,None,,,,,,,,,,,,,,,,
"Toshiba Satellite C55-A5300 15.6"" Laptop on sale for $298.48",21-November-2013,0022265517529,01-November-2014,,Toshiba,"Toshiba Satellite C55-A5300 15.6 '' Laptop with 500GB HD , 4GB RAM , Windows 8",PSCFEU-00M00G,$ 349.99,22265517529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoBook X202E-DH31T 11.6"" Touch on sale for $349.00",11-December-2012,0886227338436,01-November-2014,,Asus,Asus VivoBook X202E-DH31T 11.6 '' Touch Laptop,X202E-DH31T,$ 599.00,886227338436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro ME864LL/A 13.3"" Laptop on sale for $986.99",26-March-2014,0885909851546,05-October-2014,Made in Germany,Apple,"Apple MacBook Pro ME864LL/A 13.3 '' Laptop with Retina Display , 2.4GHz Core i5 , 128GB SSD ( 2014 Version )",ME864LL/A,$ 1299.00,885909851546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X200CA-DH21T 11.6"" Touchscreen on sale for $246.98",24-March-2014,0886227594443,01-November-2014,,Asus,"Asus X200CA-DH21T 11.6 '' Touchscreen Laptop with 4GB RAM , 500GB HD , Windows 8",X200CA-DH21T,$ 399.00,886227594443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire Switch 10 Detachable 2 in 1 on sale for $299.99,7-August-2014,0880959820672,01-November-2014,,Acer,Acer Aspire Switch 10 Detachable 2 in 1 Touchscreen Laptop ( 32GB ),SW5-011-18R3,$ 379.99,887899626890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad Helix 11.6"" Convertible on sale for $1107.39",13-August-2013,0887619336450,05-October-2014,,Lenovo,"Lenovo ThinkPad Helix 11.6 '' Convertible Touchscreen Notebook PC with Core i7 , 8GB RAM , 256GB SSD ( 36984SU )",36984SU,$ 2179.99,887619336450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro ME293LL/A 15.4"" Laptop on sale for $1599.00",26-March-2014,0885909742639,01-November-2014,Made in Germany,Apple,"Apple MacBook Pro ME293LL/A 15.4 '' Laptop with Retina Display , 2GHz Core i7 , 256GB SSD ( 2014 Version )",ME293LL/A,$ 1999.00,885909742639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Y50 15.6"" Laptop on sale for $959.00",8-August-2014,0888772086565,01-November-2014,,Lenovo,"Lenovo Y50 15.6 '' Laptop with Core i7-4710HQ , 8GB RAM , NVidia GeForce 860M 2GB , 1TB Hard Drive + 8GB SSD , Windows 8.1 ( 59421845 )",59421845,$ 1159.00,888772086565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5-473P-5602 14"" Signature on sale for $638.98",7-August-2014,0887899559174,01-November-2014,,Acer,"Acer Aspire V5-473P-5602 14 '' Signature Edition Laptop with Core i5 , 4GB RAM , 500GB HD , Windows 8.1",B-CWF-01768,$ 699.99,887899559174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite C855D-S5340 15.6"" on sale for $338.40",23-November-2012,0022265278741,01-November-2014,,Toshiba,"Toshiba Satellite C855D-S5340 15.6 '' Laptop with 320GB HD , 4GB RAM , Windows 8",PSCBQU-001005,$ 399.99,22265278741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook 13.3"" Notebook on sale for $1524.99",13-August-2010,0885909401468,01-November-2014,,Apple,"Apple MacBook 13.3 '' Notebook ( White , # MC516LL/A )",MC516LL/A,$ 999.99,885909401468.0,Intel,Intel Core Duo,250 Gb,1.0,2.4 GHz,2 Mb,DDR SDRAM,,,,,,,,,,,,,,,,,,,,,,1280 x 800
"Lenovo ThinkPad X201T 12.1"" Tablet on sale for $1799.00",16-February-2011,0884942953187,01-November-2014,,Lenovo,"Lenovo ThinkPad X201T 12.1 '' Tablet with Core i7-640LM , 4GB RAM , 320GB HD",,$ 2199.00,884942953187.0,,Intel Core i7,320 Gb,,,4 Gb,,,,,,,,,,,,,,,,,,,,,,,
"Asus K55N-DB81 15.6"" Notebook on sale for $532.62",31-July-2013,0886227503094,01-November-2014,,Asus,"Asus K55N-DB81 15.6 '' Notebook with AMD A8 1.9GHz , 6GB RAM , 750GB HD , Windows 8",K55N-DB81,$ 449.00,886227503094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus S400CA-BSI3T12 Ultrabook 14"" Touch on sale for $599.99",29-November-2013,0886227385157,01-November-2014,,Asus,"Asus S400CA-BSI3T12 Ultrabook 14 '' Touch Laptop with Core i3 1.8GHz , 4GB RAM , 500GB HD",,,886227385157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S500 Touch 15.6"" on sale for $439.99",28-August-2013,0887770679847,01-November-2014,,Lenovo,"Lenovo IdeaPad S500 Touch 15.6 '' Touchscreen Notebook with Core i3 , 4GB RAM , 500GB HD , Windows 8",59371478,$ 649.00,887770679847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS 13 Signature Edition Touchscreen on sale for $899.00,27-August-2014,0884116146339,01-November-2014,,Dell,Dell XPS 13 Signature Edition Touchscreen Notebook PC ( 13ULT-4289sLV ),XPS13ULT-4289sL,$ 1199.99,884116146339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Yoga 13 Multi-Mode on sale for $576.80,19-October-2013,0887619680973,01-November-2014,,Lenovo,Lenovo IdeaPad Yoga 13 Multi-Mode Touchscreen Ultrabook ( Gray ),59359567,$ 1099.99,887619680973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad Edge 15 Notebook on sale for $329.98,16-March-2012,0886843378939,01-November-2014,,Lenovo,"Lenovo ThinkPad Edge 15 Notebook ( # 0302A22 , with AMD Turion II P560 2.5GHz , 2GB DDR3 , 250GB HDD , Windows 7 Home Premium 64-bit )",0302A22,$ 533.65,886843378939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook S400CA-DH51T 14.1"" Touch on sale for $780.98",11-December-2012,0886227340699,01-November-2014,,Asus,ASUS VivoBook S400CA-DH51T 14.1 '' Touch Ultrabook,S400CA-DH51T,$ 699.00,886227340699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire AS5750G-6653 15.6"" Laptop on sale for $666.26",29-July-2012,0886541130389,01-November-2014,,Acer,"Acer Aspire AS5750G-6653 15.6 '' Laptop ( 2.4 GHz Intel Core i5-2430M Processor , 6 GB RAM , 640 GB HD , Windows 7 Home Premium 64-bit )",LX.RMU02.095,$ 848.93,886541130389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus Q501LA-BSI5T19 Laptop on sale for $499.95,12-August-2014,0886227649327,01-November-2014,,Asus,"Asus Q501LA-BSI5T19 Laptop with IPS 15.6 '' FHD Touchscreen Display , Core i5-4200U , 8GB RAM , 750GB HD , Windows 8.1",Q501LA-BSI5T19,$ 899.99,886227649327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Y40 14"" Gaming Laptop on sale for $999.00",8-August-2014,0888772192341,01-November-2014,,Lenovo,"Lenovo Y40 14 '' Gaming Laptop with Core i7 , Radeon R9 M275 4GB , 512GB SSD , 16GB RAM , Windows 8.1 ( 59423032 )",,,888772192341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro MD101LL/A 13.3"" on sale for $824.79",1-October-2012,0885909582969,05-October-2014,Made in Germany,Apple,Apple MacBook Pro MD101LL/A 13.3 '' Notebook ( released Fall 2012 ),MD101LL/A,$ 1199.00,885909582969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus A53U-AS22 15.6"" Notebook on sale for $558.48",16-December-2012,0886227162192,01-November-2014,,Asus,"Asus A53U-AS22 15.6 '' Notebook with 500GB HD , 4GB RAM , Windows 7 Home Premium ( Mocha )",A53U-AS22,$ 449.99,886227162192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro ME865LL/A 13.3"" Laptop on sale for $1169.00",26-March-2014,0885909852000,01-November-2014,Made in Germany,Apple,"Apple MacBook Pro ME865LL/A 13.3 '' Laptop with Retina Display , 2.4GHz Core i5 , 256GB SSD ( 2014 Version )",ME865LL/A,$ 1499.00,885909852000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 5 14"" Touchscreen on sale for $866.61",2-December-2013,0887276979397,01-November-2014,,Samsung,"Samsung ATIV Book 5 14 '' Touchscreen Ultrabook with Core i5 , 500GB HD , 4GB RAM , Windows 8 ( NP540U4E-K01US )",NP540U4E-K01US,$ 899.99,887276979397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 15z 15.6"" Ultrabook on sale for $579.99",1-December-2013,0884116119968,01-November-2014,,Dell,"Dell Inspiron 15z 15.6 '' Ultrabook with Core i5 , 6GB RAM , 500GB HD + 32GB SSD , Windows 8.1 ( i15z-3992sLV )",i15z-3992sLV,$ 1000.00,884116119968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO Fit 15E 15.5"" Touch Laptop on sale for $720.00",13-August-2013,0027242961968,01-November-2014,,Sony,"Sony VAIO Fit 15E 15.5 '' Touch Laptop with Core i5 , 6GB RAM , 750GB HD , Windows 8 ( SVF15215CXW )",SVF15215CXW,$ 829.99,27242961968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoBook S500CA-SI30401U 15.6"" on sale for $508.55",13-May-2014,0886227415540,01-November-2014,,Asus,"Asus VivoBook S500CA-SI30401U 15.6 '' Touchscreen Ultrabook Laptop with Intel Core i3-3217U , 4GB RAM , 500GB Hard Drive , 24GB SSD , Windows 8",S500CA-SI30401U,$ 599.99,886227415540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MD231LL/A 13.3"" on sale for $798.99",1-October-2012,0885909523504,01-November-2014,,Apple,Apple MacBook Air MD231LL/A 13.3 '' Notebook ( released Fall 2012 ),MD231LL/A,$ 1199.00,885909523504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion DM1-4310nr 11.6"" T-Mobile 4G on sale for $249.99",4-August-2013,0887111701220,01-November-2014,,Hewlett-Packard,HP Pavilion DM1-4310nr 11.6 '' T-Mobile 4G Notebook with 2-Years of 4G Broadband Free ( C2K41UAR # ABA ),DM1-4310nr,$ 499.99,887111701220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 17R-N7110 17.3"" Notebook",28-July-2012,0884116069225,01-November-2014,,Dell,"Dell Inspiron 17R-N7110 17.3 '' Notebook with Intel Core i7-2630QM Processor , 750GB HD , 8GB RAM , Windows 7 Home Premium 64-bit",17R N7110,$ 1299.99,884116069225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archos 101 Android Internet Tablet on sale for $239.44,17-December-2010,0690590515901,01-November-2014,,Archos,Archos 101 Android Internet Tablet ( 8Gb ),501590,$ 299.99,690590515901.0,ARM,,8 Gb,1.0,1 GHz,,,,,,,,None,,,,,,,,,,,,,,,,
HP Envy TouchSmart m7-j020dx Notebook on sale for $679.99,3-April-2014,0888182135211,01-November-2014,,Hewlett-Packard,"HP Envy TouchSmart m7-j020dx Notebook with Intel Core i7-4700MQ 2.4GHz , 8GB RAM , 1TB HD",E4S19UA # ABA,,888182135211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Twist S230u 12.5"" Touch Ultrabook on sale for $449.99",20-December-2012,0887619074925,05-October-2014,,Lenovo,Lenovo Twist S230u 12.5 '' Touch Ultrabook,59331887,$ 899.99,887619074925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion g7-2240us 17.3"" Laptop on sale for $512.99",11-December-2012,0887111367099,01-November-2014,,Hewlett-Packard,HP Pavilion g7-2240us 17.3 '' Laptop ( Black ),g7-2240us,$ 629.99,887111367099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus G750JW-BBI7N05 17.3"" Gaming Laptop on sale for $1099.00",24-July-2014,0700371985929,01-November-2014,,Asus,"Asus G750JW-BBI7N05 17.3 '' Gaming Laptop with Intel Core i7-4700HQ , 8GB RAM , 1TB Hard Drive , Windows 8",G750JW-BBI7N05,$ 1449.00,700371985929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 17R i17R-1842sLV 17.3"" on sale for $1309.98",28-March-2013,0884116097518,01-November-2014,,Dell,"Dell Inspiron 17R i17R-1842sLV 17.3 '' Laptop Core i7-3632QM 2.2GHz , 8GB RAM , 1TB HD , GeForce 1GB , Windows 8",i17R-1842sLV,$ 849.00,884116097518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus VivoBook S500CA-US71T Touchscreen on sale for $769.00,9-August-2013,0886227425105,01-November-2014,,Asus,"Asus VivoBook S500CA-US71T Touchscreen Ultrabook with Core i7 , 500GB HD , 4GB RAM , Windows 8",,$ 799.99,886227425105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MD232LL/A 13.3"" Laptop on sale for $1177.99",11-December-2012,0885909523511,01-November-2014,,Apple,Apple MacBook Air MD232LL/A 13.3 '' Laptop with 256GB SSD ( June 2012 ),MD232LL/A,$ 1499.00,885909523511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MC965LL/A 13.3"" on sale for $907.99",7-October-2011,0885909463619,01-November-2014,Made in Germany,Apple,"Apple MacBook Air MC965LL/A 13.3 '' Notebook with dual-core Intel Core i5 , 128GB SSD Hard Drive",MC965LL/A,$ 1299.00,885909463619.0,Intel,Intel Core i5,128 Gb,1.0,1.7 GHz,4 Gb,SDRAM,,,,,,,,,,,,,,,,,,,,,,
"Asus Taichi 21-DH71 11.6"" Convertible on sale for $929.99",4-August-2013,0886227338429,01-November-2014,,Asus,"Asus Taichi 21-DH71 11.6 '' Convertible Touch Ultrabook with Core i7 , 256GB SSD HD",Taichi21-DH71,,886227338429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro MB991LL/A 13.3"" on sale for $2258.99",29-July-2009,0885909296545,01-November-2014,,Apple,Apple MacBook Pro MB991LL/A 13.3 '' Notebook,MB991LL/A,$ 1499.00,885909296545.0,Intel,Intel Core Duo,,2.0,,,DDR2 SDRAM,,,,9 lbs .,,None,,None,,,,,,,,,,,,,,
"Asus Zenbook Prime UX31A-DH71 13.3"" on sale for $719.00",29-November-2013,0886227325665,01-November-2014,,Asus,"Asus Zenbook Prime UX31A-DH71 13.3 '' Laptop with Core i7 , 256 SSD , 4GB RAM , Windows 8",UX31A-DH71,$ 1499.00,886227325665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire One AO756-2641 11.6"" Laptop on sale for $499.99",11-December-2012,0886541755896,01-November-2014,,Acer,Acer Aspire One AO756-2641 11.6 '' Laptop ( Ash Black ),AO756-2641,$ 329.99,886541755896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus UX32A-DB51 Zenbook Prime 13.3""",29-July-2012,0191120004730,01-November-2014,,Asus,"Asus UX32A-DB51 Zenbook Prime 13.3 '' Ultrabook with Core i5 , 500GB",UX32A-DB51,$ 1019.00,191120004730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad U310 13.1"" Touchscreen on sale for $649.00",13-August-2013,0887770099829,01-November-2014,,Lenovo,"Lenovo IdeaPad U310 13.1 '' Touchscreen Notebook PC with Core i5 , 4GB RAM , 500GB HD + 24GB SSD , Windows 8 ( U310T-20222 )",U310T-20222,$ 719.99,887770099829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5 Touch V5-131-2629 12"" on sale for $344.94",31-July-2013,0887899090912,01-November-2014,,Acer,"Acer Aspire V5 Touch V5-131-2629 12 '' Notebook with Celeron 1.5GHz , 4GB RAM , 500GB HD , Windows 7",NX.M89AA.004 ; V5,$ 440.53,887899090912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Zenbook UX32A-RHI5N31 13.3"" on sale for $685.50",3-August-2013,0886227303373,01-November-2014,,Asus,"Asus Zenbook UX32A-RHI5N31 13.3 '' Ultrabook with 500GB HD & 24GB SSD Cache , 4 GB RAM , Intel Core i5-3317U , and Windows 8",UX32A-RHI5N31,$ 1099.99,886227303373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire S7 13.3"" Touchscreen on sale for $1217.67",7-August-2014,0887899315664,01-November-2014,,Acer,"Acer Aspire S7 13.3 '' Touchscreen Ultrabook with Core i7 , 8GB RAM , 256GB SSD ( S7-392-9439 )",S7-392-9439,$ 1799.99,887899315664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X551MA 15.6"" Laptop on sale for $199.95",7-August-2014,0886227654079,01-November-2014,,Asus,"Asus X551MA 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8 ( X551MA-RCLN03 )",X551MA-RCLN03,$ 399.99,886227654079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony VAIO VGN-S460/B 13.3"" Notebook PC on sale for $758.48",25-July-2005,0027242675797,01-November-2014,,Sony,"Sony VAIO VGN-S460/B 13.3 '' Notebook PC ( Intel Pentium M Processor 740 , 512 MB RAM , 80 GB HArd Drive , DVD+R Dbl Layer/DVD+/-RW Drive )",VGN-S460/B,$ 1910.00,27242675797.0,Intel,Mobile Intel Pentium 4 Processor,80 Gb,1.0,,,DDR SDRAM,Notebook Computer,27242675797.0,Windows XP Home Edition,4 lbs . 4.30 lbs,12.3 x 8.85 x 1.39 in .,56 Kbps,,None,,,,,Lithium Ion,,,,,,,,,
"Asus Zenbook UX31E-DH72 13.3"" Ultrabook on sale for $1507.49",12-May-2012,0884840974161,01-November-2014,,Asus,Asus Zenbook UX31E-DH72 13.3 '' Ultrabook ( Silver Aluminum ),UX31E-DH72,$ 1499.99,884840974161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer C7 Chromebook 11.6"" Intel Dual Core on sale for $197.10",18-August-2013,0886541817969,05-October-2014,,Acer,"Acer C7 Chromebook 11.6 '' Intel Dual Core 1.1 GHz , 2GB RAM , 320GB HD ( C710-2847 )",NU.SH7AA.004,$ 299.99,886541817969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire S3-951-6646 13.3"" Ultrabook on sale for $859.42",29-July-2012,0886541243447,01-November-2014,,Acer,"Acer Aspire S3-951-6646 13.3 '' Ultrabook with Core i5 , 320GB HD , Windows 7 Home Premium",S3-951-6646 ; LX .,$ 849.99,886541243447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Zenbook UX31E-DH52 13.3"" Thin and on sale for $1483.96",23-March-2012,0884840975076,01-November-2014,,Asus,Asus Zenbook UX31E-DH52 13.3 '' Thin and Light Ultrabook,UX31E-DH52,$ 1099.00,884840975076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion dv6-6110us 15.6"" on sale for $808.63",18-August-2011,0886111831364,01-November-2014,,Hewlett-Packard,"HP Pavilion dv6-6110us 15.6 '' Entertainment Notebook with Quad-Core A6-3400M , 640GB HD , Windows 7 Home Premium )",LW261UA # ABA,$ 649.99,886111831364.0,AMD,AMD A Series,0 Gb,1.0,0 Mhz,0 Mb,unknown,,,,,,,,,,,,,,,,,,,,,,
Acer C720 16GB Chromebook on sale for $145.00,7-August-2014,0887899315954,05-October-2014,,Acer,"Acer C720 16GB Chromebook ( 11.6 '' , 2GB RAM )",C720-2848,$ 199.99,887899297427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air MC969LL/A 11.6"" on sale for $911.99",26-July-2011,0885909464043,01-November-2014,Made in Germany,Apple,"Apple MacBook Air MC969LL/A 11.6 '' Notebook with 128GB SSD Drive , Core i5 , 4GB RAM , OS X Lion",MC969LL/A,$ 1199.00,885909464043.0,Intel,Intel Core i5,128 Gb,1.0,1.6 GHz,4 Gb,SDRAM,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro ME294LL/A 15.4"" Laptop on sale for $1499.00",26-March-2014,0885909742646,01-November-2014,Made in Germany,Apple,"Apple MacBook Pro ME294LL/A 15.4 '' Laptop with Retina Display , 2.3Ghz Core i7 , 512GB SSD ( 2014 Version )",ME294LL/A,$ 2599.00,885909742646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad S400 14"" Touchscreen on sale for $469.99",21-November-2013,0887942607401,01-November-2014,,Lenovo,"Lenovo IdeaPad S400 14 '' Touchscreen Laptop with 500GB HD , 4GB RAM , Windows 8 ( S400-59385916 )",59385916,$ 529.99,887942607401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus ROG G750JM-DS71 17.3"" Gaming on sale for $1305.99",27-March-2014,0886227687664,05-October-2014,,Asus,"Asus ROG G750JM-DS71 17.3 '' Gaming Notebook with Core i7 , 12GB RAM , 1TB 7200rpm HD , Windows 8.1",90NB04J1-M00040,$ 1399.00,886227687664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron i14z-5000sLV 14"" Ultrabook on sale for $887.98",11-December-2012,0884116083542,01-November-2014,,Delk Products,Dell Inspiron i14z-5000sLV 14 '' Ultrabook ( Silver ),i14z-5000sLV,$ 799.99,884116083542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Satellite Click 2-in-1 13.3"" on sale for $339.95",6-May-2014,0022265605073,01-November-2014,,Toshiba,"Toshiba Satellite Click 2-in-1 13.3 '' Touchscreen Laptop with 4GB RAM , 500GB HD ( W35DT-A3300 )",PSD24U-003003,$ 300.00,22265605073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Q550LF-BBI7T07 15.6"" Touchscreen on sale for $759.00",11-April-2014,0886227562886,01-November-2014,,Asus,"Asus Q550LF-BBI7T07 15.6 '' Touchscreen Laptop with Core i7 , 8GB RAM , 1TB HD",Q550LF-BBI7T07,$ 1000.00,886227562886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 4 15.6"" Laptop on sale for $704.49",27-March-2014,0887276979366,01-November-2014,,Samsung,"Samsung ATIV Book 4 15.6 '' Laptop with 2.0 GHz Intel Core i7 , 8GB RAM , 750GB HD , Windows 8 ( NP470R5E-K02UB )",NP470R5E-K02UB,$ 899.99,887276979366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iPad Tablet on sale for $405.94,4-May-2010,0885909195862,05-October-2014,,Apple,"Apple iPad Tablet ( 64GB , Wi-Fi Version , # MB294LL/A )",MB294LL/A,$ 699.00,885909195862.0,"N/A , Apple",unknown,64 Gb,1.0,1 GHz,64 Gb,,,,,,,None,,,,,,,,,,,,,,,,
"Dell Alienware 18 18"" Gaming Laptop on sale for $2087.79",27-March-2014,0884116134527,01-November-2014,,Dell,"Dell Alienware 18 18 '' Gaming Laptop with Core i7 , 8GB RAM , 750GB HD , Windows 7 Premium ( ALW18-3002sLV )",ALW18-3002sLV,$ 2199.99,884116134527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire S7-392-6807 Signature Edition on sale for $1092.99,8-August-2014,0887899315657,01-November-2014,,Acer,"Acer Aspire S7-392-6807 Signature Edition 13.3 '' WQHD Touchscreen Ultrabook with Core i5 , 8GB RAM , 128GB SSD , Windows 8.1",S7-392-6807,$ 1499.99,887899315657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
