<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"UM.VG7EE.005, ACEG237HLBI, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",,,,,CrystalBrite,MPR II,Yes,,Yes,,,178Â°,2 Year,"Acer, Inc",UM.VG7EE.005,1920 x 1080,1.0,,25 W,G237HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,,,G237HL,G237HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,,490 mW,,,178Â°,,,Yes,,,185 mm,402 mm,220 V AC 110 V AC,,532 mm,,,,,,450 mW,G,,No,-5Â°to15Â°,,31 kWh,A,,,,,,,,,,,,,,,,,,,,
"ES220d, EDGMON056, Edge10, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Edge10,300 cd/mÂ²,,CE cULus FCC ISO 9241-307 Class II,Black,16.7 Million Colours,"10,000:1",,,,Yes,Security Lock,ENERGY STAR WEEE,Yes,,,,,170Â°,3 Year,Edge10 Corporation Limited,ES220d,1920 x 1080,1.0,,21 W,"21.5"" LED Full HD Display with Dual Input (DVI & VGA) Power Cable VGA Cable",,Mac PC,,ES220d,"21.5"" LED Full HD Display with Dual Input (DVI & VGA)",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,75 Hz,1 W,,,170Â°,Yes,100 x 100,Yes,3.33 kg,,160 mm,456 mm,220 V AC 110 V AC,,507 mm,,,,,,1 W,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"60ABAAT1UK, LNVCMG10, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,Lenovo,200 cd/mÂ²,,"KC BELLIS CSA SABS CCC CE GOST INSM PSB BSMI SASO ISC STZ IEC-950 CB Report,KUCAS JEITA IRAM-S NOM KVALITET NEMKO",Black,16.7 Million Colours,600:1,53 mm,,,,,China RoHS EPEAT Silver EU RoHS China Energy Label (CEL) Turkey RoHS ENERGY STAR 6.0 Ukraine RoHS,Yes,,,,274.9 mm,,3 Year,Lenovo Group Limited,60ABAAT1UK,1600 x 900,1.0,,17 W,ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor Power Cord,,,ThinkVision,LT2013s,ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor (UK Power Cord),LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,,,,,50Â°,Yes,,Yes,2.89 kg,467 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WG6EE.H01, 8654N51, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",36 mm,,,Yes,,MPR II,Yes,Yes,,,311 mm,178Â°,2 Year,"Acer, Inc",UM.WG6EE.H01,1920 x 1080,1.0,,20.50 W,G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Vertical Alignment (VA),,,G226HQL,G226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,60 Hz,340 mW,,,178Â°,No,,Yes,2.60 kg,511 mm,168 mm,365 mm,220 V AC 110 V AC,Anti-glare,511 mm,,,,,No,300 mW,G,,No,-5Â°to15Â°,2.90 kg,,,,,,,,,,,,,,,,,,,,,,
"VX2209, B921663, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Viewsonic,250 cd/mÂ²,,CE CU EAC,,16.7 Million Colours,"20,000,000:1",33.6 mm,,,Yes,Eco Mode,RoHS WEEE,Yes,,,,297.8 mm,170Â°,2 Year,Viewsonic Corporation,VX2209,1920 x 1080,1.0,,24 W,"VX2209 22"" Full HD LED Display Power Adaptor VGA Cable User Manual",,Mac PC,,VX2209,"VX2209 22"" Full HD LED Display",LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,75 Hz,,,,160Â°,Yes,75 x 75,Yes,2.46 kg,501.1 mm,215 mm,355.80 mm,230 V AC 120 V AC,Anti-glare,501.10 mm,,,,,,,VX,,,-3Â°to20Â°,3.07 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.WK3EE.005, PBVISEO223DXBD, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Packard Bell,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,MPR II EPEAT Gold,Yes,Yes,,,304.5 mm,90Â°,,"Acer, Inc",UM.WK3EE.005,1920 x 1080,1.0,,18.10 W,Viseo223DX Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,Viseo,Viseo223DX,Viseo223DX Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,60 Hz,450 mW,,,65Â°,Yes,100 x 100,Yes,2.70 kg,508 mm,207 mm,390.50 mm,110 V AC 220 V AC,Anti-glare,508 mm,,,,,No,350 mW,,,No,-5Â°to25Â°,3.10 kg,,,,,,,,,,,,,,,,,,,,,,
"243V5LSB/00, 2889771, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,,BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307,Black,16.7 Million Colours,"1,000:1",52 mm,,,Yes,Security Lock Sync on Green SmartControl,ENERGY STAR 6.0 WEEE TCO Certified Displays EPEAT Silver RoHS,Yes,Yes,,,344 mm,170Â°,2 Year,Philips Electronics,243V5LSB/00,1920 x 1080,1.0,,16.70 W,,,PC Mac,,243V5LSB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.22 kg,551 mm,220 mm,420 mm,110 V AC 220 V AC,,551 mm,,,,,,500 mW,V,,,,3.66 kg,,,,,,,,,,,,,,,,,,,,,,
"F8C55AT#ABU, 943ASGM, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,200 cd/mÂ²,,,Black,,"3,000,000:1",46.9 mm,,,,Security Lock,WEEE REACH,Yes,,,,288.7 mm,90Â°,1 Year,Hewlett-Packard,F8C55AT#ABU,1600 x 900,1.0,,23 W,"V201a 49,4 cm (19.45'') LED Backlit Monitor (F8C55AT) AC power cord VGA cable Audio cable Printed documentation Display Assistant (software)",,,Business,V201a,"V201a 49,4 cm (19.45'') LED Backlit Monitor (F8C55AT)",LCD Monitor,5 ms,HD+,"49.4 cm (19.5"")",,,500 mW,,,50Â°,,,Yes,2.80 kg,468 mm,190 mm,355.30 mm,220 V AC 110 V AC,Anti-glare,468 mm,,,,,,,Value,,,-5Â°to15Â°,,,,,,,,,,,,,,,,,,,,,,,
"22MP55HQ-P, 2998247, LG Electronics, LCD Monitor, Itenergy Ltd",Yes,,Yes,16:9,,LG,250 cd/mÂ²,,,High Glossy Black,16.7 Million Colours,"5,000,000:1",61 mm,,No,No,Super Energy Saving Flicker-free Reading Mode,,,Yes,Yes,Yes,312.4 mm,178Â°,,LG Electronics,22MP55HQ-P,1920 x 1080,1.0,,20 W,,In-plane Switching (IPS) Technology,PC,,22MP55HQ-P,22MP55HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,,,,,178Â°,Yes,75 x 75,Yes,4.10 kg,508 mm,187.96 mm,416.56 mm,,Anti-glare,508 mm,,,,83 kHz,,300 mW,MP55,,,-3Â°to20Â°,,,,Panel-mountable,,,,,,,,,,,,,,,,,,,
"24MP55HQ-P, 2998421, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,250 cd/mÂ²,,,High Glossy Black,16.7 Million Colours,"5,000,000:1",55 mm,,No,No,Flicker-free Super Energy Saving Reading Mode,ENERGY STAR,Yes,,Yes,,332 mm,178Â°,,LG Electronics,24MP55HQ-P,1920 x 1080,1.0,,22 W,,In-plane Switching (IPS) Technology,PC,,24MP55HQ-P,24MP55HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",,60 Hz,300 mW,,,178Â°,Yes,100 x 100,Yes,3.10 kg,544 mm,188 mm,440 mm,,Anti-glare,544 mm,,,,83 kHz,,300 mW,,,,-3Â°to20Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"E5Z95AA#ABU, 3040570, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,Speaker,CB CE TUV-GS ETL S-mark,Black,,"3,000,000:1",46.9 mm,Landscape,,Yes,Security Lock,WEEE TCO '99 EPEAT Silver REACH ENERGY STAR TÃV MPR II,Yes,Yes,,,347.7 mm,170Â°,1 Year,Hewlett-Packard,E5Z95AA#ABU,1920 x 1080,1.0,,30 W,"V241a 59,94 cm (23.6'') LED Backlit Monitor (ENERGY STAR)(E5Z95AA) VGA Cable Audio Cable AC Power Cord Printed Documentation and CD HP Display Assistant Software",,,Business,V241a,"V241a 59,94 cm (23.6'') LED Backlit Monitor (ENERGY STAR)(E5Z95AA)",LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",Yes,,500 mW,,,160Â°,,,Yes,,563.3 mm,204.10 mm,412.40 mm,230 V AC 120 V AC,Anti-glare,563.30 mm,,,,,,,Value,,360Â°,-5Â°to20Â°,4 kg,,,,,,,,,,,,,,,,,,,,,,
"XB2483HSU-B1, IIYXB2483HSUB, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,iiyama,250 cd/mÂ²,Speaker USB Hub,CE TÃV-GS VCCI-B PSE CU,Black,16.7 Million Colours,"3,000:1",,,,Yes,Security Lock,ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,Yes,Yes,,178Â°,3 Year,"iiyama North America, Inc",XB2483HSU-B1,1920 x 1080,1.0,2.0,27 W,"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand Power cable D-Sub signal cable DVI-D cable USB cable Audio cable Stand Stand-base Quick start guide Safety guide",Advanced-Multi-domain Vertical Alignment Plus (A-MVA+),PC,ProLite,XB2483HSU,"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand",LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,75 Hz,500 mW,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,5 kg,,230 mm,516.50 mm,,,565.50 mm,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS22C45KBSV/EN, 886H968, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Samsung,250 cd/mÂ²,,"Eco Label Certifications:UL 60950-1CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NAME -019-SCFI-1993IRAM IEC60950-1SASO: IEC60950-1EMC:FCC Part 15 Subpart B Class ACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS / NZS3548 ( CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",Matte Black,16.7 Million Colours,"1,000:1",55.5 mm,,No,Yes,Eco Saving MagicTune MagicRotation MagicAngle MagicBright3 MultiScreen Off Timer,ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,,No,,301.9 mm,170Â°,1 Year,Samsung,LS22C45KBSV/EN,1920 x 1080,1.0,,24 W,"21.5"" S22C450B Series 4 LED Business MonitorD-Sub CableDVI CablePower Cablee-ManualCD-ROMQuick Installation Guide",,PC,Business,S22C450B,"21.5"" S22C450B Series 4 LED Business Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,,100 mW,,,160Â°,Yes,100 x 100,Yes,3.05 kg,504.3 mm,210 mm,425.35 mm,110 V AC 220 V AC,,504.30 mm,,,,,,,450,,,,4.50 kg,,,,,,,Yes,Plastic,,,,,,,,,,,,,,
"247E3LHSU2/00, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,Speaker,PSBSASOSEMKOTUV ErgoTUV/GSUL/cULBSMICEFCC Class BGOST,Blue Tint Glossy Black,16.7 Million Colours,"1,000:1",41 mm,,,,Security Lock SmartImage,WEEE TCO Certified Displays RoHS ENERGY STAR 5.0 EPEAT Silver,Yes,,Yes,Yes,363 mm,170Â°,,Philips Electronics,247E3LHSU2/00,1920 x 1080,1.0,2.0,17.53 W,,,PC Mac,,247E3LHSU2,"LCD Monitor, LED Backlight with SmartImage Lite",LCD Monitor,2 ms,Full HD,"59.9 cm (23.6"")",Yes,60 Hz,500 mW,,,160Â°,,,Yes,3.97 kg,579 mm,238 mm,442 mm,220 V AC 110 V AC,,579 mm,,,,,,300 mW,E,,,,4.50 kg,,,,,,,,,,,,,,,,,,,,,,
"R72MCUK, S602YA2, Lenovo, LCD Monitor, Itenergy Ltd",Yes,,Yes,16:10,LED,Lenovo,250 cd/mÂ²,,UL CSA CE CCC GS TUV IECEE CB Certificate (world-wide - IEC-950/EN 60950) SEMKO NEMKO SASO KC JEITA TUV-S CSC GOST Ukraine PSB BSMI Belarus FCC Class B IC KVALITET ISO 9241-307 VCCI AS/NZA,,,"1,000:1",420.1 mm,,Yes,Yes,Security Lock,EPA TCO Certified Edge Displays 1.1 MPR II ENERGY STAR 6.0 CECP China RoHS RoHS ULE Gold EPEAT Gold,Yes,,,,232.9 mm,170Â°,3 Year,Lenovo Group Limited,R72MCUK,1680 x 1050,1.0,,20 W,,,,ThinkVision,LT2252p,ThinkVision LT2252p Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,,,,,160Â°,Yes,100 x 100,Yes,7.50 kg,590 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B2280WSD-W1, 2609785, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,iiyama,250 cd/mÂ²,Speaker,CETUV-GSCU,White,16.7 Million Colours,"1,000:1",244.5 mm,,,Yes,Security Lock,TCO Displays 5.0 ENERGY STAR,Yes,Yes,,,553.5 mm,178Â°,3 Year,"iiyama North America, Inc",B2280WSD-W1,1680 x 1050,1.0,2.0,21 W,ProLite B2280WSDPower CableVGA Cable (D-Sub)DVI-D CableAudio CableStandScrewsCable GuideQuick Start GuideSafety Guide,,Mac PC,ProLite,B2280WSD,ProLite B2280WSD,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,75 Hz,1 W,,,170Â°,Yes,100 x 100,Yes,5.50 kg,512.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable Desk Mountable,,,,,,,,,,,,,,,,,,,
"B5M13AT#ABU, 2824003, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,200 cd/mÂ²,Speaker,,Black,,600:1,47.8 mm,,,Yes,Security Lock,WEEE REACH,Yes,,,,299 mm,90Â°,1 Year,Hewlett-Packard,B5M13AT#ABU,1600 x 900,1.0,,26 W,"W2072a 50,8 cm (20"") LED Backlit LCD Monitor (B5M13AT) VGA cable Audio cable AC Power cable",,,Business,W2072a,"W2072a 50,8 cm (20"") LED Backlit LCD Monitor",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,,,,,50Â°,,,Yes,,477.3 mm,170 mm,356.60 mm,220 V AC 110 V AC,Anti-glare,477.30 mm,,,,,,,Value,,,,3.50 kg,,,Desk Mountable,,,,,,,,,,,,,,,,,,,
"HP226DGB, V320085, Hannspree, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Hanns.G,220 cd/mÂ²,,,Black,,"15,000:1",,,,Yes,,ENERGY STAR 5.0,Yes,,,,,,,"Hannspree, Inc",HP226DGB,1920 x 1080,1.0,,,,,,,HP226DGB,HP226DGB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WW3EE.005, 3183424, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,200 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,MPR II,Yes,,Yes,,304.5 mm,90Â°,2 Year,"Acer, Inc",UM.WW3EE.005,1920 x 1080,1.0,,18.10 W,K222HQL Widescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),,,K222HQL,K222HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,60 Hz,450 mW,,,65Â°,,,Yes,2.70 kg,508 mm,207 mm,390.50 mm,230 V AC 120 V AC,Anti-glare,508 mm,,,,,,350 mW,K,,No,-5Â°to25Â°,3.10 kg,29 kWh,A,,,,,,,,,,,,,,,,,,,,
"VA951S, B921668, ViewSonic, LCD Monitor, Itenergy Ltd",,,,5:4,LED,Viewsonic,250 cd/mÂ²,,,,16.7 Million Colours,"20,000,000:1",54.9 mm,,,Yes,,EPEAT TCO Certified Displays 6.0 China Energy Label (CEL) RoHS WEEE ENERGY STAR 6.0,Yes,,,,341.2 mm,,2 Year,Viewsonic Corporation,VA951S,1280 x 1024,1.0,,20 W,"VA951S 19"" 5:4 LED Display with SuperClear Technology Power Cable VGA Cable Quick Start Guide ViewSonic Wizard CD-ROM2",,,,VA951S,"VA951S 19"" 5:4 LED Display with SuperClear Technology",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,,,,,,Yes,,Yes,2.71 kg,416.2 mm,199.10 mm,402.20 mm,,,416.20 mm,,,,,,,VA,,,,3.02 kg,,,,Click to view,,,,,,,,,,,,,,,,,,
"9H.L9LLA.TBE, M352333, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,BenQ,300 cd/mÂ²,,,Glossy Black,16.7 Million Colours,"5,000:1",215 mm,,,Yes,Senseye 3 Eco Mode Security Lock,TCO Certified Displays 6.0 ENERGY STAR 5.1,Yes,Yes,Yes,Yes,488 mm,178Â°,,BenQ Corporation,9H.L9LLA.TBE,1920 x 1080,1.0,2.0,26 W,,,PC,,GW2760HM,GW2760HM Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",Yes,,300 mW,,,178Â°,Yes,100 x 100,Yes,5.30 kg,641 mm,,,110 V AC 220 V AC,,,,,,,,,GW,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"233V5LSB/00, 2788642, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,,BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307,Black,16.7 Million Colours,"1,000:1",53 mm,,,Yes,Security Lock Sync on Green SmartContrast,WEEE TCO Certified Displays ENERGY STAR 6.0 EPEAT Silver RoHS,Yes,Yes,,,340 mm,170Â°,,Philips Electronics,233V5LSB/00,1920 x 1080,1.0,,20.11 W,,,Mac PC,V-line,233V5LSB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.13 kg,547 mm,219 mm,416 mm,110 V AC 220 V AC,,547 mm,,,,,,500 mW,,,,,3.50 kg,,,,,,,,,,,,,,,,,,,,,,
"9H.LATLA.TPE, M352412, BenQ, LCD Monitor, Itenergy Ltd",Yes,,,16:10,LED,BenQ,250 cd/mÂ²,Speaker,,Black,16.7 Million Colours,"1,000:1",183.9 mm,,,Yes,Senseye 3 Security Lock Eco Mode,TCO Certified Displays 6.0,Yes,,,Yes,414 mm,170Â°,,BenQ Corporation,9H.LATLA.TPE,1680 x 1050,1.0,2.0,26 W,,Twisted Nematic Film (TN Film),PC,,BL2211M,BL2211M Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,,300 mW,,,160Â°,Yes,100 x 100,Yes,4.20 kg,522.2 mm,,,220 V AC 110 V AC,,,,,,,,,BL,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.HK3EE.005, PBVISEO273DBID, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Packard Bell,300 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",62 mm,,,Yes,,MPR II EPEAT Gold,Yes,,Yes,,381 mm,178Â°,,"Acer, Inc",UM.HK3EE.005,1920 x 1080,1.0,,,Viseo273D Widescreen LCD Monitor1 x VGA CablePower Cord,Vertical Alignment (VA),,Viseo,Viseo273D,Viseo273D Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",,60 Hz,,,,178Â°,,,Yes,4.77 kg,640 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,No,,,,No,-5Â°to25Â°,,43 kWh,A,,,,,,,,,,,,,,,,,,,,
"UM.CB6EE.001, 8654R96, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,No,16:10,LED,Acer,250 cd/mÂ²,,,Dark Grey,16.7 Million Colours,"100,000,000:1",,,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,,,,170Â°,3 Year,"Acer, Inc",UM.CB6EE.001,1440 x 900,1.0,,13 W,B196WL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,,B196WL,B196WL Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",Yes,60 Hz,450 mW,,,160Â°,Yes,100 x 100,Yes,,,,,220 V AC 110 V AC,Anti-glare,,,,,,80 mm,350 mW,B,,45Â°,-5Â°to20Â°,,,,,,,,,,,,,,,,,,,,,,,
"R48MBUK, S6033G5, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:10,LED,Lenovo,250 cd/mÂ²,,CCCCE MARKCEL Tier 1CSAGOSTGSICIEC-60950FCC Class BISO 9241-307JEITAKCKVALITETPSBSASOSEMKOMoldovaNOMTUVTUV-SVCCIcULBSMIBelarus,Black,16.7 Million Colours,"1,000:1",171.3 mm,,Yes,Yes,Security Lock,EPEAT Gold ENERGY STAR 5.1 RoHS China RoHS REACH CECP WEEE TCO Certified Edge Displays 1.1 MPR II EuP,Yes,Yes,,,397.7 mm,170Â°,3 Year,Lenovo Group Limited,R48MBUK,1440 x 900,1.0,,13 W,,,PC,ThinkVision,LT1952P,ThinkVision LT1952P Wide 19in LED Monitor,LCD Monitor,5 ms,SXGA+,"48.3 cm (19"")",,75 Hz,,,,160Â°,Yes,100 x 100,Yes,4.30 kg,440.9 mm,,,,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"857-10586, 0912968, Dell, LCD Monitor, Itenergy Ltd",,,,16:10,LED,Dell,250 cd/mÂ²,,,Black,16.78 Million Colors,"1,000:1",52 mm,,,Yes,,China Energy Label (CEL) TCO Certified Displays EPEAT Gold ENERGY STAR 5.2,Yes,,,,290.8 mm,,3 Year,"Dell, Inc",857-10586,1440 x 900,1.0,,23 W,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black Stand Power Cable DVI Cable VGA Cable Drivers and Documentation media Quick setup guide Safety Information",,,,E1913,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black",LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,,,,,,Yes,,Yes,2.54 kg,443.8 mm,163.50 mm,372.80 mm,,,443.80 mm,,,,,,,E,,,,,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"860-10201, DELS2440L, Dell, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Dell,250 cd/mÂ²,,EMC,,16.7 Million Colours,"5,000:1",,,,,Security Lock,EPEAT Silver ENERGY STAR,Yes,,Yes,,,178Â°,3 Year,"Dell, Inc",860-10201,1920 x 1080,1.0,,18 W,"S2440L 24"" (61cm) LED Monitor Full HD (1920x1080) VGA,HDMI Cable Tie Power Cable Adapter Power Adapter VGA Cable Drivers and Documentation Media Quick Setup Guide",,,,S2440L,"S2440L 24"" (61cm) LED Monitor Full HD (1920x1080) VGA,HDMI",LCD Monitor,6 ms,Full HD,"61 cm (24"")",,60 Hz,,,,178Â°,,,Yes,3.60 kg,,190 mm,417.90 mm,220 V AC 110 V AC,,567.40 mm,,,,,,500 mW,,,,,4.95 kg,,,,,,,,,,,,,,"Images come alive with color-boosting
Image Enhance, ultra-wide viewing and Full HD resolution (1920 x 1080
max.) in a 16:9 widescreen format.","Connect to a laptop or desktop with VGA connectivity. Explore a
world of HD entertainment options with an HDMI port.",,,,,,,
"LS22C20KBSZ/EN, 2949930, Samsung, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Samsung,250 cd/mÂ²,,"UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN 60950-1 NEMKO (Norway): EN 60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI 1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 FCC (U.S.) FCC Part 15, Subpart B Class A CE (Europe), EN 55022, EN 55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS/NZS3548 ( CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003",Matte Black,16.7 Million Colours,"1,000:1",77.6 mm,,,Yes,MagicAngle MagicBright3 Display Power Management Signaling (DPMS) Off Timer Eco Saving MultiScreen MagicTune,TCO '06 EPEAT Gold ENERGY STAR,Yes,,,,301.9 mm,170Â°,3 Year,Samsung,LS22C20KBSZ/EN,1920 x 1080,1.0,,24 W,"21.5"" LED Monitor S22C200B D-sub cable Power cable length 1.5 m Other Quick install guide Installation CD Electronic user guide",Twisted Nematic Film (TN Film),PC,,S22C200B,"21.5"" LED Monitor S22C200B",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,,100 mW,,,160Â°,Yes,100 x 100,Yes,3.05 kg,504.3 mm,185 mm,385.35 mm,220 V AC 110 V AC,,504.30 mm,,,,,,,200,,,-1Â°to20Â°,3.50 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
