<page title>,aspect ratio,backlight technology,brightness,cables included,colour,colour support,compliant standards,contrast ratio,description technical detail,diagonal size,dimensions weight details,dimensions wxdxh,display position adjustments,display type,energy star qualified,features,flat panel mount interface,horizontal viewing angle,interfaces,localisation,manufacturer,manufacturer part,native resolution,panel type,power consumption operational,power consumption sleep,power consumption stand by,response time,tilt angle,vertical viewing angle,voltage required,weight,device type,environmental standards,height adjustment,horizontal refresh rate,humidity range operating,image colour disclaimer,input connectors,manufacturer warranty,max operating temperature,min operating temperature,pixel per inch,pixel pitch,product description,service support,service support details,vertical refresh rate,viewable size,backlight life,builtin devices,controls adjustments,included software,power supply,rotation angle,screen coating,swivel angle,colour temperature,included accessories,os required,output power channel,type,active screen area,backlight type,brightness maximum,brightness typical,contrast ratio typical,displayable colors,net with stand,net without stand,orientation,panel technology,pixels per inch,refresh rate,response timegray to gray,viewable image size,viewing angle,connector type,depth,diagonal size cm,dimensions,display format,enclosure colour,energy star version,hdmi ports qty,height,image aspect ratio,image contrast ratio,input video formats,lcd backlight technology,lcd display technology,output power total,pc interface,product type,remote control,resolution,speaker system,speakers,supported computer resolutions,supported pictures formats,targeting,technology,tv tuner,usb port,video interface,viewing angle vertical,width,compatible with windows 7,epeat compliant,movement detection technology,energy class,colour depth,dimensions w x h x d,dot pitch,horizontal frequency,native maximum resolution,power consumption,vertical frequency,viewable area,viewing angle leftright updown,power consumption stand by sleep,analogue video signal,display positions adjustments,dot pitch pixel pitch,form factor,image brightness,image max hview angle,image max vview angle,max sync rate v x h,osd languages,signal input,video bandwidth,microsoft certification,mounting kit,mtbf,expansion slots,external speakers amplifier power total,max hsync rate,max vsync rate,nominal voltage,power,sound output mode,stand,analogue video input signals,hdcp compatible,power device,series,max resolution,certified for windows vista,video wall components qty,connectivity,lan protocol,combined with,colour temperature control,motion enhancement technology,brightness wtouchscreen,supported windows 7 features,depth shipping,height shipping,weight shipping,width shipping
Purchase the Mitsubishi MDT652S 65 inch LCD 1080P DVI-D/HDMI 8MS at an affordable price,16:09,,700 cd/m² (typical),,,,,4000:1 (typical),,,,,,"65"" Widescreen LCD Display",,,,,,,Mitsubishi,MDT652S,,,,,,8 ms (Grey to Grey),,,,Approx. 47.7kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approx. 1.06 billion colours,1498 mm x 873 mm x 139 mm,0.744 mm (H) x 0.744 mm (V),"15.625/15.743, 31.5KHz - 91.1KHz (Analogue/Digital)",1920 x 1080 pixels,487W (467W without speakers); Less than 2W in power saving mode (less than 5W using CAT-5 connection),50/58 Hz - 85 Hz (Analogue/Digital),"65"" (163.9 cm) diagonal","±89°, ±89° (typical)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,,Black,16.7 million colours,MPR II,1000:1 / 100000000:1 (dynamic),"Acer S235HLBbmii 23 IPS LED VGA HDMI TFT with Speakers
Acer S Series monitors are very slim yet spacious displays that are great for multitasking and web browsing. High-def visuals leap to life thanks to Full HD resolution and an extremely high contrast ratio. Youll appreciate both the imagery and the look of this streamlined yet powerful Acer monitor!","23""",,,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, Acer EcoDisplay, anti-glare, Zero Frame",,170,2 x HDMI Â¦ VGA,,ACER,UM.VS5EE.B01,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,E-IPS,26 Watt,,,6 ms,,160,,,,,,,,,,,,,,0.265 mm,,3 years warranty,,,,,,,,,,,,,,,,Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B246HLymdpr 24 DVI VGA MM HA UM.FB6EE.011 ACER,Widescreen Widescreen - 16:9,LED backlight,250 cd/m2,,Dark grey,16.7 million colours,TCO Displays 6.0,100000000:1 (dynamic),"Acer B246HLymdpr - 24"" LED Backlit LCD Monitor
Ideal for use in office environments, libraries and computer labs, this Professional Series monitor delivers dynamic and energizing visuals. The monitor features eco-friendly technologies that save power and cut energy costs. It is also ergonomically designed, with a slim and clean-cut look.","24""",With stand - weight: 6.09 kg,56.69 cm x 22.12 cm x 38.4 cm - without stand,"Height, pivot (rotation)",LED-backlit LCD monitor / TFT active matrix,Yes,,,170,VGA Â¦ DVI Â¦ DisplayPort,,ACER,UM.FB6EE.011,FullHD 1920 x 1080 at 60 Hz,,,,,5 ms,,160,AC 120/230 V,3.44 kg,,,,,,,,,,,,,,3 years warranty,Limited warranty - 3 years - carry-in,,,,,,,,,,,,,,2 Watt,Speakers - stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPEAT Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA2046M-LED 20 DVI &  SPEAKERS VA2046M-LED Viewsonic,Widescreen,WLED,200 cd/m2,1 x audio cable Â¦ 1 x VGA cable,Black,,"FCC Class B certified, UL, C-Tick, BSMI, cUL, NOM, SASO, TUV S, CB, CCC, PSB, RoHS, WEEE, GOST-R, UkrSEPRO, CEL",600:1 / 10000000:1 (dynamic),"ViewSonic VA2046M-LED LCD Monitor
The ViewSonic VA2046m-LED is a 20"" widescreen monitor with an LED backlight and glossy, thin-bezel design ideal for use in the home or at the office. With 1600 x 900 resolution and a 10M:1 dynamic contrast ratio, the VA2046m-LED delivers stunning brightness and contrast, while a quick 5 ms response time ensures crisp pictures and smooth playback. As a complete multimedia package, the display also includes a pair of integrated speakers. VGA and DVI inputs provide flexible and convenient connectivity, while a VESA-mountable design offers additional mount flexibility. With an efficient LED backlight and energy-saving eco mode, the VA2046m-LED is an environmentally friendly display choice.","20""",With stand - width: 47.82 cm - depth: 19.76 cm - height: 36.02 cm - weight: 3 kg Â¦ Without stand - width: 47.82 cm - depth: 4.9 cm - height: 30.18 cm - weight: 2.6 kg,47.82 cm x 19.76 cm x 36.02 cm - with stand,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately) Eco-Mode, Mega Dynamic Contrast Ratio",100 x 100 mm,90,DVI-D Â¦ VGA Â¦ Audio line-in,,Viewsonic,VA2046M-LED,1600 x 900,,18 Watt,,,5 ms,-5/+18,65,AC 120/230 V ( 50/60 Hz ),3 kg,,,,24 - 82 kHz,5 - 90% (non-condensing),,,,40 Â°C,0 Â°C,,,,3 years warranty,Limited warranty - 3 years,50 - 75 Hz,,"40,000 hours",,,ViewSonic Wizard,Internal,,"Anti-glare, 3H Hard Coating",,,,,2 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPEAT Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC-60003582-NEC MultiSync E171M - 17"" LED-Backlit LCD Monitor",5:4 5:4,WLED,250 cd/m2 250 cd/m2,1 x VGA cable ¦ 1 x audio cable,Black Black,16.7 million colours 16.7 million colours,"Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2B, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2B, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC",1000:1 / 25000:1 (dynamic) 1000:1 1000:1,"NEC MultiSync E171M - 17"" LED-Backlit LCD Monitor
The E171M is a 17"" 5:4 conventional format monitor with latest energy saving LED backlight technology. It offers excellent connectivity with ergonomic adjustability. Low power consumption and low operating costs make the display perfect for use in the professional office environment. Outstanding ergonomic comfort make it very user-friendly and help to increase productivit","17""",,36.8 cm x 23 cm x 35.85 cm 36.8 cm x 23 cm x 35.85 cm,"Height, tilt Tilt Tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Rapid Response, OSD lock, Carbon Savings Meter, NaViSet Administrator 2, Non-Touch-Auto-Adjustment (NTAA) Security lock slot (cable lock sold separately)",100 x 100 mm,+85 / -85,DVI-D ( HDCP ) ¦ VGA ( HD-15 ) ¦ Audio line-in ¦ Headphones,,NEC,60003582,1280 x 1024 at 75 Hz 1280 x 1024 1280 x 1024,TN TN,19 Watt,,,5 ms 5 ms,-5/+20,170,AC 120/230 V ( 50 - 60 Hz ),4.2 kg 4.2 kg,"LED-backlit LCD monitor - 17""",ENERGY STAR Qualified,50 mm,31.5 - 81.1 kHz,20 - 80%,,"DVI-D, VGA",3 years warranty,35 °C,5 °C,,0.264 mm 0.264 mm,"NEC MultiSync E171M - LED monitor - 17"" NEC LED monitor - 17""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,56 - 76 Hz,"17""",,Stereo speakers Stereo speakers,"Volume, brightness, contrast, colour temperature",Drivers & Utilities,Internal,,,,,Cable management clip,,1 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T272HLbmidz 27 VGA DVI LED UM.HT2EE.001 ACER,Widescreen - 16:9 Widescreen,LED backlight,300 cd/m2,1 x VGA cable Â¦ 1 x DVI cable,Black,16.7 million colours,"MPR II, TUV GS, ISO 9241-307",100000000:1 (dynamic),"Acer T272HLbmidz 27 HDMI Touchscreen LED Monitor
With simple hand gestures you can rotate images, flip pages, and draw on the screen. Whats more, you can adjust the working angle of this ergonomically designed monitor to ensure your comfort, whether youre viewing content or engaging in touch operations.","27""",,66 cm x 5 cm x 49.3 cm,Tilt,LED-backlit LCD monitor / TFT active matrix,Yes,"HDCP, eColor Management, Acer Adaptive Contrast Management (ACM) Security lock slot (cable lock sold separately)",100 x 100 mm,178,VGA Â¦ DVI Â¦ USB 3.0 upstream Â¦ 3 x USB 3.0 downstream Â¦ HDMI ( HDCP ),,ACER,UM.HT2EE.001,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,E-IPS,,,,5 ms,,178,AC 120/230 V,,,,,80 kHz,,,,,,,,0.311 mm,,3 years warranty,,75 Hz,,,USB Hub,,,External,,,,,,,2 Watt,Speakers - stereo - integrated Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoftâ€™s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC-60002818-NEC MultiSync E201W - 20"" LED-backlit LCD Monitor",Widescreen - 16:9 Widescreen - 16:9,WLED,250 cd/m2 250 cd/m2,1 x DVI cable ¦ 1 x VGA cable,"White, silver White, silver",16.7 million colours 16.7 million colours,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, MPR III, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, MPR III, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready",1000:1 / 25000:1 (dynamic) 1000:1 / 25000:1 (dynamic),"With a DisplayPort, a DVI-D as well as an analog interface, the NEC MultiSync E201W provides outstanding connectivity and the optimum basis for all business applications.The eco-friendly displays further extends comprehensive range for the corporate sector. It helps to reduce the running costs throughout the display's entire lifetime and the features make daily operations simpler and more productive.","20""",Without stand - width: 55 cm - depth: 7.1 cm - height: 32.9 cm ¦ With stand - width: 55 cm - depth: 21.4 cm - height: 38.1 cm - weight: 5.4 kg,55 cm x 21.4 cm x 38.1 cm - with stand 55 cm x 21.4 cm x 38.1 cm - with stand,"Height, pivot (rotation), swivel, tilt Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Ambient light sensor, ErgoDesign, Intelligent Power Manager (IPM), Eco-Mode Security lock slot (cable lock sold separately), cable organizer",100 x 100 mm,178,VGA ¦ DVI-D ¦ DisplayPort,,NEC,60002818,1600 x 900 at 60 Hz 1600 x 900 at 60 Hz,,25 Watt,,,5 ms 5 ms,25,178,AC 120/230 V,5.4 kg 5.4 kg,"LED-backlit LCD monitor - 20""",ENERGY STAR Qualified,110 mm,82.3 kHz,20 - 80%,,"DVI-D, VGA, DisplayPort",3 years warranty,35 °C,5 °C,,0.267 mm 0.267 mm,"NEC MultiSync E201W - LED monitor - 20""",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,75 Hz,,,,"Brightness, contrast, H/V position, colour balance",,Internal,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T48MNUK ThinkVision LT1952p -19"" LED Monitor",Widescreen - 16:10,WLED,250 cd/m2,1 x VGA cable - 1.8 m Â¦ 1 x DVI cable - 1.8 m,Business black,16 million colours 16 million colours,"FCC Class B certified, MPR II, CSA, UL, TUV, VCCI, BSMI, GOST, DDC-2B, GS, NOM, SASO, SEMKO, TUV S, VESA FPMPMI, IEC 60950, CCC, IC, PSB, DDC/CI, RoHS, ISO 9241-307, WEEE, JEITA, REACH, TCO Certified Edge, E-Standby, TCO Displays 5.2 FCC Class B certified, CE, MPR II, CSA, UL, TUV, VCCI, BSMI, GOST, DDC-2B, GS, NOM, SASO, SEMKO, TUV S, VESA FPMPMI, IEC 60950, CCC, IC, PSB, DDC/CI, RoHS, ISO 9241-307, WEEE, JEITA, REACH, TCO Certified Edge, E-Standby, TCO Displays 5.2",1000:1 / 10000000:1 (dynamic),"Lenovo ThinkVision LT1952p -19"" Widescreen LED Monitor
For enterprises that need a green, fully functional display screen, with unparalleled visual quality, the ThinkVision LT1952p is the best choice. It is compatible with virtually any hardware platform, the LT1952p offers VGA, DVI-D, and DisplayPort connections. The LT1952p is a breeze to use with exceptional LED performance, swivel, tilt, and lift options, 5 milliseconds response time, and a 1000:1 contrast ratio. The LT1952p delivers high energy cost savings, through compliance with go green certifications. The monitors are mercury-free, contain reduced toxic chemicals. The LT1952p delivers the best value on investment for large enterprises.","19"" 19"" - widescreen",,44.1 cm x 17.1 cm x 39.8 cm,"Height, swivel, tilt",LCD display / TFT active matrix - WLED backlight LCD display / TFT active matrix LED-backlit LCD monitor / TFT active matrix LCD monitor / TFT active matrix,Yes,"Security lock slot (cable lock sold separately), wall mountable, integrated cable management HDCP, 72% colour gamut HDCP, 72% colour gamut",100 x 100 mm 100 x 100 mm,170,1 x DVI-D - 24 pin digital DVI Â¦ 1 x VGA - 15 pin HD D-Sub (HD-15) Â¦ 1 x DisplayPort - 20 pin DisplayPort DVI-D Â¦ VGA Â¦ DisplayPort,English English / United Kingdom English / United Kingdom,LENOVO,T48MNUK,1440 x 900 1440 x 900,TN,13 Watt,,,5 ms 5 ms,-3/+20 -3/+20,160,( 50/60 Hz ) AC 120/230 V ( 50/60 Hz ),4.3 kg,,,110 mm 110 mm,81 kHz,,,,,40 Â°C,0 Â°C,,0.2835 mm,,3 years warranty,Limited warranty - 3 years Â¦ Limited warranty - backlight - 3 years,76 Hz,"19"" 19""",,,"Brightness, contrast, H/V position, colour balance, input select",,Internal,,"Anti-glare, anti-reflective",360 360,,,,,,,,,,,,,,,,,,,,,,17.1 cm,,,,Business black,,,39.8 cm,16:10,1000:1 1000:1 / 10000000:1 (dynamic),,,,,,,,,,,,,,,,,,,44.1 cm,"""Compatible with Windows 7"" software and devices carry Microsoftâ€™s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",EPEAT Gold,,,,,,,,,,,,0.5 Watt,RGB,"Height, tilt Height, swivel, tilt",0.2835 mm,Internal,250 cd/m2,170,160,76 Hz x 81 kHz,"English, German, French, Italian, Russian, Spanish, Japanese, Chinese English, German, French, Italian, Russian, Spanish, Japanese, Chinese","DVI-D, VGA, DisplayPort",137 MHz 137 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ViewSonic VG2433SMH 24"" 1920x1080 4ms VGA DVI HDMI LED Monitor",,,,,,,,,"ViewSonic VG2433SMH 24"" 1920x1080 4ms VGA DVI HDMI LED Monitor
The ViewSonic VG2433Smh is a high-performance, ergonomic 24Ã¢ÂÂÃ¢ÂÂ (23.6Ã¢ÂÂÃ¢ÂÂ viewable) LED display that offers a cost-effective solution for corporations and SMBs, as well as educational and government institutions. Designed to offer a more efficient and comfortable working environment, it is fully ergonomic with 340ÃÂ° swivel, 90ÃÂ° pivot, -5ÃÂ° to 25ÃÂ° tilt, and 100mm height adjustment. Along with the SuperClearÃÂ® image enhancement technology for lifelike colour performance and 178/178ÃÂ° wide viewing angles, the VG2433Smh boasts Full HD 1920 x 1080 resolution and color management to deliver consistently brilliant colour performance at any angle. With HDMI, DVI and D-Sub inputs to connect high-definition devices, the display also integrates dual stereo 2W speakers to provide the total multimedia package. An integrated Eco-mode lets users optimize the backlight level, lowers power consumption and prolong the lamp life for a lower total cost of ownership Ã¢ÂÂ making the VG2433Smh the best choice for your organization.",,,,,,,,,,,,Viewsonic,VG2433SMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B246HLymdr 24  HA MM P/L UM.FB6EE.009 ACER,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,1 x VGA cable Â¦ 1 x DVI cable,Dark grey Black,16.7 million colours,"TUV GS, ISO 9241-307, TCO Displays 6.0",100000000:1 (dynamic),"Acer B246HLymdr 24"" 1920x1080 FullHD 250cd/m2 5ms Monitor
The Acer B series is designed for professionals who require exceptional visuals and comfortable viewing over long periods of time. Its ergonomic style, high contrast ratio, full digital connectivity, and dependable functionality make the B series an outstanding tool for productive computing.","24""",,56.7 cm x 22.12 cm x 38.55 cm,"Height, pivot (rotation), swivel, tilt",LED-backlit LCD monitor / TFT active matrix,Yes,"Zero Bright Dot, HDCP Security lock slot (cable lock sold separately)",100 x 100 mm,170,VGA Â¦ DVI ( HDCP ),,ACER,UM.FB6EE.009,FullHD 1920 x 1080 at 60 Hz 1920 x 1080,TN,20.9 Watt,,0.55 Watt,5 ms,-5/+35,160,AC 120/230 V,,,,150 mm,,,,,,,,,0.276 mm,,3 years warranty,Limited warranty - 3 years - carry-in,,,,,,,Internal,90.0,,60,,,,2 Watt,Speakers - stereo - integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPEAT Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maestro236Dbd  23  IPS LED DVI UM.VQ6EE.001 ACER,Widescreen - 16:9 Widescreen,LED backlight,250 cd/m2,1 x VGA cable,Black,16.7 million colours,MPR II,100000000:1 (dynamic) 1000:1 / 100000000:1 (dynamic),"Packard Bell Maestro 236D 23"" LED Monitor
Your screen experience is dazzling thanks to the slim bezel of the zero frame Maestro 6 series. Colors are vibrant from all angles, making entertainment more exciting and tasks more enjoyable. So cutting edge it incorporates your mobile lifestyle, Packard Bell Maestro 6 displays offer contemporary looks, stunning color and eco-friendly design.","23""",With stand - weight: 3.6 kg Â¦ Without stand - weight: 2.9 kg,- with stand 53.1 cm x 17.9 cm x 40.4 cm,,LED-backlit LCD monitor / TFT active matrix,,"HDCP CrystalBrite, Acer EcoDisplay, Zero Frame",,178,VGA VGA Â¦ DVI ( HDCP ),"United Kingdom, Europe, EMEA",ACER,UM.VQ6EE.001,1920 x 1080 1920 x 1080 at 60 Hz FullHD 1920 x 1080 at 60 Hz,IPS,26 Watt,,0.45 Watt 450 mW,5 ms,-5/+15,178,AC 120/230 V,3.6 kg,,,,,,,,,,,,0.265 mm,,,,,,,,Tilt,,External,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC-60003295-NEC AccuSync AS241W - 24"" LCD Monitor",Widescreen - 16:9 Widescreen - 16:9,CCFL,300 cd/m2 300 cd/m2,1 x VGA cable,Black Black,16.7 million colours 16.7 million colours,"FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ERP FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, PCT, CCC, TUV Ergo, TCO Displays 5.0, ISO 9241-307, GEEA, ERP",1000:1 1000:1,"NEC AccuSync AS241W - 24"" LCD Monitor
NEC AccuSync 24"" 16:9 Wide LCD with TN TFT Display features green product design using the latest LED backlight technology at an affordable price. The attractively designed display comes also with DVI-D input. It is the ideal monitor for entry-level, corporate and demanding consumers.","24""",,56.6 cm x 19 cm x 39.5 cm - with stand 56.6 cm x 19 cm x 39.5 cm - with stand,Tilt Tilt,LCD monitor / TFT active matrix,Yes,"Rapid Response, Eco-Mode Security lock slot (cable lock sold separately), cable organizer",100 x 100 mm,178,VGA ¦ DVI-D,,NEC,60003295,FullHD 1920 x 1080 FullHD 1920 x 1080,TN TN,23 Watt,,,5 ms 5 ms,22,170,AC 120/230 V ( 50/60 Hz ),4.3 kg 4.3 kg,"LCD monitor - 24""",ENERGY STAR Qualified,,81.1 kHz,20 - 80%,,"DVI-D, VGA",3 years warranty,35 °C,5 °C,,0.272 mm 0.272 mm,"NEC AccuSync AS241W - LCD monitor - 24""",3 years warranty,Limited warranty - parts and labour - 3 years ¦ Limited warranty - backlight - 3 years,76 Hz,"23.55""",,,"Brightness, contrast, colour balance, colour temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Compatible with Windows 7"" software and devices carry Microsoft’s assurance that these products have passed tests for compatibility and reliability with 32-bit and 64-bit Windows 7.",,,,,,,,,,,,,0.45 Watt,,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEC-60003483-NEC MultiSync E324 - 32"" LED-backlit LCD Flat Panel Display",,,350 cd/m2,,Black,,"FCC Class B certified, UL, C-Tick, cUL, DDC-1, DDC-2B, VESA DPMS, VESA FDMI, PSB, RoHS",,"NEC MultiSync E324 - 32"" LED-backlit LCD Flat Panel Display
For affordable digital signage applications yet with impressive screen performance, the MultiSync E324 features the edge LED backlight technology for an ultra slim design, light weight and very low power consumption.","32"" 32""",,72.6 cm x 6.3 cm x 44.3 cm - without stand,,,Yes,,100 x 100 mm,,,,NEC,60003483,,,45 Watt 45 Watt,,0.5 Watt,6.5 ms,,,,6.7 kg 6.7 kg,,ENERGY STAR Qualified,,,10 - 80%,,,3 years warranty,40 °C,0 °C,,,"NEC MultiSync E324 - 32"" LED-backlit LCD flat panel display",3 years warranty,Limited warranty - 3 years ¦ Limited warranty - backlight - 3 years,,,,,,,,,,,,,,,Remote control,,,,,,,,,,,,,,,176 degrees,1 x VGA input ( 15 PIN HD D-Sub (HD-15) ) ¦ 3 x HDMI ( 19 pin HDMI Type A ) ¦ 1 x SPDIF output ¦ 1 x serial ( 9 PIN D-Sub ) ¦ 1 x USB ( 4 PIN USB Type A ) ¦ 1 x composite video / component video input ( RCA phono x 3 ) ¦ 1 x audio input ( mini-phone stereo 3.5 mm ) ¦ 1 x audio input ( RCA phono x 2 ),6.3 cm,82 cm 82 cm,Without stand,720p 720p,Black,6.0,3 port(s) 3 port(s),44.3 cm,16:9 16:9,3000:1,"1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i 1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i",LED backlight - edge-lit LED backlight - edge-lit,S-PVA,20 Watt,VGA (HD-15) VGA (HD-15),LED-backlit LCD flat panel display LED-backlit LCD flat panel display,Remote control,1366 x 768 1366 x 768,2 speakers 2 speakers,2 x main channel speaker - built-in - 10 Watt,"1366 x 768, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA), 1280 x 720, 720 x 400, 1920 x 1080, 1280 x 800",JPG,Commercial use Commercial use Commercial usage,S-PVA,No tuner No tuner,"Yes , 1 port(s) Yes , 1 port(s)","Component, composite, HDMI Component, composite, HDMI",176 degrees,72.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
