<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"298X4QJAB/00, 2670736, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,21:9,LED,Philips,300 cd/m²,Speaker,16.7 Million Colours,"1,000:1",197 mm,SmartKolor SmartContrast SmartTxt SmartImage Multiview Picture in Picture Picture by Picture,,ENERGY STAR 6.0 RoHS TCO Certified Displays 6.0 EPEAT Gold WEEE,Yes,330 mm,178°,110 V AC 220 V AC,3 Year,Philips Electronics,298X4QJAB/00,2560 x 1080,,1.0,33 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC Mac,Brilliance LCD Monitor with MultiView,LCD Monitor,5 ms,UW-UXGA,"73.7 cm (29"")",Yes,300 mW,,,Yes,USB 3.0,178°,Yes,,5.70 kg,700 mm,,,59 mm,Yes,426 mm,,298X4QJAB,,60 Hz,100 x 100,,6.36 kg,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black,Yes,Yes,Yes,Yes,Brilliance,,,,,,2.0,,,700 mm,,,,,,,,,,,,,,,
"C9F26AA#ABT, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,250 cd/m²,,16.77 Million Colors,"1,000:1",151.10 mm,Security Lock,,REACH TCO Certified Edge EPEAT Gold ENERGY STAR,Yes,294.1 mm,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9F26AA#ABT,1600 x 900,No,1.0,22 W,ProDisplay P201 20-inch LED Backlit Monitor VGA Cable DVI Cable Power Cord Printed Documentation And CD,,PC,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",No,500 mW,,,,,160°,Yes,No,3.50 kg,482 mm,,,47.5 mm,Yes,359.20 mm,,P201,Anti-glare,60 Hz,100 x 100,Yes,,,Black,,Yes,,,Business,,,Essential,,,,,,482 mm,,,,,,,,,,,,,,,
"A1X76AA#UUZ, 9438B1N, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,4:3,LED,HP,300 cd/m²,USB Hub Speaker,,"1,000:1",,Security Lock,,ENERGY STAR Eco-label REACH WEEE EPEAT Gold China Energy Label (CEL) IT Eco Declaration,Yes,208.3 mm,176°,220 V AC 110 V AC,3 Year,Hewlett-Packard,A1X76AA#UUZ,1024 x 768,,1.0,18 W,,,PC,L6010 10.4-inch Retail Monitor,LCD Monitor,25 ms,XGA,"26.4 cm (10.4"")",Yes,1 W,,,Yes,USB 2.0,176°,Yes,,1.18 kg,254 mm,Yes,No,40.6 mm,Yes,,,L6010,Anti-glare Anti-static,60 Hz,75 x 75,Yes,,UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001 EN 55022 Class A CSA BFR,Jack Black,Yes,Yes,,,,,500 mW,,,,2.0,Yes,15.7% Plastic,,,,,,,,,,,,,,,,
"UM.WG6EE.H01, 8654N51, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",168 mm,,,MPR II,Yes,311 mm,178°,220 V AC 110 V AC,2 Year,"Acer, Inc",UM.WG6EE.H01,1920 x 1080,,1.0,20.50 W,G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Vertical Alignment (VA),,G226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,340 mW,,,,,178°,No,,2.60 kg,511 mm,No,No,36 mm,Yes,365 mm,,G226HQL,Anti-glare,60 Hz,,Yes,2.90 kg,,Black,,Yes,,,,No,300 mW,G,No,-5°to15°,,,,511 mm,,,,,,,,,,,,,,,
"G2460FQ, 3062143, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,350 cd/m²,Speaker,16.7 Million Colours,"80,000,000:1",219.30 mm,Zero Power Switch OverDrive Screen+ Security Lock i-Menu Eco Mode e-Saver,,EPEAT Gold RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0,Yes,,170°,220 V AC 110 V AC,3 Year,AOC,G2460FQ,1920 x 1080,,1.0,22 W,"g2460Fq 61cm (24"") LCD Monitor Power Cable D-Sub cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Twisted Nematic Film (TN Film),,"g2460Fq 61cm (24"") LCD Monitor",LCD Monitor,1 ms,Full HD,"61 cm (24"")",Yes,500 mW,,,No,,160°,Yes,,4.16 kg,,No,No,,Yes,411.60 mm,Wall Mountable,g2460Fq,,60 Hz,100 x 100,Yes,,CE CU ISO 9241-307 TUV-GS Ukarin Safety,Black,Yes,Yes,Yes,Yes,Style,,300 mW,,,-5°to20°,,,,565.40 mm,,,No,,,,,,,,,,,,
"60001854, NECTFT2490WUXI, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,,,NEC Display,400 cd/m²,,16.7 Million Colours,800:1,,,,TCO '03 RoHS ENERGY STAR,Yes,582.4 mm,178°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60001854,1920 x 1080,,1.0,,,,PC,MultiSync LCD2490WUXi Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"61.2 cm (24.1"")",,,,,,,178°,,,11.80 kg,554.2 mm,,,306 mm,Yes,,,LCD2490WUXi,,50 Hz,,Yes,,,Black,,,,,MultiSync,,,,,,,,,,,,,,,,,,,,,,Kensington LockPlug and Play,,
"274E5QDAB/00, 2974036, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker,16.77 Million Colors,"20,000,000:1",237 mm,TrueVision Ultra Slim Mobile High-Definition Link (MHL) SmartImage Lite Security Lock Sync on Green,,ENERGY STAR 6.0 WEEE RoHS EPEAT Silver TCO Certified Displays 6.0,Yes,375 mm,178°,220 V AC 110 V AC,,Philips Electronics,274E5QDAB/00,1920 x 1080,,1.0,22.15 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC Mac,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,500 mW,,,,,178°,Yes,No,4.88 kg,622 mm,,Yes,46 mm,Yes,470 mm,Wall Mountable,274E5QDAB,Glossy,60 Hz,100 x 100,Yes,5.10 kg,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307,Glossy Black Cherry,,Yes,Yes,Yes,Ultra Narrow Bezel,,300 mW,,,-5°to20°,2.0,,,622 mm,,,,,,,,Landscape/Portrait,,,,,,No,
"i2367Fm, AOCI2367FM, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,Speaker,16.7 Million Colours,"50,000,000:1",,Security Lock,,EPA China RoHS ENERGY STAR TCO Certified Displays 6.0 China Energy Label (CEL),Yes,394 mm,178°,220 V AC 110 V AC,,AOC,I2367FM,1920 x 1080,,1.0,26 W,I2367FM Widescreen LCD Monitor Audio (3.5mm) Cable HDMI Cable,In-plane Switching (IPS) Technology,PC,I2367FM Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,500 mW,,,,,178°,No,No,3.75 kg,531.4 mm,No,No,120 mm,No,,,I2367FM,,60 Hz,,Yes,,CCC FCC CB / CE cTUVus TUV-BAUART,Silver Black,,Yes,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"60003585, NECEA193MI, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,NEC Display,250 cd/m²,Speaker,16.77 Million Colors,"1,000:1",213.90 mm,Eco Mode Intelligent Power Manager (IPM) System Cable Management Security Lock Carbon Footprint Meter Ambient Light Sensor,,RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0 EPEAT Silver ErP MPR II MPR III,Yes,338 mm,178°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60003585,1280 x 1024,,1.0,18 W,"LCD 19"" Desktop Display Power Cable Sales Office List User Manual Signal Cable: VGA - VGA Signal Cable: DVI-D - DVI-D",In-plane Switching (IPS) Technology,PC,"LCD 19"" Desktop Display",LCD Monitor,6 ms,SXGA,"48.3 cm (19"")",Yes,350 mW,,,,,178°,Yes,,4 kg,408 mm,Yes,Yes,65 mm,Yes,386.40 mm,,EA193Mi,,60 Hz,100 x 100,Yes,6 kg,CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307,White,Yes,Yes,,Yes,MultiSync,,,,,,2.0,Yes,Plastic,408 mm,,,,,,,,Landscape/Portrait,,,,,,,
"S1921XSH-GY, EIZOS1921XSHGY, Eizo Nanao, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,,Eizo,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",205 mm,,,TCO Displays 5.0,Yes,334 mm,178°,,5 Year,Eizo Nanao Tech,S1921XSH-GY,1280 x 1024,,1.0,40 W,FlexScan S1921XSH LCD MonitorManualNetwork CableAudio CableSignal Cable (D-Sub D-Sub and DVI-D DVI-D)ICC Color Profile,,,FlexScan S1921XSH LCD Monitor,LCD Monitor,20 ms,SXGA,"48.3 cm (19"")",Yes,,,,,,178°,Yes,,4.90 kg,405 mm,,,61 mm,Yes,506 mm,,S1921XSH,,75 Hz,100 x 100,Yes,7.20 kg,CETÜV GSTÜV Ergonomics ApprovedISO 13406-2,Light Grey,,,,,,,990 mW,,,,,,,405 mm,,,,,,,,,,,,,,,
"DSM-H46TFT, VIGDSMH46TFT, Vigilant Vision, Ltd, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,,Vigilant,400 cd/m²,Speaker,,"6,500:1",,Picture in Picture 3D Noise Reduction Picture on Picture,,RoHS,Yes,627 mm,160°,220 V AC 110 V AC,,"Vigilant Vision, Ltd",DSM-H46TFT,1920 x 1080,,1.0,200 W,"46"" Active Matrix High ResolutionKettle LeadVGA CableUser ManualRemote",,PC,"46"" Active Matrix High Resolution",LCD Monitor,4 ms,Full HD,"116.8 cm (46"")",Yes,,,,,,160°,Yes,,43 kg,1083 mm,,,50.6 mm,,,,DSMH 46TFT,,75 Hz,400 x 200,Yes,,CEFCC,Black,,,Yes,,,,,,,,2.0,,,,,,Yes,,,,,,,,,,,,
"UM.WV6EE.A01, 8654F10, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,,16.7 Million Colours,"100,000,000:1",,,,TCO '06 ENERGY STAR,Yes,390.4 mm,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WV6EE.A01,1920 x 1080,,1.0,19.50 W,V226HQL Widescreen LCD Monitor1 x VGA Cable,Vertical Alignment (VA),,V226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,350 mW,,,,,178°,Yes,,3.24 kg,508 mm,No,No,206.8 mm,Yes,,,V226HQL,Anti-glare,60 Hz,100 x 100,Yes,3.66 kg,,Black,,Yes,,,,No,250 mW,V,No,-5°to25°,,,,,,,,,,,,,,,,,,,
"17S4SB/00, PHI-17S4SB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,5:4,LED,Philips,250 cd/m²,,16.7 Million Colours,"1,000:1",194 mm,SmartControl SmartContrast Sync on Green TrueVision Security Lock Eco Mode SmartPower SmartImage,,RoHS WEEE,Yes,319 mm,170°,220 V AC 110 V AC,2 Year,Philips Electronics,17S4SB/00,1280 x 1024,No,1.0,17.10 W,,,PC Mac,LCD Monitor with SmartImage,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",No,200 mW,,,,,160°,Yes,No,3.14 kg,367 mm,No,No,65 mm,Yes,393 mm,Wall Mountable,17S4SB,,60 Hz,100 x 100,Yes,3.54 kg,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,Black,,Yes,,,,,200 mW,S,,,,Yes,,367 mm,,,,,,,,,,,,,,,
"9H.L94LA.T8E, M352229, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,200 cd/m²,,16.7 Million Colours,600:1,,Security Lock Senseye 3,,ENERGY STAR 5.0,Yes,362 mm,90°,220 V AC 110 V AC,,BenQ Corporation,9H.L94LA.T8E,1366 x 768,,1.0,11 W,,,PC,GL955A Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,300 mW,,,,,50°,Yes,,2.80 kg,459 mm,,,164 mm,,,Wall Mountable,GL955A,,,100 x 100,Yes,,,Glossy Black,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,
"BDL:K1486V160-UK, 2827705, Fujitsu Siemens Computers, Kingsfield Computer Products Ltd",Yes,16:9,LED,Fujitsu,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,No,ENERGY STAR 6.0,Yes,871.2 mm,170°,,,Fujitsu,BDL:K1486V160-UK,1920 x 1080,No,1.0,27 W,,,Mac,L22T-6 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,,,No,No,,170°,Yes,,4 kg,1290.3 mm,No,No,152.4 mm,Yes,,,L22T-6,Anti-glare,60 Hz,100 x 100,Yes,,CE Mark ISO9241-307,Black,No,Yes,No,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"X2783HSU-B1, IIYX2783HSUB, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,300 cd/m²,Speaker USB Hub,16.7 Million Colours,"3,000:1",,Security Lock,,ENERGY STAR TCO Certified Displays 6.0,Yes,446 mm,178°,110 V AC 220 V AC,3 Year,"iiyama North America, Inc",X2783HSU-B1,1920 x 1080,,1.0,34 W,"A high-end 27"" Monitor Featuring AMVA+ Panel Technology Power cable VGA cable (D-Sub) DVI-D cable Audio cable USB cable Stand Quick start guide Safety guide",Advanced-Multi-domain Vertical Alignment Plus (A-MVA+),Mac PC,"A high-end 27"" Monitor Featuring AMVA+ Panel Technology",LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",Yes,500 mW,,,Yes,USB 2.0,178°,Yes,,4.40 kg,622.5 mm,,,218 mm,Yes,,,X2783HSU,,75 Hz,100 x 100,Yes,,TCO CE TÜV-GS VCCI-B PSE CU,Black,,Yes,Yes,Yes,ProLite,,,,,,2.0,,,,,,,,,,,,,,,,,,
"UM.XG6EE.004, 8654C80, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,200 cd/m²,,16.7 Million Colours,"100,000,000:1",169.20 mm,,,MPR II,Yes,277.3 mm,90°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.XG6EE.004,1366 x 768,,1.0,15 W,G196HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,G196HQL Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,450 mW,,,,,65°,No,,1.70 kg,446.4 mm,No,No,33.5 mm,,327.50 mm,,G196HQL,Anti-glare,60 Hz,,Yes,2.23 kg,,Black,,,,,,No,400 mW,G,No,-5°to15°,,,,446.40 mm,,,,,,,,,,,,,,,
"274E5QHAW/00, 2716378, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",237 mm,Security Lock Mobile High-Definition Link (MHL) SmartImage TrueVision Sync on Green SmartResponse,,TCO Certified Displays 6.0 WEEE RoHS EPEAT Silver ENERGY STAR 6.0,Yes,375 mm,178°,110 V AC 220 V AC,3 Year,Philips Electronics,274E5QHAW/00,1920 x 1080,,1.0,25.60 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PC Mac,"LCD Monitor with SmartImage Lite 274E5QHAW Ultra Narrow Bezel 27"" / 68.6cm MHL",LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,500 mW,,,,,178°,Yes,,4.88 kg,622 mm,,,46 mm,,470 mm,,274E5QHAW,,60 Hz,100 x 100,Yes,5.10 kg,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307,Glossy White,,Yes,Yes,Yes,,,300 mW,,,,2.0,,,622 mm,,,,,,,,,,,,,,,
"R48MBUK, S6033G5, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Lenovo,250 cd/m²,,16.7 Million Colours,"1,000:1",,Security Lock,,China RoHS RoHS WEEE ENERGY STAR 5.1 CECP MPR II EPEAT Gold TCO Certified Edge Displays 1.1 EuP REACH,Yes,397.7 mm,170°,,3 Year,Lenovo Group Limited,R48MBUK,1440 x 900,,1.0,13 W,,,PC,ThinkVision LT1952P Wide 19in LED Monitor,LCD Monitor,5 ms,SXGA+,"48.3 cm (19"")",,,,,,,160°,Yes,,4.30 kg,440.9 mm,Yes,,171.3 mm,Yes,,Wall Mountable,LT1952P,,75 Hz,100 x 100,Yes,,CCCCE MARKCEL Tier 1CSAGOSTGSICIEC-60950FCC Class BISO 9241-307JEITAKCKVALITETPSBSASOSEMKOMoldovaNOMTUVTUV-SVCCIcULBSMIBelarus,Black,Yes,Yes,,,ThinkVision,,,,,,,,,,,,,,,,,,,,,,,,
"MX239H, ASUNOT705, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,250 cd/m²,Speaker,16.7 Million Colours,"80,000,000:1",207.20 mm,Security Lock Ultra Slim Splendid Video Intelligence Technology,,,,,178°,,,ASUS Computer International,MX239H,1920 x 1080,,1.0,33 W,,In-plane Switching (IPS) Technology,PC,MX239H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,500 mW,,,,,178°,,,3.70 kg,,,,,,392.20 mm,,MX239H,,,,Yes,,,Silver Black,,Yes,Yes,Yes,,,500 mW,MX,,,2.0,,,522.20 mm,,,,,,,,,,,,,,,
"9H.L99LA.RBE, 3118226, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,BenQ,300 cd/m²,,16.7 Million Colours,"1,000:1",236 mm,Touch Controls Advanced Motion Accelerator (AMA) M-book Mode Reading Mode Senseye 3 Smart Reminder Eye Protect Sensor Flicker-free Ultra Flexible,,EPEAT Gold ENERGY STAR TCO '06,Yes,,178°,230 V AC 120 V AC,,BenQ Corporation,9H.L99LA.RBE,1920 x 1200,,1.0,,,In-plane Switching (IPS) Technology,PC,BL2411PT Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,,,,,178°,Yes,,6.70 kg,,Yes,Yes,,Yes,574 mm,,BL2411PT,Anti-glare,,100 x 100,Yes,,,,Yes,Yes,,Yes,,130 mm,,,45°,-5°to20°,2.0,Yes,65% Plastic,555 mm,,,,,,,,,,,,,,,
"GE2488HS-B1, 3173469, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,250 cd/m²,,16.7 Million Colours,"5,000,000:1",,Flicker-free Display Power Management Signaling (DPMS) i-Style-Color OverDrive Security Lock,,ENERGY STAR,Yes,409 mm,170°,230 V AC 120 V AC,3 Year,"iiyama North America, Inc",GE2488HS-B1,1920 x 1080,,1.0,23 W,"24"" Pro-gamer Monitor with 1ms Response Time Power cable DVI cable Audio cable Stand Quick start guide Safety guide",Twisted Nematic Film (TN Film),Mac PC,"24"" Pro-gamer Monitor with 1ms Response Time",LCD Monitor,1 ms,Full HD,"61 cm (24"")",Yes,500 mW,,,,,160°,Yes,,3.50 kg,568 mm,,,217.5 mm,Yes,,Wall Mountable,GE2488HS,,75 Hz,100 x 100,Yes,,CE TÜV-Bauart VCCI-B PSE CU ISO-9241-307:2008,Black,,Yes,Yes,Yes,ProLite,,,,,2°to20°,2.0,,,,,,,,,,,,,,,,,,
"E2260SWDA, 2518432, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Displays 5.0 RoHS EPEAT Gold ENERGY STAR 5.0,Yes,373 mm,170°,220 V AC 110 V AC,,AOC,E2260SWDA,1920 x 1080,,1.0,,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")Power CableD-Sub CableDVI-D CableAudio CableWarranty Card",,PC,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,,,,,,160°,Yes,,,511 mm,No,No,185 mm,Yes,,Wall Mountable,e2260Swda,,60 Hz,100 x 100,Yes,,CEFCCISO 9241-307TUV-GS,Black,No,Yes,No,,Professional,,,,,,,,,,,,,,,,,,,,,,,,
"24MB35PM, 3003552, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,LG,250 cd/m²,Speaker,16.7 Million Colours,"5,000,000:1",271 mm,Security Lock Reading Mode Super Energy Saving C3 (Certified Calibration Controls) Mode Ultra Slim Flicker-free,,,,,178°,220 V AC 110 V AC,,LG Electronics,24MB35PM,1920 x 1080,,1.0,24 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,24MB35PM Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"60.5 cm (23.8"")",Yes,210 mW,,,,,178°,Yes,,,,Yes,Yes,,Yes,432 mm,Wall Mountable Arm-mountable,24MB35PM,Matte Anti-glare,60 Hz,100 x 100,Yes,5.10 kg,,Dark Anthracite,,Yes,,Yes,,120 mm,180 mW,,,-5°to20°,2.0,,,569 mm,,,,,,,,Landscape/Portrait,,,,,,,
"UM.WV6EE.B04, 8655C12, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,200 cd/m²,,16.7 Million Colours,"100,000,000:1",,,,ENERGY STAR MPR II,Yes,390.4 mm,90°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.WV6EE.B04,1920 x 1080,,1.0,18.10 W,V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,V226HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,450 mW,,,,,65°,Yes,,3.24 kg,508 mm,No,No,206.8 mm,Yes,,,V226HQL,Anti-glare,60 Hz,100 x 100,Yes,3.66 kg,,Black,,Yes,,,,No,350 mW,V,No,-5°to25°,,,,,,,,,,,,,,,,,,,
"60003439, NECV322PG, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,CCFL,NEC Display,450 cd/m²,Speaker,,"3,000:1",,TileMatrix Support Ambient Light Sensor,,ENERGY STAR 5.1 RoHS,Yes,476.2 mm,178°,,3 Year,NEC Display Solutions,60003439,1366 x 768,Yes,1.0,190 W,MultiSync V322 PG (Protective Glass)Power CableVGA CableFree LAN Control Software (Download)Remote Control,Super Patterned Vertical Alignment (S-PVA) Technology,,MultiSync V322 PG (Protective Glass),LCD Monitor,8 ms,WXGA,"81.3 cm (32"")",Yes,1 W,,,,,178°,Yes,,15.70 kg,786.8 mm,,,99.1 mm,Yes,,,V322 PG,Anti-reflective,60 Hz,200 x 200,Yes,,C-tickCETUV GSFCC Class BUL/C-ULCSAPSBVCCI,Black,Yes,Yes,Yes,,MultiSync,,,,,,2.0,,,,,,,,,,Yes,,,Yes,,,,,
"E2260PHU, 2501023, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,AOC,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",,Security Lock,,EPEAT Gold ENERGY STAR 5.0 RoHS TCO Displays 5.0,Yes,507.8 mm,170°,,,AOC,E2260PHU,1680 x 1050,,1.0,,"LED Monitor - e2260Phu Professional 55.8cm (22.0"")Power CableD-Sub CableDVI-D CableAudio CableUSB Cable",,PC,"LED Monitor - e2260Phu Professional 55.8cm (22.0"")",LCD Monitor,2 ms,WSXGA+,"55.9 cm (22"")",Yes,,,,Yes,,160°,Yes,,,521.3 mm,Yes,Yes,244.6 mm,Yes,,Wall Mountable,e2260Phu,,60 Hz,100 x 100,Yes,,CEFCCISO 9241-307TUV-GS,Black,No,Yes,Yes,,Professional,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#ABG, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,250 cd/m²,USB Hub,,"1,000:1",242.40 mm,Security Lock,,ENERGY STAR TCO Certified Edge EPEAT Gold REACH,Yes,329 mm,170°,220 V AC 110 V AC,3 Year,Hewlett-Packard,C9V75AA#ABG,1920 x 1080,,1.0,36 W,,,,"EliteDisplay E231 58,4 cm (23'') LED Backlit Monitor",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,500 mW,,,Yes,USB 2.0,160°,,,6.10 kg,544 mm,Yes,Yes,51 mm,Yes,469.90 mm,Desk Mountable,E231,Anti-glare,,,Yes,,,Black,Yes,Yes,,,Business,,,Advantage,,,,,,544 mm,,,,,,,,,,,,,,,
"9H.LAALB.QBE, 2819843, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,,BenQ,350 cd/m²,USB Hub,1.07 Billion Colors,"1,000:1",259 mm,Brightness Sensor Security Lock Senseye 3 Eco Mode Ambient Light Sensor,,TCO Certified Displays 6.0,Yes,,178°,220 V AC 110 V AC,,BenQ Corporation,9H.LAALB.QBE,2560 x 1440,,1.0,,,Advanced Hyper Viewing Angle (AHVA),Mac PC,BL2710PT Widescreen LCD Monitor,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",Yes,,,,Yes,USB 3.0,178°,Yes,,8.20 kg,,Yes,Yes,,Yes,525 mm,Wall Mountable,BL2710PT,,,100 x 100,Yes,,,Black,Yes,Yes,Yes,Yes,,,,,,,2.0,,,639 mm,,,,,,,,,,,,,,,
"241P4QPYES/00, PHI241P4QPYES, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"5,000:1",220 mm,PowerSensor,,RoHS ENERGY STAR TCO Certified Edge EPEAT Gold WEEE TCO Certified Displays 5.2,Yes,352 mm,178°,220 V AC 110 V AC,2 Year,Philips Electronics,241P4QPYES/00,1920 x 1080,,1.0,23.40 W,,,PC Mac,Brilliance 241P4QPYES Widescreen LCD Monitor,LCD Monitor,12 ms,Full HD,"61 cm (24"")",Yes,100 mW,,,Yes,USB 2.0,178°,Yes,,3.75 kg,565 mm,Yes,Yes,55 mm,Yes,518 mm,,241P4QPYES,,60 Hz,100 x 100,Yes,5.90 kg,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Silver Black,Yes,Yes,,Yes,Brilliance,,,P,,,2.0,Yes,,565 mm,,,,65%,,,,,,,,,,,
