<page title>,aspect ratio,contrast ratio,display technology,max resolution,product line,refresh rate,max viewing angle horizontal,max viewing angle vertical,regulatory approval,synchronization range horizontal,system,product features,color support,synchronization range vertical
"HP W2072a 20"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,600:1,LED LCD,1600 x 900,,,90°,50°,Energy star,,Desktop,,,
"NEC MultiSync V652 65"" Widescreen LED LCD Monitor with built-in speakers - Pricing and Details - Catalog.com",16:9,4000:1,LED,1920 x 1080,NEC MultiSync,,,,,,,,,
"Tyco Elo Touch 1247L 12.1"" LCD Monitor - Pricing and Details - Catalog.com",4:3,500:1,Flat Panel LCD TFT (Active Matrix),800 x 600,Elo Touch,,130°,105°,"FCC Class B ●
CE ●
C-Tick ●
Energy star ●
cUL ●
VCCI ●
FCC ●
UL",31.5 - 48.1 kHz,Wall Mount,,,56.3 - 75 kHz
"ASUS VE VE278Q 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,ASUS VE,85 Hz,,,,,,"10,000,000:1 ASUS smart contrast ratio
Dynamically enhances the display's contrast by adjusting the luminance of the backlight to achieve the darkest black and brightest white - delivering lifelike images.2ms response time
Quick response time of 2ms (GTG) eliminates ghosting and tracers for more fluid video playback.Full HD with HDMI
VE278Q leads you to enter a big and spectacular world of colors with Full HD 1080p (1920 x 1080) support and HDMI port.AI light for brightness optimization
AI light function enables the VE278Q automatically adjusting to lower brightness and make your eyes feel more comfortable in the dim environment. Furthermore, it helps save more 25% power consumption.Rich I / O ports- allow simultaneous connections to more video devices
Embedded digital HDMI and DisplayPort inputs, VE278Q enables the most advanced graphic cards / computers connection. The DisplayPort interface also offers better support of multiple display streams, longer cable connection, and interoperability with other inputs, such as VGA, DVI and HDMI.Picture in Picture - display 2 different signals simultaneously
Need to research on the Internet, but a championship game is about to start on TV? The VE278Q offers PIP (Picture in Picture) function (via hotkey) and has the capability to display images of two different signals at the same time.Splendid Video Intelligence technology
The exclusive Splendid Video Intelligence technology optimizes video performance and image fidelity by enhancing color, brightness, contrast, and sharpness.",,
"ViewSonic Graphic VG2228wm 22"" Widescreen LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,Widescreen LCD,1920 x 1080,ViewSonic Graphic,75 Hz,,,,,,"ECO-mode
Environmentally-friendly ECO-mode reduces power consumption and extends backlight life.Multi-functional base design
It has VESA compliant wall-mount interface and detachable base for ergonomic flexibility with 90º pivot, 5.3"" height, tilt and 360° swivel adjustments.Multimedia enhanced
Save desk and workspace and enjoy rich, stereo sound with built-in stereo speakers.OptiSync digital / analog inputs expand your connectivity
Multi-mode input technology supports both digital (DVI) and analog (VGA) signals for ultimate compatibility and configuration flexibility.Stylish slim-bezel design
An ultra-thin bezel lets you see more without taking up valuable desktop real estate.Widescreen aspect ratio with 1920 x 1080 resolution
The widescreen aspect ratio allows you to view Full HD content in its native format with no stretching or distortion.",,
"Samsung S24D390HL 24"" LED LCD Monitor - Pricing and Details - Catalog.com",,41.667:1,TFT PLS,1920 x 1080,,,,,,,,,,
"Dell UltraSharp U2414H 24"" LCD Monitor - Pricing and Details - Catalog.com",,,LCD,1920 x 1080,Dell UltraSharp,,,,,,,,,
"EIZO Eizo ColorEdge CG223W 22"" Widescreen LCD Monitor - Pricing and Details - Catalog.com",16:10,950:1,Widescreen LCD LCD,1680 x 1050,Eizo ColorEdge,86 Hz,,,,,,,,
"NEC MultiSync EX231W 23"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,NEC MultiSync,56Hz - 75Hz,,,,,,"Wide Full HD display
23-inch 16:9 Full HD format with LED backlight and minimalistic design with full OSD functionality.Digital inputs
All the user will need with two digital inputs including DVI and DisplayPort.Ambient light sensor with auto brightness
Automatically sets the optimized brightness level according to ambient light and content conditions saving energy and improving viewing.VESA mount
Allowing the installation of the panel in various mounting solutions.Full height adjustability
Together with the swivel, tilt and pivot functionality easily achieve the perfect individual ergonomic set-up in the office.Human sensor
Detects the presence of a person in front of the screen and switches on / off automatically depending on the presence of the user saving power.",,
"Dell UltraSharp U3014 30"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,LED,2560 x 1600,Dell UltraSharp,,,,,,,,,
"Elo Touch 1715L 17"" LCD Monitor - Pricing and Details - Catalog.com","5:4 ●
17:5",,,1280 x 1024,Elo Touch,75 Hz,,,,,,,,
"HP Envy C8K32AA#ABA 27"" Widescreen IPS Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,10000000:1,IPS,1920 x 1080,HP Envy,,,,,,,,,
"Dell S Series S2240M 21.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,,1920 x 1080,Dell S Series,,,,,,,,,
"Elo Touch 1915L 19"" LCD Monitor - Pricing and Details - Catalog.com",5:4,"800:1,550:1",Flat Panel LCD TFT (Active Matrix),,Elo Touch,,140°,135°,"IC ●
CE ●
C-Tick ●
cUL ●
VCCI ●
FCC ●
UL ●
TUV GS",32 - 80 kHz,Desktop,,24-bit (16.7M Colors),0 - 0 kHz
"ASUS MS VS229H-P 21.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1080,ASUS MS,50Hz - 75Hz,178°,178°,WEEE,,Desktop,,,
"ASUS VK VK278Q 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,LCD,1920 x 1080,ASUS VK,85 Hz,,,,,,,,
"Dell UltraSharp U2410 24"" Widescreen LCD Monitor - Pricing and Details - Catalog.com",16:10,,,1920 x 1200,Dell UltraSharp,60 Hz,,,,,,,,
"NEC MultiSync X462S 46"" Widescreen LED LCD Monitor with built-in speakers - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1080,NEC MultiSync,,,,,,,,,
"ViewSonic VA VA926-LED 19"" LED LCD Monitor - Pricing and Details - Catalog.com",4:3,1000:1,LED LCD,1280 x 1024,ViewSonic VA,,,,,,,,,
"Dell UltraSharp U2412M 24"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:10,,,1920 x 1200,Dell UltraSharp,60 Hz,,,,,,,,
"Lilliput 869GL-80NP/C/T 8"" Widescreen LCD Monitor - Pricing and Details - Catalog.com",16:9,300:1,LCD,800 x 480,,72 Hz,,,,,,,,
"HP Compaq V LV1911 18.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,600:1,LED,1366 x 768,Compaq V,,,,,,,,,
"Dell S Series S2740L 27"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,Dell S Series,,,,,,,,,
"Acer T T232HL bmidz 23"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,,1920 x 1080,Acer T,60 Hz,,,,,,,,
"Dell UltraSharp U2713H 27"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,2560 x 1440,Dell UltraSharp,,,,,,,,,
"AOC Envision E2260SWDN 21.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,LCD,1920 x 1080,AOC Envision,,,,,,,,,
"Lilliput UM-80/C/T 8"" Touch Screen Monitor - Pricing and Details - Catalog.com",4:3,500:1,Touch Screen,800 x 600,,,,,,,,,,
"Planar PX Line PXL2430MW 23.6"" Widescreen Touch Screen Monitor - Pricing and Details - Catalog.com",16:9,,,1920 x 1080,Planar PX Line,75 Hz,,,,,,,,
"Acer B B276HL ymdprz 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,100000000:1,LED LCD,1920 x 1080,Acer B,,,,,,,,,
"ViewSonic TD2220 22"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,,,,,,,,,,
"Dell S Series S2440L 24"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,,1920 x 1080,Dell S Series,,,,,,,,,
"AOC E2752VH 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1080,,50Hz - 76Hz,,,,,,,,
"Samsung S22C200NY 21.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED,1920 x 1080,,,,,,,,,,
"Elo Touch IntelliTouch 1515L 15"" Touch Screen Monitor - Pricing and Details - Catalog.com",4:3,500:1,LCD,1024 x 768,Elo Touch,75 Hz,120°,100°,"IC ●
CE ●
C-Tick ●
cUL ●
TUV-GS ●
VCCI ●
FCC ●
UL",31.5 - 60.2 kHz,Desktop,,"24-bit (16.7M Colors) ●
16.2M Colors",56.3 - 75 kHz
"ASUS VS VS248H-P 24"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1080,ASUS VS,76 Hz,,,,,,,,
"Elo Touch 0700L 7"" Widescreen Touch Screen Monitor - Pricing and Details - Catalog.com",16:9,500:1,Touch Screen,800 x 480,Elo Touch,60 Hz,,,,,,,,
"Samsung SyncMaster 500 15"" Widescreen LCD Monitor - Pricing and Details - Catalog.com","16:9 ●
14:9",3000:1,Widescreen LCD,,Samsung SyncMaster,,178°,178°,,30 - 81 kHz,Desktop,,24-bit (16.7M Colors),0 - 0 kHz
"Dell E E1913S 19"" LED LCD Monitor - Pricing and Details - Catalog.com",5:4,1000:1,LED LCD,1280 x 1024,Dell E,,,,,,,,,
"NEC EA223WM-BK 22"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:10,1000:1,LED LCD,1680 x 1050,,,,,,,,,,
"Samsung S24A850DW 24"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:10,1000:1,LED LCD,1920 x 1200,,,,,,,,,,
"HP Compaq L2311c 23"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,42:1,LED LCD,1920 x 1080,HP Compaq,,,,,,,,,
"ASUS VS VS239H-P 23"" Widescreen IPS Monitor - Pricing and Details - Catalog.com",16:9,,IPS,1920 x 1080,ASUS VS,,,,,,,,,
"DoubleSight DS-220C 21.5"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,Widescreen LCD,1920 x 1080,,,,,,,,,,
"Elo Touch 1937L 19"" Touch Screen Monitor, built-in Speakers - Pricing and Details - Catalog.com",5:4,800:1,Touch Screen,1280 x 1024,Elo Touch,75 Hz,,,,,,,,
"NEC MultiSync EA273WMi 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,,NEC MultiSync,,,,,,,,,
"AOC Envision I2367Fh 23"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,50000000:1,LED LCD,1920 x 1080,AOC Envision,,178°,178°,"FCC ●
MPR-",,Desktop,,,
"StarTech 1U 17"" LCD Monitor - Pricing and Details - Catalog.com",4:3,450:1,LCD,,,60 Hz,,,,,,,,
"ViewSonic VX VX2270Smh-LED 22"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,ViewSonic VX,,,,,,,,,
"Philips P-Line 271P4QPJEB 27"" Widescreen LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,5000:1,LCD,1920 x 1080,Philips P-Line,,,,,,,,,
"ASUS MS VS208N 20"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,50000000:1,LED LCD,1600 x 900,ASUS MS,,,,,,,,,
