<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy Elite Manual Series Projection Screen with White Case, Matte Projector Screens M99NWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,Wall mount brackets sold separately.,"Screen, hardware, case, documentation",Projection screen,,,"80.8""h x 76""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Chief Manufacturing Universal Interface Bracket for Large Flat Stands & Mounts - AV MSBUB today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,,"Bracket, documentation",Bracket,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy ELO Touch Solutions 22"" 2239L IntelliTouch LCD Monitor, Open Monitors - LCD E654071 today at PC Connection",WEEE C-Tick NOM S Mark PCT BSMI EK RoHS FCC MIC CUL CCC VCCI,,22 in,,,270 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Series Matte White Projection Screen, Black Case, Projector Screens M113UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,Wall mount brackets sold separately.,"Screen, hardware, case, documentation",Projection screen,,24.00 lb(s),"88.5""h x 87""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Da-Lite Cosmopolitan Electrol Projection Screen, Matte White, Projector Screens 40782 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,White,"Viewing Angle: 60 degrees
Gain: 1.0","Screen, case, wall switch, documentation",Projection screen (motorized),,,"60""h x 80""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 15"" MicroTouch M150 LCD Touchmonitor Capacitive, Serial, Monitors - LCD 11-81375-227 today at PC Connection",RoHS CE C-Tick CUL UL CCC FCC Class B certified,Tilt,15 in,0.297 mm,,225 nit(s),,3 Years,3 Years,Black,,"Monitor, VGA cable, AC/DC power supply, AC power cable, serial cable, software, documentation",,,16.30 lb(s),"15.7""h x 16.1""w x 10.2""d",3 years on touch sensor components,,,,,16.2 million colors,3.5mm audio (F) DB9 (F) HDDB15 (F) Power,Serial (RS-232) Power VGA Audio (Stereo),500:1,Touch screen LCD,Standard,1024 x 768,"(1) HDDB15 female
(3) 3.5mm audio
(1) DB9
(1) Power in","Supply: 12VDC power supply
Consumption:",12 ms,150/150,Touch screen Tilt,,,,,,,,,,,,,,"Windows XP, 2000, 98, Me, NT 4.0",,,
"Buy 3M 12.5"" Widescreen Privacy Filter (16:9) for Laptops Glare Filters & Privacy Screens PF12.5W9 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,"Fits widescreen notebooks with a 12.5"" diagonal viewing area and a 16:9 aspect ratio.
Easy-on, easy-off attachment system.","Privacy filter, documentation",Display privacy filter,,,"6.2""h x 10.9""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP Smart Buy 19"" P19A LED-LCD Monitor, Black Monitors - LED-LCD D2W67A8#ABA today at PC Connection",CCC BSMI E-Standby CECP TCO Displays FCC GS S Mark CB CSA EPEAT Silver VCCI Plug and Play ICES,Tilt,19 in,0.294 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Boost productivity with essential functionality at an affordable price:
Increase optimal viewing and easy readability of software and tools designed for 5:4 aspect ratio presentations – ideal in banking, healthcare, financial, POS, retail and other business environments. Get vibrant text and graphics from the LED backlit panel. LED technology also makes the monitor thin, light, and easy to position on the desk. High contrast ratios and fast response times keep your content crisp and readable throughout the day. Support deployment wherever you need an everyday display at an affordable price point. The 19-inch diagonal screen offers ample workspace for multiple applications while the compact, 5:4 aspect ratio has a smaller footprint on the desk. Work comfortably throughout the day with up to 30 degrees of tilt on the adjustable design. Minimize clutter on the desktop and enjoy a simplified setup and deployment with the internal power supply.
Design the screen for how you work:
HP Display Assistant consolidates monitor setting controls into an easy-to-use, centralized interface. Customize your workspace with resizable screen partitions that let you work on a document in one partition, refer to a spreadsheet in another, and check e-mails in another—at the same time. Use the new expanded toolbar to view the applications you’re using on all of your connected displays.
Earn your environmental stripes:
Help reduce your power consumption costs with an intelligent, energy-efficient design built with the environment in mind. Mercury-free LED display backlighting, a low-halogen design and arsenic-free display glass are just a few of the display’s responsible details. Lower your overall bottom line with award-winning eco-certifications, including ENERGY STAR, EPEAT Gold, and TCO.
100 x 100mm VESA mounting pattern.
Dimensions and weight with stand:
16.4""h x 16.3""w x 8.1""d
7.7 lbs.","Monitor, VGA cable, documentation",,,6.60 lb(s),"13.7""h x 16.3""w x 2.3""d",,,,,250 nit(s),16.7 million colors,Power HDDB15,VGA Power,1000:1,LCD LED-backlit,Standard,1280 x 1024,"(1) HDDB15 VGA
(1) Power in",Consumption: 25W (max); 15W (typ.); 0.5W (standby),5 ms,170/160,,,,,,,,,,,,,,,,,,
Buy ELO Touch Solutions L Mounting Bracket Set for 1537L Stands & Mounts - AV E203787 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,Compatible with Elo 1739L and 1939L touchmonitors.,"(2) Mounting brackets, documentation",Mounting bracket,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 22"" V226WL BD LED-LCD Monitor Monitors - LED-LCD UM.EV6AA.002 today at PC Connection",TCO Displays 6.0,,22 in,,Yes,250 cd/m2,,3 Years,3 Years,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, DVI cable, VGA cable, power cord, documentation",,,6.80 lb(s),"16.5""h x 19.9""w x 8.1""d",,,,,250 nit(s),16.7 million colors,Power DVI HDDB15,DVI VGA Power,"100,000,000:1",LCD LED-backlit,Widescreen,1680 x 1050,"(1) DVI
(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 24.2W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Peerless 20-24"" Metal Stud Wall Plate, Black Stands & Mounts - AV WSP701 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"For use with SA730P, SA740P, SP730P, SP740P, PA730, PA740, PP730, PP740
2"" of horizontal adjustment for additional mount placement options
Max load capacity of 80 lbs.","Wall plate, screws and washers, documentation",Wall plate,Mount accessory,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Eizo Nanao 21"" Digital Analog LCD Monitor, Black Monitors - LCD MX210-BK today at PC Connection",VESA DPMS TUV Ergo CB RoHS ICES-003 Class B DVI 1.0 TUV GS ISO 13406-2 TCO03 C-Tick VCCI Class B ITE CSA TUV S DICOM Part 14 DVI DMPM,Tilt Swivel Pivot (rotation),21.3 in,0.27 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 19"" V196WL B LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.001 today at PC Connection",EPEAT Gold TCO Displays 6.0,,19 in,,,250 cd/m2,,3 Years,3 Years,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, VGA cable, power cord, documentation",,,6.00 lb(s),"14.9""h x 17.3""w x 7.5""d",limited,,,,250 nit(s),16.7 million colors,HDDB15 Power,VGA Power,"100,000,000:1",LED-backlit LCD,Widescreen,1440 x 900,"(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 13W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,170/160,,,,,,,,,,,,,,,,,,
"Buy HP 19"" P19A LED-LCD Monitor, Black Monitors - LED-LCD D2W67AA#ABA today at PC Connection",C-Tick FCC Energy Star EPEAT Gold CCC CE,Tilt,19 in,0.294 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Boost productivity with essential functionality at an affordable price:
Increase optimal viewing and easy readability of software and tools designed for 5:4 aspect ratio presentations – ideal in banking, healthcare, financial, POS, retail and other business environments. Get vibrant text and graphics from the LED backlit panel. LED technology also makes the monitor thin, light, and easy to position on the desk. High contrast ratios and fast response times keep your content crisp and readable throughout the day.[1]. Support deployment wherever you need an everyday display at an affordable price point. The 19-inch diagonal screen offers ample workspace for multiple applications while the compact, 5:4 aspect ratio has a smaller footprint on the desk. Work comfortably throughout the day with up to 30 degrees of tilt on the adjustable design. Minimize clutter on the desktop and enjoy a simplified setup and deployment with the internal power supply.
Get peace of mind:
Stable product lifecycle and minimum one-year lifespan help ensure product consistency across staggered deployments. Get improved reliability and peace of mind from HP quality standard testing that puts our monitors through their paces before you do. Rest assured that your IT investment is support by a three-year standard limited warranty. Select optional HP Care Pack Services[2] to extend your protection beyond the standard warranties.
Design the screen for how you work:
HP Display Assistant consolidates monitor setting controls into an easy-to-use, centralized interface. Customize your workspace with resizable screen partitions that let you work on a document in one partition, refer to a spreadsheet in another, and check e-mails in another—at the same time. Use the new expanded toolbar to view the applications you’re using on all of your connected displays.
Earn your environmental stripes:
Help reduce your power consumption costs with an intelligent, energy-efficient design built with the environment in mind. Mercury-free LED display backlighting, a low-halogen design and arsenic-free[4] display glass are just a few of the display’s responsible details. Lower your overall bottom line with award-winning eco-certifications, including ENERGY STAR, EPEAT Gold, and TCO.
100 x 100mm VESA mounting pattern.
Dimensions and weight with stand:
16.5""h x 16.3""w x 8.1""d
7.7 lbs.","Monitor, VGA cable, AC power cable, CD, documentation",,,6.60 lb(s),"13.7""h x 16.3""w x 2.3""d",,,,,250 nit(s),,Power HDDB15,Power VGA,1000:1,LCD LED-backlit,Standard,1280 x 1024,"(1) HDDB15 VGA
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 25W (max); 15W (typ.); 0.5W (power saving mode)",5 ms,170/160,,,,,,,,,,,,,,,,,,
Buy Ergotron Dual Monitor & Handle Kit Stands & Mounts - AV 97-783 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Perfect dual-mounting solution for monitors with screen sizes of 17"" to 26"".
Attaches to wide variety of mounts using a 50 x 50 mm or 100 x 100 mm hole pattern.
Robust design ensures many years of service.
Conceal and organize cables: Display cables can be neatly routed behind displays.
Max weight capacity of 36 pounds.","(2) mounting brackets, handle, mounting hardware, bow, documentation",Mounting kit,Flat panel display,,"4""h x 29.1""w x 1.5""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Tripp Lite Full-Motion Wall Mount for 17"" to 42"" Flat-Screen Stands & Mounts - AV DWM1742MN today at PC Connection",RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Can be used to increase available desk/table space in office applications
Fits most flat-panel displays from 17” to 42”
Convenient one-touch display adjustment for easy view optimization
Wide range of motion with -15° to +15° tilt, 80° swivel and -4° to +4° screen level adjustment capability
Supports up to 115 pounds.
VESA Pattern (mm): 75x75; 100x100; 200x100; 200x200","mount, documentation",Wall mount,Flat panel display,3.60 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite L Bracket for Wall or Ceiling Screen 6"", Pair, White, 6in Projector Screen Accessories ZVMAXLB6-W today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,,"2 bracket mounts, documentation",,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 23"" Wide IPS Touch HDMI MHL Displayport Monitor w  LED Monitors - LCD 231C5TJKFU today at PC Connection",DDC/CI SEMKO Plug and Play SASO WEEE ISO 9241-307 RoHS BSMI GOST Lead-Free,Tilt,23 in,0.265 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Cool gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Aten 2-Port DVI Dual Link Splitter with Audio Video Extenders & Splitters VS172 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,"Displays DVI audio/video to multiple DVI-compatible monitors or projectors.
Superior video quality - up to 2560 x 1600 @ 60 Hz including 2K-resolution (2048 x 2048 @ 60 Hz).
Cascadable to 3 levels – provides up to 8 video signals.
Audio enabled.
Features RS-232 serial port for command controls.
RS-232 Chain Control – use RS-232 commands to control cascaded devices via a DVI Cable.
EDID Expert – selects the optimum EDID settings via RS-232.","splitter, documentation",Video splitter,,1.50 lb(s),"2.2""h x 8.3""w x 3.5""d",,,,,,,,,,,,,"(3) DVI-D (2 in, 1 out)
(3) 3.5mm audio (1 in, 2 out)
(1) DB9 RS-232
(1) Power in",,,,,,,,,,,,,,,,,,,,,
"Buy Elite Manual Pull-Down Projector Screen, Matte White, 92in Projector Screens M92UWH today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black White,Wall mounting bracekts sold separately.,"Screen, mounting hardware, documentation",Projection screen,,,"57.8""h x 86.5""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar 55"" LX55HD-L Full LED-LCD Monitor with ERO, Black Monitors - Large-Format LED-LCD 997-7117-00 today at PC Connection",,,55 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Unique Architecture and Benefits by Design:
The Clarity Matrix Video Wall System was architected and developed by video wall industry experts in a way that specifically addresses the challenges faced by all video wall installations: mounting and alignment, reliability and extended operation, service and maintenance access and simple, effective image processing and management. At the heart of the Clarity Matrix architecture is a distributed design that takes heat, complexity and unreliability out from behind the LCD panel and replaces it with a centrally located, easily accessible and highly reliable rackmounted system.
EasyAxis Mounting System:
The Clarity Matrix Video Wall System includes the EasyAxis mounting system. The EasyAxis mounting system is designed to be attached to a wall, used with optional free-standing bases or secured overhead in a flying configuration. The single mount supports all these configurations. When used in wall-mount
configuration, horizontal and vertical connection brackets ensure that each mount is perfectly spaced from its neighbor in the video wall. The mount system also incorporates a service mode to accommodate front and rear in-wall repair of any LCD module in the video wall. EasyAxis mounts are designed to facilitate the thinnest profile LCD video wall in the market. The combination of the mount plus the Clarity Matrix LCD Modules “blade” design result in video walls that measure a mere 3.6 inches in depth, screen-to-wall, as opposed to other designs that require 60% more clearance.
Precise Panel Alignment:
Clarity Matrix LCD modules incorporate a single simple interface board designed to distribute off-board power, video and control signals to the LCD panel keeping depth, weight, heat and points of potential failure to an unprecedented minimum. The LCD blade-style module incorporates a bracket that is perfectly paired with the EasyAxis mount. The LCD module includes EasyAxis adjustment cams that facilitate precise 6-axis alignment ensuring uniform, minimized image-to-image gap. The lighter design of the Clarity Matrix LCD module means that handling, installation, alignment and service are all easier to accomplish.
24x7 Operation and Simplified Maintenance:
The unique Clarity Matrix architecture provides for 24x7 operation with optimized thermal design, high-MTBF components and redundant power supply option. Because of the streamlined design of the Clarity Matrix LCD modules, fewer repairs are required at the panel itself. When the panels do need to be accessed or removed, this can be accomplished without removing other panels in the wall. Starting at the top of the wall, panels can be pulled up and out into Service Mode, allowing the panel below to be accessed. Also built into each Clarity Matrix LCD display are service and troubleshooting aids that minimize downtime in the event of a failure. Power, backlight and fan monitoring are all built into Clarity Matrix to provide failure notification. Clarity WallNet enables health and status monitoring over a customer network to proactively provide health status or send an email or text message to a service technician alerting them of a failure.
Redundant Power Supply:
The rack-mount video processing and power supply units each support 4 LCD modules, incorporate their own cooling and make configuration, maintenance and upgrades easily accessible and unobtrusive to the video wall itself. For even further reliability, the Clarity Matrix power supply unit includes an n+1 redundant design so if any one power supply in the unit fails, the remaining 4 will continue to power 4 LCD’s with uninterrupted operation.
Flexible Video Processing:
Clarity Matrix supports a wide range of processing options to display sources on the video wall. Planar’s Big Picture Plus processing is built into Clarity Matrix and allows sources to be scaled across the entire video wall or any section of the video wall. To simplify the set-up process of Big Picture Plus, Clarity Matrix has position sensors built in the LCD that determine where it is located within the array and scale the sources across the video wall automatically. Big Picture Plus processing also allows for ultra-high resolution dual link DVI signals to be input and spread over multiple displays at native resolution. For more complex configurations, Clarity Matrix supports all leading image processing and digital signage software solutions including Planar’s Indisys image processing.
Clarity Matrix with ERO:
Clarity Matrix with ERO features a glass front to provide increased ruggedness and optical performance for applications in public spaces or interactive touch. The glass surface is optically bonded to the front of the LCD with a proprietary construction and technique which maintains the narrow bezel spacing and creates a continuous surface when tiled together in a video wall. Clarity Matrix with ERO also provides improved optical performance in high ambient light by providing additional ambient light rejection and increased contrast.","Display, documentation",,,60.00 lb(s),,,,,,450 nit(s),,DVI (Dual Link),DVI,3500:1,LED-backlit LCD,Widescreen,1920 x 1080,"(2) Dual-Link DVI (in, out)
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 179W (typ.)",,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
Buy Peerless Precision Gear Mount for Projectors up to 50 Pounds Stands & Mounts - AV PRGS-UNV today at PC Connection,CULus,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"50 pound Weight load capacity.
Patent pending precision gear provides accurate projector image alignment.
Two adjustment knobs control projector image alignment.
Horizontal wrench access slots make flush mounting installations fast & easy.
Pre-assembled design reduces installation time.
Quick release mechanism to easily service projector.
Cable management allows cables to be routed through projector mount out of sight.
Security hardware included for theft prevention.
Tilt- ± 20°, Roll ± 10°, Swivel 360°.
Contact Peerless for model specific adapter plate, or universal clamp style adapter plates.","Mount, documentation",Adapter plate kit,Projector,3.10 lb(s),"3.8""-4.8""h x 8.5""-17.6""w x 8.5""-17.6""d",limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Addlogix InternetVue 2100 Wireless Video Display Adapter, DVI Video Extenders & Splitters EV2100 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,White,"Video resolutions:
640x480 at 60/75Hz refress rate, up to 24-bit color depth
800x600 at 60/75Hz refress rate, up to 24-bit color depth
1024x768 at 60/75Hz refress rate, up to 24-bit color depth","InternetVue adapter main unit, audio cable, antenna, 5VDC 2A power adapter, CD, documentation",Wireless,,,"1.38""h x 5.91""w x 3.15""d",,,,,,,,,,,,,"(1) DVI
(1) HDDB15
(1) Stereo audio
(1) RJ45 (F)",,,,,,,,,,,,,,,,,,"Pentium 4 or M>1GHz with 512MB RAM (Intel Core Duo with 1GB RAM recommended); and
Windows XP Home or Professional with SP2, Windows 2000 Pro with SP4, or Windows Vista (mirror mode only).",,,
"Buy Samsung 23.6"" S24D390HL Full HD LED-LCD Monitor, Black Monitors - LED-LCD S24D390HL today at PC Connection",,Tilt,23.6 in,,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"See More with Style and Functionality:
Designed with a narrow bezel that allows you to see more of the screen. The transparent crystal neck raises the screen to the perfect viewing level and the tilt feature increases your field of vision to maximize your viewing comfort.
Samsung's Latest Elegant Touch of Color:
Featuring Samsung's signature Touch of Color (ToC) design, the stylish 23.6"" monitor stands out in any room. The narrow bezel illuminates a subtle hint of soft pure blue that sets an elegant glow around the monitor.
Be Entertained from Every Angle:
Experience superior picture quality as the PLS panel's wide viewing angle offers a consistent natural color and contrast ratio from any angle within 178 degrees, vertically and horizontally.
Enhanced Gaming Experience:
The perfect viewing settings for games with one touch of a button. The Game Mode option optimizes the settings for game play, which reduces screen lag, enhances the color and alters the screens contrast to provide the ultimate picture for gaming.
Upscaled Quality and Picture:
Magic Upscale Technology enhances the image quality no matter what the original picture quality was. Magic Upscale prevents image degradation when scaling up and gives only the most brilliant and pristine colors and images.
Handles Multiple Devices and Content:
All the connections you need to make the most of your entertainment and other content. The monitor provides a D-Sub connection and HDMI input. You can easily connect your devices and use the monitor for working, gaming, viewing content and more.
Dimensions and weight with stand:
16.1""h x 21.6""w x 8.3""d
8.1 lbs.","monitor, VGA cable, CD, documentation",,,7.30 lb(s),"13.1""h x 21.6""w x 3.2""d",,,,,250 cd/m2,16.7 million colors,Power HDMI 3.5mm audio HDDB15,HDMI VGA Power Audio,1000:1,LED display,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) HDMI
(1) 3.5mm audio
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 21W (typ.); 0.3W (standby)",5 ms,178/178,,,,,,,,,,6.0,,,,,,,,
"Buy Elite VMax Electric Projection Screen, 16:9, 100"" Projector Screens vmax100xwh2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite VMax 2 Projection Screen, MaxWhite, 4:3, 92in (Free Mount Projector Screens VMAX92XWV2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,"Projection screen, white case, RF remote, IR remote, wall box, documentation",,,,"55""h x 73""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy HP 21.5"" L2206tm LED-LCD Touchscreen Monitor, Monitor Monitors - LED-LCD B0L55AA#ABA today at PC Connection",TCO Displays 5.2 EPEAT Gold VCCI TUV S TUV GS FCC CEL KCC NOM Plug and Play CCC ISO 13406-2 CSA C-Tick E-Standby IEC 60950-1 Second Edition PSB CB GOST,Height Pivot (rotation) Tilt,21.5 in,0.248 mm,Yes,220 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Gray,"Anti-Glare
Pivot
1W Built-in speakers","Monitor, documentation",,,,,limited,,,,220 nit(s),,DisplayPort DVI-D USB Power HDDB15,USB VGA Power DVI-D,1000:1,LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(2) USB
(1) Power in",Consumption: 39W (max),5 ms,170/160,Pivot Dual speakers Speakers Included Touch screen,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy AOC 23"" I2369V LED-LCD Full HD Monitor, Black Monitors - LED-LCD I2369V today at PC Connection",CEL KC C-Tick RoHS FCC ISO 9241-307 TCO Displays 6.0 E-Standby BSMI CCC,,23 in,,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Glossy black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 22"" 22MB35P-B Full HD LED-LCD Monitor, Black, TAA Monitors - LED-LCD 22MB35P-B today at PC Connection",TCO Displays 6.0 TUV GS DDC/CI ISO 9241-307 Plug and Play TUV Ergo CUL ISO 13406-2,Swivel Pivot (rotation) Tilt Height,22 in,0.248 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Ergotron Single-to-Dual LCD Mount Kit for WorkFit-C Stands & Mounts - AV 97-606 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,,"LCD size: up to 22""
Max load capacity: 28 lbs.","Conversion kit, documentation",Mounting adapter,Dual flat panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy DoubleSight Dual 19"" DS-1900WA Widescreen LCD Monitor with Flex Monitors - LCD DS-1900WA today at PC Connection",FCC,,19 in,0.2835 mm,,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,,,"Monitor, stand, documentation",,,,,,,,,,,,,,,Widescreen,,,,,,,,,,,,,,,,,,,,,,,
Buy Logitech R400 Wireless Presenter Remote Controls - Presentation 910-001354 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"Wireless Presenter, Mini-receiver, (2) AAA batteries, carrying case, documentation",,,,,Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows XP, Vista
USB port",,,
"Buy HP 24"" Z24I Full HD LED-LCD Monitor, Black Monitors - LED-LCD D7P53A4#ABA today at PC Connection",FCC VCCI RoHS CB CCC EPA CEL Grade 1 WEEE KCC WHQL Plug and Play TCO Displays 6.0 CECP TUV S KC PSB NOM,Tilt Pivot (rotation) Height Swivel,24 in,0.27 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,"monitor, documentation",,,,,,,,,300 cd/m2,,DVI-D Power DisplayPort HDDB15,DisplayPort DVI-D VGA Power,1000:1,LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(1) Power in",Consumption: 55W (max),8 ms,178/178,Pivot,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
Buy HP LCD Monitor Stand Stands & Mounts - AV QM196UT today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,1 Year,Black,"The HP LCD Monitor Stand is compatible with HP notebooks up to 17.3 (43.92 cm) diagonal inches, HP Basic, Advanced, and Ultralight Docking Stations, and LCD displays up to 25 pounds (11.33 kg) with a base not exceeding the upper platform dimensions noted above.","Stand, documentation",Monitor stand,Monitor Notebook,6.70 lb(s),"5.1""h x 14""w x 16.3""d",limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
