3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
N,B2280WSD-B1 - Iiyama ProLite B2280WSD-B1  LED - Xpcpro.com,16:10,N,Y,Kensington,,,Black,5000000:1,1000:1,244.5 mm,,LCD,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TNFilm,,1,Unspecified,,,,Y,423.5 mm,130 mm,,50/60 Hz,100 - 240 V,,,,,,,,Y,0 - 90 °,,,- W,21 W,,,5 ms,,,,Unspecified,,,,N,,-5 - 22 °,N,-,1,178 °,170 °,5500 g,,512.5 mm,,,,,,,,,,0.282 x 0.282 mm,,,,,,,,-,100 x 100 mm,Y,,,,,,N,,,,,473.7 mm,296.1 mm,,,,,,2 pcs,,,,-160 - 160 °,,,,,,,,,,,,,,,,,,,,,,,-,24 - 80 kHz,,2 W,,55 - 75 Hz,,,,,,,,,,,,,- kWh,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"274E5QHAW/00 - Philips 274E5QHAW LED monitor 27"" - Xpcpro.com",16:9,,,,,,,,1000:1,,,,250 cd/m²,,,,,,,,,,,,,,,,,,,,,,20 - 80 %,0 - 40 °C,,,,,0.5 W,,,,,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,622 x 470 x 237 mm,Y,,30.000 h,667 x 546 x 106 mm,0.311 x 0.311 mm,25.6 W,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.89 x 336.31 mm,,,,,,,,,,,,,,,,,,,
N,"C9F26AT#ABB - HP ProDisplay P201 LED monitor 20"" - Xpcpro.com",16:9,N,N,Y,"AC, DVI, VGA",TCO,Black,3000000:1,1000:1,47.5 mm,151.1 mm,LED,250 cd/m²,"20 """,16.77 M,1600 x 900 pixels,,,1,Unspecified,Y,,N,Y,294.1 mm,,359.2 mm,50/60 Hz,100 - 240 V,Y,Y,Y,Y,Y,,,,,Y,22 W,0.5 W,20 W,Y,Y,5 ms,Y,,,1600 x 900,,,,N,Y,-5 - 25 °,N,,1,170 °,160 °,3500 g,,482 mm,482 mm,Y,,,,,,,,0.2768 x 0.2768 mm,,,,,,,,,,,,N,,,,,,,,,,,,50.8 cm,,,Y,,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 35 °C,,,,,,,,,,20 - 80 %,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,XB2776QS-B2 - Iiyama ProLite XB2776QS-B2 LED - Xpcpro.com,16:9,,Y,Kensington,"AC, Audio 3.5mm, DVI","CE, TUV-GS, VCCI-B, PSE, TCO 6, CU",Black,5000000:1,1000:1,230 mm,,LED,350 cd/m²,"27 """,16.77 M,2560 x 1440 pixels,AH-IPS,Y,1,Unspecified,Y,,Full HD,Y,418 mm,Y,,50/60 Hz,100 - 240 V,Y,,,Y,,,,Y,,,,,49 W,,Y,5 ms,,,,2560 x 1440,,-45 - 45 °,Y,N,Y,-5 - 23 °,N,,1,178 °,178 °,7400 g,,644 mm,,Y,,,,,,,,0.233 x 0.233 mm,,,,,30 - 80 kHz,55 - 75 Hz,1.0,1,100 x 100 mm,Y,,N,,,Silver,,,Y,,,335.7 mm,596.7 mm,,68.5 cm,,,Y,2,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,3 W,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,243V5LSB/00 - Philips V-line 243V5LSB LED monitor - Xpcpro.com,16:9,,,Kensington,,"RoHS, Lead-free, Mercury Free",Black,10000000:1,1000:1,52 mm,220 mm,LED,250 cd/m²,"23.6 """,16.77 M,1920 x 1080 pixels,LCD/TFT,Y,1,Unspecified,Y,,Full HD,,344 mm,,420 mm,50/60 Hz,100 - 240 V,"Operation, Stand-by",,,Y,Y,,,,,Y,,0.5 W,16.7 W,,,5 ms,,,,,,,,,Y,,,,1,170 °,160 °,3220 g,3660 g,551 mm,551 mm,,,,,Y,,30.000 h,,0.272 x 0.272 mm,,0.5 W,,W-LED,,,,,100 x 100 mm,Y,,,,,Silver,,,,,,521.28 mm,293.22 mm,,60 cm,,,,,5000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,,56 - 75 Hz,,,,,,,,,,,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,,,118 mm,415 mm,600 mm,,,,20 - 80 %,-20 - 60 °C,,,,Y,Y,,,,,,,,,,,,,,,1.0,,,521.28 x 293.22 mm,,"BSMI, CE Mark, cETLus, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, WEEE",,,,,,,,,,,,,,,,,
N,LS24A850DW/EN - Samsung SyncMaster S24A850DW - - Xpcpro.com,16:9,,N,-,"USB,Power","TCO 5, CE. TUV GS",Black,Mega Contrast,1000:1,41.5 mm,224.5 mm,TNFilm,300 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,,,1,,Y,,,Y,374.5 mm,,447 mm,50/60 Hz,100 - 240 V,,,Y,Y,,,,,,Y,,0.4 W,,Y,Y,5 ms,Y,,,1920 x 1200 WUXGA,,,,N,,,N,,1,178 °,178 °,5800 g,,558.5 mm,558.5 mm,Y,,,,,,,,0.270 x 0.270 mm,,,,LED,,,,,"100 x 100,200 x 100 mm",Y,,,,,,Y,,,,,,,,,,,Y,,7800 g,,,,,,,,,,,,,,,,,,,,,,,,N,,,30 - 75 kHz,64 W,,,56 - 61 Hz,,,,,,,,,,,,,,,,179 mm,443 mm,630 mm,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,Y,,,"21.9 x 1.6 x 14.7 """,,,,,,,,,,,,,
N,E2283HS-B1 - Iiyama ProLite E2283HS LED monitor - Xpcpro.com,16:9,N,Y,Kensington,"AC, Audio 3.5mm, DVI, VGA","TCO, CE, TUV-GS, VCCI-B, CU",Black,5000000:1,1000:1,,193 mm,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,TN,Y,1,Unspecified,Y,,Full HD,Y,,N,382.5 mm,50/60 Hz,100 - 240 V,,,,Y,,,,,,Y,,0.5 W,21 W,,Y,2 ms,,,,1920 x 1080 HD 1080,,,,N,Y,,N,,1,170 °,160 °,,3000 g,,505.5 mm,"Windows 2000, Windows 7 Home Basic, Windows 8, Windows 95, Windows 98, Windows ME, Windows Vista Home Basic, Windows XP Home",,,,,,,,0.248 x 0.248 mm,,,,,,,,1,100 x 100 mm,Y,,,N,,Silver,,,Y,,,476.6 mm,268.1 mm,,,,,Y,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,2 W,,55 - 75 Hz,,,,,,,Y,,,11.0,"CHI TR, CZE, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"VA2232W-LED - ViewSonic VA2232w-LED,  LED monitor, - Xpcpro.com",16:10,N,-,-,AC,"CE, CB, REACH SVHC, UL, cUL, FCC-B / ICES-003B, UL-AR / TUV-S, NOM, Nemko ERGO, GS, GOST-RHygienic, UkrSEPRO, ErP, CCC, CEL 1, BSMI, PSB, C-tick, SASO",Black,100000000:1,1000:1,61.2 mm,195.4 mm,LED,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,,,1,Unspecified,-,N,,-,352.4 mm,,416.2 mm,50/60 Hz,100 - 240 V,Y,Y,Y,,Y,20 - 80 %,0 - 40 °C,,,Y,,- W,- W,Y,Y,5 ms,Y,,,1680 x 1050 WSXGA,,,,N,,20 - -5 °,N,-,1,170 °,160 °,3540 g,3910 g,510.7 mm,510.7 mm,Y,,,,,,40000 h,,0.282 x 0.282 mm,,,,,,,,-,100 x 100 mm,Y,,N,,,-,N,N,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,24 - 82 kHz,,,"WEEE, RoHS",50 - 75 Hz,,,,,,,Y,,,,,,- kWh,,,,,,,,,,,,,,Y,,,1 pcs,,,,,,,,,N,,,,,,,,,TCO,,,,,,,,,,,,,,,,,
N,"I2757FM - AOC I2757FM  LED monitor  27""  1920 x - Xpcpro.com",16:9,N,Y,N,"AC, HDMI, VGA","TÜV, ISO 9241-307, cCSAus, CE, FCC","Black, Silver",20000000:1,1000:1,130 mm,,LED,250 cd/m²,"27 "" 68.6 cm",16.77 M,1920 x 1080 pixels,IPS,,,Unspecified,Y,,,N,449 mm,N,,50/60 Hz,100 - 240 V,,,,,,,,,,,,- W,- W,,,5 ms,,,,1920 x 1080 HD 1080,,,,N,,,N,1,1,178 °,178 °,- g,,622 mm,,,,,,,,,,0.311 x 0.311 mm,,,,,,,,1,N mm,N,,,,,-,Y,,,,,597.89 mm,336.31 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,XUB2790HS-B1 - Iiyama ProLite XUB2790HS-1  LED - Xpcpro.com,16:9,N,Y,,"AC, Audio 3.5mm, HDMI, VGA","TCO, CE, TUV, VCCI-B, PSE",Black,5000000:1,1000:1,230 mm,,LCD,250 cd/m²,"27 """,16.77 M,1920 x 1080 pixels,,Y,,Unspecified,,,Full HD,Y,433 mm,Y,,50/60 Hz,100 - 240 V,,,,,,,,Y,,,55 W,,27 W,,,5 ms,,,,1920 x 1080 HD 1080,,,Y,N,Y,,N,,1,89 °,89 °,4250 g,6500 g,622.5 mm,,,,,,,,,,0.311 x 0.311 mm,,,,,,,,1,100 x 100 mm,Y,,,,,,,,,,,,,,68.6 cm,,,Y,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,5 - 35 °C,,Y,,,,,,,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223V5LSB/00 - Philips V-line 223V5LSB LED monitor - Xpcpro.com,16:9,N,N,Kensington,,"RoHS, Lead-free, Mercury Free",Black,10000000:1,1000:1,50 mm,213 mm,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,LCD/TFT,Y,1,Unspecified,Y,,Full HD,,316 mm,,376 mm,50/60 Hz,100 - 240 V,"Operation, Stand-by",,,Y,Y,,,,,Y,,0.5 W,15.64 W,,,5 ms,,,,,,,,N,,,N,,1,170 °,160 °,2350 g,2610 g,503 mm,503 mm,,,,,Y,,30.000 h,,0.248 x 0.248 mm,,0.5 W,,W-LED,,,,,100 x 100 mm,Y,,,,,Silver,,,,,,476.64 mm,268.11 mm,,54.6 cm,,,Y,,3870 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,,56 - 76 Hz,,,,,,,,,,,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,,,107 mm,414 mm,555 mm,,,,20 - 80 %,-20 - 60 °C,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"X2200011E0100 - Neovo X22,  LED monitor 21.5"",  - Xpcpro.com",Unspecified,N,Y,-,"AC, VGA","FCC, CB, CE, BSMI, Erp, RoHS, WEEE, REACH",Black,2000000:1,,369 mm,,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,,,1,-,,,,N,155 mm,,,50/60 Hz,100 - 240 V,,,Y,,,10 - 90 %,0 - 40 °C,,,,,0.5 W,25 W,,,3 ms,,5 - 95 %,,1920 x 1080 HD 1080,,,,N,,,N,,1,170 °,160 °,6900 g,,513 mm,,,,,,,,,,,,0.5 W,,,24 - 82 kHz,50 - 85 Hz,,1,"100 x 100, 75 x 75 mm",Y,,,,,,Y,,,,,,,,,,,,2 pcs,9500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,- kWh,,,497 mm,213 mm,633 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,E2278HD-GB1 - Iiyama ProLite E2278HD-1 LED monitor - Xpcpro.com,16:9,N,N,Kensington,,,Black,5000000:1,1000:1,177.5 mm,,LCD,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,TNFilm,,1,Unspecified,Y,,,Y,369.5 mm,,,50/60 Hz,100 - 240 V,,,,,,,,,,,,- W,20 W,,,5 ms,,,,Unspecified,,,,N,,-5 - 23 °,N,-,1,170 °,160 °,2800 g,,514.5 mm,,,,,,,,,,0.248 x 0.248 mm,,,,,,,,-,100 x 100 mm,Y,,,,,-,Y,,,,,476.6 mm,268.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,30 - 80 kHz,,,,55 - 75 Hz,,,,,,,,,,,,,- kWh,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"E2070SWN - AOC E2070SWN LED monitor 19.5"" 1600 x - Xpcpro.com",16:9,N,N,Kensington,,"CE, FCC, GOST, RoHS, EuP, NRTL",Black,20000000:1,800:1,,156 mm,LED,200 cd/m²,"19.5 """,16.77 M,1600 x 900 pixels,TNFilm,N,,,Y,,,N,,N,346.35 mm,50/60 Hz,90 - 240 V,,,,,,,,N,,,,0.5 W,18 W,,,5 ms,,,,1600 x 900,,,N,N,Y,-5 - 15 °,N,,1,90 °,50 °,,2270 g,,464.63 mm,,,,,,,,,0.27 x 0.27 mm,,0.3 W,,W-LED,,,,,100 x 100 mm,Y,,,,,Silver,,,,,,432 mm,239.8 mm,,49.5 cm,,,,,,495 mm,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,,,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"B5M13AA#ABB - HP W2072a,  LED monitor  20"",  1600 - Xpcpro.com",16:9,N,N,Y,,,Black,3000000:1,600:1,170 mm,,LCD,200 cd/m²,"50.8 cm 20 """,16.77 M,1600 x 900 pixels,TNFilm,,1,Unspecified,Y,,N,Y,356.6 mm,N,,,95 - 265 V,,,,Y,,20 - 80 %,,,,,,0.5 W,20 W,,,5 ms,,,,"720 x 400, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1440 x 900 WXGA, 640 x 480 VGA, 800 x 600 SVGA",,,,N,Y,-5 - 19 °,N,,1,90 °,50 °,3500 g,,477.3 mm,,,,,,,,,,0.277 x 0.277 mm,,,,,,,,,,,,,,,Silver,,,,,,443 mm,249 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 83 kHz,,,,50 - 76 Hz,,,,,,,,,,,"CHI SIMPL, CHI TR, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"60003588 - NEC MultiSync EA234WMi LED monitor  23"" - Xpcpro.com",16:9,N,Y,,"AC, DVI, USB, VGA","TC Edge 1.2, RoHS",Black,25000:1,1000:1,60.5 mm,218 mm,LCD,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,IPS,Y,1,Unspecified,Y,,Full HD,Y,321.6 mm,Y,510.4 mm,,,Y,,Y,Y,,,,Y,,Y,,0.41 W,27 W,Y,Y,6 ms,Y,,,1920 x 1080 HD 1080,,,Y,N,Y,,N,4,1,178 °,178 °,4000 g,6400 g,543.8 mm,543.8 mm,,,,,Y,,,,0.27 x 0.27 mm,,,,W-LED,,,1.0,1,100 x 100 mm,Y,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5 - 83 kHz,,,,56 - 75 Hz,,,,,,,,,,,,5 - 35 °C,,,,,,,,0 - 12192 m,0 - 2000 m,20 - 80 %,-10 - 60 °C,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,10 - 85 %,,,,,,,,,,,,,,
,273E3LHSB/00 - Philips E-line 273E3LHSB - LED - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DVI-D mit HDCP, D-Sub 15 pol., HDMI mit HDCP",1.920 x 1.080,Wide 15:9/16:9/16:10,178 °,170 °,"68.6 cm 27 """,,,"8,2 kg",300 cd/qm,1200 :1,Standard-TFT,,,4 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,S26361-K1485-V160 - Fujitsu B20T-6 LED proGREEN  - Xpcpro.com,16:9,N,Y,Kensington,,"CE 2004/108/EEC, EN 60950, RoHS, WEEE, IT-EcoB20T-6, TÜV GS, TCO 5.2, EPEAT, ISO9241-307",Black,2000000:1,1000:1,60 mm,168 mm,LCD,250 cd/m²,"20 """,16.77 M,1600 x 900 pixels,TNFilm,Y,1,Unspecified,Y,,N,Y,294 mm,Y,321 mm,50/60 Hz,100 - 240 V,,,,Y,Y,,,Y,,,,0.36 W,16.6 W,,Y,5 ms,,,,"1280 x 1024 SXGA, 1280 x 768 WXGA, 1440 x 900 WXGA, 640 x 480 VGA, 800 x 600 SVGA",,-170 - 170 °,Y,N,Y,-5 - 35 °,N,,1,170 °,170 °,2600 g,4200 g,475 mm,475 mm,,,,,Y,,70000 h,,0.2766 x 0.2766 mm,,0.36 W,,,,,,,100 x 100 mm,Y,Y,,,,Gold,,,,,,442.8 mm,249.1 mm,,50.8 cm,,,,,6100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 82 kHz,,3 W,,56 - 76 Hz,,,,,,,,,3.5 mm,19.0,"ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR",5 - 35 °C,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"P1X19QV0E11-A3 - Neovo X19,  LCD monitor 19"",  - Xpcpro.com",5:4,N,N,Kensington,,,"Black, White",3000:1,,175 mm,,LCD,300 cd/m²,"19 """,- M,1024 x 1024 pixels,,,1,-,-,,,N,419 mm,N,,,,,,,,Y,,,,,Y,,- W,- W,,,3 ms,,,,1280 x 1024 SXGA,,,,N,,,N,,,170 °,160 °,7900 g,,444 mm,,,,,,,,,,,,,,,,,,,Unspecified mm,Y,,,,,-,N,,,Horizontal,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- kWh,,,,,,,,,,,,,,,,,1 pcs,Y,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
,"UM.FB6EE.009 - Acer B246HLymdr LED monitor 24"" - Xpcpro.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DVI-I mit HDCP, D-Sub 15 pol.",1.920 x 1.080,Wide 15:9/16:9/16:10,170 °,160 °,"61 cm 24 ""","Pivot drehbar 90°, höhenverstellbar, Speaker, LED Backlight",darkgrey,"7,6 kg",250 cd/qm,1000 :1,TN Film,intern,"FCC, ISO 9241-307, CE, TÜV-GS",5 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCO 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"T2252MTS-B3 - Iiyama T2252MTS-B3 54,7CM 21,5IN LED - Xpcpro.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D-Sub 15 pol., USB, DVI-D, 2x DVI-D mit HDCP",1.920 x 1.080,,170 °,160 °,"54.6 cm 21.5""",,,5.100 kg,220 cd/qm,1000 :1,TN,intern,,2 ms,,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X2485WS-B1 - Iiyama ProLite X2485WS LED monitor - Xpcpro.com,16:10,N,Y,Kensington,,,Black,3000:1,1000:1,216.5 mm,,LCD,300 cd/m²,"24.1 """,16.77 M,1920 x 1200 pixels,IPS,,1,,Y,,,Y,449 mm,N,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,36 W,,,5 ms,,,,,,,,N,,-5 - 22 °,N,,1,178 °,178 °,4600 g,,561 mm,,,,,,,,,,0.270 x 0.270 mm,,,,,,,1.0,,100 x 100 mm,Y,,,,,,N,,,,,518.4 mm,324 mm,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 94 kHz,,1.5 W,,50 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"60003587 - NEC MultiSync EA234WMi  LED monitor 23"" - Xpcpro.com",16:9,N,Y,Kensington,"Audio 3.5mm, USB",,Black,25000:1,1000:1,218 mm,,LED,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,TFT,Y,1,Unspecified,Y,,Full HD,Y,380.4 mm,Y,,,,,,Y,Y,,,,,,Y,,0.5 W,22 W,,Y,6 ms,,,,"1280 x 960, 1400 x 900, 1680 x 1056, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1280 x 768 WXGA, 1360 x 768 WXGA, 1366 768, 1400 x 1050 SXGA, 1440 x 900 WXGA, 1600 x 1200 UXGA, 1920 x 1080 HD 1080, 640 x 480 VGA, 800 x 600 SVGA",,-170 - 170 °,Y,N,Y,-5 - 30 °,N,1,1,178 °,178 °,6400 g,,543.8 mm,,,,,,Y,,,,0.265 x 0.265 mm,,,,W-LED,31.5 - 83 kHz,56 - 75 Hz,1.0,1,100 x 100 mm,Y,,,,,Gold,,,,,,,,,58.4 cm,,,,2,,,16 W,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"VA2445M-LED - ViewSonic VA2445m-LED, LED monitor - Xpcpro.com",16:9,N,Y,Kensington,"AC, Audio 3.5mm, VGA",,Black,10000000:1,1000:1,50.4 mm,211.2 mm,,250 cd/m²,"23.6 """,,1920 x 1080 pixels,,,1,Unspecified,Y,N,Full HD,,350.9 mm,N,350.9 mm,50/60 Hz,100 - 240 V,,,Y,,,10 - 90 %,0 - 40 °C,,,,,,22 W,,Y,5 ms,,,,1920 x 1080 HD 1080,1080p,,,,Y,-5 - 20 °,N,,1,170 °,160 °,3720 g,400.9 g,571.4 mm,571.4 mm,,N,,,,,30000 h,,,,,,W-LED,24 - 82 kHz,50 - 75 Hz,,,100 x 100 mm,Y,,N,N,,,,,1,,,,,,,,,Y,2,5430 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,,,,,,,,,,,,,,123 mm,440 mm,628 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"X2380HS-B1 - Iiyama ProLite X2380HS-1, LED monitor - Xpcpro.com",16:9,N,Y,Kensington,"AC, DVI, VGA","CE, TUV-GS, TÜV-Bauart, VCCI-B, CU, TCO 6",Black,10000000:1,1000:1,213.5 mm,,LCD,300 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,,Y,1,Unspecified,Y,,Full HD,Y,388.5 mm,,,50/60 Hz,100 - 240 V,,,,Y,,,,,,Y,,0.5 W,26 W,,,5 ms,,,,1920 x 1080 HD 1080,,,,N,Y,,N,,1,178 °,178 °,5800 g,,548.5 mm,,,,,,,,,,0.2652 x 0.2652 mm,,,,,24 - 80 kHz,56 - 75 Hz,,1,100 x 100 mm,Y,,,,,,,,,,,509.18 mm,286.41 mm,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
