3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
No,ASUS VE228TLB LED display - MBE,Yes,16:9,,,No,No No No,Yes Yes Yes,,Kensington Kensington,"AC, DVI, VGA AC, DVI, VGA",,,Black Black,8000000:1,,21.393 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,LCD,1.0,Unspecified,Yes,,Full HD,No,,36.407 cm,Yes,,,,Yes Yes,2 2 2,,Yes Yes,,,,Yes,,,,0.5W,35W,Yes Yes,,5 ms,,,,1920 x 1080 (HD 1080),,,Yes,No,Yes,-5 - 15Â°,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,4.8 kg,51.284 cm,,,,1.0,,,7 kg 7 kg,5.49 cm 5.49 cm,30.851 cm 30.851 cm,51.284 cm 51.284 cm,,2W 2W 2W,,3.0,No,,,54.6 cm,,Yes,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VK278Q 27 INCH LED INTEGRATED WEBCAM 1920 X 1080 2MS MULTIMEDIA VGA DISPLAY PORT DVI HDMI 100 X 100 - MBE,,16:9,,,,Yes Yes Yes,Yes Yes Yes,,Kensington Kensington,"AC, AUX, DVI, VGA AC, AUX, DVI, VGA",,"UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, Taiwan Green Mark, RoHS, WEEE, Windows 7 & Vista WHQL",Black Black,10000000:1,,22 cm,,300 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,,1.0,,Yes,,Full HD,Yes,1.0,46 cm,,24 - 92 kHz,,,,2 2 2,,,,,,,,0.311 x 0.311 mm,,,45W,,Yes Yes,2 ms,,,,1920 x 1080 (HD 1080),,,,No,,-5 - 20Â°,No No,50 - 85 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,6.5 kg,64.3 cm,,,,1.0,,,9.8 kg 9.8 kg,,,,,3W 3W 3W,,,,,,,,,,,,,,,,,,,732 x 176 x 560 mm,Yes,,,,,,,,24 - 92 kHz,50 - 85 Hz,1.0,,,68.6 cm,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,2 MP 2 MP 2 MP,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes Yes,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1515L - MBE,,4:3,,,,,,,,,,"UL, cUL, FCC, CE, Semko/ Demko, VCCI, ICES, C
TICK, MPRII, S-Mark, BSMI, CCC, KC, China RoHS UL, cUL, FCC, CE, Semko/ Demko, VCCI, ICES, C
TICK, MPRII, S-Mark, BSMI, CCC, KC, China RoHS",Grey Grey,,500:1,,,225 cd/mÂ²,"38.1 cm (15"")",,1024 x 768 pixels,,,,,,,,,,,31.5 - 60.2 kHz,50/60 Hz,100 - 240V,,,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,,,30W,,,11.7 ms,,10 - 90%,-20 - 60 Â°C,,,,,,,,,56.3 - 75 Hz,75 x 75 mm,1.0,,,140Â°,125Â°,Yes,3.3 kg,,,,No,,,,7 kg 7 kg,,,,,,,1.0,,,350 x 175 x 310 mm,,,,,,,,,50000h 50000h,,,,,445 x 380 x 260 mm 445 x 380 x 260 mm,,,,,,4.8 kg,,,,,,,,,,,LCD,304 x 228 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,16.7M,1.0,,,,,,,,,,,,,,,,,,,,No,,,1024 x 768 1024 x 768,,,,,,,,,,1024 x 768 pixels 1024 x 768 pixels,,,
,Elo TouchSystems 1519L - MBE,,16:9,1,,,,Yes Yes,,,,,"UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE",Grey Grey,,500:1,,,225 cd/mÂ²,"39.62 cm (15.6"")",,1366 x 768 pixels,,,,,,,,,,,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,,,15.6W,,,8 ms,,10 - 90%,-20 - 60 Â°C,,,,,,,,,50 - 75 Hz,75 x 75 mm,1.0,,,90Â°,65Â°,Yes,3.43 kg,,,,No,2.0,,,7.4 kg 7.4 kg,,,,,,,1.0,,,383 x 213 x 277 mm,,,,,,,,,50000h 50000h,,0 - 12192m,,0 - 3658m,475 x 350 x 225 mm 475 x 350 x 225 mm,,,,,,5.14 kg,,,,,,,,,,,LCD,344 x 194 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,16.7M,1.0,,,,,,,,,,,,,,,,,,,,Yes,,,1366 x 768 1366 x 768,,,,,,,,,,1680 x 1050 pixels 1680 x 1050 pixels,,,
No,AOC i2757FM 27 INCH WIDE LED IPS VGA 2 X HDMI SPEAKERS MHL CONNECTION FOR ANDRIOD PHONES - MBE,,16:9,,,,No No No,Yes Yes Yes,,No No,"AC, HDMI, VGA AC, HDMI, VGA",,"TÃœV, ISO 9241-307, cCSAus, CE, FCC",,20000000:1,1000:1,13 cm,LED,250 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,IPS,,,Yes,,Full HD,No,1.0,44.9 cm,No,,50/60 Hz,100 - 240V,,,,,,,,,,0.311 x 0.311 mm,,,,,,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,,No,1.0,59.789 cm,33.631 cm,178Â°,178Â°,No,,62.2 cm,,,,,,,,,,,,,,1.0,,,,68.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips LCD monitor with LED backlight 200V4LAB - MBE,,16:9,,W-LED,No,No No No,Yes Yes Yes,No No No,Kensington Kensington,,,RoHS,Black Black,10000000:1,1000:1,4.8 cm,LCD,250 cd/mÂ²,"49.53 cm (19.5"")",16.77M,1600 x 900 pixels,,1.0,Unspecified,Yes,,,Yes,,29.9 cm,No,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2 2,9 9,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",20 - 80%,0 - 40 Â°C,,,0.27 x 0.27 mm,,0.5W,15.02W,Yes Yes,,5 ms,,,-20 - 60 Â°C,1600 x 900,,,,No,Yes,-5 - 20Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,2.39 kg,47.9 cm,,,,,,,3.79 kg 3.79 kg,12.4 cm 12.4 cm,37.2 cm 37.2 cm,56.7 cm 56.7 cm,,4W 4W 4W,,,No,20.1 cm,479 x 369 x 201 mm,49.5 cm,Yes,,,Silver,,36.9 cm,Yes Yes,30.000h 30.000h,,3658 - 12192m,,0 - 3658m,567 x 372 x 124 mm,Yes,,15.02W,0.5W,,2.72 kg,47.9 cm,Yes Yes,,,,,,,,Yes Yes,,432 x 239.76 mm 432 x 239.76 mm,,,,,Yes Yes,,,,,,,,,,,15.02W,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 x 900 pixels 1600 x 900 pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LG 34UM95 Black Monitor - MBE,,21:9,,,,No No No,Yes Yes Yes,,No No,,,"TCO6.0, EPA, CE, FCC-B, UL",Silver Silver,,,8.29 cm,LED,320 cd/mÂ²,"86.36 cm (34"")",1070M,3440 x 1440 pixels,IPS,,Unspecified,,,Wide Quad HD,Yes,2.0,37.98 cm,No,,,,,2 2 2,,,,,,,,,Yes Yes,1.2W,80W,,,5 ms,,,,3440 x 1440,,,,No,Yes,5 - 15Â°,No No,,100 x 100 mm,,,,178Â°,178Â°,Yes,6.7 kg,82.99 cm,,,,,,,,17.7 cm 17.7 cm,51.3 cm 51.3 cm,90.4 cm 90.4 cm,,14W 14W 14W,,2.0,,17.29 cm,,,,No,,,,46.89 cm,,,,,Yes Yes,,,,,,0.5W,,7.7 kg,82.99 cm,"Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",30 - 90 kHz,56 - 61 Hz,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
No,NEC MultiSync E223W - MBE,Yes,16:10,,W-LED,No,No No No,No No No,,Kensington Kensington,"AC, DVI, VGA AC, DVI, VGA",,TCO 5.2,White White,25000:1,1000:1,21.8 cm,LED,250 cd/mÂ²,"55.88 cm (22"")",16.77M,1680 x 1050 pixels,TN+Film,1.0,Unspecified,Yes,No,No,Yes,,38.4 cm,Yes 11 cm,31.5 - 82.3 kHz,50/60 Hz,100 - 240V,Yes Yes,,,Yes Yes,,20 - 80%,5 - 35 Â°C,Yes,0 - 90Â°,0.282 x 0.282 mm,Yes Yes,0.4W,,Yes Yes,Yes Yes,5 ms,,,,"1280 x 960, 1366 x 768, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,-170 - 170Â°,Yes,No,Yes,-5 - 30Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,5.6 kg,50.35 cm,,,,,,,,,,,,,,,No,,,55.87 cm,Yes,,,Silver,,,,,,,Yes Yes,,,,,25W,,,,,Yes Yes,,,1.0,,,,12W,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1519L - MBE,,16:9,1,,,,Yes Yes,,,,,"UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE UL, cUL, NOM, CB, S-mark, CCC, VCCI, KC, KKC, BSMI, RoHS, China RoHS, WEEE, IMERC, CE",Grey Grey,,500:1,,,225 cd/mÂ²,"39.62 cm (15.6"")",,1366 x 768 pixels,,,,,,,,,,,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2,,Yes Yes,,20 - 80%,0 - 40 Â°C,,,,,,15.6W,,,8 ms,,10 - 90%,-20 - 60 Â°C,,,,,,,,,50 - 75 Hz,75 x 75 mm,1.0,,,90Â°,65Â°,Yes,3.43 kg,,,,No,2.0,,,7.4 kg 7.4 kg,,,,,,,1.0,,,383 x 213 x 277 mm,,,,,,,,,50000h 50000h,,0 - 12192m,,0 - 3658m,475 x 350 x 225 mm 475 x 350 x 225 mm,,,,,,5.14 kg,,,,,,,,,,,LCD,344 x 194 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7M,1.0,,,,,,,,,,,,,,,,,,,,Yes,,,1366 x 768 1366 x 768,,,,,,,,,,1680 x 1050 pixels 1680 x 1050 pixels,,,
,AOC I2460PXQU 24  IPS DVI-D HDMI Display Port Monitor - MBE,,16:10,,,,,Yes Yes Yes,,Kensington Kensington,"VGA, Audio (3.5mm), DVI VGA, Audio (3.5mm), DVI",,"EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TÃœV-GS, TCO 6.0",Black Black,20000000:1,1000:1,24.46 cm,LED,300 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1200 pixels,IPS,1.0,Unspecified,Yes,,,Yes,1.0,42.34 cm,Yes 13 cm,,50/60 Hz,110 - 220V,,,,Yes Yes,,,,Yes,,,,1W,22W,,,6 ms,,,,1920 x 1200 (WUXGA),,,Yes,,Yes,-5 - 20Â°,,,,1.0,,,178Â°,178Â°,Yes,6.65 kg,55.84 cm,,,,,,,,,,,,,,,,,,61 cm,,Yes,,Silver,,,,,,,,,,,,,0.5W,,,,,30 - 83 kHz,50 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hanns G 21.5"" HE225DPB Full HD LED/TFT Monitor - MBE",,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA",,"FCC, UL/CUL, CE, CB, GOST, 3C, China energy level 1",Black Black,40000000:1,1000:1,18.5 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",,1920 x 1080 pixels,LCD,1.0,Unspecified,Yes,,Full HD,Yes,,36.74 cm,,30 - 83 kHz,50/60 Hz,100 - 240V,Yes Yes,2 2 2,12 12,Yes Yes,,20 - 85%,5 - 35 Â°C,,,0.248 x 0.248 mm,,0.5W,24W,,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),,,,No,,,No No,56 - 75 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.12 kg,51.28 cm,,,,,,,,,,,,1.5W 1.5W 1.5W,,,,11.8 cm,,54.6 cm,,Yes,,,,41.6 cm,,,,,Yes Yes,,,Yes,,,0.5W,,3.95 kg,57.1 cm,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newstar LCD/TFT desk mount - MBE,,,,,,,,,,,,,Silver Silver,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 180Â°,,,"75 x 75, 100 x 100 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.04 cm (26"")","25.4 cm (10"")",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 500 mm,10 kg,,360Â°,,,,,,300Â°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP W1972a - MBE,,16:9,,,,No No No,Yes Yes Yes,,Yes Yes,,,,Black Black,3000000:1,600:1,4.75 cm,LCD,200 cd/mÂ²,"46.99 cm (18.5"")",16.77M,1366 x 768 pixels,,1.0,Unspecified,Yes,,No,Yes,,28.15 cm,No,24 - 83 kHz,50/60 Hz,100 - 240V,,,,,,20 - 80%,,,,0.300 x 0.300 mm,,0.5W,18W,,,5 ms,,,,,,,,No,Yes,-5 - 19Â°,No No,50 - 76 Hz,,1.0,,,90Â°,50Â°,,2.7 kg,44.61 cm,,,,,,,,,,,,1W 1W 1W,,,,17.02 cm,,47 cm,,,,Silver,,33.95 cm,,,,,,,,,,,,,,44.61 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Iiyama ProLite B2480HS - MBE,Yes,16:9,Yes,Edge-lit LED,No,No No No,Yes Yes Yes,No No No,Kensington Kensington,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",No No,"CE, CU, TUV-GS, TCO",Black Black,5000000:1,1000:1,24.45 cm,LED,300 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,,Yes,No,Full HD,Yes,1.0,55.7 cm,Yes 13 cm,24 - 80 kHz,50/60 Hz,100 - 240V,,2 2 2,9 9,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",10 - 80%,5 - 35 Â°C 41 - 95 Â°F,Yes,0 - 90Â°,0.2715 x 0.2715 mm,Yes Yes,1W,22W,Yes Yes,Yes Yes,2 ms,Yes,5 - 85%,-20 - 60 Â°C,1920 x 1080 (HD 1080),,-160 - 160Â°,,No,,-5 - 22Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,52.128 cm,29.322 cm,170Â°,160Â°,Yes,6.1 kg,57.15 cm,,,,,,,,,,,,4W 4W 4W,,,,,,,,,,,,,Yes Yes,,,,Yes Yes,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,No No No,,,,,,,,,,,,,No,No,,No No,,,,
No,Iiyama ProLite E1980SD - MBE,,5:4,,,No,,Yes Yes Yes,No No No,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",No No,"CE, TÃœV-GS, VCCI-B, TCO, CU",Black Black,,1000:1,18.9 cm,LED,250 cd/mÂ²,"48.26 cm (19"")",16.77M,1280 x 1024 pixels,TN+Film,1.0,Unspecified,Yes,No,No,Yes,,40.2 cm,,24 - 80 kHz,50/60 Hz,100 - 240V,Yes Yes,2 2 2,9 9,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,,,,0.294 x 0.294 mm,,1W,16W,,Yes Yes,5 ms,Yes,,,1280 x 1024 (SXGA),,,,No,Yes,-4 - 21Â°,,56 - 75 Hz,100 x 100 mm,1.0,37.632 cm,30.105 cm,170Â°,160Â°,Yes,3.2 kg,41.1 cm,,,,,,,,,,,,2W 2W 2W,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,,,,,,,,Horizontal Horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS PA248QJ 24 INCH IPS LED PRO ART WITH CALIBRATOR & HOOD 1920 x 1200 VGA DVI DISPLAY PORT HDMI HEIGHT - MBE,,16:10,,,,No No No,No No No,,Kensington Kensington,,,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WHQL",Black Black,80000000:1,,6.2 cm,,300 cd/mÂ²,"61.21 cm (24.1"")",16.77M,1920 x 1200 pixels,IPS,1.0,Unspecified,Yes,,Full HD,Yes,1.0,36.28 cm,Yes,30 - 83 kHz,50/60 Hz,100 - 240V,,,,Yes Yes,,,,Yes,,0.270 x 0.270 mm,,,45W,,,6 ms,,,,1920 x 1200 (WUXGA),,,Yes,No,Yes,-5 - 20Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,,55.72 cm,,,,1.0,,,,,,,,,,5.0,,23.5 cm,,61.13 cm,,,,,,41.63 cm,,,,,,,,,,,,,6.4 kg,55.72 cm,,30 - 83 kHz,50 - 76 Hz,1.0,,,,1W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elo TouchSystems 1517L Rev B - MBE,,4:3,,,,,,,,,,,White White,,700:1,,,225 cd/mÂ²,"38.1 cm (15"")",,1024 x 768 pixels,,,,,,,,,,,31.5 - 60 kHz,50/60 Hz,100 - 240V,,,8,,"CHI (SIMPL), CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN",20 - 80%,0 - 40 Â°C,,,,,,12W,,,16 ms,,10 - 90%,20 - 60 Â°C,"720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA) 720 x 400, 1024 x 768 (XGA), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,,,,,56 - 75 Hz,75 x 75 mm,1.0,,,160Â°,140Â°,,,,,,,,Yes,,7.3 kg 7.3 kg,23.1 cm,48.5 cm,48.7 cm,,,,1.0,,,358 x 197 x 319 mm,,,,,,,,,50000h 50000h,,,,,,,,,,,4.3 kg,,,,,,,,,,,TFT,228 x 304 mm,AC/DC AC/DC,Tabletop Tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3 cm 4.3 cm,16.2M,1.0,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asus PA248QJ 24.1 Professional ProArt Widescreen IPS LED Monitor - Black /w hood and calibrator - MBE,,16:10,,,,No No No,No No No,,Kensington Kensington,,,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WHQL",Black Black,80000000:1,,6.2 cm,,300 cd/mÂ²,"61.21 cm (24.1"")",16.77M,1920 x 1200 pixels,IPS,1.0,Unspecified,Yes,,Full HD,Yes,1.0,36.28 cm,Yes,30 - 83 kHz,50/60 Hz,100 - 240V,,,,Yes Yes,,,,Yes,,0.270 x 0.270 mm,,,45W,,,6 ms,,,,1920 x 1200 (WUXGA),,,Yes,No,Yes,-5 - 20Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,,55.72 cm,,,,1.0,,,,,,,,,,5.0,,23.5 cm,,61.13 cm,,,,,,41.63 cm,,,,,,,,,,,,,6.4 kg,55.72 cm,,30 - 83 kHz,50 - 76 Hz,1.0,,,,1W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
