<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Benq Benq RL2455HM 9H.LA9LB.DBE Planet Computer.it,Si,435 mm,,,Si,170 °,160 °,Kensington,,TCO 5.2,Non specificato,Nero,16.77 M,100 x 100 mm,N,27 W,,0.5 W,60.96 cm,0.276 x 0.276 mm,16:9,N,,Si,-5 - 15 °,Si,,Si,,579 mm,,,,250 cd/m²,,1080p,Si,4.1 kg,5.7 kg,,Si,Si,189 mm,,,1.0,,1000:1,12000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",TN+Film,1 ms,N,,LED,Full HD,90 - 264 V,,Si,,N,,,,,N,N,,"Connettività
Connessione cuffia 3.5 mm
Quantità porte HDMI 2
AC (power) in Si
Quantità porte VGA (D-Sub) 1
Porta DVI Si
Altoparlante / Cuffia / spinotto di uscita 1
Ingresso audio Si",1,,,,,,,,,,,2.0,Si,4 W,,,,,,,,N,N,,,,,,,2.0,,,,,,,N,,,,,,,,,,,Si,,3.5 mm,,N,,,"Altre caratteristiche
Quantità 1",,,,17.0,,,,,,,,,,,,1.0,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2050SWDA LED display E2050SWDA Planet Computer.it,Si,361 mm,,,Si,170 °,160 °,Kensington,,"CE, FCC, GOST, RoHS, ISO 9241-307, cCSAus, EuP, TCO 5.0",Non specificato,Nero,16.77 M,75 x 75 mm,N,18.5 W,0.2 W,0.3 W,49.5 cm,0.27 x 0.27 mm,16:9,N,,Si,-5 - 15 °,Si,,Si,,477.75 mm,,,,250 cd/m²,,,Si,3.02 kg,,3.92 kg,Si,,175 mm,,,1.0,,1000:1,20000000:1,1600 x 900 Pixels,1600 x 900,N,,,5 ms,N,,LED,,90 - 240 V,,Si,,N,,,1.0,,N,Si,.,,,,,50/60 Hz,30 - 80 kHz,55 - 75 Hz,,,,,,1.0,Si,,,,,,,,,N,N,,432 mm,239.8 mm,,,N,,,,,,,,N,148.5 MHz,N,N,,,,,,,,,,,,,,,"Connettività
Microfono, spinotto d'ingresso N
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP Z24i D7P53AT ABB Planet Computer.it,,365 mm,525 mm,,N,178 °,178 °,,,,Non specificato,,,,,36 W,,0.5 W,60.96 cm,0.27 x 0.27 mm,16:10,N,,Si,-5 - 30 °,Si,,,50 - 76 Hz,559.4 mm,559.4 mm,,,300 cd/m²,,,Si,4.73 kg,,6.96 kg,,Si,64.5 mm,237.9 mm,,1.0,24 - 94 kHz,1000:1,5000000:1,1920 x 1200 Pixels,,N,,IPS,8 ms,N,,LCD,,,-45 - 45 °,Si,Oro,Si,0 - 90 °,1.0,1.0,5.0,120 mm Si,Si,.,"Altre caratteristiche
Source data-sheet .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC e2260Pdas E2260PDAS Planet Computer.it,,244.6 mm,,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm)",FCC GOST RoHS TÜV-Bauart TÜV-GS ISO 9241-307 TCO 5.0 cTUVus EuP,Non specificato,Argento,16.77 M,100 x 100 mm,N,15.5 W,,0.4 W,55.8 cm,0.248 x 0.248 mm,16:10,N,,Si,-5 - 15 °,,,,55 - 75 Hz,507.8 mm,,,,250 cd/m²,,,Si,5.65 kg,,,,Si,521.3 mm,,,1.0,30 - 83 kHz,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),N,,,5 ms,N,,LED,,90 - 240 V,,,Oro,Si,,,1.0,,Si 130 mm,Si,.,,1,,,50/60 Hz,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,Thin client installato N,W-LED,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S27C350H LS27C350HS EN Planet Computer.it,,389 mm,480.4 mm,466 mm,,,,,,,,,,,,,,,,,,,,,,,,,,642 mm,642 mm,721 mm,,,,,,4.3 kg,6.35 kg,4.65 kg,,,103 mm,230 mm,151.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP EliteDisplay E190i E4U30AT ABB Planet Computer.it,,347 mm,486 mm,,N,178 °,178 °,Kensington,,,Non specificato,Argento,,,,25 W,,0.5 W,48 cm,0.2928 x 0.2928 mm,5:4,N,,,-5 - 25 °,Si,,,,417 mm,417 mm,,,250 cd/m²,,,,4.9 kg,,,,Si,47 mm,192 mm,,1.0,,1000:1,3000000:1,1280 x 1024 Pixels,,N,,IPS,8 ms,N,,LCD,,100 - 240 V,-180 - 180 °,Si,Oro,Si,,1.0,1.0,3.0,Si,,.,"Altre caratteristiche
Source data-sheet .",,,,50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 231C5TJKFU 00 231C5TJKFU 00 Planet Computer.it,,370 mm,406 mm,,Si,178 °,178 °,Kensington,,,,Nero,16.77 M,100 x 100 mm,N,26.27 W,0.3 W,0.5 W,58.4 cm,0.265 x 0.265 mm,16:9,Si,,Si,12 - 57.5 °,Si,Si,,56 - 75 Hz,563 mm,563 mm,,,250 cd/m²,,,Si,4.8 kg,,5.16 kg,Si,,45 mm,72 mm,,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,IPS,14 ms,,,LCD,Full HD,100 - 240 V,,,,,,1.0,,,,,.,,1,509.18 x 286.42 mm,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,,30.000 h,,,4 W,Si,Si,Si,20 - 80 %,,Si,,N,,,,,,,,2.0,,,,,,W-LED,N,,Si,,,,619 x 479 x 125 mm,,"BSMI, CE Mark, cETLus, FCC Class B, GOST, SASO, SEMKO, TUV/ ISO9241-307, WEEE",26.27 W,,,,,2.0,,,,"Multimedia
Potenza in uscita (RMS) 4 W
Altoparlanti incorporati Si
Fotocamera integrata Si",,,,,,,,,,,563 x 406 x 72 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq EW2440L 9H.LAGLB.QBE Planet Computer.it,,,,,,178°,178°,,,,,,"16,77M",,,,,,"60,96 cm (24"")","0,276 x 0,276 mm",16:9,,,Si,,,,,,,,,,250 cd/m²,,,,,,,,,,,,,,3000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,12 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2360SDA LED display E2360SDA Planet Computer.it,Si,394.7 mm,,,Si,170 °,160 °,Kensington,,"cCSAus, CE, EuP, FCC, GOST, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS",Non specificato,Nero,16.77 M,100 x 100 mm,N,25 W,0.5 W,0.5 W,58.4 cm,0.265 x 0.265 mm,16:9,N,,Si,-5 - 15 °,Si,,Si,,548.5 mm,,,,250 cd/m²,,,Si,3.73 kg,,5.07 kg,Si,,209.4 mm,,,1.0,,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,,,5 ms,N,,LED,Full HD,90 - 240 V,,Si,Argento,N,,,1.0,,N,Si,.,,,,,50/60 Hz,30 - 83 kHz,55 - 75 Hz,,,,,,1.0,N,,,,,,,,,N,N,,509.76 mm,286.74 mm,,,N,,,,,,,,N,146 MHz,N,N,,,,,,,,,,,,,,,"Connettività
Microfono, spinotto d'ingresso N
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC M2870VHE M2870VHE Planet Computer.it,Si,,"44,93 cm",50 cm,No,178°,178°,Kensington,"AC, DVI, VGA","CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Non specificato,Nero,"16,77M",100 x 100 mm,No,"27,7W","0,5W","0,5W","71,1 cm","0,32 x 0,32 mm",16:9,,,Si,-5 - 25°,Si,Si,Si,,"64,24 cm","64,24 cm",73 cm,Si,300 cd/m²,,1080p,Si,,"6,8 kg","4,8 kg",Si,Si,,"24,19 cm","14,5 cm",1.0,,3000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,WVA,5 ms,No,,LED,Full HD,100 - 240V,,Si,Argento,No,,,1.0,,No,No,,,,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,,,Si,,,,,,,,"Thin Client
Thin client installato No",No,No,,"62,09 cm","34,12 cm",Si,Si,,1.0,,No,,,,W-LED,,,,,,,,,,,,,,,,,,,"Contenuto dell'imballo
Cavi inclusi AC, DVI, VGA
Guida utente su CD-ROM Si",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 241B4LPYCB Display Full HD B-line 61 cm  24   Monitor LCD,Si,352 mm,403 mm,405 mm,Si,170 °,160 °,Kensington,,"BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,21.44 W,,0.1 W,61 cm,0.276 x 0.276 mm,16:9,N,,Si,-5 - 20 °,,Si,Si,,565 mm,565 mm,624 mm,Si,250 cd/m²,,,Si,4.3 kg,8.3 kg,6.3 kg,Si,,55 mm,227 mm,172 mm,1.0,,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,,5 ms,N,,LED,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,,0 - 90 °,1.0,1.0,2.0,100 mm Si,Si,.,,1,,12 W,50/60 Hz,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,2.0,Si,3 W,Si,Si,Si,,,,,,,,531.4 mm,298.9 mm,,,,,20 - 80 %,,,,,W-LED,,,,,,,,,,,,,,3.5 mm,,,,,"Condizioni ambientali
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %",,,,8.0,,,,,Si,,,,"TCO edge, RoHS, PVC / BFR free, Mercury free, Lead free",,1 pezzi,,,,,,Si,SmartImage,Orizzontale/Verticale,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Samsung S22C200B LS22C20KBS EN Planet Computer.it,Si,"30,19 cm","38,535 cm",14 cm,No,170°,160°,No,"AC, VGA","FCC, CE, VCCI, KCC, C-Tick, CCC",,Nero,"16,77M",100 x 100 mm,No,24W,,"0,1W","54,61 cm","0,24825 x 0,24825 mm",16:9,No,Si,,-1 - 20°,Si,Si,Si,,"50,43 cm","50,43 cm","59,3 cm",Si,250 cd/m²,Si,,Si,"3,05 kg","4,65 kg","3,4 kg",Si,Si,"7,76 cm","18,5 cm","37,1 cm",1.0,,1000:1,Contrasto Mega,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,TN+Film,5 ms,No,"Performance
Sistema operativo Windows supportato Si
Compatibilità sistema operativo Mac Si
Sistema operativo Linux supportato Si",LED,Full HD,100 - 240V,,Si,Oro,No,,,1.0,,No,No,,,,"476,64 x 268,11 mm",,50/60 Hz,,,,,10 - 40 °C,,,,,,,,,10 - 80%,,,,No,No,,"47,664 cm","26,811 cm",,Si,,,,,,,,,No,,,,,,593 x 371 x 140 mm,"504,3 x 77,6 x 301,9 mm",,,,No,,,,,No,,"Connettività
Ingresso audio No
Uscita audio No
Porta DVI Si
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si",,,"1,5m",,,,,Si,Si,,"504,3 x 185 x 385,35 mm","UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO",,,1 pezzi,,,,,No,Si,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 196V4LAB2 V-line 47 cm  18,5   Monitor LCD con retroilluminazione a LED 196V4LAB2 00 Planet Computer.it",,279 mm,349 mm,351 mm,Si,90 °,65 °,Kensington,,,Non specificato,Nero,16.77 M,100 x 100 mm,N,14.12 W,,0.5 W,47 cm,0.3 x 0.3 mm,16:9,N,,Si,-5 - 20 °,,,,56 - 75 Hz,443 mm,443 mm,490 mm,,200 cd/m²,,,Si,2.66 kg,3.95 kg,2.98 kg,Si,Si,48 mm,201 mm,124 mm,1.0,30 - 83 kHz,600:1,10000000:1,1366 x 768 Pixels,1366 х 768,N,,,5 ms,N,,LED,N,100 - 240 V,,Si,Argento,,,,1.0,,,,.,,,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",,2.0,Si,4 W,,Si,Si,20 - 80 %,,,,,,,409.8 mm,230.4 mm,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 298P4QJEB 298P4QJEB 00 Planet Computer.it,,330 mm,538 mm,506 mm,Si,178 °,178 °,Kensington,AC,"TCO, RoHS, BSMI, CE, FCC, GOST, SASO, SEMKO, TUV, TUV/GS, UL/cUL, WEEE",Non specificato,Nero,16.77 M,100 x 100 mm,N,38.5 W,,0.3 W,73 cm,0.2628 x 0.2628 mm,21:9,N,,Si,-5 - 20 °,Si,Si,Si,56 - 75 Hz,700 mm,700 mm,782 mm,Si,300 cd/m²,,,Si,5.67 kg,11.68 kg,8.46 kg,Si,Si,59 mm,273 mm,186 mm,,30 - 90 kHz,1000:1,20000000:1,2560 x 1080 Pixels,2560 x 1080,N,"Windows 7 Home Basic, Windows 7 Home Premium, Windows 7 Professional, Windows 7 Starter, Windows 7 Ultimate, Windows 8, Windows 8 Enterprise, Windows 8 Pro, Windows XP Home, Windows XP Professional",IPS,5 ms,N,,LED,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,Si,0 - 90 °,1.0,1.0,,Si 150 mm,Si,.,"Connettività
Quantità porte USB 3.0 4
Quantità DisplayPorts 1
Quantità porte HDMI 2
Ingresso audio per PC Si
Quantità porte DVI-D 1
Porta DVI Si
Altoparlante / Cuffia / spinotto di uscita 1",1,,25.1 W,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,2.0,Si,4 W,Si,Si,Si,,,,"Dimensioni e peso
Profondità (con supporto) 273 mm
Altezza (con supporto) 538 mm
Larghezza (con supporto) 700 mm
Larghezza imballo 782 mm
Altezza imballo 506 mm
Profondità imballo 186 mm
Peso prodotto con supporto 8.46 kg
Profondità 59 mm
Larghezza 700 mm
Altezza 330 mm
Peso incluso imballo 11.68 kg
Peso 5.67 kg",N,N,,672.76 mm,283.82 mm,,Si,N,2.0,20 - 80 %,,,,,W-LED,N,,,,,,,,,,,,65 %,,4.0,,,,,0 - 3658 m,0 - 12192 m,,8.0,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 273P3LPHEB P-line 68,6 cm  27   Monitor LCD, retroilluminazione a LED 273P3LPHEB 00 Planet Computer.it",Si,391 mm,528 mm,446 mm,Si,170 °,160 °,Kensington,AC,"RoHS, EPEAT Gold, BSMI, CE, FCC, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,20.4 W,0.3 W,0.5 W,68.6 cm,0.311 x 0.311 mm,16:9,N,Si,Si,-5 - 20 °,,Si,Si,56 - 75 Hz,642 mm,642 mm,750 mm,Si,300 cd/m²,Si,1080p,Si,6.38 kg 6.38 kg,11.57 kg,8.74 kg,Si,,65 mm,244 mm,300 mm,1.0,30 - 83 kHz,1200:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,,3.5 ms,N,,LCD,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,,0 - 90 °,,1.0,3.0,Si 110 mm,Si,.,"Dimensioni e peso
Profondità (con supporto) 244 mm
Altezza (con supporto) 528 mm
Larghezza (con supporto) 642 mm
Larghezza imballo 750 mm
Altezza imballo 446 mm
Profondità imballo 300 mm
Peso prodotto con supporto 8.74 kg
Profondità 65 mm
Larghezza 642 mm
Altezza 391 mm
Peso incluso imballo 11.57 kg
Peso 6.38 kg",1,597.6 x 336.15 mm,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,4 W,Si,Si,Si,20 - 80 %,,,,,,,,,,"Potenza, Stand-by, Si",N,1.0,,,,,,W-LED,,,,,,,750 x 300 x 446 mm,642 x 65 x 391 mm,,,,,,3.5 mm,,,,,,,,,,,,,,Si,"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C",642 x 244 x 528 mm,,,,1 pezzi,,Si,,,,Si,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 23MP75HM-P monitor piatto per PC 23MP75HM-P.AEU Planet Computer.it,,32 cm,"42,3 cm","13,1 cm",,178°,178°,,,,,,"16,77M",,No,,,,"58,42 cm (23"")",,16:9,,,Si,,,,,,"53,3 cm","53,3 cm",62 cm,,250 cd/m²,,,,"3,05 kg","5,51 kg","3,95 kg",,,"7,3 cm","18,2 cm","39,4 cm",,,1000:1,Ultra Contrast,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,IPS,5 ms,,,LCD,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lg Electronics LG 22M45HQ-B 22M45HQ-B.AEU Planet Computer.it,,"31,6 cm","41,6 cm",,No,170°,160°,No,AC,,Non specificato,Nero,"16,77M",75 x 75 mm,No,21W,"0,3W","0,3W","54,61 cm (21.5"")","0,248 x 0,248 mm",16:9,No,,Si,3 - 20°,Si,Si,Si,,"50,9 cm","50,9 cm",,Si,250 cd/m²,,1080p,Si,"2,2 kg",,,Si,No,6 cm,"18,8 cm",,1.0,,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,TN,5 ms,No,,LED,Full HD,100 - 240V,,,Oro,,,,1.0,,No,,,,1,,,,,,,,,,,,Si,,,,,,,,"Thin Client
Thin client installato No",,,Nero,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,Conformità EPEAT Oro,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philips Philips 273E3LHSB E-line 68,6 cm  27   Monitor LCD, retroilluminazione a LED 273E3LHSB 00 Planet Computer.it",Si,391 mm,440 mm,525 mm,Si,178 °,170 °,Kensington,,"RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO certified, UL/cUL, WEEE",,Nero,16.77 M,100 x 100 mm,N,20.4 W,0.3 W,0.5 W,68.6 cm,0.311 x 0.311 mm,16:9,N,,Si,-5 - 20 °,,Si,Si,,642 mm,642 mm,700 mm,Si,300 cd/m²,,1080p,Si,6.5 kg,8.82 kg,8.2 kg,Si,Si,64 mm,227 mm,138 mm,1.0,,1200:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,3.5 ms,N,,LED,Full HD,100 - 240 V,,Si,Argento,,,,1.0,,N,,.,"Ergonomia
Numero di lingue OSD 9
Interruttore integrato Si
Lingue OSD CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR
Compatibile con montaggio VESA 100 x 100 mm
LED Stand-by Si
Indicatore (LED) alimentazione Si
Picture-in-Picture N
On Screen Display (OSD) Si
Inclinazione -5 - 20 °
Regolazione altezza N
Montabile a parete Si
Indicatori LED Progresso, Stand-by
Blocco cavo Kensington
Plug & Play Si",1,,,,30 - 83 kHz,56 - 75 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR",30000 h,2.0,Si,4 W,Si,Si,Si,20 - 80 %,,,,,,,597.6 mm,336.2 mm,,"Progresso, Stand-by",,1.0,,,,,,W-LED,,,,,,,,,,,,,,,,N,,,"Condizioni ambientali
Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C",,,,9.0,,,,,"Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion",,,,,,1 pezzi,,,,,N,Si,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
