<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"60ABAAT1UK, LNVCMG10, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Lenovo,200 cd/m²,Black,16.7 Million Colours,600:1,,ENERGY STAR 6.0 China Energy Label (CEL) EU RoHS Turkey RoHS Ukraine RoHS EPEAT Silver China RoHS,Yes,,,,3 Year,Lenovo Group Limited,60ABAAT1UK,,1600 x 900,1.0,,17 W,ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor Power Cord,,LT2013s,ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor (UK Power Cord),,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,,,,50°,Yes,Yes,"KC BELLIS CSA SABS CCC CE GOST INSM PSB BSMI SASO ISC STZ IEC-950 CB Report,KUCAS JEITA IRAM-S NOM KVALITET NEMKO",53 mm,,,274.9 mm,,,,,,,2.89 kg,,467 mm,,,,ThinkVision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VS207DE, 2798276, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Asus,200 cd/m²,Black,16.7 Million Colours,600:1,No,ENERGY STAR 6.0,Yes,,90°,110 V AC 220 V AC,3 Year,ASUS Computer International,VS207DE,,1600 x 900,1.0,500 mW,,VS207DE Widescreen LCD Monitor Monitor base Quick start guide User manual CD 1 x Power cord 1 x VGA cable 1 x Warranty card,,VS207DE,VS207DE Widescreen LCD Monitor,VS207,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",60 Hz,500 mW,,,65°,Yes,Yes,FCC,185 mm,,Smart View Eco Mode,355.5 mm,,,,,,75 x 75,2.59 kg,,468 mm,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.PB6EE.009, 3193056, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Acer,300 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,ENERGY STAR EPEAT Gold TCO Certified Displays 6.0 ECO,Yes,Yes,170°,230 V AC 120 V AC,3 Year,"Acer, Inc",UM.PB6EE.009,150 mm,3840 x 2160,1.0,400 mW,39 W,LED Monitor B286HK 1 x USB cable 1 x DVI cable 1 x Displayport cable Power cord,Twisted Nematic Film (TN Film),B286HK,LED Monitor B286HK,,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",60 Hz,500 mW,60°,-5°to35°,160°,Yes,,,64.5 mm,247.20 mm,Mobile High-Definition Link (MHL) 6-axis Color Adjustment ErgoStand ComfyView,381.9 mm,408.50 mm,Wall Mountable,,,,100 x 100,,,658.7 mm,658.70 mm,Speaker USB Hub,Yes,,Anti-glare,Yes,USB 3.0,Yes,,Yes,,,,,66 kWh,C,,2.0,,,,,,,,,,,,,,,,,
"VA2855SMH, B921669, ViewSonic, LCD Monitor, IML Direct Italy",,,,16:9,LED,Viewsonic,300 cd/m²,,16.7 Million Colours,"3,000:1",,RoHS WEEE,Yes,,,,2 Year,Viewsonic Corporation,VA2855SMH,,1920 x 1080,1.0,,32 W,VA2855Smh 28'' LED Multimedia Display with SuperClear Pro Image Technology Power Cable VGA cable Quick Start Guide,,VA2855Smh,VA2855Smh 28'' LED Multimedia Display with SuperClear Pro Image Technology,,LCD Monitor,6.50 ms,Full HD,"71.1 cm (28"")",,,,,,Yes,Yes,,49.3 mm,249.70 mm,,391 mm,452.60 mm,,,,,,4.70 kg,5.30 kg,659.7 mm,59.70 mm,Speaker,,Value,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"226V4LAB/00, Philips, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Philips,250 cd/m²,Glossy Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0 EPEAT Silver TCO Certified Displays RoHS WEEE,Yes,Yes,170°,220 V AC 110 V AC,,Philips Electronics,226V4LAB/00,,1920 x 1080,1.0,500 mW,19.15 W,,,226V4LAB,"LCD Monitor with LED Backlight V-line 21.5""/54.6 cm",V,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,500 mW,,,160°,Yes,Yes,CEBSMIFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,48 mm,213 mm,Security Lock,320 mm,388 mm,,Mac PC,,,100 x 100,3 kg,3.34 kg,514 mm,514 mm,Speaker,,,,,,Yes,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"240P4QPYEB/00, 2788557, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Philips,300 cd/m²,Textured Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 6.0 EPEAT Gold RoHS WEEE TCO Certified Displays 6.0,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Philips Electronics,240P4QPYEB/00,,1920 x 1200,1.0,0 mW,17.10 W,,In-plane Switching (IPS) Technology,240P4QPYEB,"Brilliance LCD Monitor with PowerSensor 240P4QPYEB P-line 24"" / 61 cm 1920x1200",P,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",60 Hz,200 mW,,,178°,Yes,Yes,BSMI CE Mark FCC Class B GOST SEMKO TUV Ergo TUV/GS UL/cUL,65 mm,244 mm,SmartResponse SmartErgoBase Eco Mode Security Lock PowerSensor SmartImage Sync on Green,388 mm,550 mm,,Mac PC,Yes,25%,100 x 100,4.64 kg,6.97 kg,555 mm,555 mm,Speaker USB Hub,Yes,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"C9V75AA#AB8, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,TCO Certified Edge ENERGY STAR,Yes,,,,3 Year,Hewlett-Packard,C9V75AA#AB8,,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,51 mm,242.40 mm,,329 mm,469.90 mm,,,,,,3.90 kg,,544 mm,544 mm,USB Hub,Yes,Elite,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"VG278HE, 2516443, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,,Asus,300 cd/m²,Black,16.7 Million Colours,"50,000,000:1",Yes,,,Yes,170°,,,ASUS Computer International,VG278HE,,1920 x 1080,1.0,1 W,65 W,,,VG278HE,VG278HE Widescreen LCD Monitor,VG,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",,1 W,,,160°,Yes,Yes,,59.5 mm,249.70 mm,LightBoost Technology Security Lock Splendid Video Intelligence Technology Trace Free Technology,385.6 mm,437.80 mm,Wall Mountable,PC,,,100 x 100,8 kg,,643 mm,643 mm,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,3D Ready,,,,,,,,,,,,,,
"UM.FK3EE.A01, 2837666, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Packard Bell,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II EPEAT Gold,Yes,,170°,220 V AC 110 V AC,,"Acer, Inc",UM.FK3EE.A01,No,1920 x 1080,1.0,350 mW,20.09 W,Viseo243D Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),Viseo243D,Viseo243D Widescreen LCD Monitor,,LCD Monitor,2 ms,Full HD,"61 cm (24"")",60 Hz,450 mW,No,-5°to25°,160°,,Yes,,,,,,,,,,,,,,,,,,Viseo,Anti-glare,,,,,Yes,,,,,29 kWh,A,,,,,,,,,,,,,,,,,,,
"UM.WW3EE.005, 3183424, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,200 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II,Yes,,90°,230 V AC 120 V AC,2 Year,"Acer, Inc",UM.WW3EE.005,,1920 x 1080,1.0,350 mW,18.10 W,K222HQL Widescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),K222HQL,K222HQL Widescreen LCD Monitor,K,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,450 mW,No,-5°to25°,65°,,Yes,,52 mm,207 mm,,304.5 mm,390.50 mm,,,,,,2.70 kg,3.10 kg,508 mm,508 mm,,,,Anti-glare,,,No,,Yes,,,,,29 kWh,A,,,,,,,,,,,,,,,,,,,
"210-AAEB, DELU2713H, Dell, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Dell,350 cd/m²,,1.07 Billion Colors,"1,000:1",Yes,ENERGY STAR TCO Certified Displays EPEAT Gold,Yes,Yes,178°,220 V AC 110 V AC,3 Year,"Dell, Inc",210-AAEB,,2560 x 1440,1.0,,130 W,"UltraSharp U2713H 68.47 cm (27"") Monitor with PremierColor Power Cable DVI-D Cable DisplayPort Cable (Mini DP to DP) USB 3.0 Upstream Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information",Advanced High Performance In-plane Switching (AH-IPS) Technology,U2713H,"UltraSharp U2713H 68.47 cm (27"") Monitor with PremierColor",,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",60 Hz,500 mW,,,178°,Yes,,,200.5 mm,200.50 mm,Cable Management Security Lock PremierColor Technology,538.4 mm,378.20 mm,Wall Mountable,PC,,,,6.30 kg,,639.3 mm,639.30 mm,Card Reader USB Hub,Yes,UltraSharp,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"E1659FWU, 2861372, AOC, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,AOC,200 cd/m²,Glossy Piano Black,16.7 Million Colours,500:1,,,,,90°,,,AOC,E1659FWU,,1366 x 768,1.0,,8 W,,,E1659FWU,E1659FWU 16-Inch Class USB-Powered Monitor,,LCD Monitor,8 ms,HD,"40.6 cm (16"")",,1 W,,15°to30°,50°,Yes,,,,23 mm,Ultra Slim,,234 mm,Wall Mountable Arm-mountable,Mac PC,,,75 x 75,1.09 kg,,,375 mm,,,,,Yes,USB 3.0,No,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"C6Y18A4#UUZ, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"1,000,000:1",Yes,TCO Certified Displays ENERGY STAR WEEE China Energy Label (CEL) Taiwan Green Mark RoHS CECP REACH,Yes,,,,3 Year,Hewlett-Packard,C6Y18A4#UUZ,,1920 x 1080,1.0,,40 W,ZR2330w 23-inch IPS LED Backlit MonitorAC Power CableUSB CableVGA CableDisplayPort CablePrinted Documentation and CD,,ZR2330w,ZR2330w 23-inch IPS LED Backlit Monitor,,LCD Monitor,14 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,49.5 mm,249.40 mm,,334.2 mm,467 mm,,,,,,4.10 kg,,551.5 mm,551.50 mm,USB Hub,Yes,,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"B2280HS-B1, II-B2280HS-B1, Iiyama, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,iiyama,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR,Yes,Yes,160°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",B2280HS-B1,,1920 x 1080,1.0,,21 W,ProLite B2280HSPower CableVGA Cable (D-Sub)DVI CableAudio CableStand FootScrewsCable GuideQuick Start GuideSafety Guide,,B2280HS,ProLite B2280HS,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",75 Hz,1 W,,,160°,Yes,Yes,CETUV-GSCU,244.5 mm,,Security Lock,523 mm,,Wall Mountable Desk Mountable,Mac PC,,,100 x 100,5.10 kg,,509.5 mm,,Speaker,,ProLite,,,,Yes,,Yes,,,,Landscape/Portrait,,,,2.0,,,,,,,,,,,,,,,,,
"298X4QJAB/00, 2670736, Philips, LCD Monitor, IML Direct Italy",Yes,,,21:9,LED,Philips,300 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold ENERGY STAR 6.0 TCO Certified Displays 6.0 RoHS WEEE,Yes,Yes,178°,220 V AC 110 V AC,3 Year,Philips Electronics,298X4QJAB/00,,2560 x 1080,1.0,,33 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,298X4QJAB,Brilliance LCD Monitor with MultiView,,LCD Monitor,5 ms,UW-UXGA,"73.7 cm (29"")",60 Hz,300 mW,,,178°,Yes,,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,59 mm,197 mm,SmartTxt SmartKolor SmartContrast Multiview Picture by Picture Picture in Picture SmartImage,330 mm,426 mm,,PC Mac,,,100 x 100,5.70 kg,6.36 kg,700 mm,700 mm,Speaker,Yes,Brilliance,,Yes,USB 3.0,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"C9V75AA#ABM, HP, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,,,Yes,170°,,,Hewlett-Packard,C9V75AA#ABM,,1920 x 1080,1.0,,36 W,,,E231,EliteDisplay E231 23-inch LED Backlit Monitor--Head Only (ENERGY STAR),Advantage,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,500 mW,360°,-5°to30°,160°,,Yes,,50.8 mm,,Security Lock,328.9 mm,,Desk Mountable,PC,,,,3.79 kg,,544.1 mm,,USB Hub,Yes,Business,Anti-glare,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WB6EE.D01, 3017710, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,No,16:9,LED,Acer,250 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WB6EE.D01,80 mm,1920 x 1080,1.0,250 mW,19.50 W,B226HQL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,Vertical Alignment (VA),B226HQL,B226HQL Widescreen LCD Monitor,B,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",60 Hz,350 mW,45°,-5°to20°,178°,,Yes,,52 mm,221 mm,,304 mm,339 mm,,,,,,3.16 kg,4.90 kg,508 mm,508 mm,,,,Anti-glare,,,Yes,,No,,,,,27 kWh,A,,,,,,,,,,,,,,,,,,,
"27EA33V, 4065227, LG Electronics, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,LG,200 cd/m²,Black,16.7 Million Colours,"5,000,000:1",Yes,,,,178°,220 V AC 110 V AC,,LG Electronics,27EA33V,,1920 x 1080,1.0,200 mW,30 W,,In-plane Switching (IPS) Technology,27EA33V,Flatron 27EA33V Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",75 Hz,300 mW,,,178°,Yes,Yes,UV-GSFCC-BCE,,459 mm,,,203 mm,Wall Mountable,PC,,,,4.10 kg,4.70 kg,,642 mm,,,Flatron,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"220S4LCB/00, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Philips,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold TCO Certified Displays 5.2 ENERGY STAR 5.2 WEEE RoHS,Yes,Yes,170°,220 V AC 110 V AC,,Philips Electronics,220S4LCB/00,,1680 x 1050,1.0,100 mW,15.70 W,,,220S4LCB/00,"LCD Monitor, LED Backlight with SmartImage",S,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",60 Hz,100 mW,,,160°,Yes,Yes,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,59 mm,227 mm,SmartErgoBase Security Lock SmartPower SmartImage TrueVision,349 mm,509 mm,,Mac PC,Yes,25%,100 x 100,3.38 kg,5.20 kg,504 mm,504 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K9603023, 2315303, Barco, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,4:3,,Barco,800 cd/m²,Grey,,750:1,Yes,,,,176°,,,Barco,K9603023,,2048 x 1536,1.0,,72 W,,,MDNC-3121,Nio MDNC-3121 Medical LCD Monitor,,LCD Monitor,24 ms,,"53.3 cm (21"")",,,,,176°,Yes,,,115 mm,250 mm,Landscape/Portrait Viewable,382 mm,540 mm,,,,,100 x 100,7.90 kg,12 kg,488 mm,488 mm,USB Hub,,Nio,,Yes,USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60A6MAR2EU, LNVCMG18, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,Lenovo,300 cd/m²,Black,,"1,000:1",Yes,ULE Gold EPEAT Gold TCO Certified Edge Displays 1.1 ENERGY STAR 5.1,Yes,,178°,,5 Year,Lenovo Group Limited,60A6MAR2EU,,1920 x 1200,1.0,,,,Enhanced In-plane Switching (E-IPS) Technology,LT2452p,ThinkVision LT2452p Wide 24in LED Monitor,,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",,,,,178°,Yes,Yes,,,,Security Lock Cable Management,,,,PC,,,100 x 100,,,,,USB Hub,Yes,ThinkVision,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LS20C300BL/EN, Samsung, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Samsung,250 cd/m²,Translucent Red Gradation,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 6.0,Yes,,170°,220 V AC 110 V AC,2 Year,Samsung,LS20C300BL/EN,,1600 x 900,1.0,300 mW,14 W,,,S20C300BL,S20C300BL Widescreen LCD Monitor,300,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,300 mW,,,160°,,Yes,,53 mm,187 mm,MagicBright3 MagicAngle MultiScreen MagicTune Magic Upscale Off Timer Eco Saving,299.8 mm,379.40 mm,,Mac PC,,,,2.10 kg,2.40 kg,476.2 mm,476.20 mm,,No,,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.IW3EE.001, 2975739, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,200 cd/m²,Black,16.7 Million Colours,"100,000,000:1",,MPR II,Yes,,90°,110 V AC 220 V AC,2 Year,"Acer, Inc",UM.IW3EE.001,,1600 x 900,1.0,350 mW,13.50 W,K202HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),K202HQL,K202HQL Widescreen LCD Monitor,K,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",60 Hz,450 mW,,,65°,,Yes,,50 mm,191 mm,,276.2 mm,362.30 mm,,,,,,2.21 kg,2.70 kg,463.4 mm,463.40 mm,,,,Anti-glare,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I2757FM, 2516278, AOC, LCD Monitor, IML Direct Italy",,No,No,16:9,LED,AOC,250 cd/m²,,16.7 Million Colours,"1,000:1",,ENERGY STAR,Yes,No,178°,110 V AC 220 V AC,,AOC,I2757FM,,1920 x 1080,1.0,,,"i2757Fm 68.6cm (27"") LED MonitorPower CableD-Sub CableHDMI CableAudio CableDriver CDWarranty Card",,i2757Fm,"i2757Fm 68.6cm (27"") LED Monitor",,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",60 Hz,,,,178°,,Yes,TUV-BauartISO 9241-307cCSAusCEFCC,,,,,,,PC,,,,,,,,Speaker,No,Style,,Yes,USB 2.0,Yes,,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,
"221B3LPCS/02, 2540936, Philips, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Philips,250 cd/m²,Silver,16.7 Million Colours,"1,000:1",Yes,TCO Certified Displays 5.1 EPEAT Gold RoHS ENERGY STAR 5.0,Yes,Yes,176°,220 V AC 110 V AC,,Philips Electronics,221B3LPCS/02,,1980 x 1080,1.0,,17.80 W,,,221B3LPCS,Brilliance LCD Monitor LED Backlight with PowerSensor,B,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,100 mW,,,170°,Yes,Yes,BSMICE MarkFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,59 mm,227 mm,PowerSensor SmartTouch SmartImage Security Lock,323 mm,480 mm,,PC Mac,,,100 x 100,3.40 kg,5.30 kg,507 mm,507 mm,Speaker,,Brilliance,,Yes,USB 2.0,Yes,,,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"E2482HS-GB1, 2710846, Iiyama, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,iiyama,300 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR TCO Certified Displays 6.0,Yes,Yes,170°,220 V AC 110 V AC,,"iiyama North America, Inc",E2482HS-GB1,,1920 x 1080,1.0,,,ProLite E2482HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Cable Holder Quick Start Guide Safety Guide Stand Stand-base,,E2482HS,ProLite E2482HS Widescreen LCD Monitor,,LCD Monitor,2 ms,Full HD,"59.9 cm (23.6"")",75 Hz,,,,160°,Yes,Yes,CE TUV-Bauart CU,213.5 mm,,Security Lock,401 mm,,Wall Mountable,PC,,,100 x 100,4.30 kg,,571.5 mm,,Speaker,,ProLite,,,,Yes,,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"9H.L9DLA.TBE, M352221, BenQ, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,BenQ,250 cd/m²,Glossy Black,16.7 Million Colours,"3,000:1",Yes,ENERGY STAR 5.1 TCO Displays 5.0,Yes,Yes,178°,220 V AC 110 V AC,,BenQ Corporation,9H.L9DLA.TBE,,1920 x 1080,1.0,,21 W,,,GW2260HM,GW2260HM Widescreen LCD Monitor,GW,LCD Monitor,4 ms,Full HD,"54.6 cm (21.5"")",,300 mW,,,178°,Yes,Yes,,186 mm,,Security Lock Eco Mode Senseye 3,397 mm,,Wall Mountable,PC,,,100 x 100,3.40 kg,,510 mm,,Speaker,,,,,,Yes,,Yes,,,,,,,,2.0,,Yes,,,,,,,,,,,,,,,
"I2360PHU, 2669333, AOC, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,AOC,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,TCO Displays 5.0 EPEAT Silver EPEAT Gold ENERGY STAR 5.0 RoHS ErP/EuP,Yes,Yes,170°,220 V AC 110 V AC,3 Year,AOC,I2360PHU,,1980 x 1080,1.0,500 mW,,"i2360Phu 58.5cm (23"") LED MonitorPower CableD-Sub CableDVI-D CableAudio CableDriver CDWarranty Card",In-plane Switching (IPS) Technology,i2360Phu,"i2360Phu 58.5cm (23"") LED Monitor",,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,500 mW,,,160°,Yes,Yes,CEcCSAusFCCGOSTTÜV-BauartTÜV-GSISO 9241-307,,,Ambient Light Sensor Eco Mode,,,Wall Mountable,,,,100 x 100,,,,,USB Hub,No,Professional,,Yes,USB 2.0,Yes,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"K9603015, 2596270, Barco, LCD Monitor, IML Direct Italy",,Yes,Yes,4:3,,Barco,750 cd/m²,,16.7 Million Colours,"1,050:1",Yes,,,,176°,,,Barco,K9603015,,1600 x 1200,2.0,,72 W,,In-plane Switching (IPS) Technology,MDNC-2121,2 MegaPixel High-Bright Color Display System,,LCD Monitor,35 ms,UXGA,"54.1 cm (21.3"")",,,,,176°,Yes,,,115 mm,250 mm,Backlight Output Stabilization (BLOS) Security Lock Uniform Luminance Technology (ULT),382 mm,540 mm,,PC,,,100 x 100,14 kg,,488 mm,488 mm,USB Hub,Yes,Nio Color,Anti-reflective,Yes,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"17S4LSB/00, 2905226, Philips, LCD Monitor, IML Direct Italy",Yes,No,,5:4,LED,Philips,250 cd/m²,Textured Black,16.7 Million Colours,"1,000:1",Yes,RoHS ENERGY STAR 6.0 WEEE EPEAT Gold TCO Certified Displays 6.0,Yes,Yes,170°,110 V AC 220 V AC,,Philips Electronics,17S4LSB/00,,1280 x 1024,1.0,200 mW,11.90 W,,,17S4LSB,"LCD Monitor, LED Backlight with SmartImage",S,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",60 Hz,200 mW,,-5°to20°,160°,Yes,Yes,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,65 mm,194 mm,TrueVision SmartContrast SmartPower SmartImage Eco Mode SmartControl Security Lock Sync on Green,319 mm,393 mm,,Mac PC,Yes,Plastic,100 x 100,3.14 kg,3.54 kg,367 mm,367 mm,,,,,,,No,,,,,,,,,,,30%,,,,,,,,,,,,,,,,
"22M35A-B, 2998778, LG Electronics, LCD Monitor, IML Direct Italy",,,,16:9,LED,LG,200 cd/m²,Black,,,,,,,,,,LG Electronics,22M35A-B,,1920 x 1080,1.0,,,,,22M35A-B,22M35A-B LCD Widescreen Monitor,,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60003489, NECPA272WB, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,GB-R LED,NEC Display,340 cd/m²,Black,1.07 Billion Colors,"1,000:1",Yes,TCO Certified Displays 6.0 RoHS,Yes,Yes,178°,,,NEC Display Solutions,60003489,,2560 x 1440,1.0,,73 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,PA272W-BK-SV,"27"" Color Critical Desktop Monitor with SpectraViewII (Black)",,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",85 Hz,1.40 W,,,178°,Yes,,,83.8 mm,236.22 mm,SpectraViewII DisplaySync Pro TileComp Picture by Picture Picture in Picture CableComp Dual Link-up XtraView+ Carbon Footprint Meter Cable Management AmbiBright Eco Mode Digital Uniformity Correction TileMatrix Support,378.5 mm,546.10 mm,Wall Mountable Desk Mountable,,,,100 x 200,8.89 kg,12.88 kg,640.1 mm,640.08 mm,USB Hub,Yes,MultiSync,,Yes,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
