<page title>,aspect ratio,audio,backlight,brightness,click image to enlarge,colours,contrast ratio,displayports,dvid ports,dynamic contrast ratio,ean,gross weight,hdmi ports,headphone jacks,height adjustment,horizontal viewing angle,input connector,input power source,keywords,line in jacks,manufacturer,model number,normal power consumption,package contents,package height,package length,package type,package width,pivot,pixel pitch,product code,product group,product height,product height without stand,product length,product length without stand,product name,product width,product width without stand,recommend resolution,response time,royal mail compliance,screen size,screen type,speakers,special features,standby power consumption,swivel lr,tilt angle,unit colour front,unit colour rear,unit colour stand,usb 20 downstream ports,usb 20 upstream ports,usb 30 downstream ports,usb 30 upstream ports,vertical viewing angle,vga ports,wall mount,warranty direct with manufacturer,web address,compliance,max resolution,net weight,screen features,upc,horizontal frequency range,vertical frequency range,view angle,energy star,viewable display area,unit colour,web camera,product weight,product weight without stand,audio outputs,operation environment,displayports out
"ASUS VG278HE 27"" Wide LED Black Multimedia 3D Monitor (1920x1080/2ms/VGA/HDMI/DVI/Headphone Jack) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,"2 x 3W, Stereo, RMS",LED,300 cd/mÂ²,"Â£293.62
Â£352.34 inc VAT
40 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,,1.0,"50, 000, 000:1",4716659160144.0,11.6Kg,1.0,1.0,100mm,170Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight, 27"", 2ms, 16:9, 3D, 3D Vision, HDMI, Full HD, Height, Height adjustment, VESA, VESA Wall Mounting, Widescreen, NVIDIA 3D Vision 2, NVIDIA 3D LightBoost",1.0,ASUS,VG278HE,65W,"Monitor, Dual-link DVI lead, VGA lead, Audio lead, UK Power cord, Quick start guide",22cm,71cm,Retail,54cm,,0.311mm,NEX-106678,Monitors,437mm,385.6mm,248.7mm,59.5mm,"ASUS VG278HE 27"" Wide LED Black Multimedia 3D Monitor (1920x1080/2ms/VGA/HDMI/DVI/Headphone Jack)",643mm,643mm,1920 x 1080,2ms (GTG),Not Compliant,"27""",LCD,Intergrated,"Flicker-free 3D Images with NVIDIA 3D Vision 2, NVIDIA 3D LightBoost Technology, 144Hz Rapid Refresh Rate with 2ms Response Time, Advanced Dual-Side LCD Driving Technology, Splendid Video Intelligence Technology",1W,+150Â°/-150Â°,-5Â°/15Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"ErP, UL/cUL, CB, CE, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSB, RoHS, WEEE, Windows 7 WHQL",,8.1Kg,NVIDIA 3D Vision 2 Ready,886227160143.0,24KHz - 140KHz,50Hz - 120Hz,,Yes,,,,,,,,
"ASUS MX239H 23"" Wide AH-IPS Silver Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 3W,LED,250 cd/mÂ²,"Â£163.52
Â£196.23 inc VAT
74 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"80, 000, 000:1",4716659265740.0,6.17Kg,2.0,1.0,,178Â°,,Power Adapter,"Monitors, IPS, AH-IPS, Full HD, 23"", 5ms (GTG), 80.000.000:1, Headphone, HDMI, LED, LED Backlight, Frameless",,ASUS,MX239H,33W,"Monitor, Power adapter, UK Power cord, VGA cable, HDMI-to-DVI cable, Audio cable, Quick start guide",13.5cm,64cm,Retail,48cm,,0.266mm,NEX-107254,Monitors,392.2mm,,207.2mm,,"ASUS MX239H 23"" Wide AH-IPS Silver Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA)",522.2mm,,1920 x 1080,5ms (GTG),Not Compliant,"23""",AH-IPS,Integrated,"Full HD AH-IPS LED display with 178Â° wide-view angle in frameless design for edge-to-edge brilliance, ASUS SonicMaster Technology, co-developed with Bang and Olufsen ICEpower for premium immersive audio, Featuring dual HDMI ports for multi device connection",0.5W,,-5Â°/20Â°,Silver and Black,Black,Silver,,,,,178Â°,1.0,,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7, Windows 8 WHQL",1920 x 1080,3.7Kg,Full HD,886227265749.0,28KHz to 83KHz,50Hz - 75Hz,,5.0,,,,,,,,
"BENQ GW2760HM 27"" Wide LED Glossy Black Multimedia Monitor (1920x1080/4ms/DVI-D/VGA/HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 1W,LED,300 cd/mÂ²,"Â£148.73
Â£178.47 inc VAT
0 Available
Due: 25/12/14",16.7 Million,5000:1,,1.0,"20, 000, 000:1",4718755040627.0,7.2Kg,1.0,1.0,,178Â°,,Power Lead,"Monitors, VA, LED, LED Backlight, 27"", 4ms, 16:9, HDMI, Glossy Black, Tilt, VESA, VESA Wall Mounting, Wall Mount, Widescreen",1.0,BENQ,GW2760HM,26W,"Monitor, UK Power Lead, Audio Lead, Manual, Support Disk",13cm,71cm,Retail,49cm,,0.311mm,NEX-108106,Monitors,488mm,380mm,215mm,57mm,"BENQ GW2760HM 27"" Wide LED Glossy Black Multimedia Monitor (1920x1080/4ms/DVI-D/VGA/HDMI)",641mm,641mm,1920 x 1080,4ms (GTG),Not Compliant,"27""",VA,Integrated,"VA LED Leads the Way, Reading Mode for an Optimized Reading Experience, Improved Eco Mode for Higher Energy Efficiency, Perfecting Your Audiovisual Enjoyment with Speakers, Full HD 1080p 16:9 Visual Perfection",0.3W,,-5Â°/20Â°,Glossy Black,Black,Glossy Black,,,,,178Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,TCO 6.0,1920 x 1080,5.3Kg,Full HD,,,,,,,,,,,,,
"AOC i2269Vwm 21.5"" Widescreen IPS LED Silver Multimedia Monitor (1920x1080/6ms/VGA/2xHDMI/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£105.14
Â£126.17 inc VAT
150 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,,"50, 000, 000:1",4038986122054.0,5.19Kg,2.0,,,178Â°,,Power Lead,"Monitors, 21.5"", IPS, LED, 16:9, 6ms, HDMI, DisplayPort, Eco, Kensington, MHL, VESA",1.0,AOC,I2269VWM,23W,"Monitor, UK Power lead, VGA lead, DVI-D lead, HDMI lead, Audio lead, Support Disk",13.5cm,56cm,Retail,44cm,,0.248mm,NEX-109383,Monitors,298mm,,73.7mm,,"AOC i2269Vwm 21.5"" Widescreen IPS LED Silver Multimedia Monitor (1920x1080/6ms/VGA/2xHDMI/DP)",498.3mm,,1920 x 1080,6ms (GTG),Not Compliant,"21.5""",IPS,Integrated,"MHL, Eco Mode, e-Saver, i-Menu, Kensington Security Lock, Screen+",0.5W,,-5Â°/15Â°,Silver,Black,Silver and Black,,,,,178Â°,1.0,VESA 75mm x 75mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, FCC, GOST, TÃV-Bauart, ISO 9241-307, NRTL, EuP, TCO 5.0, RoHS",1920 x 1080,3.55Kg,Full HD,,30kHz - 83kHz,50Hz - 76Hz,,6.0,477.5mm x 268.5mm,,,,,,,
"AOC i2757Fm 27"" Widescreen IPS LED Silver/Black Multimedia Monitor My Play (1920x1080/5ms/VGA/HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£190.42
Â£228.50 inc VAT
31 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"20, 000, 000:1",4038986181365.0,7.98Kg,2.0,,,178Â°,,Power Lead,"Monitors, 27"", 16:9, 5ms (GTG), 5ms, IPS, LED, LED Backlight, Speakers, Kensington, Headphone, Widescreen",,AOC,I2757FM,29W,"Monitor, Power cable, D-Sub cable, HDMI cable, Audio cable, Driver CD",14.5cm,71.5cm,Retail,49cm,,0.311mm,NEX-106968,Monitors,449mm,,130mm,,"AOC i2757Fm 27"" Widescreen IPS LED Silver/Black Multimedia Monitor My Play (1920x1080/5ms/VGA/HDMI)",622mm,,1920 x 1080,5ms (GTG),Not Compliant,"27""",IPS,Integrated,"MHL interface (Mobile High-Definition Link), Audio out, DCR, Eco Mode, e-Saver, i-Menu, MHL, Screen+, Kensington Security Lock, Headphone out",0.5W,,,Silver and Black,Silver and Black,Silver and Black,,,,,178Â°,1.0,,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"TUV-Bauart, ISO 9241-307, cCSAus, CE, FCC, cTUVus, GOST, RoHS, EuP",1920 x 1080,5.7Kg,,,30KHz - 83KHz,55Hz - 75Hz,,5.0,597.89mm (H) x 336.31mm (V),,,,,,,
"BENQ BL2201PT 22"" Wide LED Black Multimedia Monitor (1680x1050/5ms/VGA/DVI/DP) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:10,2 x 1W,LED,250 cd/mÂ²,"Â£127.34
Â£152.81 inc VAT
0 Available",16.7 Million,1000:1,,1.0,"12, 000, 000:1",4718755024641.0,8.90Kg,,1.0,130mm,170Â°,,Power Lead,"Monitor, TN, LED, 22, 1680x10505ms, Speaker, VESA, Swivel, Tilt, High Adjustment, K Locker, VESA, Ergonomic, Ultra-Flexible, Anti-Glare, Full HD, 16:10",1.0,BENQ,BL2201PT,34.5W,"Monitor, Quick setup guide, Support Disk, UK Power lead, VGA lead, Audio lead",23.3cm,58.9cm,Retail,44.5cm,90Â°,0.282mm,NEX-110812,Monitors,429.9mm,356.35mm,222.6mm,58.6mm,"BENQ BL2201PT 22"" Wide LED Black Multimedia Monitor (1680x1050/5ms/VGA/DVI/DP)",516.7mm,516.7mm,1680 x 1050,5ms,Not Compliant,"22""",TN,Integrated,"Higher Level of Comfort and Productivity, Ultra-Flexible Height Adjustment System (HAS), Automatic Eye-Protect Sensor, Anti-Glare Display, Around-the-Clock Smart Reminder",0.3W,-45Â°/45Â°,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,TCO 5.0,,6.10Kg,Full HD,,,,,,,,,,,,,1.0
"AOC e2461Fwh 23.6"" Widescreen LED Black Monitor (1920x1080/2ms/VGA/HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£110.10
Â£132.12 inc VAT
3 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"50, 000, 000:1",4038986141697.0,4.85Kg,1.0,,,170Â°,,Power Adapter,"Monitors, LCD, LED, LED Backlight, 23.6"", 16:9, 2ms, 1920 x 1080, 2ms (GTG), HDMI",,AOC,E2461FWH,17.3W,"Monitor, Power Adapter, UK Power Cable, HDMI cable, Drivers CD",12cm,60cm,Retail,41.5cm,,0.2715mm,NEX-107782,Monitors,400.51mm,,214mm,,"AOC e2461Fwh 23.6"" Widescreen LED Black Monitor (1920x1080/2ms/VGA/HDMI)",545.48mm,,1920 x 1080,2ms,Not Compliant,"23.6""",LCD,,"Eco Mode, e-Saver, i-Menu, Kensington Security Lock, screen+",0.3W,,-3Â°/18Â°,Black,Black,Black and Red,,,,,160Â°,1.0,VESA 75mm x 75mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, cTUVus, EPEAT Silver, EuP, FCC, GOST, ISO 9241-307, RoHS, TCO 5.0, TÃV-Bauart",1920 x 1080,3.95Kg,,,30KHz - 83KHz,50Hz - 75Hz,,5.0,521.28mm x 293.32mm,,,,,,,
"BENQ VW2430H 24"" Wide VA LED White Monitor (1920x1080/4ms/VGA/DVI/HDMI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£142.98
Â£171.58 inc VAT
101 Available
Available for next day delivery if ordered before 5pm",16.7 Million,5000:1,,1.0,,4718755040870.0,5.7Kg,1.0,1.0,,178Â°,,Power Lead,"Monitors, LED, VA, VESA, VESA Wall Mounting, Widescreen, 24"", 4ms, Senseye 3",,BENQ,VW2430H,40W,"Monitor, Manual, UK Power Lead, Support Disk, Holder for your mobile phone and cards",13.5cm,65cm,Retail,41cm,,0.276mm,NEX-107326,Monitors,429mm,335mm,193mm,63mm,"BENQ VW2430H 24"" Wide VA LED White Monitor (1920x1080/4ms/VGA/DVI/HDMI)",568mm,568mm,1920 x 1080,4ms (GTG),Not Compliant,"24""",VA,,"Deep Blacks and Minimized Light Leakage, 5, 000:1 Native Contrast Ratio for Color Depth and Definition, True 8-bit Color Performance, Card or mobile phone holder, Senseye 3 Visual Solution",0.3W,,-5Â°/20Â°,White,White,White,,,,,178Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,,1920 x 1080,4.5Kg,,,,,,,,,,,,,,
"AOC I2276Vwm 21.5"" Widescreen IPS Black/Silver Monitor (1920x1080/5ms/VGA/HDMI/MHL) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,250 cd/mÂ²,"Â£103.21
Â£123.85 inc VAT
57 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"50, 000, 000:1",4038986124423.0,4.32Kg,1.0,,,178Â°,,Power Lead,"Monitor, IPS, LED, 21.5, 16:9, 5ms, 1920x1080, VGA, HDMI, MHL, DisplayPort, VESA",,AOC,I2276VWM,25W,"Monitor, UK Power lead, VGA lead, HDMI lead, Audio lead, Support Disk",14cm,58cm,Retail,47cm,,0.248mm,NEX-110602,Monitors,401.6mm,,130.5mm,,"AOC I2276Vwm 21.5"" Widescreen IPS Black/Silver Monitor (1920x1080/5ms/VGA/HDMI/MHL)",512.8mm,,1920 x 1080,5ms (GTG),Not Compliant,"21.5""",IPS,,"Eco Mode, e-Saver, i-Menu, MHL, Kensington Security Lock, screen+",0.5W,,-4/21.5Â°,Black,Black,Black and Silver,,,,,178Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, cTUVus, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÃV-Bauart, Ukrain Safety",1920 x 1080,3.16Kg,"Full HD, MHL",,30Hz - 83Hz,50Hz - 76Hz,,6.0,476.64mm x 268.11mm,,,,,1.0,,
"AOC e2752Vq 27"" Widescreen LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI/HDMI/DP/USB) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,300 cd/mÂ²,"Â£167.68
Â£201.21 inc VAT
23 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1200:1,1.0,1.0,"20, 000, 000:1",4038986181341.0,7.39Kg,1.0,,,170Â°,,Power Lead,"Monitors, 27"", 16:9, 27"", 2ms, DisplayPort, HDMI, LCD, LED, LED Backlight, Speakers, VESA, VESA Wall Mounting, Widescreen, Wall Mount",1.0,AOC,E2752VQ,50W,"Monitor, Euro Power Lead, UK Power Lead, VGA Lead, DVI Lead, Audio Lead",13cm,70.1cm,Retail,52.5cm,,0.311mm,NEX-106522,Monitors,452mm,,210mm,,"AOC e2752Vq 27"" Widescreen LED Black Multimedia Monitor (1920x1080/2ms/VGA/DVI/HDMI/DP/USB)",645.7mm,,1920 x 1080,2ms (GTG),Not Compliant,"27""",LCD,Integrated,"5:4 switch, Eco Mode, e-Saver, i-Menu, VESA 100 mm",0.5W,,-3Â°/19Â°,Black,Black,Black,4.0,1.0,,,160Â°,1.0,VESA 100mm x 100mm,3 Years on site swap (UK and Ireland),www.aoc-europe.com,"CE, ISO 9241-307, EPEAT Silver, FCC, GOST, RoHS, TCO 5.0, TÃV-GS, Ukraine Safety, Win7",1920 x 1080,5.29Kg,Full HD,,30KHz - 80KHz,56Hz - 75Hz,,5.0,597.89mm x 336.31mm,,,,,,,
"BENQ XL2720Z 27"" Wide LED Black Monitor (1920x1080/1ms/DVI-D/VGA/2xHDMI/DP/3D) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,300 cd/mÂ²,"Â£370.85
Â£445.02 inc VAT
47 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,1.0,1.0,"12, 000, 000:1",4718755052767.0,10.20Kg,2.0,1.0,140mm,170Â°,,Power Lead,"Monitors, 27"", LCD, LED, 16:9, 1920x1080, 1ms, GtG, HDMI, AMA, HDCP, VESA, Swivel, USB, Tilt, Height Adjustment, Kensington",,BENQ,XL2720Z,27W,"Monitor, UK Power lead, Manual",24.5cm,71.1cm,Retail,48.6cm,Yes,0.311mm,NEX-109697,Monitors,548mm,485mm,273mm,269mm,"BENQ XL2720Z 27"" Wide LED Black Monitor (1920x1080/1ms/DVI-D/VGA/2xHDMI/DP/3D)",642mm,642mm,1920 x 1080,1ms (GTG),Not Compliant,"27""",LCD,,"Motion Blur Reduction, Low Blue Light, Display Pilot, Gaming-comfort Flicker-free, Certified as NVIDIA 3D Vision 2-ready",0.5W,-45Â°/45Â°,-5Â°/20Â°,Black,Black,Black,3.0,1.0,,,160Â°,1.0,VESA 100mm x 100mm,2 years on-site SWAP,www.benq.co.uk,TCO 6.0,1920 x 1080,7.50Kg,,,,100/120/144Hz,,,,,,,,,,
"ASUS VS207NE 19.5"" Widescreen LED Black Monitor (1600x900/5ms/VGA/DVI-D) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,,LED,200 cd/mÂ²,"Â£81.71
Â£98.05 inc VAT
20 Available
Available for next day delivery if ordered before 5pm",16.7 Million,600:1,,1.0,"80, 000, 000:1",4716659540731.0,3.99Kg,,,,90Â°,,Power Lead,"Monitors, 19.5"", 1600x900, 0.27mm, LED, LCD, 5ms, 16:9, Wide, VESA",,ASUS,VS207NE,16.4W,"Monitor, VGA lead, DVI lead, UK Power lead, Quick start guide",11.5cm,53cm,Retail,41.2cm,,0.27mm,NEX-109207,Monitors,355mm,287mm,185mm,45mm,"ASUS VS207NE 19.5"" Widescreen LED Black Monitor (1600x900/5ms/VGA/DVI-D)",468mm,468mm,1600 x 900,5ms,Not Compliant,"19.5""",LCD,,,0.5W,,-5Â°/20Â°,Black,Black,Black,,,,,65Â°,1.0,VESA 75mm x 75mm,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, Gost-R, C-Tick, VCCI, RoHS, WEEE, Windows 7 and Windows 8 WHQL, CEL Level 1",1600 x 900,2.59Kg,,886227540730.0,30Hz - 80Hz,55Hz - 75Hz,,5.0,,,,,,,,
"ASUS VN247H 23.6"" Widescreen LED Black Multimedia Monitor (1920x1080/1ms/2xHDMI/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 2W,LED,250 cd/mÂ²,"Â£147.77
Â£177.32 inc VAT
98 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"80, 000, 000:1",4716659258438.0,5.8Kg,2.0,,,170Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight",1.0,ASUS,VN247H,35W,"HDMI-to-DVI Cable, VGA cable, Audio cable, UK Power cord, Quick start guide",13cm,60cm,Retail,47.5cm,,0.272mm,NEX-107272,Monitors,394.9mm,322mm,194.2mm,43.2mm,"ASUS VN247H 23.6"" Widescreen LED Black Multimedia Monitor (1920x1080/1ms/2xHDMI/VGA)",548.6mm,548.6mm,1920 x 1080,1ms (GTG),Not Compliant,"23.6""",LCD,Integrated,"Ideal for a multi-screen solution with a super narrow frame, Best for work and play with Full HD 1080p visual quality and rich connectivity including dual HDMI and D-sub inputs, Ultra-fast 1ms (gray-to-gray) response time for amazingly blur-free multimedia",0.5W,,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, Taiwan Green Mark, RoHS, WEEE, Windows 7 WHQL, EPEAT GOLD, TCO5.0",1920 x 1080,3.7Kg,Full HD,886227258437.0,24KHz - 83KHz,50Hz - 75Hz,,5.0,,,,,,,,
"Dust-Off Anti-Static Monitor Wipes Junior - 35 Wipes : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",,,,,,,,,,,,0.12Kg,,,,,,,,,DUST OFF,88160/DSCTSM,,35 Wipes (114mm x 152mm),,,Retail,,,,NEX-15742,Monitors,,,,,Dust-Off Anti-Static Monitor Wipes Junior - 35 Wipes,,,,,,,,,Pre-moistened anti-static monitor wipes,,,,,,,,,,,,,,1 Year,www.dust-off.com,,,,,,,,,,,,,,,,,
"ASUS PA248Q 24.1"" Wide IPS Black Monitor (1920x1200/6ms/VGA/DVI-D/HDMI/DisplayPort/Height/Pivot) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:10,,LED,300 cd/mÂ²,"Â£312.35
Â£374.82 inc VAT
12 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,1.0,1.0,"80, 000, 000:1",4716659122029.0,9.9Kg,1.0,1.0,Yes,178Â°,,Power Lead,"Monitors, IPS, LED, LED Backlight, Height adjustment, 24.1"", 6ms, HDMI, DisplayPort, Swivel, Tilt, USB, VESA, VESA Wall Mounting, Widescreen",,ASUS,PA248Q,75W,"Monitor, Manual, UK Power Lead, Euro Power Lead, DVI-D Lead, VGA Lead, DisplayPort Lead, USB Lead, Cable Tie",28.5cm,68cm,Retail,43cm,Yes,0.270mm,NEX-106060,Monitors,416.3mm,362.8mm,235mm,62mm,"ASUS PA248Q 24.1"" Wide IPS Black Monitor (1920x1200/6ms/VGA/DVI-D/HDMI/DisplayPort/Height/Pivot)",557.2mm,557.2mm,1920 x 1200,6ms (GTG),Not Compliant,"24.1""",IPS,,"True Color, Always Gorgeous, Pre-calibrated right out-of box, Optimal HD A+ IPS Panel, ASUS Smart Contrast Ratio, Customized Colour Adjustment, Ultra-Smooth Visuals",1W,Yes,-5Â°/20Â°,Matt Black,Matt Black,Matt Black,,,4.0,1.0,178Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"TCO 5.2, UL/cUL, CB, CE, ErP, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, RoHS, Windows 7 WHQL, Mac Compliance",,6.4Kg,Optimal HD A+ IPS Panel,886227122028.0,30KHz - 83KHz,50Hz - 76Hz,,5.0,,,,,,,,
"ASUS VB198TL BK 19"" LED Black Multimedia Monitor (1280 x 1024/5ms/VGA/DVI) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",5:4,2 x 1W,LED,250 cd/mÂ²,"Â£120.96
Â£145.15 inc VAT
115 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,1.0,"50, 000, 000:1",4716659282327.0,6.4Kg,,,100mm,170Â°,,Power Lead,"Monitors, LCD, LED, LED Backlight, 19"", 5:4, 5ms, VESA, VESA Wall Mounting",1.0,ASUS,VB198TL,27W,"Monitor, 1 x VGA cable, 1 x Audio cable, UK Power cord, Quick start guide, Support Disk",20.5cm,56cm,Retail,40.5cm,Yes,0.294mm,NEX-107111,Monitors,405mm,342.4mm,210mm,64.8mm,"ASUS VB198TL BK 19"" LED Black Multimedia Monitor (1280 x 1024/5ms/VGA/DVI)",413mm,413mm,1280 x 1024,5ms,Not Compliant,"19""",LCD,Integrated,"Excellent Video Performance, Ergonomic design for personal visual comfort, Splendid Video Intelligence Technology",0.3W,-45Â°/45Â°,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"TCO’03, UL/cUL, CB, CE, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, RoHS, Windows 7 WHQL",1280 x 1024,4.7Kg,,886227282326.0,53KHz - 80KHz,50Hz - 76Hz,,5.0,,,,,,,,
"ASUS VK248H 24"" Widescreen LED Black Monitor (1920x1080/2ms/VGA/DVI-D/HDMI/Webcam) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 2W,LED,250 cd/mÂ²,"Â£150.00
Â£180.00 inc VAT
6 Available
Available for next day delivery if ordered before 5pm",16.7 Million,,,1.0,"50, 000, 000:1",4716659019824.0,7.0Kg,1.0,,,170Â°,,Power Lead,"Monitors, 16:9, 24"", 2ms, HDMI, LCD, LED, LED Backlight, Wall, Wall Mount, WebCam, Widescreen",,ASUS,VK248H,24W,"Monitor, UK Power Lead, Euro Power Lead, VGA Lead, DVI Lead, Audio Lead, USB Lead, Quick Start Guide, Support Disk",15.5cm,63cm,Retail,47cm,,0.2768mm,NEX-105867,Monitors,358.8mm,,61.5mm,,"ASUS VK248H 24"" Widescreen LED Black Monitor (1920x1080/2ms/VGA/DVI-D/HDMI/Webcam)",568.4mm,,1920 x 1080,2ms (GTG),Not Compliant,"24""",LCD,Integrated,"True-to-life Pictures Powered by LED, 2ms Response Time, Real-time Video Communication, QuickFit Virtual Scale, Splendid Video Intelligence Technology, Stylish and User-friendly Design",0.5W,,-5Â°/20Â°,Black,Black,Black,,,,,160Â°,1.0,VESA 100mm x 100mm,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7 WHQL",1920 x 1080,5.0Kg,,886227019823.0,30kHz - 83kHz,50Hz - 76Hz,,5.0,,,1.0MP,,,,,
"ASUS MX279H 27"" Wide AH-IPS Silver Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA) : Monitors : Monitors : Nexus Technology UK, Colchester, Essex",16:9,2 x 3W,LED,250 cd/mÂ²,"Â£257.23
Â£308.68 inc VAT
45 Available
Available for next day delivery if ordered before 5pm",16.7 Million,1000:1,,,"80, 000, 000:1",4716659265795.0,8.5Kg,2.0,1.0,,178Â°,,Power Adapter,"Monitors, IPS, AH-IPS, Full HD, 27"", 5ms (GTG), 80.000.000:1, Headphone, HDMI, LED, LED Backlight, Frameless",,ASUS,MX279H,37W,"Monitor, Power adapter, UK Power cord, VGA cable, HDMI-to-DVI cable, Audio cable, Quick start guide",12cm,70cm,Retail,54cm,,0.311mm,NEX-107253,Monitors,441.3mm,,225.2mm,,"ASUS MX279H 27"" Wide AH-IPS Silver Multimedia Monitor (1920x1080/5ms/2xHDMI/VGA)",622.6mm,,1920 x 1080,5ms (GTG),Not Compliant,"27""",AH-IPS,Integrated,"Full HD AH-IPS LED display with 178Â° wide-view angle in frameless design for edge-to-edge brilliance, ASUS SonicMaster Technology, co-developed with Bang and Olufsen ICEpower for premium immersive audio, Featuring dual HDMI ports for multi device connection",0.5W,,-5Â°/20Â°,Silver and Black,Black,Silver,,,,,178Â°,1.0,,3 Years On Site,www.asus.com,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7, Windows 8 WHQL",1920 x 1080,5.0Kg,Full HD,886227265794.0,30KHz - 80KHz,56Hz - 76Hz,,5.0,,,,,,,,
