3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
,HP Z30i - MrHighTech Shop,16:10,,,No No No,No No No,,,Black Black,,5000000:1,1000:1,66.3 mm,266.4 mm,,350 cd/m²,"762 mm (30 "")",75.78 cm,16.77 M,2560 x 1600 pixels,,IPS,Unspecified,Yes,Gold,,449.8 mm,Yes,601 mm,31 - 80 kHz,,100 - 250 V,,,,,,,,,,,,,,,,Yes,0 - 90 °,0.250 x 0.250 mm,,,0.5 W,85 W,8 ms,,,. .,,"720 x 480, 1280 x 800, 1376 x 768, 1600 x 900, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)",-45 - 45 °,Yes,,No,Yes,-5 - 20 °,No No,5.0,,60 - 70 Hz,,1.0,,,178 °,178 °,Yes,7.56 kg,9.96 kg,690.3 mm,690.3 mm,,,1.0,Yes,,,,,,,,,,1.0,,,,,24 - 98 kHz,50 - 70 Hz,1.0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GW2460HM - MrHighTech Shop,16:9,,,No No,Yes Yes,Yes Yes,,Black Black,,2000000:1,3000:1,194 mm,,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,565 mm,No,,,,,,,,,,Yes Yes,,,,,,,,,,,,0.276 x 0.276 mm,,,0.3 W,22 W,4 ms,,,,,1920 x 1080 (HD 1080),,,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.6 kg,,434 mm,,,,,Yes,,,,,,,,,,1.0,,,,,,,,,,,,,,,,17 17,,,3.5 mm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 247E4LHSB - MrHighTech Shop,16:9,W-LED,,No No No,No No No,Kensington Kensington,"RoHS, BSMI, CE Mark, FCC B,GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, UL/cUL, WEEE",Black Black,,20000000:1,1000:1,39 mm,193 mm,LED,250 cd/m²,"599.4 mm (23.6 "")",59.9 cm,16.77 M,1920 x 1080 pixels,,,,Yes,Silver,Full HD,348 mm,,434 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,Yes Yes,,30000 h 30000 h,,,Yes Yes,,,0 - 12192 m,20 - 80 %,0 - 40 °C,5.6 kg 5.6 kg,104 mm 104 mm,505 mm 505 mm,605 mm 605 mm,,,0.272 x 0.272 mm,Yes Yes,,0.5 W,17.2 W,5 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,Yes,-5 - 20 °,No No,,,56 - 75 Hz,,1.0,521.28 mm,293.22 mm,178 °,170 °,,3.16 kg,3.44 kg,557 mm,557 mm,No,Yes Yes,,,,,,,Yes Yes,Yes Yes,,,,2.0,,,AC AC,,,,,,,Yes Yes,,,,0.3 W,Yes Yes,,,,,,,,No,No,,,,,,,,,,,,,,Yes,Yes Yes,,,,,,,,,,,,,,,,,
No,"Wortmann AG Terra 2230W, Greenline Plus - MrHighTech Shop",16:10,,,No No,Yes Yes,Yes Yes,"CE, CB, TUV GS, ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",,15000000:1,,52 mm,213 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,,TN+Film,Unspecified,Yes,,,343 mm,No,408 mm,,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.282 x 0.282 mm,Yes Yes,,0.5 W,16 W,5 ms,,,,,1680 x 1050 (WSXGA+),,,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.9 kg,,518 mm,518 mm,,Yes Yes,,Yes,,Yes,,,Yes Yes,,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,30 - 82 kHz,56 - 76 Hz,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LG 22EA53VQ-P LED display - MrHighTech Shop,"4:3, 16:9",W-LED,,No No No,No No No,Kensington Kensington,"TCO6.0, CE, TÜV, FCC, UL, cUL, RoHS",Black Black,,5000000:1,1000:1,55 mm,181 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.61 cm,16.77 M,1920 x 1080 pixels,,IPS,Unspecified,Yes,,Full HD,312 mm,No,385 mm,,,100 - 240 V,Yes Yes,,50000 h 50000 h,,,Yes Yes,"DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR",Yes Yes,,10 - 80 %,10 - 35 °C,3.8 kg 3.8 kg,116 mm 116 mm,381 mm 381 mm,577 mm 577 mm,,,0.248 x 0.248 mm,Yes Yes,,0.3 W,,5 ms,,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,Yes,-5 - 20 °,No No,,,,75 x 75 mm,1.0,,,178 °,178 °,Yes,2.58 kg,2.8 kg,508 mm,508 mm,,Windows 8 Windows 8,1.0,Yes,,,,1,Yes Yes,Yes Yes,5 - 90 %,,,1.0,1080p,,"AC, VGA AC, VGA",,30 - 83 kHz,56 - 75 Hz,,,25 W,Yes Yes,,,,0.3 W,,17 17,,,3.5 mm,,,,Yes,,,,,,Yes,,,,,,,,,,,Yes,475.97 x 267.73 mm 475.97 x 267.73 mm,,,,,,,,,,,,,,,
,NEC E224WI-BK - MrHighTech Shop,16:9,W-LED,,No No,,,"TCO, RoHS",Black Black,,,,58.5 mm,213.9 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Silver,Full HD,301.1 mm,,474.5 mm,31.5 - 81.1 kHz,,,,,,0 - 12192 m,,Yes Yes,,,0 - 2000 m,20 - 80 %,5 - 35 °C,,,,,Yes,,0.25 x 0.25 mm,Yes Yes,0.4 W,,26 W,6 ms,,,. .,-10 - 60 °C,1920 x 1080 (HD 1080),,Yes,,,Yes,,,,,56 - 76 Hz,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.9 kg,5.9 kg,507.4 mm,507.4 mm,,,1.0,Yes,,,,,Yes Yes,,10 - 85 %,,,,1080p,,DVI DVI,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 273E3LHSB - MrHighTech Shop,16:9,W-LED,,No No No,Yes Yes Yes,Kensington Kensington,"RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO certified, UL/cUL, WEEE",Black Black,,20000000:1,1200:1,64 mm,227 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,Yes,,,Yes,Silver,Full HD,391 mm,No,440 mm,,,100 - 240 V,"Progress, Stand-by Progress, Stand-by","Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion",30000 h 30000 h,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR",Yes Yes,,,0 - 40 °C,8.82 kg 8.82 kg,138 mm 138 mm,525 mm 525 mm,700 mm 700 mm,,,0.311 x 0.311 mm,Yes Yes,,0.5 W,20.4 W,3.5 ms,4 W 4 W 4 W,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,,-5 - 20 °,No No,,,,100 x 100 mm,1.0,597.6 mm,336.2 mm,178 °,170 °,Yes,6.5 kg,8.2 kg,642 mm,642 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64 Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",1.0,Yes,20 - 80 %,Yes,,1,,Yes Yes,,,,1.0,1080p,No No No,,,30 - 83 kHz,56 - 75 Hz,,Horizontal Horizontal,,Yes Yes,,,Yes,0.3 W,,9 9,,,,,,,Yes,,No No,,,,,,,,,,"4:3, 16:9 4:3, 16:9",,,,,,,1 pcs 1 pcs,Yes Yes,,,,,,,,,,,,,
,AOC e2343F - MrHighTech Shop,16:9,,,No,No No,,,,,50000000:1,,,,,250 cd/m²,"584.2 mm (23 "")",,,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2655 x 0.2655 mm,,,,28 W,5 ms,,,,,,,,,,,,,,,,,1.0,,,160 °,160 °,,,,,,,,1.0,Yes,,,,,,,,,,,,,,,31 - 83 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VW22ATL - MrHighTech Shop,,W-LED,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Black Black,,5000000:1,,63.34 mm,213.93 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,,TN+Film,Unspecified,Yes,,HD-ready,340.79 mm,Yes,364.33 mm,31 - 83 kHz,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,212 mm,412 mm,640 mm,Yes,,,,,0.3 W,33 W,5 ms,2 W 2 W,,. .,,1680 x 1050 (WSXGA+),,,,No,,-5 - 15 °,No,,,56 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,6 kg,,513.95 mm,513.95 mm,,,1.0,Yes,,,,,,,,,,,,,"AC, DVI, VGA AC, DVI, VGA",,,,,,,,,,Yes,,Yes Yes,,,,3.5 mm,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benq GL2460 - MrHighTech Shop,16:9,,No,No No,No No,,,Black Black,TCO 6.0,12000000:1,1000:1,54 mm,194 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,,,Full HD,333 mm,No,434 mm,,50/60 Hz,90 - 264 V,Yes Yes,,,,,Yes Yes,,,,,,5.8 kg,,,,No,,0.276 x 0.276 mm,,0.3 W,,23 W,2 ms,,,,,1920 x 1080 (HD 1080),,No,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.3 kg,,565 mm,565 mm,No,Yes Yes,,,,,,,,,,,,,"1080i, 1080p, 720p",,,No No,,,,,,,,,,,,17 17,,,,,,,Yes,No,,,,,,,,,,,,Yes Yes,,,,,,,,16 mm,No No,Black Black,No,,,,,,,,,
No,ASUS VW22AT - MrHighTech Shop,16:10,,,No No,Yes Yes,Kensington Kensington,"BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Black Black,,50000000:1,,63.34 mm,210.32 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,,,Unspecified,Yes,,No,340.79 mm,No,406.23 mm,31 - 83 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,Yes Yes,,,,5.4 kg,146 mm,452 mm,588 mm,,,0.282 x 0.282 mm,,0.5 W,,33 W,5 ms,2 W 2 W,,. .,,1680 x 1050 (WSXGA+),,,,No,,-5 - 20 °,No,,,56 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.9 kg,,513.95 mm,513.95 mm,,Yes Yes,1.0,Yes,,Yes,,,,Yes Yes,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,24 - 83 kHz,50 - 75 Hz,,Horizontal Horizontal,,Yes Yes,,,Yes,0.3 W,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,1 pcs 1 pcs,Yes Yes,,,,,1680 x 1050 pixels 1680 x 1050 pixels,Digital Digital,,,,,,,
No,Edge10 EF185a - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,,Black Black,,10000:1,1000:1,53 mm,180 mm,LED,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,,Unspecified,,,HD-ready,302 mm,No,370 mm,,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,5 - 90 %,0 - 40 °C,,,,,,,0.3 x 0.3 mm,,,1 W,19 W,5 ms,4 W 4 W,,,,1366 x 768,,,,No,Yes,-5 - 15 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.18 kg,,438 mm,438 mm,,,1.0,,,,,,,,,,,,,,VGA VGA,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
No,Benq GW2460HM - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,Kensington Kensington,,Black Black,,20000000:1,3000:1,194 mm,54 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,PVA,Unspecified,Yes,,Full HD,565 mm,No,565 mm,,,90 - 264 V,,,,,2 2 2,Yes Yes,,Yes Yes,,,,,,,,,,0.276 x 0.276 mm,,0.3 W,,,4 ms,2 W 2 W 2 W,,,,1920 x 1080 (HD 1080),,,,No,Yes,-5 - 20 °,No No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.6 kg,5 kg,434 mm,334 mm,,"Windows Vista Home Premium, Windows Vista Home Premium x64 Windows Vista Home Premium, Windows Vista Home Premium x64",,Yes,,,,,,,,Yes,,1.0,,,,,,,,,22 W,,,,,,,17 17,,,3.5 mm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS PA248Q - MrHighTech Shop,16:10,,,,,Kensington Kensington,"TCO 5.2, UL/cUL, CB, CE, ErP, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, Windows 7 WHQL, Mac Compliance",Black Black,,80000000:1,,62 mm,235 mm,LED,300 cd/m²,"612.1 mm (24.1 "")",61.13 cm,16.77 M,1920 x 1200 pixels,,IPS,,Yes,,Full HD,362.8 mm,,416.3 mm,,50/60 Hz,100 - 240 V,,Yes Yes,,,,Yes Yes,,Yes Yes,,,,9.9 kg 9.9 kg,292 mm,439 mm,681 mm,Yes,,0.27 x 0.27 mm,,1 W,,75 W,6 ms,,,. .,,1920 x 1200 (WUXGA),,,,No,,-5 - 20 °,,,5.0,,100 x 100 mm,1.0,,,178 °,178 °,Yes,6.4 kg,,557.2 mm,557.2 mm,,Yes Yes,1.0,Yes,,Yes,,1,,Yes Yes,,,Yes Yes,1.0,,,"AC, DisplayPort, DVI, USB, VGA AC, DisplayPort, DVI, USB, VGA",,30 - 83 kHz,50 - 76 Hz,1.0,Horizontal/Vertical Horizontal/Vertical,,Yes Yes,,,,,Yes Yes,,,,3.5 mm,,,,,,Yes Yes,,,,,,,,RoHS,,,,,,,,,1 pcs 1 pcs,Yes Yes,,,,,1920 x 1200 pixels 1920 x 1200 pixels,,,,,,,,
No,Philips 203V5LSB26 - MrHighTech Shop,16:9,RGB-LED,No,No No,No No,Kensington Kensington,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TUV/ISO9241-307, cETLus, WEEE",Black Black,,10000000:1,600:1,48 mm,170 mm,LED,200 cd/m²,"495.3 mm (19.5 "")",49.5 cm,16.77 M,1600 x 900 pixels,Yes,,Unspecified,Yes,Silver,HD-ready,285 mm,No,345 mm,,50/60 Hz,100 - 240 V,Yes Yes,Yes Yes,30000 h 30000 h,,,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR",Yes Yes,,20 - 80 %,0 - 40 °C,3.23 kg,109 mm,350 mm,503 mm,No,,0.26 x 0.26 mm,,,0.5 W,14.52 W,5 ms,,Yes,. .,-20 - 60 °C,1600 x 900,,No,Yes,No,No,-3 - 10 °,No,,,,100 x 100 mm,1.0,433.9 mm,236.3 mm,90 °,50 °,Yes,2.03 kg,2.33 kg,465 mm,465 mm,No,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,No,,Yes,,,,Yes Yes,,,,,,,,,30 - 83 kHz,56 - 75 Hz,,,,Yes Yes,,495 mm,,0.5 W,,21 21,,,,,503 x 109 x 350 mm,,No,No,,465 x 170 x 345 mm,,,,,,,,,,,,,,,,,,,,,,,,433.9 x 236.3 mm 433.9 x 236.3 mm,,,,,,
,Viewsonic Graphic Series VA705-LED - MrHighTech Shop,,,,No No No,No No No,Kensington Kensington,"UL, cUL, FCC-B, CB, CE, NOM, TUV/GS, TUV/ERGO (covers ISO13406-2), TCO'03, BSMI, CCC, PSB, C-TICK",Black Black,,1000:1,,68 mm,210 mm,LCD,250 cd/m²,"431.8 mm (17 "")",,,1280 x 1024 pixels,,,Unspecified,Yes,,No,337.4 mm,,400 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,32 - 104 °F,,,,,,,,,,,21 W,5 ms,,,. .,0 - 40 °C,1280 x 1024 (SXGA),,,,,,,No No,,,,,1.0,337 mm,269 mm,160 °,160 °,,3.8 kg,4 kg,379 mm,379 mm,,,,,10 - 90 %,Yes,,,Yes Yes,,,,,,,,AC AC,,,,,,,,,,,,Yes Yes,,,,,,440 x 147 x 480 mm,,,,,379 x 210 x 400 mm,379 x 68 x 337.4 mm,,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,
No,AOC E960SRDA LED display - MrHighTech Shop,5:4,,No,No No,Yes Yes,Kensington Kensington,"CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, RoHS, TCO 5.0, TÜV-GS",Black Black,,20000000:1,1000:1,210 mm,,LED,250 cd/m²,"482.6 mm (19 "")",48.3 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,Yes,Silver,,405.1 mm,No,,,,90 - 240 V,,,,,1 1,Yes Yes,,Yes Yes,,,,,,,,No,,0.294 x 0.294 mm,Yes Yes,,0.5 W,22 W,5 ms,,,. .,,1280 x 1024 (SXGA),,No,,No,Yes,-5 - 15 °,No,,,,100 x 100 mm,1.0,376 mm,301 mm,170 °,160 °,Yes,2.85 kg,4.2 kg,409.2 mm,,No,,1.0,No,,Yes,,,,,,,,,,,,No No,30 - 80 kHz,50 - 76 Hz,,,,,140 MHz 140 MHz,,,0.5 W,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,No No,,,,,,No No,,,,,
No,Benq GW2460HM - MrHighTech Shop,16:9,,,No No,Yes Yes,No No,,Black Black,,20000000:1,5000:1,54 mm,194 mm,LCD,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,334 mm,,434 mm,,,,,,,,2 2,Yes Yes,,,,,,,,,,,,0.276 x 0.276 mm,,,0.3 W,22 W,4 ms,1 W 1 W,,,,1920 x 1080 (HD 1080),,,,No,,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.6 kg,,565 mm,565 mm,,,,Yes,,,1.0,1,,,,,,1.0,,,,,,,,,,,,,,,,17 17,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,16 mm,,,,,,,,,,,,
No,ASUS VE228DR - MrHighTech Shop,16:9,,,No No,No No,Kensington Kensington,"CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE",Black Black,,80000000:1,,56.9 mm,201.82 mm,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,305.51 mm,No,385.96 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,,,,,,,,,,,148 mm,468 mm,576 mm,,,0.248 x 0.248 mm,Yes Yes,,0.5 W,35 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 20 °,No,,,50 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.1 kg,,512.84 mm,512.84 mm,,,,,,,,,,,,,,,1080p,,"AC, VGA AC, VGA",,,,,,,,,,,0.5 W,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC q2963Pm - MrHighTech Shop,21:9,,No,No No,Yes Yes,Kensington Kensington,TCO 6.0,Black Black,,50000000:1,1000:1,211.99 mm,,LED,250 cd/m²,"736.6 mm (29 "")",73.7 cm,16.77 M,2560 x 1080 pixels,,,Unspecified,Yes,,,387.91 mm,No,,,50/60 Hz,90 - 240 V,,,,,1 1,Yes Yes,,Yes Yes,,,,,,,,No,,0.876 x 0.876 mm,Yes Yes,,0.5 W,30 W,5 ms,,,. .,,2560 x 1080,,No,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,694.6 mm,308.9 mm,178 °,178 °,Yes,6.9 kg,9.79 kg,713.57 mm,,No,,1.0,Yes,,Yes,,,,,,,,1.0,,,,No No,30 - 83 kHz,55 - 75 Hz,2.0,,,,146 MHz 146 MHz,,,0.5 W,,,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,No No,,,,,,No No,,,,,
No,NEC P242W - MrHighTech Shop,16:10,W-LED,,No No No,No No No,Kensington Kensington,,Black Black,,1000:1,,85 mm,,LCD,350 cd/m²,"612.1 mm (24.1 "")",61.1 cm,16.77 M,1920 x 1200 pixels,,IPS,B,Yes,,Full HD,362.4 mm,Yes,378 mm,,,,,,,,,,,,,,,,,,,Yes,,0.270 x 0.270 mm,,1 W,22 W,30 W,8 ms,,,. .,,"720 x 400, 720 x 480, 720 x 576, 1152 x 870, 1200 x 1920, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1600 x 1200 (UXGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,No,,,No No,,,,"100 x 100, 200 x 100 mm",1.0,,,178 °,178 °,Yes,7.4 kg,10.2 kg,556.8 mm,556.8 mm,,,1.0,No,,,,,,,,,,1.0,,,,,31.5 - 93.8 kHz,31.5 - 91.1 Hz,1.0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,NEC MultiSync E223W - MrHighTech Shop,16:10,W-LED,No,No No,No No,Kensington Kensington,TCO 5.2,White White,,25000:1,1000:1,218 mm,,LED,250 cd/m²,"558.8 mm (22 "")",55.87 cm,16.77 M,1680 x 1050 pixels,Yes,TN+Film,Unspecified,Yes,Silver,No,384 mm,Yes,,31.5 - 82.3 kHz,50/60 Hz,100 - 240 V,Yes Yes,,,,,Yes Yes,,Yes Yes,,20 - 80 %,5 - 35 °C,,,,,Yes,0 - 90 °,0.282 x 0.282 mm,Yes Yes,12 W,0.4 W,,5 ms,,,. .,,"1280 x 960, 1366 x 768, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",-170 - 170 °,Yes,,No,Yes,-5 - 30 °,No,,,56 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,5.6 kg,,503.5 mm,,No,Yes Yes,1.0,Yes,,Yes,,,Yes Yes,Yes Yes,,,,,,,"AC, DVI, VGA AC, DVI, VGA",,,,1.0,,25 W,Yes Yes,,,,,Yes Yes,,,,,,,,,No,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,
