<page title>,adjustable display angle,adjustable display height,aspect ratio,backlight technology,brand name,brightness,certifications standards,color,contrast ratio,depth,displayport,dvi,green compliance certificateauthority,green compliant,hdcp supported,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,mount type,number of screens,operating power consumption,package contents,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,additional information,color supported,input voltage,touchscreen,touchscreen type,usb,adjustable display pivot,builtin devices,features,panel technology,usb standard,weight with stand approximate,depth with stand,hdmi,height with stand,horizontal frequency,standard refresh rate,width with stand,offmode power consumption,swivel angle,tilt angle,display orientation,product series,maximum adjustable height,speakers,component video,network rj45,serial port,country of origin,full product specifications,headphone,number of speakers,interfacesports,postconsumerwaste,recycled,recycled content,composite video,multitouch screen,svideo,webcam,package type,digital zoom,image sensor,resolution,compatibility,packaged quantity,3d type
"Hp Essential L1506x 15"" Led Lcd Monitor - 4:3 - 8 Ms - Adjustable Display Angle - 1024 X 768 - 400 Cd/mÂ² - 700:1 - Xga - Vga - 14.90 W - Black - Energy Star, Epeat Silver, Epeat Gold, Rohs, Weee - (LL543AA#ABA) - SoftwareCity.ca - Canada",Yes,,4:3,LED,HP,400 cd/mÂ²,CBCISPRVCCIETL (USA/Canada)TUVGS Mark (German Ergonomic)BSMI (Taiwan)CCC (China)KCC/KC (South Korea)NOM (Mexico)CEFCCULGOST (Russia)SASO (Saudi Arabia),Black,700:1,"2.4"" (61 mm)",,,"ENERGY STAR, EPEAT Silver, EPEAT Gold, RoHS, WEEE",Yes,,"11.4"" (289.6 mm)",160Â°,3 Year,Hewlett-Packard,LL543AA#ABA,http://www.hp.com/ca,1024 x 768,"Arm-mountable, Wall Mountable",1.0,14.90 W,Essential L1506x LCD MonitorAC Power CableVGA CableBaseDocumentation KitCD-ROM,PC,Essential,L1506x,Essential L1506x LCD Monitor,LCD Monitor,8 ms,XGA,"15""",Anti-glare,900 mW,140Â°,Yes,100 x 100,Yes,3.10 kg,"13.4"" (340.4 mm)",,,"110 V AC, 220 V AC",,,,,,Security Lock,,,,"7.9"" (200.7 mm)",,"13.9"" (353.1 mm)",63 kHz,60 Hz,"13.4"" (340.4 mm)",,,,,,,,,,,,,,,,,Yes,99%,,,,,,,,,,,
"Lenovo Thinkvision Lt2024 20"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1600 X 900 - 250 Nit - 1,000:1 - Hd+ - Dvi - Vga - Black - Tco Certified Displays 6.0, Tco Certified Edge Displays 1.2, Epeat Gold, Ule Gold, Energy Star 6.0, Rohs, China Rohs, Epa, China Energy Label (cel), Cecp, TÃ¼v - (60B9HAR1US) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Lenovo,250 cd/mÂ²,ISO 9241-307 FCC Class B (US) BELLIS(Belarus) OTAN(Kazakhstan) KEBS(Kenya) SONCAP(Nigeria) TUV-GS e-Standby (Korea) CE (EU) VCCI(Japan) C-TICK (Australia/New Zealand) IC (Canada) cTUVus IEC-950 CB Report NOM (Mexico) SASO (Saudia Arabia) PSB (Singapore) BSMI (Taiwan) NEMKO KVALITET(Serbia) CCC (China) STZ (Uzbekistan) INSM (Moldavia) KUCAS (Kuwait) KC (Korea) JEITA (Japan) CSA (Canada) SABS (South Africa) ISC (Cambodia) KONCAR(Croatia),Black,"1,000:1","6.3"" (160.7 mm)",,Yes,"TCO Certified Displays 6.0, EPA, China Energy Label (CEL), CECP, TÃV, TCO Certified Edge Displays 1.2, EPEAT Gold, ULE Gold, ENERGY STAR 6.0, RoHS, China RoHS",Yes,Yes,"13.7"" (347.4 mm)",,3 Year,Lenovo Group Limited,60B9HAR1US,http://www.lenovo.com/ca/en,1600 x 900,Wall Mountable,1.0,22 W,,PC,ThinkVision,LT2024,ThinkVision LT2024 20-inch LED Backlit LCD Monitor,LCD Monitor,5 ms,HD+,"20""",,,160Â°,Yes,100 x 100,Yes,3.06 kg,"18.8"" (478.4 mm)",,,,,,,,,Security Lock,Twisted Nematic Film (TN Film),,,,,,83 kHz,60 Hz,,,,-5Â°to22Â°,,,,,,,,,,,,,,Yes,85% Plastic,,,,,,,,,,,
"Lenovo Thinkvision Lt2013p 19.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1600 X 900 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Hd+ - Hdmi - Vga - Displayport - Usb - 36 W - Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.1, Ule Gold, Rohs, China Rohs, Turkey Rohs, Mpr Ii, China Energy Label (cel) - (60A0MAR1US) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,SAFETY:cTUVusIEC950 CB ReportNEMKOKVALITETUkraineCCCNOMSASOCEGOSTPSBBSMIJEITATUV-SSABSKCINSMGreenmark by TUV/Carbon footprinte-standbyGSEMI:FCC BCEVCCIKCICBSMICCCSABSERGONOMIC:EPA 6.0TUV-GSISO 9241-307e-standbyCSCChina National Monitor Energy Efficiency standard Tier 1TUV-Green MarkGHG(B2B)ECO declaration,Black,"1,000:1","2.1"" (52.6 mm)",Yes,,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, RoHS, China RoHS, Turkey RoHS, MPR II, China Energy Label (CEL)",Yes,,"10.8"" (274.8 mm)",170Â°,3 Year,Lenovo Group Limited,60A0MAR1US,http://www.lenovo.com/ca/en,1600 x 900,,1.0,36 W,"ThinkVision LT2013p 19.5-inch LED Backlit LCD MonitorStandVGA CableUSB CablePower CordCD-ROM (Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation File)Quick Start and Safety Poster",PC,ThinkVision,LT2013p,ThinkVision LT2013p 19.5-inch LED Backlit LCD Monitor,LCD Monitor,5 ms,HD+,"19.5""",,1 W,160Â°,Yes,100 x 100,Yes,4.40 kg,"18.4"" (467.1 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,USB Hub,Security Lock,Twisted Nematic Film (TN Film),USB 2.0,,,Yes,"13.3"" (336.6 mm)",83 kHz,75 Hz,"18.4"" (467.1 mm)",500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
"Lenovo Ls1922 18.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1366 X 768 - 16.7 Million Colors - 250 Nit - 1,000:1 - Wxga - Vga - 24 W - Business Black - Energy Star 5.1, Tco Certified Displays 5.2, Weee, Rohs, China Rohs - (2580AF1) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Lenovo,250 cd/mÂ²,"GSISO 9241-307Safety:c (TUV) usIEC950 CB ReportSEMKONOMSASOCETUVCCCGostPSBUkraineKEBSe-standbyBSMIJEIDATUV-SISCKVALITETINSMSTZBELLISKONCAROTANSONCAPCSCChina National Monitor Energy Efficiency Standard (Tier 1)EMI:FCC BICVCCIKCSABS-CoC, LoA",Business Black,"1,000:1","8.3"" (209.6 mm)",,,"ENERGY STAR 5.1, TCO Certified Displays 5.2, WEEE, RoHS, China RoHS",Yes,,"14.5"" (369.3 mm)",170Â°,3 Year,Lenovo Group Limited,2580AF1,http://www.lenovo.com/ca/en,1366 x 768,,1.0,24 W,,PC,,LS1922,LS1922 Wide 18.5inch WLED Flat Panel Monitor (VGA Only),LCD Monitor,5 ms,WXGA,"18.5""",,1 W,160Â°,Yes,100 x 100,Yes,2.97 kg,"17.4"" (441.5 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,,,Security Lock,,,,,,,,60 Hz,,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2223p 21.5"" Led Lcd Monitor - 16:9 - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - Full Hd - Hdmi - Vga - Displayport - Usb - 8 W - Business Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.1, Ule Gold, Eu Rohs, China Energy Label (cel), It Eco Declaration, Reach, Eup, China Rohs, ... - (60A1MAR2US) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,TUV Green Mark ISO 9241-307 e-standby CSC GHG Saftey: BELLIS BSMI CCC CE cULus+ICES KC Gost IEC950 CB Report JEITA KEBS KONCAR KVALITET NEMKO NOM OTAN PSB SASO SONCAP TUV bauart TUV-S EMI: BSMI CCC CE DoC FCC B DoC IC KC SABS VCCI,Business Black,"2,000,000:1","2.2"" (56.4 mm)",Yes,,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, EU RoHS, China Energy Label (CEL), IT Eco Declaration, REACH, EuP, China RoHS, EU WEEE, CECP, MPR II",Yes,,"12"" (304 mm)",170Â°,3 Year,Lenovo Group Limited,60A1MAR2US,http://www.lenovo.com/ca/en,1920 x 1080,Wall Mountable,1.0,8 W,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor Detachable Tool-less Full Ergo Stand VGA Cable USB Cable Power Cord CD Quick Start and Safety Poster,PC,ThinkVision,LT2223p,ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,500 mW,160Â°,Yes,,Yes,4.96 kg,"20.2"" (512.6 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,USB Hub,Security Lock,Twisted Nematic Film (TN Film),USB 2.0,,"8.6"" (218.4 mm)",Yes,"14.3"" (363 mm)",81 kHz,60 Hz,"20.2"" (512.6 mm)",500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt1713p 17"" Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 1,000:1 - Sxga - Dvi - Vga - Business Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.2, Ule Gold, China Energy Label (cel), Rohs, Meps, Cecp, China Rohs, Weee, ... - (60B3HAR2US) - SoftwareCity.ca - Canada",Yes,Yes,5:4,,Lenovo,250 cd/mÂ²,KC (Korea) cTUVus NEMKO Green Guard(USA VOC) SDO C(Korea) PC Green Label(Japan) TUV Green Mark TUV-Ergo ISO9241-307 KCC FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) BSMI (Taiwan) CCC (China) SABS-CoC AAA-RSO (Serbia) cTUVus IEC950 CB Report NEMKO TUV-GS (Germany) CCC (China) BSMI NOM (Mexico) ICCP (Saudi Arab) EAC (Russia) PSB (Singapore) ISC (Cambodia) AAA-S(Serbia) JEITA (Japan) SABS-LoA KC E-Standby,Business Black,"1,000:1","6.5"" (165.2 mm)",,Yes,"ENERGY STAR 6.0, EPEAT Gold, CECP, China RoHS, WEEE, Ukraine RoHS, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.2, ULE Gold, China Energy Label (CEL), RoHS, MEPS",Yes,,"14.6"" (370 mm)",170Â°,3 Year,Lenovo Group Limited,60B3HAR2US,http://www.lenovo.com/ca/en,1280 x 1024,,1.0,,"ThinkVision LT1713p 17-Inch Square LCD Monitor VGA Cable DVI Cable Power Cord CD (multilingual user's guide, setup test pattern, and Windows installation file) Quick start and safety poster",PC,ThinkVision,LT1713p,ThinkVision LT1713p 17-Inch Square LCD Monitor,LCD Monitor,5 ms,SXGA,"17""",,,160Â°,Yes,100 x 100,Yes,3.60 kg,"16"" (405.7 mm)",,16.7 Million Colors,,,,,Yes,,Security Lock,Twisted Nematic Film (TN Film),,,,,,,,,,,-3Â°to22Â°,,,"4.3"" (110 mm)",,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2423 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Hdmi - Vga - 21 W - Black - Tco Certified Edge, Energy Star 6.0, Tco Certified Displays 6.0, Ule Gold, Rohs, Epeat Gold, China Energy Label (cel), Mpr Ii, Weee - (60A8KAR2US) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Lenovo,250 cd/mÂ²,TUV Green Mark TUV FCC Class B certified ISO 9241-307,Black,"1,000:1","2"" (50.8 mm)",,,"TCO Certified Edge, ENERGY STAR 6.0, WEEE, TCO Certified Displays 6.0, ULE Gold, RoHS, EPEAT Gold, China Energy Label (CEL), MPR II",Yes,Yes,"13.5"" (342.9 mm)",170Â°,3 Year,Lenovo Group Limited,60A8KAR2US,http://www.lenovo.com/ca/en,1920 x 1080,,1.0,31 W,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor Stand And Base VGA Cable Audio Cable Power Cord CD-ROM Quick Start And Safety Poster,PC,ThinkVision,LT2423,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor,LCD Monitor,5 ms,Full HD,"24""",,500 mW,160Â°,Yes,100 x 100,Yes,3.76 kg,"22.3"" (566.4 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,,Speaker,Security Lock,Twisted Nematic Film (TN Film),,,"8.5"" (215.9 mm)",Yes,"16.3"" (414 mm)",81 kHz,60 Hz,"22.3"" (567.2 mm)",,,,,,,Yes,,,,,,,2.0,,,,,,,,,,,,,,,
"Lenovo Thinkvision E2323 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 3,000,000:1 - Full Hd - Dvi - Vga - Raven Black - Epeat Silver, Tco Certified Displays 6.0, Energy Star 6.0, Eu Rohs, China Rohs, Turkey Rohs, Ukraine Rohs - (60B0HAR1US) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Lenovo,250 cd/mÂ²,China Energy Standard Tier1 VOC test,Raven Black,"3,000,000:1","6.6"" (167.2 mm)",,Yes,"EPEAT Silver, TCO Certified Displays 6.0, ENERGY STAR 6.0, EU RoHS, China RoHS, Turkey RoHS, Ukraine RoHS",Yes,,"15.7"" (399 mm)",170Â°,3 Year,Lenovo Group Limited,60B0HAR1US,http://www.lenovo.com/ca/en,1920 x 1080,Wall Mountable,1.0,26 W,,PC,ThinkVision,E2323,ThinkVision E2323 Wide 23-Inch FHD WLED Backlit LCD Monitor,LCD Monitor,5 ms,Full HD,"23""",,,160Â°,Yes,100 x 100,Yes,3.57 kg,"21.6"" (548.5 mm)",,16.7 Million Colors,,,,,,,Security Lock,Twisted Nematic Film (TN Film),,,,,,83 kHz,60 Hz,,,,-5Â°to22Â°,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2452p 24"" Led Lcd Monitor - 16:10 - 7 Ms - Adjustable Display Angle - 1920 X 1200 - 16.7 Million Colors - 300 Cd/mÂ² - 1,000:1 - Wuxga - Dvi - Vga - Displayport - 40 W - Business Black - Energy Star 5.1, Tco Certified Edge Displays 1.1, Epeat Gold, Ule Gold, Eup, Reach, China Rohs, Turkey Rohs, Eu Rohs, Eu Weee, Tco Certified Displays 6.0, ... - (60A6MAR2US) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Lenovo,300 cd/mÂ²,Safety: cTUVus IEC60950 CB Report NEMKO KVALITET CE NOM SASO Gost PSB BSMI JEITA TUV-S SABS KC EMI: FCC B CE VCCI KC BSMI CCC SABS KVALITET Ergonomic: TUV-GS ISO 9241-307 E-Standby,Business Black,"1,000:1","15.5"" (394.7 mm)",Yes,Yes,"ENERGY STAR 5.1, Turkey RoHS, EU RoHS, TCO Certified Displays 6.0, Eco Mark (Japan), MPR II, CECP, China Energy Label (CEL), China RoHS, TCO Certified Edge Displays 1.1, EPEAT Gold, ULE Gold, EuP, REACH, EU WEEE",Yes,,"10.1"" (257.3 mm)",178Â°,3 Year,Lenovo Group Limited,60A6MAR2US,http://www.lenovo.com/ca/en,1920 x 1200,Wall Mountable,1.0,40 W,,PC,ThinkVision,LT2452p,ThinkVision LT2452p 24-inch Wide LCD Monitor,LCD Monitor,7 ms,WUXGA,"24""","Anti-glare, Anti-reflective",500 mW,178Â°,Yes,100 x 100,Yes,6.67 kg,"22"" (559.6 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,Yes,,"Security Lock, Cable Management",Enhanced In-plane Switching (E-IPS) Technology,,,,,,94 kHz,60 Hz,,500 mW,,,,,,,,,,,,,,,,Yes,85% Plastic,,,,,,,,,,,
"Lenovo Thinkvision Lt2323p 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Dvi - Vga - Displayport - Usb - 38 W - Raven Black - Weee, Rohs, China Rohs, Reach, Eup, Tco Certified Edge Displays 1.1, Epeat Gold, It Eco Declaration, Cecp, Mpr Ii, Energy Star 6.0 - (3024HC1) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,,Raven Black,"1,000:1","2.1"" (52.3 mm)",Yes,Yes,"WEEE, RoHS, China RoHS, MPR II, ENERGY STAR 6.0, REACH, EuP, TCO Certified Edge Displays 1.1, EPEAT Gold, IT Eco Declaration, CECP",Yes,,"14.7"" (372.3 mm)",170Â°,3 Year,Lenovo Group Limited,3024HC1,http://www.lenovo.com/ca/en,1920 x 1080,,1.0,38 W,"LT2323p Wide 23inch WLED Flat Panel Monitor Tooless detachable stand VGA Cable DVI Cable USB 2.0 Cable Power Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster",PC,ThinkVision,LT2323p,LT2323p Wide 23inch WLED Flat Panel Monitor,LCD Monitor,5 ms,Full HD,"23""","Anti-glare, Anti-reflective",500 mW,160Â°,Yes,100 x 100,Yes,5.74 kg,"21.5"" (546 mm)",,16.7 Million Colors,,,,Yes,Yes,USB Hub,Security Lock,Twisted Nematic Film (TN Film),USB 2.0,,,,,83 kHz,60 Hz,,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
"Lenovo Thinkvision Lt1913p 19"" Led Lcd Monitor - 7 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Sxga - Dvi - Vga - Black - Energy Star 6.0, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.1, China Energy Label (cel), Rohs, China Rohs, Ule Gold - (60AAHAR1US) - SoftwareCity.ca - Canada",Yes,Yes,5:4,LED,Lenovo,250 cd/mÂ²,TUV Green Mark ISO 9241-307,Black,"1,000:1","8.7"" (221.9 mm)",,Yes,"ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, China Energy Label (CEL), RoHS, China RoHS, ULE Gold",Yes,Yes,"14.9"" (378.3 mm)",178Â°,3 Year,Lenovo Group Limited,60AAHAR1US,http://www.lenovo.com/ca/en,1280 x 1024,,1.0,27 W,,"PC, Mac",ThinkVision,LT1913p,ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor,LCD Monitor,7 ms,SXGA,"19""",,,178Â°,Yes,100 x 100,Yes,4.55 kg,"16.2"" (411 mm)",,16.7 Million Colors,,,,,Yes,,Security Lock,In-plane Switching (IPS) Technology,,,,,,83 kHz,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2323z 23"" Lcd Monitor - 16:9 - 7 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Webcam - Vga - Displayport - Usb - 40 W - Raven Black - Weee, Rohs, China Rohs, Reach, Eup, Ule Gold, TÃ¼v, Tco Certified Edge Displays 1.1, Epeat Gold, It Eco Declaration, Cecp, ... - (3028LB2) - SoftwareCity.ca - Canada",Yes,Yes,16:9,,Lenovo,250 cd/mÂ²,,Raven Black,"1,000:1","2.2"" (56.4 mm)",Yes,,"WEEE, RoHS, China RoHS, ECO-Declaration, TÃV, TCO Certified Edge Displays 1.1, EPEAT Gold, IT Eco Declaration, REACH, EuP, ULE Gold, CECP, ENERGY STAR 6.0, MPR II",Yes,,"15.2"" (387.1 mm)",178Â°,3 Year,Lenovo Group Limited,3028LB2,http://www.lenovo.com/ca/en,1920 x 1080,Wall Mountable,1.0,40 W,"ThinkVision LT2323z Wide Monitor Tooless detachable stand VGA Cable DVI Cable USB 3.0 Cable Power Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster",PC,ThinkVision,LT2323z,ThinkVision LT2323z Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"23""",Anti-glare,500 mW,178Â°,Yes,100 x 100,Yes,6.16 kg,"21.5"" (545.3 mm)",,16.7 Million Colors,,,,Yes,Yes,"USB Hub, Microphone, Speaker","Ambient Light Sensor, Security Lock",In-plane Switching (IPS) Technology,USB 3.0,,,,,81 kHz,60 Hz,,,,-5Â°to30Â°,,,,Yes,,,,,,,2.0,,,,,,,,Yes,,,,,,1.0,
"Lenovo Thinkvision Lt2252p 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 250 Nit - 1,000:1 - Wsxga+ - Dvi - Vga - Displayport - 26 W - Epa, Cecp, Rohs, Mpr Ii, Ule Gold, Epeat Gold, China Rohs, Energy Star 6.0, Tco Certified Edge Displays 1.1 - (2572MB1) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Lenovo,250 cd/mÂ²,ULICCEGSKCCSACCCTUVPSBCSCVCCISASOJEITATUV-SGOSTBSMISEMKONEMKOAS/NZAKVALITETFCC Class BISO 9241-307EPA China Tier 1China Energy Efficiency Standard Tier 1IECEE CB Certificate (world-wide - IEC-950/EN 60950),Business Black,"1,000:1","9.5"" (241.1 mm)",Yes,Yes,"EPA, CECP, RoHS, MPR II, ULE Gold, EPEAT Gold, China RoHS, ENERGY STAR 6.0, TCO Certified Edge Displays 1.1",Yes,Yes,"14.5"" (367.1 mm)",170Â°,3 Year,Lenovo Group Limited,2572MB1,http://www.lenovo.com/ca/en,1680 x 1050,Wall Mountable,1.0,26 W,,PC,ThinkVision,LT2252p,ThinkVision LT2252p 22-inch LED Backlit LCD Monitor,LCD Monitor,5 ms,WSXGA+,"22""","Anti-reflective, Anti-glare",500 mW,160Â°,Yes,100 x 100,Yes,5.14 kg,"19.9"" (506 mm)",,,,,,,Yes,,Security Lock,Twisted Nematic Film (TN Film),,,,,,83 kHz,75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkvision Lt2223z 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Webcam - Hdmi - Vga - Displayport - Usb - 28 W - Business Black - Energy Star 6.0, Taiwan Green Mark, Epeat Gold, Tco Certified Displays 6.0, Tco Certified Edge Displays 1.1, Ule Gold, Rohs, China Energy Label (cel), Mpr Ii, Epa - (60A2MAR2US) - SoftwareCity.ca - Canada",Yes,Yes,16:9,LED,Lenovo,250 cd/mÂ²,"TUV GS VCCI BSMI GOST GS IEC950 NEMKO NOM, SABS SASO TUV S VESA DPMS CCC IC PSB ISO 9241-307 JEITA cTUVus E-Standby KC Kvalitet DDC-2B/CI INSM",Business Black,"1,000:1","2.2"" (55.9 mm)",Yes,,"ENERGY STAR 6.0, Taiwan Green Mark, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, RoHS, China Energy Label (CEL), MPR II, EPA",Yes,,"14.9"" (378.5 mm)",160Â°,3 Year,Lenovo Group Limited,60A2MAR2US,http://www.lenovo.com/ca/en,1920 x 1080,,1.0,28 W,,PC,ThinkVision,LT2223z,ThinkVision LT2223z 21.5-inch FHD LED Backlit LCD VoIP Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,500 mW,,Yes,100 x 100,Yes,3.54 kg,"20.2"" (513.1 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,"Microphone, Speaker, USB Hub",VoIP Controls,,USB 3.0,5.44 kg,"8.6"" (218.4 mm)",Yes,"13.8"" (350.5 mm)",,,"20.2"" (513.1 mm)",500 mW,,,,,,Yes,,,,,,,2.0,,,,,,,,Yes,,,,,,,
"Lenovo Thinkvision Lt2013s 19.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1600 X 900 - 200 Cd/mÂ² - 600:1 - Hd+ - Vga - 19 W - Black - Energy Star 6.0, Epeat Silver, China Energy Label (cel), Eu Rohs, China Rohs, Turkey Rohs, Ukraine Rohs, Epa, Cecp, Weee - (60ABAAR1US) - SoftwareCity.ca - Canada",Yes,No,16:9,LED,Lenovo,200 cd/mÂ²,ISO 9241-307 cTUVus IEC950 CB Report NEMKO KVALITET CCC NOM SASO CE Gost PSB BSMI JEITA IRAM-S CSA SABS ISC STZ INSM UCAS KC BELLIS OTAN KEBS SONCAP KONCAR FCC VCCI C-Tick IC VOC,Black,600:1,"2.1"" (53.1 mm)",No,No,"ENERGY STAR 6.0, EPEAT Silver, CECP, WEEE, China Energy Label (CEL), EU RoHS, China RoHS, Turkey RoHS, Ukraine RoHS, EPA",Yes,,"10.8"" (275.1 mm)",90Â°,3 Year,Lenovo Group Limited,60ABAAR1US,http://www.lenovo.com/ca/en,1600 x 900,"Wall Mountable, Desk Mountable, Arm-mountable",1.0,19 W,ThinkVision LT2013s 19.5-Inch LED Backlit LCD Monitor (US Power Cord) VGA Cable Stand and base Power Cord CD ROM Quick start and safety poster,PC,ThinkVision,LT2013s,ThinkVision LT2013s 19.5-Inch LED Backlit LCD Monitor (US Power Cord),LCD Monitor,5 ms,HD+,"19.5""",,500 mW,50Â°,Yes,100 x 100,Yes,2.49 kg,"18.4"" (467.6 mm)",,,"110 V AC, 220 V AC",,,,,,Security Lock,Twisted Nematic Film (TN Film),,2.89 kg,"6.3"" (160.8 mm)",No,"13.5"" (342.9 mm)",83 kHz,60 Hz,"18.4"" (467.6 mm)",500 mW,,,,,,No,,,,,,,,,,,,,,,,,,,,,1.0,
"Acer V226hql 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 200 Nit - Full Hd - Dvi - Vga - 18.10 W - Black - Epeat Gold, Mpr Ii - (UM.WV6AA.B01) - SoftwareCity.ca - Canada",Yes,No,16:9,LED,Acer,200 cd/mÂ²,,Black,"100,000,000:1","2"" (52 mm)",,Yes,"EPEAT Gold, MPR II",Yes,Yes,"12"" (304.5 mm)",90Â°,,"Acer, Inc",UM.WV6AA.B01,http://www.acer.ca,1920 x 1080,,1.0,18.10 W,V226HQL Widescreen LCD MonitorPower Cord1 x VGA Cable,,,V226HQL,V226HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",Anti-glare,450 mW,65Â°,,,Yes,3.24 kg,"20"" (508 mm)",,16.7 Million Colors,"120 V AC, 230 V AC",,,,No,,,Twisted Nematic Film (TN Film),,3.66 kg,"8.1"" (206.8 mm)",,"15.4"" (390.5 mm)",,60 Hz,"20"" (508 mm)",350 mW,No,-5Â°to25Â°,,V,,,,,,,,,,,,,,,,,,,,,,,,
