<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"60A4RAT1EU, S604EA3, Lenovo, LCD Monitor, JR Linton",16:10,LED,Lenovo,300 cd/m²,USB Hub,Business Black,"1,000:1",62 mm,241.81 mm,Yes,Yes,,Turkey RoHS TCO Certified Edge TCO Certified Displays 6.0 REACH ENERGY STAR 6.0 ULE Gold China RoHS EPEAT Gold EPA CECP China Energy Label (CEL) Taiwan Green Mark,Yes,,471.17 mm,,Lenovo Group Limited,60A4RAT1EU,2560 x 1600,1,130 W,,ThinkVision,LT3053p,ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor,LCD Monitor,6 ms,WQXGA,"76.2 cm (30"")",Yes,Yes,11.50 kg,690.1 mm,690.12 mm,Yes,Picture in Picture Picture by Picture Mobile High-Definition Link (MHL) Security Lock Digital Daisy Chain,Yes,178°,,,PC,,,178°,Yes,,Yes,Yes,1.07 Billion Colors,,,220 V AC 110 V AC,,500 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,1.20 W,,,100 x 100,,CTUVusCSACB ReportNEMKONOMSASOTUV-GSCCCGOSTPSBBSMIKCJEIDATUV-SISCKVALITETKUCASINSMSABSSTZBELLISOTANKONCARCSMSONCAPEMIFCC BICCEVCCIKCC-TickSABSBSMICCCERGONOMICVOCCECPe-Standby,,,,,,,,,,USB 3.0,,,,,,,,,,,1.0,,,,
"B2283HS-B1, II-B2283HS-B1, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,250 cd/m²,,Black,"5,000,000:1",56.5 mm,230 mm,,Yes,,TÜV ENERGY STAR TCO Certified Displays 6.0,Yes,310.5 mm,501.50 mm,3 Year,"iiyama North America, Inc",B2283HS-B1,1920 x 1080,1,21 W,ProLite B2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,ProLite,B2283HS,ProLite B2283HS Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"55.9 cm (22"")",,Yes,4.80 kg,505 mm,505 mm,Yes,Security Lock Flicker-free Display Power Management Signaling (DPMS),Yes,170°,,2.0,Mac PC,,Yes,160°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,120 V AC 230 V AC,130 mm,,Twisted Nematic Film (TN Film),75 Hz,500 mW,90°,5°to22°,100 x 100,,CE TUV-GS VCCI-B CU ISO-9241-307:2008,,,,,,,,,,,,,,,,,,,,,,,,,
"VA2046A-LED, B921483, ViewSonic, LCD Monitor, JR Linton",16:9,LED,Viewsonic,200 cd/m²,,Black,600:1,49 mm,197.60 mm,,No,,WEEE RoHS China Energy Label (CEL),Yes,301.8 mm,360.20 mm,2 Year,Viewsonic Corporation,VA2046A-LED,1600 x 900,1,18 W,20'' LED Display 1 x Power Cable 1 x D-Sub Cable 1 x Quick Start Guide 1 x CD-ROM,,VA2046a-LED,20'' LED Display,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",No,Yes,2.60 kg,478.2 mm,478.20 mm,Yes,Eco Mode Security Lock,No,90°,Wall Mountable,,Mac PC,,No,65°,Yes,3 kg,,,16.2 Million Colours,No,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,Anti-glare,CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO Ukraine CCC BSMI PSB C-TICK,,,,,,,,,,,,,,,,,,,,,,,,,
"LS24C570HL/EN, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,250 cd/m²,,High Glossy Black,"1,000:1",100 mm,200 mm,,,,,,343 mm,567.80 mm,,Samsung,LS24C570HL/EN,1920 x 1080,1,27 W,,,S24C570HL,S24C570HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,3.60 kg,567.8 mm,436.50 mm,Yes,Off Timer MultiScreen Magic Upscale MagicTune MagicBright3 MagicAngle Eco Saving,Yes,178°,,,PC Mac,570,,178°,,4 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,,300 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60003608, NECMON767, NEC Display Solutions, LCD Monitor, JR Linton",16:9,LED,NEC Display,250 cd/m²,USB Hub Speaker,Black,"25,000:1",230 mm,,Yes,Yes,,RoHS MPR III TCO Certified Edge MPR II ErP EPEAT Gold TCO Certified Displays 6.0 ENERGY STAR,Yes,418 mm,,3 Year,NEC Display Solutions,60003608,1920 x 1080,1,31 W,,MultiSync,EA273WMi,MultiSync EA273WMi Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",Yes,Yes,8.70 kg,639.3 mm,,Yes,Ultra Slim Carbon Savings Meter Carbon Footprint Meter Ambient Light Sensor Eco Mode Intelligent Power Manager (IPM) System OSD/Power Lock,Yes,178°,,2.0,PC,,Yes,178°,Yes,,Yes,Yes,16.77 Million Colors,Yes,Yes,220 V AC 110 V AC,130 mm,,In-plane Switching (IPS) Technology,60 Hz,500 mW,170°,5°to30°,100 x 100,,CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307 (pixel failure class I) DDC-2B DDC-2Bi,,,,,,,,,,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,
"C9F26AA#ABB, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"1,000:1",47.5 mm,151.10 mm,,Yes,,EPEAT Gold TCO Certified Displays ENERGY STAR,Yes,294.1 mm,359.20 mm,3 Year,Hewlett-Packard,C9F26AA#ABB,1600 x 900,1,22 W,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD",Essential,P201,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,482 mm,482 mm,Yes,Security Lock,,170°,,,,,,160°,Yes,,,,,Yes,,220 V AC 110 V AC,,,,,500 mW,,,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L9JLB.QBE, M352239, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,USB Hub Speaker,Black,"5,000:1",259 mm,,Yes,Yes,,TCO Certified Displays 6.0 EPEAT Silver ENERGY STAR,Yes,504 mm,,,BenQ Corporation,9H.L9JLB.QBE,1920 x 1080,1,23 W,,,BL2410PT,BL2410PT Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,Yes,6.70 kg,565 mm,,Yes,Picture by Picture Picture in Picture Eco Mode Senseye 3 Security Lock,,178°,Wall Mountable,2.0,PC,,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,,200 mW,,,100 x 100,Anti-glare,,,,,,,,,,,,Yes,Plastic,,,,,,,,,,,,,
"203V5LSB26/10, 2788558, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,200 cd/m²,,Black,600:1,48 mm,170 mm,,No,,WEEE EPEAT Silver RoHS ENERGY STAR 6.0,Yes,285 mm,345 mm,,Philips Electronics,203V5LSB26/10,1600 x 900,1,14.52 W,,V-line,203V5LSB26,LCD Monitor With SmartControl Lite,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,Yes,2.03 kg,465 mm,465 mm,Yes,Sync on Green SmartContrast Security Lock,,90°,Wall Mountable,,PC Mac,,No,50°,Yes,2.33 kg,No,No,16.7 Million Colours,No,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST SEMKO TUV/ISO9241-307 cETLus,,,No,,No,,,,,,,,,,,,,,,,,,,,
"C3Z93A3#ABU, 9439AXK, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"1,000:1",171 mm,,,Yes,,ENERGY STAR EPA CECP ErP WEEE REACH,Yes,404 mm,,1 Year,Hewlett-Packard,C3Z93A3#ABU,1920 x 1080,1,30 W,"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor A/C Power Cable Power Adapter VGA Cable DVI-D Cable Cable Management Clip Documentation CD Set Up Poster Telephone Card",Pavilion,23bw,"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,Yes,3.50 kg,532 mm,,Yes,Security Lock,Yes,178°,,,PC,,No,178°,,,,,16.77 Million Colors,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,76 Hz,500 mW,,,,Anti-glare,CB CE FCC Marking ES 5.2 CSA/C-UL/C-ETL Mark UL/CSA-NTRL/ETL-NRTL Mark ICES CCC Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 GOST 25861 EEI IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB Mark ISC mark C-Tick,,,No,,No,,,,,,,,,,,,,,,,,,,,
"9H.LC8LA.TBE, 3003899, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,300 cd/m²,,Glossy Black,"12,000,000:1",215 mm,,,Yes,,ENERGY STAR,Yes,488 mm,,,BenQ Corporation,9H.LC8LA.TBE,1920 x 1080,1,21 W,,,GL2760H,GL2760H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"68.6 cm (27"")",,Yes,5.40 kg,641 mm,,Yes,Security Lock Eco Mode Flicker-free Senseye 3,Yes,170°,Wall Mountable,,PC,,No,160°,Yes,,No,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,Twisted Nematic Film (TN Film),,300 mW,,-5°to20°,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"231S4LSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",60 mm,207 mm,,Yes,,EPEAT Gold RoHS TCO Certified Displays 5.2 WEEE ENERGY STAR 5.0,Yes,343 mm,431 mm,2 Year,Philips Electronics,231S4LSB/00,1920 x 1080,1,21.30 W,,Brilliance,231S4LSB,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.03 kg,547 mm,547 mm,Yes,Security Lock SmartImage,,170°,,,Mac PC,S,,160°,Yes,3.68 kg,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,Yes,25% Plastic,,,,,,,,,,,,,
"E2481HS-B1, IIYNOT006, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,250 cd/m²,Speaker,Black,"1,000:1",213.5 mm,,,Yes,,TCO Displays 5.0 ENERGY STAR,Yes,402 mm,,3 Year,"iiyama North America, Inc",E2481HS-B1,1920 x 1080,1,22 W,ProLite E2481HSCable HolderPedestal FootFootQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable,ProLite,E2481HS,ProLite E2481HS,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,Yes,3.80 kg,543.5 mm,,Yes,Security Lock,Yes,178°,Wall Mountable Desk Mountable,2.0,PC Mac,,Yes,170°,Yes,,,,16.7 Million Colours,Yes,,110 V AC 220 V AC,,,,75 Hz,1 W,,,100 x 100,,CUTUV-GSCE,,,,,,,,,,,,,,,,,,,,,,,,,
"LS22C45KBSV/EN, 886H968, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,250 cd/m²,,Matte Black,"1,000:1",55.5 mm,210 mm,No,Yes,,ENERGY STAR EPEAT Gold TCO Certified Displays,Yes,301.9 mm,425.35 mm,1 Year,Samsung,LS22C45KBSV/EN,1920 x 1080,1,24 W,"21.5"" S22C450B Series 4 LED Business MonitorD-Sub CableDVI CablePower Cablee-ManualCD-ROMQuick Installation Guide",Business,S22C450B,"21.5"" S22C450B Series 4 LED Business Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,3.05 kg,504.3 mm,504.30 mm,Yes,Off Timer MultiScreen MagicBright3 MagicRotation Eco Saving MagicAngle MagicTune,No,170°,,,PC,450,No,160°,Yes,4.50 kg,Yes,Yes,16.7 Million Colours,,,220 V AC 110 V AC,,,,,100 mW,,,100 x 100,,"Eco Label Certifications:UL 60950-1CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NAME -019-SCFI-1993IRAM IEC60950-1SASO: IEC60950-1EMC:FCC Part 15 Subpart B Class ACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS / NZS3548 ( CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",,,,,,,,,,,Yes,Plastic,,,,,,,,,,,,,
"9H.LATLA.TPE, M352412, BenQ, LCD Monitor, JR Linton",16:10,LED,BenQ,250 cd/m²,Speaker,Black,"1,000:1",183.9 mm,,,Yes,,TCO Certified Displays 6.0,Yes,414 mm,,,BenQ Corporation,9H.LATLA.TPE,1680 x 1050,1,26 W,,,BL2211M,BL2211M Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",,Yes,4.20 kg,522.2 mm,,Yes,Security Lock Senseye 3 Eco Mode,,170°,Wall Mountable,2.0,PC,BL,Yes,160°,Yes,,,,16.7 Million Colours,,Yes,220 V AC 110 V AC,,,Twisted Nematic Film (TN Film),,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WV6EE.A05, 8654M77, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",206.8 mm,,,,,ENERGY STAR EPEAT Gold TCO '06,Yes,390.4 mm,,3 Year,"Acer, Inc",UM.WV6EE.A05,1920 x 1080,1,19.50 W,V226HQL Widescreen LCD Monitor1 x VGA CablePower Cord,,V226HQL,V226HQL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",,Yes,3.24 kg,508 mm,,Yes,,,178°,,,,V,,178°,Yes,3.66 kg,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,250 mW,Vertical Alignment (VA),60 Hz,350 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"E4U30AT#ABU, 943ACNZ, HP, LCD Monitor, JR Linton",5:4,LED,HP,250 cd/m²,USB Hub,Black,"3,000,000:1",47 mm,192 mm,Yes,Yes,,EPEAT Gold TCO Certified Displays TÜV ENERGY STAR China Energy Label (CEL) IT Eco Declaration,Yes,347 mm,486 mm,3 Year,Hewlett-Packard,E4U30AT#ABU,1280 x 1024,1,28 W,EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor VGA cable DVI cable DisplayPort cable USB cable AC Power cable Warranty card and CD Monitor driver (ICM/INF) Auto adjustment pattern utility software Adobe Acrobat Reader software HP Display Assistant software,Elite,E190i,EliteDisplay E190i 18.89-inch 5:4 LED Backlit IPS Monitor,LCD Monitor,8 ms,SXGA,"48 cm (18.9"")",Yes,Yes,3 kg,417 mm,417 mm,Yes,Security Lock,,178°,,,,,,178°,,4.90 kg,Yes,Yes,,,,220 V AC 110 V AC,120 mm,,In-plane Switching (IPS) Technology,76 Hz,500 mW,180°,-5°to25°,,Anti-static Anti-glare,"CECP eco label (China Energy Conservation Program) SEPA eco label (China) TGM eco label(Taiwan Green Mark) EuP lot6 Tier2 China MEPS, Korea MEPS (E-standby) ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI KC KCC (Korean) CE Marking FCC Part 15 class B CCC IT ECO (EDS) EN55024 Class B CISPR SmartWay Energy logistics",,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"R52DSEU, S601YZ7, Lenovo, LCD Monitor, JR Linton",16:9,LED,Lenovo,200 cd/m²,,Raven Black,400:1,21.6 mm,,,,,China RoHS RoHS ENERGY STAR 5.1 EPEAT Gold REACH WEEE,Yes,217.9 mm,,3 Year,Lenovo Group Limited,R52DSEU,1366 x 768,1,5 W,,ThinkVision,LT1421,ThinkVision LT1421 Widescreen LCD Monitor,LCD Monitor,8 ms,HD,"35.6 cm (14"")",Yes,,840 g,335 mm,,Yes,Security Lock,,90°,,,PC,,,50°,No,,No,No,"262,000 Colors",,,,,,,60 Hz,100 mW,,,,,FCC BEuPULE GoldBELLISBSMICCCCEcULus+ICESKCGostIEC950 CB ReportJEITAKEBSKONCARKVALITETNEMKONOMOTANSASOSONCAPTUV bauartTUV-SSABSVCCIICUL GOLDANSI S12.10ISO/DIS 7779,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"DSM19LED-WGF, VIGDSM19LEDWGF, Vigilant Vision, Ltd, JR Linton",4:3,LED,Vigilant,250 cd/m²,Speaker,Black,"1,000:1",,,,,,RoHS WEEE ENERGY STAR,Yes,,,,"Vigilant Vision, Ltd",DSM19LED-WGF,1280 x 1024,1,30 W,"19"" Active Matrix with Glass Front, Metal Case Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,DSM19LED-WGF,"19"" Active Matrix with Glass Front, Metal Case",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,3.80 kg,,,,Sleep Timer,Yes,178°,Desk Mountable,2.0,PC,,Yes,170°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,,CE FCC,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#A2Q, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"5,000,000:1",51 mm,242.40 mm,Yes,Yes,Click to view,TCO Certified Edge ENERGY STAR,Yes,329 mm,469.90 mm,3 Year,Hewlett-Packard,C9V75AA#A2Q,1920 x 1080,1,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,Yes,3.90 kg,544 mm,544 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D7Z72AT#ABU, 2846672, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,USB Hub,Black,"1,000:1",52.2 mm,278.50 mm,Yes,Yes,,EPEAT Gold TCO Certified Edge REACH China Energy Label (CEL) CECP EPA ENERGY STAR WEEE,Yes,387.3 mm,532.10 mm,3 Year,Hewlett-Packard,D7Z72AT#ABU,1920 x 1080,1,40 W,"EliteDisplay E271i 68,6 cm (27'') LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable AC power Cable Printed Documentation And CD HP DisplayAssistant Software",Business,E271i,"EliteDisplay E271i 68,6 cm (27'') LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",Yes,Yes,4.90 kg,642 mm,642 mm,Yes,Security Lock,,178°,Wall Mountable Arm-mountable,,PC,Advantage,No,178°,Yes,7.70 kg,Yes,Yes,16.77 Million Colors,Yes,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,60 Hz,500 mW,,,,Anti-glare,CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,,,No,,No,,,,,USB 2.0,,,,,,,,,,,,,,,
"BDL:K1453V160-UK, FB22T-7LED, Fujitsu Siemens Computers, JR Linton",16:9,LED,Fujitsu,250 cd/m²,USB Hub Speaker,,"1,000:1",61 mm,200 mm,,Yes,,WEEE IT Eco Declaration EPEAT Gold ENERGY STAR 6.0 RoHS TCO Certified Displays 6.0,Yes,320 mm,339 mm,3 Year,Fujitsu,BDL:K1453V160-UK,1920 x 1080,1,22 W,Display B22T-7 LED proGREEN DVI-D Data cable 1.8 m D-SUB Data cable 1.8 m Audio cable 1.8 m USB-cable 1.8 m UK Power cable Quickstart flyer Utility CD Warranty booklet Safety booklet,proGREEN,B22T-7,Display B22T-7 LED proGREEN,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,Yes,3.10 kg,516 mm,516 mm,Yes,Security Lock Eco Mode,Yes,176°,,2.0,PC,,Yes,170°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,200 mW,,76 Hz,300 mW,,,100 x 100,Anti-glare,CE EN 60950 TÜV GS GOST FCC Class B cUL C-Tick VCCI KC TÜV-S BSMI CCC SASO ISO9241-307,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"22MB65PY-B, 2975561, LG Electronics, LCD Monitor, JR Linton",16:10,LED,LG,250 cd/m²,,Black,"5,000,000:1",,,Yes,Yes,,,,,,,LG Electronics,22MB65PY-B,1680 x 1050,1,,,,22MB65PY-B,22MB65PY-B Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,Yes,6.40 kg,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"239C4QHSW/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy White,"1,000:1",34 mm,180 mm,,,,TCO Certified Displays 5.2 WEEE ENERGY STAR 5.0 RoHS EPEAT Silver,Yes,337 mm,421 mm,2 Year,Philips Electronics,239C4QHSW/00,1920 x 1080,1,28.50 W,,Brilliance,239C4QHSW,"IPS LCD Monitor, LED Backlight Blade 2 23"" / 58.4cm Full HD Display",LCD Monitor,7 ms,Full HD,"58.4 cm (23"")",,Yes,2.07 kg,550 mm,550 mm,Yes,SmartKolor SmartImage Ultra Slim SmartTxt Turbo Mode Security Lock Touch Controls,Yes,178°,,,Mac PC,Blade 2,,178°,,3.05 kg,,,16.7 Million Colours,,,220 V AC 110 V AC,,300 mW,In-plane Switching (IPS) Technology,60 Hz,300 mW,,,,,CE MarkBSMIFCC Class BGOSTSASOSEMKOTUV/ISO9241-307UL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"LS19C45KMWV/EN, 2694921, Samsung, LCD Monitor, JR Linton",16:10,LED,Samsung,250 cd/m²,Speaker,Matte Black,"1,000:1",54.8 mm,210 mm,No,Yes,,TCO Certified Displays EPEAT Gold Eco-label ENERGY STAR,Yes,289.9 mm,423.20 mm,3 Year,Samsung,LS19C45KMWV/EN,1440 x 900,1,19 W,"19"" S19C450MW Series 4 LED Business MonitorD-sub CableAudio CablePower Cable Length 1.5 mE-ManualInstallation CDQuick Installation Guide",,S19C450MW,"19"" S19C450MW Series 4 LED Business Monitor",LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,2.75 kg,439.4 mm,439.40 mm,Yes,MagicTune MagicRotation MultiScreen MagicBright3 Off Timer MagicAngle Eco Saving,No,170°,Wall Mountable,2.0,PC,450,Yes,160°,Yes,4.25 kg,Yes,Yes,16.7 Million Colours,,,110 V AC 220 V AC,,,,,100 mW,,,100 x 100,,"UL: UL 60950-1CSA: CSA C22.2 No.60950-1TUV: EN60950-1, K60950-1CCC: GB 4943-2001PSB: IEC60950-1SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B class ACE EN55022, EN55024KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",,,,,,,,,,,Yes,Plastic,,,,,,,,,,,,,
"201BL2CB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker,Black,"1,000:1",49 mm,220 mm,,Yes,,RoHS TCO Certified Displays 5.2 EPEAT Gold ENERGY STAR 5.0,Yes,316 mm,407 mm,2 Year,Philips Electronics,201BL2CB/00,1600 x 900,1,17 W,,Brilliance,201BL2CB,"Brilliance LED Monitor 201BL2CB B-line 20"" / 50.8 cm with SmartImage",LCD Monitor,5 ms,HD+,"50.8 cm (20"")",Yes,Yes,3.69 kg,494 mm,494 mm,Yes,Security Lock SmartPower SmartImage,,176°,,2.0,PC Mac,B,Yes,170°,Yes,5.06 kg,Yes,,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,BSMICEFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"DS23.6SDI, VIGDS236SDI, Vigilant Vision, Ltd, LCD Monitor, JR Linton",16:9,LED,Vigilant,300 cd/m²,Speaker,Black,"1,000:1",,,,,,RoHS,Yes,,,,"Vigilant Vision, Ltd",DS23.6SDI,1920 x 1080,1,35 W,"23.6"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,DS23.6SDI,"23.6"" (16:9 ) LED Monitor",LCD Monitor,3.50 ms,Full HD,"59.9 cm (23.6"")",,Yes,7.50 kg,,,,Picture on Picture Picture in Picture Sleep Timer,Yes,170°,Desk Mountable,2.0,PC,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,,CE FCC,,,,,,,,,,,,,,,Yes,HDSDI,,,,,,,,,
"UM.VV6EE.001, 8654L71, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",52 mm,207 mm,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,325 mm,409 mm,3 Year,"Acer, Inc",UM.VV6EE.001,1920 x 1080,1,21.90 W,V236HL Widescreen LCD MonitorPower Cord1 x VGA Cable,,V236HL,V236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,Yes,3.50 kg,544 mm,544 mm,Yes,,,178°,,,,V,,178°,Yes,4 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,No,350 mW,In-plane Switching (IPS) Technology,60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
