1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
,Cleverboxes - PA248QJ | Asus PA248QJ (24.1 inch) LED Monitor 80000000:1 300 cd/m2 1920 x 1200 6ms HDMI VGA DVI DisplayPort (Black) with Monitor Hood and Spyder4 EXPRESS Calibrator Kit,16:10,LED,,300cd/m2,Black,BSMI • CB • CCC • CE • C-Tick • Energy Star • ErP • FCC(Class B) • Gost-R • ISO-9241-307 • J-MOSS • Mac Compliance • PSB • RoHS • TCO5.2 • TUV-Ergo • TUV-GS • UL/cUL • VCCI • WHQL,,,55.72cm (W) x 23.5cm (D) x 41.63cm (H) - Weight 9.9kg,1 x DisplayPort,,Yes,1 x HDMI,,Yes,Asus PA248QJ (24.1 inch) LED Monitor • Cable tie • DVI cable • VGA cable • Power cord • DisplayPort cable • USB 3.0 cable • Quick start guide • Support CD • Warranty Card • Color pre-calibration report • Spyder4 EXPRESS calibrator kit • Monitor hood,0.270mm,,,,1920 x 1200 Pixels,6ms,,24.1in,IPS LED 16.7 million Colour,Kensington Lock,,,,4 x USB 2.0 (Downstream) • 1 x USB (Upstream),SPLENDID Video Preset Mode Selection • Auto. Adjustment • Input Selection • QuickFit • Dual Customizable OSD Shortcuts,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm Mini-Jack,,1 x DVI-D,,PA248QJ,,Display,,,30KHz to 83KHz (Digital) 30KHz to 83KHz (Analogue),50Hz to 76Hz (Digital) 50Hz to 76Hz (Analogue),,,,,,,,,,,,,,,"Displays change over time and recalibration would be needed to return it to reference state for brightness and colours. With bundled Spyder4EXPRESS, including a colour colourimeter and software, so that the photographers and designers can work confidently on PA248QJ calibrated monitor and assert greater control over the colour fidelity of their digital process. Moreover, PA248QJ also provides an accessorized monitor hood to help reduce light reflection and glare from ambient lighting for optimized screen performance, enhanced colour calibration consistency and quality image making. The ASUS PA248QJ features a 16:10 aspect ratio, 1920 x 1200 A+ IPS LED-backlit panel for 100% sRGB and 72% NTSC colour reproduction; addititionally, along with a 178° wide viewing angle, it ensures quality visuals and minimal onscreen colour shift from almost any viewing position.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - B2280HS-B1 | Iiyama ProLite B2280HS (21.5 inch) LED Backlit LCD Monitor 1000:1 250cd/m2 (1920x1080) 5ms VGA/DVI/HDMI (Black),16:9,LED,,250cd/m2,Black,"CE, TUV-GS, CU","1,000:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D,50.95cm (W) x 24.45cm (D) x 39.3cm (H) - Weight 5.1kg,,,Yes,1 x HDMI,,Yes,"ProLite B2280HS monitor, Power cable, VGA (D-Sub) cable, DVI-D cable, Audio cable, Stand, Screw, Cable holder, Quick start guide, Safety guide",0.248 x 0.248mm,,21W (Max) /,Internal,1920 x 1080 Pixels 1080p,5ms,,21.5in Display Area - 47.6 x 26.8cm,TFT LCD TN LED-backlit panel 16.7 million Colour,Kensington Lock Compliant,2 x 1W Stereo,,"Up 22°, Down 5°",,"Luminance (contrast, brightness, ECO, i-style Colour, ACR), image steup (clock, phase, H. position, V. position, aspect), colour (gamma, colour temperature, sRGB), OSD setup (H. position, V. position, OSD time out, language), others (reset, signal select, HDMI audio, information), volume, auto adjust and 5 front controls (Power, Menu, + /Volume, - /ECO, Auto)",1 x 15-pin D-sub,160° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",2 years on-site (plus 1 free year extra - registration required).,,,,,,"9 Languages (EN, DE, FR, ES, IT, PT, Chinese, RU, JP)",,,Display,,,24KHz to 80KHz,56Hz to 75Hz,,Separate sync,LCD Display,,,,,,,,"VESA DPMS, Energy Star",ProLite,,,"This LED monitor is equipped with two high quality stereo speakers. HDMI stands for High-Definition Multimedia Interface. Much smaller and more convenient than DVI, HDMI also has the significant advantage over DVI that it supports audio as well as video signals. A Height Adjustable Stand allows you to set the perfect position of the screen ensuring ergonomic posture and optimal viewing comfort which benefits not only your health but also productivity. Screen rotation means you can change the position of the screen from landscape into portrait. This feature can be very handy while working with long spreadsheets or texts. VESA mount compliance means you can easily mount your monitor to a wall.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, Me, 2000, XP, Vista, 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VS24AH | Asus VS24AH (24.1 inch) IPS LED Monitor 80000000:1 300cd/m2 1920 x 1200 5ms DVI-D VGA HDMI (Black),16:10,,4716659415640,300cd/m2,Black,"Energy Star • BSMI • CB • CE • C-Tick • EPEAT (Gold) by region • ErP • FCC • J-MOSS • PSE • RoHS • TCO6.0 • UL/cUL • VCCI • WEEE • WHQL (Windows 8, Windows 7)",,1 x DVI-D,56.16cm (W) x 20.55cm (D) x 44.09cm (H) - Weight 4.6kg,,,Yes,1 x HDMI,1 x 3.5mm Mini-Jack,,Asus VS24AH (24.1 inch) IPS LED Monitor • DVI cable • VGA cable • Power cord • Quick start guide • Warranty Card,0.270mm,,,,1920 x 1200 Pixels,5ms,,24.1in,IPS LED 16.7 Million Colour,Kensington Lock,,,+20° to -5°,,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , Supported - 100mm x 100mm",,,,,,,,VS24AH,,Display,,,30KHz to 83KHz (Digital) 30KHz to 83KHz (Analogue),50Hz to 61Hz (Digital) 50Hz to 61Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003399 | NEC Displays MultiSync X462S (46 inch) Edge LED Backlit LCD Public Display 4000:1 700cd/m2 1920x1080 8ms HDMI/DisplayPort/DVI-D,16:9,Edge LED,5028695109216,700cd/m2,Black,C-tick; CE; FCC Class B; PSB; TÜV GS; UL/C-UL or CSA; VCCI; Energy Star 5.1; RoHS,"4,000:1 (Static)",1 x DVI-D (with HDCP),105.93cm (W) x 4.61cm (D) x 61.30cm (H) - Weight 20.70kg,1 x DisplayPort (with HDCP),Operating Temperature 0 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI (with HDCP),,,Display • DVI-D cable • Power Cable • Slot cover for STv2 • Free LAN control software (download) • Remote Control (IR),,VESA DDC2Bi,255W (Max) / 0.5W (Standby),,1920 x 1080 Pixels Full HD,8ms,,"46in (Diagonal) , 101.8cm (W) x 57.27cm (H)",S-PVA,,2 x 5W,,,,,1 x 15-pin D-Sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 300mm x 300mm",,,,1 x 3.5mm Mini-Jack,1 x 3.5mm Mini Jack,1 x DVI-D (with HDCP),,X462S,,Display,,1 x RJ-45,31.5KHz to 91.1KHz,50Hz to 85Hz,1 x 9-pin RS-232-C (input) • 1 x 9-pin RS-232-C (output),,,60Hz,,,Included,,,1 x Composite (BNC),VESA DPMS,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VE228TR | Asus VE228TR (21.5 inch) LED Monitor 80000000:1 250 cd/m2 1920x1080 5ms VGA DVI (Black),,,4716659192367,250cd/m2,Black,Energy Star • UL/cUL • CB • CE • EuP • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • J-MOSS • PSB • China Energy Label • RoHS • WEEE • Windows Vista & 7.0 WHQL,,1 x DVI-D,51.2cm (W) x 20.1cm (D) x 38.6cm (H) - Weight 4.1kg,,,Yes,,,,Asus VE228TR (21.5 inch) LED Monitor • DVI cable • VGA cable • Audio cable • Power cord • Quick start guide • Warranty Card,0.248mm,,,,1920 x 1080 Pixels VGA,5ms,,21.5in,LED 16.7 Million Colour,Kensington Lock,2 x 1W Stereo,,+20° to -5°,,SPLENDID Video Preset Mode Selection • Auto. Adjustment • Brightness Adjustment • Volume Adjustment,1,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3-year system warranty • 3-year panel warranty,,,,,,,VE228TR,,Display,,,30KHz to 83KHz (Digital) 30KHz to 83KHz (Analogue),50Hz to 76Hz (Digital) 50Hz to 76Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003294 | NEC Displays MultiSync EA223WMBK (22 inch) WLED Monitor 1000:1 250cd/m2 1680x1050 5ms DisplayPort/DVI-D (Black),16:10,W-LED System,5028695108806,250cd/m2,Black,,"1,000:1 (Static) , 25,000:1 (Dynamic)",1 x DVI-D (with HDCP),50.35cm (W) x 21.80cm (D) x 38.40cm (H) - Weight 5.60kg,1 x DisplayPort,Operating Temperature 5 to 35°C - Humidity 20 to 80%,,,1 x Headphone Port,Yes,Monitor • Power Cable • Control Sync Cable • USB Cable • Audio Cable • CD-ROM • Sales Office List • User Manual • Signal Cable: VGA - VGA • DVI-D - DVI-D,0.282mm,VESA DDCi; VESA DDC2B,25W (Max) / 12W (Standby),Internal,1680 x 1050 Pixels WSXGA+,5ms,,22in,TN TFT 16.7 Million Colour,Kensington Lock Slot,2 x 1.0W,±170°,-5 to +30°,"1 x USB 2.0 (4 down, 1 up)",,1 x Mini 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 100mm x 100mm",3 years warranty including backlight,,,,,,,EA223WMBK,,Display,,,31.5KHz to 82.3KHz,56Hz to 75Hz,,,,,,,,,,,,MultiSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 9H.L9NLB.RBE | BenQ GW2760HS (27 inch) LED Monitor 3000:1 300 cd/m2 1920x1080 4ms (Black),16:9,,4718755042201,300cd/m2,Glossy Black,Regulations: TCO 6.0,"3000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI,62.3cm (W) x 19.1cm (D) x 47.2cm (H) - Weight 4.5kg,,,,1 x HDMI,1 x Headphone Port,,,0.311mm,,27W (Max) /,Built-in,,4ms,,27in (Diagonal),16.7 Million Colour,Kensington Lock,2 x 1.0W,,-5 to +15°,,,,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA 100 x 100mm",,,,,,,OSD Language: 17 languages,GW2760HS,,Monitor,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E2050SW | AOC Value e2050Sw (19.5 inch) Wide LED Monitor 1000:1 250cd/m2 1600x900 5ms,16:9,,4038986102193,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",,47.77cm (W) x 17.5cm (D) x 36.1cm (H) - Weight 3.92kg,,,,,,,,0.27 x 0.27mm,,0.3W (Standby) / 0.2W (Saving),,,5ms,,,LED 16.7 Million Colour,Kensington Security Port,No,,-5 to +15°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),90 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 75mm x 75mm",3 Years,,,,,,,e2050Sw,,Display,1600 x 900 Pixels,,30KHz to 83KHz,55Hz to 75Hz,,,Wide Screen LED/LCD Monitor,,,,,,,,,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - FWD-46B2 | Sony FWD-46B2 46 inch LCD LED Backlight Display Full HD HDMI (Black),16:9,LED,,500cd/m2,Black,,"4,000:1 (Static)",,105.36cm (W) x 8.4cm (D) x 60.82cm (H) - Weight 22.4kg,,Operating Temperature 0 to 40°C,Yes,1 x HDMI,,,,,,110W (Max),,1920 x 1080 Pixels 1080p,,,46in Viewable screen size - 46in Display Area - 101.84 x 57.25cm,Active Matrix TFT,,,,,,,,,100 to 240VAC / 50 to 60Hz,,,,,,,,,,,,1920 x 1080 Pixels 1080p,1 x RJ-45,,,,,LED Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VX238H | Asus VX238H (23 inch) LED Monitor 80000000:1 250cd/m2 1920 x 1080 1ms HDMI VGA DVI (Black),16:9,,4716659265740,250cd/m2,Black,"Energy Star • BSMI • CB • CCC • CE • China Energy Label Level 1 • C-Tick • ErP • FCC • Gost-R • RoHS • UL/cUL • VCCI • WEEE • WHQL (Windows 8, Windows 7, Windows Vista)",,1 x DVI-D (via HDMI-to-DVI cable),54.82cm (W) x 21cm (D) x 40.27cm (H) - Weight 2.6kg,,,,2 x HDMI,1 x 3.5mm Mini-Jack,,Asus VX238H (23 inch) LED Monitor • VGA cable • Audio cable • Power cord • Power adaptor • Quick start guide • HDMI-to-DVI cable • Warranty Card,0.2652mm,,,,1920 x 1080 Pixels,1ms,,23in,Widescreen 16.7 million Colour,Kensington Lock,2 x 1.5W,,+20° to -5°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,1 x 3.5mm Mini-Jack,,,,VX238H,,Display,,,30KHz to 80KHz (Digital) 30KHz to 80KHz (Analogue),56Hz to 76Hz (Digital) 56Hz to 76Hz (Analogue),,,,,,,,,,,,,,,"VX238H comes with rich connectivity including Dual HDMI and D-sub so that users could easily connect it to Full HD Blu-ray Disc players and myriad HD playback devices like DVD players and set-top boxes for limitless entertainment and multimedia enjoyment with the built-in stereo speakers. The exclusive Splendid Video Intelligence Technology optimizes video performance and image fidelity by enhancing colour, brightness, contrast, and sharpness. 6 preset video modes (Scenery, Theater, Game, Night View, sRGB and Standard) can be selected via a hotkey. The ASUS-exclusive QuickFit built in the monitor provides real-size document, photo, and grid mode on top of the operating windows on the screen. It can activated via a hotkey on monitor and used as a guide to accurately view and edit photos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - VE198S | Asus VE198S (19 inch) LED Monitor 10000000:1 250cd/m2 1440 x 900 5ms VGA (Black),,,4719543373330,250cd/m2,Black,Energy Star • UL/cUL • CB • CE • FCC • CCC • BSMI • Gost-R • C-Tick • VCCI • RoHS • WHQL,"10,000,000:1 (Dynamic)",,44.5cm (W) x 18.2cm (D) x 36.6cm (H) - Weight 3.2kg,,,,,,,Asus VE198S (19 inch) LED Monitor • VGA cable • Audio cable • Power cord • Quick start guide • Warranty Card,0.2835mm,,,,1440 x 900 Pixels,5ms,,19in,LED 16.7 Million Colour,Kensington Lock,2 x 1.0W,,+20° to -5°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),,"Yes , VESA 100 x 100mm",,,,1 x 3.5mm Mini-Jack,,,,VE198S,,Display,,,30KHz to 80KHz (Analogue),55Hz to 75Hz (Analogue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cleverboxes - EB220H | Edge10 EB220h (21.5 inch)  Full HD LED Monitor with Height Adjustable Stand 20,000:1 300cd/m2 1920x1080 5ms DVI (Black Bezel)",,,4712302921254,300cd/m2,Black Bezel,,"20,000:1 (Static)",1 x DVI-D,,,Operating Temperature 0 to 40°C - Humidity 5 to 90%,,,,,,0.24835mm,DDC1/2B,,,1920 x 1080 Pixels 1080p,5ms,,21.5in Display Area - 47.6 x 26.8cm,Active Matrix TFT LCD 16.7 Million Colour,Kensington Lock,,,5/15°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 170° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 years,,,,,,,EB220h,,Display,,,31.5KHz to 60KHz,50Hz to 75Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95/98/98SE/Me/NT4/2000/XP/7 & 8, Mac OS Linux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - E2773HS-GB1 | Iiyama ProLite E2773HS (27 inch) LED Backlit LCD Monitor 1200:1 300cd/m2 (1920x1080) 1ms D-Sub/DVI-D/HDMI/Headphone (Black),16:9,LED,4948570112036,300cd/m2,Black,"TUV-Bauart, PSE, CE, VCCI-B, CU","1,200:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D (with HDCP),64.7cm (W) x 23.9cm (D) x 45.45cm (H) - Weight 5.3kg,,,Yes,1 x HDMI (with HDCP),1 x Headphone Port,,"Iiyama ProLite E2773HS Monitor (Black), Power Cable, D-Sub Cable, DVI-D Cable, Audio cable, Quick start guide, Stand, Cable holder, Safety guide",0.3114 x 0.3114mm,VESA DDC2B,29W (Max) / 0.5W (Saving),Internal,1920 x 1080 Pixels 1080p,1ms,,27in Display Area - 59.76 x 33.62cm,LED Backlight LCD TN Panel 16.7 million Colour,Kensington Lock Slot,2 x 2W (Stereo),,up 20°,,"Auto adjust, picture adjust (contrast, brightness, ACR, ECO, OD, X-Res Technology), input select, audio adjust (volume, mute, HDMI audio), colour adjust, information, manual image adjust (clock, H/V position, phase, sharpness, video mode adjust), setup menu (language, OSD position, OSD time out, OSD background, opening logo, LED), memory recall and 5 front controls (Power, Select/ Input select, Scroll up/ X-Res Technology, Scroll down/ i-Style Colour, Menu)",1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",Two years on-site (plus 1 free year extra - registration required).,,,,,,"8 languages (EN, DE, FR, NL, PL, Chinese, JP, RU)",E2773HS,,Display,,,24KHz to 82KHz,55Hz to 76Hz,,Separate sync,LCD Display,,,,,,,,"VESA DPMS, Energy Star",ProLite,,,"HDMI stands for High-Definition Multimedia Interface. Much smaller and more convenient than DVI, HDMI also has the significant advantage over DVI that it supports audio as well as video signals. A typical CCFL LCD uses four backlight lamps. Using LED diodes considerably lowers the power consumption and reduces the CO2 emission into the environment making this LCD a true ECO-Friendly product. When very fast graphics are displayed your monitor can sometimes get blurry. Turning on the OverDrive feature will eliminate that. VESA mount compliance means you can easily mount your monitor to a wall. This LED monitor is equipped with two high quality stereo speakers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, Me, 2000, XP, Vista, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cleverboxes - Asus VK278Q 27 inch LCD Monitor 300cd/m2 10,000,000:1 1920x1080 DBI HDMI VGA (Black)",16:9,,4719543327005,300cd/m2,Black,"Energy Star, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, Taiwan Green Mark, RoHS, WEEE, Windows 7 & Vista WHQL","10,000,000:1 (Dynamic)",1 x DVI-D,64.3cm (W) x 46cm (D) x 22cm (H) - Weight 6.5kg,1 x DisplayPort,,,1 x HDMI,,,"VK278Q Monitor, DVI cable, VGA cable, Audio cable, Power cord, USB cable, Quick start guide, support CD (LifeFrame2), warranty card",0.311mm,,,,1920 x 1080 Pixels,2ms,24 to 92KHz (Horizontal) x 50 to 85Hz (Vertical),,16.7 million Colours,Kensington Lock,,,+20° to -5°,,,1 x 15-pin D-sub,170° (Horizontal - Max) x 170° (Vertical - Max),,,,,,1 x 3.5mm Mini-Jack,,,,,,,,,,,,,LCD Monitor,,27in,,,,,,,,,,"VK278Q leads you to enter a big and spectacular world of colours with Full HD 1080p (1920x1080) support and HDMI port. AI Light function enables the VK278Q automatically adjusting to lower brightness and make your eyes feel more comfortable in the dim environment. Furthermore, it helps save more 25% power consumption. Embedded digital HDMI and DisplayPort inputs, VK278Q enables the most advanced graphic cards/ computers connection. The DisplayPort interface also offers better support of multiple display streams, longer cable connection, and interoperability with other inputs, such as VGA, DVI and HDMI.",,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated Webcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - HannsG HP226DGB | Hannspree (22 inch) LED Wide Screen Monitor 1000:1 220cd/m2 1920 x 1080 5ms VGA DVI (Black),16:9,,,220cd/m2,Black,CE,"1,000:1 (Static) , 30,000,000:1 (Dynamic)",1 x DVI-D,51.2cm (W) x 20.3cm (D) x 39cm (H) - Weight 5kg,,Operating Temperature 5 to 35°C - Humidity 20 to 80%,Yes,,,,"HannsG Hannspree (22 inch) LED Wide Screen Monitor • Cable (Power, VGA, Audio) • Quick-Start-Guide • User manual (CD)",,,30W (Max) /,,1920 x 1080 Pixels,5ms,,21.5in (Diagonal),LED 16.7 Million Colour,,2 x 1.5W,,,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",,,,1 x Audio Line In,,,EN • GE • SP • FR • IT • PO • DU • KR • CNT • CNS • JP • RUS,HP226DGB,,Monitor,,,,,,,,,,,,,,,,,,,,Built-in speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - XB2776QS-B1 | Iiyama ProLite XB2776QS (27 inch) LED Backlit LCD Monitor 1000:1 350cd/m2 (2560x1440) 5ms VGA/DVI/HDMI/DisplayPort (Black),16:9,LED,,350cd/m2,Black,"CE, TUV-GS, VCCI-B, PSE, TCO 6, CU","1000:1 (Static) , 5,000,000:1 (Dynamic)",1 x DVI-D (with HDCP),64.4cm (W) x 24.95cm (D) x 45.5cm (H) - Weight 8.8kg,1 x DisplayPort (with HDCP),Operating Temperature 5 to 35°C - Humidity 10 to 80%,Yes,1 x HDMI (with HDCP),1 x Headphone Port,Yes,"Iiyama ProLite XB2776QS Monitor (Black), Power cable, DVI-D cable (dual-link), Audio cable, Stand, screw (x2), Quick start guide, Safety guide",0.233 x 0.233mm,VESA DDC2B,43W (Max) / 0.5W (Saving),Internal,2560 x 1440 Pixels WQHD,5ms,,27in Display Area - 59.67 x 33.56cm,In Plane Switching (IPS) 16.7 million Colour,Kensington Lock Slot,2 x 1.5W stereo,±170°,+4 to -24°,,"Picture (brightness, contrast, H. position, V. position, phase, clock, colour temp., auto adjust), OSD (H. position, V. position, time out, transparency), display (display mode, i-Style colour, ACR, ECO, sharpness, OD, gamma), audio (volume, mute, audio input), miscellaneous (language, input select, opening logo, after AC cut, reset), information and 5 front controls (Power, Menu/ Select, +/ Volume, -/ ECO, Input/ Exit)",1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",Two years on-site (plus 1 free year extra - registration required).,,,,,,"9 languages (EN, DE, FR, ES, IT, NL, Chinese, RU, JP)",XB2776QS,,Display,,,30KHz to 80KHz,55Hz to 75Hz,,Separate sync,LCD Display,,,,,,,,"VESA DPMS, Energy Star",ProLite,,,"Contrast Ratio is a measurement of the difference between the darkest black and the brightest white your monitor can display. Advanced Contrast Ratio is a feature that automatically adjusts contrast and brightness of the screen to assure perfect picture quality while watching films and playing games. HDMI stands for High-Definition Multimedia Interface. Much smaller and more convenient than DVI, HDMI also has the significant advantage over DVI that it supports audio as well as video signals. Screen rotation means you can change the position of the screen from landscape into portrait. This feature can be very handy while working with long spreadsheets or texts.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft Windows 95, 98, Me, 2000, XP, Vista, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 272C4QPJKAB/00 | Philips (27 inch) LCD Monitor with Webcam Multiview 2560x1440 (Black),16:9,LED,,300cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,63.9cm (W) x 19.7cm (D) x 49.5cm (H) - Weight 6.3kg,1 x DisplayPort,,,2 x HDMI,1 x Headphone Port,,,0.233 x 0.233mm,,38W (Max) / 0.4W (Standby),,2560 x 1440 Pixels,12ms,,27in (Diagonal),PLS 16.7 Million Colour,,2 x 2W Integrated,,-5 to +20°,,,,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 90KHz,56Hz to 75Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"PowerSensor is a built-in 'people sensor' that transmits and receives harmless infrared signals to determine if the user is present and then automatically reduces monitor brightness when then user steps away from the desk, cutting energy costs by up to 80 percent and prolonging monitor life. Embedded 2 megapixel webcam with superb, bright and crisp images enables you to socialise with your family and friends. Its sensitive microphone ensures that your voice carries through clearly. You can hear clear audio either from its built-in stereo speakers, or attach your own headphones for private conversations. This simple built-in solution ensures you don't have to get in a tangle anymore with installing a camera and positioning microphones. With the ultra high resolution Philips MultiView display you can now experience a world of connectivity in comfort whether at the office or at home. MultiView enables active dual connect and view so that you can work with multiple devices like a PC and Notebook side-by-side simultaneously, making complex multi-tasking work a breeze. Watching live football feeds from your set-top box on the right-hand side, while browsing the Internet from your notebook on the left is now easy. You may want to keep an eye on the live news feed with audio in the small window, while working on your latest blog.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
