<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Toshiba P1710A 17 LCD Monitor 54 5 ms by Office Depot,Toshiba,"1,000:1",,,RoHS,,,,615548,Toshiba,KT9998,1280 x 1024,P1710A,,,,,,,,,,,5:4,,350 Nit,"9.4""",,"16""",,1.0,,,P1710A LCD Monitor,LCD Monitor,"17""",Yes,,Yes,10.23 lb,"15.2""",,,,,,,,,Yes,,Rack-mountable,5 ms,SXGA,,75 Hz,,,,,Picture in Picture,,40 W,,,,,,,,,,,,,UL; cUL; FCC/B,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic TD2340 23 LED LCD Touchscreen Monitor 7 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays 5.2; ErP; China Energy Label (CEL); REACH; RoHS; WEEE,,,,793937,Viewsonic Corporation,QU4697,1920 x 1080,TD2340,,,,,,,,,,,,LED,250 Nit,"2.6""",,"17.9""",110 V AC; 220 V AC,,PC; Mac,,TD2340 Touchscreen LCD Monitor,LCD Touchscreen Monitor,"23""",Yes,100 x 100,Yes,14.50 lb,"22.7""",,,,Projected Capacitive,Speaker; USB Hub,Black,,"12.80""",,"17.90""",Wall Mountable,7 ms,Full HD,Yes,,178°,178°,20.40 lb,"22.70""",Security Lock; Eco Mode; Auto-off,,45 W,,Yes,Yes,Yes,,Yes,,,Yes,,,,CE; CB; BSMI; PSB; SASO; C-tick; KC; UL/cUL; FCC-B; Gost-R; UkrSEPRO + DoC; CCC,,Yes,Yes,,Yes,Anti-glare,,,,,,,,,,,,,,,,,,
Samsung S22C650D 215 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays; Eco-label,,,,894863,Samsung,RL7427,1920 x 1080,S22C650D,,,,,,,,,,,16:9,LED,250 Nit,"2.2""",,"11.9""",110 V AC; 220 V AC,1.0,PC,,S22C650D Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,7.05 lb,"19.9""",,,Plastic,,USB Hub,Matte Black,16.7 Million Colors,"8.27""",Yes,"19.31""",Wall Mountable,5 ms,Full HD,,,178°,178°,10.47 lb,"19.85""",Eco Saving; MagicBright3; Off Timer; MagicRotation; MagicTune,,,,,Yes,Yes,Yes,Yes,,,Yes,650,1.0,Yes,"UL: UL 60950-1; CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1 EMC:; FCC Part 15, Subpart B class A; CE EN55022, EN55024; VCCI V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003",,,,,,,,USB 2.0,,,,,,,,,,,,,,,,
Asus VS278Q P 27 LED LCD Monitor 169 1 ms by Office Depot,Asus,"80,000,000:1",,,ENERGY STAR; ErP; RoHS; WEEE,,,,194662,ASUS Computer International,PY4084,1920 x 1080,VS278Q-P,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2""",,"18.5""",110 V AC; 220 V AC,1.0,PC,,VS278Q-P Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,11.24 lb,"25.5""",,,,,Speaker,Glossy Black,16.7 Million Colors,,,,Wall Mountable,1 ms,Full HD,Yes,76 Hz,160°,170°,,,Trace Free Technology; Splendid Video Intelligence Technology; Security Lock,,45 W,500 mW,,,Yes,,,,,Yes,VS,,,UL/cUL; CB; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; WHQL,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Asus VE247H 236 LED LCD Monitor 169 2 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,855094,ASUS Computer International,DY3306,1920 x 1080,VE247H,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"7.9""",,"16.1""",,1.0,PC,,VE247H Widescreen LCD Monitor,LCD Monitor,"23.6""",Yes,100 x 100,Yes,9.70 lb,"22.4""",,,,,Speaker,Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,Yes,76 Hz,160°,170°,,,,,34.90 W,900 mW,,,Yes,,,,,,,,,CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS,Yes,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
HP Advantage E221 215 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; China Energy Label (CEL); TCO Certified Edge; EPA; CECP,,,,479126,Hewlett-Packard,11070834,1920 x 1080,E221,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"12.2""",110 V AC; 220 V AC,1.0,,Advantage,EliteDisplay E221 21.5-Inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.83 lb,"20.1""",,,,,USB Hub,Black,16.7 Million Colors,"9.34""",Yes,"18.12""",Arm-mountable; Wall Mountable,5 ms,Full HD,,60 Hz,160°,170°,,"20.05""",Security Lock,,36 W,500 mW,,Yes,Yes,Yes,Yes,,China,Yes,,,,CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; SEPA; ISC; VCCI; FCC; HSMI,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Samsung S22C450B 215 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,EPEAT Gold; ENERGY STAR; TCO Certified Displays; Eco-label,,,,344513,Samsung,RV7305,1920 x 1080,S22C450B,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.2""",,"11.9""",110 V AC; 220 V AC,1.0,PC,,"21.5"" S22C450B Series 4 LED Business Monitor",LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.72 lb,"19.9""",,,Plastic,,,Matte Black,16.7 Million Colors,"8.27""",Yes,"16.75""",Wall Mountable,5 ms,Full HD,No,,160°,170°,9.92 lb,"19.85""",Eco Saving; MagicAngle; MagicBright 3; Off Timer; Mobile High-Definition Link (MHL); MagicTune; MultiScreen; MagicRotation,,24 W,100 mW,,,Yes,Yes,Yes,,Mexico,No,450,,Yes,"UL 60950-1; CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM: IEC60950-1; SASO: IEC60950-1 EMC:
; FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003",,No,,,,,,,,,,,,,,,,,,,,,,
Samsung S22C200B 215 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO,,,,801362,Samsung,QV9012,1920 x 1080,S22C200B,,,,,,,,,,3-year limited,16:9,LED,250 Nit,,,,,1.0,,,S22C200B Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,100 x 100,Yes,,,0%,,0%,,,Black,,,Yes,,Wall Mountable,5 ms,Full HD,,,160°,170°,,,Off Timer; Eco Saving; MagicAngle; MagicBright 3,,,,,,,,,No,Mexico,,200,1.0,No,"FCC Part 15, Subpart B class A; CE EN55022, EN55024; VCCI V-3 (CISPR22); KCC: KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC: GB 9254-2008, GB 17625.1-2003, GB 4943-2001; UL : UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1",,,,,,,,,,,,,,,,,,,,,,,,
Dell E Series 20 LED Monitor Black E2015HV by Office Depot,Dell,600:1,"19.5"" inches","14.12""H x 18.66""W x 6.52"" D",,yes,90 degrees,no,476377,"Dell, Inc.",GM3D4,1600 x 900,E2015HV,200 cd/m2,Black,1600 x 900,.0074 mm,VGA 15-pin D-sub,No,5 ms,"17.0 x 9.44"" inches",yes,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,TN TFT active matrix LCD,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Asus MX239H 23 LED LCD Monitor 169 5 ms by Office Depot,Asus,"80,000,000:1",,,RoHS; ENERGY STAR; J-Moss (Japanese RoHS); WEEE; ErP,,,,274403,ASUS Computer International,QV8893,1920 x 1080,MX239H,,,,,,,,,,,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,PC,,MX239H Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,8.16 lb,,,,,,Speaker,Black; Silver,16.7 Million Colors,"8.16""",,"15.44""",,5 ms,Full HD,Yes,75 Hz,178°,178°,,"20.56""",Security Lock; Splendid Video Intelligence Technology; Ultra Slim,500 mW,33 W,500 mW,,,Yes,,,,,,MX,,,CCC; CE; BSMI; CB; C-tick; FCC; Gost-R; PSE; UL/cUL; VCCI; WHQL,Yes,Yes,,2.0,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Planar PLL2210W 22 Edge LED LCD Monitor 169 5 ms by Office Depot,Planar,"1,000:1",,,WEEE; RoHS,,,,120394,"Planar Systems, Inc",PW5265,1920 x 1080,PLL2210W,,,,,,,,,,3-year limited,16:9,Edge LED,250 Nit,"1.9""",,"12.6""",110 V AC; 220 V AC,1.0,PC; Mac,,"PLL2210W 22"" Widescreen LED Monitor",LCD Monitor,"22""",Yes,100 x 100,Yes,7 lb,"19.9""",,,,,,,16.7 Million Colors,"7""",Yes,"15.35""",Wall Mountable; Arm-mountable,5 ms,Full HD,,60 Hz,160°,170°,,"19.94""",Security Lock,,25 W,500 mW,,,Yes,,,,,,,,,FCC-B; UL/cUL; CE,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Acer V236HL 23 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO Certified Displays 6.0,,,,416449,"Acer, Inc",TC8983,1920 x 1080,V236HL,,,,,,,,,,,16:9,LED,250 Nit,"2""",,"12.8""",110 V AC; 220 V AC,1.0,,,V236HL Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,,"21.4""",,,,,,Black,16.7 Million Colors,"8.15""",Yes,"16.10""",,5 ms,Full HD,Yes,60 Hz,160°,170°,,"21.42""",,,,,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Viewsonic VA2703 LED 27 LED LCD Monitor 169 3 ms by Office Depot,Viewsonic,"1,200:1",,,EPEAT Silver; WEEE; RoHS; ENERGY STAR,,,,794009,Viewsonic Corporation,QY2549,1920 x 1080,VA2703-LED,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.2""",,"15.4""",,1.0,PC; Mac,,VA2703-LED Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,10.63 lb,"25.4""",,,,,,Black,,"6.84""",Yes,"17.17""",,3 ms,Full HD,,,160°,170°,11.73 lb,"25.35""",Eco Saving,,30 W,,,,Yes,,,,,,VA,,,UL; cUL; FCC-B; TUV-S; CoC; Mexico Energy; CCC; CEL Level 1; BSMI; PAV; C-tick; SASO; KC,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
AOC e2752Vh 27 LED Monitor by Office Depot,AOC,"20,000,000:1",,,ENERGY STAR,,,,683524,AOC,NG0147,1920 x 1080,e2752Vh,,,,,,,,,,1-year limited,16:9,LED,300 Nit,,,,,1.0,PC,ENTERTAINING,e2752Vh 27 Inch LED Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,11.66 lb,,,,,,Speaker,Black,16.7 Million Colors,"8.27""",Yes,"17.80""",Wall Mountable,5 ms,Full HD,Yes,,160°,170°,,"25.42""",Off Timer,,40 W,600 mW,,,Yes,,,,,,52,,,,Yes,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Planar PL1700M white 17 LCD Monitor 5 ms by Office Depot,Planar,"1,000:1",,,,,,,153757,"Planar Systems, Inc",10527101,1280 x 1024,PL1700M-white,,,,,,,,,,3-year limited,,,250 Nit,"7.8""",,"15.1""",110 V AC; 220 V AC,1.0,PC; Mac,,PL1700M-white LCD Monitor,LCD Monitor,"17""",Yes,100 x 100,Yes,8.60 lb,"14.4""",,,,,,White,16.7 Million Colors (24-bit),,,,,5 ms,SXGA,Yes,,160°,170°,,,,,25 W,,,,,,,,China,,PL,,,UL; TUV-GS; CE Mark; FCC/B; TCO 1999,,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Samsung S27C650P 27 LED LCD Monitor 169 4 ms by Office Depot,Samsung,"5,000:1",,,ENERGY STAR 6.0; TCO Certified Displays; EPEAT Gold; RoHS,,,,895187,Samsung,RL7442,1920 x 1080,S27C650P,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.2""",,"14.9""",110 V AC; 220 V AC,1.0,,,"27"" SC650 Series LED Monitor",LCD Monitor,"27""",Yes,100 x 100,Yes,9.90 lb,"25.2""",,,,,Speaker,Matte Black,16.7 Million Colors,"8.80""",,"21""",Wall Mountable; Desk Mountable,4 ms,Full HD,Yes,,178°,178°,13.70 lb,"25.20""",Eco Saving; Off Timer; MultiScreen; MagicBright3; MagicTune; MagicRotation,,45 W,300 mW,,,Yes,Yes,Yes,,,Yes,650,1.0,,"Safety:
; UL (USA): UL 60950-1; CSA (Canada): CSA C22.2 No. 60950-1; NOM (Mexico): NOM-019-SCFI-1993 EMC:
; FCC (USA) FCC Part 15 Subpart B class A",,Yes,,2.0,,,MVA technology,,,,,,,,,,,,,,,,,
BenQ EW2730 27 LED LCD Monitor 169 8 ms by Office Depot,BenQ,"3,000:1",,,ENERGY STAR; RoHS; TCO Displays 5.0,,,,580783,BenQ Corporation,KD2764,1920 x 1080,EW2730,,,,,,,,,,,16:9,LED,300 Nit,"7.5""",,"20.3""",,1.0,PC,,EW2730 Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,16.09 lb,"26""",,,,,Speaker; USB Hub,Metallic Black,16.7 Million Colors,,Yes,,Wall Mountable,8 ms,Full HD,Yes,76 Hz,178°,178°,,,Senseye 3,,70 W,500 mW,,Yes,Yes,,,,,,,,,,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Asus VS24AH P 241 LED LCD Monitor 1610 5 ms by Office Depot,Asus,"80,000,000:1",24.1 inches,,EPEAT Gold; ENERGY STAR; ErP; J-Moss (Japanese RoHS); TCO Certified Displays 6.0; RoHS; WEEE,,,,274844,ASUS Computer International,RG1093,1920 x 1200,VS24AH-P,300 Nit,,,,,,,,,3-year limited,16:10,LED,,,,,,1.0,PC,,VS24AH-P Widescreen LCD Monitor,LCD Monitor,,Yes,100 x 100,Yes,10.14 lb,,,,,,,Black,16.7 Million Colors,"8.09""",Yes,"17.36""",Wall Mountable,5 ms,WUXGA,,61 Hz,178°,178°,,"22.11""",Splendid Video Intelligence Technology; Security Lock,500 mW,30 W,500 mW,,,Yes,,,,,,,,,CE; BSMI; CB; C-tick; FCC; PSE; UL/cUL; VCCI; WHQL,Yes,Yes,,,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Asus Designo MX299Q 29 LED LCD Monitor 219 5 ms by Office Depot,Asus,"80,000,000:1",,,,,,,685081,ASUS Computer International,TC4802,2560 x 1080,MX299Q,,,,,,,,,,,21:9,LED,300 Nit,,,,,1.0,PC; Mac,Designo,Designo MX299Q Widescreen LCD Monitor,LCD Monitor,"29""",No,,No,12.13 lb,,,,,,Speaker,Black; Silver,16.7 Million Colors,"8.47""",Yes,"15.39""",,5 ms,,Yes,,178°,178°,,"27.57""",Trace Free Technology; Splendid Video Intelligence Technology; Security Lock,500 mW,31.70 W,500 mW,,No,Yes,No,No,,,Yes,MX,,,,Yes,Yes,,2.0,Yes,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,No,,No,,,,,,,,,,,,,
Asus VS247H P 236 LED LCD Monitor 169 2 ms by Office Depot,Asus,"50,000,000:1",,,RoHS; ENERGY STAR; WEEE,,,,866587,ASUS Computer International,KW3628,1920 x 1080,VS247H-P,,,,,,,,,,3-year limited,16:9,LED,300 Nit,,,,,1.0,PC,,VS247H-P Widescreen LCD Monitor,LCD Monitor,"23.6""",Yes,100 x 100,Yes,9.70 lb,,,,,,,Black,16.7 Million Colors,"7.87""",,"16.17""",Wall Mountable,2 ms,Full HD,,75 Hz,160°,170°,,"22.12""",,500 mW,33 W,500 mW,,,Yes,,,,,,VS,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; EK; J-MOSS; WHQL,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Asus VE278H 27 LED LCD Monitor 169 2 ms by Office Depot,Asus,"1,200:1",,,WEEE; RoHS; J-Moss (Japanese RoHS); ErP; ENERGY STAR,,,,616079,ASUS Computer International,PY3733,1920 x 1080,VE278H,,,,,,,,,,3-year limited,16:9,LED,300 Nit,"2.3""",,"15.2""",110 V AC; 220 V AC,1.0,PC,,VE278H Widescreen LCD Monitor,LCD Monitor,"27""",Yes,100 x 100,Yes,13.23 lb,"25.3""",,,,,,Black,16.7 Million Colors,,,,Wall Mountable,2 ms,Full HD,Yes,75 Hz,160°,170°,,,Security Lock; Splendid Video Intelligence Technology,500 mW,45 W,500 mW,,,Yes,,,,,,VE,,,CB; UL/cUL; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; EK; WHQL,Yes,Yes,,2.0,Yes,,,,,,,,,,,,,,,,,,,
Viewsonic VA926 LED 19 LED LCD Monitor 5 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; RoHS; TCO Displays 5.0; EPEAT Silver,,,,794018,Viewsonic Corporation,QN8764,1280 x 1024,VA926-LED,,,,,,,,,,,,LED,250 Nit,"7.7""",,"17.1""",,1.0,PC,,VA926-LED LCD Monitor,LCD Monitor,"19""",Yes,,Yes,7.70 lb,"16.2""",,,,,,Black,,,Yes,,Wall Mountable,5 ms,SXGA,,,160°,170°,,,Security Lock,,18 W,,,,Yes,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planar PT1700MX Touchscreen LCD Monitor by Office Depot,Planar,700:1,,,RoHS,,,,652239,"Planar Systems, Inc",Q42642,1280 x 1024,PT1700MX,,,,,,,,,,3-year limited,4:3,,240 Nit,"2.7""",,"13.3""",110 V AC; 220 V AC,,PC; Mac,,PT1700MX Touchscreen LCD Monitor,LCD Touchscreen Monitor,"17""",Yes,100 x 100,Yes,13.60 lb,"15.8""",,,,5-wire Resistive,,Black,16.7 Million Colors,,,,Wall Mountable,,SXGA,,76 Hz,,,,,,,,,Yes,Yes,,,,,,,PT,,,,,,,,,,,,,,,Operating System:; Windows Vista; Windows XP; XP Embedded; Windows CE; Windows 2000; Windows ME; Windows 98; Linux; Apple Mac,,,,,,,,,,,,
DoubleSight Displays DS 220C 215 LED LCD Monitor 169 5ms Webcam Speaker Microphone by Office Depot,DoubleSight Displays,"1,000:1",,,ENERGY STAR,,,,606748,"DoubleSight Displays, LLC",KW3565,1920 x 1080,DS-220C,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.3""",,"14.5""",110 V AC; 220 V AC,1.0,,,DS-220C Widescreen LCD Monitor,LCD Monitor,"21.5""",Yes,75 x 75,,6 lb,"20""",,,,,Webcam; Speaker; Microphone,Piano Black,16.7 Million Colors,,Yes,,Arm-mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,,,,,50 W,2 W,,Yes,Yes,,,,,,,,,UL,,,,2.0,,,,,,,,,,,,,,,,,,,,
Acer V226WL 22 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold,,,,463627,"Acer, Inc",RA7832,1680 x 1050,V226WL,,,,,,,,,,,16:10,LED,250 Nit,"8.2""",,"16.5""",110 V AC; 220 V AC,1.0,,,V226WL Widescreen LCD Monitor,LCD Monitor,"22""",,,Yes,6.81 lb,"19.9""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,WSXGA+,Yes,60 Hz,160°,170°,7.76 lb,,,350 mW,24.20 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
NEC Display MultiSync E223W BK 22 LED LCD Monitor 1610 5 ms by Office Depot,NEC Display,"1,000:1",,,ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Silver; RoHS,,,,480844,NEC Display Solutions,RA1122,1680 x 1050,E223W-BK,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"2.4""",,"13""",,1.0,,MultiSync,"22"" LED Backlit Widescreen Desktop Monitor",LCD Monitor,"22""",Yes,100 x 100,Yes,7.05 lb,"19.8""",,,,,,Black,16.7 Million Colors,"8.40""",Yes,"19.40""",,5 ms,WSXGA+,,75 Hz,178°,178°,10.80 lb,"19.80""",Eco Mode; Carbon Footprint Meter; Cable Management; AccuColor; Touch Controls; Intelligent Power Manager (IPM) System; Off Timer,,24 W,350 mW,,,Yes,Yes,Yes,,,Yes,,,,ISO 13406-2 Class II,Yes,,,,,Anti-glare; Anti-reflective,,,,,,,,,,,,,,,,,,
NEC Display MultiSync PA272W BK 27 GB R LED LCD Monitor 169 6 ms by Office Depot,NEC Display,"1,000:1",,,TCO Displays 5.0; RoHS,,,,734392,NEC Display Solutions,TH1654,2560 x 1440,PA272W-BK,,,,,,,,,,4-year limited,16:9,GB-R LED,340 Nit,"3.3""",Portrait,"14.9""",,1.0,PC; Mac,MultiSync,"27"" Color Accurate Desktop Display (Black)",LCD Monitor,"27""",Yes,200 x 100,,19.60 lb,"25.2""",,,,,USB Hub,Black,1.07 Billion Colors,"9.30""",Yes,"21.50""",,6 ms,WQHD,,85 Hz,178°,178°,28.40 lb,"25.20""",DisplaySync Pro; Eco Mode; Carbon Footprint Meter; Cable Management; Digital Uniformity Correction; AmbiBright; CableComp; Tiled Matrix; TileComp; Ambient Light Sensor; Picture by Picture; Picture in Picture,,73 W,1 W,,Yes,Yes,Yes,Yes,,,Yes,PA,,,,Yes,Yes,,,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,,,,,,,,,,,,,,,,
HP Ultra Slim W2371d 23 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",23 inches,,EPEAT Silver; CECP; China Energy Label (CEL); ENERGY STAR,,,,476938,Hewlett-Packard,QN9110,1920 x 1080,W2371d,250 Nit,,,,,,,,,1-year limited,16:9,LED,,"7.3""",,"15.6""",,1.0,PC,Ultra Slim,W2371d 23-inch LED Backlit LCD Monitor,LCD Monitor,,Yes,75 x 75,Yes,7.50 lb,"21.8""",,,Plastic,,,Black,,,Yes,,,5 ms,Full HD,,60 Hz,160°,170°,,,Security Lock,,31 W,500 mW,,,Yes,,,,China,,,,Yes,CB; CE; TUV-GS; ISO9241-307; CSA; FCC; EPA; GOST; NOM; TUV-S; VCCI; KC/KCC; PSB; ISC; BSMI; C-tick; CCC; SEPA; CEL; E-Standy; SmartWay Transport Partnership,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
HP Advantage E221 215 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO; TCO Certified Edge; EPA; China Energy Label (CEL),,,,459631,Hewlett-Packard,RC0682,1920 x 1080,E221,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"12.2""",110 V AC; 220 V AC,1.0,,Advantage,EliteDisplay E221 21.5-Inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,"21.5""",Yes,100 x 100,Yes,6.83 lb,"20.1""",,,,,USB Hub,Black,16.7 Million Colors,"9.34""",Yes,"18.12""",,5 ms,Full HD,,60 Hz,160°,170°,,"20.05""",Security Lock,,36 W,500 mW,,Yes,Yes,Yes,Yes,,China,Yes,,,,CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; HSMI,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
EVGA 1700 17 LCD Monitor 8 ms by Office Depot,EVGA,500:1,,,,,,,443974,EVGA Corporation,BH3324,1440 x 900,1700,,,,,,,,,,,,,220 Nit,,,,,2.0,,,InterView 1700 Widescreen LCD Monitor,LCD Monitor,"17""",,,,16.51 lb,,,,,,USB Hub; Webcam; Microphone,,,,,,,8 ms,WXGA+,,,35°,45°,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus PB278Q 27 LED LCD Monitor 169 5 ms by Office Depot,Asus,"80,000,000:1",,,ENERGY STAR; TCO Certified Displays 5.2; J-Moss (Japanese RoHS); RoHS,,,,496531,ASUS Computer International,PY4303,2560 x 1440,PB278Q,,,,,,,,,,,16:9,LED,300 Nit,"2.7""",,"15.2""",110 V AC; 220 V AC,1.0,PC,,PB278Q Widescreen LCD Moitor,LCD Monitor,"27""",Yes,100 x 100,Yes,19.40 lb,"25.3""",,,,,Speaker,Black,,"8.58""",Yes,"21.74""",Wall Mountable,5 ms,WQHD,Yes,75 Hz,178°,178°,,"25.31""",Trace Free Technology; Splendid Video Intelligence Technology; Security Lock; Cable Management,500 mW,60 W,500 mW,,,Yes,Yes,Yes,,,Yes,PB,,,UL/cUL; CB; CE; FCC; CCC; ISO9241-307; BSMI; Gost-R; C-tick; VCCI; PSE; WHQ,Yes,Yes,,2.0,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
