<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
Acer LED 24 B246HLymdr Wide MONITOR LED,,385.5 mm,,,Si,170 °,160 °,,,TCO 6.0,,Non specificato,Nero,16.77 M,,N,,,,,,,,"609.6 mm (24 "")",,,16:9,N,,,,,Si,,,,567 mm,,,250 cd/m²,,,,2.0,3.44 kg,,,,,221.2 mm,,,,,1.0,,100000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,,5 ms,N,,LED,Full HD,,110 - 220 V,,,,,,,,,,Oro,,,,,,,,Si,,,,Si,,6.09 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 24 E2460Sxda MONITOR LED,Si,,,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","TCO 6.0, TUV-GS, CE, FCC, GOST, ISO13406-2, ISO 9241-307, RoHS, EuP",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,,,,,518.4 mm,324 mm,"61 cm 609.6 mm (24 "")",0.269 x 0.269 mm,,16:10,N,,,,N,Si,-5 - 20 °,Si,Si,,,,250 cd/m²,,,Si,1.0,,,,Si,2 W,,,,,,1.0,1000:1,20000000:1,N,1920 x 1200 Pixels,1920 x 1200 (WUXGA),N,N,.,,TN+Film,5 ms,N,W-LED,LED,Full HD,,,,,,,,,,,,Argento,,1.0,,,,,,Si,,,,Si,,,,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 24 g2460Fq MONITOR LED,,,"41,16 cm",,Si,170°,160°,Kensington,"AV, DVI, HDMI",CE Energy Star 6.0 EPEAT Gold FCC ISO 9241-307 TUV-GS GOST Ukrain Safety RoHS TCO 6.0,Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,22W,"0,3W","0,5W",,"53,136 cm","29,889 cm","60,96 cm (24"")","0,276 x 0,276 mm",,16:9,,50/60 Hz,,,,,-5 - 20°,Si,,,"56,54 cm",,350 cd/m²,,,Si,,"4,16 kg","5,45 kg",Si,Si,2W,,"21,93 cm",1.0,,,1.0,1000:1,80000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,,TN,1 ms,,,LED,,Si,100 - 240V,,,,,,,,,,Oro,Si,1.0,"42,1 cm",,,,,,,,"69,3 cm",,,,,"18,7 cm",,50 - 146 Hz,,30 - 160 kHz,,1.0,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
LG 22 22MB35PU-B MONITOR LED,,"46,39 cm",,,Si,170°,160°,Kensington,"Audio (3.5mm), DVI, VGA",,,Non specificato,Nero,"16,77M",100 x 100 mm,No,,24W,"0,3W","0,3W",,,,"54,61 cm (21.5"") 54,6 cm","0,248 x 0,248 mm",,16:9,No,47-63 Hz,,,,Si,20 - 5°,Si,Si,"50,92 cm",,,250 cd/m²,,,Si,2.0,"3,6 kg",,Si,Si,2W,"22,42 cm",,,2.0,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,No,,,TN,5 ms,No,W-LED,LCD,Full HD,,90 - 264V,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,56 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR",,,,,,,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 27 VS278Q MONITOR LED,Si,393.23 mm,470.11 mm,1,Si,170 °,160 °,Kensington,"Audio (3.5mm), VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WHQL (Windows 7)",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,45 W,,,,,,"685.8 mm (27 "") 68.6 cm",0.311 x 0.311 mm,,16:9,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,-5 - 20 °,,Si,648.86 mm,648.86 mm,,300 cd/m²,,,Si,2.0,5.1 kg,7.2 kg,,,4 W,50 mm,225 mm,2.0,,,1.0,,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,1 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,,541 mm,,,,Si,Si,,,725 mm,Si,,,,175 mm,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,Si,,Digitale,Si,,1 pezzi,,Orizzontale,,,,,,,,,,,,,,0.5 W,Si,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,,,,
AOC LED 24 E2460PDA MONITOR LED,,523.6 mm,,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 5.0, TÜV-GS",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,19.2 W,0.3 W,0.5 W,,531.36 mm,298.89 mm,"61 cm 609.6 mm (24 "")",0.276 x 0.276 mm,148.5 MHz,16:9,N,50/60 Hz,,,Si,Si,-5 - 15 °,Si,,565.4 mm,,N,250 cd/m²,,,Si,,6.54 kg,8.55 kg,,Si,,244.58 mm,,,,,1.0,1000:1,20000000:1,130 mm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,,5 ms,N,W-LED,LED,Full HD,,90 - 240 V,N,N,N,,,,,,,Oro,Si,1.0,,,,,,,,,,,,,0 - 90 °,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orizzontale/Verticale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 27 27EA83-D IPS CAD QUAD-HD,,381 mm,459 mm,1,N,178 °,178 °,Kensington,"AC, DisplayPort, DVI, USB","UL(cUL), FCC-B, CE, TCO5.1, TCO6.0",,Non specificato,Nero,1070 M,100 x 100 mm,N,3.5 mm,70 W,0.5 W,1.2 W,,597.8 mm,336.3 mm,"68.58 cm 685.8 mm (27 "")",0.2331 x 0.2331 mm,,16:9,N,50/60 Hz,30 - 88.8 kHz,56 - 75 Hz,,Si,-5 - 15 °,Si,Si,643 mm,643 mm,N,350 cd/m²,,,Si,,5.5 kg,9.3 kg,Si,,,38 mm,226 mm,1.0,,3.0,,1000:1,5000000:1,110 mm,2560 x 1440 Pixels,2560 x 1440,Si,N,.,,IPS,5 ms,N,,LED,,,100 - 240 V,N,N,N,,,,,,,,Si,1.0,447 mm,,,,Si,,,,747 mm,,,7.3 kg,,150 mm,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung LED 22 S22C450BW MONITOR LED,,329.8 mm,453.5 mm,,N,170 °,160 °,,"DVI, VGA","TCO, UL, CSA, TUV, GB, IEC",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,24 W,,0.1 W,,,,"558.8 mm (22 "")",0.282 x 0.282 mm,,16:10,N,50/60 Hz,,,Si,N,-3 - 25 °,Si,,502.4 mm,502.4 mm,,250 cd/m²,,,Si,,3.5 kg,6.4 kg,,,,55.5 mm,210 mm,,,,1.0,1000:1,Contrasto Mega,100 mm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,N,.,,TN+Film,5 ms,N,,LED,N,,100 - 240 V,,,,,,,,,,Oro,,1.0,188 mm,-45 - 45 °,473.7 x 296.1 mm,"FCC, ACE, KCC, CCC, GB",Si,,,10 - 40 °C,578 mm,,Si,5 kg,-1 - 95 °,416 mm,10 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus Led 27 MX279H IPS 5ms.VGA.HDMI MONITOR LED,,441.3 mm,,,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE",Si,Non specificato,"Nero, Argento",16.77 M,N,N,3.5 mm,37 W,0.5 W,,,,,"685.8 mm (27 "") 68.6 cm",0.311 x 0.311 mm,,16:9,N,50/60 Hz,30 - 80 kHz,56 - 76 Hz,,Si,20 - -5 °,,Si,622.6 mm,,,250 cd/m²,,,N,2.0,5.2 kg,8 kg,,N,6 W,225.2 mm,,2.0,,,1.0,1000:1,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,IPS,5 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,,,537 mm,,,,Si,Si,,,700 mm,,,,,114 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Si,"Windows 7 Home Premium, Windows 8",,Digitale,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 215 i2276Vwm 5ms VGA HDMI Speaker MONITOR LED,,,"40,16 cm",,,178°,178°,Kensington,,,Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,25W,"0,5W","0,5W","54,6 cm","47,664 cm","26,811 cm","54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,,50/60 Hz,,,,Si,-4 - 21.5°,Si,,"51,28 cm","51,28 cm",,250 cd/m²,Si,,Si,,"3,16 kg","4,32 kg",,,,,"13,05 cm",2.0,,,1.0,1000:1,50000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,,IPS,5 ms,,,LED,,,100 - 240V,,,,,,,,,,Argento,Si,,,,,,,,,,,,,,,,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus Led 27 VG278HE 3D 144hz HDMI MONITOR LED,,385.6 mm,437.8 mm,,Si,170 °,160 °,Kensington,"Audio (3.5mm), DVI, VGA","ErP, UL/cUL, CB, CE, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSB, RoHS, WEEE, Windows 7 WHQL",Si,,Nero,16.77 M,100 x 100 mm,Si,3.5 mm,65 W,1 W,,,,,"685.8 mm (27 "")",0.311 x 0.311 mm,,16:9,N,50/60 Hz,110 - 160 kHz,100 - 144 Hz,,Si,15 - -5 °,,,643 mm,643 mm,,300 cd/m²,,,Si,2.0,8 kg,10 kg,Si,,6 W,59.5 mm,249.7 mm,1.0,,,1.0,,50000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,560 mm,,,,Si,Si,,,732 mm,Si,,,,176 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,1 W,Si,,,,,,,,,,,,,,,,,,,,,,
LG LED 23 23MB35PM-W IPS16:9 5ms VGA DVI Sp MONITOR LED,,"33,5 cm","36,6 cm",1,Si,178°,178°,,"AC, Audio (3.5mm), DVI, VGA","TCO, UL, TUV-GS, TUV-Ergo, FCC-B, CE, EPA, ISO",,Non specificato,Bianco,"16,77M",,No,,21W,"0,3W",,,,,"58,42 cm (23"")","0,265 x 0,265 mm",,16:9,No,50/60 Hz,,,,Si,,,,"54,9 cm","54,9 cm",,250 cd/m²,,,,2.0,"4,2 kg","6,4 kg",Si,Si,2W,"6,1 cm","24,6 cm",,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,IPS,5 ms,No,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,,1.0,"41,4 cm",,,,Si,,,,"62,5 cm",,Si,"4,485 kg",,"20,3 cm",,56 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,,,29W,,,,,,,,,,"0,3W",,,,,,,,,,,,,,,,,,,,,,,
AOC 19.5 e2070Swn,,,346.35 mm,,N,90 °,50 °,Kensington,,"CE, FCC, GOST, RoHS, EuP, NRTL",Si,,Nero,16.77 M,100 x 100 mm,N,,18 W,0.3 W,0.5 W,495 mm,432 mm,239.8 mm,"49.5 cm 495.3 mm (19.5 "")",0.27 x 0.27 mm,,16:9,N,50/60 Hz,,,N,N,-5 - 15 °,Si,,,464.63 mm,,200 cd/m²,,,Si,,,,,N,,,156 mm,,,,1.0,800:1,20000000:1,N,1600 x 900 Pixels,1600 x 900,N,N,.,,TN+Film,5 ms,N,W-LED,LED,,,90 - 240 V,,,,,,,,,,Argento,,,,,,,,,,,,,,2.27 kg,,,,55 - 75 Hz,,30 - 83 kHz,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER LED 27 B276HUL,,"38,1 cm","55,8 cm",,Si,178°,178°,Kensington,,,Si,Non specificato,Grigio,"16,77M",100 x 100 mm,,,"32,8W","0,35W","0,49W",,,,"68,6 cm 68,58 cm (27"")","0,233 x 0,233 mm",,16:9,N,,,,Si,,-5 - 35°,Si,,64 cm,64 cm,,350 cd/m²,,,Si,2.0,6 kg,,,Si,2W,"6,2 cm","24,7 cm",2.0,,2.0,,,100000000:1,15 cm,2560 x 1440 Pixels,,,N,,,IPS,6 ms,N,,LCD,,,110 - 220V,,,,,,,,,,Oro,,,,-90 - 90°,,,,,,,,,,"8,51 kg",,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 22 S22C200B MONITOR LED,,"30,19 cm","38,535 cm",,,170°,160°,,,"UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO, FCC, CE, VCCI, KCC, C-Tick, CCC",Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,24W,,"0,1W",,,,"54,61 cm (21.5"")",,,16:9,No,50/60 Hz,,,,No,-1 - 20°,Si,,"50,43 cm","50,43 cm",,250 cd/m²,,,Si,,"3,05 kg","4,65 kg",,Si,,"7,76 cm","18,5 cm",,,,1.0,1000:1,Contrasto Mega,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,,,5 ms,,,LED,Full HD,,100 - 240V,,,,,,,,,,Oro,,,"37,1 cm",,,,Si,,,0 - 40 °C,"59,3 cm",,Si,"3,5 kg",,14 cm,10 - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19W,,,,,,,,,,,,,,,,,,,,,,,
AOC 23 i2369Vm IPS,,"39,8 cm",,,Si,178°,178°,Kensington,"AC, HDMI, VGA",TCO ́06 EnergyStar 6 TÜV ISO 9024-307 FCC CE NRTL EuP RoHS GOST,Si,,Nero,"16,77M",75 x 75 mm,No,,25W,"0,5W","0,5W",,"50,976 cm","28,674 cm","58,4 cm 58,42 cm (23"")","0,265 x 0,265 mm",,16:9,No,50/60 Hz,,,No,Si,-5 - 15°,Si,,"53,14 cm",,No,250 cd/m²,Si,,Si,,"4,98 kg","6,65 kg",,No,,"20,4 cm",,2.0,,,1.0,1000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,No,,,IPS,6 ms,No,,LED,Full HD,,90 - 240V,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,50 - 76 Hz,,30 - 83 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 28 PL B2888UHSU-B1 4k 1ms VGA DVI HDMI DP 4k Sp ...,Si,,"41,2 cm",1,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DisplayPort, DVI, HDMI, USB","CE, TÜV-Bauart, VCCI-B, PSE, CU",Si,Non specificato,Nero,1070M,100 x 100 mm,No,,"34,5W",,"0,5W",,"34,128 cm","62,093 cm","71,12 cm (28"")","0,16 x 0,16 mm",,16:9,No,50/60 Hz,24 - 140 kHz,24 - 76 Hz,Si,Si,0 - 17°,Si,,,,,300 cd/m²,,"1080p, 2160p",Si,2.0,,,Si,Si,6W,,,1.0,,2.0,1.0,1000:1,5000000:1,13 cm,3840 x 2160 Pixels,"2560 x 1440, 3840 x 2160, 1920 x 1080 (HD 1080)",,No,,No,TN,1 ms,No,,LED,4K Ultra HD,,100 - 240V,,,,,,,,,,,Si,1.0,,-45 - 45°,,,Si,,,,,,,,,,,,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,"CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS",,,,,Si,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 23.6 VE247T DVI Wide MONITOR LED,,409.7 mm,,,Si,170 °,160 °,Kensington,AC,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,,,,,,,"59.9 cm 599.4 mm (23.6 "")",0.272 x 0.272 mm,,16:9,N,,30 - 83 kHz,50 - 76 Hz,,N,-5 - 20 °,,Si,569.4 mm,,,300 cd/m²,,1080p,Si,2.0,4.4 kg,7.1 kg,,,2 W,201 mm,,,,,1.0,,1000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,2 ms,N,,LED,Full HD,,,,,,,,,,,,,,1.0,480 mm,,,,Si,Si,,,638 mm,Si,Si,,,175 mm,,50 - 76 Hz,,30 - 83 kHz,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 W,,,,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 17 e719Sda 5:4 MONITOR LED,Si,326.7 mm,,,Si,170 °,160 °,Kensington,,"CE, EuP, GOST, RoHS, TCO´06, TÜV-Bauart",,Non specificato,"Nero, Argento",16.77 M,100 x 100 mm,N,,25 W,0.5 W,0.5 W,432 mm,337.9 mm,270.3 mm,"431.8 mm (17 "") 43.2 cm",0.264 x 0.264 mm,140 MHz,5:4,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,N,Si,-5 - 20 °,Si,,371.6 mm,,,250 cd/m²,,,Si,1.0,3.06 kg,4.61 kg,,Si,,58.9 mm,,,,,1.0,1000:1,20000000:1,N,1280 x 1024 Pixels,1280 x 1024 (SXGA),N,N,.,,,5 ms,N,,LED,N,Si,110 - 240 V,,,,,,,,,,Argento,Si,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 28 m2870Vhe MONITOR LED,Si,,"44,93 cm",,No,178°,178°,Kensington,"AC, DVI, VGA","CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,"27,7W","0,5W","0,5W",,"62,09 cm","34,12 cm","71,12 cm (28"") 71,1 cm","0,32 x 0,32 mm",,16:9,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,No,Si,-5 - 25°,Si,Si,"64,24 cm","64,24 cm",,300 cd/m²,,1080p,Si,,,"6,8 kg",Si,Si,,,"24,19 cm",1.0,,,1.0,3000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,,,,WVA,5 ms,No,W-LED,LED,Full HD,,100 - 240V,No,No,No,,,,,,,Argento,Si,1.0,50 cm,,,,,Si,,,73 cm,Si,,"4,8 kg",,"14,5 cm",,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge10 19.5 ES195c,,,,,N,170 °,160 °,Kensington,VGA,,,Non specificato,Nero,16.77 M,75 x 75 mm,,,21 W,,0.5 W,,432 mm,239.76 mm,"495.3 mm (19.5 "") 49.4 cm",0.27 x 0.27 mm,,16:9,N,50 Hz,,,,N,-5 - 15 °,Si,,474.8 mm,,,250 cd/m²,,,Si,,3.12 kg,,,N,,,,,,,1.0,1000:1,10000:1,N,1600 x 900 Pixels,1600 x 900,,N,,,,5 ms,N,,LED,,,180 - 240 V,,,,,,,,,,,Si,,,,,,,,,0 - 40 °C,,,,4.14 kg,,,20 - 85 %,60 - 75 Hz,,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 24 PL E2483HS-B1 MONITOR LED,Si,412 mm,,1,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","VESA DPMS,",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,24 W,,0.5 W,,,,"60.96 cm 609.6 mm (24 "")",0.277 x 0.277 mm,,16:9,N,50/60 Hz,30 - 80 kHz,55 - 75 Hz,,Si,-5 - 22 °,,Si,565.5 mm,,,250 cd/m²,,1080p,Si,2.0,3.4 kg,,Si,Si,4 W,203 mm,,1.0,,,1.0,1000:1,5000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,N,TN+Film,2 ms,N,,LED,Full HD,,100 - 240 V,N,N,N,,,,,,,,Si,1.0,,,,,Si,,,,,,,,,,,,10.0,,,,,,"TCO, CE, TUV-GS, VCCI-B, PSE, CU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate","CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 29 MX299Q IPS MONITOR LED,,391 mm,,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), DVI, HDMI","BSMI, CB, CCC, CE, C-Tick, CU, ErP, FCC, J-MOSS, RoHS, UL/cUL, VCCI, WEEE, WHQL",Si,Non specificato,"Nero, Argento",16.77 M,,N,,31.7 W,0.5 W,0.5 W,,,,"736.6 mm (29 "") 73.025 cm",0.2628 x 0.2628 mm,,21:9,N,50/60 Hz,,,,Si,-5 - 20 °,Si,Si,700.2 mm,,,300 cd/m²,Si,,,2.0,5.5 kg,8.1 kg,Si,Si,6 W,215.1 mm,,1.0,,,,,80000000:1,,2560 x 1080 Pixels,2560 x 1080,,N,.,,IPS,5 ms,N,,LED,,,100 - 240 V,,N,N,,,,,,,,Si,1.0,506 mm,,,,Si,Si,,0 - 40 °C,814 mm,Si,Si,,,159 mm,20 - 80 %,50 - 61 Hz,,30 - 83 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,Si,Si,,,,,,,,-20 - 60 °C,,,,,,,,,,,,,,,,,,,,,,,Si,,,,10 - 80 %,Si,,,,,,,,
