<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
"OHC24 Shop : Monitor > Monitor search help > Philips 272G5DJEB/00 27"" LED 144Hz Monitor >",300 cd/m2,Textured black,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, PSB, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, cETLus","LED-backlit LCD monitor - 27""",63.9 cm x 24.2 cm x 58 cm - with stand,"Philips Brilliance 272G5DJEB - LED monitor - 27""",7.5 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 80000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,TN,0.311 mm,1 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 272C4QPJKAB/27"" LED PLS Monitor Quad HD 272C4QPJKAB/00",300 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 27""",63.9 cm x 19.7 cm x 49.5 cm - with stand,"Philips Brilliance 272C4QPJKAB - LED monitor - 27""",6.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,"ENERGY STAR Qualified , EPEAT Silver","2xHDMI, DVI-D, DisplayPort",3 years warranty,QHD 2560 x 1440 at 60 Hz,Plane to Line Switching (PLS),0.233 mm,12 ms (typical); 6 ms (grey-to-grey),2.0 megapixel camera,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > 80 Zoll and greater > NEC MultiSync - V801 IRT (MultiTouch) 60003718,,Black,,,183.8 cm x 10.05 cm x 107.4 cm - without stand,"NEC MultiSync V801 IRT (MultiTouch) - 80"" LED-backlit LCD flat panel display",90 kg,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,"80""",203.2 cm,1080p (FullHD),"Ambient light sensor (ALS), screen saver, TileMatrix (10 x 10), Eco Mode, portrait mode, landscape mode, 6 touchpoints, protection glass, infrared multitouch technology, Open Pluggable Specification slot, Carbon Footprint Meter",Yes,1 port(s),16:9,LED backlight - edge-lit,"DVI, VGA (HD-15), DisplayPort",AC 120/230 V ( 50/60 Hz ),420 Watt,LED-backlit LCD flat panel display with touch-screen,Remote control,1920 x 1080,2 speakers,Commercial use,UV²A,No tuner,"Component, composite, HDMI",100.0,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2280HS-1 E2280HS-B1,250 cd/m2,Black,"Plug and Play, TUV GS, DDC-2B, VESA DPMS","LED-backlit LCD monitor - 21.5""",50.95 cm x 18.95 cm x 36.55 cm,"Iiyama ProLite E2280HS-1 - LED monitor - 21.5""",3.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.2482 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEWREFERENCE 272 1000:1 340CD/QM 16:9 HDMI    60003545,350 cd/m2,,"Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, cUL, DDC-2B, DDC-2Bi, MPR III, PCBC, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, ERP, EAC","LED-backlit LCD monitor - 27""",64.04 cm x 23.55 cm x 39.62 cm,"NEC SpectraView Reference 272 - LED monitor - 27""",12.9 kg,Widescreen - 16:9,1.07 billion colours,1000:1,"Height, swivel, tilt",,"HDMI, DVI-D, DisplayPort, Mini DisplayPort",5 years warranty,2560 x 1440 at 60 Hz,AH-IPS,0.233 mm,7 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Iiyama X2380HS-B1 58 > 4CM 23IN LED 58.4 cm (23"")/",250 cd/m2,Black,"DDC-2B, VESA DPMS, TUV Bauart, TUV GM, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 23""",54.85 cm x 21.35 cm x 38.85 cm,"Iiyama ProLite X2380HS-1 - LED monitor - 23""",5.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 10000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,IPS,0.2652 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA273WMI LED 68 > 6CM 27IN AN/DI 68.6 cm (27"")/ 1.920 60003608",250 cd/m2,Black,"FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 27""",63.93 cm x 23 cm x 41.8 cm,"NEC MultiSync EA273WMi - LED monitor - 27""",,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080 at 60 Hz,IPS,0.311 mm,,USB Hub,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC P242W LED 61 cm (24 "")/ 1.920 x 1.200/ 60003418",350 cd/m2,White,"FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, WEEE, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 24.1""",55.68 cm x 22.76 cm x 37.8 cm - with stand,"NEC MultiSync P242W - LED monitor - 24.1""",10.1 kg,Widescreen,16.8 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1200 at 60 Hz,IPS,0.27 mm,16 ms (tr - tf); 8 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 23"" LED IPS Panel Monitor >  Webcam + 231P4QPYKES/00",250 cd/m2,"Textured black, textured sliver with black stand","Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, WEEE, TCO Displays 5.2","LED-backlit LCD monitor - 23""",54.7 cm x 22 cm x 51.5 cm - with stand,"Philips Brilliance P-line 231P4QPYKES - LED monitor - 23""",5.23 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,IPS,0.265 mm,7 ms (grey-to-grey),"USB Hub, 2.0 megapixel camera",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1928L AccuTouch E935808,246 cd/m2,Grey,"MPR II, UL, VCCI, cUL, IEC 61000-4-3, VESA DPMS, CB, C-Tick Class B, EN 61000-4-3, CCC, IC, MIC, EK, FCC, RoHS, DDC","LCD monitor - 19""",42.9 cm x 21.2 cm x 39 cm - with stand,"Elo Desktop Touchmonitors 1928L AccuTouch - LCD monitor - 19""",8 kg,5:4,16.7 million colours,1300:1,Tilt,,"DVI-D, VGA",3 years warranty,1280 x 1024,,,20 ms,Touch-screen,"North America, South America, Central America, EMEA",Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG - 24EB23PY-W,300 cd/m2,White,"Plug and Play, CSA, UL, TUV GS, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, DDC/CI, RoHS, EN 60950-1, ISO 9241-307, TCO Displays 5.2, EN 61000-3-2:2006","LED-backlit LCD monitor - 24""",55.84 cm x 23.9 cm x 39.5 cm - with stand,"LG 24EB23PY-W - LED monitor - 24""",5.4 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort , USB",3 years warranty,1920 x 1200,AH-IPS,0.269 mm,5 ms,USB Hub,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Avocent ECS17KMM8-205,250 cd/m2,,"UL, TUV GS, VCCI, C-Tick, BSMI, GOST, NOM, CB, EMC, FCC, ULC, RoHS, UL-AR","KVM console - 17""",44.5 cm x 65.1 cm x 4.4 cm,"Avocent LCD Console and KVM over IP Switch Integrated Tray - KVM console - 17""",12.8 kg,,16.7 million colours,1000:1,,,VGA,,1280 x 1024 at 60 Hz,,,,"Keyboard, touchpad , 8 port KVM switch",Germany,,,,1U,USB - 8 ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Dell P2714T 27"" Win8-Multi-Touch >  8ms >  270cd >  210-ABSQ",300 cd/m2,,"Plug and Play, WEEE, ErP Ready, CEL, EuP, TCO Displays, China Energy Label","LED-backlit LCD monitor - 27"" - Multi-Touch",66.5 cm x 7.97 cm x 47.55 cm - with stand,"Dell P2714T - LED monitor - 27"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee",,Widescreen - 16:9,16.7 million colours,1000:1 / 8000000:1 (dynamic),Tilt,"ENERGY STAR Qualified , EPEAT Gold","2xHDMI, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,Plane to Line Switching (PLS),0.311 mm,8 ms (grey-to-grey),Touch-screen,,"Anti-glare, 3H Hard Coating",,Compatible with Windows 7,,,,,3-Years Advanced Exchange Service and Premium Panel Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC EA224WMI WHITE 1000:1 250CD/QM 14MS >  60003337,250 cd/m2,White,"FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, TUV Ergo, RoHS, ISO 9241-307, GEEA, TCO Displays 5.2","LED-backlit LCD monitor - 22""",50.7 cm x 21.8 cm x 37 cm,"NEC MultiSync EA224WMi - LED monitor - 22""",5.6 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,IPS,0.247 mm,14 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Avocent LCD17 Dual Rack-Konsole - DE Die 1 HE hohe LCD17-205,,,"UL, C-Tick, cUL, FCC","KVM console - 17""",45.5 cm x 45 cm x 4.4 cm,"Avocent LCD17 Dual-Rail Rack Console - KVM console - 17""",11.4 kg,,16.2 million colours,,,,,,1280 x 1024,,,,Keyboard,,,,,1U,PS/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA304WMI WHITE 76CM 29.8IN  29.8"" LCD monitor with 60003495",350 cd/m2,White,"FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0, TCO Certified Edge 1.2, EAC","LED-backlit LCD monitor - 30""",68.7 cm x 23 cm x 47.3 cm,"NEC MultiSync EA304WMi - LED monitor - 30""",11 kg,Widescreen - 16:10,1.07 billion colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,2560 x 1600 at 60 Hz,AH-IPS,0.251 mm,6 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - E2283HS E2283HS-B1,250 cd/m2,Black,"TUV GS, DDC-2B, VESA DPMS, TCO Displays, VCCI Class B","LED-backlit LCD monitor - 21.5""",50.55 cm x 19.3 cm x 38.25 cm,"Iiyama ProLite E2283HS - LED monitor - 21.5""",3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,TN,0.248 mm,2 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips Monitor 23"" 231P4UPES LED 231P4UPES/00",250 cd/m2,"Silver, textured black","Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, PSB, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 6.0","LED-backlit LCD monitor - 23""",54.7 cm x 22 cm x 51.5 cm - with stand,"Philips Brilliance 231P4UPES - LED monitor - 23""",5.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,VGA,3 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.265 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - T1732MSC-W1X,225 cd/m2,"Black, white","VCCI, VESA DPMS, CB, GOST-R, IP54, TUV Bauart","LED-backlit LCD monitor - 17"" - Multi-Touch",38.7 cm x 20.2 cm x 34.2 cm,"Iiyama ProLite T1732MSC-W1X - LED monitor - 17""",5.6 kg,5:4,16.7 million colours,1000:1,Tilt,,"DVI-D, VGA",,1280 x 1024,TN,0.264 mm,5 ms,Touch-screen,,7H Hard Coating,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - XB3070WQS XB3070WQS-B1,350 cd/m2,Black,"Plug and Play, TUV GS, DDC-2B, VESA DPMS, PSE Mark, VCCI Class B","LED-backlit LCD monitor - 30""",69.25 cm x 23 cm x 47.7 cm - with stand,"Iiyama ProLite XB3070WQS - LED monitor - 30""",7.4 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",,QHD 2560 x 1440,AH-IPS,0.251 mm,5 ms (grey-to-grey),,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Samsung S23C65UDC/23"" 1920x1080 LS23C65UDC/EN",250 cd/m2,Matte black,"TUV, C-Tick, GOST, EN55022, NEMKO, NOM, PCBC, SASO, SIQ, EN55024, CISPR 22, CCC, PSB, AS/NZS 3548, IRAM, UL 60950-1, IEC 60950-1, EN 60950-1, CSA C22.2 No. 60950-1, FCC Part 15 B Class A, VCCI V-3, KC, GB 9254-2008, GB 4943-2001 PSB, NOM-019-SCFI-1993 IRAM, GB 17625.1-2003 EMC, K60950-1, KCC KN22, KCC KN24","LED-backlit LCD monitor - 23""",54.29 cm x 22.4 cm x 34.965 cm - with stand,"Samsung S23C650D - LED monitor - 23""",5.45 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,AD-PLS,0.2655 mm,5 ms (grey-to-grey),USB Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama XU2290HS-B1 54 > 7CM 21 > 5IN LED 54.6 cm,250 cd/m2,Black,"DDC-2B, VESA DPMS, TUV Bauart, TCO Displays 6.0, VCCI Class B, EAC","LED-backlit LCD monitor - 22""",49.95 cm x 18 cm x 37.05 cm,"Iiyama ProLite XU2290HS-1 - LED monitor - 22""",3.7 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,IPS,0.248 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SR-B1,200 cd/m2,Black,"Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL","LCD monitor - 19""",43.1 cm x 39.1 cm x 21.8 cm,"Iiyama ProLite T1931SR-B1 - LCD monitor - 19""",6.5 kg,5:4,16.7 million colours,900:1,Tilt,,"DVI-D, VGA",,1280 x 1024,TN,0.294 mm,5 ms,"Touch-screen , stereo speakers",,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > APC Rackmount Keyboard Monitor Mouse - KVM-Konsole - AP5017G,,Black,"UL, VCCI, CISPR 22 Class A, cUL, EN 60950, EN 61000-3-2, ICES-003, VDE, EN 61000-3-3, EN55024, UL 60950, FCC Part 15","KVM console - 17""",44.5 cm x 74.3 cm x 4.4 cm,"APC Rackmount Keyboard Monitor Mouse KVM console - 17""",14.8 kg,,16.2 million colours,,,,,,1280 x 1024 at 75 Hz,,0.297 mm,,"Keyboard, touchpad",German,,,,1U,PS/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 4243L LCD OPEN FRAME/FULL HD  E000444,500 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, GOST, cUL, NOM, CB, CCC, IC, FCC, E-Standby, KC, China RoHS","LED-backlit LCD monitor - 42"" - Multi-Touch",97.8 cm x 6.5 cm x 57.5 cm - without stand,"Elo 4243L - LED monitor - 42""",20 kg,Widescreen - 16:9,1.07 billion colours,4000:1,,,"HDMI, VGA",3 years warranty,FullHD 1920 x 1080,,,8 ms,Touch-screen,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Dell U2713HM 27"" >  8ms >  350cd >  2560x1440 >  16:9 210-40673",350 cd/m2,,"CECP, TCO Displays","LED-backlit LCD monitor - 27""",63.93 cm x 20.03 cm x 42.43 cm - with stand,"Dell UltraSharp U2713HM - LED monitor - 27"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee",,Widescreen - 16:9,16.7 million colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,2560 x 1440 at 60 Hz,IPS,0.23 mm,8 ms (grey-to-grey),,,"Anti-glare, 3H Hard Coating",,Compatible with Windows 7,,,,,3-Years Advanced Exchange Service and Premium Panel Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC 60002794,250 cd/m2,"Grey, silver","Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-1, DDC-2B, ISO 13406-2, MPR III, PCT, VESA DPMS, TUV Ergo, DDC/CI, RoHS, TCO Displays 5.0","LCD monitor - 17""",36.8 cm x 23 cm x 35.9 cm,"NEC MultiSync LCD175M - LCD monitor - 17""",5.2 kg,,16.7 million colours,1000:1,"Height, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024 at 60 Hz,TN,0.264 mm,5 ms,Stereo speakers,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson Customer display >  2x20 A61B133133,690 cd/m2,Dark grey,"FCC Class A certified, CSA, UL, TUV, VCCI Class A",Customer display,16.5 cm x 5.05 cm x 6.9 cm,Epson DM-D110 (133) - customer display,,,,,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
"OHC24 Shop : Monitor > Monitor search help > Philips 221B3LPCB/02 LED >  21.5"" Wide >",250 cd/m2,Textured black,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SEMKO, TUV Ergo, DDC/CI, RoHS, halogen-free, TCO Displays 5.1","LED-backlit LCD monitor - 21.5""",50.7 cm x 22.7 cm x 48 cm - with stand,"Philips Brilliance B-line 221B3LPCB - LED monitor - 21.5""",5.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,TN,0.248 mm,5 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Acer B226WLWMDR mit Speaker >  22"" 16:10 LED >  UM.EB6EE.011",250 cd/m2,White,TCO Displays 6.0,"LED-backlit LCD monitor - 22""",50.58 cm x 22.12 cm x 53.41 cm - with stand,"Acer B226WLwmdr - LED monitor - 22""",5.75 kg,Widescreen,16.7 million colours,100000000:1 (dynamic),"Height, pivot (rotation), tilt","ENERGY STAR Qualified , EPEAT Gold","DVI, VGA",3 years warranty,1680 x 1050,IPS,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Asus ASUS VN289Q LED >  28"" 16:9 1920x1080 >  5ms >  90LM00P0-B01170",300 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, PSE Mark, MEPS, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 28""",66.02 cm x 21 cm x 45.07 cm - with stand,"ASUS VN289Q - LED monitor - 28""",5.4 kg,Widescreen - 16:9,16.7 million colours,3000:1 / 80000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",,FullHD 1920 x 1080,,0.32 mm,5 ms (grey-to-grey),,,Anti-glare,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Dell P2414 23.8"" >  8ms >  250cd >  1920 x 1080 >  16:9 860-BBBH",250 cd/m2,,"RoHS, CECP, TCO Displays","LED-backlit LCD monitor - 23.8""",56.6 cm x 18 cm x 36.9 cm - with stand,"Dell P2414H - LED monitor - 23.8"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee",,Widescreen - 16:9,16.7 million colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",,FullHD 1920 x 1080 at 60 Hz,IPS,0.2745 mm,8 ms (grey-to-grey),,,,,Compatible with Windows 7,,,,,3-Years Advanced Exchange Service and Premium Panel Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > V7 - L19500WS L19500WS-9E,200 cd/m2,Glossy black,"FCC, RoHS, WEEE","LED-backlit LCD monitor - 20""",47.3 cm x 18 cm x 36.6 cm - with stand,"V7 L19500WS - LED monitor - 20""",2.7 kg,Widescreen - 16:9,16.7 million colours,1000000:1 (dynamic),Tilt,,VGA,3 years warranty,1600 x 900,,,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 2201L Projected Capacitive E497002,225 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, NOM, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS","LED-backlit LCD monitor - 22""",- with stand,"Elo Desktop Touchmonitors 2201L Projected Capacitive - LED monitor - 22""",7.5 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,,5 ms,Touch-screen,Worldwide,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Pelco 32"" Full HD 1080p Flat Panel Desktop LCD Display  PMCL532F",450 cd/m2,,,"LCD monitor - 32""",,"Pelco PMCL532F - LCD monitor - 32""",,Widescreen - 16:9,16.7 million colours,5000:1,,,"DVI-D, VGA",,FullHD 1920 x 1080 at 60 Hz,,0.364 mm,8 ms,,,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > 3M M2767PW 68 > 6CM 27IN LED 68.6 cm (27"")/ DE272920880",250 cd/m2,Black,"FCC Class B certified, TUV, C-Tick, RoHS","LED-backlit LCD monitor - 27"" - Multi-Touch",64.8 cm x 25 cm x 38.9 cm,"3M Multi-touch Display M2767PW - LED monitor - 27""",7.7 kg,Widescreen - 16:9,16.7 million colours,5000:1,Tilt,,"HDMI, VGA, DisplayPort",1 year warranty,FullHD 1920 x 1080,P-MVA,0.248 mm,16 ms,,,,Integrated,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > AOC Value - e2460Sh E2460SH,250 cd/m2,Black,"Plug and Play, TUV GS, RoHS, TCO '06, ISO9241-307, Ukrain Safety","LED-backlit LCD monitor - 24""",56.54 cm x 21.93 cm x 41.16 cm - with stand,"AOC Value e2460Sh - LED monitor - 24""",4.27 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,TN,0.276 mm,1 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Samsung T27C370EW LED Schwarz glÃ¤nzend LT27C370EW/EN,300 cd/m2,Glossy black,"DDC-2B, ISO 9241-307","LED-backlit LCD monitor - 27""",64.2 cm x 20 cm x 47.99 cm - with stand,"Samsung T27C370EW - LED monitor - 27""",4.7 kg,Widescreen,16.7 million colours,1000:1,Tilt,ENERGY STAR Qualified,"2xHDMI, VGA , composite video, component video",2 years warranty,FullHD 1920 x 1080,AD-PLS,0.311 mm,5 ms (grey-to-grey),,,,,,,,,,,,Class A+,,,,,,,,,,,,,,,,,,,,,,,"DVB-C, DVB-T",
