<page title>,aspect ratio,builtin speakers,contrast ratio,display colors,dvi,hdmi,ips,led,manufacturer,part,recommended resolution,refresh rate,screen size,viewing angle,widescreen,brightness,response time,vga,displayport,model,component,dvid duallink,svideo,minidisplay port
"AOC i2367Fh 60Hz 23.0"" Monitor (I2367FH) - PCPartPicker Canada",16:9,Yes,"50,000,000:1",16700000.0,,2.0,Yes,Yes,AOC,I2367FH,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,i2367Fh,,,,
"BenQ XL2430T 144Hz 24.0"" Monitor (XL2430T) - PCPartPicker Canada",16:9,No,"12,000,000:1",,1.0,2.0,No,Yes,BenQ,XL2430T,1920 x 1080,144Hz,"24""",170° H x 160° V,Yes,350 cd/m²,1 ms,1.0,1.0,,,,,
"HP F4M97A8#ABA 60Hz 17.0"" Monitor (F4M97A8#ABA) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,,,No,Yes,HP,F4M97A8#ABA,1280 x 1024,60Hz,"17""",,No,250 cd/m²,5 ms,1.0,,,,,,
"NEC EA244WMi-BK 24.0"" Monitor (EA244WMi-BK) - PCPartPicker Canada",16:10,Yes,"DCR 25,000:1 (1000:1)",16700000.0,1.0,1.0,Yes,Yes,NEC,EA244WMi-BK,1920 x 1200,,"24""",178° H x 178° V,Yes,350 cd/m²,6 ms,1.0,1.0,,,,,
"NEC AS221WM-BK 22.0"" Monitor (AS221WM-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,No,NEC,AS221WM-BK,1680 x 1050,,"22""",176° H x 176° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VS239H-P 23.0"" Monitor (VS239H-P) - PCPartPicker Canada",16:9,No,"ASCR 50,000,000:1",16700000.0,1.0,1.0,Yes,Yes,Asus,VS239H-P,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Planar PLL2710W 27.0"" Monitor (997-7199-00) - PCPartPicker Canada",16:9,No,1200:1,16700000.0,1.0,,No,Yes,Planar,997-7199-00,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,,1.0,,PLL2710W,,,,
"AOC Q2770PQU 60Hz 27.0"" Monitor (Q2770PQU) - PCPartPicker Canada",16:9,Yes,"20,000,000:1",16700000.0,1.0,1.0,Yes,Yes,AOC,Q2770PQU,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"ViewSonic VG2439M-TAA 60Hz 24.0"" Monitor (VG2439M-TAA) - PCPartPicker Canada",16:9,Yes,"DC 20,000,000:1 (1000:1)",,1.0,,No,Yes,ViewSonic,VG2439M-TAA,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Samsung 320MP-3 32.0"" Monitor (320MP-3) - PCPartPicker Canada",16:9,No,DC 6000:1 (3500:1),16700000.0,1.0,2.0,No,No,Samsung,320MP-3,1366 x 768,,"32""",178° H x 178° V,Yes,450 cd/m²,8 ms,1.0,1.0,,,,,
"Planar PXL2430MW 23.5"" Monitor (997-6399-00) - PCPartPicker Canada",16:9,No,1000:1,,1.0,1.0,No,Yes,Planar,997-6399-00,1920 x 1080,,"23.5""",178° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,PXL2430MW,,,,
"Asus VE258Q 25.0"" Monitor (VE258Q) - PCPartPicker Canada",16:9,Yes,"50,000,000:1 ASCR",16700000.0,1.0,1.0,No,Yes,Asus,VE258Q,1920 x 1080,,"25""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,1.0,,,,,
"Asus VN289Q 60Hz 28.0"" Monitor (VN289Q) - PCPartPicker Canada",16:9,Yes,ASCR 80000000:1 (3000:1),16700000.0,1.0,1.0,No,Yes,Asus,VN289Q,1920 x 1080,60Hz,"28""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"NEC EA273WMi-BK 60Hz 27.0"" Monitor (EA273WMi-BK) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,1.0,Yes,Yes,NEC,EA273WMi-BK,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,1.0,,,,,
"Acer S231HLbid 23.0"" Monitor (ET.VS1HP.001) - PCPartPicker Canada",16:9,No,"ACM 12,000,000:1 (1000:1)",16700000.0,1.0,1.0,No,Yes,Acer,ET.VS1HP.001,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S231HLbid,,,,
"Hannspree HE247DPB 23.6"" Monitor (HE247DPB) - PCPartPicker Canada",16:9,Yes,"Active Contrast 40,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Hannspree,HE247DPB,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo LT1952p 19.0"" Monitor (2448MB6) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,Yes,Lenovo,2448MB6,1440 x 900,,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,LT1952p,,,,
"Asus VN289H 60Hz 28.0"" Monitor (VN289H) - PCPartPicker Canada",16:9,Yes,ASCR 80000000:1 (3000:1),16700000.0,,2.0,No,Yes,Asus,VN289H,1920 x 1080,60Hz,"28""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Acer V223WL 22.0"" Monitor (UM.EV3AA.A01) - PCPartPicker Canada",16:10,Yes,"100,000,000:1",,1.0,,No,Yes,Acer,UM.EV3AA.A01,1680 x 1050,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V223WL,,,,
"Samsung S23C450D 23.0"" Monitor (S23C450D) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S23C450D,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC E223W-BK 22.0"" Monitor (E223W-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,Yes,NEC,E223W-BK,1680 x 1050,,"22""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Dell E2014T 60Hz 19.5"" Monitor (E2014T) - PCPartPicker Canada",16:9,No,8000000:1 (1000:1),16700000.0,,1.0,No,No,Dell,E2014T,1600 x 900,60Hz,"19.5""",170° H x 160° V,Yes,225 cd/m²,2 ms,1.0,1.0,,,,,
"Compaq LA1751g 17.0"" Monitor (EM889AA#ABA) - PCPartPicker Canada",5:4,No,1000:1,,1.0,,No,No,Compaq,EM889AA#ABA,1280 x 1024,,"17""",160° H x 160° V,No,250 cd/m²,5 ms,1.0,,LA1751g,,,,
"Samsung S27C230B 27.0"" Monitor (S27C230B) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (1000:1),16700000.0,1.0,,No,Yes,Samsung,S27C230B,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"NEC EA192M-BK 19.0"" Monitor (EA192M-BK) - PCPartPicker Canada",5:4,Yes,"DC 25,000:1 (1,000:1)",16700000.0,1.0,,No,Yes,NEC,EA192M-BK,1280 x 1024,,"19""",176° H x 170° V,No,250 cd/m²,5 ms,1.0,1.0,,,,,
"HP D7R00A4#ABA 60Hz 27.0"" Monitor (D7R00A4#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,1070000000.0,,1.0,Yes,Yes,HP,D7R00A4#ABA,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,7 ms,,2.0,,,,,
"Samsung ME32B 32.0"" Monitor (ME32B) - PCPartPicker Canada",16:9,No,,,,,No,No,Samsung,ME32B,1920 x 1080,,"32""",178° H x 178° V,Yes,350 cd/m²,8 ms,,1.0,,,1.0,,
"Lenovo 60B3HAR2US 60Hz 17.0"" Monitor (60B3HAR2US) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,1.0,,No,No,Lenovo,60B3HAR2US,1280 x 1024,60Hz,"17""",170° H x 170° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S22C450D 21.5"" Monitor (S22C450D) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S22C450D,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VX2770Smh-LED 27.0"" Monitor (VX2770Smh-LED) - PCPartPicker Canada",16:9,Yes,"30,000,000:1",,1.0,1.0,Yes,Yes,ViewSonic,VX2770Smh-LED,1920 x 1080,,"27""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"Samsung S22C450B 21.5"" Monitor (S22C450B) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,,,No,Yes,Samsung,S22C450B,1920 x 1080,,"21.5""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer B226HQLAymdr 60Hz 21.5"" Monitor (UM.WB6AA.A01) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (3000:1)",16700000.0,1.0,,No,Yes,Acer,UM.WB6AA.A01,1920 x 1080,60Hz,"21.5""",,Yes,250 cd/m²,8 ms,1.0,,B226HQLAymdr,,,,
"Samsung S22D300HY 60Hz 21.5"" Monitor (S22D300HY) - PCPartPicker Canada",16:9,No,DCR Mega Infinity (600:1),16700000.0,,1.0,No,Yes,Samsung,S22D300HY,1920 x 1080,60Hz,"21.5""",90° H x 65° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"Planar 997-6958-00 60Hz 19.0"" Monitor (997-6958-00) - PCPartPicker Canada",5:4,Yes,1000:1,16700000.0,,,No,Yes,Planar,997-6958-00,1280 x 1024,60Hz,"19""",,No,250 cd/m²,5 ms,1.0,,,,,,
"Eizo RX340-BK 21.2"" Monitor (RX340-BK) - PCPartPicker Canada",3:4,No,1400:1,1070000000.0,,,No,Yes,Eizo,RX340-BK,1536 x 2048,,"21.2""",,No,1000 cd/m²,22 ms,1.0,,,,,,
"Dell E2215HV 60Hz 21.5"" Monitor (E2215HV) - PCPartPicker Canada",16:9,No,600:1,16700000.0,,,No,Yes,Dell,E2215HV,1920 x 1080,60Hz,"21.5""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"LG E2411PU-BN 24.0"" Monitor (E2411PU-BN) - PCPartPicker Canada",16:9,Yes,"DFC 5,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,LG,E2411PU-BN,1920 x 1080,,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S27D390H 60Hz 27.0"" Monitor (S27D390H) - PCPartPicker Canada",16:9,No,DCR Mega Infinity (1000:1),16700000.0,,1.0,No,Yes,Samsung,S27D390H,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"NEC EA294WMi-BK 60Hz 29.0"" Monitor (EA294WMi-BK) - PCPartPicker Canada",21:9,Yes,1000:1,16700000.0,2.0,1.0,Yes,Yes,NEC,EA294WMi-BK,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,6 ms,2.0,1.0,,,,,
"BenQ BENQGW2255 60Hz 21.5"" Monitor (BENQGW2255) - PCPartPicker Canada",16:9,No,3000:1,,1.0,,No,No,BenQ,BENQGW2255,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,,,,,
"Acer V203HLBJbd 60Hz 20.0"" Monitor (ET.DV3HP.B01) - PCPartPicker Canada",16:9,No,"100,000,000:1 Max (ACM)",16700000.0,1.0,,No,Yes,Acer,ET.DV3HP.B01,1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V203HLBJbd,,,,
"Acer G236HLBbd 60Hz 23.0"" Monitor (UM.VG6AA.B01) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (600:1)",16700000.0,1.0,,No,Yes,Acer,UM.VG6AA.B01,1920 x 1080,60Hz,"23""",,Yes,200 cd/m²,5 ms,1.0,,G236HLBbd,,,,
"V7 LED236W3S-9N 24.0"" Monitor (LED236W3S-9N) - PCPartPicker Canada",16:9,Yes,800:1,,,,No,Yes,V7,LED236W3S-9N,1920 x 1080,,"24""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG IPS231B-BN 23.0"" Monitor (IPS231B-BN) - PCPartPicker Canada",16:9,Yes,"DFC 5,000,000:1",16700000.0,1.0,,Yes,Yes,LG,IPS231B-BN,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VN248H-P 23.8"" Monitor (VN248H-P) - PCPartPicker Canada",16:9,Yes,"80,000,000:1",,,2.0,Yes,Yes,Asus,VN248H-P,1920 x 1080,,"23.8""",178° H x 178° V,Yes,,5 ms,1.0,,,,,,
"LG EB2442T-BN 24.0"" Monitor (EB2442T-BN) - PCPartPicker Canada",16:9,No,DFC 5M:1 (1000:1),16700000.0,1.0,,No,Yes,LG,EB2442T-BN,1920 x 1080,,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"BenQ XL2410T 120Hz 23.6"" Monitor (XL2410T) - PCPartPicker Canada",16:9,No,"DC 10,000,000:1 (1,000:1)",,1.0,1.0,No,Yes,BenQ,XL2410T,1920 x 1080,120Hz,"23.6""",170° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,,,,,
"Asus PA249Q 24.0"" Monitor (PA249Q) - PCPartPicker Canada",16:10,No,"80,000,000:1",1070000000.0,1.0,1.0,Yes,Yes,Asus,PA249Q,1920 x 1200,,"24""",178° H x 178° V,Yes,350 cd/m²,6 ms,1.0,1.0,,,,,
"NEC E231W-BK 23.0"" Monitor (E231W-BK) - PCPartPicker Canada",16:9,No,"DC 25,000:1 (1000:1)",16700000.0,1.0,,No,Yes,NEC,E231W-BK,1920 x 1080,,"23""",176° H x 170° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Asus VS208N-P 20.0"" Monitor (VS208N-P) - PCPartPicker Canada",16:9,No,ASCR 50000000:1,16700000.0,1.0,,No,Yes,Asus,VS208N-P,1600 x 900,,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung T24C550ND 23.6"" Monitor (T24C550ND) - PCPartPicker Canada",16:9,Yes,Mega DCR,,,2.0,No,Yes,Samsung,T24C550ND,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,1.0,,1.0,
"LG 24MB35PU-B 60Hz 23.8"" Monitor (24MB35PU-B) - PCPartPicker Canada",16:9,Yes,"DFC 5,000,000:1 (1000:1)",,1.0,,Yes,Yes,LG,24MB35PU-B,1920 x 1080,60Hz,"23.8""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Samsung S32D850T 60Hz 32.0"" Monitor (S32D850T) - PCPartPicker Canada",16:9,No,,1070000000.0,1.0,2.0,No,Yes,Samsung,S32D850T,2560 x 1440,60Hz,"32""",178° H x 178° V,Yes,,5 ms,,1.0,,,,,
"AOC E2360SD 60Hz 23.0"" Monitor (E2360SD) - PCPartPicker Canada",16:9,No,"20,000,000:1",16700000.0,1.0,,No,Yes,AOC,E2360SD,1920 x 1080,60Hz,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer B193WLBJObmdh 60Hz 19.0"" Monitor (UM.CB3AA.B02) - PCPartPicker Canada",16:10,Yes,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.CB3AA.B02,1440 x 900,60Hz,"19""",,Yes,250 cd/m²,5 ms,1.0,,B193WLBJObmdh,,,,
"Samsung S24C450D 24.0"" Monitor (S24C450D) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S24C450D,1920 x 1080,,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP A6B85AA#ABA 60Hz 23.0"" Monitor (A6B85AA#ABA) - PCPartPicker Canada",16:9,No,1000:1,,2.0,,No,Yes,HP,A6B85AA#ABA,1920 x 1080,60Hz,"23""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"AOC E960SN 19.0"" Monitor (E960SN) - PCPartPicker Canada",16:9,No,"2,000,000:1",,,,No,Yes,AOC,E960SN,1366 x 768,,"19""",,Yes,250 cd/m²,,1.0,,,,,,
"Samsung T22B350ND 21.5"" Monitor (T22B350ND) - PCPartPicker Canada",16:9,Yes,1000:1,,,2.0,No,Yes,Samsung,T22B350ND,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,1.0,,1.0,
"NEC P232W-BK-SV 23.0"" Monitor (P232W-BK-SV) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,1.0,1.0,Yes,Yes,NEC,P232W-BK-SV,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,1.0,,,,,
"Dell P1913 60Hz 19.0"" Monitor (469-3133) - PCPartPicker Canada",16:10,No,"DC 2,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Dell,469-3133,1400 x 900,60Hz,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,P1913,,,,
"ViewSonic VP2772 60Hz 27.0"" Monitor (VP2772) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,1.0,Yes,Yes,ViewSonic,VP2772,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,350 cd/m²,12 ms,,1.0,,,,,
"NEC MD302C4 30.0"" Monitor (MD302C4) - PCPartPicker Canada",16:10,Yes,1000:1,,,,No,Yes,NEC,MD302C4,2560 x 1600,,"30""",,Yes,,7 ms,,,,,,,
"Planar 997-7305-00 60Hz 19.5"" Monitor (997-7305-00) - PCPartPicker Canada",16:9,Yes,"1,000:1",16700000.0,1.0,,No,Yes,Planar,997-7305-00,1600 x 900,60Hz,"19.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"AOC e2752Vh 60Hz 27.0"" Monitor (e2752Vh) - PCPartPicker Canada",16:9,Yes,"20,000,000:1 (dynamic)",16700000.0,1.0,1.0,No,Yes,AOC,e2752Vh,1920 x 1080,60Hz,"27""",170° H x 160° V,Yes,300 cd/m²,2 ms,1.0,,,,,,
"Philips 241B4LPYCB 60Hz 24.0"" Monitor (241B4LPYCB) - PCPartPicker Canada",16:9,Yes,"20,000,000:1",16700000.0,1.0,,No,Yes,Philips,241B4LPYCB,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Samsung S19C450BR 19.0"" Monitor (S19C450BR) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S19C450BR,1280 x 1024,,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"HP E9Q82A8#ABA 60Hz 24.0"" Monitor (E9Q82A8#ABA) - PCPartPicker Canada",16:10,Yes,"5,000,000:1",1070000000.0,1.0,1.0,Yes,Yes,HP,E9Q82A8#ABA,1920 x 1200,60Hz,"24""",,Yes,350 cd/m²,12 ms,,1.0,,,,,
"Asus PB238Q 23.0"" Monitor (PB238Q) - PCPartPicker Canada",16:9,Yes,"ASCR 80,000,000:1",16700000.0,1.0,1.0,Yes,Yes,Asus,PB238Q,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,1.0,,,,,
"Gateway KX2153 Abd 60Hz 21.5"" Monitor (UM.WW3AA.A02) - PCPartPicker Canada",16:9,No,3000:1 (Native),16700000.0,1.0,,No,Yes,Gateway,UM.WW3AA.A02,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,,KX2153 Abd,,,,
"Samsung S23C350H 23.0"" Monitor (S23C350H) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (1000:1),16700000.0,,1.0,No,Yes,Samsung,S23C350H,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Dell P2213 60Hz 22.0"" Monitor (469-3136) - PCPartPicker Canada",16:10,No,"DC 2,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Dell,469-3136,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,P2213,,,,
"Planar PL1900 19.0"" Monitor (997-6374-00) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,,,No,No,Planar,997-6374-00,1280 x 1024,,"19""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,PL1900,,,,
"Hannspree HT231HPBU 23.0"" Monitor (HT231HPBU) - PCPartPicker Canada",16:9,Yes,80000000:1,16700000.0,1.0,1.0,No,No,Hannspree,HT231HPBU,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer G227HQLbi 60Hz 21.5"" Monitor (UM.WG7AA.001) - PCPartPicker Canada",16:9,No,"DCR 100,000,000:1 (1,000:1)",16700000.0,,1.0,Yes,Yes,Acer,UM.WG7AA.001,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,G227HQLbi,,,,
"Acer S181HLMb 18.5"" Monitor (UM.XS1AA.M02) - PCPartPicker Canada",16:9,No,"100,000,000:1",,,,No,Yes,Acer,UM.XS1AA.M02,1366 x 768,,"18.5""",90° H x 65° V,Yes,200 cd/m²,5 ms,1.0,,S181HLMb,,,,
"Acer UM.BV6AA.002 75Hz 17.0"" Monitor (UM.BV6AA.002) - PCPartPicker Canada",5:4,No,"100,000,000:1",16700000.0,,,No,Yes,Acer,UM.BV6AA.002,1280 x 1024,75Hz,"17""",,No,250 cd/m²,5 ms,1.0,,,,,,
"Asus VX228H 60Hz 21.5"" Monitor (VX228H) - PCPartPicker Canada",16:9,Yes,"80,000,000:1 (ASCR)",16700000.0,,2.0,No,Yes,Asus,VX228H,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,1 ms,1.0,,,,,,
"ViewSonic VX2453mh-LED 24.0"" Monitor (VX2453mh-LED) - PCPartPicker Canada",16:9,Yes,"DC 30,000,000:1 (1,000:1)",,,1.0,No,Yes,ViewSonic,VX2453mh-LED,1920 x 1080,,"24""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,,,,
"Acer V176Lbd 75Hz 17.0"" Monitor (UM.BV6AA.001) - PCPartPicker Canada",5:4,No,"100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.BV6AA.001,1280 x 1024,75Hz,"17""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,V176Lbd,,,,
"BenQ PG2401PT 60Hz 24.1"" Monitor (PG2401PT) - PCPartPicker Canada",16:10,Yes,"DC 12,000,000:1 (1000:1)",1070000000.0,1.0,1.0,Yes,Yes,BenQ,PG2401PT,1920 x 1200,60Hz,"24.1""",178° H x 178° V,Yes,350 cd/m²,5 ms,1.0,1.0,,,,,
"BenQ GW2750HM 27.0"" Monitor (GW2750HM) - PCPartPicker Canada",16:9,Yes,"DC 20,000,000:1 (5000:1)",16700000.0,1.0,1.0,No,Yes,BenQ,GW2750HM,1920 x 1080,,"27""",178° H x 178° V,Yes,300 cd/m²,4 ms,1.0,,,,,,
"HP 27xi 60Hz 27.0"" Monitor (27xi) - PCPartPicker Canada",16:9,No,"10,000,000:1",,1.0,1.0,Yes,Yes,HP,27xi,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"Samsung S24C750P 24.0"" Monitor (S24C750P) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (3000:1),16700000.0,,2.0,No,Yes,Samsung,S24C750P,1920 x 1080,,"24""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo LT2223p 21.5"" Monitor (60A2MAR2US) - PCPartPicker Canada",16:9,Yes,2000000:1 (1000:1),16700000.0,3.0,1.0,No,Yes,Lenovo,60A2MAR2US,1920 x 1080,,"21.5""",,Yes,250 cd/m²,5 ms,1.0,1.0,LT2223p,,,,
"AOC E2260SWDN-TAA 60Hz 22.0"" Monitor (E2260SWDN-TAA) - PCPartPicker Canada",16:9,No,"20,000,000:1",16700000.0,1.0,,No,Yes,AOC,E2260SWDN-TAA,1920 x 1080,60Hz,"22""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"NEC AS192WM-BK 19.0"" Monitor (AS192WM-BK) - PCPartPicker Canada",16:10,Yes,1000:1,16700000.0,1.0,,No,Yes,NEC,AS192WM-BK,1440 x 900,,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Dell E2014H 19.5"" Monitor (E2014H) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,No,Dell,E2014H,1600 x 900,,"19.5""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VX2703MH-LED 27.0"" Monitor (VX2703MH-LED) - PCPartPicker Canada",16:9,Yes,"DC 10,000,000:1 (1200:1)",,1.0,1.0,No,Yes,ViewSonic,VX2703MH-LED,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,3 ms,1.0,,,,,,
"LaCie 324i 60Hz 24.0"" Monitor (131081) - PCPartPicker Canada",16:10,No,1000:1,1073000000.0,1.0,1.0,Yes,No,LaCie,131081,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,400 cd/m²,6 ms,,1.0,324i,1.0,,,
"AOC q2963Pm 60Hz 29.0"" Monitor (q2963Pm) - PCPartPicker Canada",21:9,Yes,"50,000,000:1",16700000.0,1.0,1.0,Yes,Yes,AOC,q2963Pm,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"LaCie 324i 60Hz 24.0"" Monitor (131082) - PCPartPicker Canada",16:10,No,1000:1,1073000000.0,1.0,1.0,Yes,No,LaCie,131082,1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,400 cd/m²,6 ms,,1.0,324i,,,,
"Samsung S23C570H 23.0"" Monitor (S23C570H) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (1000:1),16700000.0,,1.0,No,Yes,Samsung,S23C570H,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Planar 997-7318-00 75Hz 15.0"" Monitor (997-7318-00) - PCPartPicker Canada",4:3,Yes,500:1,16700000.0,,,No,No,Planar,997-7318-00,1024 x 768,75Hz,"15""",,No,250 cd/m²,8 ms,1.0,,,,,,
"NEC PA231W-BK-SV 23.0"" Monitor (PA231W-BK-SV) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,2.0,,No,Yes,NEC,PA231W-BK-SV,1920 x 1080,,"23""",178° H x 178° V,Yes,270 cd/m²,8 ms,1.0,1.0,,,,,
"ViewSonic VA2037A-LED 20.0"" Monitor (VA2037A-LED) - PCPartPicker Canada",16:9,No,1000:1,,,,No,Yes,ViewSonic,VA2037A-LED,1600 x 900,,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer V226WLbd 60Hz 22.0"" Monitor (UM.EV6AA.002) - PCPartPicker Canada",16:10,No,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.EV6AA.002,1680 x 1050,60Hz,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V226WLbd,,,,
