<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
Philips 223V5LSB - MediaShopUK,Yes,16:9,,No No,No No,,"RoHS, Lead-free, Mercury Free",Black Black,10000000:1,50 mm,213 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,LCD/TFT,Yes,Unspecified,Yes,Full HD,,316 mm,,376 mm,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,Yes Yes,0.5 W,15.64 W,,,5 ms,,,,No,,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.35 kg,2.61 kg,503 mm,503 mm,,Kensington Kensington,1000:1,,,3.87 kg,,. .,,1.0,,,,,,,Yes Yes,107 mm,414 mm,555 mm,,,,0.5 W,,,,,Silver,,30 - 83 kHz,Yes Yes,,,,56 - 76 Hz,,,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.64 mm,268.11 mm,,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,,,,,Yes,,,,,,W-LED,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Philips 240P4QPYES - MediaShopUK,Yes,16:10,,No No,Yes Yes,,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",Silver Silver,20000000:1,65 mm,244 mm,LED,300 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1200 pixels,IPS,Yes,Unspecified,Yes,Full HD,Yes,388 mm,Yes,550 mm,50/60 Hz,100 - 240 V,,Yes,0.270 x 0.270 mm,Yes Yes,0.2 W,7.1 W,,Yes Yes,14 ms,Yes Yes,1920 x 1200 (WUXGA),,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,4.64 kg,6.97 kg,555 mm,555 mm,No,Kensington Kensington,1000:1,1,,9.8 kg,,. .,1.0,1.0,,Yes,,,,,Yes Yes,286 mm,457 mm,632 mm,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",,,14 W,24 - 94 kHz,48 - 85 Hz,No,Gold,No,,Yes Yes,,,Yes,,No,,Yes Yes,,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,518.4 mm,324 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,No No,,2 2,8 8,0 - 90 °,3 W 3 W,Yes,-65 - 65 °,4.0,,610 mm,,W-LED,,Yes,Black Black,0 - 12192 m,0 - 3658 m,No No,,,Yes,Yes,555 x 244 x 550 mm,518.4 x 324 mm 518.4 x 324 mm,632 x 286 x 457 mm,SmartImage SmartImage,Digital Digital,,,,,,,,,,,,,,,,,,
ASUS PA248Q - MediaShopUK,Yes,16:10,,,,"AC, DisplayPort, DVI, USB, VGA AC, DisplayPort, DVI, USB, VGA","TCO 5.2, UL/cUL, CB, CE, ErP, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, Windows 7 WHQL, Mac Compliance",Black Black,80000000:1,62 mm,235 mm,LED,300 cd/m²,"612.1 mm (24.1 "")",61.13 cm,16.77 M,1920 x 1200 pixels,IPS,,,Yes,Full HD,Yes,362.8 mm,,416.3 mm,50/60 Hz,100 - 240 V,,Yes,0.27 x 0.27 mm,,,75 W,,Yes Yes,6 ms,Yes Yes,1920 x 1200 (WUXGA),,No,-5 - 20 °,,100 x 100 mm,1.0,178 °,178 °,Yes,6.4 kg,,557.2 mm,557.2 mm,,Kensington Kensington,,1,,9.9 kg 9.9 kg,,. .,1.0,1.0,1.0,,,,,Yes Yes,Yes Yes,292 mm,439 mm,681 mm,Yes Yes,Yes Yes,,,1 W,30 - 83 kHz,50 - 76 Hz,,,,,Yes Yes,,,,,,Yes Yes,,,,1 pcs 1 pcs,,,Horizontal/Vertical Horizontal/Vertical,,,,,,,,,,3.5 mm,,,,,,,,,,RoHS,,,,,,,Yes Yes,5.0,,,,,,,,,1920 x 1200 pixels 1920 x 1200 pixels,Yes Yes,,,,,,,,,,,,,,,,
Wortmann AG TERRA LCD/LED 2460W GREENLINE PLUS - MediaShopUK,,16:9,,No No,,,"CE, ISO 9241-307, TCO",Black Black,10000000:1,218 mm,,,250 cd/m²,"599.4 mm (23.6 "")",,,1920 x 1080 pixels,,,,Yes,Full HD,Yes,418 mm,No,,,,,,0.272 x 0.272 mm,Yes Yes,1 W,,,,5 ms,,,,,,No,,1.0,170 °,160 °,,4 kg,,556 mm,,,,,1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,"100 - 240 V, 50 - 60 Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VG278HR - MediaShopUK,Yes,16:9,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE",Black Black,50000000:1,,249.7 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,,Yes,437.8 mm,,,,No,0.311 x 0.311 mm,,1 W,65 W,,Yes Yes,2 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,,8.3 kg,,643 mm,Yes,Kensington Kensington,,1,,12.1 kg,,. .,,1.0,1.0,Yes,,,,,Yes Yes,176 mm,560 mm,732 mm,Yes Yes,Yes Yes,,0.6 W,,28 - 160 kHz,50 - 144 Hz,,,,24 - 83 kHz,Yes Yes,,,Yes,55 - 85 Hz,,,,,,,,,,,,,,,,,,No No,3.5 mm,2 2,,,6 W 6 W,,,,,,,,,Yes,,,,No No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDisplay E231 - MediaShopUK,Yes,16:9,,No No No,No No No,AC AC,"CE, CB, KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL 1, CECP, SEPA, TCO Edge, EPA, ISC, VCCI ,FCC, BSMI",Black Black,50000000:1,51 mm,242.4 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.42 cm,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,329 mm,Yes,469.9 mm,50/60 Hz,95 - 265 V,Yes Yes,Yes,,Yes Yes,0.5 W,33 W,,Yes Yes,5 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 30 °,No No,Yes,1.0,170 °,160 °,Yes,3.9 kg,6.1 kg,544 mm,544 mm,No,,1000:1,,,8.34 kg 8.34 kg,,. .,1.0,1.0,,Yes,,,,,Yes Yes,,,,Yes Yes,Yes Yes,36 W,,,,,,Gold,No,24 - 94 kHz,,,,Yes,50 - 76 Hz,No,,Yes Yes,Yes Yes,,,,5 - 35 °C,,,-20 - 60 °C,,,,,,,,,,,0 - 90 °,,,0 - 360 °,3.0,,,,W-LED,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,
ASUS VE278Q - MediaShopUK,,,,No No,Yes Yes,,"UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS",Black Black,1000000:1,220 mm,,,300 cd/m²,"685.8 mm (27 "")",,,1920 x 1080 pixels,,,,Yes,Full HD,No,445.6 mm,,,,,,,,,2 W,45 W,,,2 ms,,1920 x 1080 (HD 1080),,No,20 - -5 °,No,100 x 100 mm,1.0,170 °,160 °,,6.5 kg,,643 mm,,,Kensington Kensington,,1,,,,. .,1.0,1.0,1.0,,,,,,,176 mm,560 mm,732 mm,,,,,,24 - 92 kHz,50 - 85 Hz,,,,24 - 92 kHz,,,,,50 - 85 Hz,,Yes Yes,,,,,,,,,,,,,,,,,3.5 mm,,,,6 W 6 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo X-17P - MediaShopUK,,5:4,Yes,No No,Yes Yes,"AC, VGA AC, VGA","CB, FCC, CE, WEEE, RoHS, REACH",Black Black,,175 mm,,LCD,250 cd/m²,"431.8 mm (17 "")",43.18 cm,16.77 M,1280 x 1024 pixels,,Yes,Unspecified,,No,No,398 mm,No,,50/60 Hz,100 - 240 V,,No,0.264 x 0.264 mm,Yes Yes,0.5 W,19 W,,,3 ms,,1280 x 1024 (SXGA),,No,0 - 20 °,No,"75 x 75, 100 x 100 mm",1.0,170 °,160 °,Yes,6.6 kg,,409 mm,,No,Kensington Kensington,1000:1,,,7.6 kg,,,,1.0,,Yes,Yes Yes,,Yes,,,228 mm,497 mm,486 mm,Yes Yes,,,0.5 W,,24 - 82 kHz,50 - 85 Hz,No,,No,,Yes Yes,,,No,,No,,,,,,10 - 90 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,1.0,,,,No No,,2 2,,,3 W 3 W,,,,,,,,,,,,,No No,,,,,,,,,,,,,1.0,Public display,,,,,,,,,,,,,
Benq GW2450HM - MediaShopUK,,16:9,,No No No,Yes Yes Yes,,,Black Black,20000000:1,65 mm,181 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,Yes,Full HD,Yes,351 mm,No,437 mm,,90 - 264 V,,,,,,27 W,,,,,,,No,,No No,100 x 100 mm,1.0,178 °,178 °,Yes,4.1 kg,,580 mm,580 mm,No,Kensington Kensington,3000:1,Yes,,5.6 kg 5.6 kg,,,,1.0,1.0,,,,Yes,,Yes Yes,134 mm 134 mm,420 mm 420 mm,650 mm 650 mm,,,,,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2 2,17 17,,2 W 2 W 2 W,,,,,,,,,,Black Black,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkVision LT2252P - MediaShopUK,Yes,,,,,,,Black Black,,241.1 mm,,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1650 pixels,LCD,Yes,Unspecified,Yes,No,,367.1 mm,Yes,,,,,Yes,0.282 x 0.282 mm,,,20 W,,Yes Yes,,,1680 x 1050 (WSXGA+),,,0 - 30 °,,,1.0,,160 °,,5.14 kg,,506 mm,,,,1000:1,,,,,. .,1.0,1.0,,Yes,,,,,Yes Yes,,,,,,,,,,,,Gold,,,,,,Yes,,,,,,,,,0 - 40 °C,,,10 - 80 °C,,,,,,,,,,,,,,-45 - 45 °,,,,,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq GL2450HT - MediaShopUK,,16:9,,No No,Yes Yes,,,Black Black,12000000:1,213 mm,,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,TN+Film,Yes,Unspecified,Yes,Full HD,Yes,502 mm,Yes,,,,,Yes,0.276 x 0.276 mm,,,23 W,,,5 ms,,,,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,5.1 kg,,579 mm,,No,,1000:1,,,,,,,1.0,1.0,Yes,,,,,Yes Yes,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64",,,0.3 W,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,2 2,17 17,,4 W 4 W,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VE248H - MediaShopUK,,16:9,,No No,Yes Yes,,"CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE, Windows Vista & Windows 7 WHQL, RoHS",Black Black,10000000:1,201 mm,,,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,,Yes,Full HD,Yes,409.7 mm,,,,,,,0.277 x 0.277 mm,,,35 W,,,2 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,4.4 kg,,569.4 mm,,No,Kensington Kensington,1000:1,1,Yes,7.1 kg,,. .,,1.0,1.0,,,,,,,175 mm,480 mm,638 mm,,,,,1 W,30 - 83 kHz,50 - 76 Hz,,,,30 - 83 kHz,,,,,50 - 76 Hz,,,,,,,,,,,,,,,,,,,3.5 mm,,,,2 W 2 W,,,,,610 mm,,,,,,,,,,,,,,,638 x 175 x 480 mm,,,,,,,,,,,,,,,,,,,,
Benq GW2460HM - MediaShopUK,,16:9,,No No,Yes Yes,,,Black Black,20000000:1,54 mm,194 mm,LCD,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,334 mm,,434 mm,,,,,0.276 x 0.276 mm,,0.3 W,22 W,,,4 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,3.6 kg,,565 mm,565 mm,No,No No,5000:1,1,,,,,,,1.0,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,2 2,17 17,,1 W 1 W,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,16 mm,,,,,,,,,,,,
Samsung LS22C45KBWV LED display - MediaShopUK,,16:10,,No No,No No,"DVI, VGA DVI, VGA","TCO, UL, CSA, TUV, GB, IEC",Black Black,Mega Contrast,55.5 mm,210 mm,LED,250 cd/m²,"558.8 mm (22 "")",,16.77 M,1680 x 1050 pixels,TN+Film,,Unspecified,Yes,No,No,329.8 mm,Yes,453.5 mm,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.282 x 0.282 mm,,0.1 W,24 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,-3 - 25 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.5 kg,5 kg,502.4 mm,502.4 mm,No,,1000:1,,,6.4 kg,,. .,,1.0,,Yes,,,,,,416 mm,188 mm,578 mm,Yes Yes,,,,,,,,Gold,,,,,,Yes,,,,,,,,10 - 80 %,10 - 40 °C,,,,,,,,,,,,,,-1 - 95 °,,,-45 - 45 °,,,,,,,,,,,,,473.7 x 296.1 mm 473.7 x 296.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG 2250W - MediaShopUK,,16:9,,No No,Yes Yes,,,Black Black,15000000:1,190 mm,,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,,Full HD,Yes,379 mm,,,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,,0.5 W,15 W,,,5 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,,No,No,1.0,170 °,160 °,No,3.1 kg,,524 mm,,No,,,,,,,,,,,,,,,,,,,,,,,,,30 - 80 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite GB2773HS-1 - MediaShopUK,,16:9,,,Yes Yes,,,Black Black,1000:1,230 mm,,LED,300 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,Yes,Full HD,Yes,522.5 mm,Yes,,50/60 Hz,100 - 240 V,,,,,0.5 W,35 W,,,1 ms,,1920 x 1080 (HD 1080),,No,,No,100 x 100 mm,1.0,170 °,160 °,Yes,7.4 kg,,647 mm,,No,Kensington Kensington,,1,,,,. .,,,1.0,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 2,,,4 W 4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 23CAV42K - MediaShopUK,,16:9,,No No No,Yes Yes Yes,,"UL(cUL), TUV-Type, FCC-B(CE), EPA, CCC, C-tick",,5000000:1,47 mm,131 mm,LED,250 cd/m²,"584.2 mm (23 "")",58 cm,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,Yes,Full HD,No,332 mm,Yes,387 mm,,100 - 240 V,,Yes,,,,,,,14 ms,,1920 x 1080 (HD 1080),,Yes,,No No,100 x 100 mm,1.0,178 °,178 °,Yes,33.5 kg,5.56 kg,544 mm,544 mm,No,,1000:1,1,Yes,,,. .,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,2 2 2,,,2 W 2 W 2 W,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG Neovo U-17 - MediaShopUK,,"4:3, 5:4",Yes,No No,Yes Yes,"AC, VGA AC, VGA","UL/CUL, CB, FCC, CE, GOST-R, WEEE, RoHS, REACH, Vista/Basic",Black Black,,390 mm,,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,,Yes,No,No,174 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,,,1 W,20 W,,,3 ms,,1280 x 1024 (SXGA),,No,0 - 20 °,No,,1.0,170 °,160 °,Yes,5.7 kg,,397 mm,,No,Kensington Kensington,1000:1,1,,,,,,1.0,,,,,,,,,,,Yes Yes,,,1 W,,24 - 81 kHz,56 - 75 Hz,,,,,,,,,,,,,,,,10 - 90 %,0 - 40 °C,,5 - 95 %,-20 - 60 °C,,,,,,,,3.5 mm,2 2,,,1 W 1 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NTSC, PAL",,,,,,,,,,,
NEC MultiSync E223W - MediaShopUK,Yes,16:10,,No No,No No,"AC, DVI, VGA AC, DVI, VGA",TCO 5.2,White White,25000:1,218 mm,,LED,250 cd/m²,"558.8 mm (22 "")",55.87 cm,16.77 M,1680 x 1050 pixels,TN+Film,,Unspecified,Yes,No,Yes,384 mm,Yes,,50/60 Hz,100 - 240 V,Yes Yes,Yes,0.282 x 0.282 mm,Yes Yes,0.4 W,,,Yes Yes,5 ms,Yes Yes,"1280 x 960, 1366 x 768, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,No,-5 - 30 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,5.6 kg,,503.5 mm,,No,Kensington Kensington,1000:1,,,,,. .,1.0,1.0,,Yes,,,,,Yes Yes,,,,Yes Yes,Yes Yes,25 W,,12 W,,,No,Silver,No,31.5 - 82.3 kHz,Yes Yes,,,Yes,56 - 75 Hz,No,,Yes Yes,Yes Yes,,,20 - 80 %,5 - 35 °C,,,,,,,,,,,,,,0 - 90 °,,,-170 - 170 °,,,,,W-LED,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC e2343F - MediaShopUK,,16:9,,No,No No,,,,50000000:1,,,,250 cd/m²,"584.2 mm (23 "")",,,1920 x 1080 pixels,,,,,,Yes,,,,,,,,0.2655 x 0.2655 mm,,,28 W,,,5 ms,,,,,,,,1.0,160 °,160 °,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,31 - 83 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS VS247H-P - MediaShopUK,Yes,16:9,,No No No,,"AC, DVI, VGA AC, DVI, VGA","UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS,RoHS, WEEE",Black Black,50000000:1,,200 mm,LED,300 cd/m²,"599.4 mm (23.6 "")",,16.77 M,1920 x 1080 pixels,,Yes,,Yes,Full HD,Yes,,,410.6 mm,,,,,0.272 x 0.272 mm,,,33 W,,,2 ms,,1920 x 1080 (HD 1080),1080p,No,20 - -5 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,,4.4 kg,,561.8 mm,No,Kensington Kensington,,,,6.8 kg 6.8 kg,,,,1.0,1.0,,,,,,,130 mm 130 mm,469 mm 469 mm,618 mm 618 mm,Yes Yes,Yes Yes,,0.5 W,0.5 W,30 - 80 kHz,55 - 75 Hz,,,No,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618 x 130 x 469 mm,,,,,,,,,,,,,,,,,,,,
Wortmann AG 3031191 LED display - MediaShopUK,Yes,16:9,,No No,No No,,,Black Black,15000000:1,53 mm,213 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,Full HD,Yes,313 mm,No,369 mm,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,,0.5 W,18 W,,,5 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,,No,No,1.0,170 °,160 °,No,4 kg,,513 mm,513 mm,No,No No,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,Yes Yes,,,,55 - 76 Hz,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewsonic LED LCD VX2270Smh-LED - MediaShopUK,Yes,,Yes,No No,Yes Yes,"AC, HDMI, VGA AC, HDMI, VGA","CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B (ICES003), TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, ENERGY STAR 5.2, WEEE, RoHS, SVHC list",Black Black,30000000:1,179.5 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,,1920 x 1080 pixels,IPS,,Unspecified,Yes,Full HD,Yes,392 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,,,,26 W,,,7 ms,,1920 x 1080 (HD 1080),,,-5 - 20 °,No,No,1.0,178 °,178 °,No,3.6 kg,,499.5 mm,,,Kensington Kensington,1000:1,,,5.7 kg,,. .,,1.0,1.0,,,Yes,,,Yes Yes,179 mm,460 mm,556 mm,Yes Yes,Yes Yes,,,,,,,Silver,,50 - 76 kHz,,,,,24 - 83 Hz,,Yes Yes,,,30000 h 30000 h,,,32 - 104 °F,,20 - 90 %,0 - 40 °C,,,,,,,,,2 2,,,3 W 3 W,,,,,,,W-LED,,Yes,,,,,,,,,,,556 x 179 x 460 mm,,,,,,,,,,499.5 x 179.5 x 392 mm,,,,,,,,,,
Benq GL951AM - MediaShopUK,Yes,16:10,,No,Yes Yes,,,,,,,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,,HD-Ready,No,,,,,,,,,,,,,Yes,5 ms,Yes,1440 x 900 (WXGA+),,No,,,100 x 100 mm,1.0,170 °,160 °,Yes,,,,,No,,1000:1,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
