addr,city,class,name,phone,type
holiday inncrowne plaza at ravinia dunwoody,atlanta,402.0,la grotta at ravinia dunwoody rd,770395 9925,italian
c buford hwy northwoods plaza doraville,atlanta,403.0,little szechuan,770451 0192,asian
6301 roswell rd sandy springs plaza sandy springs,atlanta,404.0,lowcountry barbecue,404255 5160,barbecue
1931 peachtree rd,atlanta,405.0,luna si,404355 5993,continental
1402 n highland ave,atlanta,406.0,mambo restaurante cubano,404874 2626,caribbean
3209 maple dr,atlanta,407.0,mckinnon s louisiane,404237 1313,southern
park place across from perimeter mall dunwoody,atlanta,408.0,mi spia dunwoody rd,770393 1333,italian
247 buckhead ave east village sq,atlanta,409.0,nickiemoto s a sushi bar,404842 0334,fusion
1829 peachtree rd,atlanta,410.0,palisades,404350 6755,continental
555 peachtree st at linden ave,atlanta,411.0,pleasant peasant,404874 3223,american
500 pharr rd,atlanta,412.0,pricci,404237 2941,italian
870 n highland ave,atlanta,413.0,rj s uptown kitchen wine bar,404875 7775,american
25 irby ave,atlanta,414.0,rib ranch,404233 7644,barbecue
3043 buford hwy,atlanta,415.0,sa tsu ki,404325 5285,asian
6050 peachtree pkwy norcross,atlanta,416.0,sato sushi and thai,770449 0033,asian
1144 crescent ave,atlanta,417.0,south city kitchen,404873 7358,southern
2345 cheshire bridge rd,atlanta,418.0,south of france,404325 6963,french
3384 shallowford rd chamblee,atlanta,419.0,stringer s fish camp and oyster bar,770458 7145,southern
2165 cheshire bridge rd,atlanta,420.0,sundown cafe,404321 1118,american
889 w peachtree st,atlanta,421.0,taste of new orleans,404874 5535,southern
3393 peachtree rd,atlanta,422.0,tomtom,404264 1163,continental
3700 w flamingo,las vegas,423.0,antonio s,702252 7737,italian
3645 las vegas blvd s,las vegas,424.0,bally s big kitchen,702739 4111,buffets
4850 flamingo rd,las vegas,425.0,bamboo garden,702871 3262,asian
4041 audrie st at flamingo rd,las vegas,426.0,battista s hole in the wall,702732 1424,italian
3570 las vegas blvd s,las vegas,427.0,bertolini s,702735 4663,italian
128 fremont st,las vegas,428.0,binion s coffee shop,702382 1600,coffee_shopsdiners
3400 las vegas blvd s,las vegas,429.0,bistro,702791 7111,continental
4111 boulder hwy,las vegas,430.0,broiler,702432 7777,american
3555 las vegas blvd s,las vegas,431.0,bugsy s diner,702733 3111,coffee_shopsdiners
1350 e flamingo rd,las vegas,432.0,cafe michelle,702735 8686,american
3570 las vegas blvd s,las vegas,433.0,cafe roma,702731 7547,coffee_shopsdiners
3333 s maryland pkwy,las vegas,434.0,capozzoli s,702731 5311,italian
3700 w flamingo rd,las vegas,435.0,carnival world,702252 7777,buffets
1 main st,las vegas,436.0,center stage plaza hotel,702386 2512,american
2880 las vegas blvd s,las vegas,437.0,circus circus,702734 0410,buffets
3570 las vegas blvd s,las vegas,438.0,em press court,702731 7888,asian
2411 w sahara ave,las vegas,439.0,feast,702367 2411,buffets
129 e fremont st,las vegas,440.0,golden nugget hotel,702385 7111,buffets
308 w sahara ave,las vegas,441.0,golden steer,702384 4470,steak_houses
129 e fremont st,las vegas,442.0,lillie langtry s,702385 7111,asian
1510 e flamingo rd,las vegas,443.0,mandarin court,702737 1234,asian
3120 las vegas blvd s,las vegas,444.0,margarita s mexican cantina,702794 8200,mexican
5111 w boulder hwy,las vegas,445.0,mary s diner,702454 8073,coffee_shopsdiners
3400 las vegas blvd s,las vegas,446.0,mikado,702791 7111,asian
400 e sahara ave,las vegas,447.0,pamplemousse,702733 2066,continental
3000 las vegas blvd s,las vegas,448.0,ralph s diner,702732 6330,coffee_shopsdiners
3570 las vegas blvd s,las vegas,449.0,the bacchanal,702731 7525,only_in_las_vegas
3713 w sahara ave,las vegas,450.0,venetian,702876 4190,italian
6182 w flamingo rd,las vegas,451.0,viva mercado s,702871 8826,mexican
3900 paradise rd,las vegas,452.0,yolie s,702794 0700,steak_houses
2223 market st,san francisco,453.0,2223,415431 0692,american
1722 sacramento st,san francisco,454.0,acquarello,415567 5432,italian
243 o farrell st,san francisco,455.0,bardelli s,415982 0243,old_san_francisco
2030 union st,san francisco,456.0,betelnut,415929 8855,asian
155 steuart st,san francisco,457.0,bistro roti,415495 6500,french
56 gold st,san francisco,458.0,bix,415433 6300,american
598 fourth st,san francisco,459.0,bizou,415543 2222,french
800 greenwich st,san francisco,460.0,buca giovanni,415776 7766,italian
3347 fillmore st,san francisco,461.0,cafe adriano,415474 4180,italian
2317 chestnut st,san francisco,462.0,cafe marimba,415776 1506,mexicanlatin_americanspanish
625 polk st,san francisco,463.0,california culinary academy,415771 3500,french
1600 powell st,san francisco,464.0,capp s corner,415989 2589,italian
1772 market st,san francisco,465.0,carta,415863 3516,american
4th and howard sts,san francisco,466.0,chevys,415543 8060,mexicanlatin_americanspanish
500 jackson st,san francisco,467.0,cypress club,415296 8555,american
732 broadway,san francisco,468.0,des alpes,415788 9900,french
161 sutter st,san francisco,469.0,faz,415362 0404,greek_and_middle_eastern
1300 battery st,san francisco,470.0,fog city diner,415982 2000,american
market and new montgomery sts,san francisco,471.0,garden court,415546 5011,old_san_francisco
ghirardelli sq,san francisco,472.0,gaylord s,415771 8822,asian
501 geary st,san francisco,473.0,grand cafe hotel monaco,415292 0101,american
bldg a fort mason,san francisco,474.0,greens,415771 6222,vegetarian
4 embarcadero center,san francisco,475.0,harbor village,415781 8833,asian
2100 van ness ave,san francisco,476.0,harris,415673 1888,steak_houses
161 steuart st,san francisco,477.0,harry denton s,415882 1333,american
320 hayes st,san francisco,478.0,hayes street grill,415863 5545,seafood
430 broadway,san francisco,479.0,helmand,415362 0641,greek_and_middle_eastern
5322 geary blvd,san francisco,480.0,hong kong flower lounge,415668 8998,asian
2332 clement st,san francisco,481.0,hong kong villa,415752 8833,asian
1521 hyde st,san francisco,482.0,hyde street bistro,415441 7778,italian
1265 battery st,san francisco,483.0,il fornaio levi s plaza,415986 0100,italian
3345 steiner st,san francisco,484.0,izzy s steak chop house,415563 0487,steak_houses
615 sacramento st,san francisco,485.0,jack s,415986 9854,old_san_francisco
5116 geary blvd,san francisco,486.0,kabuto sushi,415752 5652,asian
600 5th ave,san francisco,487.0,katia s,415668 9292,
221 powell st,san francisco,488.0,kuleto s,415397 7720,italian
2 new montgomery st at market st,san francisco,489.0,kyoya sheraton palace hotel,415546 5000,asian
519 columbus ave,san francisco,490.0,l osteria del forno,415982 1124,italian
453 bush st,san francisco,491.0,le central,415391 2233,french
133 clement st,san francisco,492.0,le soleil,415668 4848,asian
607 front st,san francisco,493.0,macarthur park,415398 5700,american
3226 mission st,san francisco,494.0,manora,415861 6224,asian
470 green st,san francisco,495.0,maykadeh,415362 8286,greek_and_middle_eastern
ghirardelli sq,san francisco,496.0,mccormick kuleto s,415929 1730,seafood
246 mcallister st,san francisco,497.0,millennium,415487 9800,vegetarian
1652 stockton st,san francisco,498.0,moose s,415989 7800,mediterranean
3131 webster st,san francisco,499.0,north india,415931 1556,asian
1 market st,san francisco,500.0,one market,415777 5577,american
1915 fillmore st,san francisco,501.0,oritalia,415346 1333,italian
500 post st,san francisco,502.0,pacific pan pacific hotel,415929 2087,french
640 sacramento st,san francisco,503.0,palio d asti,415395 9800,italian
3011 steiner st,san francisco,504.0,pane e vino,415346 2111,italian
1015 battery st,san francisco,505.0,pastis,415391 2555,french
1944 union st,san francisco,506.0,perry s,415922 9022,american
631 b kearny st,san francisco,507.0,r g lounge,415982 7877,or_415982_3811_asian
558 sacramento st,san francisco,508.0,rubicon,415434 4100,american
1 tillman pl,san francisco,509.0,rumpus,415421 2300,american
1702 post st,san francisco,510.0,sanppo,415346 3486,asian
432 powell st,san francisco,511.0,scala s bistro,415395 8555,italian
108 south park,san francisco,512.0,south park cafe,415495 7275,french
4,san francisco,513.0,splendido embarcadero,415986 3222,mediterranean
150 redwood alley,san francisco,514.0,stars,415861 7827,american
500 van ness ave,san francisco,515.0,stars cafe,415861 4344,american
1240 9th ave,san francisco,516.0,stoyanof s cafe,415664 3664,greek_and_middle_eastern
3300 geary blvd,san francisco,517.0,straits cafe,415668 1783,asian
601 hayes st,san francisco,518.0,suppenkuche,415252 9289,russiangerman
240 california st,san francisco,519.0,tadich grill,415391 2373,seafood
3235 sacramento st,san francisco,520.0,the heights,415474 8890,french
298 gough st,san francisco,521.0,thepin,415863 9335,asian
3148 geary blvd,san francisco,522.0,ton kiang,415752 4440,asian
600 montgomery st,san francisco,523.0,vertigo,415433 7250,mediterranean
2125 fillmore st,san francisco,524.0,vivande porta via,415346 4430,italian
670 golden gate ave,san francisco,525.0,vivande ristorante,415673 9245,italian
2257 chestnut st,san francisco,526.0,world wrapps,415563 9727,american
101 spear st,san francisco,527.0,wu kong,415957 9300,asian
427 battery st,san francisco,528.0,yank sing,415541 4949,asian
1220 9th ave,san francisco,529.0,yaya cuisine,415566 6966,greek_and_middle_eastern
1611 post st,san francisco,530.0,yoyo tsumami bistro,415922 7788,french
2000 hyde st,san francisco,531.0,zarzuela,415346 0800,mexicanlatin_americanspanish
1658 market st,san francisco,532.0,zuni cafe grill,415552 2522,mediterranean
