authors,title,venue,year
c kuok a fu m wong,mining fuzzy association rules in databases,sigmod record,1998.0
a datta k dutta k ramamritham h thomas d vandermeer,dynamic content acceleration a caching solution to enable scalable dynamic web page generation,sigmod conference,2001.0
p seshadri,predator a resource for database research,sigmod record,1998.0
n roussopoulos,materialized views and data warehouses,sigmod record,1998.0
m hernndez r miller l haas,clio a semiautomatic tool for schema mapping,sigmod conference,2001.0
,workshop report on experiences using object data management in the realworld,,1998.0
m fernandez a morishima d suciu,efficient evaluation of xml middleware queries,sigmod conference,2001.0
k candan w li q luo w hsiung d agrawal,enabling dynamic content caching for databasedriven web sites,sigmod conference,2001.0
,report on the second ieee metadata conference metadata 97,,1998.0
w kieling s holland s 0003 t ehm,cosima your smart speaking esalesperson,sigmod conference,2001.0
,chairs message,,1998.0
,information directors message,,1998.0
l yan r miller l haas r fagin,datadriven understanding and refinement of schema mappings,sigmod conference,2001.0
j han,towards online analytical mining in large databases,sigmod record,1998.0
j han j pei g dong k wang,efficient computation of iceberg cubes with complex measures,sigmod conference,2001.0
t maguire,catalog management in websphere commerce suite,sigmod conference,2001.0
m franklin,editors notes,sigmod record,1997.0
a rosenthal,where will object techonology drive data administration,sigmod record,1998.0
v borkar k deshmukh s sarawagi,automatic segmentation of text into structured records,sigmod conference,2001.0
a schuster r wolff,communication efficient distributed mining of association rules,sigmod conference,2001.0
p bernstein,repositories and object oriented databases,sigmod record,1998.0
p koksal s arpinar a dogac,workflow history management,sigmod record,1998.0
c olston b loo j widom,adaptive precision setting for cached approximate values,sigmod conference,2001.0
f manola,towards a richer web object model,sigmod record,1998.0
t lahiri a ganesh r weiss a joshi,faststart quick fault recovery in oracle,sigmod conference,2001.0
,reminiscences on influential papers,,1998.0
p godfrey j gryz c zuzarte,exploiting constraintlike data characterizations in query optimization,sigmod conference,2001.0
f fabret h jacobsen f llirbat j pereira k ross d shasha,filtering algorithms and implementation for very fast publishsubscribe,sigmod conference,2001.0
c chang a acharya a sussman j saltz,t2 a customizable parallel database for multidimensional data,sigmod record,1998.0
d buttler l liu c pu h paques,ominisearch a method for searching dynamic content on the web,sigmod conference,2001.0
,actnet the active database management system manifesto a rulebase of adbms features,sigmod record,1996.0
l brunie h kosch,control strategies for complex relational query processing in shared nothing systems,sigmod record,1996.0
f afrati c li j ullman,generating efficient plans for queries using views,sigmod conference,2001.0
,mpeg7 standard for multimedia databases,,2001.0
c gerlhof a kemper g moerkotte,on the cost of monitoring and reorganization of object bases for clustering,sigmod record,1996.0
c lang a singh,modeling highdimensional index structures using sampling,sigmod conference,2001.0
m norman t zurek p thanisch,much ado about sharednothing,sigmod record,1996.0
,report on first international workshop on realtime database systems,,1996.0
r meseck,data management lasting impact of the wild wild web,sigmod conference,2001.0
p deolasee a katkar a panchbudhe k ramamritham p shenoy,dissemination of dynamic data,sigmod conference,2001.0
w hasan d florescu p valduriez,open issues in parallel query optimization,sigmod record,1996.0
m stonebraker j hellerstein,content integration for ebusiness,sigmod conference,2001.0
a dogac,middle east technical university software research and development center,sigmod record,1996.0
m shah s chandrasekaran,faulttolerant loadbalancing queries in telegraph,sigmod conference,2001.0
a biliris e panagos,the bess object storage manager architecture overview,sigmod record,1996.0
a dandrea p janus,unisqls nextgeneration objectrelational database management system,sigmod record,1996.0
,online query processing,,2001.0
g colliat,olap relational and multidimensional database systems,sigmod record,1996.0
p larson,xml data management go native or spruce up relational systems panel abstract,sigmod conference,2001.0
j widom,editors notes,sigmod record,1996.0
,semantic b2b integration,,2001.0
x qian,scientists called upon to take actions,sigmod record,1996.0
j goldstein p larson,optimizing queries using materialized views a practical scalable solution,sigmod conference,2001.0
ulusoy a buchmann,exploiting main memory dbms features to improve realtime concurrency control protocols,sigmod record,1996.0
l shou j chionh k tan y ruan z huang,review a real time virtual walkthrough system,sigmod conference,2001.0
a bestavros,advances in realtime database systems research,sigmod record,1996.0
i tatarinov z ives a halevy d weld,updating xml,sigmod conference,2001.0
h mistry p roy s sudarshan k ramamritham,materialized view selection and maintenance using multiquery optimization,sigmod conference,2001.0
s andler j hansson j eriksson j mellin m berndtsson b eftring,deeds towards a distributed and active realtime database system,sigmod record,1996.0
k lin s peng,enhancing external consistency in realtime transactions,sigmod record,1996.0
a gionis d gunopulos n koudas,efficient and tunable similar set retrieval,sigmod conference,2001.0
e agichtein l gravano j pavel v sokolova a voskoboynik,snowball a prototype system for extracting relations from large text collections,sigmod conference,2001.0
a silberschatz m stonebraker j ullman,database research achievements and opportunities into the 21st century,sigmod record,1996.0
k kim s cha k kwon,optimizing multidimensional index trees for main memory access,sigmod conference,2001.0
d phatak n sarda s seshadri s sudarshan,database research at the indian institute of technology bombay,sigmod record,1996.0
k ramamritham r sivasankaran j stankovic d towsley m xiong,integrating temporal realtime and active databases,sigmod record,1996.0
k claypool e rundensteiner x zhang h su h kuno w lee g mitchell,gangam a solution to support multiple data models their mappings and maintenance,sigmod conference,2001.0
e bertino s castano e ferrari,securing xml documents the authorx project demonstration,sigmod conference,2001.0
t kuo a mok,realtime database similarity semantics and resource scheduling,sigmod record,1996.0
s babu m garofalakis r rastogi,spartan a modelbased semantic compression system for massive data tables,sigmod conference,2001.0
s son r david b thuraisingham,improving timeliness in realtime secure database systems,sigmod record,1996.0
k lam e chan t kuo s ng d hung,retina a realtime traffic navigation system,sigmod conference,2001.0
b adelberg b kao h garciamolina,overview of the stanford realtime information processor strip,sigmod record,1996.0
m greenwald s khanna,spaceefficient online computation of quantile summaries,sigmod conference,2001.0
d draper a halevy d weld,the nimble integration engine,sigmod conference,2001.0
v tsotras a kumar,temporal database bibliography update,sigmod record,1996.0
c galindolegaria m joshi,orthogonal optimization of subqueries and aggregation,sigmod conference,2001.0
,workshop report the first international workshop on active and realtime database systems artdb95,,1996.0
a deshpande m garofalakis r rastogi,independence is good dependencybased histogram synopses for highdimensional data,sigmod conference,2001.0
r baezayates g navarro,integrating contents and structure in text retrieval,sigmod record,1996.0
e freeman d gelernter,lifestreams a storage model for personal data,sigmod record,1996.0
i lazaridis s mehrotra,progressive approximate aggregate queries with a multiresolution tree structure,sigmod conference,2001.0
a wade,object query standards,sigmod record,1996.0
n bruno s chaudhuri l gravano,stholes a multidimensional workloadaware histogram,sigmod conference,2001.0
s urban s dietrich f golshani,database research at arizona state university,sigmod record,1996.0
c mohan,application servers bornagain tp monitors for the web panel abstract,sigmod conference,2001.0
j gaffney,illustras web datablade module,sigmod record,1996.0
p kalnis d papadias,proxyserver architectures for olap,sigmod conference,2001.0
,mqseries and cics link for lotus notes,sigmod record,1996.0
c yu w meng w wu k liu,efficient and effective metasearch for text databases incorporating linkages among documents,sigmod conference,2001.0
x qian,shutdown budget and funding,sigmod record,1996.0
z chen j gehrke f korn,query optimization in compressed database systems,sigmod conference,2001.0
r kramer r nikolai a koschel c rolker p lockemann a keitel r legat k zirm,wwwudk a webbased environmental metainformation system,sigmod record,1997.0
p bohannon p mcilroy r rastogi,mainmemory index structures with fixedsize partial keys,sigmod conference,2001.0
a tomasic e simon,improving access to environmental data using context information,sigmod record,1997.0
j navas m wynblatt,the network is the database data management for highly distributed systems,sigmod conference,2001.0
d abel k taylor d kuo,integrating modelling systems for environmental management information systems,sigmod record,1997.0
c aggarwal p yu,outlier detection for high dimensional data,sigmod conference,2001.0
f cario p kostamaa a kaufmann j burgess,storhouse metanoia new applications for database storage data warehousing,sigmod conference,2001.0
,environment information systems guest editors foreword,,1997.0
k karadimitriou j tyler,minmax compression methods for medical image databases,sigmod record,1997.0
c zhang j naughton d dewitt q luo g lohman,on supporting containment queries in relational database management systems,sigmod conference,2001.0
s chen p gibbons t mowry,improving index performance through prefetching,sigmod conference,2001.0
p buneman l raschid j ullman,mediator languages a proposal for a standard,sigmod record,1997.0
s agrawal s chaudhuri v narasayya,materialized view and index selection tool for microsoft sql server 2000,sigmod conference,2001.0
k gardels,open gis and online environmental libraries,sigmod record,1997.0
w riekert r mayerfll g wiest,management of data and services in the environmental information system uis of badenwrttemberg,sigmod record,1997.0
a sahuguet,kweelt more than just yet another framework to query xml,sigmod conference,2001.0
y ioannidis,dynamic information visualization,sigmod record,1996.0
l getoor b taskar d koller,selectivity estimation using probabilistic models,sigmod conference,2001.0
c date,a response to r camps article domains relations and religious wars,sigmod record,1996.0
v hristidis n koudas y papakonstantinou,prefer a system for the efficient execution of multiparametric ranked queries,sigmod conference,2001.0
x qian,opportunities in information management and assurance,sigmod record,1997.0
m joshi r agarwal,mining needle in a haystack classifying rare classes via twophase rule induction,sigmod conference,2001.0
k doan c plaisant b shneiderman t bruns,query previews for networked information systems a case study with nasa environmental data,sigmod record,1997.0
p ipeirotis l gravano m sahami,probe count and classify categorizing hidden web databases,sigmod conference,2001.0
r ng a wagner y yin,icebergcube computation with pc clusters,sigmod conference,2001.0
m atkinson l dayns m jordan t printezis s spence,an orthogonally persistent java,sigmod record,1996.0
a doan p domingos a halevy,reconciling schemas of disparate data sources a machinelearning approach,sigmod conference,2001.0
k cox s eick t he,3d geographic network displays,sigmod record,1996.0
e keogh k chakrabarti s mehrotra m pazzani,locally adaptive dimensionality reduction for indexing large time series databases,sigmod conference,2001.0
m hasan a mendelzon d vista,applying database visualization to the world wide web,sigmod record,1996.0
j kennedy k mitchell p barclay,a framework for information visualisation,sigmod record,1996.0
,time series similarity measures and time series indexing,,2001.0
s chawathe t baby j yeo,vqbd exploring semistructured data,sigmod conference,2001.0
m rafanelli a bezenchek l tininini,the aggregate data problem a system for their definition and management,sigmod record,1996.0
,models and languages for describing and discovering eservices,,2001.0
,information visualization guest editors foreword,,1996.0
a whitney d shasha,lots o ticks realtime high performance time series queries on billions of trades and quotes,sigmod conference,2001.0
jennifer widom,editors notes,sigmod record,1996.0
h darwen,in reply to domains relations and religious wars,sigmod record,1996.0
h kriegel a mller m ptke t seidl,spatial data management for computer aided design,sigmod conference,2001.0
a adi d botzer o etzion t yatzkarhaham,monitoring business processes through event correlation based on dependency model,sigmod conference,2001.0
d keim,pixeloriented database visualizations,sigmod record,1996.0
s ameryahia s cho l lakshmanan d srivastava,minimization of tree pattern queries,sigmod conference,2001.0
g santucci l tarantino,to table or not to table a hypertabular answer,sigmod record,1996.0
y wu d agrawal a abbadi,using the golden rule of sampling for query estimation,sigmod conference,2001.0
e tanin r beigel b shneiderman,incremental data structures and algorithms for dynamic query interfaces,sigmod record,1996.0
j gehrke f korn d srivastava,on computing correlated aggregates over continual data streams,sigmod conference,2001.0
c ahlberg,spotfire an information exploration environment,sigmod record,1996.0
a eisenberg,new standard for stored procedures in sql,sigmod record,1996.0
c aggarwal p yu,finding generalized projected clusters in high dimensional spaces,sigmod conference,2000.0
r bhashyam,tcpd the challenges issues and results,sigmod record,1996.0
c palmer c faloutsos,density biased sampling an improved method for data mining and clustering,sigmod conference,2000.0
d lomet,high speed online backup when using logical log operations,sigmod conference,2000.0
,report from the nsf workshop on workflow and process automation in information systems,,1996.0
j sidell,the mariposa distributed database management system,sigmod record,1996.0
w labio j wiener h garciamolina v gorelik,efficient resumption of interrupted warehouse loads,sigmod conference,2000.0
r camps,domains relations and religious wars,sigmod record,1996.0
t catarci g santucci,the prototype of the dare system,sigmod conference,2001.0
j zobel a moffat k ramamohanarao,guidelines for presentation and comparison of indexing techniques,sigmod record,1996.0
e chang t cheng l chang,pbir perceptionbased image retrieval,sigmod conference,2001.0
a rosenthal,will database researchers have any role in data security panel abstract,sigmod conference,2001.0
x qian,new programs at darpa and nsf,sigmod record,1996.0
b nguyen s abiteboul g cobena m preda,monitoring xml data on the web,sigmod conference,2001.0
j widom,editors notes,sigmod record,1996.0
j cho n shivakumar h garciamolina,finding replicated web collections,sigmod conference,2000.0
c medsker m christensen i song,a comparison of three user interfaces to relational microcomputer data bases,sigmod record,1995.0
j oh k hua,efficient and costeffective techniques for browsing and indexing large video databases,sigmod conference,2000.0
,editors farewell notes,,1995.0
s ramaswamy r rastogi k shim,efficient algorithms for mining outliers from large data sets,sigmod conference,2000.0
a dogac m altinel c ozkan i durusoy,implementation aspects of an objectoriented dbms,sigmod record,1995.0
k karlapalem q li c shum,hodfa an architectural framework for homogenizing heterogeneous legacy database,sigmod record,1995.0
a szalay p kunszt a thakar j gray d slutz,designing and mining multiterabyte astronomy archives the sloan digital sky survey,sigmod conference,2000.0
d gunopulos g kollios v tsotras c domeniconi,approximating multidimensional aggregate range queries over real attributes,sigmod conference,2000.0
m hanna,a close look at the ifo data model,sigmod record,1995.0
a chaudhri,an annotated bibliography of benchmarks for object databases,sigmod record,1995.0
s acharya p gibbons v poosala,congressional samples for approximate answering of groupby queries,sigmod conference,2000.0
f waas c galindolegaria,counting enumerating and sampling of execution plans in a costbased query optimizer,sigmod conference,2000.0
u jaeger j freytag,an annotated bibliography on active databases,sigmod record,1995.0
f wattez s cluet v benzaken g ferran c fiegel,benchmarking queries over trees learning the hard truth the hard way,sigmod conference,2000.0
p berra k nwosu b thuraisingham,acm multimedia 94 conference workshop on multimedia database management systems,sigmod record,1995.0
m zaharioudakis r cochrane g lapis h pirahesh m urata,answering complex sql queries using automatic summary tables,sigmod conference,2000.0
t yan h garciamolina,information finding in a digital library the stanford perspective,sigmod record,1995.0
x qian,turmoil at nasa and numerous funding announcements,sigmod record,1995.0
a corral y manolopoulos y theodoridis m vassilakopoulos,closest pair queries in spatial databases,sigmod conference,2000.0
p roy s seshadri s sudarshan s bhobe,efficient and extensible algorithms for multi query optimization,sigmod conference,2000.0
r kimball k strehlo,why decision support fails and how to fix it,sigmod record,1995.0
j zhang,application of oodb and sgml techniques in text database an electronic dictionary system,sigmod record,1995.0
r avnur j hellerstein,eddies continuously adaptive query processing,sigmod conference,2000.0
b lee,normalization in oodb design,sigmod record,1995.0
l popa a deutsch a sahuguet v tannen,a chase too far,sigmod conference,2000.0
s kokkotos e ioannidis t panayiotopoulos c spyropoulos,on the issue of valid times in temporal databases,sigmod record,1995.0
r agrawal e wimmers,a framework for expressing and combining preferences,sigmod conference,2000.0
a gamache n sahraoui,addressing techniques used in database object managers o2 and orion,sigmod record,1995.0
l forlizzi r gting e nardelli m schneider,a data model and data structures for moving objects databases,sigmod conference,2000.0
a dogac c dengi e kilic g zhan f ozcan s nural c evrendilek u halici i arpinar p koksal n kesim s mancuhan,metu interoperable database system,sigmod record,1995.0
h shin b moon s lee,adaptive multistage distance join processing,sigmod conference,2000.0
l liu c pu d buttler w han h paques w tang,aqrtoolkit an adaptive query routing middleware for distributed data intensive systems,sigmod conference,2000.0
w klas a sheth,metadata for digital media introduction to the special issue,sigmod record,1994.0
h wedekind,are the terms version and variant orthogonal to one another a critical assessment of the step standardization,sigmod record,1994.0
m gillmann j weienfels g shegalov w wonner g weikum,a goaldriven autoconfiguration tool for the distributed workflow management system mentorlite,sigmod conference,2000.0
,proceedings of the 2000 acm sigmod international conference on management of data may 1618 2000 dallas texas usa,,2000.0
r jain a hampapur,metadata in video databases,sigmod record,1994.0
k bhm t rakow,metadata for multimedia documents,sigmod record,1994.0
v oria m zsu p iglinski s lin b yao,disima a distributed and interoperable image database system,sigmod conference,2000.0
e riedel c faloutsos g ganger d nagle,data mining on an oltp system nearly for free,sigmod conference,2000.0
d shin a meltzer,a new join algorithm,sigmod record,1994.0
j han j pei y yin,mining frequent patterns without candidate generation,sigmod conference,2000.0
m bertram,data modelling in the large,sigmod record,1994.0
,editors notes and erratum,,1994.0
m lakhamraju r rastogi s seshadri s sudarshan,online reorganization in object databases,sigmod conference,2000.0
p shenoy j haritsa s sudarshan g bhalotia m bawa d shah,turbocharging vertical mining of large databases,sigmod conference,2000.0
y kiyoki t kitagawa t hayama,a metadatabase system for semantic image search by a mathematical model of meaning,sigmod record,1994.0
,trade press news,,1995.0
h hsiao i narang,dlfm a transactional resource manager,sigmod conference,2000.0
g schlageter t berkel e heuel s mittrach a scherer w wilkes,the database group at university of hagen fernuniversitaet,sigmod record,1995.0
r ross,expressing business rules,sigmod conference,2000.0
a jhingran,anatomy of a real ecommerce system,sigmod conference,2000.0
,calls for papers and announcements,sigmod record,1995.0
a weininger,handling very large databases with informix extended parallel server,sigmod conference,2000.0
x qian,political winds change direction again,sigmod record,1995.0
s chen y diao h lu z tian,fact a learning based web query processing system,sigmod conference,2000.0
j jannink,implementing deletion in btrees,sigmod record,1995.0
s ng s hung,multigranularity locking in multiple job classes transaction processing system,sigmod record,1995.0
j wang x wang d shasha b shapiro k zhang x zheng q ma z weinberg,an approximate search engine for structural databases,sigmod conference,2000.0
m jarke c quix d calvanese m lenzerini e franconi s ligoudistianos p vassiliadis y vassiliou,concept based design of data warehouses the dwq demonstrators,sigmod conference,2000.0
m jarke,information systems research at rwth aachen,sigmod record,1995.0
h galhardas d florescu d shasha e simon,ajax an extensible data cleaning tool,sigmod conference,2000.0
h darwen c date,the third manifesto,sigmod record,1995.0
w litwin t schwarz,lhrs a highavailability scalable distributed data structure using reed solomon codes,sigmod conference,2000.0
t sellis y vassiliou,the database group at national technical university of athens ntua,sigmod record,1995.0
x qian,opportunities at arpa nsf and elsewhere,sigmod record,1995.0
r goldman j widom,wsqdsq a practical approach for combined querying of databases and the web,sigmod conference,2000.0
s englert r glasstone w hasan,parallelism and its price a case study of nonstop sqlmp,sigmod record,1995.0
m rodriguezmartinez n roussopoulos,mocha a selfextensible database middleware system for distributed data sources,sigmod conference,2000.0
m venkatrao m pizzo,sqlcli a new binding style for sql,sigmod record,1995.0
m lee m kitsuregawa b ooi k tan a mondal,towards selftuning data placement in parallel database systems,sigmod conference,2000.0
,report on the 1995 international workshop on temporal databases,,1995.0
a labrinidis n roussopoulos,webview materialization,sigmod conference,2000.0
m bhlen,temporal database system implementations,sigmod record,1995.0
j chen d dewitt f tian y wang,niagaracq a scalable continuous query system for internet databases,sigmod conference,2000.0
o wolfson a sistla s dao k narayanan r raj,view maintenance in mobile computing,sigmod record,1995.0
t barclay d slutz j gray,terraserver a spatial data warehouse,sigmod conference,2000.0
s saltenis c jensen s leutenegger m lopez,indexing the positions of continuously moving objects,sigmod conference,2000.0
r alonso y chang l iftode v mani,managing video data in a mobile environment,sigmod record,1995.0
k salem k beyer r cochrane b lindsay,how to roll a join asynchronous incremental view maintenance,sigmod conference,2000.0
m dunham a helal,mobile computing and databases anything new,sigmod record,1995.0
a elmagarmid j jing t furukawa,wireless clientserver computing for personal information services and applications,sigmod record,1995.0
v christophides s cluet j simon,on wrapping query languages and efficient xml integration,sigmod conference,2000.0
p drew b hamidzadeh k karlapalem a kean d lee q li f lochovsky c shum b wthrich,data and knowledge base research at hong kong university of science and technology,sigmod record,1995.0
m breunig h kriegel r ng j sander,lof identifying densitybased local outliers,sigmod conference,2000.0
j cho h garciamolina,synchronizing a database to improve freshness,sigmod conference,2000.0
m dunham a helal,from the guest editors special section on data management issues in mobile computing,,1995.0
b bhargava m annamalai e pitoura,digital library services in mobile computing,sigmod record,1995.0
c faloutsos b seeger a traina c jr,spatial join selectivity using power laws,sigmod conference,2000.0
f korn s muthukrishnan,influence sets based on reverse nearest neighbor queries,sigmod conference,2000.0
ulusoy,an annotated bibliography on realtime database systems,sigmod record,1995.0
h liefke d suciu,xmill an efficient compressor for xml data,sigmod conference,2000.0
j widom,editors notes,sigmod record,1995.0
b noble m satyanarayanan,a research status report on adaptation for mobile data access,sigmod record,1995.0
m garofalakis a gionis r rastogi s seshadri k shim,xtract a system for extracting document type descriptors from xml documents,sigmod conference,2000.0
j fong,mapping extended entity relationship model to object modeling technique,sigmod record,1995.0
a nori,application architecture 2tier or 3tier what is dbmss role panel abstract,sigmod conference,2000.0
j hellerstein,index research forest or trees panel abstract,sigmod conference,2000.0
p oneil g graefe,multitable joins through bitmapped join indices,sigmod record,1995.0
r maelbrancke h olivie,optimizing jan janninks implementation of btree deletion,sigmod record,1995.0
r ramakrishnan,from browsing to interacting dbms support for responive websites abstract,sigmod conference,2000.0
s abiteboul r hull,response to a close look at the ifo data model,sigmod record,1995.0
c ordonez p cereghini,sqlem fast clustering in sql using the em algorithm,sigmod conference,2000.0
,tutorial data access,,2000.0
j richey,condition handling in sql persistent stored modules,sigmod record,1995.0
a rosenthal l seligman c mccollum b blaustein b thuraisingham e lafferty,data management research at the mitre corporation,sigmod record,1995.0
,data management in ecommerce the good the bad and the ugly,,2000.0
,tutorial designing an ultra highly available dbms,,2000.0
n rishe w sun d barton y deng c orji m alexopoulos l loureiro c 0002 m sanchez a shaposhnikov,florida international university high performance database research center,sigmod record,1995.0
e pitoura b bhargava,a framework for providing consistent and recoverable agentbased access to heterogeneous in mobile databases,sigmod record,1995.0
m carey,on xml and databases wheres the beef panel abstract,sigmod conference,2000.0
j rao k ross,making btrees cache conscious in main memory,sigmod conference,2000.0
l wong,an introduction to remys fast polymorphic record projection,sigmod record,1995.0
c lee c chen h lu,an aspect of query optimization in multidatabase systems extended abstract,sigmod record,1995.0
r agrawal r srikant,privacypreserving data mining,sigmod conference,2000.0
d doan n paton a kilgour,design and user testing of a multiparadigm query interface to an objectoriented database,sigmod record,1995.0
h jagadish n koudas d srivastava,on effective multidimensional indexing for strings,sigmod conference,2000.0
j widom,editors notes,sigmod record,1995.0
y chang l bergman v castelli c li m lo j smith,the onion technique indexing for linear optimization queries,sigmod conference,2000.0
c chen m cochinwala c petrone m pucci s samtani p santa m mesiti,internet traffic warehouse,sigmod conference,2000.0
,calls for papers and announcements,sigmod record,1995.0
m annamalai r chopra s defazio,indexing images in oracle8i,sigmod conference,2000.0
r finkelstein,the new middleware,sigmod record,1995.0
d stacey,replication db2 oracle or sybase,sigmod record,1995.0
n ponnekanti h kodavalla,online index rebuild,sigmod conference,2000.0
,trade press news,,1995.0
w lehner r sidle h pirahesh r cochrane,maintenance of automatic summary tables,sigmod conference,2000.0
,trade press news,,1994.0
c goh b ooi s bressan k tan,integrating replacement policies in storm an extensible approach,sigmod conference,2000.0
m winslett,progress on hpcc and nii,sigmod record,1994.0
p revesz r chen p kanjamala y li y liu y wang,the mlpqgis constraint database system,sigmod conference,2000.0
k chakrabarti s mehrotra,efficient concurrency control in multidimensional access methods,sigmod conference,1999.0
y tao j sun d papadias,analysis of predictive spatiotemporal queries,acm trans database syst,2003.0
l lakshmanan c leung r ng,efficient dynamic mining of constrained frequent sets,acm trans database syst,2003.0
c aggarwal c procopiuc j wolf p yu j park,fast algorithms for projected clustering,sigmod conference,1999.0
w hsu m lee k goh,image mining in iris integrated retinal information system,sigmod conference,2000.0
j cho h garciamolina,effective page refresh policies for web crawlers,acm trans database syst,2003.0
j chomicki,preference formulas in relational queries,acm trans database syst,2003.0
m rodriguezmartinez n roussopoulos j mcgann s kelley v katz z song j jj,mocha a database middleware system featuring automatic deployment of applicationspecific functionality,sigmod conference,2000.0
j yang h ying j widom,tip a temporal extension to informix,sigmod conference,2000.0
y diao m altinel m franklin h zhang p fischer,path sharing and predicate evaluation for highperformance xml filtering,acm trans database syst,2003.0
c li l bergman v castelli j smith,spire a progressive contentbased spatial image retrieval engine,sigmod conference,2000.0
g hjaltason h samet,indexdriven similarity search in metric spaces,acm trans database syst,2003.0
p merialdo p atzeni m magnante g mecca m pecorone,homer a modelbased case tool for dataintensive web sites,sigmod conference,2000.0
w dreyer a dittrich d schmidt,research perspectives for time series management systems,sigmod record,1994.0
o daz a jaime n paton g alqaimari,supporting dynamic displays using active rules,sigmod record,1994.0
j bercken j dittrich b seeger,javaxxxl a prototype for a library of query processing algorithms,sigmod conference,2000.0
r snodgrass,overview of the special section on temporal database infrastructure,sigmod record,1994.0
s sarawagi g sathe,i3 intelligent interactive investigaton of olap data cubes,sigmod conference,2000.0
j pei r mao k hu h zhu,towards data mining benchmarking a testbed for performance study of frequent pattern mining,sigmod conference,2000.0
,towards an infrastructure for temporal databases report of an invitational arpansf workshop,,1994.0
,tutorial ldap directory services just another database application,,2000.0
r snodgrass i ahn g ariav d batory j clifford c dyreson r elmasri f grandi c jensen w kfer n kline k kulkarni t leung n lorentzos j roddick a segev m soo s sripada,tsql2 language specification,sigmod record,1994.0
a loeffen,text databases a survey of text models and systems,sigmod record,1994.0
z ives a levy j madhavan r pottinger s saroiu i tatarinov s betzler q chen e jaslikowska j su w yeung,selforganizing data sharing communities with sagres,sigmod conference,2000.0
m norrie s blott h schek g weikum,the database research group at eth zurich,sigmod record,1994.0
l fegaras c srinivasan a rajendran d maier,lambdadb an odmgbased objectoriented dbms,sigmod conference,2000.0
l gallagher,influencing database language standards,sigmod record,1994.0
e rundensteiner k claypool l chen h su k oenoki,serfing the web web site management made easy,sigmod conference,2000.0
r yerneni c li h garciamolina j ullman,computing capabilities of mediators,sigmod conference,1999.0
w may b ludscher,understanding the global semantics of referential actions using logic rules,acm trans database syst,2002.0
d keim,efficient geometrybased similarity search of 3d spatial databases,sigmod conference,1999.0
s melnik h garciamolina,adaptive algorithms for set containment joins,acm trans database syst,2003.0
h davulcu j freire m kifer i ramakrishnan,a layered architecture for querying dynamic web content,sigmod conference,1999.0
,information management for genome level bioinformatics,,2001.0
m fernandez y kadiyska d suciu a morishima w tan,silkroute a framework for publishing relational data in xml,acm trans database syst,2002.0
p ciaccia m patella,searching in metric spaces with userdefined and approximate distances,acm trans database syst,2002.0
j callan m connell a du,automatic discovery of language models for text databases,sigmod conference,1999.0
k beyer r ramakrishnan,bottomup computation of sparse and iceberg cubes,sigmod conference,1999.0
p gibbons y matias v poosala,fast incremental maintenance of approximate histograms,acm trans database syst,2002.0
t mayr p seshadri,clientsite query extensions,sigmod conference,1999.0
t calders r ng j wijsen,searching for dependencies at multiple abstraction levels,acm trans database syst,2002.0
c aggarwal j wolf p yu,a new method for similarity indexing of market basket data,sigmod conference,1999.0
k chakrabarti e keogh s mehrotra m pazzani,locally adaptive dimensionality reduction for indexing large time series databases,acm trans database syst,2002.0
y tao d papadias j zhang,cost models for overlapping and multiversion structures,acm trans database syst,2002.0
y kotidis n roussopoulos,dynamat a dynamic view management system for data warehouses,sigmod conference,1999.0
c chan y ioannidis,an efficient bitmap encoding scheme for selection queries,sigmod conference,1999.0
e jacox h samet,iterative spatial join,acm trans database syst,2003.0
j vitter m wang,approximate computation of multidimensional aggregates of sparse data using wavelets,sigmod conference,1999.0
d wijesekera s jajodia f parisipresicce hagstrm,removing permissions in the flexible authorization framework,acm trans database syst,2003.0
z ives d florescu m friedman a levy d weld,an adaptive query execution system for data integration,sigmod conference,1999.0
y tao d papadias,spatial queries in dynamic environments,acm trans database syst,2003.0
b blohsfeld d korus b seeger,a comparison of selectivity estimators for range queries on metric attributes,sigmod conference,1999.0
r jimnezperis m patiomartnez g alonso b kemme,are quorums an alternative for data replication,acm trans database syst,2003.0
h jamil,belief reasoning in mls deductive databases,sigmod conference,1999.0
j lechtenbrger g vossen,on the computation of relational view complements,acm trans database syst,2003.0
d gunopulos r khardon h mannila s saluja h toivonen r sharm,discovering all most specific sentences,acm trans database syst,2003.0
j shanmugasundaram a nithrakashyap r sivasankaran k ramamritham,efficient concurrency control for broadcast environments,sigmod conference,1999.0
r karp s shenker c papadimitriou,a simple algorithm for finding frequent elements in streams and bags,acm trans database syst,2003.0
j gehrke v ganti r ramakrishnan w loh,boatoptimistic decision tree construction,sigmod conference,1999.0
s adali m sapino v subrahmanian,a multimedia presentation algebra,sigmod conference,1999.0
d beneventano s bergamaschi c sartori,description logics for semantic query optimization in objectoriented database systems,acm trans database syst,2003.0
a segev,editors notes,sigmod record,1994.0
i cruz k james,a usercentered interface for querying distributed multimedia databases,sigmod conference,1999.0
nodgrass i ahn g ariav d batory j clifford c dyreson r elmasri f grandi c jensen w kfer n kline k kulkarni t leung n lorentzos j roddick a segev m soo s sripada,a tsql2 tutorial,sigmod record,1994.0
n mamoulis d papadias,integration of spatial join algorithms for processing multiple inputs,sigmod conference,1999.0
