author_1,author_2,author_3,author_4,title,venue,year
yannis theodoridis,mario a nascimento,,,generating spatiotemporal datasets on the www,acm sigmod record,2000.0
eliseo clementini,paolino di felice,,,spatial operators,acm sigmod record,2000.0
ron musick,terence critchlow,,,practical lessons in supporting largescale computational science,acm sigmod record,1999.0
kaippallimalil j jacob,dennis shasha,,,fintime a financial time series benchmark,acm sigmod record,1999.0
panos vassiliadis,timos sellis,,,a survey of logical models for olap databases,acm sigmod record,1999.0
andrew eisenberg,jim melton,,,sqlj part 1 sql routines using the java programming language,acm sigmod record,1999.0
donald kossmann,konrad stocker,,,iterative dynamic programming a new class of query optimization algorithms,acm transactions on database systems tods,2000.0
ralf hartmut g252ting,michael h b246hlen,martin erwig,christian s jensen,a foundation for representing and querying moving objects,acm transactions on database systems tods,2000.0
christian b246hm,,,,a cost model for query processing in high dimensional data spaces,acm transactions on database systems tods,2000.0
barbara staudt lerner,,,,a model for compound type changes encountered in schema evolution,acm transactions on database systems tods,2000.0
karl aberer,,,,book reviews,acm sigmod record,2002.0
karl aberer,,,,book review column,acm sigmod record,2002.0
maria halkidi,yannis batistakis,michalis vazirgiannis,,clustering validity checking methods part ii,acm sigmod record,2002.0
shi ming huang,irene kwan,chih he li,,a study on the management of semantic transaction for efficient data retrieval,acm sigmod record,2002.0
leonid libkin,,,,database principles,acm sigmod record,2002.0
frank neven,,,,automata theory for xml researchers,acm sigmod record,2002.0
bart kuijpers,,,,introduction to constraint databases,acm sigmod record,2002.0
gerhard weikum,,,,foundations of statistical natural language processing,acm sigmod record,2002.0
len seligman,,,,industry perspectives,acm sigmod record,2002.0
sam s lightstone,guy lohman,danny zilio,,toward autonomic computing with db2 universal database,acm sigmod record,2002.0
marianne winslett,,,,distinguished db profiles,acm sigmod record,2002.0
marianne winslett,,,,hector garciamolina speaks out regarding startup how life is getting harde delta paper cs in mexic life as a department chai and more,acm sigmod record,2002.0
jim melton,,,,standards,acm sigmod record,2002.0
jim melton,jan eike michels,vanja josifovski,krishna kulkarni,sqlmed a status report,acm sigmod record,2002.0
ken ross,,,,influential papers,acm sigmod record,2002.0
kenneth a ross,theodore johnson,richard thomas snodgrass,,reminiscences on influential papers,acm sigmod record,2002.0
nicolas bruno,surajit chaudhuri,luis gravano,,topk selection queries over relational databases mapping strategies and performance evaluation,acm transactions on database systems tods,2002.0
ronald fagin,,,,combining fuzzy information an overview,acm sigmod record,2002.0
leonid libkin,,,,database principles,acm sigmod record,2002.0
andrew eisenberg,jim melton,,,sqlxml is making good progress,acm sigmod record,2002.0
toon calders,raymond t ng,jef wijsen,,searching for dependencies at multiple abstraction levels,acm transactions on database systems tods,2002.0
won kim,,,,editorial directons,acm transactions on database systems tods,1995.0
won kim,,,,editorial charter and scope,acm transactions on database systems tods,1995.0
kaushik chakrabarti,eamonn keogh,sharad mehrotra,michael pazzani,locally adaptive dimensionality reduction for indexing large time series databases,acm transactions on database systems tods,2002.0
paolo ciaccia,marco patella,,,searching in metric spaces with userdefined and approximate distances,acm transactions on database systems tods,2002.0
wolfgang may,bertram lud228scher,,,understanding the global semantics of referential actions using logic rules,acm transactions on database systems tods,2002.0
yufei tao,dimitris papadias,jun zhang,,cost models for overlapping and multiversion structures,acm transactions on database systems tods,2002.0
phillip b gibbons,yossi matias,viswanath poosala,,fast incremental maintenance of approximate histograms,acm transactions on database systems tods,2002.0
yong yao,johannes gehrke,,,the cougar approach to innetwork query processing in sensor networks,acm sigmod record,2002.0
avigdor gal,,,,articles,acm sigmod record,2002.0
joachim hammer,,,,treasurers message,acm sigmod record,2002.0
mary fern225ndez,yana kadiyska,dan suciu,atsuyuki morishima,silkroute a framework for publishing relational data in xml,acm transactions on database systems tods,2002.0
luc bouganim,maria claudia cavalcanti,fran231oise fabret,maria luiza campos,the ecobase project database and web technologies for environmental information systems,acm sigmod record,2001.0
nam huyn,,,,data analysis and mining in the life sciences,acm sigmod record,2001.0
ken ross,,,,influential papers,acm sigmod record,2001.0
kenneth a ross,,,,reminiscences on influential papers,acm sigmod record,2001.0
shivnath babu,jennifer widom,,,continuous queries over data streams,acm sigmod record,2001.0
alexandros labrinidis,,,,career forum,acm sigmod record,2001.0
alexandros labrinidis,alberto o mendelzon,,,careerenhancing services at sigmod online,acm sigmod record,2001.0
kenneth a ross,,,,reminiscences on influential papers,acm sigmod record,2001.0
daniel barbar225,,,,special section on data mining for intrusion detection and threat analysis,acm sigmod record,2001.0
daniel barbar225,,,,special issue on data mining for intrusion detection and threat analysis,acm sigmod record,2001.0
salvatore j stolfo,wenke lee,philip k chan,wei fan,data miningbased intrusion detectors an overview of the columbia ids project,acm sigmod record,2001.0
daniel barbar225,julia couto,sushil jajodia,ningning wu,adam a testbed for exploring the use of data mining in intrusion detection,acm sigmod record,2001.0
jo227o b d cabrera,lundy lewis,raman k mehra,,detection and classification of intrusions and faults using sequences of system calls,acm sigmod record,2001.0
wenke lee,wei fan,,,mining system audit data opportunities and challenges,acm sigmod record,2001.0
y252cel saygin,vassilios s verykios,chris clifton,,using unknowns to prevent discovery of association rules,acm sigmod record,2001.0
o de vel,a anderson,m corney,g mohay,mining email content for author identification forensics,acm sigmod record,2001.0
zachary g ives,qiong luo,,,interviewing during a tight job market,acm sigmod record,2002.0
alexandros labrinidis,,,,career forum,acm sigmod record,2002.0
m winslett,k chang,a doan,j han,database research at the university of illinois at urbanachampaign,acm sigmod record,2002.0
amit sheth,,,,research centers,acm sigmod record,2002.0
kenneth a ross,,,,reminiscences on influential papers,acm sigmod record,2000.0
isabel cruz,ashfaq khokhar,bing liu,prasad sistla,research activities in database management and information retrieval at university of illinois at chicago,acm sigmod record,2002.0
peter fankhauser,,,,xquery formal semantics state and challenges,acm sigmod record,2001.0
karl aberer,,,,advanced xml data processing guest editors introduction,acm sigmod record,2001.0
albrecht schmidt,florian waas,martin kersten,daniela florescu,why and how to benchmark xml databases,acm sigmod record,2001.0
jayavel shanmugasundaram,eugene shekita,jerry kiernan,rajasekar krishnamurthy,a general technique for querying xml documents using a relational database system,acm sigmod record,2001.0
dan suciu,,,,on database theory and xml,acm sigmod record,2001.0
wei han,david buttler,calton pu,,wrapping web data into xml,acm sigmod record,2001.0
bertram lud228scher,richard marciano,reagan moore,,preservation of digital data with selfvalidatin selfinstantiating knowledgebased archives,acm sigmod record,2001.0
shu yao chien,vassilis j tsotras,carlo zaniolo,,xml document versioning,acm sigmod record,2001.0
david lomet,,,,the evolution of effective btree page organization and techniques a personal account,acm sigmod record,2001.0
avigdor gal,,,,articles,acm sigmod record,2001.0
jayen vaghani,kotagiri ramamohanarao,david b kemp,zoltan somogyi,the aditi deductive database system,the vldb journal mdash the international journal on very large data bases,1994.0
byung suk lee,gio wiederhold,,,efficiently instantiating viewobjects from remote relational databases,the vldb journal mdash the international journal on very large data bases,1994.0
raghu ramakrishnan,divesh srivastava,s sudarshan,praveen seshadri,the coral deductive system,the vldb journal mdash the international journal on very large data bases,1994.0
werner kie223ling,helmut schmidt,werner strau223,gerhard d252nzinger,declare and sds early efforts to commercialize deductive database technology,the vldb journal mdash the international journal on very large data bases,1994.0
kotagiri ramamohanarao,james harland,,,an introduction to deductive database languages and systems,the vldb journal mdash the international journal on very large data bases,1994.0
marcia a derr,shinichi morishita,geoffrey phipps,,the gluenail deductive database system desig implementatio and evaluation,the vldb journal mdash the international journal on very large data bases,1994.0
edward sciore,,,,versioning and configuration management in an objectoriented data model,the vldb journal mdash the international journal on very large data bases,1994.0
k ramamohanarao,,,,special issue on prototypes of deductive database systems,the vldb journal mdash the international journal on very large data bases,1994.0
dimitris papadias,timos sellis,,,qualitative representation of spatial knowledge in twodimensional space,the vldb journal mdash the international journal on very large data bases,1994.0
king ip lin,h v jagadish,christos faloutsos,,the tvtree an index structure for highdimensional data,the vldb journal mdash the international journal on very large data bases,1994.0
peter baumann,,,,management of multidimensional discrete data,the vldb journal mdash the international journal on very large data bases,1994.0
wesley w chu,ion t ieong,ricky k taira,,a semantic modeling approach for image retrieval by content,the vldb journal mdash the international journal on very large data bases,1994.0
h j schek,,,,special issue on spatial database systems,the vldb journal mdash the international journal on very large data bases,1994.0
ralf hartmut g252ting,,,,an introduction to spatial database systems,the vldb journal mdash the international journal on very large data bases,1994.0
daniel barbar225mill225,hector garciamolina,,,the demarcation protocol a technique for maintaining constraints in distributed database systems,the vldb journal mdash the international journal on very large data bases,1994.0
elisa bertino,,,,index configuration in objectoriented databases,the vldb journal mdash the international journal on very large data bases,1994.0
jim melton,andrew eisenberg,,,sql multimedia and application packages sqlmm,acm sigmod record,2001.0
andrew eisenberg,,,,standards,acm sigmod record,2001.0
luca cardelli,,,,describing semistructured data,acm sigmod record,2001.0
leonid libkin,,,,database principles,acm sigmod record,2001.0
h v jagadish,,,,information warfare and security,acm sigmod record,2001.0
marc h scholl,,,,transactional information systems theor algorithm and the practice of concurrency control and recovery,acm sigmod record,2001.0
karl aberer,,,,book review column,acm sigmod record,2001.0
karl aberer,,,,book reviews,acm sigmod record,2001.0
nabil kamel,ping wu,stanley y w su,,a patternbased object calculus,the vldb journal mdash the international journal on very large data bases,1994.0
kyu young whang,sang wook kim,gio wiederhold,,dynamic maintenance of data distribution for selectivity estimation,the vldb journal mdash the international journal on very large data bases,1994.0
dimitrios georgakopoulos,marek rusinkiewicz,witold litwin,,chronological scheduling of transactions with temporal dependencies,the vldb journal mdash the international journal on very large data bases,1994.0
amit sheth,john miller,krys kochut,budak arpinar,research in multiorganizational processes and semantic information brokering at the lsdis lab,acm sigmod record,2001.0
amit sheth,,,,research centers,acm sigmod record,2001.0
u287ur 199etintemel,,,,on the academic interview circuit an endtoend discussion,acm sigmod record,2001.0
alexandros labrinidis,,,,career forum,acm sigmod record,2001.0
mehul a shah,michael j franklin,samuel madden,joseph m hellerstein,java support for dataintensive systems experiences building the telegraph dataflow system,acm sigmod record,2001.0
robert meersman,amit sheth,,,special section on semantic web and data management,acm sigmod record,2002.0
peter spyns,robert meersman,mustafa jarrar,,data modelling versus ontology engineering,acm sigmod record,2002.0
york sure,steffen staab,rudi studer,,methodology for development and employment of ontology based knowledge management applications,acm sigmod record,2002.0
christoph bussler,dieter fensel,alexander maedche,,a conceptual architecture for semantic web enabled web services,acm sigmod record,2002.0
daniel barbar225,tomasz imieli324ski,,,sleepers and workaholics caching strategies in mobile environments extended version,the vldb journal mdash the international journal on very large data bases,1995.0
chris nyberg,tom barclay,zarka cvetanovic,jim gray,alphasort a cachesensitive parallel external sort,the vldb journal mdash the international journal on very large data bases,1995.0
seth j white,david j dewitt,,,quickstore a high performance mapped object store,the vldb journal mdash the international journal on very large data bases,1995.0
arun swami,k bernhard schiefer,,,estimating page fetches for index scans with finite lru buffers,the vldb journal mdash the international journal on very large data bases,1995.0
w i grosky,d v sreenath,f fotouhi,,emergent semantics and the multimedia semantic web,acm sigmod record,2002.0
david buttler,matthew coleman,terence critchlow,renato fileto,querying multiple bioinformatics information sources can semantic web research help,acm sigmod record,2002.0
carole goble,david de roure,,,the grid an application of the semantic web,acm sigmod record,2002.0
karl aberer,,,,book reviews,acm sigmod record,2002.0
tim finin,anupam joshi,,,agent trus and information access on the semantic web,acm sigmod record,2002.0
e michael maximilien,munindar p singh,,,conceptual model of web service reputation,acm sigmod record,2002.0
kemafor anyanwu,amit sheth,,,the 961 operator discovering and ranking associations on the semantic web,acm sigmod record,2002.0
karl aberer,philippe cudr233mauroux,manfred hauswirth,,a framework for semantic gossiping,acm sigmod record,2002.0
ernest teniente,antoni oliv233,,,updating knowledge bases while maintaining their consistency,the vldb journal mdash the international journal on very large data bases,1995.0
joan peckham,bonnie mackellar,michael doherty,,data model for extensible support of explicit relationships in design databases,the vldb journal mdash the international journal on very large data bases,1995.0
marjorie templeton,herbert henley,edward maros,darrel j van buer,interviso dealing with the complexity of federated database access,the vldb journal mdash the international journal on very large data bases,1995.0
ralf hartmut g252ting,markus schneider,,,realmbased spatial data types the rose algebra,the vldb journal mdash the international journal on very large data bases,1995.0
chris clifton,hector garciamolina,david bloom,,hyperfile a data and query model for documents,the vldb journal mdash the international journal on very large data bases,1995.0
panos constantopoulos,matthias jarke,john mylopoulos,yannis vassiliou,the software information base a server for reuse,the vldb journal mdash the international journal on very large data bases,1995.0
asit dan,philip s yu,jen yao chung,,characterization of database access pattern for analytic prediction of buffer hit probability,the vldb journal mdash the international journal on very large data bases,1995.0
divyakant agrawal,amr el abbadi,richard jeffers,lijing lin,ordered shared locks for realtime databases,the vldb journal mdash the international journal on very large data bases,1995.0
gad m landau,jeanette p schmidt,vassilis j tsotras,,historical queries along multiple lines of time evolution,the vldb journal mdash the international journal on very large data bases,1995.0
alfons kemper,donald kossmann,,,adaptable pointer swizzling strategies in object bases desig realizatio and quantitative analysis,the vldb journal mdash the international journal on very large data bases,1995.0
stanley y w su,,,,special systemoriented section the best of sigmod 94,the vldb journal mdash the international journal on very large data bases,1995.0
serge abiteboul,catriel beeri,,,the power of languages for the manipulation of complex values,the vldb journal mdash the international journal on very large data bases,1995.0
antonio albano,giorgio ghelli,renzo orsini,,fibonacci a programming language for object databases,the vldb journal mdash the international journal on very large data bases,1995.0
malcolm atkinson,ronald morrison,,,orthogonally persistent object systems,the vldb journal mdash the international journal on very large data bases,1995.0
v233ronique benzaken,anne doucet,,,themis a database programming language handling integrity constraints,the vldb journal mdash the international journal on very large data bases,1995.0
m tamer 214zsu,randal peters,duane szafron,boman irani,tigukat a uniform behavioral objectbase management system,the vldb journal mdash the international journal on very large data bases,1995.0
stratis d viglas,jeffrey f naughton,,,ratebased query optimization for streaming information sources,international conference on management of data,2002.0
panos kalnis,wee siong ng,beng chin ooi,dimitris papadias,an adaptive peertopeer network for distributed caching of olap results,international conference on management of data,2002.0
mirek riedewald,divyakant agrawal,amr el abbadi,,efficient integration and aggregation of historical information,international conference on management of data,2002.0
peter buneman,sanjeev khanna,keishi tajima,wangchiew tan,archiving scientific data,international conference on management of data,2002.0
vladimir zadorozhny,louiqa raschid,maria esther vidal,tolga urhan,efficient evaluation of queries in a mediator for websources,international conference on management of data,2002.0
chris olston,jennifer widom,,,besteffort cache synchronization with source cooperation,international conference on management of data,2002.0
alin dobra,minos garofalakis,johannes gehrke,rajeev rastogi,processing complex aggregate queries over data streams,international conference on management of data,2002.0
samuel madden,mehul shah,joseph m hellerstein,vijayshankar raman,continuously adaptive continuous queries over streams,international conference on management of data,2002.0
avigdor gal,,,,reports,acm sigmod record,2002.0
kenneth a ross,,,,reminiscences on influential papers,acm sigmod record,2002.0
ken ross,,,,influential papers,acm sigmod record,2002.0
michael stonebraker,,,,too much middleware,acm sigmod record,2002.0
richard thomas snodgrass,,,,why i like working in academia,acm sigmod record,2002.0
alexandros labrinidis,,,,career forum,acm sigmod record,2002.0
albertas caplinskas,johann eder,olegas vasilecas,,advances in databases and information systems report of 5th east european conference adbis2001,acm sigmod record,2002.0
carole goble,brian read,,,report on the 18th british national conference on databases bncod,acm sigmod record,2002.0
michael dertouzos,,,,what will be,acm sigmod record,2002.0
marianne winslett,,,,distinguished database profiles,acm sigmod record,2002.0
philip m lewis,arthur bernstein,michael kifer,,databases and transaction processing an applicationoriented approach,acm sigmod record,2002.0
ian h witten,eibe frank,,,data mining practical machine learning tools and techniques with java implementations,acm sigmod record,2002.0
dan suciu,,,,the xml typechecking problem,acm sigmod record,2002.0
len seligman,,,,industry perspective,acm sigmod record,2002.0
marianne winslett,,,,avi silberschatz speaks out on academia versus industrial lab startup feve database phd qualit the future of data mining as a research are ip issue how he wouldnt change a thin and more,acm sigmod record,2002.0
leonid libkin,,,,database principles,acm sigmod record,2002.0
christoph quix,mareike schoop,manfred jeusfeld,,business data management for businesstobusiness electronic commerce,acm sigmod record,2002.0
riza cenk erdur,o287uz dikenelli,,,a multiagent system infrastructure for software component marketplace an ontological perspective,acm sigmod record,2002.0
hyoungdo kim,,,,conceptual modeling and specification generation for b2b business processes based on ebxml,acm sigmod record,2002.0
zhan cui,dean jones,paul obrien,,semantic b2b integration issues in ontologybased approaches,acm sigmod record,2002.0
karl aberer,,,,book reviews,acm sigmod record,2002.0
karl aberer,,,,book review column,acm sigmod record,2002.0
michael o ball,meng ma,louiqa raschid,zhengying zhao,supply chain infrastructures system integration and information sharing,acm sigmod record,2002.0
christoph bussler,,,,the role of b2b engines in b2b integration architectures,acm sigmod record,2002.0
haixun wang,wei wang,jiong yang,philip s yu,clustering by pattern similarity in large data sets,international conference on management of data,2002.0
yangsae moon,kyuyoung whang,wookshin han,,general match a subsequence matching method in timeseries databases based on generalized windows,international conference on management of data,2002.0
cecilia m procopiuc,michael jones,pankaj k agarwal,t m murali,a monte carlo algorithm for fast projective clustering,international conference on management of data,2002.0
jiong yang,wei wang,philip s yu,jiawei han,mining long sequential patterns in a noisy environment,international conference on management of data,2002.0
yongjin choi,chinwan chung,,,selectivity estimation for spatiotemporal queries to moving objects,international conference on management of data,2002.0
nitin thaper,sudipto guha,piotr indyk,nick koudas,dynamic multidimensional histograms,international conference on management of data,2002.0
yannis sismanis,antonios deligiannakis,nick roussopoulos,yannis kotidis,dwarf shrinking the petacube,international conference on management of data,2002.0
charu c aggarwal,,,,hierarchical subspace sampling a unified framework for high dimensional data reductio selectivity estimation and nearest neighbor search,international conference on management of data,2002.0
prakash ramanan,,,,efficient algorithms for minimizing tree pattern queries,international conference on management of data,2002.0
sudipto guha,h v jagadish,nick koudas,divesh srivastava,approximate xml joins,international conference on management of data,2002.0
arjen p de vries,nikos mamoulis,niels nes,martin kersten,efficient knn search on vertically decomposed data,international conference on management of data,2002.0
nicolas bruno,nick koudas,divesh srivastava,,holistic twig joins optimal xml pattern matching,international conference on management of data,2002.0
kevin chenchuan chang,seungwon hwang,,,minimal probing supporting expensive predicates for topk queries,international conference on management of data,2002.0
yufei tao,dimitris papadias,,,timeparameterized queries in spatiotemporal databases,international conference on management of data,2002.0
like gao,x sean wang,,,continually evaluating similaritybased pattern queries on a streaming time series,international conference on management of data,2002.0
neoklis polyzotis,minos garofalakis,,,statistical synopses for graphstructured xml databases,international conference on management of data,2002.0
yannis papakonstantinou,michalis petropoulos,vasilis vassalos,,qursed querying and reporting semistructured data,international conference on management of data,2002.0
igor tatarinov,stratis d viglas,kevin beyer,jayavel shanmugasundaram,storing and querying ordered xml using a relational database system,international conference on management of data,2002.0
hakan hacig252m252351,bala iyer,chen li,sharad mehrotra,executing sql over encrypted data in the databaseserviceprovider model,international conference on management of data,2002.0
michael gillmann,gerhard weikum,wolfgang wonner,,workflow management with service quality guarantees,international conference on management of data,2002.0
tamraparni dasu,theodore johnson,s muthukrishnan,vladislav shkapenyuk,mining database structure o how to build a data quality browser,international conference on management of data,2002.0
gang luo,curt j ellmann,peter j haas,jeffrey f naughton,a scalable hash ripple join algorithm,international conference on management of data,2002.0
nicolas bruno,surajit chaudhuri,,,exploiting statistics on query expressions for optimization,international conference on management of data,2002.0
vijayshankar raman,joseph m hellerstein,,,partial results for online query processing,international conference on management of data,2002.0
anindya datta,kaushik dutta,helen thomas,debra vandermeer,proxybased acceleration of dynamically generated content on the world wide web an approach and implementation,international conference on management of data,2002.0
torsten grust,,,,accelerating xpath location steps,international conference on management of data,2002.0
chinwan chung,junki min,kyuseok shim,,apex an adaptive path index for xml data,international conference on management of data,2002.0
raghav kaushik,philip bohannon,jeffrey f naughton,henry f korth,covering indexes for branching path queries,international conference on management of data,2002.0
jingren zhou,kenneth a ross,,,implementing database operations using simd instructions,international conference on management of data,2002.0
shimin chen,phillip b gibbons,todd c mowry,gary valentin,fractal prefetching btrees optimizing both cache and disk performance,international conference on management of data,2002.0
wei li,dengfeng gao,richard thomas snodgrass,,skew handling techniques in sortmerge join,international conference on management of data,2002.0
juliana freire,jayant r haritsa,maya ramanath,prasan roy,statix making xml count,international conference on management of data,2002.0
alexander hinneburg,daniel a keim,markus wawryniuk,,hdeye visual clustering of high dimensional data,international conference on management of data,2002.0
jessica m phan,raymond ng,,,gea a toolkit for gene expression analysis,international conference on management of data,2002.0
sanjay agrawal,surajit chaudhuri,gautam das,,dbxplorer enabling keyword search over relational databases,international conference on management of data,2002.0
jiawei han,jianyong wang,guozhu dong,jian pei,cubeexplorer online exploration of data cubes,international conference on management of data,2002.0
daniela florescu,andreas gr252nhagen,donald kossmann,steffen rost,xl a platform for web services,international conference on management of data,2002.0
valter crescenzi,giansalvatore mecca,paolo merialdo,,roadrunner automatic data extraction from dataintensive web sites,international conference on management of data,2002.0
chuck cranor,yuan gao,theodore johnson,vlaidslav shkapenyuk,gigascope high performance network monitoring with an sql interface,international conference on management of data,2002.0
samuel madden,joseph m hellerstein,,,distributing queries over lowpower wireless sensor networks,international conference on management of data,2002.0
wai fu fung,david sun,johannes gehrke,,cougar the network is the database,international conference on management of data,2002.0
tengjiao wang,shiwei tang,dongqing yang,jun gao,commix towards effective web information extractio integration and query answering,international conference on management of data,2002.0
pradnya karbhari,michael rabinovich,zhen xiao,fred douglis,acdn a content delivery network for applications,international conference on management of data,2002.0
li chen,elke a rundensteiner,song wang,,xcache a semantic caching system for xml queries,international conference on management of data,2002.0
daniel j abadi,mitch cherniack,,,visual coko a debugger for query optimizer development,international conference on management of data,2002.0
denilson barbosa,alberto mendelzon,john keenleyside,kelly lyons,toxgene a templatebased data generator for xml,international conference on management of data,2002.0
anja theobald,gerhard weikum,,,the xxl search engine ranked retrieval of xml data using indexes and ontologies,international conference on management of data,2002.0
xin zhang,mukesh mulchandani,steffen christ,brian murphy,rainbow mappingdriven xquery processing system,international conference on management of data,2002.0
mehmet altinel,qiong luo,sailesh krishnamurthy,c mohan,dbcache database caching for web application servers,international conference on management of data,2002.0
volker markl,guy lohman,,,learning table access cardinalities with leo,international conference on management of data,2002.0
jesse anton,lawrence jacobs,xiang liu,jordan parker,web caching for database applications with oracle web cache,international conference on management of data,2002.0
qiong luo,sailesh krishnamurthy,c mohan,hamid pirahesh,middletier database caching for ebusiness,international conference on management of data,2002.0
meikel poess,bryan smith,lubor kollar,paul larson,tpcd taking decision support benchmarking to the next level,international conference on management of data,2002.0
the timesten team,,,,midtier caching the timesten approach,international conference on management of data,2002.0
jun rao,chun zhang,nimrod megiddo,guy lohman,automating physical database design in a parallel database,international conference on management of data,2002.0
alexander s szalay,jim gray,ani r thakar,peter z kunszt,the sdss skyserver public access to the sloan digital sky server data,international conference on management of data,2002.0
andreas weininger,,,,efficient execution of joins in a star schema,international conference on management of data,2002.0
ravi kanth v kothuri,siva ravada,daniel abugov,,quadtree and rtree indexes in oracle spatial a comparison using gis data,international conference on management of data,2002.0
vanja josifovski,peter schwarz,laura haas,eileen lin,garlic a new flavor of federated query processing for db2,international conference on management of data,2002.0
peter bumbulis,ivan t bowman,,,a compact btree,international conference on management of data,2002.0
suparna bhattacharya,c mohan,karen w brannon,inderpal narang,coordinating backuprecovery and data consistency between database and file systems,international conference on management of data,2002.0
asuman dogac,yusuf tambag,pinar pembecioglu,sait pektas,an ebxml infrastructure implementation through uddi registries and rosettanet pips,international conference on management of data,2002.0
minos garofalakis,phillip b gibbons,,,wavelet synopses with error guarantees,international conference on management of data,2002.0
surajit chaudhuri,ashish kumar gupta,vivek narasayya,,compressing sql workloads,international conference on management of data,2002.0
jignesh patel,,,,systems and prototypes,acm sigmod record,2002.0
alberto h f laender,berthier a ribeironeto,altigran s da silva,juliana s teixeira,a brief survey of web data extraction tools,acm sigmod record,2002.0
andrew eisenberg,,,,standards,acm sigmod record,2002.0
roger barga,david lomet,,,phoenix project faulttolerant applications,acm sigmod record,2002.0
avigdor gal,,,,reports,acm sigmod record,2002.0
frank g goethals,,,,data warehousing and business intelligence for ecommerce by alan r simon steven l shaffer,acm sigmod record,2002.0
joachim hammer,,,,report on the acm fourth international workshop on data warehousing and olap dolap 2001,acm sigmod record,2002.0
birgitta k246nigries,kia makki,sam makki,charles perkins,on building an infrastructure for mobile and wireless systems report on the nsf workshop on an infrastructure for mobile and wireless system oct 1 2001,acm sigmod record,2002.0
karl aberer,,,,book review column,acm sigmod record,2002.0
karl aberer,,,,book reviews,acm sigmod record,2002.0
aris ouksel,,,,mining the world wide web an information search approach by george chan marcus j healey editor james a m mchug jason t l wang,acm sigmod record,2002.0
fernando berzal,nicolf225s mat237n,,,data mining concepts and techniques by jiawei han and micheline kamber,acm sigmod record,2002.0
rafael camps par233,,,,from ternary relationship to relational tables a case against common beliefs,acm sigmod record,2002.0
maria halkidi,yannis batistakis,michalis vazirgiannis,,cluster validity methods part i,acm sigmod record,2002.0
marianne winslett,,,,david dewitt speaks out on rethinking the cs curriculu why the database community should be prou why query optimization doesnt wor how supercomputing funding is sometimes very poorly spen how hes not a good coder and isnt smart enough to do db theor and more,acm sigmod record,2002.0
marianne winslett,,,,distinguished database profiles,acm sigmod record,2002.0
ratko orlandic,jack lukaszuk,craig swietlik,,the design of a retrieval technique for highdimensional data on tertiary storage,acm sigmod record,2002.0
elaheh pourabbas,maurizio rafanelli,,,a pictorial query language for querying geographic databases using positional and olap operators,acm sigmod record,2002.0
nancy wiegand,,,,investigating xquery for querying across database object types,acm sigmod record,2002.0
harald kosch,,,,mpeg7 and multimedia database systems,acm sigmod record,2002.0
dennis shasha,philippe bonnet,,,database tuning principle experiment and troubleshooting techniques part ii,international conference on management of data,2002.0
christoph bussler,,,,software as a service asp and asp aggregation,international conference on management of data,2002.0
avigdor gal,,,,articles,acm sigmod record,2002.0
giedrius slivinskas,christian s jensen,richard thomas snodgrass,,bringing order to query optimization,acm sigmod record,2002.0
paul cotton,,,,implementing xquery,international conference on management of data,2002.0
minos garofalakis,johannes gehrke,rajeev rastogi,,querying and mining data streams you only get one look a tutorial,international conference on management of data,2002.0
c mohan,,,,tutorial application servers and associated technologies,international conference on management of data,2002.0
dennis shasha,philippe bonnet,,,database tuning principle experiment and troubleshooting techniques part i,international conference on management of data,2002.0
hongjun lu,guoren wang,ge yu,yubin bao,xbase making your gigabyte disk queriable,international conference on management of data,2002.0
elke a rundensteiner,matthew o ward,jing yang,punit r doshi,xmdvtool visual interactive data exploration and trend discovery of highdimensional data sets,international conference on management of data,2002.0
joseph m hellerstein,jennifer widom,,,data streams fresh current or stagnant backwater panel,international conference on management of data,2002.0
philippe bonnet,,,,going public opensource databases and database research,international conference on management of data,2002.0
edwin m knorr,raymond t ng,,,algorithms for mining distancebased outliers in large datasets,very large data bases,1998.0
stephen blott,henry f korth,abraham silberschatz,,informatio communicatio and money for what can we charge and how can we meter it,very large data bases,1998.0
laurent vieille,,,,from data independence to knowledge independence an ongoing story,very large data bases,1998.0
randall g bello,karl dias,alan downing,james j feenan,materialized views in oracle,very large data bases,1998.0
min fang,narayanan shivakumar,hector garciamolina,rajeev motwani,computing iceberg queries efficiently,very large data bases,1998.0
clara nippl,bernhard mitschang,,,topaz a costbase ruledrive multiphase parallelizer,very large data bases,1998.0
lars arge,octavian procopiuc,sridhar ramaswamy,torsten suel,scalable sweepingbased spatial join,very large data bases,1998.0
rasa bliujute,christian s jensen,simonas saltenis,giedrius slivinskas,rtree based indexing of nowrelative bitemporal data,very large data bases,1998.0
gholamhosein sheikholeslami,surojit chatterjee,aidong zhang,,wavecluster a multiresolution clustering approach for very large spatial databases,very large data bases,1998.0
reinhard braumandl,jens clau223en,alfons kemper,,evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,very large data bases,1998.0
sergio greco,,,,binding propagation in disjunctive databases,very large data bases,1998.0
j d tygar,,,,atomicity versus anonymity distributed transactions for electronic commerce,very large data bases,1998.0
roy goldman,narayanan shivakumar,suresh venkatasubramanian,hector garciamolina,proximity search in databases,very large data bases,1998.0
erik riedel,garth a gibson,christos faloutsos,,active storage for largescale data mining and multimedia,very large data bases,1998.0
jason mchugh,jennifer widom,,,query optimization for xml,very large data bases,1999.0
