author_1,author_2,author_3,author_4,title,venue,year
daniel barbar,,,,special issue on data mining for intrusion detection and threat analysis guest editors introduction,sigmod record,2001.0
prabhakar raghavan,,,,extracting and exploiting structure in text search,sigmod conference,2003.0
jayant r haritsa,vibhuti s sengar,,,plastic reducing query optimization overheads through plan recycling,sigmod conference,2003.0
phillip b gibbons,minos n garofalakis,,,wavelet synopses with error guarantees,sigmod conference,2002.0
chen li,jeffrey d ullman,foto n afrati,,generating efficient plans for queries using views,sigmod conference,2001.0
laks v s lakshmanan,jian pei,yan zhao,,qctrees an efficient summary structure for semantic olap,sigmod conference,2003.0
norman w paton,carole a goble,,,information management for genome level bioinformatics,vldb,2001.0
michael j franklin,mehmet altinel,,,efficient filtering of xml documents for selective dissemination of information,vldb,2000.0
arthur j bernstein,narayanan krishnakumar,,,bounded ignorance a technique for increasing concurrency in a replicated system,acm trans database syst,1994.0
arie segev,,,,editors notes and erratum,sigmod record,1994.0
herb edelstein,,,,research and products are they relevant to each other panel,sigmod conference,1995.0
leonard j seligman,michael j carey,,,nsf workshop on industrialacademic cooperation in database systems,sigmod record,1999.0
sorana rabinovici,john catozzi,,,operating system extensions for the teradata parallel vldb,vldb,2001.0
liang huai yang,mongli lee,wynne hsu,,efficient mining of xml query patterns for caching,vldb,2003.0
ravi krishnamurthy,charles hoch,nita goyal,michael suckow,is gui programming a database research problem,sigmod conference,1996.0
terence critchlow,,,,report on xewa00 the xml enabled widearea searches for bioinformatics workshop,sigmod record,2001.0
armando fox,,,,toward recoveryoriented computing,vldb,2002.0
t v ashwin,rahul gupta,sugata ghosal,,adaptable similarity search using nonrelevant information,vldb,2002.0
james l edwards,meridith a lane,ebbe nielsen,,biodiversity informatics the challenge of rapid developmen large database and complex data keynote,vldb,2000.0
anil kumar,vassilis j tsotras,,,temporal database bibliography update,sigmod record,1996.0
mick j jordan,susan spence,laurent dayns,malcolm p atkinson,an orthogonally persistent java,sigmod record,1996.0
yan zhao,laks v s lakshmanan,jian pei,,socqet semantic olap with compressed cube and summarization,sigmod conference,2003.0
yahiko kambayashi,koichi goto,,,integration of electronic tickets and personal guide system for public transport using mobile terminals,sigmod conference,2003.0
kenneth a ross,,,,tail recursion elimination in deductive databases,acm trans database syst,1996.0
maurizio panti,alberto giretti,luca spalazzi,,a casebased approach to information integration,vldb,2000.0
lyman do,pamela drew,prabhu ram,,distributed transactions in practice,sigmod record,1999.0
zhaohui tang,fei sha,georges gardarin,,calibrating the query optimizer cost model of irod an objectoriented federated database system,vldb,1996.0
elisa bertino,ahmed k elmagarmid,mohandsaid hacid,,quality of service in multimedia digital libraries,sigmod record,2001.0
jeanchristophe r pazzaglia,chiara biancheri,gavino paddeu,,eiha deploying web and wap services using xml technology,sigmod record,2001.0
swarup acharya,viswanath poosala,phillip b gibbons,sridhar ramaswamy,join synopses for approximate query answering,sigmod conference,1999.0
martin van den berg,soumen chakrabarti,byron dom,,distributed hypertext resource discovery through examples,vldb,1999.0
george colliat,,,,data management challenges in crm,sigmod conference,2003.0
andrew eisenberg,jim melton,,,sql standardization the next steps,sigmod record,2000.0
miron livny,raghu ramakrishnan,donko donjerkovic,shilpa lawande,devise integrated querying and visualization of large datasets,sigmod conference,1997.0
jeffrey f naughton,amit shukla,karthikeyan ramasamy,prasad deshpande,storage estimation for multidimensional aggregates in the presence of hierarchies,vldb,1996.0
bernhard seeger,dimitris papadias,greg fu,yufei tao,an optimal and progressive algorithm for skyline queries,sigmod conference,2003.0
steffen staab,rudi studer,york sure,,methodology for development and employment of ontology based knowledge management applications,sigmod record,2002.0
alin dobra,johannes gehrke,rajeev rastogi,minos n garofalakis,processing complex aggregate queries over data streams,sigmod conference,2002.0
felipe cabrera,,,,web services industrial session,vldb,2003.0
chris clifton,svetlozar nestorov,rajeev motwani,shalom tsur,query flocks a generalization of associationrule mining,sigmod conference,1998.0
maxim lifantsev,tzicker chiueh,,,ioconscious data preparation for largescale web search engines,vldb,2002.0
richard t snodgrass,,,,reminiscences on influential papers,sigmod record,1999.0
jing chen,louxin zhang,limsoon wong,,a protein patent query system powered by kleisli,sigmod conference,1998.0
abraham silberschatz,stanley b zdonik,,,database systems breaking out of the box,sigmod record,1997.0
andreas meier,,,,providing database migration tools a practicioners approach,vldb,1995.0
panos k chrysanthis,krithi ramamritham,,,synthesis of extended transaction models using acta,acm trans database syst,1994.0
joseph m hellerstein,mehul a shah,marcel kornacker,,amdb an access method debugging tool,sigmod conference,1998.0
juan loaiza,ashok joshi,tirthankar lahiri,william bridge,checkpointing in oracle,vldb,1998.0
,,,,titl forewor vldb journal to be published electronicall index vol 4,vldb j,1995.0
martin staudt,yannis vassiliou,manfred a jeusfeld,stella gatziu,design and management of data warehouses report on the dmdw99 workshop,sigmod record,1999.0
ramakrishnan srikant,rakesh agrawal,alexandre v evfimievski,,information sharing across private databases,sigmod conference,2003.0
jeffrey f naughton,ambuj shatdal,,,adaptive parallel aggregation algorithms,sigmod conference,1995.0
jayant sharma,kothuri venkata ravi kanth,jay banerjee,siva ravada,indexing mediumdimensionality data in oracle,sigmod conference,1999.0
jennifer widom,hector garciamolina,yue zhuge,joachim hammer,view maintenance in a warehousing environment,sigmod conference,1995.0
richard t snodgrass,,,,chairs message,sigmod record,1999.0
vincent oria,benjamin bin yao,shu lin,paul iglinski,disima a distributed and interoperable image database system,sigmod conference,2000.0
laurent mignet,amlie marian,gregory cobena,serge abiteboul,changecentric management of versions in an xml warehouse,vldb,2001.0
rajeev rastogi,kyuseok shim,minos n garofalakis,,spirit sequential pattern mining with regular expression constraints,vldb,1999.0
sunita sarawagi,,,,useradaptive exploration of multidimensional data,vldb,2000.0
sang hyuk son,rasikan david,bhavani m thuraisingham,,improving timeliness in realtime secure database systems,sigmod record,1996.0
dan suciu,hartmut liefke,,,an extensible compressor for xml data,sigmod record,2000.0
daniel barbar,hector garciamolina,,,the demarcation protocol a technique for maintaining constraints in distributed database systems,vldb j,1994.0
mitch cherniack,stanley b zdonik,nesime tatbul,ugur etintemel,monitoring streams a new class of data management applications,vldb,2002.0
jignesh m patel,jiebing yu,navin kabra,david j dewitt,clientserver paradise,vldb,1994.0
laurent vieille,,,,from data independence to knowledge independence an ongoing story,vldb,1998.0
dirk dllmann,,,,petabyte databases,sigmod conference,1999.0
vasilis vassalos,yannis papakonstantinou,,,query rewriting for semistructured data,sigmod conference,1999.0
csar a galindolegaria,arnon rosenthal,,,outerjoin simplification and reordering for query optimization,acm trans database syst,1997.0
richard t snodgrass,,,,reminiscences on influential papers,sigmod record,1998.0
hanan samet,aya soffer,,,integrating symbolic images into a multimedia database system using classification and abstraction approaches,vldb j,1998.0
bernhard seeger,jenspeter dittrich,jochen van den bercken,,javaxxxl a prototype for a library of query processing algorithms,sigmod conference,2000.0
clark d french,,,,one size fits all database architectures do not work for dds,sigmod conference,1995.0
marianne winslett,,,,interview with david maier,sigmod record,2002.0
prasanna ganesan,sunita sarawagi,surajit chaudhuri,,factorizing complex predicates in queries to exploit indexes,sigmod conference,2003.0
krithi ramamritham,panos k chrysanthis,,,a taxonomy of correctness criteria in database applications,vldb j,1996.0
ling liu,,,,editors notes,sigmod record,2003.0
karl aberer,,,,book review column,sigmod record,2002.0
jiawei han,liangyou chen,jian pei,ying lu,dnaminer a system prototype for mining dna sequences,sigmod conference,2001.0
prakash ramanan,,,,efficient algorithms for minimizing tree pattern queries,sigmod conference,2002.0
john l schnase,,,,research directions in biodiversity informatics,vldb,2000.0
patricia g selinger,,,,information integration and xml in ibms db2,vldb,2002.0
mayank bawa,sergio marti,sepandar d kamvar,brian cooper,peertopeer research at stanford,sigmod record,2003.0
arjan loeffen,,,,text databases a survey of text models and systems,sigmod record,1994.0
pavan deolasee,amol katkar,krithi ramamritham,ankur panchbudhe,dissemination of dynamic data,sigmod conference,2001.0
yixin ruan,kianlee tan,jason chionh,lidan shou,walking through a very large virtual environment in realtime,vldb,2001.0
fabio casati,daniela grigori,umeshwar dayal,mingchien shan,improving business process quality through exception understandin predictio and prevention,vldb,2001.0
ratko orlandic,craig swietlik,jack lukaszuk,,the design of a retrieval technique for highdimensional data on tertiary storage,sigmod record,2002.0
tam nguyen,v srinivasan,,,accessing relational databases from the world wide web,sigmod conference,1996.0
,,,,highperformance and scalability through application tie inmemory data management,vldb,2000.0
eugene j shekita,david e simmen,timothy malkemus,,fundamental techniques for order optimization,sigmod conference,1996.0
george a mihaila,louiqa raschid,anthony tomasic,,locating and accessing data repositories with websemantics,vldb j,2002.0
kyuyoung whang,gunter schlageter,amr el abbadi,,guest editorial,vldb j,2001.0
s sudarshan,charu c aggarwal,mihalis yannakakis,alfons kemper,reminiscences on influential papers,sigmod record,2000.0
luc segoufin,philippe rigaux,stphane grumbach,,the dedale system for complex spatial queries,sigmod conference,1998.0
bjrn r jnsson,shaul dar,divesh srivastava,michael tan,semantic data caching and replacement,vldb,1996.0
mitch cherniack,stanley b zdonik,,,inferring function semantics to optimize queries,vldb,1998.0
david b lomet,,,,the evolution of effective btree page organization and techniques a personal account,sigmod record,2001.0
d wildfogel,ramana yerneni,,,efficient testing of high performance transaction processing systems,vldb,1997.0
peter a boncz,martin l kersten,stefan manegold,,generic database cost models for hierarchical memory systems,vldb,2002.0
nectaria tryfona,thanasis hadzilacos,,,an extended entityrelationship model for geographic applications,sigmod record,1997.0
shlomo moran,ronny lempel,,,optimizing result prefetching in web search engines with segmented indices,vldb,2002.0
michael lesk,,,,experiments on access to digital libraries how can images and text be used together,vldb,1994.0
james r hamilton,limsoon wong,kenneth a ross,laks v s lakshmanan,reminiscences on influential papers,sigmod record,2001.0
sharad mehrotra,,,,ensuring consistency in multidatabases by preserving twolevel serializability,acm trans database syst,1998.0
michael j carey,anil nori,nelson mendona mattos,,objectrelational database systems principle product and challenges tutorial,sigmod conference,1997.0
alexandros biliris,euthimios panagos,,,synchronization and recovery in a clientserver storage system,vldb j,1997.0
brad adelberg,hector garciamolina,ben kao,,applying update streams in a soft realtime database system,sigmod conference,1995.0
alexander brodsky,pavel a exarkhopoulo,victor e segal,jia chen,the ccube constraint objectoriented database system,sigmod conference,1999.0
joseph m hellerstein,,,,index research forest or trees panel abstract,sigmod conference,2000.0
susanne englert,,,,nonstop sql scalability and availability for decision support,sigmod conference,1994.0
arunprasad p marathe,kenneth salem,,,query processing techniques for arrays,vldb j,2002.0
asterio k tanaka,patrick valduriez,,,the ecobase project database and web technologies for environmental information systems,sigmod record,2001.0
alfons kemper,florian matthes,donald kossmann,,sap r3 a database application system tutorial,sigmod conference,1998.0
edwin r lassettre,,,,olympic records for data at the 1998 nagano games,sigmod conference,1998.0
m toiati,michele missikoff,,,mosaico a system for conceptual modeling and rapid prototyping of objectoriented database application,sigmod conference,1994.0
michael j franklin,yanlei diao,,,query processing for highvolume xml message brokering,vldb,2003.0
joachim hammer,,,,treasurers message,sigmod record,2002.0
m tamer zsu,,,,chairs message,sigmod record,2002.0
stephen blott,henry f korth,,,an almostserial protocol for transaction execution in mainmemory database systems,vldb,2002.0
jiawei han,ke wang,yu he,,mining frequent itemsets using support constraints,vldb,2000.0
edward maros,darrel j van buer,marjorie templeton,herbert henley,interviso dealing with the complexity of federated database access,vldb j,1995.0
jos a blakeley,,,,open object database management systems,sigmod conference,1994.0
ernest teniente,elena baralis,stefano paraboschi,,materialized views selection in a multidimensional database,vldb,1997.0
donald kossmann,michael j carey,,,on saying enough already in sql,sigmod conference,1997.0
mark l mcauliffe,c k tan,marvin h solomon,nancy e hall,shoring up persistent applications,sigmod conference,1994.0
michael stonebraker,nesime tatbul,mitch cherniack,stanley b zdonik,load shedding in a data stream manager,vldb,2003.0
tova milo,mariano p consens,,,optimizing queries on files,sigmod conference,1994.0
johannes gehrke,venkatesh ganti,raghu ramakrishnan,,rainforest a framework for fast decision tree construction of large datasets,vldb,1998.0
donko donjerkovic,raghu ramakrishnan,,,probabilistic optimization of top n queries,vldb,1999.0
paul brown,michael stonebraker,,,bigsur a system for the management of earth science data,vldb,1995.0
arnon rosenthal,edward lafferty,leonard j seligman,catherine d mccollum,data management research at the mitre corporation,sigmod record,1995.0
carmem s hara,susan b davidson,yi chen,yifeng zheng,rrxf redundancy reducing xml storage in relations,vldb,2003.0
sirish chandrasekaran,michael j franklin,,,psoup a system for streaming queries over streaming data,vldb j,2003.0
ahmed k elmagarmid,athman bouguettaya,mourad ouzzani,brahim medjahed,ontologybased support for digital government,vldb,2001.0
benjamin nguyen,serge abiteboul,gregory cobena,mihai preda,monitoring xml data on the web,sigmod conference,2001.0
umeshwar dayal,surajit chaudhuri,tak w yan,,join queries with external text sources execution and optimization techniques,sigmod conference,1995.0
hongjun lu,huan liu,rudy setiono,,neurorule a connectionist approach to data mining,vldb,1995.0
richard t snodgrass,,,,chairs message,sigmod record,1998.0
jennifer widom,,,,editors notes,sigmod record,1995.0
michel schneider,jrme darmont,,,voodb a generic discreteevent random simulation model to evaluate the performances of oodbs,vldb,1999.0
tanu malik,jordan raddick,alexander s szalay,peter z kunszt,the sdss skyserver public access to the sloan digital sky server data,sigmod conference,2002.0
hansjrg schek,,,,panel future directions of database research the vldb broadening strateg part 1,vldb,2000.0
elke a rundensteiner,gail mitchell,wangchien lee,harumi a kuno,gangam a solution to support multiple data model their mappings and maintenance,sigmod conference,2001.0
v tucakov,raymond t ng,edwin m knorr,,distancebased outliers algorithms and applications,vldb j,2000.0
christopher ahlberg,,,,spotfire an information exploration environment,sigmod record,1996.0
johann christoph freytag,felix naumann,ulf leser,,qualitydriven integration of heterogenous information systems,vldb,1999.0
egbertjan sol,,,,ambient intelligence with the ubiquitous networ the embedded computer devices and the hidden databases abstract,vldb,2001.0
christos faloutsos,bernhard seeger,caetano traina jr,agma j m traina,spatial join selectivity using power laws,sigmod conference,2000.0
phillip m fernandez,,,,red brick warehouse a readmostly rdbms for open smp platforms,sigmod conference,1994.0
arie segev,richard t snodgrass,christian s jensen,,report on the 1995 international workshop on temporal databases,sigmod record,1995.0
ilker durusoy,cetin ozkan,mehmet altinel,asuman dogac,implementation aspects of an objectoriented dbms,sigmod record,1995.0
atul adya,liuba shrira,miguel castro,robert gruber,safe and efficient sharing of persistent objects in thor,sigmod conference,1996.0
cyrus shahabi,mohammad r kolahdouzan,craig a knoblock,jos luis ambite,the worlinfo assistant spatiotemporal information integration on the web,vldb,2001.0
panos constantopoulos,yannis vassiliou,matthias jarke,john mylopoulos,the software information base a server for reuse,vldb j,1995.0
suzanne w dietrich,forouzan golshani,susan darling urban,,database research at arizona state university,sigmod record,1996.0
giuseppe psaila,stefano ceri,stefano paraboschi,piero fraternali,the algres testbed of chimera an active objectoriented database system,sigmod conference,1995.0
ling liu,,,,editors notes,sigmod record,2002.0
kamar aulakh,,,,about quark digital media system,sigmod conference,1998.0
duri schmidt,angelika kotz dittrich,werner dreyer,,research perspectives for time series management systems,sigmod record,1994.0
goetz graefe,william oconnell,andrew witkowski,,collaborative analytical processing dream or reality panel abstract,vldb,2001.0
shiang chen liew,senqiang zhou,ke wang,,building hierarchical classifiers using class proximity,vldb,1999.0
p hasselmayer,mariano cilia,alejandro p buchmann,,profiling and internet connectivity in automotive environments,vldb,2002.0
ling liu,calton pu,tong zhou,,tam a system for dynamic transactional activity management,sigmod conference,1999.0
sergey brin,craig silverstein,rajeev motwani,jeffrey d ullman,scalable techniques for mining causal structures,vldb,1998.0
karthikeyan ramasamy,prasad deshpande,amit shukla,jeffrey f naughton,caching multidimensional queries using chunks,sigmod conference,1998.0
hector garciamolina,sergey brin,james davis,,copy detection mechanisms for digital documents,sigmod conference,1995.0
yannis kotidis,christos faloutsos,flip korn,alexandros labrinidis,ratio rules a new paradigm for fas quantifiable data mining,vldb,1998.0
david j dewitt,mark d hill,anastassia ailamaki,,data page layouts for relational databases on deep memory hierarchies,vldb j,2002.0
ulrich gntzer,werner kieling,wolftilo balke,,optimizing multifeature queries for image databases,vldb,2000.0
rafael alonso,,,,trade press news,sigmod record,1995.0
letizia tanca,stefano ceri,piero fraternali,stefano paraboschi,automatic generation of production rules for integrity maintenance,acm trans database syst,1994.0
amr el abbadi,mirek riedewald,divyakant agrawal,,efficient integration and aggregation of historical information,sigmod conference,2002.0
michael j franklin,michael j carey,miron livny,,transactional clientserver cache consistency alternatives and performance,acm trans database syst,1997.0
ralph busse,michael j carey,daniela florescu,martin l kersten,why and how to benchmark xml databases,sigmod record,2001.0
mehul a shah,sirish chandrasekaran,,,faulttoleran loadbalancing queries in telegraph,sigmod conference,2001.0
kenneth c sevcik,nick koudas,,,size separation spatial join,sigmod conference,1997.0
brigitte krll,peter widmayer,,,distributing a search tree among a growing number of processors,sigmod conference,1994.0
ramakrishnan srikant,rakesh agrawal,,,mining quantitative association rules in large relational tables,sigmod conference,1996.0
ran wolff,assaf schuster,,,communication efficient distributed mining of association rules,sigmod conference,2001.0
debabrata dey,roger h l chiang,shankar sundaresan,robert c goldstein,database design with common sense business reasoning and learning,acm trans database syst,1997.0
alexander hinneburg,daniel a keim,,,clustering methods for large databases from the past to the future,sigmod conference,1999.0
gilles fecteau,,,,managing a db2 parallel edition database,vldb,1995.0
allen luniewski,markus tresch,neal palmer,,type classification of semistructured documents,vldb,1995.0
craig wong,mark stokrp,mike lefler,,dbsim a simulation tool for predicting database performance,sigmod conference,1996.0
jerry kiernan,jayavel shanmugasundaram,catalina fan,eugene j shekita,querying xml views of relational data,vldb,2001.0
prabhakar raghavan,david gibson,jon m kleinberg,,clustering categorical data an approach based on dynamical systems,vldb,1998.0
arnold charles meltzer,dong keun shin,,,a new join algorithm,sigmod record,1994.0
shivakumar venkataraman,subbu n subramanian,,,costbased optimization of decision support queries using transient views,sigmod conference,1998.0
david b lomet,betty salzberg,,,concurrency and recovery for index trees,vldb j,1997.0
yannis e ioannidis,minos n garofalakis,banu zden,,resource scheduling for composite multimedia objects,vldb,1998.0
wilfred ng,,,,an extension of the relational data model to incorporate ordered domains,acm trans database syst,2001.0
jim gray,zarka cvetanovic,tom barclay,chris nyberg,alphasort a cachesensitive parallel external sort,vldb j,1995.0
timesten team,,,,inmemory data management for consumer transactions the timesten approach,sigmod conference,1999.0
rick greer,,,,daytona and the fourthgeneration language cymbal,sigmod conference,1999.0
christos faloutsos,yannis kotidis,flip korn,alexandros labrinidis,quantifiable data mining using ratio rules,vldb j,2000.0
mitch cherniack,stanley b zdonik,michael j franklin,,data management for pervasive computing,vldb,2001.0
nenad jukic,svetlozar nestorov,susan v vrbsky,,closing the key loophole in mls databases,sigmod record,2003.0
hector garciamolina,luis gravano,anthony tomasic,,gloss textsource discovery over the internet,acm trans database syst,1999.0
iosif lazaridis,sharad mehrotra,,,progressive approximate aggregate queries with a multiresolution tree structure,sigmod conference,2001.0
hansjrg zeller,,,,nonstop sqlmx publishsubscribe continuous data streams in transaction processing,sigmod conference,2003.0
manfred a jeusfeld,hansjoachim lenz,panos vassiliadis,martin staudt,report on the 5th international workshop on the design and management of data warehouses dmdw03,sigmod record,2003.0
kyuyoung whang,yangsae moon,wookshin han,,general match a subsequence matching method in timeseries databases based on generalized windows,sigmod conference,2002.0
erhard rahm,harald schning,gerhard weikum,,report on the 10th conference on database systems for busines technolog and the web btw 2003,sigmod record,2003.0
antonio badia,,,,ontologies a silver bullet for knowledge management and electronic commerce book review,sigmod record,2002.0
konstantinos stathatos,john s baras,nick roussopoulos,,adaptive data broadcast in hybrid networks,vldb,1997.0
gsli r hjaltason,hanan samet,,,incremental distance join algorithms for spatial databases,sigmod conference,1998.0
kyuyoung whang,ilyeol song,youngkoo lee,jonghak lee,a region splitting strategy for physical database design of multidimensional file organizations,vldb,1997.0
jim melton,andrew eisenberg,,,sqlxml and the sqlx informal group of companies,sigmod record,2001.0
yirong xu,ramakrishnan srikant,rakesh agrawal,,database technologies for electronic commerce,vldb,2002.0
avigdor gal,,,,semantic interoperability in information services experiencing with coopware,sigmod record,1999.0
kenn gardels,,,,open gis and online environmental libraries,sigmod record,1997.0
praveen seshadri,tobias mayr,,,clientsite query extensions,sigmod conference,1999.0
walid g aref,ihab f ilyas,ahmed k elmagarmid,,joining ranked inputs in practice,vldb,2002.0
hector garciamolina,sriram raghavan,,,complex queries over web repositories,vldb,2003.0
s seshadri,nandlal l sarda,d b phatak,s sudarshan,database research at the indian institute of technolog bombay,sigmod record,1996.0
kurt p brown,michael j carey,miron livny,,goaloriented buffer management revisited,sigmod conference,1996.0
christine collet,thierry coupaye,,,the naos system,sigmod conference,1995.0
m tamer zsu,,,,chairs message,sigmod record,2002.0
surajit chaudhuri,kris ganjam,venkatesh ganti,rajeev motwani,robust and efficient fuzzy match for online data cleaning,sigmod conference,2003.0
daniela florescu,donald kossmann,dan olteanu,ioana manolescu,agora living with xml and relational,vldb,2000.0
peter m g apers,stefano ceri,richard t snodgrass,,editorial,vldb j,2002.0
kiansing ng,huan liu,hweebong kwah,,a data mining application customes retention at the port of singapore authority psa,sigmod conference,1998.0
vivek r narasayya,sanjay agrawal,surajit chaudhuri,,materialized view and index selection tool for microsoft sql server 2000,sigmod conference,2001.0
kyuseok shim,surajit chaudhuri,,,optimization of queries with userdefined predicates,acm trans database syst,1999.0
thomas c rakow,klemens bhm,,,metadata for multimedia documents,sigmod record,1994.0
m tamer zsu,stavros christodoulakis,,,introduction special issue on multimedia databases,vldb j,1998.0
richard taylor,,,,concurrency in the data warehouse,vldb,2000.0
ling liu,,,,editors notes,sigmod record,2001.0
anil nori,,,,asera extranet architecture for b2b solutions,vldb,2000.0
s viswanathan,b r badrinath,tomasz imielinski,,energy efficient indexing on air,sigmod conference,1994.0
hanan samet,edwin h jacox,,,iterative spatial join,acm trans database syst,2003.0
michael j franklin,,,,editors notes,sigmod record,2000.0
kevin s beyer,jayavel shanmugasundaram,chun zhang,igor tatarinov,storing and querying ordered xml using a relational database system,sigmod conference,2002.0
xiao qin,robert l grossman,,,ptool a scalable persistent object manager,sigmod conference,1994.0
paolo giorgini,,,,agentoriented software engineering report on the 4th aose workshop aose 2003,sigmod record,2003.0
rajeev motwani,gurmeet singh manku,,,approximate frequency counts over data streams,vldb,2002.0
darrell woelk,munindar p singh,christine tomlinson,,relaxed transaction processing,sigmod conference,1994.0
mikael berndtsson,jrgen hansson,,,workshop report the first international workshop on active and realtime database systems artdb95,sigmod record,1996.0
limsoon wong,,,,an introduction to remys fast polymorphic record projection,sigmod record,1995.0
daniel a keim,,,,pixeloriented database visualizations,sigmod record,1996.0
hector garciamolina,sergey melnik,,,adaptive algorithms for set containment joins,acm trans database syst,2003.0
heribert schtz,willem jonker,,,the ecrc multi database system,sigmod conference,1995.0
louiqa raschid,jorge lobo,,,semantics for update rule programs and implementations in a relational database management system,acm trans database syst,1996.0
hector garciamolina,vlad gorelik,wilburt labio,janet l wiener,efficient resumption of interrupted warehouse loads,sigmod conference,2000.0
,,,,calls for papers and announcements,sigmod record,1995.0
david j dewitt,seth j white,,,quickstore a high performance mapped object store,sigmod conference,1994.0
edward sciore,michael siegel,arnon rosenthal,,using semantic values to falilitate interoperability among heterogeneous information systems,acm trans database syst,1994.0
prakash ramanan,,,,covering indexes for xml queries bisimulation simulation negation,vldb,2003.0
dennis shasha,philippe bonnet,,,database tuning principle experiment and troubleshooting techniques part ii,sigmod conference,2002.0
michael j carey,manish mehta,miron livny,kurt p brown,towards automated performance tuning for complex workloads,vldb,1994.0
jurgen annevelink,tak w yan,,,integrating a structuredtext retrieval system with an objectoriented database system,vldb,1994.0
thomas seidl,hanspeter kriegel,,,efficient useradaptable similarity search in large multimedia databases,vldb,1997.0
jiawei han,beng chin ooi,hongjun lu,kianlee tan,index nesting an efficient approach to indexing in objectoriented databases,vldb j,1996.0
zgr ulusoy,,,,an annotated bibliography on realtime database systems,sigmod record,1995.0
yasushi ogawa,,,,effective efficient document ranking without using a large lexicon,vldb,1996.0
charu c aggarwal,,,,redesigning distance functions and distancebased applications for high dimensional data,sigmod record,2001.0
subbarao kambhampati,craig a knoblock,,,information integration on the web a view from ai and databases report on iiweb03,sigmod record,2003.0
debabrata dey,sumit sarkar,,,a probabilistic relational model and algebra,acm trans database syst,1996.0
andreas koeller,amy j lee,xin zhang,anisoara nica,evolvable view environment eve nonequivalent view maintenance under schema changes,sigmod conference,1999.0
pavel zezula,paolo ciaccia,paolo tiberio,,declustering of keybased partitioned signature files,acm trans database syst,1996.0
kenneth salem,arunprasad p marathe,,,query processing techniques for arrays,sigmod conference,1999.0
won kim,,,,charter and scope,acm trans database syst,1994.0
a prasad sistla,robert h sloan,yelena yesha,ouri wolfson,towards a theory of cost management for digital libraries and electronic commerce,acm trans database syst,1998.0
david j dewitt,leonidas galanis,shawn r jeffery,yuan wang,locating data sources in large distributed systems,vldb,2003.0
philippe pucheral,christophe bobineau,luc bouganim,patrick valduriez,picodbms validation and experience,vldb,2001.0
jian pei,jiawei han,yiwen yin,,mining frequent patterns without candidate generation,sigmod conference,2000.0
john mylopoulos,,,,panel on next generation database systems wont work without semantics,sigmod conference,1998.0
robert a nado,scott b huffman,,,extracting entity profiles from semistructured information spaces,sigmod record,1997.0
theodore johnson,tamraparni dasu,,,data quality and data cleaning an overview,sigmod conference,2003.0
jie wu,,,,small worlds the dynamics of networks between order and randomness book review,sigmod record,2002.0
melissa truong,louis burger,william j mckenna,chi hoang,eroc a toolkit for building neato query optimizers,vldb,1996.0
alon y halevy,jayant madhavan,,,composing mappings among data sources,vldb,2003.0
narayanan shivakumar,hector garciamolina,roy goldman,suresh venkatasubramanian,proximity search in databases,vldb,1998.0
kenneth a ross,gail e kaiser,luis gravano,salvatore j stolfo,database research at columbia university,sigmod record,1998.0
robert g atkinson,,,,use of a component architecture in integrating relational and nonrelational storage systems,sigmod conference,1995.0
william w cohen,,,,providing databaselike access to the web using queries based on textual similarity,sigmod conference,1998.0
jennifer widom,dallan quass,,,online warehouse view maintenance,sigmod conference,1997.0
felicity a w george,,,,dms a parallel data mining server,vldb,1998.0
christian s jensen,bin cui,mongli lee,keng lik teo,supporting frequent updates in rtrees a bottomup approach,vldb,2003.0
janet perna,,,,leveraging the information asset,sigmod conference,1995.0
zhiyuan chen,daniel mahashin,victor cheng,kyle buza,the cornell jaguar system adding mobility to predator,sigmod conference,1999.0
james r hamilton,,,,networked data management design points,vldb,1999.0
david b lomet,betty salzberg,linan jiang,manuel barrena garca,the bttree a branched and temporal access method,vldb,2000.0
surajit chaudhuri,vivek r narasayya,,,microsoft index tuning wizard for sql server 70,sigmod conference,1998.0
yannis e ioannidis,yezdi lashkari,,,incomplete path expressions and their disambiguation,sigmod conference,1994.0
babak hamidzadeh,kamalakar karlapalem,qing li,chungdak shum,data and knowledge base research at hong kong university of science and technology,sigmod record,1995.0
andrew nierman,h v jagadish,,,protdb probabilistic data in xml,vldb,2002.0
stefan manegold,peter a boncz,martin l kersten,,database architecture optimized for the new bottleneck memory access,vldb,1999.0
s sudarshan,siddhesh bhobe,s seshadri,prasan roy,efficient and extensible algorithms for multi query optimization,sigmod conference,2000.0
richard t snodgrass,,,,chairs message,sigmod record,1998.0
yuri breitbart,gerhard weikum,radek vingralek,,distributed file organization with scalable costperformance,sigmod conference,1994.0
gerome miklau,jayant madhavan,igor tatarinov,zachary g ives,the piazza peer data management project,sigmod record,2003.0
michael pizzo,jos a blakeley,,,microsoft universal data access platform,sigmod conference,1998.0
soumen chakrabarti,,,,searching and mining finegrained semistructured data,vldb,2002.0
z meral zsoyoglu,philip s yu,nick roussopoulos,krithi ramamritham,reminiscences on influential papers,sigmod record,1998.0
thomas j e schwarz,witold litwin,,,lhrs a highavailability scalable distributed data structure using reed solomon codes,sigmod conference,2000.0
peter m schwarz,mary tork roth,,,dont scrap i wrap it a wrapper architecture for legacy data sources,vldb,1997.0
dan suciu,,,,foreword management of semistructured data,sigmod record,1997.0
