actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
nicolas cage,meryl streep,julia roberts,color,pg,john a davis,english,usa,the ant bully,6.0,2006.0
virginia madsen,jrgen prochnow,jos ferrer,color,pg13,david lynch,english,usa,dune,7.0,1984.0
jim sturgess,tv carpio,robert clohessy,color,pg13,julie taymor,english,usa,across the universe,7.0,2007.0
leonardo dicaprio,kate winslet,joe komara,color,r,sam mendes,english,usa,revolutionary road,7.0,2008.0
bruce willis,david zayas,sasha roiz,color,pg13,richard donner,english,germany,16 blocks,7.0,2006.0
vin diesel,charlotte rampling,david belle,color,pg13,mathieu kassovitz,english,france,babylon ad,6.0,2008.0
alexa penavega,bob gunton,keenen ivory wayans,color,r,john gray,english,usa,the glimmer man,5.0,1996.0
john de lancie,brian doylemurray,obba babatund,color,pg13,harold ramis,english,usa,multiplicity,6.0,1996.0
malese jow,carter jenkins,tim meadows,color,pg,john schultz,english,usa,aliens in the attic,5.0,2009.0
costas mandylor,adrien dorval,nels lennarson,color,r,sean penn,english,usa,the pledge,7.0,2001.0
jon lovitz,will ferrell,matthew broderick,color,pg13,susan stroman,english,usa,the producers,6.0,2005.0
caryhiroyuki tagawa,treat williams,kristy swanson,color,pg,simon wincer,english,australia,the phantom,5.0,1996.0
matt damon,henry thomas,sam shepard,color,pg13,billy bob thornton,english,usa,all the pretty horses,6.0,2000.0
anthony hopkins,bob hoskins,joan allen,black and white,r,oliver stone,english,usa,nixon,7.0,1995.0
jim belushi,olivia williams,timothy hutton,color,pg13,roman polanski,english,france,the ghost writer,7.0,2010.0
djimon hounsou,jason flemyng,wes studi,color,r,stephen sommers,english,usa,deep rising,6.0,1998.0
joseph gordonlevitt,omari hardwick,laz alonso,color,r,spike lee,english,usa,miracle at st anna,6.0,2008.0
li gong,ye liu,man li,color,r,yimou zhang,mandarin,china,curse of the golden flower,7.0,2006.0
nicolas cage,charlie yeung,james with,color,r,danny pang,english,usa,bangkok dangerous,5.0,2008.0
zooey deschanel,janeane garofalo,omar epps,color,pg13,barry sonnenfeld,english,usa,big trouble,6.0,2002.0
marcela mar,giovanna mezzogiorno,unax ugalde,color,r,mike newell,english,usa,love in the time of cholera,6.0,2007.0
sam waterston,ben gazzara,nicholas turturro,color,r,george p cosmatos,english,usa,shadow conspiracy,5.0,1997.0
daniel kaluuya,tim mcinnerny,togo igawa,color,pg,oliver parker,english,usa,johnny english reborn,6.0,2011.0
jerry stiller,larry miller,harvey fierstein,color,pg,lawrence kasanoff,english,usa,foodfight,2.0,2012.0
clea duvall,scoot mcnairy,tate donovan,color,r,ben affleck,english,usa,argo,8.0,2012.0
harrison ford,daniel roebuck,sela ward,color,pg13,andrew davis,english,usa,the fugitive,8.0,1993.0
gerard butler,dorian missick,peter greene,color,pg13,andy tennant,english,usa,the bounty hunter,6.0,2010.0
robert de niro,brad pitt,minnie driver,black and white,r,barry levinson,english,usa,sleepers,8.0,1996.0
sylvester stallone,julia nickson,martin kove,color,r,george p cosmatos,english,usa,rambo first blood part ii,6.0,1985.0
joseph gordonlevitt,demi moore,anne heche,color,r,brian gibson,english,usa,the juror,6.0,1996.0
mel blanc,dickie jones,cliff edwards,color,approved,norman ferguson,english,usa,pinocchio,8.0,1940.0
jeff bridges,sam waterston,isabelle huppert,color,r,michael cimino,english,usa,heavens gate,7.0,1980.0
sophia myles,tony curran,derek jacobi,color,r,len wiseman,english,usa,underworld evolution,7.0,2006.0
daniel radcliffe,spencer wilding,daniel mays,color,pg13,paul mcguigan,english,usa,victor frankenstein,6.0,2015.0
f murray abraham,rob brown,michael nouri,color,pg13,gus van sant,english,usa,finding forrester,7.0,2000.0
steve buscemi,viggo mortensen,elizabeth perkins,color,pg13,betty thomas,english,usa,28 days,6.0,2000.0
morgan freeman,jet li,bob hoskins,color,r,louis leterrier,english,france,unleashed,7.0,2005.0
judith chapman,lillian adams,chelsea bond,color,r,roger kumble,english,usa,the sweetest thing,5.0,2002.0
tom cruise,holly hunter,wilford brimley,color,r,sydney pollack,english,usa,the firm,7.0,1993.0
augustus prew,charlie tahan,valerie tian,color,pg13,burr steers,english,usa,charlie st cloud,6.0,2010.0
jason statham,tony goldwyn,mini anden,color,r,simon west,english,usa,the mechanic,7.0,2011.0
channing tatum,dax flame,rob riggle,color,r,phil lord,english,usa,21 jump street,7.0,2012.0
julia roberts,clarke peters,dylan moran,color,pg13,roger michell,english,uk,notting hill,7.0,1999.0
imelda staunton,miranda richardson,julia sawalha,color,g,peter lord,english,uk,chicken run,7.0,2000.0
philip seymour hoffman,masi oka,debra messing,color,pg13,john hamburg,english,usa,along came polly,6.0,2004.0
john witherspoon,eartha kitt,geoffrey holder,color,r,reginald hudlin,english,usa,boomerang,5.0,1992.0
michael rapaport,william xifaras,demin bichir,color,r,paul feig,english,usa,the heat,7.0,2013.0
martin landau,richard burton,roddy mcdowall,color,approved,joseph l mankiewicz,english,uk,cleopatra,7.0,1963.0
salma hayek,reggie lee,charice,color,pg,frank coraci,english,usa,here comes the boom,6.0,2012.0
morgan freeman,adam scott,bruce davison,color,pg13,carl franklin,english,usa,high crimes,6.0,2002.0
jeff bridges,austin pendleton,mimi rogers,color,pg13,barbra streisand,english,usa,the mirror has two faces,6.0,1996.0
debra messing,will patton,david eigenberg,color,pg13,mark pellington,english,usa,the mothman prophecies,6.0,2002.0
bono,elton john,slash,color,r,larry charles,english,usa,brno,6.0,2009.0
robert davi,talisa soto,anthony zerbe,color,pg13,john glen,english,uk,licence to kill,7.0,1989.0
gary oldman,billy burke,virginia madsen,color,pg13,catherine hardwicke,english,usa,red riding hood,5.0,2011.0
robert de niro,charlize theron,kelsey grammer,color,r,john herzfeld,english,usa,15 minutes,6.0,2001.0
bob hoskins,fisher stevens,fiona shaw,color,pg,annabel jankel,english,uk,super mario bros,4.0,1993.0
nicolas cage,jeremy crutchley,jared burke,color,r,andrew niccol,english,usa,lord of war,8.0,2005.0
jet li,tony chiu wai leung,maggie cheung,black and white,pg13,yimou zhang,mandarin,china,hero,8.0,2002.0
fisher stevens,debbie reynolds,patrick fischler,color,pg13,julie anne robinson,english,usa,one for the money,5.0,2012.0
james franco,randall park,anders holm,color,r,evan goldberg,english,usa,the interview,7.0,2014.0
tony cox,donggun jang,jed brophy,color,r,sngmoo lee,english,new zealand,the warriors way,6.0,2010.0
omar sy,dany boon,andr dussollier,color,r,jeanpierre jeunet,french,france,micmacs,7.0,2009.0
mekhi phifer,omar benson miller,evan jones,color,r,curtis hanson,english,usa,8 mile,7.0,2002.0
heath ledger,rufus sewell,brnice bejo,color,pg13,brian helgeland,english,usa,a knights tale,7.0,2001.0
julian sands,lee evans,anthony chausang wong,color,pg13,gordon chan,english,hong kong,the medallion,5.0,2003.0
bruce willis,haley joel osment,olivia williams,color,pg13,m night shyamalan,english,usa,the sixth sense,8.0,1999.0
robert clohessy,mandy gonzalez,j smithcameron,color,pg13,asger leth,english,usa,man on a ledge,7.0,2012.0
joel mchale,kevin pollak,jobeth williams,color,pg,david frankel,english,usa,the big year,6.0,2011.0
martin kove,william zabka,william bassett,color,pg,john g avildsen,english,usa,the karate kid,7.0,1984.0
jennifer lawrence,christian bale,bradley cooper,color,r,david o russell,english,usa,american hustle,7.0,2013.0
ryan reynolds,denis ohare,craig t nelson,color,pg13,anne fletcher,english,usa,the proposal,7.0,2009.0
bruce greenwood,annabeth gish,bruce campbell,color,r,bruce beresford,english,usa,double jeopardy,6.0,1999.0
lea thompson,jeffrey weissman,thomas f wilson,color,pg,robert zemeckis,english,usa,back to the future part ii,8.0,1989.0
scarlett johansson,morgan freeman,amr waked,color,r,luc besson,english,france,lucy,6.0,2014.0
jennifer ehle,luke grimes,callum rennie,color,r,sam taylorjohnson,english,usa,fifty shades of grey,4.0,2015.0
sylvester stallone,salma hayek,alexa penavega,color,pg,robert rodriguez,english,usa,spy kids 3d game over,4.0,2003.0
kevin spacey,matthew mcconaughey,oliver platt,color,r,joel schumacher,english,usa,a time to kill,7.0,1996.0
tom welling,alyson stoner,bonnie hunt,color,pg,shawn levy,english,usa,cheaper by the dozen,6.0,2003.0
jerry ferrara,scott elrod,dan bilzerian,color,r,peter berg,english,usa,lone survivor,8.0,2013.0
tom hanks,lori petty,rosie odonnell,black and white,pg,penny marshall,english,usa,a league of their own,7.0,1992.0
javier botet,frances oconnor,robin atkin downes,color,r,james wan,english,usa,the conjuring 2,8.0,2016.0
andrew garfield,dustin fitzsimons,marcella lentzpope,color,pg13,david fincher,english,usa,the social network,8.0,2010.0
carmen perez,sabrina revelle,sachiko ishida,color,pg13,ken kwapis,english,usa,hes just not that into you,6.0,2009.0
beau mirchoff,carmen electra,regina hall,color,pg13,david zucker,english,usa,scary movie 4,5.0,2006.0
kelly rutherford,roger jackson,nancy odell,color,r,wes craven,english,usa,scream 3,6.0,2000.0
lea thompson,jeffrey weissman,thomas f wilson,color,pg,robert zemeckis,english,usa,back to the future part iii,7.0,1990.0
will ferrell,alison brie,craig t nelson,color,r,etan cohen,english,usa,get hard,6.0,2015.0
keanu reeves,anthony hopkins,gary oldman,color,r,francis ford coppola,english,usa,bram stokers dracula,8.0,1992.0
meryl streep,mary lynn rajskub,vanessa ferlito,color,pg13,nora ephron,english,usa,julie julia,7.0,2009.0
harrison ford,christopher meloni,nicole beharie,color,pg13,brian helgeland,english,usa,42,8.0,2013.0
philip seymour hoffman,matt damon,jack davenport,color,r,anthony minghella,english,usa,the talented mr ripley,7.0,1999.0
bill murray,kathleen turner,rob riggle,color,pg13,bobby farrelly,english,usa,dumb and dumber to,6.0,2014.0
paul walker,bruce greenwood,wendy crewson,color,pg,frank marshall,english,usa,eight below,7.0,2006.0
robert de niro,anne hathaway,rene russo,color,pg13,nancy meyers,english,usa,the intern,7.0,2015.0
olivia munn,nadine velazquez,bruce mcgill,color,pg13,tim story,english,usa,ride along 2,6.0,2016.0
wes studi,terry kinney,eric schweig,color,r,michael mann,english,usa,the last of the mohicans,8.0,1992.0
bokeem woodbine,curtis armstrong,harry lennix,color,pg13,taylor hackford,english,usa,ray,8.0,2004.0
rosario dawson,powers boothe,jason douglas,black and white,r,frank miller,english,usa,sin city,8.0,2005.0
dennis quaid,edgar ramrez,william hurt,color,pg13,pete travis,english,usa,vantage point,7.0,2008.0
jk simmons,jon favreau,jane curtin,color,r,john hamburg,english,usa,i love you man,7.0,2009.0
jason alexander,bruce mcgill,susan ward,color,pg13,bobby farrelly,english,usa,shallow hal,6.0,2001.0
sally kirkland,jay o sanders,cheryl penland,black and white,r,oliver stone,english,france,jfk,8.0,1991.0
chlo grace moretz,nia long,marisol nichols,color,pg13,john whitesell,english,usa,big mommas house 2,5.0,2006.0
jk simmons,brad pitt,julia roberts,color,r,gore verbinski,english,usa,the mexican,6.0,2001.0
matthew perry,hunter parrish,thomas lennon,color,pg13,burr steers,english,usa,17 again,6.0,2009.0
don johnson,kate upton,david thornton,color,pg13,nick cassavetes,english,usa,the other woman,6.0,2014.0
krista allen,andrew fiscella,shantel vansanten,color,r,david r ellis,english,usa,the final destination,5.0,2009.0
tom hanks,mark rylance,amy ryan,color,pg13,steven spielberg,english,usa,bridge of spies,8.0,2015.0
joaquim de almeida,david keith,sam jaeger,color,pg13,john moore,english,usa,behind enemy lines,6.0,2001.0
pink,mario lopez,lino facioli,color,r,nicholas stoller,english,usa,get him to the greek,6.0,2010.0
lisa ann walter,nick cannon,omar benson miller,color,pg13,peter chelsom,english,usa,shall we dance,6.0,2004.0
kirsten dunst,denis leary,robert picardo,color,pg13,joe dante,english,usa,small soldiers,6.0,1998.0
michael jai white,frank welker,miko hughes,color,r,mark az dipp,english,usa,spawn,5.0,1997.0
henry cavill,james frain,michael wincott,color,pg13,kevin reynolds,english,uk,the count of monte cristo,8.0,2002.0
matthew mcconaughey,margarita levieva,frances fisher,color,r,brad furman,english,usa,the lincoln lawyer,7.0,2011.0
liam neeson,frank langella,aidan quinn,color,pg13,jaume colletserra,english,uk,,7.0,2011.0
christian bale,hugh jackman,scarlett johansson,color,pg13,christopher nolan,english,usa,the prestige,8.0,2006.0
kevin spacey,christoph waltz,lindsay sloane,color,r,sean anders,english,usa,horrible bosses 2,6.0,2014.0
brendan fraser,paul scheer,jonathan morgan heit,color,pg,cal brunker,english,usa,escape from planet earth,6.0,2013.0
rudy youngblood,dalia hernndez,jonathan brewer,color,r,mel gibson,maya,usa,apocalypto,8.0,2006.0
joe don baker,desmond llewelyn,art malik,color,pg,john glen,english,uk,the living daylights,7.0,1987.0
topher grace,alice braga,derek mears,color,r,nimrd antal,english,usa,predators,6.0,2010.0
brian dennehy,debra winger,roscoe lee browne,color,pg,ivan reitman,english,usa,legal eagles,6.0,1986.0
johnny depp,charles s dutton,timothy hutton,color,pg13,david koepp,english,usa,secret window,7.0,2004.0
keanu reeves,dylan walsh,ebon mossbachrach,color,pg,alejandro agresti,english,usa,the lake house,7.0,2006.0
gena rowlands,deneen tyler,joy bryant,black and white,pg13,iain softley,english,usa,the skeleton key,6.0,2005.0
jennifer garner,odeya rush,common,color,pg,peter hedges,english,usa,the odd life of timothy green,7.0,2012.0
busy philipps,beau garrett,kevin sussman,color,pg13,paul weiland,english,usa,made of honor,6.0,2008.0
johnny cannizzaro,steve schirripa,scott vance,color,r,clint eastwood,english,usa,jersey boys,7.0,2014.0
matt damon,dean stockwell,virginia madsen,color,pg13,francis ford coppola,english,usa,the rainmaker,7.0,1997.0
robert downey jr,charles s dutton,bernard hill,color,r,mathieu kassovitz,english,usa,gothika,6.0,2003.0
anthony hopkins,morgan freeman,matthew mcconaughey,color,r,steven spielberg,english,usa,amistad,7.0,1997.0
lorraine bracco,jos wilker,sean connery,color,pg13,john mctiernan,english,usa,medicine man,6.0,1992.0
sam trammell,johnny lewis,ian whyte,color,r,colin strause,english,usa,aliens vs predator requiem,5.0,2007.0
macaulay culkin,john larroquette,jonathan hyde,color,pg,donald petrie,english,usa,rihie rih,5.0,1994.0
jk simmons,sam trammell,elaine stritch,color,pg13,joan chen,english,usa,autumn in new york,6.0,2000.0
brad garrett,scott porter,haley bennett,color,pg13,marc lawrence,english,usa,music and lyrics,6.0,2007.0
bobby lee,nelson ascencio,jeremy owen,color,r,greg mottola,english,usa,paul,7.0,2011.0
miriam margolyes,tom virtue,julene renee,color,pg13,anne fletcher,english,usa,the guilt trip,6.0,2012.0
alison brie,aimee teegarden,shenae grimesbeech,color,r,wes craven,english,usa,scream 4,6.0,2011.0
nicolas cage,chris bauer,anthony heald,color,r,joel schumacher,english,germany,8mm,6.0,1999.0
michael wincott,kevin dillon,kathleen quinlan,color,r,oliver stone,english,usa,the doors,7.0,1991.0
james wilcox,randall park,nat faxon,color,r,jake kasdan,english,usa,sex tape,5.0,2014.0
adam arkin,celia weston,jesse james,color,pg13,diane keaton,english,germany,hanging up,5.0,2000.0
emma bell,jacqueline macinnes wood,courtney b vance,color,r,steven quale,english,usa,final destination 5,6.0,2011.0
jeanne tripplehorn,burt young,vincent pastore,color,pg13,kelly makin,english,uk,mickey blue eyes,6.0,1999.0
kevin spacey,haley joel osment,angie dickinson,color,pg13,mimi leder,english,usa,pay it forward,7.0,2000.0
jimmy fallon,kadee strickland,ione skye,color,pg13,bobby farrelly,english,usa,fever pitch,6.0,2005.0
lisa ann walter,shaun weiss,matt walsh,color,pg13,steven brill,english,usa,drillbit taylor,6.0,2008.0
liam neeson,charlize theron,seth macfarlane,color,r,seth macfarlane,english,usa,a million ways to die in the west,6.0,2014.0
jonathan winters,peter boyle,john kapelos,color,pg13,russell mulcahy,english,usa,the shadow,6.0,1994.0
tom hanks,thomas horn,stephen henderson,color,pg13,stephen daldry,english,usa,extremely loud incredibly close,7.0,2011.0
noah bean,patti darbanville,vanessa aspillaga,color,pg13,roger michell,english,usa,morning glory,6.0,2010.0
50 cent,bill duke,marc john jefferies,color,r,jim sheridan,english,usa,get rich or die tryin,5.0,2005.0
michael biehn,caryhiroyuki tagawa,anne archer,color,r,christian duguay,english,usa,the art of war,6.0,2000.0
rosario dawson,david fine,jesse l martin,color,pg13,chris columbus,english,usa,rent,7.0,2005.0
rufus sewell,jimmy smits,angela bettis,color,r,chuck russell,english,usa,bless the child,5.0,2000.0
oliver hudson,valerie perri,carlease burke,color,pg13,sam weisman,english,usa,the outoftowners,5.0,1999.0
marlon brando,temuera morrison,marco hofschneider,color,pg13,john frankenheimer,english,usa,the island of dr moreau,4.0,1996.0
catherine deneuve,justin chambers,stephen rea,color,pg13,peter hyams,english,germany,the musketeer,5.0,2001.0
natalie portman,scarlett johansson,benedict cumberbatch,color,pg13,justin chadwick,english,uk,the other boleyn girl,7.0,2008.0
keanu reeves,charlize theron,frank langella,color,pg13,pat oconnor,english,usa,sweet november,7.0,2001.0
stephen rea,andrea frankle,william ragsdale,color,r,stephen hopkins,english,usa,the reaping,6.0,2007.0
robert de niro,david carradine,david proval,color,r,martin scorsese,english,usa,mean streets,7.0,1973.0
ed begley jr,cliff robertson,lillo brancato,color,pg13,penny marshall,english,usa,renaissance man,6.0,1994.0
jordi moll,callum blue,jesse borrego,color,pg13,olivier megaton,english,france,colombiana,6.0,2011.0
gary oldman,jaleel white,eric idle,color,g,frederik du chau,english,usa,the magic sword quest for camelot,6.0,1998.0
robert de niro,james franco,john doman,color,r,michael catonjones,english,usa,city by the sea,6.0,2002.0
mira sorvino,nathan lane,steven weber,black and white,pg13,irwin winkler,english,usa,at first sight,6.0,1999.0
dane cook,jay hernandez,christina milian,color,pg13,joseph kahn,english,usa,torque,4.0,2004.0
al pacino,martin landau,bridget fonda,color,r,harold becker,english,usa,city hall,6.0,1996.0
bobbie phillips,elizabeth berkley,robert davi,color,nc17,paul verhoeven,english,france,showgirls,5.0,1995.0
kirsten dunst,shirley henderson,rip torn,color,pg13,sofia coppola,english,usa,marie antoinette,6.0,2006.0
nicolas cage,michael rapaport,philip baker hall,color,r,barbet schroeder,english,usa,kiss of death,6.0,1995.0
sylvester stallone,miranda richardson,lauren lee smith,color,r,stephen kay,english,usa,get carter,5.0,2000.0
naomi watts,geraldine chaplin,oaklee pendergast,color,pg13,ja bayona,english,spain,the impossible,8.0,2012.0
carol kane,warren beatty,isabelle adjani,color,pg13,elaine may,english,usa,ishtar,4.0,1987.0
bill murray,meryl streep,helen mccrory,color,pg,wes anderson,english,usa,fantastic mr fox,8.0,2009.0
angelina jolie pitt,stockard channing,james gammon,color,pg13,stephen herek,english,usa,life or something like it,6.0,2002.0
richard epcar,michael mckean,patricia heaton,color,pg13,john carpenter,english,usa,memoirs of an invisible man,6.0,1992.0
mathieu kassovitz,jamel debbouze,isabelle nanty,black and white,r,jeanpierre jeunet,french,france,amlie,8.0,2001.0
marykate olsen,bob saget,riley smith,color,pg,dennie gordon,english,usa,new york minute,5.0,2004.0
omar epps,nia long,jane krakowski,color,r,charles shyer,english,uk,alfie,6.0,2004.0
ted danson,tim blake nelson,andrew daly,color,pg,ken kwapis,english,usa,big miracle,6.0,2012.0
alexa penavega,treat williams,jonathan jackson,color,pg13,ulu grosbard,english,usa,the deep end of the ocean,6.0,1999.0
natascha mcelhone,jeffrey combs,udo kier,color,r,william malone,english,uk,feardotcom,3.0,2002.0
josh hutcherson,salma hayek,patrick fugit,color,pg13,paul weitz,english,usa,cirque du freak the vampires assistant,6.0,2009.0
justin theroux,amber valletta,harvey fierstein,color,pg13,danny devito,english,usa,duplex,6.0,2003.0
bernie mac,sean hayes,mike epps,color,r,malcolm d lee,english,usa,soul men,6.0,2008.0
m emmet walsh,jason robards,anne archer,color,pg,jerry jameson,english,uk,raise the titanic,5.0,1980.0
michael jai white,daniel von bargen,xander berkeley,color,r,mic rodgers,english,usa,universal soldier the return,4.0,1999.0
norman reedus,dennis quaid,eddie rouse,color,r,christian alvart,english,germany,pandorum,7.0,2009.0
gary dourdan,mekhi phifer,tim guinee,color,r,gary fleder,english,usa,impostor,6.0,2001.0
rufus sewell,bridgette wilsonsampras,rupert graves,color,pg13,christian duguay,english,uk,extreme ops,4.0,2002.0
bridgette wilsonsampras,matt ross,john aylward,color,pg13,jeanmarie poir,english,france,just visiting,6.0,2001.0
chris evans,benedict wong,troy garity,color,r,danny boyle,english,uk,sunshine,7.0,2007.0
john gatins,lou saliba,greg collins,color,pg13,brian robbins,english,usa,a thousand words,6.0,2012.0
eric idle,anne bancroft,kelly ripa,color,pg,marc f adler,english,usa,delgo,4.0,2008.0
ray winstone,mark rylance,jasmine trinca,color,r,pierre morel,english,usa,the gunman,6.0,2015.0
alex pettyfer,sophie okonedo,ashley walters,color,pg,geoffrey sax,english,germany,alex rider operation stormbreaker,5.0,2006.0
sarah roemer,aaron yoo,jose pablo cantillo,color,pg13,dj caruso,english,usa,disturbia,7.0,2007.0
angelina jolie pitt,fisher stevens,lorraine bracco,color,pg13,iain softley,english,usa,hackers,6.0,1995.0
james brolin,zan marolt,ljubomir kerekes,color,r,richard shepard,english,usa,the hunting party,7.0,2007.0
jennifer jason leigh,bill cobbs,john mahoney,black and white,pg,joel coen,english,uk,the hudsucker proxy,7.0,1994.0
jet li,takeshi kaneshiro,andy lau,color,r,peter hosun chan,mandarin,hong kong,the warlords,7.0,2007.0
jay hernandez,kuno becker,jason scott lee,color,r,sergey bodrov,kazakh,france,nomad the warrior,6.0,2005.0
chris evans,ewen bremner,kangho song,color,r,joonho bong,english,south korea,snowpiercer,7.0,2013.0
adam goldberg,bob balaban,franois cluzet,color,pg,bibo bergeron,french,france,a monster in paris,7.0,2011.0
matthew broderick,glenn morshower,tim blake nelson,color,r,jeff nathanson,english,usa,the last shot,6.0,2004.0
michael wincott,bai ling,david patrick kelly,color,r,alex proyas,english,usa,the crow,8.0,1994.0
arliss howard,brooklynn proulx,michelle nolden,color,pg13,robert schwentke,english,usa,the time travelers wife,7.0,2009.0
colin ferguson,stephen collins,tom everett scott,color,pg13,michael lehmann,english,usa,because i said so,6.0,2007.0
martin landau,catherine ohara,atticus shaffer,black and white,pg,tim burton,english,usa,frankenweenie,7.0,2012.0
adam baldwin,sean maher,michael hitchcock,color,pg13,joss whedon,english,usa,serenity,8.0,2005.0
omar epps,charles s dutton,tim daly,color,pg13,charles s dutton,english,usa,against the ropes,5.0,2004.0
margot kidder,robert vaughn,jackie cooper,color,pg,richard lester,english,uk,superman iii,5.0,1983.0
robert de niro,sylvester stallone,oscar gale,color,pg13,peter segal,english,usa,grudge match,6.0,2013.0
takeshi kaneshiro,tony chiu wai leung,wei zhao,color,r,john woo,mandarin,china,red cliff,7.0,2008.0
ethan embry,mary lynn rajskub,courtney gains,color,pg13,andy tennant,english,usa,sweet home alabama,6.0,2002.0
gerard butler,john michael higgins,eric winter,color,r,robert luketic,english,usa,the ugly truth,6.0,2009.0
austin pendleton,phil hartman,max casella,color,pg,jonathan lynn,english,usa,sgt bilko,6.0,1996.0
steve buscemi,alexa penavega,emily osment,color,pg,robert rodriguez,english,usa,spy kids 2 island of lost dreams,5.0,2002.0
levar burton,alan ruck,jonathan frakes,color,pg,david carson,english,usa,star trek generations,7.0,1994.0
tony chiu wai leung,hyekyo song,elvis tsui,color,pg13,karwai wong,mandarin,hong kong,the grandmaster,6.0,2013.0
robert pattinson,christoph waltz,james frain,color,pg13,francis lawrence,english,usa,water for elephants,7.0,2011.0
denzel washington,vincent pastore,deborah kara unger,black and white,r,norman jewison,english,usa,the hurricane,8.0,1999.0
bill cobbs,jeff kober,billy campbell,color,pg13,michael apted,english,usa,enough,6.0,2002.0
sarah silverman,anne bancroft,jeffrey jones,color,pg13,david mirkin,english,usa,heartbreakers,6.0,2001.0
db woodside,daniella alonso,eduardo verstegui,color,pg,andy fickman,english,usa,paul blart mall cop 2,4.0,2015.0
sonia braga,shirley knight,kari matchett,color,r,luis mandoki,english,usa,angel eyes,6.0,2001.0
jim belushi,ken marino,kelly lynch,color,pg,john pasquin,english,usa,joe somebody,6.0,2001.0
johnny depp,frank langella,lena olin,color,r,roman polanski,english,spain,the ninth gate,7.0,1999.0
jk simmons,paul guilfoyle,bill nunn,color,r,michael apted,english,usa,extreme measures,6.0,1996.0
beth grant,dagmara dominczyk,matthew glave,color,r,stephen herek,english,usa,rock star,6.0,2001.0
monique,gabourey sidibe,mariah carey,color,r,lee daniels,english,usa,precious,7.0,2009.0
jeff bridges,jason marsden,ethan embry,color,pg13,ridley scott,english,usa,white squall,7.0,1996.0
wilford brimley,richard masur,david clennon,color,r,john carpenter,english,usa,the thing,8.0,1982.0
vin diesel,nolan gerard funk,bokeem woodbine,color,r,david twohy,english,usa,riddick,6.0,2013.0
gregory scott cummins,claudia stedelin,ted markland,color,r,jeb stuart,english,usa,switchback,6.0,1997.0
tom skerritt,usher raymond,leonor varela,color,pg13,steve miner,english,usa,texas rangers,5.0,2001.0
bill murray,toby jones,harry treadaway,color,pg,gil kenan,english,usa,city of ember,6.0,2008.0
mike howard,jeffrey w jenkins,bruce goodchild,color,r,paul thomas anderson,english,usa,the master,7.0,2012.0
hayden christensen,ryan cartwright,david walliams,color,r,david leland,english,italy,virgin territory,5.0,2007.0
dennis quaid,nicole beharie,charles s dutton,black and white,pg,gary fleder,english,usa,the express,7.0,2008.0
chlo grace moretz,maggie siff,nick robinson,color,pg13,j blakeson,english,usa,the 5th wave,5.0,2016.0
sylvester stallone,phylicia rashad,graham mctavish,color,pg13,ryan coogler,english,usa,creed,8.0,2015.0
jeremy renner,jon hamm,owen burke,color,r,ben affleck,english,usa,the town,8.0,2010.0
anna kendrick,dennis quaid,thomas lennon,color,pg13,kirk jones,english,usa,what to expect when youre expecting,6.0,2012.0
jk simmons,brad pitt,kevin sussman,color,r,ethan coen,english,usa,burn after reading,7.0,2008.0
gerard butler,anthony simcoe,christopher james baker,color,pg,jennifer flackett,english,usa,nims island,6.0,2008.0
chris hemsworth,olivia wilde,alexandra maria lara,color,r,ron howard,english,uk,rush,8.0,2013.0
patton oswalt,neil flynn,jim meskimen,color,r,paul thomas anderson,english,usa,magnolia,8.0,1999.0
bruce willis,tracy morgan,kevin pollak,color,r,kevin smith,english,usa,cop out,6.0,2010.0
alison brie,damon wayans jr,nicholas braun,color,r,christian ditter,english,usa,how to be single,6.0,2016.0
morgan freeman,michael roark,harry connick jr,color,pg,charles martin smith,english,usa,dolphin tale,7.0,2011.0
kristen stewart,taylor lautner,anna kendrick,color,pg13,catherine hardwicke,english,usa,twilight,5.0,2008.0
denzel washington,laura harring,anne heche,color,pg13,nick cassavetes,english,usa,john q,7.0,2002.0
peter greene,dave chappelle,tamala jones,color,pg13,les mayfield,english,usa,blue streak,6.0,1999.0
lauraleigh,molly c quinn,thomas lennon,color,r,rawson marshall thurber,english,usa,were the millers,7.0,2013.0
kathleen quinlan,mc gainey,jt walsh,color,r,jonathan mostow,english,usa,breakdown,7.0,1997.0
bernie casey,klaus maria brandauer,barbara carrera,color,pg,irvin kershner,english,uk,never say never again,6.0,1983.0
charlie mcdermott,collette wolfe,crystal lowe,color,r,steve pink,english,usa,hot tub time machine,6.0,2010.0
morgan freeman,taylor blackwell,harry connick jr,color,pg,charles martin smith,english,usa,dolphin tale 2,6.0,2014.0
charlize theron,james frain,clarence williams iii,color,r,john frankenheimer,english,usa,reindeer games,6.0,2000.0
vin diesel,jeff kober,larenz tate,color,r,f gary gray,english,usa,a man apart,6.0,2003.0
emma stone,bradley cooper,bill murray,color,pg13,cameron crowe,english,usa,aloha,5.0,2015.0
alexa penavega,virginia madsen,craig t nelson,color,pg13,rob reiner,english,usa,ghosts of mississippi,7.0,1996.0
rick yune,reeve carney,daniel von bargen,color,pg13,scott hicks,english,usa,snow falling on cedars,7.0,1999.0
anthony hopkins,colin odonoghue,toby jones,color,pg13,mikael hfstrm,english,usa,the rite,6.0,2011.0
