<page title>,brand,date added,manuf no,our price,part no,rating,rrp,ship weight,usually ships,you save,ac power supply,ae lock,af assist beam,af lock,af modes,af system points,batteries,battery life,builtin flash range,closest focusing distance,continuous shooting,dimensions wxhxd,drive modes,exposure compensation,external flash,flash exposure compensation,flash exposure lock,iso sensitivity,metering modes,modes,modes in movie,movie length,movies,operating environment,redeye reduction,slow sync speed,still image type,type,weight,zoom,focal length,image stabilisation,,battery batteries,battery life shots per charge,charging time,exposure control,exposure metering,exposure modes,incamera image editing,power sources,scene modes,battery charger,exposure bracketing,flash sync speed,focus modes,image sensor type,lens mount,metering range,shooting modes,continuous shooting options,selftimer,shutter,shutter speed,top continuous shooting speed at full resolution,aeb,af microadjustment,af point selection,af working range,aspect ratio,battery grip,battery indicator,body materials,brightness adjustment,builtin flash coverage,builtin flash gn iso 100 meters,builtin flash recycle time,case,coating,colour filter type,coverage,coverage verticalhorizontal,custom functions,depth of field preview,dioptre correction,display formats,display options,effective pixels,external flash compatibility,external flash control,eyepiece shutter,eyepoint,file numbering,firmware update,flash,flash exposure bracketing,focusing,focusing screen,folders,frame rate,highlight alert,histogram,hotshoe pc terminal,image eraseprotection,image size,intelligent orientation sensor,lcd panel illumination,lenses,lowpass filter,magnification,manual focus,menu categories,menu languages,metadata tag,metering,mirror,movie size,movie type,other,playback zoom,power saving,power supply battery chargers,predictive af,rawjpeg simultaneous recording,remote controller switch,second curtain synchronisation,selected af point display,sensor cleaning,slide show,sound memo,speed,total pixels,viewfinder,viewfinder information,viewing angle horizontallyvertically,water dust resistance,weight body only,wireless file transmitter,xsync,exposure lock,f,file size kb,large l1,medium 1 m1,medium 2 m2,medium m,small s,current displayed product preselected for you,afarea mode,autofocus system,builtin flash,bulb shutter setting,card slot,date time and daylight savings time settings,dustreduction system,exposure metering system,fastest shutter speed,file format,file system,flash compensation,flash control,flash mode,flashready indicator,focus lock,frame advance rate,guide number,image area pixels,image sensor format,metering method,movie,movie audio recording device,movie audio recording format,movie file format,movie metering,movie metering method,movie video compression,picture angle,picture control,remote control modes,sensor size,shutter release modes,shutter type,slowest shutter speed,storage media,supported languages,world time setting,compensation,iso equivalent,media,metering system,mode,recording,ac adapter,accessory shoe,active dlighting,advanced scene modes,approx dimensions,approx weight,autoarea af mode,autofocus sensitivity,compatible lenses,dlighting bracketing,dynamic af mode,exposure meter coupling,flash sync modes,focus point,gps,high iso noise reduction,highest expanded iso sensitivity,highest standard iso sensitivity,image comment,interface,lens aperture,lens compatibility at a glance,lens servo,live view afarea mode,live view lens servo,live view scene auto selector,live view shooting,long exposure noise reduction,lowest standard iso sensitivity,maximum autofocus areaspoints,mirror lock up,monitor adjustments,monitor angle of view,monitor resolution,monitor size,monitor type,movie audio,movie maximum recording time,my menu,nikon creative lighting system cls,playback functions,recent settings,reflex mirror,singlepoint af mode,supplied accessories,supplied software,total custom settings,tripod socket,viewfinder diopter adjustment,viewfinder eyepoint,viewfinder frame coverage,viewfinder magnification,white balance,white balance bracketing,wifi functionality,large l,medium 1m1,medium 2m2,effective pixel,total pixel,afassist lamp,angle of view coverage,bracket,capacity 2gb,color filter,color space,compression,continuous,editing,filed of view,focusing point,format,macintosh,movie editing,multimotion recording,quality,raw format,remote controller,resolution,sensor type,size,smart filter,smart mode,sound,sync speed,synchro flash attachment,user display,windows,wireless
Nikon Coolpix S3600 Digital Camera - Black (VNA551AA) | Camerafarm Australia,Nikon Web Site,9/4/2014,VNA551AA,122.05,316364.0,Not Rated,$149.00,"2 KG
Details","1-3 Days
More info",$26.95,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,Rechargeable Li-ion Battery EN-EL19,"Still pictures*: Approx. 230 shots Movies (actual battery life for recording)*: Approx. 45 min *Based on Camera and Imaging Products Association (CIPA) standards for measuring the life of camera batteries. Measured at 23(-/+2)C (73(-/+4)F); zoom adjusted with each shot, flash fired with every other shot, image quality set to Normal, image size set to 5152 3864 (20.1MP). Battery life may vary depending on shooting interval and length of time menus and images are displayed.",2 hours and 50 minutes (when using Charging AC Adapter EH-70P and when no charge remains) (Approx.),Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait,Copy Crop D-Lighting Filter Effects Glamour Retouch Print Order Protect Quick Retouch Red eye correction Rotate Image Slide Show Small Picture Voice Memo,One Rechargeable Li-ion Battery EN-EL19 (supplied) AC Adapter EH-62G (available separately),Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Portrait Snow Sports Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon 1 J3 Digital Camera - Silver (VVK184XH) | Camerafarm Australia,Nikon Web Site,6/6/2014,VVK184XH,708.55,318706.0,Not Rated,$749.00,"2 KG
Details","Order In
More info",$40.45,,,,,,,,,,,,,,3 EV in increments of 1/3EV,,,,,,,,,,,,,,,,,,,,,,,,,Programmed Auto with flexible Program (P) Shutter-Priority Auto (S) Aperture-Priority Auto (A) Manual (M) Scene Auto Selector,,,Portrait Landscape Night Landscape Night Portrait Close-up Auto,,,Up to 1/60 sec.,Auto (AF) Auto AF-S/AF-C selection (AF-A) Single-Servo AF (AF-S) Continuous-Servo (AF-C) Full-time Servo (AF-F) Manual Focus (MF),CMOS,,,"Advanced movie mode (includes slow motion) Auto Photo mode Best Moment Capture mode (includes Slow View and Smart Photo Selector) Creative mode (including: P, S, A, M, Night Landscape, Night Portrait, Backlighting, Soft, Miniature Effect, and Selective Color) Motion Snapshot (16:9)",,"2, 5, 10 sec. Timer duration electronically controlled",,,15 frames per second with AF; 30/60 fps with focus locked on first frame,,,,,,,,,,,,,,,,,,,,,,,14.2 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13 million,,,,,,,,Luminosity locked at detected value with AE-L/AF-L button,,,,,,,,,Single-point AF: 135 focus areas; the center 73 areas support phase-detection AF Auto-area AF: 41 focus areas Subject tracking Face-priority AF,Hybrid autofocus (phase detection/contrast-detect AF) AF-assist illuminator,Yes,Yes,1 Secure Digital (SD),Yes,Dust Shield,TTL metering using image sensor,"1/16,000 sec.","Compressed 12-bit NEF (RAW) JPEG: JPEG-Baseline compliant with fine (approx 1:4), normal (approx 1:8), or basic (approx 1:16) compression NEF (RAW) + JPEG: Single photograph recorded in both NEF (RAW) and JPEG formats",Compliant with DCF (Design Rule for Camera File System) 2.0 DPOF (Digital Print Order Format) EXIF 2.3 (Exchangeable Image File Format for Digital Still Cameras) PictBridge,-3 to +1 EV in increments of 1/3 EV,i-TTL flash control using image sensor available,Auto Auto with red-eye reduction Fill-flash Fill-flash with slow sync Red-eye reduction Red-eye reduction with slow sync Rear curtain sync Rear curtain with slow sync Slow sync with red-eye reduction Off,Lights when built-in flash unit is fully charged,Focus can be locked by pressing shutter-release button halfway (single AF),"Approx. 5, 15, 30, or 60 fps","5/16 (m/ft ISO 100, 20C/68F) Approx. At ISO 160, Guide Number is approx. (6.3/20.7)","Normal Panorama, horizontal pan (40:7 aspect ratio)
4,800 x 920
Normal Panorama - vertical pan (8:25 aspect ratio)
1,536 x 4,800
Wide Panorama - horizontal pan (80:7 aspect ratio)
9,600 x 920
Wide Panorama - vertical pan (4:25 aspect ratio)
1,536 x 9,600
Still Images (3:2 aspect ratio)
4,608 x 3,072 3,456 x 2,304 2,304 x 1,536
Still images (taken during movie recording; aspect ratio 3:2)
4,608 x 3,072 (1080/60i, 1080/30p) 1,280 x 856 (720/60p, 720/30p)
Motion Snapshot (16:9 aspect ratio)
4,608 x 2,592",CX,Matrix Center-weighted: Meters 4.5 mm circle in center of frame Spot: Meters 2 mm circle centered on select focus area,HD: 1920 x 1080/60i HD: 1920 x 1080/30p HD: 1280 x 720/60p HD: 1280 x 720/30p Slow-motion: 640 x 240/400fps Slow-motion: 320 x 120/1200fps Motion Snapshot: 1920 x 1080/60p (plays at 24p) Audio file format: ACC Movie file format: MOV,Built-in stereo microphone; sensitivity adjustable,AAC,MOV,TTL exposure metering using main image sensor,Matrix Center-weighted: Meters 4.5 mm circle in center of frame Spot: Meters 2 mm circle centered on select focus area,H.264/MPEG-4 Advanced Video Coding,Approx. 2.7x lens focal length (Nikon CX format),Standard Neutral Vivid Monochrome Portrait Landscape Selected Picture Control can be modified User-customizable Settings,WU-1b Wireless Mobile Adapter,13.2 mm x 8.8 mm,Single-frame [S] mode Continuous Self-timer mode,Electronic Shutter,30 sec.,SD SDHC SDXC,Arabic Bengali Chinese (Simplified and Traditional) Czech Danish Dutch English Finnish French German Greek Hindi Hungarian Indonesian Italian Japanese Korean Norwegian Polish Portuguese (European and Brazilian) Romanian Russian Spanish Swedish Tamil Thai Turkish Ukrainian Vietnamese,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon G1X PowerShot G1 X Digital Camera - Black | Camerafarm Australia,Canon Web Site,24/2/2012,G1X,660.25,187616.0,Not Rated,$849.00,"2 KG
Details","1-3 Days
More info",$188.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 GB 16 GB File Size (KB) 4 GB 16 GB File Size (KB) 4 GB 16 GB,,,,,"F 113 24,139 98,840 133 20,116 82,367 150 20,116 82,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F 2,738 1,386 5,680 3,248 1,171 4,797 3,651 1,040 4,259","F 1,420 2,623 10,743 1,683 2,234 9,151 1,897 1,978 8,101","F 604 6,034 24,709 496 7,099 29,070 558 6,352 26,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D3100 Digital SLR Camera - 14.2MP Black (850090) | Camerafarm Australia,Nikon Web Site,5/4/2011,850090,854.4,167956.0,Not Rated,"$1,099.00","3.5 KG
Details","1-3 Days
More info",$244.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DSCW710P Digital Camera - Pink | Camerafarm Australia,Sony Web Site,20/3/2013,DSCW710P,123.15,218195.0,Not Rated,$149.00,"0.3 KG
Details","1-3 Days
More info",$25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S9600 Digital Camera - Black (VNA500AA) | Camerafarm Australia,Nikon Web Site,2/4/2014,VNA500AA,330.15,316107.0,Not Rated,$349.00,"2 KG
Details","1-3 Days
More info",$18.85,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait,Copy D-Lighting Glamour Retouch Quick Retouch Red eye correction Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Easy Panorama Fireworks Show Food Landscape Museum Night Landscape Night Portrait Party/Indoor Pet Portrait Portrait Scene Auto Selector Snow Sports Sunset,,,,,,,,,Best Shot Selector Continuous H Continuous H 60 Continuous H 120 Continuous L Multi-shot 16 Pre-shooting cache Single,Can be selected from 10 or 2 seconds duration,Mechanical and CMOS electronic shutter,1/1500-1 sec. 1/4000 sec. (maximum speed during high-speed continuous shooting) 4 sec. (when scene mode is set to Fireworks show),Up to 5 shots at approx. 6.7 frames per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 1100D Digital SLR Camera - 12.2MP Black (1100DKB) | Camerafarm Australia,Canon Web Site,15/3/2011,1100DKB,481.9,166388.0,Not Rated,$599.00,"2.5 KG
Details","1-3 Days
More info",$117.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S9700 Digital Camera - Black (VNA650AA) | Camerafarm Australia,,,,,,,,,,,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure with flexible program aperture-priority auto manual shutter priority auto Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Center-weighted Spot (digital zoom 2X or more),Aperture-Priority Auto (A) Auto Manual (M) Programmed Auto (P) Scene Scene Auto Selector Smart Portrait Special Effects Shutter-Priority Auto (S),Copy D-Lighting Glamour Retouch Quick Retouch Red eye correction Skin Softening Small Picture,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Easy Panorama Fireworks Show Food Landscape Museum Night Landscape Night Portrait Party/Indoor Portrait Scene Auto Selector Snow Sports Sunset,,,,,,,,,Best Shot Selector Continuous H Continuous H 60 Continuous H 120 Continuous L Multi-shot 16 Pre-shooting cache Single,Can be selected from 10 or 2 seconds duration,Mechanical and CMOS electronic shutter,"1/2000-1 sec. 1/2000-8 sec. (when ISO sensitivity is fixed at ISO 125 or 200 in P, S, A*, or M mode) *When the aperture value is f/5.6-8 at the wide-angle position 1/4000 sec. (maximum speed during high-speed continuous shooting)",Up to 5 shots at approx. 6.9 frames per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S2800 Digital Camera - Black (VNA571AA) | Camerafarm Australia,Nikon Web Site,9/4/2014,VNA571AA,122.05,316363.0,Not Rated,$129.00,"2 KG
Details","1-3 Days
More info",$6.95,,,,,,,,,,,,,,2 EV in steps of 1/3,,,,,,,,,,,,,,,,,,,,,,,Programmed auto exposure Exposure compensation (-2.0 to +2.0 EV in steps of 1/3 EV),Matrix Centre-weighted (digital zoom less than 2x) Spot (digital zoom 2X or more),Auto Scene Scene Auto Selector Smart Portrait Special Effects,Crop D-Lighting Filter Effects Glamour Retouch Quick Retouch Red eye correction Small Pic,,Back Light Beach Black and White Copy Close Up Dusk/Dawn Fireworks Show Food Landscape Museum Night Landscape Night Portrait Panorama Assist Party/Indoor Portrait Snow Sports Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DSCRX100M3 Cyber-shot RX100 III Digital Camera - Black | Camerafarm Australia,Sony Web Site,24/7/2014,DSCRX100M3,1044.25,366743.0,Not Rated,"$1,099.00","2 KG
Details","Order In
More info",$54.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flash Bracketing : 2.0 EV
Flash Metering System : Pre-flash TTL
Flash Compensation : 2.0 EV (switchable between 1/3 EV steps)
Recycling Time : Approx. 3.4 sec.
Flash Modes : Auto / Fill-flash / Slow Sync / Rear Sync / Off
Flash Coverage : ISO Auto: 1 to 49 2 (0.30m to 15.0m) (W) / 1 9 18 8 (0.55m to 5.7m) (T) ISO 12800: Up to 98 5 (30.0m) (W) / 37 (11.3m) (T)
Flash Type : Built-in, Pop-up Auto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Type : 0.39"" SVGA electronic viewfinder(OLED), 1,440,000dots
Magnification : Approx. 0.59x with 50mm lens at infinity, -1m1(diopter) (35mm equiv.)
Diopter Adjustment : -4.0 to +3.0m-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Panorama Still Image Size : Wide (12,4161,856/5,5362,160), Standard(8,1921,856/3,8722,160)
Audio Format : XAVC S: LPCM 2ch; AVCHD:Dolby Digital(AC-3) 2ch(Dolby Digital Stereo Creator); MP4:M PEG-4 AAC-LC 2ch
Video Format : XAVC S / AVCHD Ver. 2.0 / MP4 (MPEG-4 AVC (H.264))
Video Mode : XAVC S: 60p 50M(1,920x1,080/60p) / 30p 50M(1,920x1,080/30p) / 24p 50M(1,920x1,080/24p) / 120p 50M(1,280x720/120p) AVCHD: 28M PS(1,920x1,080/60p) / 24M FX(1,920x1,080/60i) / 17M FH(1,920x1,080/60i) / 24M FX(1,920x1,080/24p) / 17M FH(1,920x1,080/24p) MP4: 12M(1,440x1,080/30fps) / 3M VGA(640x480/30fps)
Color Space : sRGB standard (with sYCC gamut) and Adobe RGB standard compatible with TRILUMINOS Color
Still Image Size 16:9 : L:17M(5,4723,080) / M: 7.5M(3,6482,056) / S: 4.2M(2,7201,528)
Still Image Size 3:2 : L: 20M(5,4723,648) / M: 10M(3,8882,592) / S: 5M(2,7361,824)
Still Image Mode : JPEG (Standard, Fine), RAW, RAW+JPEG
Media Type : SD, SDHC and SDXC memory card; Memory Stick PRO Duo/Pro-HG Duo media
Still Image Max Effective Resolution : 20.1 Megapixels
Still Image Size 4:3 : L: 18M(4,8643,648) / M: 10M(3,6482,736) / S: 5M(2,5921,944)
Video Signal : NTSC color, EIA standards
Microphone/Speaker : Built-in Stereo Microphone / Mono Speaker
Still Image Size 1:1 : L: 13M(3,6483,648) / M: 6.5M(2,5442,544) / S: 3.7M(1,9201,920)
Mic Level Control : 16 steps
Still Image File Format : JPEG (DCF Ver. 2.0, Exif Ver.2.3, MPF Baseline compliant), RAW (Sony ARW 2.3 format)
Wind Noise Reduction : Yes (On/Off)",,,,,,,,,,,,,,,,,,,,"NFC : Yes (NFC Forum Type 3 Tag compatible, One-touch remote, One-touch sharing)
DC IN : Yes, via AC-UB10 AC charger and USB cable
Memory Card Slot : Dual compatibility slot: Memory Stick PRO Duo/Pro-HG Duo/PRO-HG HX Duo media - SD, SDHC and SDXC memory card
HD Output : HDMI (Type D micro)
Wi-Fi : Yes
Tripod Mount : Yes (1/4"" diameter, 20 threads per inch)
Remote Commander : Yes, via RM-VPR1
PhotoTV HD : Yes, with BRAVIA Sync enabled HDTV and HDMI cable
USB Port(s) : USB 2.0 Hi-speed (mass-storage, MTP)
BRAVIA Sync : Yes, via HDMI with compatible BRAVIA HDTV (link menu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
