<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Olympus Pen E-PM1 + 14-42/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",4032x3024,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Pentax K-S1 + 18-55/3.5-5.6 AL  New Zealand Prices - PriceMe,Built-in,,,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-GX1 + 14-42/3.5-5.6 OIS  New Zealand Prices - PriceMe,,"160 - 12,800 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-G5 + 14-42/3.5-5.6 OIS PZ X  New Zealand Prices - PriceMe,,"160 - 12,800 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon IXUS 140  New Zealand Prices - PriceMe,,"100 - 1,600 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-6.9,224mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung EC-DV150F  New Zealand Prices - PriceMe,,"80 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.5-6.3,125mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-LZ30  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3- 5.9,875mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-FZ200  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8,600mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon 1 AW1 + 11-27.5mm  New Zealand Prices - PriceMe,Lens based only,"160 - 6,400 ISO",4608x3072,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Sony Cybershot DSC-WX300  New Zealand Prices - PriceMe,,"80 - 2,800 ISO",4896x3672,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.5-6.5,500mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,64MB,Memory Stick (MS)Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCmicroSDXCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Panasonic Lumix TZ60  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4896x3672,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-6.4,720mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-WX70  New Zealand Prices - PriceMe,,100 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.6-6.3,125mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Canon IXUS 510 HS  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",3648x2736,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.4-5.6,336mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D4S  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",4928x3280,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW), TIFF",,,,,,,,,,
Canon PowerShot SX240 HS  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.5-6.8,500mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Olympus Stylus SH-50 iHS  New Zealand Prices - PriceMe,,"125 - 6,400 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,,,F/3- 6.9,600mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung DV300F  New Zealand Prices - PriceMe,Optical,"80 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.5,125mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Olympus E-5  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 6400,4032x3024,LiveMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/8000s,JPEG,,,,,,,,,,
Sigma DSLR-SD15  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",2640 × 1760,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha NEX-5R + 16-50/3.5-5.6 OSS  New Zealand Prices - PriceMe,,"100 - 25,600 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 100D  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Nikon D3200 + 18-140mm  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6016x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW)",,,,,,,,,,
Fujifilm FinePix XP10  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 1600,4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/4.0-6.7,180mm,36mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Fujifilm Finepix J25  New Zealand Prices - PriceMe,,"100 - 1,600 ISO",3648x2736,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1-5.6,106.5mm,35.5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sigma DP1 Merrill  New Zealand Prices - PriceMe,,100 - 800 ISO,2640 × 1760,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8,28mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Olympus FE-5030  New Zealand Prices - PriceMe,Optical & ISO anti-shake,Auto,4288x3216,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1/4-1/2000s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-6.35,130mm,26mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix L820  New Zealand Prices - PriceMe,,"80 - 1,600 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3- 5.8,675mm,22.5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-GH4 + 12-35/2.8 OIS  New Zealand Prices - PriceMe,Lens based only,"200 - 25,600 ISO",4608x3456,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/8000s,"JPEG, RAW",,,,,,,,,,
Pentax K-7  New Zealand Prices - PriceMe,With Image Stabilizer,Auto ISO,4672x3120,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1/180s,RAW,,,,,,,,,,
Canon EOS 7D + 17-55/2.8 IS  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Olympus Pen E-PL5 + 14-42/3.5-5.6  New Zealand Prices - PriceMe,,"200 - 25,600 ISO",4608x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-H200  New Zealand Prices - PriceMe,,"80 - 3,200 ISO",5184x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,,,F/3.1-5.9,633mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,32MB,Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)
Fujifilm FinePix F770 EXR  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.5-5.3,500mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung NX3000 + 16-50/3.5-5.6 ED  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Canon EOS 100D + 18-55mm + 75-300mm  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 60D + 18-55/3.5-5.6 IS II + 75-300/4.0-5.6 III  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony A99V + 24-70/2.8  New Zealand Prices - PriceMe,Built-in,"100 - 25,600 ISO",6000x4000,CMOS,,30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-QX10  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",4896x3672,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,,,F/3.3-5.9,250mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 100D + 18-135/3.5-5.6 IS STM  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon 1 J1 + 10/2.8 + 10-30/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/16000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Nikon D5200 + 18-55/3.5-5.6 VR + 55-200/4.0-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Olympus Stylus Tough TG-835  New Zealand Prices - PriceMe,Optical,125 ISO,4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.9-5.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Fujifilm X-T1 + 18-135/3.5-5.6  New Zealand Prices - PriceMe,Lens based only,"200 - 6,400 ISO",4896x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",32-1/4000s,"JPEG, RAW",,,,,,,,,,
Nikon D5100 + 18-55/3.5-5.6 VR + 55-300/4.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Fujifilm FinePix JV100  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 3200,4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.3-5.6,111mm,37mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony A6000 + 16-70/4 ZA OSS  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, RAW",,,,,,,,,,
Pentax K3 + 18-55/3.5-5.6 WR  New Zealand Prices - PriceMe,Built-in,"100 - 51,200 ISO",6016x4000,CMOS,,30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 7D + 15-85/3.5-5.6 + 70-300/4.5-5.6  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Nikon Coolpix S6300  New Zealand Prices - PriceMe,Optical,"125 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-5.8,250mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon PowerShot A3200 IS  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 1600, ISO manual 1600",4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",15-1/1600s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-5.9,25mm,5mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Leica X2  New Zealand Prices - PriceMe,,"100 - 12,500 ISO",4928x3264,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Leica M Monochrom  New Zealand Prices - PriceMe,,,5212x3472,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",32-1/4000s,,,,,,,,,,,
Nikon D600 + 24-85/3.5-4.5 VR  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",6048x4032,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW)",,,,,,,,,,
Pentax K-5 + 18-135/3.5-5.6 WR  New Zealand Prices - PriceMe,Built-in,"100 - 12,800 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot Pro 1  New Zealand Prices - PriceMe,,50 - 400 ISO,3264x2448,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.4-3.5,200mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax K-S1  New Zealand Prices - PriceMe,,"100 - 51,200 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/6000s,"JPEG, RAW",,,,,,,,,,
Pentax Q10 + 5-15/2.8-4.5 + 15-45/2.8  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Sony Cybershot DSC-WX80  New Zealand Prices - PriceMe,,"100 - 2,800 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-6.3,200mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,Memory Stick (MS)Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCmicroSDXCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
