3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Canon PowerShot A3500 digital camera prices, Shopping comparison for Canon A 3500, Buy online in India - ShopMania",,F/2.8-6.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / USB,0.8,20 mm,MOV / H.264,4x,Fixed,"8714574598833, 8714574598765, 7898576032067, 7898576032050, 8714574597003, 7898576032043, 8714574596907, 8714574596945, 8714574596938","-/+ 2 EV range, in 1/3 EV steps",Bulb / Intelligent Auto / Scene / Snow,Auto / Manual / Off / On / Slow Speed Sync,3 m,,,Yes,56 mm,DPOF / JPEG,Digic 4,640x480 / 1600x1200 / 3264x2448 / 4608x2592 / 4608x3456,Optical,Carrying strap / Charger / USB cable,,Auto / 25 / 100 / 140 / 200 / 320 / 400 / 640 / 800 / 1200 / 1600,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),5x (more than 61%),Canon PowerShot A3500,0 out of 5,Face Detection,,16 MP (more than 78%),230000,"3"" (more than 62%)",LCD,Custom / 2s / 10s,1/2.3,CCD,Miniature,Yes,Write a review,,135 g,,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent",98 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Touch
/ Tracking",,,,4:3 / 16:9,,"Rs.8,990 - Shopclues.com Show all prices »",,9.0,Yes,,,,,,,28 - 140 mm,Yes,,Yes,,,
,"Panasonic Lumix DMC-FP8 digital camera prices, Shopping comparison for Panasonic DMC FP 8, Buy online in India - ShopMania",Yes,F/3.3 / F/3.3-5.9,Li-Ion,Ultracompact,Panasonic,Digital Cameras,Composite / USB,10.0,20 mm,MJPEG / MPEG / QuickTime,4x,Fixed,"0876544665018, 0876544664981, 0037988263585, 0876544664998, 0876544665001","-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,5.50 m,Built-in,,,60 mm,DCF / DPOF / JPEG,Venus Engine V,640x480 / 1600x1200 / 1920x1080 / 2048x1360 / 2048x1536 / 2560x1440 / 2560x1712 / 2560x1920 / 3264x1840 / 3264x2176 / 3264x2448 / 4000x2248 / 4000x2672 / 4000x3000,Optical,Battery case / Hand strap,40 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600,1/1300,MultiMediaCard / SD / SDHC,Multi,Yes,60s (more than 91%),4.6x (more than 60%),Panasonic Lumix DMC-FP8,3 out of 5,Face Detection,Yes,12.1 MP (more than 57%),230000,"2.7""",LCD,2s / 10s,1/2.33,CCD,Black & White / Contrast / Neutral / Sepia / Soft / Vivid,,Write a review,320x240 / 640x480 / 848x480 / 1280x720,151 g,Custom / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Halogen / Indoor / Shade,96 mm,,"Contrast Detect
/ Live View
/ Single",,,,3:2 / 4:3 / 16:9,,"Rs.4,750 - Greendust.com Show all prices »",,11.0,Yes,,,"876544665018, 876544664981, 037988263585, 876544664998, 876544665001",,,Optical,28 - 128 mm,,,,,,
,"Samsung WB650 digital camera prices, Shopping comparison for Samsung WB 650, Buy online in India - ShopMania",,F/3.2-5.8,Li-Ion,Compact,Samsung,Digital Cameras Digital Cameras,Composite / HDMI / USB / micro HDMI,0.8,28 mm,MJPEG / MPEG / H.264,5x,Fixed,,"-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,,Built-in,,Yes,61 mm,DCF / DPOF / JPEG,,640x480 / 1024x768 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 3840x2160 / 3984x2656 / 4000x3000,Optical,Carrying strap,128 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SD / SDHC / SDXC,,Yes,16s (more than 61%),15x (more than 91%),Samsung WB650 Samsung WB650,4 out of 5 4 out of 5,Face Detection,Yes,12.1 MP (more than 57%),920000 (more than 80%),"3"" (more than 62%)",OLED,2s / 10s,1/2.3,CCD,Retro,Yes,Write a review Write a review,320x240 / 1280x720,,Custom / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Sunlight / Tungsten,107 mm,,,,,,,,,Yes,,,,,,,,Optical,,,,,,,
,"Sony Cyber-shot DSC-WX220 digital camera prices, Shopping comparison for Sony Cybershot DSC WX 220, Buy online in India - ShopMania",,F/3.3-5.9,Li-Ion,Compact,Sony,Digital Cameras,HDMI / USB / micro HDMI / micro USB,10.0,22 mm,AVCHD / MP4,40x,,"4905524980745, 4905524980790, 4905524980721, 4905524980752","-/+ 2 EV range, in 1/3 EV steps",Backlight HDR / Beach / Beauty / High Sensitivity / Panorama / Snow / Soft Skin / Sunset,Auto / Off / On / Slow Speed Sync,3.70 m,,4.45 - 44.5 mm,,52 mm,JPEG,Bionz X,4896x3672,Optical,Carrying strap / USB cable,,Auto / 20 / 25 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,1/1600,Memory Stick / Memory Stick Duo / SD / SDXC / micro SD,Center-weighted / Multi / Spot,Yes,4s,10x (more than 83%),Sony Cyber-shot DSC-WX220,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,18.2 MP (more than 94%),460800 (more than 76%),"2.7""",LCD,2s / 10s,1/2.3,Exmor R CMOS,,,Write a review,1440x1080 / 1920x1080,121 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash",92 mm,,,,,,,,"Rs.11,499 - Shopclues.com Show all prices »",,,,,,,,,,,,,Yes,,,
,"Fujifilm XQ1 digital camera prices, Shopping comparison for Fujifilm XQ 1, Buy online in India - ShopMania",,F/1.8 / F/1.8-4.9,Li-Ion,Compact,Fujifilm,Digital Cameras,Composite / USB / micro HDMI,,,MOV / MPEG-4 / H.264,,Fixed,"4547410263312, 4547410263305, 4547410263534, 7892520237478","-/+ 3 EV range, in 1/3 EV steps",,Auto / On / Red Eye Reduction / Slow Speed Sync,7.40 m,,,Yes,,DPOF / JPEG / RAW,EXR II,1536x1536 / 1920x1080 / 2048x1360 / 2048x1536 / 2112x2112 / 2816x1584 / 2816x1864 / 2816x2112 / 2992x2992 / 4000x2248 / 4000x2664 / 4000x3000,Optical,Carrying strap / Power adapter / USB cable,66 MB,25 / 12800,1/4000,,Average / Spot,Yes,30s (more than 65%),4x (more than 51%),Fujifilm XQ1,0 out of 5,"Face Detection
/ Panorama",,12 MP (more than 51%),920000 (more than 80%),"3"" (more than 62%)",LCD,2s / 10s,2/3,CMOS,,,Write a review,1280x720,187 g,,Shade / Underwater,,"-/+ 1 EV (3 frames in 1/3, 2/3, 1 EV steps)","Center
/ Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Phase Detect
/ Single",,,,1:1 / 3:2 / 4:3 / 16:9,,"Rs.28,620 - Homeshop18.com Show all prices »",,,Yes,,,,,,,25 - 100 mm,Yes,,Yes,,,
,"Sony SLT-A55 body digital camera prices, Shopping comparison for Sony SLT A 55 body, Buy online in India - ShopMania",Yes,F/3.5-5.6 / F/4.0-5.6,Li-Ion,DSLR,Sony,Digital Cameras Digital Cameras,HDMI / USB / mini HDMI,10.0,85 mm,AVCHD / MPEG / MP4 / MPEG-4 / H.264,,Rotating,"4905524686579, 4905524686463, 4905524686357, 0609728168827, 0609728168797, 0609728168773, 0609728168728, 0609728169060, 0609728168698, 0609728169077, 0609728168735, 0609728168674, 0609728168667, 0609728168742, 0609728168834, 0845251021592, 0609728168711, 0609728168803, 0610696360380, 0609728168766, 0609728168759, 0609728168704, 0609728168650, 0609728168681, 0027242265974, 0609728168810, 0609728168780, 0609728168643, 0845251021684, 0845251021677, 0876544596244, 0876544596220, 0876544596206, 0876544596213, 0876544596237, 0876544596251, 0610696351791","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,10 m,Built-in / External,18 - 55 mm / 55 - 200 mm,Yes,92 mm,DCF / DPOF / JPEG / MPF / RAW,Bionz,640x480 / 1920x1080 / 2288x1520 / 2448x1376 / 2448x1624 / 3344x2224 / 3568x2368 / 4592x3056 / 4912x3264,Optical,Body cap,,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 12800 / 25600,1/4000,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Sony SLT-A55 body Sony SLT-A55 body,4 out of 5 4 out of 5,"Face Detection
/ HDR
/ Smile Detection
/ Sweep Panorama",Yes,16.2 MP (more than 88%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 10s,23.5x15.6mm,CMOS,Black & White / Night View / Saturation / Vivid,,Write a review Write a review,640x424 / 1280x720 / 1440x1080 / 1920x1080,500 g,Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Shade / Sunlight / Tungsten",124 mm,,"Continuous
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Body,1/160,1.5x,3:2 / 16:9,Minolta A / Sony A,,Yes,15.0,Yes,Yes,APS-C,"609728168827, 609728168797, 609728168773, 609728168728, 609728169060, 609728168698, 609728169077, 609728168735, 609728168674, 609728168667, 609728168742, 609728168834, 845251021592, 609728168711, 609728168803, 610696360380, 609728168766, 609728168759, 609728168704, 609728168650, 609728168681, 027242265974, 609728168810, 609728168780, 609728168643, 845251021684, 845251021677, 876544596244, 876544596220, 876544596206, 876544596213, 876544596237, 876544596251, 610696351791",100%,1.1x,Electronic / Optical,,Yes,,,,,
,"Kodak M522 digital camera prices, Shopping comparison for Kodak M 522, Buy online in India - ShopMania",,,Li-Ion,Compact,Kodak,Digital Cameras Digital Cameras,Composite / USB,,23 mm,AVI / H.264,4x,Fixed,"0876544753098, 0041778131879, 0041771521868, 0876544748483, 0041771986339, 0876544748490, 0876544748506, 0876544748476, 0876544748537, 0876544748520, 0876544748513",,Auto / Custom / Manual / Program / Scene,Auto / Fill-in / Off / Red Eye Reduction,,Built-in,,,56 mm,JPEG,,640x480 / 2048x1536 / 2880x2160 / 4288x2416 / 4288x2848 / 4288x3216,,,32 MB,Auto / 80 / 100 / 400 / 1000,1/1400,MultiMediaCard / SD / SDHC / SDXC,,,16s (more than 61%),4x (more than 51%),Kodak M522 Kodak M522,0 out of 5 0 out of 5,,Yes,14 MP (more than 67%),230000,"2.7""",,2s / 10s,,CCD,Black & White / Sepia / Vivid,,Write a review Write a review,640x480 / 1280x720,159 g,,Cloudy / Daylight / Sunny / Fluorescent / Indoor / Shade / Tungsten,92 mm,,,,,,,,,,,,,,"876544753098, 041778131879, 041771521868, 876544748483, 041771986339, 876544748490, 876544748506, 876544748476, 876544748537, 876544748520, 876544748513",,,,,,,,,,
Yes,"Nikon COOLPIX S9500 digital camera prices, Shopping comparison for Nikon S 9500, Buy online in India - ShopMania",,F/3.4-6.3,Li-Ion,Compact,Nikon,Digital Cameras,Composite / HDMI / USB / micro HDMI / mini HDMI,7.5,31 mm,AVC / MOV / WAV / iFrame / MPEG-4 / H.264,4x,Fixed,"0689466661880, 0639767669924, 0639767669931, 0845251050707, 0846431091930, 0639767669900, 0689466661897, 0689466661903, 0689466661934, 0689466661958, 0689466661927, 0845251050738, 0689466661910, 0689466661866, 0689466661941, 0639767669917, 0845251050714, 0639767669955, 7898560270277, 7898560270284, 0018208935017, 0018208264179, 0018208264186, 0018208934973, 0845251050745, 0018208934911, 0018208264193, 0845251050721, 0846431091954, 0689466661873, 0846431091923, 0689466661859, 0689466661842, 0639767669948, 0639767669962","-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Beach / Dawn / Fireworks / Food / Landscape / Macro / Museum / Night Portrait / Night Scene / Panorama / Party / Portrait / Program / Scene / Snow / Sport / Sunset / e-Portrait / 3D,Auto,6 m,,4.5 - 99 mm,Yes,60 mm,DCF / DPOF / JPEG / MPF / MPO / DCF 2.0,Expeed C2,640x480 / 1600x1200 / 2272x1704 / 3264x2448 / 4864x2736 / 4896x3672,Optical,AV cable / Carrying strap / Charger / Power adapter / USB cable,23 MB,Auto / 25 / 50 / 60 / 100 / 120 / 125 / 200 / 320 / 400 / 640 / 800 / 1200 / 1600 / 3200 / 4000,1/1500,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,1s,22x (more than 96%),Nikon COOLPIX S9500,0 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",,18.1 MP (more than 94%),,"3"" (more than 62%)",OLED,2s / 10s,1/2.3,BSI CMOS,,Yes,Write a review,224x160 / 512x384 / 1280x720,205 g,,,110 mm,,,,,,,,"Rs.18,382 - Homeshop18.com Show all prices »",Yes,,,,,"689466661880, 639767669924, 639767669931, 845251050707, 846431091930, 639767669900, 689466661897, 689466661903, 689466661934, 689466661958, 689466661927, 845251050738, 689466661910, 689466661866, 689466661941, 639767669917, 845251050714, 639767669955, 018208935017, 018208264179, 018208264186, 018208934973, 845251050745, 018208934911, 018208264193, 845251050721, 846431091954, 689466661873, 846431091923, 689466661859, 689466661842, 639767669948, 639767669962",,,,25 - 550 mm,Yes,,Yes,,,
,"Samsung WB150 digital camera prices, Shopping comparison for Samsung WB 150, Buy online in India - ShopMania",,F/3.2-5.8,Li-Ion,Compact,Samsung,Digital Cameras Digital Cameras,Composite / HDMI / USB,15.0,,AVC / MJPEG / MPEG-4 / H.264,4x,Fixed,"8806071992693, 8806071838007, 0610696368898, 0610696366337, 0610696366313, 8806071847375, 0044701016410, 0044701016397, 0876544936897, 0876544936873, 0876544936859, 0876544936842, 0876544936835, 0845251037531, 0610696368904, 0610696366320, 0616641735500, 0845251037524, 0845251037548, 0845251037555, 0610696366306, 8806071838014","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.50 m,Built-in,4 - 72 mm,Yes,,DCF / DPOF / JPEG,,640x480 / 1024x768 / 1920x1080 / 1984x1488 / 2592x1944 / 2832x2832 / 3648x2736 / 4320x2432 / 4320x2880 / 4320x3240 / 4608x2592 / 4608x3072,Optical,Carrying strap / Power adapter / USB cable,25 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,16s (more than 61%),18x (more than 93%),Samsung WB150 Samsung WB150,4 out of 5 4 out of 5,"Panorama
/ Sweep Panorama",Yes,14.2 MP (more than 75%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,Fisheye / Retro / Soft Focus / Vivid,,Write a review Write a review,320x240 / 1280x720,,,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Tungsten,,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,Yes,,Yes,,,"610696368898, 610696366337, 610696366313, 044701016410, 044701016397, 876544936897, 876544936873, 876544936859, 876544936842, 876544936835, 845251037531, 610696368904, 610696366320, 616641735500, 845251037524, 845251037548, 845251037555, 610696366306",,,,24 - 432 mm,Yes,,Yes,,,
,"Casio EX-ZR10 digital camera prices, Shopping comparison for Casio EX ZR 10, Buy online in India - ShopMania",Yes,F/3.0-5.9 / F/3.1-5.9,Li-Ion,Compact,Casio,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,3.0,27 mm,MOV / QuickTime / H.264,4x,Fixed,"4971850494621, 4971850494614, 0876544596398, 4971850494638, 0876544596404, 0876544596435","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction,3.70 m,Built-in,5 - 35 mm,,59 mm,DCF / DPOF / JPEG,EXILIM Engine HS,640x480 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 3648x2736 / 4000x2240 / 4000x2656 / 4000x3000,Optical,AV cable / Body cap / Carrying strap / Charger / USB cable,62 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,7x (more than 79%),Casio EX-ZR10 Casio EX-ZR10,0 out of 5 0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,12.1 MP (more than 57%),460800 (more than 76%),"3"" (more than 62%)",Super Clear LCD,2s / 10s,1/2.3,BSI CMOS,,,Write a review Write a review,224x64 / 224x160 / 432x320 / 512x384 / 1920x1080,176 g,Automatic / Custom / Presets,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Overcast / Shade / Tungsten,102 mm,,"Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,,Yes,,,,,"876544596398, 876544596404, 876544596435",,,,28 - 196 mm,,,,,,
,"Sony DSC-W520 digital camera prices, Shopping comparison for Sony DSC W 520, Buy online in India - ShopMania",Yes,F/3.3-5.8,Li-Ion,Compact,Sony,Digital Cameras,Composite / USB,11.0,21 mm,AVCHD / AVI / MJPEG / MPEG,2x,Fixed,"4905524767209, 4905524767193","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,6 m,Built-in,4.5 - 22.5 mm,,56 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x3000 / 4320x2432 / 4320x3240 / 4608x3456,Optical,Carrying strap / Charger / USB cable,28 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / Memory Stick Pro / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,2s,5x (more than 61%),Sony DSC-W520,0 out of 5,"Blink Detection
/ Face Detection
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,14 MP (more than 67%),230400 (more than 63%),"2.7""",LCD,2s / 10s,1/2.3,CCD,Contrast,,Write a review,320x240 / 640x480 / 1280x720 / 1440x1080,125 g,Automatic / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent",96 3,,,,,,,,,,,,,,,,,Optical,25 - 125 mm,,,,"Rs.6,918 Show all prices »",,
,"Nikon 1 S1 kit 11-27.5mm digital camera prices, Shopping comparison for Nikon 1 S 1 kit 11 27 5mm, Buy online in India - ShopMania",,,Li-Ion,Compact,Nikon,Digital Cameras,,15.0,30 mm,QuickTime,,Fixed,"0846431085854, 0689466661446, 0018208931590, 0018208931552, 0018208931514, 0846431086110, 0846431093569, 0846431093675, 0689466661590, 0689466661576, 0689466661583, 0846431085878, 0689466661736, 0846431093439, 0846431086073, 0689466661712, 0845251050226, 0846431093125, 0689466661453, 0845251050219, 0689466661439, 0845251050202, 0018208276202, 0846431094177, 0846431093804, 0846431094030, 0689466661729, 0846431085861, 0018208276172, 0689466661705, 0846431093927, 0689466661422, 0846431093316, 0846431085892, 0846431085885, 8033737551851, 0846431093682, 0846431093446, 0846431094047, 0846431094160, 0846431093309, 0846431093811",,Movie,,,,11 - 27.5 mm,,61 mm,,Expeed 3A,3872x2592,,,,60 / 100 / 6400,,SDHC,,,,,Nikon 1 S1 kit 11-27.5mm,0 out of 5,,,10.1 MP,460000 (more than 68%),"3"" (more than 62%)",,,,CMOS,,,Write a review,,240 g,,,102 mm,,,Kit,,,,,"Rs.42,359 - Grabmore India Show all prices »",,,,,,"846431085854, 689466661446, 018208931590, 018208931552, 018208931514, 846431086110, 846431093569, 846431093675, 689466661590, 689466661576, 689466661583, 846431085878, 689466661736, 846431093439, 846431086073, 689466661712, 845251050226, 846431093125, 689466661453, 845251050219, 689466661439, 845251050202, 018208276202, 846431094177, 846431093804, 846431094030, 689466661729, 846431085861, 018208276172, 689466661705, 846431093927, 689466661422, 846431093316, 846431085892, 846431085885, 846431093682, 846431093446, 846431094047, 846431094160, 846431093309, 846431093811",,,,,Yes,,,,,
,"Vivitar ViviCam 8025 digital camera prices, Shopping comparison for Vivitar ViviCam 8025, Buy online in India - ShopMania",,,Li-Ion,Compact,Vivitar,Digital Cameras,USB,,18 mm,AVI,8x,Fixed,"0681066316542, 0681066800218, 0610696355935, 0681066374818",,Auto / Program / Scene,,,Built-in,,,58 mm,JPEG,,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3264x2448 / 3648x2048,Digital,,16 MB,Auto / 100 / 200 / 400,1/2000,SD / SDHC,,,2s,3x,Vivitar ViviCam 8025,3 out of 5,,Yes,8.1 MP,,"2.4""",,10s,,CMOS,,Yes,Write a review,320x240 / 640x424 / 640x480,,Automatic / Presets,Cloudy / Daylight / Sunny / Fluorescent / Indoor / Tungsten,92 mm,,,,,,,,"Rs.4,495 - Grabmore India Show all prices »",,,,,,"681066316542, 681066800218, 610696355935, 681066374818",,,,,,,,,,
Yes,"Panasonic DMC-LX7 digital camera prices, Shopping comparison for Panasonic DMC LX 7, Buy online in India - ShopMania",Yes,F/1.4-2.3,Li-Ion,Compact,Panasonic,Digital Cameras,Composite / USB / mini HDMI,,,AVCHD / MPEG-4,4.5x,Fixed,"5025232681716, 0846431081337, 0846431081320, 0689466657746, 0689466657739, 0885170087378, 0885170087361, 0689466657715, 5025232681655, 0085170087372, 0689466657722, 5025232681709, 5025232681679","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,8.50 m,,4.7 - 17.7 mm,,,DCF / DPOF / JPEG / MPO,Venus Engine FHD,480x480 / 640x480 / 1536x1536 / 1600x1200 / 1920x1080 / 1920x1920 / 2048x1360 / 2048x1536 / 2112x1408 / 2208x1248 / 2304x2304 / 2560x1920 / 2656x1768 / 2736x2736 / 2784x1568 / 3072x2304 / 3168x2112 / 3328x1872 / 3648x2736 / 3776x2520 / 3968x2232,Optical,Carrying strap / Charger / Lens cap / USB cable,70 MB,80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),3.8x (more than 50%),Panasonic DMC-LX7,4 out of 5,"Face Detection
/ HDR
/ Panorama",,10.1 MP,920000 (more than 80%),"3"" (more than 62%)",LCD,2s / 10s,1/1.7,CMOS,,,Write a review,,298 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Shade / Tungsten,,,"Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,"Rs.37,671 - Grabmore India Show all prices »",Yes,23.0,Yes,,,"846431081337, 846431081320, 689466657746, 689466657739, 885170087378, 885170087361, 689466657715, 085170087372, 689466657722",,,,24 - 90 mm,Yes,,,,,
,"Fujifilm FinePix HS20 digital camera prices, Shopping comparison for Fujifilm Fine Pix HS 20, Buy online in India - ShopMania",Yes,F/2.8-5.6,NiMH,Compact,Fujifilm,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,8.0,126 mm,AVI / MOV / MPEG / MPEG-4 / H.264,2x,Folding,"4547410146745, 0814733013295, 0876544702133, 0876544702119, 0610696378057, 0610696378064, 0846431034975, 0689466324167, 0610696378040, 0662425801312, 0876544702096, 0876544702126","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction,3.20 m,Built-in / External,4.2 - 126 mm,,91 mm,DCF / DPOF / JPEG / RAW,EXR,640x480 / 1920x1080 / 2304x1536 / 2304x1728 / 2592x1728 / 2592x1944 / 3264x1840 / 3264x2176 / 3264x2448 / 3648x2056 / 3648x2432 / 3648x2736 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Lens cap / USB cable,20 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,1/4000,SD / SDHC / SDXC,Average / Multi / Spot,Yes,30s (more than 65%),30x (more than 98%),Fujifilm FinePix HS20 Fujifilm FinePix HS20,4 out of 5 4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2,Exmor CMOS,Contrast / Sepia / Soft / Vivid,,Write a review Write a review,320x240 / 640x480 / 1280x720 / 1920x1080,730 g,Automatic / Custom / Manual / Presets,"Daylight / Sunny / Fine / Fluorescent / Incandescent / Indoor / Shade / Sunlight / Sunny
/ Underwater",129 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,3:2 / 4:3 / 16:9,,,Yes,,Yes,,,"814733013295, 876544702133, 876544702119, 610696378057, 610696378064, 846431034975, 689466324167, 610696378040, 662425801312, 876544702096, 876544702126",97%,,Electronic / Optical,24 - 720 mm,Yes,,,,,
