<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Fuji Blowers FinePix F900EXR 16 Megapixel Compact Camera - Black (3"" LCD - 20x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.4 in,16 Megapixel,,Auto Flash|Flash OFF|Flash ON|Suppressed Flash|Slow Sync|Red-eye Reduction,,2.4 in,EXR CMOS II,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I)|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year,7.48 oz,4.1 in,,Fujifilm,Yes,Shooting Modes:AutoPortraitPortrait EnhancerLandscapeSportNightNight (Tripod)FireworksSunsetSnowBeachUnderwaterPartyFlowerText,Program AEAperture Priority AEShutter Priority AEManual,No,No,1.0,B00B9775OC,Yes,F900EXR,No,3.4x,4.60 mm to 92 mm,25 mm to 500 mm 25 mm to 500 mm,20 X,,,No,Yes,NP-50A,Yes,No,Yes,ISO 12800,,8 Second,60 fps,Digital Camera,FinePix,,1/2000 Second,Automatic Scene RecognitionFineShadeFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent LightUnderwaterCustom,,,REACH|WEEE,14 Elements in 11 Groups,3.4,60.96,20.0,7.48,F,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,
"Nikon Coolplix P340 Black Digital Camera (12.2 MP, 5x Opt, SD/SDHC/SDXC Card Slot, 56 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.3 in,12200000 pixels,,Built-in Flash,,2.3 in,CMOS,,Video - Out (Unspecified)|USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,12760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26459/COOLPIX-P340.html,1 year(s),6.9 oz,4.1 in,Yes,,,,,,,,,,,,4 X,5.1mm to 25.5 mm,24 mm to 120 mm,5 X,,,,,,,,,,,,,,,,,,56 MB,1.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS Rebel T1i 15.1 Megapixel Digital SLR Camera Body With Lens Kit - 18 Mm - 55 Mm (3"" LCD - 3.1x Optical Zoom - 4752 X 3168 Image - HDMI) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,2.4 in,15.1 Megapixel,,Auto Flash,,3.8 in,CMOS,Optical,1 x USB|1 x Video Out|1 x HDMI|1 x DC Power In,3 in,Canon EF/EF-S,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,15500000,http://www.usa.canon.com,1 Year Limited,1.06 lbs,5.1 in,,,,,,,,,,,,,,18 mm to 55 mm (Lens 1),,3.1 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus Stylus SZ-14 Red Digital Camera (14 MP, 24x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.56 in,"14,000,000 pixels",,Built-in Flash,,2.7 in,CCD,,"Video - Out (Unspecified)|USB|HDMI|Audio - Line Out (1/8"" Mini)",3 in,,,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,,http://www.getolympus.com/us/,1 year(s),0.48 lbs,4.19 in,,,,,,,,,,,,,4 X,4.5 mm to 108 mm,25 mm to 600 mm,24 X,,,,,,,,,,,,,,,,,,59 MB,3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot 135 16 Megapixel Compact Camera - Silver (2.7"" LCD - 8x Optical Zoom - Electronic IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,16 Megapixel,,Slow Sync|Auto Flash|Flash ON|Flash OFF|Red-eye Fix,,2.1 in,CCD,Electronic,,2.7 in,,1280 x 720,Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,16600000,http://www.usa.canon.com,1 Year,3.95 oz,3.8 in,,,,,,,,,,,,,4x,5 mm to 40 mm,28 mm to 224 mm,8 X,,,,,,,,,,,,,,,,,,,,WEEE|REACH|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot RX100 Black Digital Camera (20.2 MP, 3.6x Opt, MS/MS Pro Duo/SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1.4 in,20.2 Megapixel,,Auto Flash|Flash ON|Flash OFF|Rear Curtain Sync|Slow Sync,,2.3 in,Exmor CMOS,Optical,HDMI|USB,3 in,Fixed,1920 x 1080,Memory Stick Duo|Memory Stick PRO Duo|Memory Stick PRO High Speed Duo|Memory Stick PRO-HG Duo|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,20900000,http://www.sony.com,1 Year Limited,7.51 oz,4.0 in,,,,,,,,,,,,,14x,10.40 mm to 37.10 mm,28 mm to 100 mm,3.6 X,,,,,,,,,,,,,,,,,,,1.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha NEX-5T Black SLR Digital Camera Kit W/ 16-50 Mm Lens (16.1 MP, 3x Opt, Memory Stick PRO Duo/Memory Stick PRO-HG Duo/SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,,16.1 pixels,,Built-in Flash,,,CMOS,Optical,USB|HDMI,3 in,Sony E,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Memory Stick PRO-HG Duo|Memory Stick PRO Duo,,"http://store.sony.com/p/E-mount-Lens-Camera,-Interchangeable-Lens/en/p/NEX5TL/B",1 year(s),,,Yes,,,,,,,,,,,,4 X,,24 mm to 77 mm,3 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,Sony Alpha NEX-5T Black SLR Digital Camera Kit w/ 16-50 mm Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-50 White SLR Digital Camera (16.3 MP, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",,Digital SLR Camera,2.8 in,16300000 pixels,Water Proof|Dust Proof,Built-in Flash|Accessory Shoe,,3.8 in,CMOS,Sensor Shift,"USB|Audio - Line In (1/8"" Mini)|A/V (RCA Composite)",3 in,,1920 x 1080,Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,16500000 pixels,http://www.us.ricoh-imaging.com/dslr/K-50_White,1 year(s),20.8 oz,5.1 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-500 Black SLR Digital Camera Kit W/ 18-55 Mm DA L Lens (16.3 MP, 3.1x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,2.8 in,16300000 pixels,,Built-in Flash|Accessory Shoe,,3.8 in,CMOS,Sensor Shift,USB|A/V (RCA Composite),3 in,Pentax KAF2,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16500000 pixels,http://www.pentaxwebstore.com/product/42855,1 year(s),20.8 oz,5.1 in,,,,,,,,,,,,,,18 mm to 55 mm,27.5 mm to 84.5 mm,3.1 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X-E2 Silver Digital Camera Kit W/ 18-55 Mm Lens (16.3 MP, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Interchangeable Lens Camera,1.5 in,16300000 pixels,,Built-in Flash|Accessory Shoe,,5.1 in,CMOS,Sensor Shift,"USB|HDMI|Audio - Line In (1/8"" Mini)",3 in,Fujifilm X,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16700000 pixels,http://www.fujifilmusa.com/products/digital_cameras/x/fujifilm_x_e2/,,10.6 oz,2.9 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus PEN E-PM2 16.1 Megapixel Mirrorless Camera Body Only - White (3"" Touchscreen LCD - Electronic, Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",Body Only,Mirrorless Camera,1.3 in,16.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction|Slow Sync|Rear Curtain Sync|Front Curtain Sync,,2.5 in,Live MOS,Electronic|Optical,,3 in,Micro Four Thirds,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I)|Flash Air|Eye-Fi Card,17200000,http://www.olympusamerica.com,1 Year,7.87 oz,4.3 in,,Olympus,No,Scene Modes:Portraite-PortraitLandscapeLandscape + PortraitSportNightNight + PortraitChildrenHigh KeyLow KeyDIS ModeMacroNature MacroCandleSunsetDocumentsPanoramaFireworksBeach & SnowFisheye Conv.Wide Conv.Macro Conv.3D,Program AEAperture Priority AEShutter Priority AEManual,,,1.0,B0099OUB02,Yes,E-PM2,,No,,,,Yes,35.0,No,Yes,BLS-5,Yes,No,Yes,ISO 12800,Thai,60 Second,30 fps,,PEN,,1/4000 Second,Auto WB2 Capture WBsCustom WB (Kelvin Setting)Sunny (5300K)Shadow (7500K)Cloudy (6000K)Incandescent (3000K)Fluorescent (4000K)UnderwaterWB Flash (5500K),,,WEEE|RoHS,,,63.5,,7.87,,,Viewer 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Df Black SLR Digital Camera (16.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,2.6 in,16200000 pixels,,Accessory Shoe|Built-in Flash,Yes,4.3 in,CMOS,,USB|HDMI,3.2 in,Nikon F,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16600000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1526/Nikon-Df.html,1 year(s),25 oz,5.6 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus OM-D E-M10 Black Digital Camera (16.1 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Mirrorless Interchangeable Lens Camera,1.8 in,16100000 pixels,Water Resistant,Built-in Flash|Accessory Shoe,Yes,3.2 in,CMOS,Sensor Shift,USB|HDMI,3 in,Micro Four Thirds,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),17200000 pixels,http://www.getolympus.com/us/en/digitalcameras/omd/e-m10.html,1 year(s),14 oz,4.7 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-3 Black SLR Digital Camera - Body Only (23.35 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,3.05 in,23.35 Megapixel,Weather Resistant,Accessory Shoe|Built-in Flash,,3.94 in,CMOS,Sensor Shift,"A/V (RCA Composite)|Audio - Line In (1/8"" Mini)|HDMI|USB",3.2 in,Pentax KAF2,,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,24.71 Megapixel,http://www.us.ricoh-imaging.com/dslr/K-3_#!product-specs,,28.2 oz,5.17 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X-E2 Black Digital Camera (16.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Mirrorless Interchangeable Lens Camera,1.5 in,"16,300,000 pixels",Water Resistant,Accessory Shoe,,2.9 in,CMOS,,USB|HDMI,3 in,Fujifilm X,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,"16,700,000 pixels",http://www.fujifilmusa.com/products/digital_cameras/x/fujifilm_x_e2/,1 year(s),10.6 oz,5.1 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D4 Black SLR Digital Camera - Body Only (16.2 MP, CompactFlash Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,3.6 in,16.2 Megapixel,,Auto Flash|Slow Sync|Rear Curtain Sync|Red-eye Reduction,,6.2 in,CMOS,,A/V (RCA Composite)|HDMI|USB,3.2 in,Nikon F,1920 x 1080,CompactFlash (CF) Card|XQD Card,16600000,http://www.nikon.com,1 Year Limited,2.60 lbs,6.3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot ELPH 340 HS Black Digital Camera (16 MP, 12x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.88 in,16000000 pixels,,Built-in Flash,,2.27 in,CMOS,Optical,"Video - Out (Unspecified)|HDMI|Audio - Line Out (1/8"" Mini)",3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16800000 pixels,http://shop.usa.canon.com/shop/en/catalog/cameras/powershot-digital-elph-cameras/powershot-elph-340-hs-black,1 year(s),4.59 oz,3.93 in,,,,,,,,,,,,,4 X,4.5 mm to 54 mm,25 mm to 300 mm,12 X,,,,,,,,,,,,,,,,,,,3.6 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic LUMIX DMC-ZS40 Black Digital Camera (18.1 MP, 30x Opt, SD/SDHC/SDXC Card Slot, 12 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.35 in,18100000 pixels,,Built-in Flash,Yes,2.53 in,CMOS,,USB,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,18900000 pixels,http://shop.panasonic.com/shop/model/DMC-ZS40K,1 year(s),0.47 lbs,4.35 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 129 mm,24 mm to 720 mm,30 X,,,,,,,,,,,,,,,,,,12 MB,3.3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus OM-D E-M1 Black SLR Digital Camera - Body Only (16.28 MP, SD/SDHC/SDXC) Price Comparison at Buy.net",Body Only,Digital SLR Camera,2.5 in,16300000 pixels,Water Resistant|Freeze Proof|Dust Proof,Built-in Flash|Accessory Shoe,Yes,3.7 in,CMOS,Sensor Shift,"USB|HDMI|Audio - Line In (1/8"" Mini)|A/V (RCA Composite)",3 in,Micro Four Thirds,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16800000 pixels,http://www.getolympus.com/us/en/digitalcameras/omd/e-m1.html,1 year(s),17.5 oz,5.1 in,Yes,,,,,,,,,,,,2 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coleman 2V7WP-P Purple Digital Camera (14 MP, SDHC/micro SD Card Slot) Price Comparison at Buy.net",Body Only,Point & Shoot Digital Camera,1.1 in,14 pixels,Water Proof|Shock Resistant,,,2.5 in,CMOS,,USB,2.7 in,,640 x 480 (VGA),Secure Digital High Capacity (SDHC) Card|microSD Card,,http://www.coleman.com/Home,1 year(s),6.4 oz,3.8 in,,,,,,,,,,,,,8 X,,,,,,,,,,,,,,,,,,,,,,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus PEN E-PM1 Purple Silver Camera Kit W/ 14-42mm Lens (12.3 Megapixel - 3"" LCD - 3x Optical Zoom - Electronic IS - 4032 X 3024 Image - 1920 X 1080 Video - AVCHD, Motion JPEG AVI - HDMI - PictBridge) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.3 in,12.3 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Rear Curtain Sync|Red-eye Reduction,,2.5 in,Live MOS,Electronic,,3 in,Micro Four Thirds,1920 x 1080,Eye-Fi Card|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),13100000,http://www.olympusamerica.com,1 Year,7.65 oz,4.3 in,,,,,,,,,,,,,,14 mm to 42 mm (Lens 1),28 mm to 84 mm (Lens 1),3 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic LUMIX DMC-LF1 White Digital Camera (12.1 MP, 7.1x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Bridge Camera,1.1 in,12.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Red-eye Reduction|Slow Sync,,2.4 in,MOS,Optical,USB,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,12800000,http://www.panasonic.com,1 Year,6.00 oz,4.0 in,Yes,,,,,,,,,,,,4x,6 mm to 42.80 mm,28 mm to 200 mm,7.1 X,,,,,,,,,,,,,,,,,,87 MB,2 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy White Digital Camera (16.3 MP, 21x Opt) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.75 in,16300000 pixels,,Built-in Flash,Yes,2.79 in,CMOS,Optical,USB|HDMI,4.8 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),17000000 pixels,http://www.samsung.com/us/photography/digital-cameras/EK-GC110ZWAXAR,1 year(s),10.7 oz,5.07 in,Yes,,,,,,,,,,,,,4.1 mm to 86.1 mm,23 mm to 483 mm,21 X,,,,,,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix S9200 16.2 Megapixel Bridge Camera - Black (3"" LCD - 50x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",,Bridge Camera,4.6 in,16.2 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Suppressed Flash|Red-eye Reduction,,3.4 in,CMOS,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I),16800000,http://www.fujifilm.com,1 Year,1.27 lbs,4.8 in,,,,,,,,,,,,,2x,4.30 mm to 215 mm,24 mm to 1200 mm,50 X,,,,,,,,,,,,,,,,,,,,WEEE|REACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix P510 Black Digital Camera (16.1 MP, 42x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Bridge Camera,4.0 in,16.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,,3.3 in,CMOS,Optical,A/V (RCA Composite)|HDMI|USB,3 in,Fixed,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Eye-Fi Card,16800000,http://www.nikon.com,1 Year Limited,1.22 lbs,4.7 in,,,,,,,,,,,,,2x,4.30 mm to 180 mm,24 mm to 1000 mm,42 X,,,,,,,,,,,,,,,,,,90 MB,3.3 1/f,RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot 150 IS 20 Megapixel Compact Camera - Red (2.7"" LCD - 10x Optical Zoom - Optical IS - 5152 X 3864 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,20 Megapixel,,Red-eye Fix|Slow Sync|Auto Flash|Flash ON|Flash OFF,,2.2 in,CCD,Optical,,2.7 in,,1280 x 720,Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,20500000,http://www.usa.canon.com,1 Year,4.41 oz,3.8 in,,,,,,,,,,,,,4x,4.30 mm to 43 mm,24 mm to 240 mm,10 X,,,,,,,,,,,,,,,,,,,,REACH|WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-30 Crystal White SLR Digital Camera Kit W/ 18-55 Mm AL & 50-200 Mm AL Lens (16.3 MP, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,2.8 in,16.3 pixels,Weather Resistant|Dust Proof,Built-in Flash,,3.8 in,CMOS,Sensor Shift,"USB|Audio - Line In (1/8"" Mini)|A/V (RCA Composite)",3 in,,,Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,16.5 pixels,http://www.us.ricoh-imaging.com/dslr/K-30_Black,1 year(s),20.8 oz,5.1 in,,,,,,,,,,,,,,18 mm to 55mm,,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D3200 Black SLR Digital Camera Kit W/ 18-55 Mm VR And 55-200 Mm Non-VR DX Zoom Lenses (24.2 MP, SD Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24.2 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Red-eye Reduction|Rear Curtain Sync|Front Curtain Sync|X-sync|Flash Exposure Compensation,,3.8 in,CMOS,Optical,,3 in,Nikon F,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,24700000,http://www.nikon.com,1 Year,1 lbs,4.9 in,,,,,,,,,,,,,No,18 mm to 55 mm (Lens 1) - 55 mm to 200 mm (Lens 2),,3.1 X (Lens 1) - 3.6 X (Lens 2),,,,,,,,,,,,,,,,,,,,RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix XP60 Blue Digital Camera (16.4 MP, 5x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1 in,16.4 Megapixel,Water Proof|Shock Proof|Freeze Proof|Dust Proof,Auto Flash|Flash OFF|Flash ON|Suppressed Flash|Slow Sync|Red-eye Reduction,,2.6 in,CMOS,Optical,,2.7 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year,5.82 oz,4.1 in,,,,,,,,,,,,,2x,5 mm to 25 mm,28 mm to 140 mm,5 X,,,,,,,,,,,,,,,,,,,,REACH|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus OM-D E-M10 16.1 Megapixel Mirrorless Camera Body With Lens Kit - 14 Mm - 42 Mm - Black (3"" Touchscreen LCD - 3x Optical Zoom - Optical IS - 1280 X 960 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.8 in,16.1 Megapixel,,Auto Flash|Fill Flash|Flash ON|Flash OFF|Red-eye Reduction|Slow Sync|Rear Curtain Sync,,3.2 in,Live MOS,Optical,,3 in,Micro Four Thirds,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),17200000,http://www.olympusamerica.com,12 Month,13.97 oz,4.7 in,,,,,,,,,,,,,,14 mm to 42 mm (Lens 1),28 mm to 84 mm (Lens 1),3 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha NEX-5T/B Black SLR Digital Camera (16.1 MP, 3x Opt, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,,16.1 pixels,,Built-in Flash,,,CMOS,Optical,USB|HDMI,3 in,Sony E,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,,"http://store.sony.com/p/E-mount-Lens-Camera,-Interchangeable-Lens/en/p/NEX5TL/B",1 year(s),,,Yes,,,,,,,,,,,,4 X,,24 mm to 77 mm,3 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
