<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Canon EOS 70D (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,,20.2 MP,,,"JPEG, RAW (14-bit Canon Original), RAW JPEG, DCF 2.0",,100 - 12800,,,,,,,,"MOV, MPEG-4 AVC / H.264","Auto, Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom, Color Temperature Setting (2500 10000 K)",,"Yes, 7 fps (High-speed Continuous Shooting), 3 fps (Low-speed Continuous Shooting), 3 fps (Silent Continuous Shooting), 40 Shots (JPEG Large/Fine), 15 Shots (RAW), 8 Shots (RAW Large/Fine)",,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Type C Mini HDMI (Auto Switching of Resolution), CEC-compatible",3:2,Yes,5472 x 3648 Pixels,"Yes, Built-in Stereo",,Yes,,22.5 x 15.0 mm,CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,,25,,,,,,,,,,,
"Panasonic Lumix DMC LS5 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F6.5 (T),,"Yes, Contrast Detect, Multi-Area, Center, Single, Face Detection",14.1 MP,4x,4.7 - 23.5 mm (35 mm equivalent to 26 - 130 mm),"JPEG, EXIF 2.3, DCF","Yes, Optical Image Stabilization",100 - 6400,Panasonic Lens,No,1/2000 sec,8 sec,5x,"Focal Length Multiplier (5.5x), Normal Focus Range (15 cm), No. Of Focus Points (9), Fixed Articulated LCD, 7 elements in 5 groups (5 Aspherical Lenses, 8 Aspherical Surfaces)","Yes, 2 and 10 sec",Motion JPEG,"White Balance Presets (Auto, Daylight, Cloudy, Shade, Incandescent, White Set), Custom White Balance","Yes, Primary (RGB) Color Filter","Yes, 1 fps",Yes,,Yes,,,,,,"Included Software (PHOTOfunSTUDIO 6.0 Edition, QuickTime, Adobe Reader )",,,,,"Creative Exposure Modes (Portrait, Self- Portrait, Scenery, Panorama Assist, Sports, Night Portrait, Night Scenery, Food, Party, Baby, Sunset, High sensitivity, Fireworks, Beach, Snow )",,,1280 x 720 pixels at 30 fps,Yes,No,"Auto, Auto with red-eye reduction, Forced On with red-eye reduction, Slow Sync with red-eye reduction","Yes, Multiple Light Metering",,,Yes,23,,,,"0.6 - 4.6 m (W), 0.6 - 2.0 m (T)",,,,,,26 mm Ultra Wide-angle,
"Nikon Coolpix L30 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.2 - F6.5,,"Yes, Auto Focus",20.1 MP,4x,4.6 - 23.0 mm (35 mm (135) Equivalent 26 - 130 mm),JPEG,,80 - 1600,NIKKOR Lens,,1/20000 Sec,,5x,,No,"AVI, QVGA, VGA","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Pre-set Manual, White Balance Pre-set",,,,,,No,,,5120 x 2880 Pixels,"Yes, Built in Stereo",,Yes,Expeed C2 Image-processing System,1/2.3 Inch,CCD,Scene Mode,"Yes, Analog Video Output (NTSC, PAL)",Yes,1280 x 720 pixels,,,,,,,,,No,,95.4 (W) x 60.3 (H) x 29 (D) mm,,,,Point & Shoot,,164 g (with Battery and SD Memory Card),,
"Kodak Pixpro FZ51 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.9 (W) - F6.3(T),G.711 [Monaural],"Yes, Single AF, Multi-AF (TTL 9-point), Face Detection",16.15 MP,6x,5.1 - 25.5 mm (35 mm Equivalent to 28 - 140 mm),Exif 2.3 (JPEG),"Yes, Digital Image Stabilization",80 - 1600,PIXPRO Aspheric Zoom Lens,,1/2000 sec,4 sec,5x,"Focal Length Multiplier (5.4x), Lens Construction (8 groups 8 elements), Normal Focus Range (60cm-Infinity(W), 100cm-Infinity(T))",,MOV (Motion JPEG),"Auto (AWB), Daylight, Cloudy, Flourescent, Flourescent CWF, Incandescent, Manual",,Yes,Yes,,"Yes, Face, Smile, Blink",,,"Yes, 5 cm - Infinity (W)",,,,,,,,"M, Auto, Image Stabilization, Portrait, Movie, Panorama, Scene (ASCN, Landscape, Sport, Beach, Sunset, Fireworks, Night Landscape, Snow, Children, ID, Glass, Photo Frame, Panning Shot, Text, Fish Eye, Party, Indoor, Leaf, Museum, Night Portrait, Sketch)",,,1280 x 720 pixels,"Yes, Internal Flash Method (Pop-Up)",No,"Auto, Red-Eye Reduction, Forced Flash, No Flash, Slow Synchro, Red-Eye Reduction + Slow Synchro","Yes, Artificial Intelligence AE (AiAE), Center-Weighted Average, Spot (Fixed to Center of Frame), Face AE",,,Yes,27,,,,"0.3 - 3.9 m (W), 1.2 - 2.4 m (T)",,,,,,28 mm Ultra Wide-angle,
"Nikon D5200 (AF-S 18-105 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",24.7 MP,,,"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,"Focal Length Multiplier (1.5x), No. Of Focus Points (39), Eye Point (17.9 mm)","Yes, 2, 5, 10 or 20 sec","MOV, MPEG-4 / H.264","Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 3,23.5 x 15.6 mm,CMOS,"Auto, Portrait, Child, Close Up, Night Portrait, Party / Indoor, Pet Portrait","Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, Hot-Shoe","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Canon IXUS 155 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.0 (W) - F6.9 (T),,"Yes, Continuous, Servo AF, Face AiAF, Tracking AF, Center",20.0 MP,,4.3 - 43 mm (35 mm Equivalent: 24 - 240 mm),JPEG,"Yes, Lens-Shift Type",100 - 1600,Canon Zoom Lens,No,1/2000 sec,15 sec,10x,"Normal Focus Range (1 cm - Infinity(W), 100 cm - Infinity(T))","Yes, 2 or 10 sec, custom",H.264,"AUTO button, ECO button, and Help button, AF Frame (Face AiAF, Tracking AF, Center)",,"Yes, 0.8 shots/sec. (In P mode), 2.2 shots/sec. (In Low Light mode)",Yes,,,,4:3,"Yes, 1 - 50 cm (W)",5152 x 3864 Pixels,,,,DIGIC 4 Plus,6.17 x 4.55 mm,CCD,"Auto, P, Live View Control, Portrait, Face Self-timer, Low Light, Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks, Long Shutter",,,1280 x 720 pixels at 25 fps,,,,"Yes, Evaluative, Center-weighted Average, Spot",,,,35,,,,,,,,,,,
"Sony CyberShot DSC W710 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 (W) - F/6.5 (T),,"Yes, Center Weighted AF",16.1 MP,20x,5 - 25 mm (35 mm Equivalent to 28 - 140 mm),"JPEG, DCF, DPOF",,100 - 3200,Sony Lens,,1/2000 sec,2 sec,5x,,"Yes, 2 and 10 sec","AVI, MJPEG","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash","Yes, Primary (RGB) Color Filter","Yes, 100 Shots at 1.0 fps",Yes,,Yes,,,"Yes, 10 cm (W) 100 cm (T)",,,,,,,,"Intelligent Auto, Easy Shooting, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect",,,1920 x 1080 pixels,,,,,,,Yes,19,,,97 (W) x 55.1 (H) x 20 (D) mm,,SD / SDHC / microSD / microSDHC / Stick Duo / Stick PRO Duo / Stick PRO Duo (High Speed) / Stick PRO HG Duo / Stick Micro / Stick Micro (Mark 2),,Point & Shoot,Yes,"114 g (with Battery and Meomry Card), 98 g (Body Only)",,28.0 MB
"Sony CyberShot DSC W810 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.2 (W) - F6.5 (T),,"Yes, Multi Point AF",20.1 MP,,4.6 - 27.6 mm,"JPEG, DCF, DPOF",,100 - 3200,Sony Lens,,1/1500 sec,2 sec,6x,,"Yes, 10 sec",HD Recording,"Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash","Yes, Primary (RGB) Color Filter",,,,Yes,,"4:3, 16:9","Yes, 10 cm (W) - 100 cm (T)",4608 x 3456 Pixels,,,,,1/2.3 inch,Super HAD CCD,"Intelligent Auto, Program Auto, Easy Shooting, Movie Mode, Sweep Panaroma, Party, Picture Effect (Toy Camera, Pop Color, Partial Color, Soft High-key), Scene Selection",,,1920 x 1080 pixels,,,,"Yes, Multi Pattern, Center Weighted, Spot",,,Yes,19,,Li-ion Rechargeable Battery,93.1 (W) x 52.5 (H) x 22.5 (D) mm,,Memory Stick Duo / Memory Stick PRO Duo - High Speed / Memory Stick PRO HG Duo / SD / SDHC / SDXC / Memory Stick Micro / Memory Stick Micro (Mark 2) / microSD / microSDHC,"Maximum Voltage: 4.2 V, Nominal Voltage: 3.6 V, Capacity for Shooting: (Typical: 2.3 Wh (630 mAh), Minimum: 2.2 Wh (600 mAh)), AC 100 - 240 V, 50 / 60 Hz, 70 mA, Output Voltage: DC 5 V",Point & Shoot,Yes,120 g (with Battery and Memory Stick),,27.0 MB
"Nikon Coolpix S2800 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.2 (W) - F6.5 (T),WAV,"Yes, Contrast-detect AF",20.1 MP,4x,4.6 - 23.0 mm (35 mm Equivalent to 26 - 130 mm),JPEG,"Yes, Electronic Vibration Reduction, Motion Detection (Motion blur reduction)",80 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,5x,"Focus Range (50 cm), Lens Constructions (6 elements in 5 groups), Focal Length Multiplier (5.6x), Focus-area selection (Face priority, center, manual with 99 focus areas, subject tracking, target finding AF)","Yes, 2 or 10 sec",AVI (Motion-JPEG compliant),,,"Yes, Single (default setting), Continuous (the frame rate for continuous shooting is about 1.1 fps and the maximum number of continuous shots is about 6), BSS (Best Shot Selector), Multi-shot 16",Yes,,,,,"Yes, 10 cm - Infinity",5152 x 3864 Pixels,,,,Expeed C2 Image-processing System,1/2.3 inch,CCD,"Scene auto selector, Scene (Portrait, Landscape, Sports, Night portrait, Party/indoor, Beach, Snow, Sunset, Dusk/dawn, Night landscape, Close-up, Food, Museum, Fireworks show, Black and white copy, Backlighting, Panorama assist, Pet portrait), Special effects, Smart portrait, Auto",,,1280 x 720 pixels,,,,"Yes, Matrix, center-weighted (digital zoom less than 2x), spot (digital zoom 2x or more)",,,,32,,,,,,,,,,,
"Nikon Coolpix P600 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 - F6.5,"LPCM Stereo, WAV","Yes, Contrast Detect AF",16.1 MP,4x,4.3 - 258 mm (35 mm Equivalent 24 - 1440 mm),"DCF, EXIF 2.3, DPOF","Yes, Optical",100 - 12800,NIKKOR Lens,Yes,1/4000 Sec,15 sec,60x,,"Yes, 2 and 10 sec","JPEG Sound Files (Voice Memo), MOV (Video: H.264 / MPEG-4, AVC)",,,,,,Yes,,"16:9, 3:2, 1:1",,4608 x 3456 Pixels,,,,,1/2.3 inch,BSI CMOS,"Auto, Scene (Night Landscape, Night Portrait, Landscape, Scene Auto Selector, Portrait, Sports, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Easy Panorama, Pet Portrait, Moon, Bird-watching), Special Effects, P, S, A, M, User Settings",,,,,,,"Yes, Matrix, center-weighted, or spot",,,,,,,,,,,,,,,
"Panasonic Lumix DMC G5K (14-42 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),"Dolby Digital 2ch, AAC 2ch","Yes, Contrast Detect, Single, Flexible, Continuous, Face Detection, Tracking, 23-Area Focusing, 1-Area Focusing, Pinpoint",18.3 MP,2x 4x,14 - 42 mm (35 mm Equivalent to 28 - 84 mm),"JPEG(DCF, Exif 2.3), RAW, / MPO","Yes, Mega Optical Image Stabilizer",160 - 12800,LUMIX G VARIO,Yes,1/4000 sec,60 sec,,"AF Assist Lamp, AF Detective Range (EV 0 - 18), AF Lock","Yes, 2 or 10 sec","AVCHD, AVC MP4","White balance adjustment, Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set 1, 2, Color temperature setting","Yes, Primary (RGB) Color filter","Yes, 3.7 fps",Yes,"Yes, Supersonic wave filter",Yes,"Yes, Mini HDMI, Type-C",,,4608 x 3456 Pixels,"Yes, Built-in Stereo","PHOTOfunSTUDIO 8.2 PE , SILKYPIX Developer Studio 3.1SE, LoiLoScope (trial version), USB Driver",Yes,Venus Engine,17.3 x 13.0 mm,Live MOS,"Clear Portrait, Silky Skin, Backlit Softness, Clear in Backlight, Relaxing Tone, Sweet Child's Face, Distinct Scenery, Bright Blue Sky, Romantic Sunset Glow, Vivid Sunset Glow, Glistening Water, Clear Nightscape, Cool Night Sky, Warm Glowing Nightscape, Artistic Nightscape, Glittering Illuminations, Clear Night Portrait, Soft Image of a Flower, Appetizing Food, Cute Dessert, Freeze Animal Motion, Clear Sports Shot, Monochrome","Yes, Analog Video Output (NTSC, PAL)",Yes,,,,,"Yes, Intelligent Multiple, Center-Weighted, Spot","Yes, 1/160 sec",,,3,,,,,,,,,,,
"Canon PowerShot S200 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.0 (W) - F5.9 (T),,"Yes, Contrast Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Touch, Face Detection, Live View",10.1 MP,4x,5.2 - 26 mm (35 mm Equivalent to 24 - 120 mm),,"Yes, Optical Image Stabilization",80 - 6400,Canon Zoom Lens 5x IS,Yes,1/2000 sec,15 sec,5x,"No. Of Focus Points (9), Normal Focus Range (3 cm - Infinity (W), 30 cm - Infinity (T))","Yes, 2 or 10 sec, custom",H.264,"White Balance Presets (7), Custom White Balance",,"Yes, 1.9 fps (P Mode), 4.5 fps (High-speed Burst Mode)",Yes,,Yes,"Yes, HDMI Mini","16:9, 3:2, 4:3, 1:1","Yes, 3 cm 50 cm (W), 30 cm 50 cm (T)",3648 x 2736 Pixels,"Yes, Stereo Microphone, Mono Speaker",,"Yes, Wireless printing with any compatible printers.",DIGIC 5,7.44 x 5.58 mm,CCD,"M, Av, Tv, P, Live View Control, AUTO, SCN(Portrait, Face Self-Timer, Low Light, Snow, Fireworks) , Creative Filters(Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect), Discreet, Movie(Standard)",,Yes,1280 x 720 pixels at 24 fps,Yes,No,"Auto, On, Off, Red-Eye, Slow Sync, Second Curtain","Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,,Yes,,,"0.5 m - 7.0 m (W), 0.5 - 2.3 m (T)",,,,,,24 mm Wide-angle,
"Nikon CoolPix S9300 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.9,"WAV, AAC Stereo","Yes, Contrast Detect AF",16 MP,4x,4.5 - 81 mm (35 mm Equivalent to 25 - 450 mm),"JPEG (3D), EXIF 2.3, DCF, DPOF, MPF",,125 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,18x,,"Yes, 2 and 10 sec","MOV, H.264, MPEG-4 AVC","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,"Yes, 6.9 fps",,,Yes,"Yes, HDMI Mini Connector (Type C)","16:9, 4:3","Yes, 4 cm",4608 x 3456 Pixels,"Yes, Stereo",,,,1/2.3 inch,CMOS,"Auto, Scene (Portrait, Close-up, Landscape, Food, Sports, Museum, Night Portrait, Fireworks Show, Party / Indoor, Black and White Copy, Beach, Easy Panorama, Snow, Pet Portrait, Sunset, 3D Photography, Dusk / Dawn, Night Landscape, Backlighting), Smart Portrait, Continuous Shooting, Special Effects","Yes, Audio / Video Output (NTSC, PAL)",Yes,,,,,,,,,29,,,108.7 (W) x 62.3 (H) x 30.6 (D) mm,,,,Point & Shoot,,215 g (with Battery and SD Memory Card),25 mm Wide-angle to 450 mm Super-telephoto Coverage,
"Nikon CoolPix S6400 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.1 - F/6.5,"WAV, AAC Stereo","Yes, Contrast Detect AF",16 MP,4x,4.5 - 54 mm (35 mm Equivalent to 25 - 300 mm),"JPEG, MPO, EXIF 2.3, DPOF, DFC, MPF",,125 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,12x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto, Daylight, Incandescent, Fluorescent, Cloudy, Flash, Preset Manual (Custom)",,"Yes, 10 fps (Continuous H), 19 Images at 2 fps (Continuous L), 5 Images at 18 fps (Pre-shooting Cache)",,,Yes,,16:9,"Yes, 10 cm",4608 x 3456 Pixels,,,,,1/2.3 inch,CMOS,"Auto, Special Effects, Smart Portrait",,,1920 x 1080 pixels,,,,,,,Yes,31,,,95.4 (W) x 58.6 (H) x 26.7 (D) mm,,,,Point & Shoot,,150 g (Including Battery and SD Memory Card),25 mm Wide angle,
"Nikon CoolPix P330 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/1.8 - F/5.6,"WAV, AAC Stereo","Yes, Contrast Detect TTL AF",12.2 MP,2x,5.1 - 25.5 mm (35 mm Equivalent to 24 - 120 mm),"JPEG, EXIF 2.3, DCF, DPOF, NRW (RAW)",,80 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,5x,,"Yes, 2 and 10 sec","MOV, H.264 / MPEG-4 AVC","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,"Yes, 10 Shots at 10 fps",Yes,,Yes,"Yes, Type D, Micro HDMI Output","16:9, 3:2, 4:3, 1:1","Yes, 3 cm",4000 x 3000 Pixels,"Yes, Stereo",,,,1/1.7 inch,CMOS,"Auto Mode, Scene Mode (Scene Auto Selector, Portrait, Landscape, Sports, Night Portrait, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Panorama, Pet Portrait, Special Effects, 3D Photography), Program, Small, Auto, Mode, User Settings","Yes, Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,,32,Yes,,103.0 (W) x 58.3 (H) x 32.0 (D) mm,,,,Advance Point and shoot,,200 g (with Battery and SD Memory Card),24 mm Wide-angle,
"Samsung WB250F Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 (W) - F/5.8 (T),AAC Stereo,"Yes, TTL Auto Focus",14.2 MP,"1x 5x Still Image Mode (Optical Digital: 90x), 2x Intelli-zoom (Optical Intelli: 36x)",4 - 72 mm (35 mm Equivalent to 24 - 432 mm),"JPEG, DCF, EXIF 2.21",,100 - 3200,Samsung Lens,Yes,1/2000 sec,1/8 sec,18x,,"Yes, 2 and 10 sec","MPEG4, AVC / H.264","Auto, Daylight, Cloudy, Fluorescent H, Fluorescent L, Tungsten, Custom, K","Yes, Primary (RGB) Color Filter",,Yes,,Yes,,,"Yes, 5 cm 80 cm (W), 180 cm 350 cm (T)",,,"Windows XP SP2, Windows Vista, Windows 7, Windows 8, Mac G3, Mac OS 10.5 or Higher",,,,,"Auto, Program, Smart, Magic Plus, Best Face, Aperture Priority, Shutter Priority, Manual",,,1920 x 1080 pixels at 30 fps,Yes,,"Auto, Auto and Red-eye Reduction, Fill-in Flash, Slow Sync, Flash Off, Red-eye Fix",,,,Yes,,,,106.5 (W) x 61.65 (H) x 21.65 (D) mm,"0.3 - 3.38 m (W), 0.5 - 1.51 m (T)",,,Point & Shoot,,184 g (without Battery and Memory Card Media),24 mm Wide-angle,
"Nikon D90 (18-105 mm VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",12.3 MP,,18 - 105 mm (35 mm Equivalent to 27 - 157.5 mm),"JPEG ( Fine, Normal & Basic Quality ), NEF (12 bit compressed RAW),JPEG (Baseline-compliant)",No,200 - 6400,Nikon F mount,Yes,1/4000 sec,30 sec,8x,"Focal Length Multiplier (1.5x), No. Of Focus Points (11)","Yes, 2, 5, 10 or 20 sec",AVI (Motion JPEG compression format with monaural sound,"Custom White Balance (5), White Balance Presets (12), Auto (TTL white-balance with 420-pixel RGB sensor), 12 manual modes with fine-tuning; color temperature setting; preset white balance; white balance bracketing",,"Yes, 5 fps, Continous low shooting mode: 1-4fps,Continous high shooting mode: 4.5fps",Yes,Yes,Yes,"Yes, HDMI Mini Type C",,Yes,,"Yes, Mono",,,,,,"Single frame shooting mode, Continuous low shooting mode: 1-4fps, Continuous high shooting mode: 4.5fps, Self-timer mode, Delay remote mode, Quick-response remote mode, D-Movie","Yes, Composite video/audio",Yes,1280 x 720 pixels,"Yes, Pop Up","Yes, Hot-shoe, Wireless","Auto, On, Off, Front curtain, Rear curtain, Red-Eye, Slow Sync","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,17,Yes,,,17.00 m (at ISO 100),,,,,,,
"Canon EOS 600D (EF-S 18-55 mm IS II & Tamron AF 70-300 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Phase Detect, Contrast Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",18.0 MP,3-10x,18 - 55 mm & 70 - 300 mm,JPEG,No,100 - 12800,Canon EF/EF-S,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Filter Diameter (58 mm)","Yes, 2 or 10 sec","MPEG-4, H.264, MOV","Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom White balance correction and white balance bracketing features provided",,"Yes, 4 fps",Yes,"Yes, Auto, Manual, Dust Delete Data appending",Yes,"Yes, Mini HDMI, Type-C",,,5184 x 3456 Pixels,"Yes, Built-in monaural microphone",,"Yes, PictBridge-compatible printers, DPOF Version 1.1",DIGIC 4,22.3 x 14.9 mm,CMOS,"Auto, Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Def. 1 - 3","Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, Wireless plus Sync connector","Auto, On, Off, Red-eye","Yes, Multi-Segment, Center-Weighted, Spot, Partial","Yes, 1/200 sec","Yes, Optical Pentamirror Viewfinder, Coverage (95%), Magnification (0.85x), Live View, Fully Articulated LCD, Eye Point (19 mm), Built-in dioptric adjustment, Fixed & Precision Matte Focussing Screen, Quick-return type Mirror",,25,Yes,,,,,,,,,17 mm Ultra Wide-angle,
"Sony CyberShot DSC WX200 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 - F/8.0,,"Yes, Center Weighted AF",18.2 MP,40x,4.45 - 44.5 mm (35 mm Equivalent to 25 - 250 mm),"JPEG, DCF, DPOF",,100 - 12800,Sony G Lens,,1/1600 sec,4 sec,10x,,"Yes, 2 and 10 sec","MPEG-4, AVC / H.264","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set, Underwater","Yes, Primary (RGB) Color Filter","Yes, 10 Shots at 10 fps",Yes,,Yes,,"16:9, 4:3","Yes, 5 cm (W) 150 cm (T)",4896 x 3672 Pixels,,,,,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Easy Shooting, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, 3D, Background Defocus, Intelligent Sweep Panorama",,,1920 x 1080 pixels,,,,,,,Yes,19,,,92.3 (W) x 52.4 (H) x 21.6 (D) mm,,SD / SDHC / microSD / microSDHC / Stick Duo / Stick PRO Duo / Stick PRO Duo (High Speed) / Stick PRO HG Duo / Stick Micro / Stick Micro (Mark 2),,Point & Shoot,Yes,"121 g (with Battery and Meomry Card), 105 g (Body Only)",,48.0 MB
"Nikon CoolPix S3300 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/6.5,WAV,"Yes, Contrast Detect AF",16 MP,4x,4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),"JPEG, DCF, EXIF 2.3, DPOF",,80 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,6x,,"Yes, 2 and 10 sec",AVI (Motion-JPEG),"Auto, Daylight, Cloudy, Flash, Fluorescent, Incandescent, Manual",,"Yes, 1.3 fps up to 6 Shots",,,Yes,,,"Yes, 5 cm",,,,,,,,"Auto, Scene (Scene Auto Selector, Portrait, Landscape, Sports, Night Portrait, Party, Indoor, Beach, Snow, Sunset, Dusk, Dawn, Night Landscape, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Panorama Assist, Pet Portrait), Special Effects, Smart Portrait",,,,,,,,,,Yes,27,,,94.8 (W) x 57.8 (H) x 19.5 (D) mm,,,,Point & Shoot,,128 g (with Battery and SD Memory Card),26 mm Wide-angle,
