3d mode,<page title>,age filter code,age range maximum,age range minimum,alaska hawaii 1 day upcharge or override,alaska hawaii 2 day upcharge or override,alaska hawaii ground upcharge or override,alaska hawaii upcharge or override,anti shake mode,aperture,assembled dimension width,assembled dimension width uom,bpp bucket,bpp eligible,bubble control,builtin memory,camera color,camera pixel count,camera style,can be giftwrapped,chamber in,channel availability,choke,color,compatible battery,continuous advance fps,corp national status,customer purchase limit,date 1st available online,depth inches,digital zoom,effective megapixel count,electronic flash,exposure modes,fits,flash,focus modes,freight class,fulfillment option,gauge,hazmat warning,hdmi mini,height inches,image format,interest,keyfeatures,lcd display size inches,lcd viewer,length in,lens,lower 48 1 day upcharge or override,lower 48 ground upcharge or override,lower 48 upcharge or override,lower48 2 day upcharge or override,manufacturer age range,manufacturer part number,manufacturers age range maximum,manufacturers age range minimum,megapixels,model,movie mode,notify me when available,optical zoom,outlet,payrunnercarteligible,play_type,power supply type,preschool,product demo url,registerable,removable memory type,scene modes,self timer,sensitivity,sensor,shutter speed,sku,skuprice,sound,specification,still image resolution max,still picture capture,storage media type,style,taxable,trackinglinkbaseurl,trackinglinkuri,tru age range,tru skn,type,usb port,video movie capture,voltage,weight pounds,white balance,width inches,camera type,interchangeable lens camera format,display screen,focus mode,internal memory,memory type,pictbridge,pixel count,resolution,select camera style,select media,standard warranty,compatible with macintosh,compatible with windows pc,manufacturers warranty hardware,optical viewfinder,screen size,analog audio video mini,card slot,digital slr,filterwide angle capability,hdmi,image stabilization,kit,lens mount,batteries,batteries required,battery quantity 1,battery type 1,etoys shoprunner eligible,faos shoprunner eligible,iship eligible,payrunnerpdeligible,primary_category,skills,trus shoprunner eligible,upceanisbn,accessory shoe,battery charger,viewfinder,microphone,speakers,text attribute 1,text attribute 2,text attribute 3,text attribute 4,text attribute 5,waterresistant,promo financing available,lcd size in,touch screen,ac adapter,batteries needed,35mm equivalent zoom ratio,exposure compensation,external flash,flash modes,macro focus,maximum aperture,records video,sgpmoviemode,sgpopticalzoom,sgpresolution,still image file formats,wifi mode,country of origin,countryornowool,focus distance,metering,print modes,storage media,tru age filter,video output,touch panel lcd,aspect ratio,boy girl,brand name,camera resolution,dimensions,effective resolution,image formats,interfacesports,lens type,manufacturer,manufacturer website address,product type,total resolution,viewfinder type,finish,weight,image stabilizer,shooting modes,shutter speed range,charger,face detection,espn shoprunner eligible,fog shoprunner eligible,team shoprunner eligible,tsa shoprunner eligible,hd video,wifi networking,hdmi version,price range,aperture range,battery life,battery type,depth,focal length,height,interface,width,waterproof,body only,safety warnings,remote control,aa batteries,copyright,display resolution,display screen type,product details,toddler,brand,select,batteries included,content complete,manual controls,35mm digital slr lenses fits,fits camera made by,lens coverage,lens series,battery,camera flash,dimensions wxdxh,display,expansion slots,exposure metering,focus adjustment,integrated memory,lens aperture,lens system,light sensitivity,maximum shutter speed,memory,min focus range,minimum shutter speed,optical sensor resolution,optical zoom measurement,product description,red eye reduction,sensor resolution,supported battery,supported flash memory,technology,timer,unique features,imaginarium,product dimensions,product weight,lamp life,lamp power,laptop accessory type
Stills only,(not Provided) | Nikon Coolpix S3300 Digital Camera - Black Reviews - Buzzillions.com,"050,060 050 070 050,060,070,080 040,050 080",120 60 168 84 300,84 36 144 60 180,99.99,79.99,59.44 40.9 70.77 77.86 73.6 69.99,F,Yes,f/3.3-6.5 f/3.5-5.9,0,IN,3781960,Yes,New,26MB 42MB,Pink Purple Red,16 Megapixel,Point & Shoot with Zoom Lens,Yes,3.0,Online Only,"Fixed Choke, Improved Cylinder Fully Rifled Rem Choke 2",Black White Blue,EN-EL19 EN-EL12,1.3 6.9,X A,4,26-JUN-11 13-MAY-12 27-JUL-11 25-MAY-10 10-MAY-11 27-JUN-11 27-SEP-12 28-JUL-11 29-AUG-11 30-AUG-11,0.8 1.3,4,16,Built-in,Program Auto,Nikon,Built-in,Auto Center AF Face Priority Focus lock Manual Subject tracking,ANY TRU_SHPG,"SP SP,ISP",12 20,N,Side Output,2.3 2.5,JPEG,Outdoors,"12 Ga. 3"" Chamber 21"" Cantilever Barrel Matte Finish Polished Blue Finish",2.7 3.0,2.7 Inch 3 Inch,18.5 20 21 23 28,Zoom Lens,39.99,18 24 24.96 12 15.99 31.12,F,29.99,7 years and up 5 years and up 5 - 7 years 12 years and up 15 years and up 5 - 12 years 5 - 15 years 3 - 12 years,CPS3300SLVTRU 98201 26611 26601 26311 26301 26201 24311 24301 23581 23461 23312 23311 22031 22021,84 300 180 144,84 60 36 180 144,16,Wingmaster&reg; Standard Contour Special Purpose Deer Special Purpose Premier Deer Express&reg; Deer Express Deer Cantilever w/Scope Cantilever,MPEG4 MOV AVI Motion JPEG 960 x 540 320 x 240 1920 x 1080 1280 x 720 640 x 480,Yes,6x 6 18x 18,Yes,Yes,Outdoor,Camera Batteries,Yes,http://www.youtube.com/watch?v=_6zaK3pzVys,Yes,Secure Digital SDXC SDHC,Party/Indoor Pet Portrait Scene Auto Selector Sports Sunset Landscape Food Fireworks Dusk/Dawn Copy Close-up Night Landscape Beach/Snow Back Light 3D Photo Museum Night portrait Panorama Assist,10 Seconds 2 Seconds,ISO 125-3200 ISO 80-3200,CCD CMOS,1/2000-1 sec.,182155 211170 211178 211179 211180 211186 211187 211188 211189 211191 211192 211193 211194 238935 238936 238951 250793 211195,109.9900 114.9900 129.9900 139.9900 159.9900 175.9900 189.9900 199.9900 349.9900 44.9900 59.9900 74.9900 99.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,018208263158 22031 23241 23251 23311 23312 23461 23581 24301 24311 26201 26211 26301 26311 26681 26691 26770 26851,Y,http://www.beachaudio.com http://www.gandermountain.com http://www.meijer.com,/catalog/ /modperl/track.cgi?VPWRREV_401175+/modperl/product/details.cgi?r=view&i=401175&aID=503AH /modperl/track.cgi?VPWRREV_401216+/modperl/product/details.cgi?r=view&i=401216&aID=503AH /modperl/track.cgi?VPWRREV_402873+/modperl/product/details.cgi?r=view&i=402873&aID=503AH /modperl/track.cgi?VPWRREV_402876+/modperl/product/details.cgi?r=view&i=402876&aID=510J1I /modperl/track.cgi?VPWRREV_402877+/modperl/product/details.cgi?r=view&i=402877&aID=510J1I /modperl/track.cgi?VPWRREV_402879+/modperl/product/details.cgi?r=view&i=402879&aID=510J1I /modperl/track.cgi?VPWRREV_402880+/modperl/product/details.cgi?r=view&i=402880&aID=510J1I /modperl/track.cgi?VPWRREV_402884+/modperl/product/details.cgi?r=view&i=402884&aID=510J1I /modperl/track.cgi?VPWRREV_402885+/modperl/product/details.cgi?r=view&i=402885&aID=503AH /modperl/track.cgi?VPWRREV_402888+/modperl/product/details.cgi?r=view&i=402888&aID=510J1I /modperl/track.cgi?VPWRREV_402890+/modperl/product/details.cgi?r=view&i=402890&aID=510J1I /product_info.php?products_id=156015&src=pwr,12 - 14 years 15 years and up 3 - 5 years 5 - 10 years 5 - 7 years 7 years and up,173269 183382 183390 183420 183428 183536 217104 741364 741429 742061 742069 752238 769272 769780 840450,2 - 7 x 32 scope Cantilever Scope Mount Rifle Sight Ventilated Rib,Mini-B,1280x720 1920x1080,3.7 V DC,0.47,Flash Fluorescent Incandescent Manual Auto Cloudy Daylight,3.8 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(not Provided) | GE Appliance 10MP Digital Camera, A1050 -Black Camera Reviews - Buzzillions.com",,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,5.7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1050,,,5x,,,,,,,,,,,,,,,,,Description,,,,,,http://www.beachaudio.com,/product_info.php?products_id=265117&src=pwr,,,,,,,,,,,,"2.50"" 2.5""",Auto Auto-focus,24 MB,Secure Digital (SD) Card,,10 Megapixel,10.1 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pentax 19321 Optio Z10 Review | Pentax PENTAXÂ Optio Z10 8.0MP Digital Camera Reviews - Buzzillions.com,,,,,,,,,f/3.2-5.4,,,,,,,,,,,,,,Black,D-LI72,,,,,1,5.1x 5.1,8,,Program AE Auto,,Automatic Built-in with Red Eye Reducer On Off,Manual Face Detection Multi-Point AF Macro,,,,,,2.3,JPEG,,,2.5,,,,,,,,,,,,,,Motion JPEG AVI 320x240 640 x 480,,7x 7,,,,,,,,SDHC Secure Digital,Kids & Pets Flower Sports Landscape Night Scene Beach/Snow Portrait,10 Seconds 2 Seconds,ISO 64-3200,,1/1440 to 4 sec,158834,92.9900,,Description,3264 x 2448,,,PTXZ10,Y,http://www.meijer.com http://www.beachaudio.com,/product_info.php?products_id=118492&src=pwr /catalog/,,,,(1) USB 2.0,,,,Shade Manual Tungsten Bulb Fluorescent Daylight Auto,3.7,,,"2.5"" Active Matrix TFT Color LCD 230 Kilopixels","Auto Focus - 9 point, Spot, Auto Tracking, Face Priority",,Secure Digital Memory,,8 Megapixel,8.0 Megapixels,Point & Shoot with Zoom Lens,"Internal Memory,Secure Digital Cards(SD),Secure Di",1 Year(s) Limited,,,,,,,,,,,Shake Reduction,,,,,,,,,,,,,,,,D-BC72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,(not Provided) | Sony Cyber-shot DSC-HX9V Digital Camera (Black) Reviews - Buzzillions.com,,,,,,,,,f/3.3-8.0,,,,,,,Black,16 Megapixel,Point & Shoot with Zoom Lens,,,,,Black,NP-BG1,10,,,,1.4,,16.2,,,,Slow Synchro On Off Built-in with Red Eye Reducer Auto,Semi Manual Manual Flexible Spot AF Center AF 9 point AF,,,,,Yes,2.4,JPEG,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,,,,16x 16,,,,,,,,Memory Stick Duo SDXC Memory Stick PRO HG-Duo SDHC Memory Stick Pro Duo Secure Digital,Gourmet Pet Soft Skin Handheld Twilight Landscape High Sensitivity Soft Snap Anti Motion Blur Beach/Snow Twilight Twilight Portrait Fireworks,portrait1 10 Seconds portrait2 2 Seconds,ISO 100-3200,CMOS,,,,,Description,4608 x 3456,,Memory Stick Pro Duo / SDHC,,,,,,,,USB 2.0 High Speed,,,0.5,White Balance Sift Onepush Incandescent Fluorescent Flash Daylight Cloudy Auto,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stereo,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,Spot Multi-pattern Center Weighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon D5200 24.1MP Digital SLR Camera with 18-55mm Lens - Black Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,24 Megapixels,Nikon D5200,,,3x,,,,,,,,,,,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,DSLR Cameras,APS-C,,,,,,,,,,,,,,Optical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Vivitar ViviCam F128 Digital Camera (Red) Reviews - Buzzillions.com,"060,070,080 050,060,070,080 070,080",300,84 120 168,,,,,,,,,"SP,ISP 3781960",Yes,,,,,,Yes,,,,,,,A,,30-OCT-12 21-SEP-11 19-OCT-12,,,,,,,,,ANY,"SP,ISP",,N,,,,,,,,,,,,,,10 years and up 14 years and up 7 years and up China,VF128-SIL-TRU VF128-RH-TRU VF128-PNK-TRU VF128-BLUE-TRU 840141,300,120 168 84,,,,Yes,,Yes,Yes,,,,,Yes,,,,,,,,,,Description,,,,,,,,14 years and up 7 years and up 10 years and up,081933 738933 840141 840078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 AAA batteries are required (not included),Yes,AAA 3,AAA 300,,,Yes,Yes,,,Yes,681066447659 681066303801,,,,,,"Captures images at 14.1-megapixel resolution for sharp, vibrant photographs Resolution: 4416 x 3312 (14.1 megapixels)","Continuous shooting, anti-shake, face detection, and red-eye reduction Functions like anti-shake protection, continuous shooting, face detection and red-eye reduction help you get the perfect shot",8.15-mm digital lens Digital lens F3.0; Focal Length: 8.15mm,4X digital zoom 4x digital zoom lets you get clear shots of distant subjects,2.7-inch preview screen 2.7-inch preview screen and simple interface let you easily set camera modes and frame and review photos,,,,,,,,,,,,,,,,,,,China A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHOKING HAZARD - Small parts. Not for children under 3 yrs. CHOKING HAZARD - CHOKING HAZARD - Small parts. Not for children under 3 yrs.,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Stills only,Sony Cyber-shot DSC-HX7V Digital Camera (Black) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,Blue Black,16 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,,,,10x,,,,,,,,,,,,,,,,Yes,Description,,Yes,Memory Stick Pro Duo / SDHC / SDXC,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Pentax Optio H90 12.1 MP Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,32MB,White Silver Matte Black,,,,,,,,,,,,,,6.3x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,12.1,16486,,,5x,,,,,,,,,,,,,,,,,Description,,Yes,SD - SDHC,,,,,,,,,1280x720,,,,,,,"2.70""",Auto-focus,32.70 MB,Secure Digital (SD) Card,,10 Megapixel,12.1 Megapixel,Point & Shoot with Zoom Lens,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fujifilm 16mp 5x 2.7in Lcd Camera Reviews | Fujifilm FinePix JX350 16MP Digital Camera (Black) Reviews - Buzzillions.com,"050,060,070,080",300,84,,,,,Yes,,,,3781960,Yes,,,Black,16 Megapixel,Point & Shoot with Zoom Lens,,,Online Only,,,,,X,,27-APR-11,,,,Built-in,,,,,TRU_SHPG,SP,,N,,,,,,,3 Inch 2.7 Inch,,Zoom Lens,,,,,7 years and up,FPJX350BLK,300,84,16 Megapixel,0007410100687,,Yes,5x,,,,,,http://syndicate.sellpoint.net/Syndicate/SynMaster?Tentoe=SXCOK8-360880,Yes,,,,,CCD,,,,,Description,,Yes,SD - SDHC SD - SDHC - SDXC,,,,,7 years and up,745299,,,1280x720,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Ready,Nikon Coolpix | Nikon - Coolpix S6200 Blue 160-Megapixel Digital Camera - Blue Reviews - Buzzillions.com,,,,,,,,Yes,f/3.2-5.8,,,,,,74MB,Pink Black,16 Megapixel,Point & Shoot with Zoom Lens,,,,,Red Black,EN-EL12 XtraPower EN-EL12,1.2,,,,1.0,4 4x,16.0,Built-in,,,Built-in,Face Priority Center AF Subject tracking 9 point AF Manual,,,,,Yes,2.3,JPEG,,,2.7,2.7 Inch,,Zoom Lens,,,,,,,,,16,0001820826273,MPEG4,,10x 10,,,,,,,,SDHC SDXC Secure Digital,Fireworks Night portrait Beach/Snow Backlight Panorama Assist Pet Dusk/Dawn Portrait Food Sunset Sports Party/Indoor Night Landscape Close-up Landscape Black and White Copy Museum,Yes 2 Seconds 10 Seconds,ISO 80-3200,CCD,1/2000-1 sec.,,,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,,,,,,,,Mini-B,1920x1080,,0.4,Cloudy Daylight Flash Auto Fluorescent Incandescent Manual,3.7,Point & Shoot with Zoom Lens,,,,,,Compatible,,,,,,Yes,Yes,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panasonic Lumix DMC-GF2 Digital Micro Four Thirds Camera W/14-42mm Lens (Black) Reviews | Buzzillions.com,,,,,,,,,,,,,,,,Silver / Gray Black Red,12 Megapixel,Interchangeable Lens DSLR's Mirrorless Interchangeable Lens Cameras,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens Fixed Focal Length Lens,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Pentax Optio RS1000 14.1 Megapixel Compact Camera - 4.90 mm-19.60 mm - Black Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,6x,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,14,,,,4x,,,,,,,,,,Yes,,,,,,Yes,Description,,Yes,SD - SDHC,,,,,,,,,VGA - Up to 640x480,,,,,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Leica X1 Compact Digital Camera, 12.2MP, with ELMARIT 24mm f/2.8 ASPH Lens, 2.7"" LCD Display, Silver Reviews | Buzzillions.com",,,,,,,,Yes,f/2.8-16.0,,,,,,48MB 50MB,,,,,,,,Black,BP-DC8,2,,,,1.25,,12.2,Built-in,Aperture-Priority AE Shutter-Priority AE Manual Program AE,,Built-in with Red Eye Reducer Automatic Off On Slow Synchro,Spot Normal Manual focusing (MF) Macro Face Detection,,,,,,2.34,RAW JPEG,,,2.7,2.7 Inch,,Fixed Focal Length Lens,,,,,,,,,12.1,18420,,,,,,,,,,,Secure Digital SDHC,,2 Seconds 12 Seconds,ISO 100-3200,,30-1/2000,,,Yes,Description,4272 x 2856,Yes,Secure Digital (SD),,,,,,,,Mini-B,,,0.63,Manual Daylight Flash Halogen Shade Auto Cloudy,4.8,,,,,,,,12 Megapixel,,Point & Shoot with Zoom Lens,,,,,,,,,Secure Digital SDHC,,,Yes,,,,,,,,,,,,,,,,Yes,BC-DC8,,,Built-in Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(not Provided) | Sakar Digital Concepts Kids Cam Sticker Wizard Point & Shoot Digital Camera, PC-Web-Video Clips, Green Reviews - Buzzillions.com","050,060 060,070,080",132 252,60 120,,,,,,,,,3781960,Yes,,,,,,Yes,,,,,,,A,,30-SEP-11 11-OCT-11,,,,,,,,,ANY,"SP,ISP",,N,,,,,,,,,,,,,,5 years and up,59384-TRU 56384-TRU,300,60,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,,Description,,,,,,,,10 - 21 years 5 - 11 years,775341 775346,,,,,,,,,,,,,,,1 Megapixel,,Point & Shoot with Fixed Lens,Internal Memory,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,8GB hard drive can hold up to 1000 songs for 100 hours of music 8 GB hard drive can hold up to 1000 songs for 100 hours of music,Supports MP3 and MP4 music and video files,Watch videos on 1.8-inch display screen,Jacks to plug in headphones and USB cord (included),Decorated in a funky pattern 3 changeable faceplates decorated with vibrant graphics,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHOKING HAZARD - Small parts. Not for children under 3 yrs.,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Canon PowerShot S5 IS Digital Camera - 12X Optical Zoom Reviews - Buzzillions.com,,,,,,,,Yes,f/2.7 (w) - 3.5 (t),,,,,,32MB,,,,,,,,Black,AA Batteries,,,,,3.06,4 4x,8,Built-in,Aperture-Priority AE Exposure Lock Manual Program AE Shutter-Priority AE,,Pop-up Built-in Accepts External Flash,,,,,,,3.15,JPEG,,,2.5,2.5 Inch,,Zoom Lens,,,,,,,,,8.0,,AVI MPEG,,12 12x,,,,,,,,Secure Digital MultiMedia Card SDHC,,Yes,ISO 100 ISO 1600 ISO 400 ISO 800 ISO 200 Auto,,15-1/3200,63402,399.9900,,Description,3264 x 2448 3264 x 1832 (widescreen),Yes,Secure Digital (SD),CANPSS5IS,Y,http://www.meijer.com,/catalog/,,,,USB 2.0,QVGA - Up to 320x240,,1,Presets Auto Custom,4.6,,,,,,,Compatible,8 Megapixel,,Fixed Lens SLR's,"Multimedia Cards,Secure Digital Cards(SD),Secure D",,,Yes,,,,Yes,,,,,Optical Image Stabilization,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nikon 1 J3 Mirrorless Digital Camera with 10-30mm VR Lens, White Reviews | Buzzillions.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,14 Megapixels,Nikon J3,,,3x,,,,,,,,,,,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,Compact System / Mirrorless Cameras,"1"" (Nikon 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon P7000 | Nikon CoolPix P7000 Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/2.8-5.6,,,,,,79MB,Black,10 Megapixel,Point & Shoot with Zoom Lens,,,,,,EN-EL14,,,,,1.8,4 4x,10.1,,Aperture-Priority AE Manual Program AE Shutter-Priority AE Exposure Bracketing,,,Center AF Auto Manual Subject tracking Face Priority,,,,,Yes,3.1,JPEG RAW,,,3,3 Inch,,Zoom Lens,,,,,,,,,10.0,0001820826233,320 x 240 Quicktime MOV 1280 x 720 640 x 480,,7.1 7x,,,,,,,,SDXC SDHC Secure Digital,,,ISO 100-3200,,1/4000 - 60 1/4000 - 8 1/2000 - 8,,,Yes,Description,3648 x 2736,Yes,SD - SDHC - SDXC,,,,,,,,Mini-B,1280x720,,0.8,,4.5,,,"3""",Auto,79 MB,Secure Digital Extended Capacity (SDXC),,,10.1 Megapixel,,,1 Year Limited,,,,Yes,,,SDHC Secure Digital SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canon Eos Rebel T2i | Canon EOS Rebel T2i 18MP Digital SLR Body Reviews - Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,LP-E8 ProMaster LPE8 XtraPower,3.7,,,,3.0,,18.0,Built-in,Manual Aperture-Priority AE Depth-of-Field AE Program AE Shutter-Priority AE,,"Built-In, Auto pop-up flash",Predictive Focus One-Shot AF Manual Auto 9 point AF,,,,,Yes,3.8,RAW JPEG,,,3.0,3 Inch,,Not Included,,,,,,,,,18,,1920 x 1080 640 x 480 1280 x 720 Quicktime MOV,,,,,,,,,,SDHC Secure Digital SDXC,,2 Seconds Yes 10 Seconds,ISO 100-6400,,"1/4000-30 seconds 3""",,,Yes,Description,"5,184 x 3,456",Yes,SD - SDHC - SDXC,,,http://www.beachaudio.com,/product_info.php?products_id=354565&src=pwr,,,,Mini-B,1920x1080,,1.17,Tungsten Bulb Shade Fluorescent Daylight Custom Cloudy Auto,5.1,,,,,,,Compatible,18 Megapixel,18 Megapixel,Interchangeable Lens SLR's,,,,,,Yes,Not Applicable,Yes,SDHC Secure Digital,Body Only,,,,,Canon EF,,,,,,,,,,,,,,LC-E8,,,,,,,,,,,,,ACK-E8,,,,,,,,,,,,,,,,,Partial Spot Center Weighted Evaluative,,Secure Digital Extended Capacity (SDXC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,RC-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
