<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
Buy Canon EOS 70D DSLR Camera with 18-55mm Lens Cameras - Digital - SLR 8469B009 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,20.9 megapixel(s),15.0 x 22.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Twilight Landscape Sunset Portrait,1 Year,1 Year,88 mm,28.8 mm,Eye-Level Penta Prism,"camera, 18-55mm lens, eyecup Eb, battery pack, battery charger, wide strap, USB interface cable, CD, documentation","(1) 3.5mm microphone
(1) HDMI mini
(1) USB 2.0",Battery: LP-E6 Lithium-Ion,1.70 lb(s),,"4.1""h x 5.5""w x 3.1""d",,,Lithium ion,,,LCD,,,,30 - 1/8000,,,,,,55 mm,18 mm,,"Canon's innovative Dual Pixel CMOS AF enables you to shoot video like a camcorder with smooth, fast, and accurate autofocus; lets you enjoy instant and precise autofocus even when shooting stills from a variety of angles with the freedom provided by the Vari-angle LCD; and provides amazing autofocus power with 103? compatible Canon EF lenses when shooting photos or video.
Built-in wireless technology allows you to wirelessly transfer your images to social networking sites through Canon Image Gateway share your images with wireless-enabled Canon cameras, or upload virtually anywhere on your iOS or Android smartphone with the free download of the EOS Remote app. Use your smartphone for remote camera control and operation (with the EOS Remote app), or even print your images on a wireless PictBridge certified printer.
20.2 Megapixel CMOS (APS-C) sensor, 14-bit A/D conversion, ISO 100-12800 (expandable to H: 25600) for shooting from bright to dim light and high performance DIGIC 5+ Image Processor for exceptional image quality and processing speed.
High speed continuous shooting up to 7.0 fps allows you to capture quick action.
EOS Full HD Movie mode with Movie Servo AF for improved continuous focus tracking of moving subjects, manual exposure control and multiple frame rates (1080: 30p (29.97) / 24p (23.976) / 25p, 720: 60p (59.94) / 50p, 480: 30p (29.97) / 25p), built-in stereo microphone, manual audio level adjustment with attenuator function to reduce audio clipping, and Video Snapshot with editing for expanded movie shooting options.
Vari-angle Touch Screen 3.0-inch Clear View LCD monitor II (approximately 1, 040, 000 dots) with smudge-resistant coating features multi-touch operation and Touch AF for an easy and intuitive experience, flexible positioning, and clear viewing even when outdoors in sunlight.
19-point all cross-type AF system (including a high-precision f/2.8 dual cross-type AF center point) with a wide area array for exceptional autofocus performance and greater compositional freedom when shooting with the viewfinder.
Intelligent Viewfinder with superimposed LCD display provides approximately 98% field of view, and Multi-Aspect ratio in Live View broadens your choices in composition.
Expand your creativity with advanced in-camera imaging features like High Dynamic Range, Multiple Exposure, Handheld Night Scene and HDR Backlight Control, along with seven Creative Filters that can be displayed in real time during Live View shooting.
Scene Intelligent Auto Mode delivers expertly optimized photos and offers improved scene detection for amazing results when shooting at night.",F/3.5-5.6,,
Buy Sony a7 Interchangeable Lens Camera with Lens Cameras - Digital - SLR ILCE7K/B today at PC Connection,Mirrorless system,Black,3 in,,24.3 megapixel(s),23.9 x 35.8mm,Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Night Portrait Macro Night scene Landscape Handheld twilight Anti-motion blur Sunset Sports Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS 60D with 18-135mm Kit Digital SLR Cameras - Digital - SLR 4460B004 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Night Portrait Close-up Sports Portrait,1 Year,1 Year,135 mm,18 mm,Eye-Level Penta Prism,"Camera Body, 18-135mm Lens, Eyecup Eb, Wide strap, USB Interface cable, Stereo AV Cable, Battery Pack, Battery Charger, Software, Documentation",,"One Battery Pack LP-E6
AC power can be supplied via AC Adapter Kit ACK-E6",,Recording Media: SD/SDHC/SDXC Card,,,Microphone,Lithium ion,,Built-in Rotating Folding,LCD,SDHC Card SDXC Card SD Card,Auto mode,Yes,,JPEG,Digital camera,,,,,,,,,,
Buy Pentax K-3 DSLR Camera with 18-135mm Lens - Black Cameras - Digital - SLR 15541 today at PC Connection,SLR camera,Black,3.2 in,Pop-up flash,23.35 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS 70D DSLR Camera (Body Only) Cameras - Digital - SLR 8469B002 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,20.2 megapixel(s),15.0 x 22.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Landscape Close-up Handheld night shot Portrait Backlight correction HDR Sports,1 Year,1 Year,,,Eye-Level Penta Prism,"camera, eyecup Eb, battery pack, battery charger, wide strap, USB interface cable, CD, documentation","(1) 3.5mm microphone
(1) HDMI mini
(1) USB 2.0",Battery: LP-E6 Lithium-Ion,1.70 lb(s),,"4.1""h x 5.5""w x 3.1""d",,,,,,LCD,,,,,,,,,,,,,"Canon's innovative Dual Pixel CMOS AF enables you to shoot video like a camcorder with smooth, fast, and accurate autofocus; lets you enjoy instant and precise autofocus even when shooting stills from a variety of angles with the freedom provided by the Vari-angle LCD; and provides amazing autofocus power with 103? compatible Canon EF lenses when shooting photos or video.
Built-in wireless technology allows you to wirelessly transfer your images to social networking sites through Canon Image Gateway share your images with wireless-enabled Canon cameras, or upload virtually anywhere on your iOS or Android smartphone with the free download of the EOS Remote app. Use your smartphone for remote camera control and operation (with the EOS Remote app), or even print your images on a wireless PictBridge certified printer.
20.2 Megapixel CMOS (APS-C) sensor, 14-bit A/D conversion, ISO 100-12800 (expandable to H: 25600) for shooting from bright to dim light and high performance DIGIC 5+ Image Processor for exceptional image quality and processing speed.
High speed continuous shooting up to 7.0 fps allows you to capture quick action.
EOS Full HD Movie mode with Movie Servo AF for improved continuous focus tracking of moving subjects, manual exposure control and multiple frame rates (1080: 30p (29.97) / 24p (23.976) / 25p, 720: 60p (59.94) / 50p, 480: 30p (29.97) / 25p), built-in stereo microphone, manual audio level adjustment with attenuator function to reduce audio clipping, and Video Snapshot with editing for expanded movie shooting options.
Vari-angle Touch Screen 3.0-inch Clear View LCD monitor II (approximately 1, 040, 000 dots) with smudge-resistant coating features multi-touch operation and Touch AF for an easy and intuitive experience, flexible positioning, and clear viewing even when outdoors in sunlight.
19-point all cross-type AF system (including a high-precision f/2.8 dual cross-type AF center point) with a wide area array for exceptional autofocus performance and greater compositional freedom when shooting with the viewfinder.
Intelligent Viewfinder with superimposed LCD display provides approximately 98% field of view, and Multi-Aspect ratio in Live View broadens your choices in composition.
Expand your creativity with advanced in-camera imaging features like High Dynamic Range, Multiple Exposure, Handheld Night Scene and HDR Backlight Control, along with seven Creative Filters that can be displayed in real time during Live View shooting.
Scene Intelligent Auto Mode delivers expertly optimized photos and offers improved scene detection for amazing results when shooting at night.",,,
"Buy Samsung Galaxy Digital Camera, 16.1MP, 21x Zoom, White Cameras - Digital - Point & Shoot EK-GC110ZWAXAR today at PC Connection",Compact,White,4.8 in,Pop-up flash,16.3 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Sunset Waterfall Night Macro Silhouette Landscape,1 Year,1 Year,483 mm,23 mm,,"Camera, battery, travel adapter, data cable, hand strap, documentation",,"Battery: Lithium Ion, 1650mAh",10.70 oz,8GB,"2.8""h x 5.1""w x 0.8""d",,,Lithium ion,,,LCD,,,,16 - 1/2000 1/8 - 1/2000,,,,,21 X,86.1 mm,4.1 mm,,"Capture images like a pro:
This, first and foremost, is a serious camera designed to capture amazing images in almost any situation. It starts with a quality 23mm wide-angle lens that gives you a 21x optical zoom and optical image stabilization. You can go fully automated, fully manual or select a setting (like aperture or shutter priority) and let the camera figure out the rest. With Samsung S Voice, you can also tell your camera what to do. It will respond to commands like “smile, ” “record video” and “zoom in.”
Edit photos & videos quick & easy:
You’ll take beautiful photos and clear, vibrant video with the Galaxy Camera. But it doesn’t stop there. With Photo Wizard, you can edit those photos right in the camera – adjust brightness and color, add effects, crop and more. And with Video Editor, you can delete and rearrange scenes, add music and insert text. These are precision tools that make sure the photos and videos you share are exactly as you like them. And you’ll see every amazing detail on the 4.8” HD Super Clear Touch Screen LCD.
Share easily and beautifully:
The Galaxy Camera is packed with advanced sharing features. But its most basic sharing feature might be its most impressive – simply showing your friends your new photos and videos on the big, beautiful 4.8” HD Super Clear Touch Screen. Then technology – thanks to Android and Wi-Fi – brings sharing to a whole new level. Use Buddy Photo Share to share directly to your favorite social networks, and Share Shot to share with other devices. You’ll also be able to access your photos from any AllShare Play device.
Enjoy photos smarter:
Samsung made enjoying your photos and videos is almost as much fun as capturing them. First of all, SMART Content Manager automatically organizes your photos so you can always find what you’re looking for. You can view your albums by time, location, favorites or more. Second of all, you can watch your videos – or almost any other multimedia content – through the Video Player. Third of all, there’s a Music Player. Fourth of all, the Galaxy Camera gives you a full web browser to enjoy everything else. Plus, Smart Gestures lets you interact with your memories in new, very intuitive ways, like Tilt to Zoom, Pan to Browse and more.",,8 GB,
"Buy Pentax Ricoh GR Digital Camera, 16.2MP, Black Cameras - Digital - Point & Shoot 175743 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.2 megapixel(s),,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K-S1 Camera, Blue, with Lens Kit Cameras - Digital - SLR 6493 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Panasonic Lumix DMC-SZ3 Digital Camera, 14.1MP, 10x Zoom, Violet Cameras - Digital - Point & Shoot DMC-SZ3V today at PC Connection",Compact,Violet,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Food High Sensitivity Sunset Starry sky Photo frame Baby2 Scenery Night Portrait Soft skin Baby1 Pet Behind glass Night scene Portrait,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 150 IS, 20MP, 10x Zoom, Black Cameras - Digital - Point & Shoot 9356B001 today at PC Connection",Point & Shoot camera,Black,2.7 in,Built-in flash,20 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Auto mode Snow Poster effect Toy camera effect Miniature effect Super vivid Fisheye effect Low light Portrait,1 Year,1 Year,240 mm,24 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-11LH Lithium-Ion,4.40 oz,,"2.2""h x 3.8""w x 0.9""d",,,Lithium ion,,Built-in,LCD,SDHC Card SDXC Card SD Card,,,1 - 1/2000,,,,4 X,10 X,43 mm,4.3 mm,,"10x Optical Zoom helps ensure outstanding optical performance and versatility.
20.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Intelligent IS automatically chooses from eight different modes to optimize image stabilization for the shooting condition.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
"Buy Pentax WG-4 GPS Digital Camera, 16MP, 4X Zoom, Black Cameras - Digital - Point & Shoot 8542 today at PC Connection",Compact,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Underwater movie Report Handheld night shot Digital microscope Dynamic Range (HDR) Sports Pet Night scene Portrait Landscape Surf & Snow Macro Digital IS Underwater Night Portrait Food Children Flower Fireworks Show,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon Canon EOS Rebel T4i Digital Camera (Body Only) Cameras - Digital - SLR 6558B001 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Sports Portrait Handheld night shot Backlight correction HDR Close-up Night snapshot,1 Year,1 Year,,,Fixed eye-level pentamirror,"Camera, Camera Cover, Wide Strap, Battery Charger, Battery Pack, Cable, Software, Documentation",,Rechargeable Lithium-Ion Battery Pack,,,,,,Lithium ion,MOV H.264 AVC MPEG-4,Built-in,LCD,SDXC Card SDHC Card SD Card,,,,RAW JPEG,Digital camera,,,,,,,,,,
"Buy Panasonic Lumix LZ40 Digital Camera, 20MP, 42x Zoom, Black Cameras - Digital - Point & Shoot DMC-LZ40K today at PC Connection",Compact,Black,3 in,Pop-up flash,20 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Food Soft skin Sunset Night scene High Sensitivity Baby2 Starry sky Dynamic Range (HDR) Baby1 Night Portrait Scenery Pet Panorama assist Sports,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony DSC-HX300 Camera - Black Cameras - Digital - Point & Shoot DSCHX300/B today at PC Connection,Compact,Black,3 in,Pop-up flash,20.4 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Backlight correction HDR Advanced sports Gourmet Soft skin Softsnap Snow Night scene Pet Night Portrait High Sensitivity Landscape Fireworks Show Anti-motion blur Beach Handheld twilight,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Panasonic DMC-XS1W Pocket Able Camera - White Cameras - Digital - Point & Shoot DMC-XS1W today at PC Connection,Compact,White,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Behind glass Night scene Scenery Photo frame Baby2 Baby1 Food Sunset Starry sky Sports Soft skin High Sensitivity Pet Night Portrait Portrait,1 Year,1 Year,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix JX680 Digital Camera, 16MP, 5x Zoom, Red Cameras - Digital - Point & Shoot 16292241 today at PC Connection",Compact,Red,3 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Natural Light Landscape Beach Individual shutter 3D Smile shutter Text Baby Night (tripod) Flower Portrait Sunset Snow Party/Indoor Panorama assist Sports Fireworks Show,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot N100 Digital Camera, Black Cameras - Digital - Point & Shoot 9168B001 today at PC Connection",Point & Shoot camera,Black,3 in,Pop-up flash,12.1 megapixel(s),"1/1.7""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Miniature effect Toy camera effect Super vivid Backlit softness Multi-firework Portrait Poster effect Auto mode Fisheye effect Snow Handheld night shot,1 Year,1 Year,120 mm,24 mm,,"Camera, battery pack, battery charger, wrist strap, documentation","(1) HDMI Micro
(1) USB 2.0",NB-12L Lithium Ion Battery,10.20 oz,,"2.7""h x 4.1""w x 1.4""d",,,Lithium ion,,,LCD,SDXC Card SDHC Card SD Card,,,1 - 1/2000,,,,4 X,,26 mm,5.2 mm,Vivid Sepia Neutral Black & White,"Dual Capture uses a rear-facing secondary camera to capture your expression while shooting and then creates a picture-in-picture effect.
Story Highlights automatically selects and compiles images into an exciting highlight reel within the camera without the use of software.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
5x Optical Zoom, bright f/1.8 and 24mm Wide-Angle lens with Optical Image Stabilizer for excellent image quality.
12.1 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 6 Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
3.0-inch tilt, capacitive touch panel LCD helps provide flexibility.
Capture stunning 1080p Full HD video with a dedicated movie button.",F/1.8,,
Buy Sony DSC-TX30 Camera Cameras - Digital - Point & Shoot DSCTX30/D today at PC Connection,Compact,Orange,3.3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Handheld twilight Anti-motion blur Beach Fireworks Show Softsnap Night scene Backlight correction HDR Gourmet Soft skin Night Portrait Pet Magnifying glass Snow High Sensitivity Landscape,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 135, 16MP, 8x Zoom, Silver Cameras - Digital - Point & Shoot 9153B001 today at PC Connection",Point & Shoot camera,Silver,2.7 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Snow Poster effect Toy camera effect Fisheye effect Auto mode Low light Portrait Miniature effect Super vivid,1 Year,1 Year,224 mm,28 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-11L Lithium-Ion,4.50 oz,,"2.1""h x 3.8""w x 0.9""d",,,,,Built-in,LCD,SD Card SDXC Card SDHC Card,,,1 - 1/2000,,,,4 X,8 X,40 mm,5 mm,,"8x Optical Zoom helps ensure outstanding optical performance and versatility.
16.0 Megapixel sensor combined with the DIGIC 4+ Image Processor for outstanding performance.
Shoot 720p HD video with a dedicated movie button.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.
Digital IS helps reduce the effect of camera shake and subject movement.
Scene Modes such as Fisheye Effect, Toy Camera Effect and Monochrome provide creative freedom to capture your photos.
ECO Mode helps reduce power consumption for longer battery life.
Help Button provides simple explanations and easy control of your settings.",,,
"Buy Sony Cyber-Shot WX80 Digital Camera, 16.2MP, 16x Zoom, White Cameras - Digital - Point & Shoot DSCWX80/W today at PC Connection",Compact,White,2.7 in,Built-in flash,16.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Anti-motion blur Soft skin Gourmet Handheld twilight Beach Backlight correction HDR Softsnap Landscape Snow Night scene Pet Night Portrait Fireworks Show High Sensitivity,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy General Electric Consumer A1235 Digital Camera, 12.2MP, 3x Zoom, Cameras - Digital - Point & Shoot A1235-PK today at PC Connection",Compact,Pink,2.5 in,Built-in flash,12.2 megapixel(s),,CCD,This product is subject to our return policy. Please see our complete return policy for details.,Museum Landscape Fireworks Show Children Leaf Indoor Portrait Snow Night landscape Sunset Night Portrait Sports,N/A,N/A,105.00 mm,35.00 mm,,,,,,,,,Microphone,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot ELPH 340 HS, Purple Cameras - Digital - Point & Shoot 9350B001 today at PC Connection",Point & Shoot camera,Purple,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Handheld night shot Low light Miniature effect Smart shutter Snow Super vivid Creative shot Auto mode Toy camera effect Fisheye effect Poster effect Portrait,1 Year,1 Year,300 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation","(1) Micro HDMI
(1) USB 2.0",NB-11LH Lithium Ion Battery,5.20 oz,,"2.3""h x 3.9""w x 0.9""d",,,Lithium ion,,,LCD,SD Card SDHC Card SDXC Card,,,15 - 1/2000 1 - 1/2000,,,,4 X,12 X,54 mm,4.5 mm,Vivid Neutral Black & White Sepia,"12x Optical Zoom helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
16.0 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 4+ Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p Full HD video with a dedicated movie button.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.",,,
"Buy Canon EOS 60D Digital SLR, 18MP - Body Only Cameras - Digital - SLR 4460B003 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Portrait Landscape Close-up Sports,1 Year,1 Year,,,Eye-Level Penta Prism,"Camera Body, Eyecup Eb, Wide strap, USB Interface cable, Stereo AV Cable, Battery Pack, Battery Charger, Software, Documentation",,"One Battery Pack LP-E6
AC power can be supplied via AC Adapter Kit ACK-E6",,Recording Media: SD/SDHC/SDXC Card,,,Microphone,Lithium ion,,Built-in Rotating Folding,LCD,SDHC Card SDXC Card SD Card,Auto mode,Yes,,JPEG,Digital camera,,,,,,,,,,
Buy Panasonic DMC-XS1R Pocket Able Camera - Red Cameras - Digital - Point & Shoot DMC-XS1R today at PC Connection,Compact,Red,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Sports Baby2 Food Behind glass Starry sky Photo frame Sunset Soft skin Night Portrait Baby1 High Sensitivity Scenery Pet Portrait Night scene,1 Year,1 Year,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-shot DSC-W800 Digital Camera, 20.1MP, 5x Zoom, Black Cameras - Digital - Point & Shoot DSCW800/B today at PC Connection",Compact,Black,2.7 in,Built-in flash,20.1 megapixel(s),"1/2.3""",Super HAD CCD,"Due to manufacturer restrictions, all sales on this item are final.",Gourmet Pet Beach Snow Night scene Night Portrait Landscape High Sensitivity,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon COOLPIX AW120 Waterproof Digital Camera, 5X Zoom, Blue Cameras - Digital - Point & Shoot 26466 today at PC Connection",Compact,Blue,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Food Landscape Back light Party/Indoor Night Portrait Museum Fireworks Show Snow Dawn/Dusk Beach Panorama assist Pet portrait Black and white copy Underwater Close-up Night landscape Sunset,Call for Warranty,Call for Warranty,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony a7R Interchangeable Lens Camera Body Only Cameras - Digital - SLR ILCE7R/B today at PC Connection,Mirrorless system,Black,3 in,,36.4 megapixel(s),24 x 35.9mm,Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Sports Anti-motion blur Night Portrait Landscape Night scene Portrait Sunset Handheld twilight Macro,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Panasonic DMC-TS25K Digital Camera, 16.1MP, Black Cameras - Digital - Point & Shoot DMC-TS25K today at PC Connection",Compact,Black,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Pet Behind glass Scenery Soft skin Food Night scene Night Portrait Starry sky Baby2 Sunset High Sensitivity Baby1,1 Year,1 Year,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot SX600 HS, 16MP, 18x Zoom, Red Cameras - Digital - Point & Shoot 9342B001 today at PC Connection",Point & Shoot camera,Red,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Super vivid Poster effect Snow Auto mode Creative shot Portrait Handheld night shot Low light Fisheye effect Miniature effect Smart shutter Toy camera effect,1 Year,1 Year,450 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-6LH Lithium-Ion,5.80 oz,,"2.4""h x 4.1""w x 1""d",,,Lithium ion,,Built-in,LCD,SDHC Card SDXC Card SD Card,,,15 - 1/2000 1 - 1/2000,,,,4 X,18 X,81 mm,4.5 mm,Vivid Black & White Neutral Sepia,"18x Optical Zoom (25-450mm) helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
16.0 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 4+ Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p Full HD video with a dedicated movie button.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.",,,
Buy Panasonic DMC-TS25A Time Lapse Capture Camera - Blue Cameras - Digital - Point & Shoot DMC-TS25A today at PC Connection,Compact,Blue,2.7 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night scene Baby1 Pet Soft skin Sunset Night Portrait High Sensitivity Food Behind glass Starry sky Baby2 Scenery,1 Year,1 Year,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
