<page title>,camera type,deal first added on,ean13,last updated,lcd screen size,manufacturer,megapixels,optical zoom,product name,product number mpn,retail price,upc,dimensions,ean14,weight,manufactured in,megapixel range,redeye reduction,feature
Canon EOS 60D Digital SLR Essentials on sale for $42.90,,22-October-2010,,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Essentials Accessory Kit Includes 8GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Extended Replacement LP-E6 (2600 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe SLR Case,,,,,,,,,,
Nikon D5000 12.3MP Digital SLR Camera w/ on sale for $530.95,SLR,12-May-2009,0018208254545,09-October-2014,2.7 inches,Nikon,12.3 MP,3 x,Nikon D5000 12.3MP Digital SLR Camera w/ Nikkor DX 18-55mm f/3.5-5.6G VR Lens,D5000 18-55mm K,$899.95,018208254545,,00018208254545,6 lbs.,,,,
Pentax MX-1 12MP Digital Camera on sale for $335.58,Point-and-Shoot,16-December-2013,0027075225299,10-October-2014,,Pentax,,,Pentax MX-1 12MP Digital Camera with 4x IS Zoom (Silver),MX-1 silver,$399.95,027075225299,,,,,,,
Canon EOS Rebel XS 10.1MP Digital SLR on sale for $563.20,,24-November-2008,0013803099249,09-October-2014,,Canon,,,Canon EOS Rebel XS 10.1MP Digital SLR Camera with EF-S 18-55mm f/3.5-5.6 IS Lens (Black),B001CBKJGG,$1399.99,013803099249,,00013803099249,4 lbs.,,,,
Gripster + 16GB Bundle For Canon on sale for $42.90,,26-September-2010,0628586183209,09-October-2014,,ButterflyPhoto,,,Gripster + 16GB Bundle For Canon PowerShot SX130 IS Digital Camera Includes Gripster + 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Clear LCD Screen Protectors,,,628586183209,,,,,,,
Pentax K-r Digital SLR Camera on sale for $856.85,,19-September-2011,0017532476692,09-October-2014,,Pentax,12.4 MP,,"Pentax K-r Digital SLR Camera with 18-55mm Lens (Black) + SSE Accessory Package Including 3 Pc Filter KIT + 8gb Sdhc Memory Card, Extra Battery, Rapid Charger & Much More!!",,,017532476692,,,,,,,
Olympus XZ-1 10 MP Digital Camera on sale for $273.79,,27-October-2012,0662425827589,09-October-2014,,BVI,,,Olympus XZ-1 10 MP Digital Camera with f1.8 Lens and 3-Inch OLED Monitor (Black) + Extended Life Battery + 32GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Ac,"XZ1 Black, 2280",$549.95,662425827589,,,,,,,
2 Pack of Celltime LP-E12 Replacement on sale for $26.95,,3-August-2013,0639767594561,09-October-2014,,Celltime Inc.,,,2 Pack of Celltime LP-E12 Replacement Batteries for Canon SL1 Digital SLR + Rapid AC/DC Charger for the Canon SL1,LP-E12,$49.95,639767594561,,,,,,,
"Lens Kit For The Panasonic Lumix DMC-G1, on sale for $62.90",,8-December-2010,0628586193963,09-October-2014,,ButterflyPhoto,,,"Lens Kit For The Panasonic Lumix DMC-G1, DMC-G10 12.1 MP Digital Camera Includes 52mm 3pc High Resolution Multi Coated Filter Kit + HD 2X Telephoto Lens + HD .45x Wide Angle Lens + 4 piece Close-up Filter Set Includes +1 +2 +4 +10 + 52mm Lens Hood + More",,$119.95,628586193963,,,,,,,
FujiFilm Finepix S8100fd Digital Camera on sale for $514.49,,28-July-2008,0074101481105,09-October-2014,,Fuji Photo Film,,,"FujiFilm Finepix S8100fd Digital Camera (10 Megapixels, 18x Wide Angle Dual IS Optical Zoom)",15823706,$601.77,074101481105,,00074101481105,2 lbs.,,,,Wide Angle
Nikon Coolpix P1 8MP Digital Camera on sale for $124.97,,1-September-2005,0018208255344,09-October-2014,,Nikon,,,Nikon Coolpix P1 8MP Digital Camera with 3.5x Optical Zoom (Wifi Capable),COOLPIX P1,$549.95,018208255344,7.6 x 5.6 x 3.5 in.,00018208255344,2 lbs.,,"6.0 Megapixels +, 8.0 - 8.9 Megapixels",,
Nikon Coolpix S1000pj 12.1MP Digital on sale for $202.49,Point-and-Shoot,28-October-2009,0018208261864,09-October-2014,2.7 inches,Nikon,12.1 MP,5 x,Nikon Coolpix S1000pj 12.1MP Digital Camera w/ Built-in Projector and 5x Wide Angle VR Zoom,S1000pj,$429.95,018208261864,,00018208261864,,,,Yes,
"Canon Powershot S95, SD4000 IS Digital C on sale for $22.90",,26-September-2010,0628586183476,09-October-2014,,ButterflyPhoto,,,"Canon Powershot S95, SD4000 IS Digital C",,,628586183476,,,,,,,
Samsung GC110 Galaxy Digital Camera on sale for $392.49,,6-December-2013,0616932798214,09-October-2014,,ebasket,,,Samsung GC110 Galaxy Digital Camera (White) + 16GB MicrSD Memory Card + Mini Tripod Kit + USB SDHC Reader + Memory Wallet,EK-GC110ZWAXAR,,616932798214,,,,,,,
Nikon D3200 24.2MP Digital SLR on sale for $379.00,SLR,4-May-2012,0018208254927,10-October-2014,,Nikon,,,Nikon D3200 24.2MP Digital SLR with 18-55mm f/3.5-5.6 AF-S DX VR Zoom Lens,,$699.95,018208254927,,,,,,,
Panasonic Lumix DMC-ZS25 16.1MP Compact on sale for $99.00,Point-and-Shoot,29-July-2013,0885170117549,09-October-2014,,Panasonic,,,"Panasonic Lumix DMC-ZS25 16.1MP Compact Digital Camera with 40x Zoom (DMC-ZS25K, Black)",DMC-ZS25K,$299.99,885170117549,,,,Made in Japan,,,
Panasonic Lumix TS4 12.1 TOUGH Waterproof on sale for $412.19,,12-June-2012,0662425823888,09-October-2014,,Panasonic,,,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Orange) W/32GB SDHC Memory +2 Extended Life BCF10 Batteries+ Ac/Dc Rapid Charger + Deluxe Case w/Strap + USB Card Reader + Mini HDMI Cable + Memory Card Wallet + Accessory Sa,DMC-TS4D Bundle,$789.95,662425823888,,,,,,,
Pentax K-01 16MP APS-C CMOS Compact on sale for $579.69,,9-December-2012,0662425827770,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera [Body] (White) + Extended Life Battery + 8GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Professional Full S,K-01 WHITE,$749.99,662425827770,,,,,,,
Panasonic Lumix DMC-ZS15 12.1 MP Digital on sale for $278.99,,12-June-2012,0662425822577,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS15 12.1 MP Digital Camera with 16x Optical Zoom (Silver) BigVALUEInc Accessory Saver 32GB Bundle,DMC-ZS15S 32GB,$449.95,662425822577,,,,,,,
Nikon Coolpix L24 Digital Camera on sale for $38.79,Point-and-Shoot,27-July-2012,0018208262403,09-October-2014,,Nikon,,,"Nikon Coolpix L24 Digital Camera with 14MP, 3.6x Zoom (Red)",,$119.00,018208262403,,,,,,,
Nikon Coolpix S9300 16MP Digital Camera on sale for $179.99,Point-and-Shoot,4-June-2012,0018208263141,09-October-2014,,Nikon,,,Nikon Coolpix S9300 16MP Digital Camera with 18x Zoom and 1080p Video (Silver),,$349.95,018208263141,,,,,,,
Canon PowerShot SD750 7.1MP Digital Elph on sale for $494.37,,6-April-2008,0013803076615,09-October-2014,,Canon,,,Canon PowerShot SD750 7.1MP Digital Elph Camera with 3x Optical Zoom (Black),SD750 Digital E,$199.99,013803076615 999999431592,3.6 x 2.2 x 0.8 in.,00013803076615,2 lbs.,,7.0 - 7.9 Megapixels,,
Sony Cyber-Shot DSC-HX100V 16.2MP Exmor R on sale for $304.99,Point-and-Shoot,12-October-2011,0027242808782,09-October-2014,3 inches,Sony,16.2 MP,30 x,Sony Cyber-Shot DSC-HX100V 16.2MP Exmor R CMOS Digital Camera with 30x Zoom and Full HD 1080 Video,DSCHX100V/B,$449.99,027242808782,,,,,,Yes,
Canon PowerShot SX100IS 8MP Digital on sale for $405.99,,26-November-2007,0013803087758,09-October-2014,,Canon,,,Canon PowerShot SX100IS 8MP Digital Camera with 10x Optical Image Stabilized Zoom,2420B001,$547.00,013803087758,4.3 x 2.8 x 1.6 in.,00013803087758,2 lbs.,,8.0 - 8.9 Megapixels,,Image Stabilization
Nikon Coolpix P500 12.1mp CMOS Digital on sale for $259.00,,25-February-2011,0018208262564,09-October-2014,,Nikon,12.1 MP,36 x,Nikon Coolpix P500 12.1mp CMOS Digital Camera with 36x Zoom and Full HD 1080p Video,P500 Black,$399.00,018208262564,,,,,,,
Canon EOS Rebel SL1 DSLR Camera on sale for $731.99,,3-August-2013,0616932796234,09-October-2014,,Canon,,,Canon EOS Rebel SL1 DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS STM Lens with Canon EF 75-300mm f/4.0-5.6 III Autofocus Lens 32GB Package 3,8575B003 Packag,,616932796234,,,,,,,
Pentax Optio WG-II GPS Adventure 16MP on sale for $519.99,Point-and-Shoot,29-March-2013,0027075213890,09-October-2014,,Pentax,,,Pentax Optio WG-II GPS Adventure 16MP Waterproof Digital Camera with 5X Zoom,Optio WG-2 GPS,$299.95,027075213890,,,,,,,
Sony Cyber-shot DSC-W330 14.1MP Digital on sale for $109.50,Point-and-Shoot,11-November-2010,0027242776524,10-October-2014,3 inches,Sony,14.1 MP,4 x,Sony Cyber-shot DSC-W330 14.1MP Digital Camera with 4x Wide Angle IS Zoom (Silver),W330 Silver,$169.99,027242776524,,00027242776524,,,,Yes,
Panasonic Lumix DMC-GX1 16MP Micro 4/3 on sale for $349.00,,3-August-2012,0885170065529,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-GX1 16MP Micro 4/3 Compact System Camera (Body Only),DMC-GX1KBODY,$699.99,885170065529,,,,,,,
Ultimate Accessory Kit For Canon on sale for $42.90,,26-September-2010,0628586183315,09-October-2014,,ButterflyPhoto,,,Ultimate Accessory Kit For Canon PowerShot S95 Digital Camera Includes 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Replacement NB-6L (1200 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe Hard Case + LCD Screen Protectors,,,628586183315,,,,,,,
Nikon D3300 24.2MP CMOS Digital SLR on sale for $438.88,SLR,5-May-2014,0018208015320,09-October-2014,,Nikon,,,Nikon D3300 24.2MP CMOS Digital SLR with AF-S DX NIKKOR 18-55mm f/3.5-5.6G VR II Zoom Lens (Black),,$649.95,018208015320,,,,,,,
Olympus Stylus TG-850 Tough IHS 16MP on sale for $179.99,Point-and-Shoot,6-May-2014,0050332187788,10-October-2014,,Olympus,,,Olympus Stylus TG-850 Tough IHS 16MP Digital Camera (Black),V104150BU000,$299.99,050332187788,,,,,,,
Canon PowerShot A2400 IS 16MP Digital on sale for $119.49,Point-and-Shoot,12-December-2012,0496100000000,09-October-2014,,Canon,,,Canon PowerShot A2400 IS 16MP Digital Camera with 5x IS Zoom and 720p Video (Black),6188B001,$149.00,013803146639,,,,,,,
Pentax Optio WG-2 GPS Adventure Series 16 on sale for $462.69,,29-March-2013,0662425822119,09-October-2014,,Pentax,,,Pentax Optio WG-2 GPS Adventure Series 16 MP Waterproof Digital Camera with 5 X Optical Zoom (Orange) 8GB SD HC Card Battery and More Accessory Saver Bundle,OPTIO WG2 Oran,$549.95,662425822119,,,,,,,
Sony Alpha NEX-7 Digital Camera on sale for $1319.00,,11-December-2013,0662425833641,09-October-2014,,Sony,,,Sony Alpha NEX-7 Digital Camera with 18-55mm Lens (Black) Package 3,,,662425833641,,,,,,,
Panasonic Lumix DMC-FZ8K 7.2MP Digital on sale for $329.97,,10-April-2007,0037988986163,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FZ8K 7.2MP Digital Camera with 12x Optical Image Stabilized Zoom (Black),DMC-FZ8P-K,$349.99,037988986163,4.43 x 3.11 x 2.84 in.,00037988986163,2 lbs.,,7.0 - 7.9 Megapixels,,Image Stabilization
Canon EOS Digital Rebel XT 8MP Digital on sale for $705.49,SLR,23-February-2005,0013803049640,09-October-2014,,Canon,,,Canon EOS Digital Rebel XT 8MP Digital SLR Camera with EF-S 18-55mm f3.5-5.6 Lens (350D) (Black),Digital Rebel X,$1499.99,013803049640,5 x 3.7 x 2.5 in.,00013803049640,1.5 lbs.,,"5.0 - 5.9 Megapixels, 6.0 Megapixels +, 8.0 - 8.9 Megapixels",,
Fujifilm Finepix S8000fd 8MP Digital on sale for $569.94,,6-April-2008,0074101437775,09-October-2014,,Fuji Photo Film,,,Fujifilm Finepix S8000fd 8MP Digital Camera with 18x Optical Image Stabilization,FinePix S8000fd,$499.99,074101437775,7 x 6.2 x 4.8 in.,00074101437775,2 lbs.,,8.0 - 8.9 Megapixels,,
Panasonic Lumix DMC-ZS9 14.1MP Digital on sale for $299.99,,25-November-2011,0885170039407,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS9 14.1MP Digital Camera with 16x Optical Zoom (Black),DMC-ZS9K,,885170039407,,,,,,,
Fujifilm X100 12.3MP Digital Camera on sale for $643.00,Point-and-Shoot,20-July-2012,0074101008357,09-October-2014,,Fuji Photo Film,,,Fujifilm X100 12.3MP Digital Camera with 23mm Lens,,$1199.95,074101008357,,,,,,,
Pentax Optio S6 6MP Digital Camera on sale for $305.29,,1-September-2005,0027075114180,09-October-2014,,Pentax,,,Pentax Optio S6 6MP Digital Camera with 3x Optical Zoom,,$429.95,027075114180,7.4 x 6.4 x 3.9 in.,00027075114180,2 lbs.,,6.0 Megapixels +,,
Nikon Coolpix S8000 14MP Digital Camera on sale for $275.00,Point-and-Shoot,25-June-2010,0018208261925,09-October-2014,,Nikon,14.2 MP,10 x,Nikon Coolpix S8000 14MP Digital Camera with 10x Wide ED VR Zoom (Red),S8000 Red,$299.95,018208261925,,00018208261925,,,,,
Canon EOS 60D Digital SLR Lens Kit on sale for $86.90,,22-October-2010,0628586183834,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Lens Kit Includes HD .45x Wide Angle Lense + 3pc Filter Kit + Close Up Filters + Gripster + Lens Hood + Lens Pen + More,,$199.00,628586183834,,,,,,,
Sony Cyber-shot DSC-H3 8.1 MP Digital on sale for $358.99,,6-April-2008,0027242713390,09-October-2014,,Sony,,,Sony Cyber-shot DSC-H3 8.1 MP Digital Camera with 10x Optical Zoom with Super SteadyShot Image Stabilization,,$341.99,027242713390,,00027242713390,2 lbs.,,,,
Sony Alpha NEX-6L/B2BDL 16.1 MP Compact on sale for $916.84,Other,16-December-2013,0027242279452,09-October-2014,,Sony,,,Sony Alpha NEX-6L/B2BDL 16.1 MP Compact System Camera with 16-50mm Power Zoom Lens and 55-210mm Lens,NEX6L/B2BDL,$1349.98,027242279452,,,,,,,
Nikon D200 10.2MP Digital SLR Camera on sale for $2300.95,SLR,19-December-2006,,09-October-2014,,Nikon,,,Nikon D200 10.2MP Digital SLR Camera with 18-135mm AF-S DX f/3.5-4.5G IF-ED Nikkor Zoom Lens,,$1941.48,018208094042,,00018208094042,6 lbs.,,10.0 - 10.9 Megapixels,,
Nikon Coolpix S6400 16MP Digital Camera on sale for $129.00,,24-November-2013,0018208263530,10-October-2014,,Nikon,,,Nikon Coolpix S6400 16MP Digital Camera with 12x Zoom (Red),,$249.95,018208263530,,,,,,,
Casio Exilim EX-Z9/OR 8.1 MP 3x Zoom on sale for $69.00,,11-July-2009,0915436789026,09-October-2014,,Casio,,,Casio Exilim EX-Z9/OR 8.1 MP 3x Zoom 2.6-Inch LCD Screen Digital Camera (Orange),EX-Z9BK,,915436789026,,,,,,,
Konica Minolta Dimage E500 5MP Digital on sale for $155.00,,8-June-2005,0043325997150,09-October-2014,,Konica Minolta,,,Konica Minolta Dimage E500 5MP Digital Camera 3x Optical Zoom,2816-301,$229.99,043325997150,1.1 x 3.6 x 2.4 in.,00043325997150,1 lbs.,,,,
Canon EOS 60D Digital SLR Essentials on sale for $55.90,,22-October-2010,0628586183889,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Essentials Accessory Kit Includes 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Extended Replacement LP-E6 (2600 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe SLR Case + Gripster,,$139.95,628586183889,,,,,,,
Panasonic Lumix DMC-ZS15 12.1 MP Digital on sale for $292.29,,12-June-2012,0662425823932,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS15 12.1 MP Digital Camera with 16x Optical Zoom (Black) W/16GB SDHC Memory Card + Extended Life BCG10 Battery + Deluxe Case w/strap + USB Card Reader + Memory Card Wallet + Accessory Saver Bundle!,DMC-ZS15K,$499.95,662425823932,,,,,,,
Canon PowerShot G7 10MP Digital Camera on sale for $1199.00,,14-September-2006,0013803071221,09-October-2014,,Canon,,,Canon PowerShot G7 10MP Digital Camera with 6x Image-Stabilized Optical Zoom,1285B001,$599.99,013803071221,4.2 x 2.8 x 1.7 in.,00013803071221,3 lbs.,,10.0 - 10.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-G3 16MP Micro on sale for $399.95,Point-and-Shoot,24-June-2011,0885170047563,09-October-2014,3 inches,Panasonic,16.3 MP,3 x,Panasonic Lumix DMC-G3 16MP Micro Four-Thirds Interchangeable Lens Camera with 14-42mm Lumix G VARIO f/3.5-5.6 Lens,DMC-G3KK,$699.99,885170047563,,,,,,,
Panasonic Lumix DMC-GH3 Mirrorless Micro on sale for $1298.00,,10-December-2013,0617529207300,10-October-2014,,Panasonic,,,Panasonic Lumix DMC-GH3 Mirrorless Micro Four Thirds Digital Camera (Black) + 8GB SDHC Memory Card,DMCGH3,,617529207300,,,,,,,
Fujifilm Finepix Z20fd 10MP Digital on sale for $249.95,,11-July-2009,0074101484304,09-October-2014,,Fuji,,,Fujifilm Finepix Z20fd 10MP Digital Camera with 3x Optical Zoom (Red),15825376,$249.99,074101484304,,,,,,,
Sony Cybershot DSCS780 8.1MP Digital on sale for $249.00,,15-October-2008,0027242730502,09-October-2014,,Sony,,,Sony Cybershot DSCS780 8.1MP Digital Camera with 3x Optical Zoom,DSCS780,$179.99,027242730502,,00027242730502,1 lbs.,,8.0 - 8.9 Megapixels,,
Canon EOS 60D Digital SLR Essentials on sale for $50.90,,22-October-2010,,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Essentials Accessory Kit Includes 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Extended Replacement LP-E6 (2600 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe SLR Case,,$109.95,,,,,,,,
NP-W126 Repacement Battery For Fuji X-Pro on sale for $55.89,,6-November-2012,0662425822607,09-October-2014,,BVI,,,"NP-W126 Repacement Battery For Fuji X-Pro 1 , HS30EXR, HS33EXR",NP-W126,,662425822607,,,,,,,
Canon PowerShot S90 IS 10MP Camera on sale for $559.99,Point-and-Shoot,26-August-2009,0013803116076,09-October-2014,,Canon,10 MP,3.8 x,"Canon PowerShot S90 IS 10MP Camera with 3.8x Wide Angle IS Zoom and 3"" LCD",,$529.99,013803116076,,00013803116076,,,,,
Battery Kit For The Canon SX30IS SX30 IS on sale for $12.90,,23-November-2010,0628586194236,09-October-2014,,ButterflyPhoto,,,Battery Kit For The Canon SX30IS SX30 IS Digital Camera Includes Extended Replacement NB-7L (1300 mAH) Battery + Clear LCD Screen Protectors + Lens Cleaning Kit,,$29.95,628586194236,,,,,,,
"Canon PowerShot S95, SD4000 IS Digital C on sale for $24.95",,26-September-2010,0628586183384,09-October-2014,,ButterflyPhoto,,,"Canon PowerShot S95, SD4000 IS Digital C",,,628586183384,,,,,,,
Nikon Coolpix L2 6MP Digital Camera on sale for $195.49,,21-February-2006,0018208255436,09-October-2014,,Nikon,,,Nikon Coolpix L2 6MP Digital Camera with 3x Optical Zoom,25543,$246.95,018208255436,4.5 x 1 x 3 in.,00018208255436,1 lbs.,,,,
Canon EOS 60D Digital SLR Tripod Kit on sale for $43.90,,22-October-2010,,09-October-2014,,ButterflyPhoto,,,"Canon EOS 60D Digital SLR Tripod Kit Includes 52"" Pro Tripod + Flexible Gripster + 67"" Monopod + RS80 Remote Switch",,,,,,,,,,
Tripod Kit For The Canon SX30IS SX30 IS on sale for $15.90,,23-November-2010,0628586194281,09-October-2014,,ButterflyPhoto,,,Tripod Kit For The Canon SX30IS SX30 IS Digital Camera Includes 52 Inch Pro Tripod + Clear LCD Screen Protectors,,$24.95,628586194281,,,,,,,
4GB All In Bundle For Canon PowerShot on sale for $37.90,,26-September-2010,0628586165458,09-October-2014,,ButterflyPhoto,,,4GB All In Bundle For Canon PowerShot SX130 IS Digital Camera Includes 4GB High Speed SD Memory card + Gripster + USB 2.0 High Speed Card Reader + 4AA (2900 mAH) Rechargable NIMH Baterries And Charger + Deluxe Carrying Case + Clear LCD Screen Protectors,,,628586165458,,,,,,,
Nikon Coolpix P520 18.1MP CMOS Digital on sale for $229.95,Point-and-Shoot,29-July-2013,0018208263974,09-October-2014,,Nikon,,,Nikon Coolpix P520 18.1MP CMOS Digital Camera with 42x Zoom and 1080p Video (Black),,$449.95,018208263974,,,,,,,
Nikon Coolpix S800c 16MP Digital Camera on sale for $154.98,Point-and-Shoot,29-July-2013,0018208263561,09-October-2014,,Nikon,,,Nikon Coolpix S800c 16MP Digital Camera with 10x Zoom and Android OS (White),,$349.00,018208263561,,,,Made in USA,,,
Sony DSC-RX1/B Cyber-shot Full-frame on sale for $2482.49,,9-November-2013,0616932797828,09-October-2014,,ebasket,,,Sony DSC-RX1/B Cyber-shot Full-frame Digital Camera + External Rapid Charger + 2x Telephoto Lens + Wide Angle Lens + 32GB SDHC Class 10 Memory Card + 52mm 3 Piece Filter Kit + Full Size Tripod + Carrying Case + NP-BX1 battery + 49mm-52mm Step-Up Ring (Len,DSC-RX1/B K3,,616932797828,,,,,,,
Nikon Coolpix L810 16.1MP Digital Camera on sale for $149.99,Point-and-Shoot,29-March-2012,0018208262946,09-October-2014,,Nikon,,,Nikon Coolpix L810 16.1MP Digital Camera with 26x Zoom (Black),,$279.95,018208262946,,,,,,,
Panasonic DMC-LX3 on sale for $219.00,,15-October-2008,0037988988136,09-October-2014,3 inches,Panasonic,10.1 MP,2.5 x,"Panasonic DMC-LX3 (10.1MP, 2.5x Wide Angle MEGA Optical IS Zoom) (Black)",DMC-LX3 Black,$583.00,037988988136,2.19 x 1.03 x 4.16 in.,00037988988136,2 lbs.,,10.0 - 10.9 Megapixels,Yes,"Wide Angle, Image Stabilization"
Pentax K-01 16MP APS-C CMOS Compact on sale for $376.89,,9-December-2012,0662425827695,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera [Body] (Black) + Extended Life Battery + 16GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Accessory Saver Bu,K-01 BLACK,$749.99,662425827695,,,,,,,
Panasonic Lumix DMC-GH2 16MP Live MOS on sale for $1499.00,,7-December-2011,0885170024274,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-GH2 16MP Live MOS Interchangeable Lens Camera with 14-42mm Hybrid Lens,DMC-GH2K-K Blac,$999.95,885170024274,,,,Made in USA,,,
Nikon D60 10.2MP Digital SLR Camera on sale for $1399.00,SLR,11-August-2008,0018208096091,09-October-2014,,Nikon,,,Nikon D60 10.2MP Digital SLR Camera with 18-55mm f/3.5-5.6G AF-S DX VR and 55-200mm f/4-5.6G ED IF AF-S DX VR Zoom-Nikkor Lens with 2 Nikon School DVDs,,$956.00,018208096091,,00018208096091,8 lbs.,,10.0 - 10.9 Megapixels,,
Pentax Optio A10 8MP Digital Camera on sale for $305.23,,5-January-2006,0027075116917,09-October-2014,,Pentax,,,Pentax Optio A10 8MP Digital Camera with 3x Optical Zoom and Shake Reduction,18903,$529.95,027075116917,7.4 x 6.8 x 3.5 in.,00027075116917,2 lbs.,,8.0 - 8.9 Megapixels,,
Panasonic Lumix DMC-FH25 16.1MP Digital on sale for $219.00,Point-and-Shoot,21-October-2011,0885170030848,10-October-2014,2.7 inches,Panasonic,16.1 MP,8 x,Panasonic Lumix DMC-FH25 16.1MP Digital Camera with 8x IS Zoom (Black),DMC-FH25K,$179.99,885170030848,,,,,,Yes,
Canon EOS 5D Mark III 22.3 MP Full Frame on sale for $3509.95,,3-October-2012,0662425827428,09-October-2014,,BVI,,,Canon EOS 5D Mark III 22.3 MP Full Frame CMOS Digital SLR Camera + Extended Life Battery + 16GB CF Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Professional Full Size Tripod,Canon 5D Mark I,$3899.99,662425827428,,,,,,,
"Fujifilm X-E1 Digital Camera Body, Silver",,28-March-2014,0617529225847,09-October-2014,,Fuji Photo Film,,,"Fujifilm X-E1 Digital Camera Body, Silver - Bundle - with Fujifilm XF 18mm F/2.0 Lens",XE1 18MM KIT,$1598.00,617529225847,,,,,,,
Sony Alpha NEX-7 Interchangeable Lens on sale for $993.29,,10-April-2012,0662425821433,09-October-2014,,Sony,,,Sony Alpha NEX-7 Interchangeable Lens Digital Camera w/18-55mm Lens (Black) + 16GB SDHC Memory + Extended Life Battery + UV Filter + USB Card Reader + Memory Card Wallet + Shock Proof Deluxe Case + Accessory Saver Bundle!,,$1999.00,662425821433,,,,,,,
Canon EOS 5D Mark III 22.3MP Digital SLR on sale for $3199.00,SLR,29-March-2012,0013803142457,11-October-2014,,Canon,,,Canon EOS 5D Mark III 22.3MP Digital SLR Camera with EF 24-105mm f/4 L IS USM Lens,5260B009,$4299.00,013803142457,,,,Made in USA,,,
Canon Powershot S2 IS 5MP Digital Camera on sale for $276.48,,6-June-2005,0013803051629,09-October-2014,,Canon,,,Canon Powershot S2 IS 5MP Digital Camera with 12x Optical Image Stabilized Zoom,B0009GZSSO,$599.99,013803051629,4.4 x 3.1 x 3 in.,00013803051629,1 lbs.,,5.0 - 5.9 Megapixels,,Image Stabilization
Panasonic Lumix DMC-GF2 Micro Four-Thirds on sale for $348.94,,14-November-2011,0885170033603,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-GF2 Micro Four-Thirds Interchangeable Lens 12.1mp Digital Camera with 14-42mm Lens (Black),DMC-GF2KK,$599.99,885170033603,,,,,,,
Nikon D40x 10.2MP Digital SLR Camera on sale for $850.99,SLR,1-October-2007,0018208094219,09-October-2014,,Nikon,,,Nikon D40x 10.2MP Digital SLR Camera with 18-55mm f/3.5-5.6G ED II AF-S DX Zoom-Nikkor Lens,,$778.99,018208094219,5 x 3 x 2 in.,00018208094219,4 lbs.,,10.0 - 10.9 Megapixels,,
Sony Alpha NEX-7 Interchangeable Lens on sale for $1199.00,,11-December-2013,0662425833573,09-October-2014,,Sony,,,Sony Alpha NEX-7 Interchangeable Lens Digital Camera (Body Only) Package 2,,,662425833573,,,,,,,
Canon PowerShot SX130 IS Digital Camera on sale for $23.90,,26-September-2010,0628586165434,09-October-2014,,ButterflyPhoto,,,Canon PowerShot SX130 IS Digital Camera 8GB Bundle Includes 8GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Deluxe Carrying Case + Mini Tripod + Clear LCD Screen Protectors + More,,,628586165434,,,,,,,
Panasonic Lumix TS4 12.1 TOUGH Waterproof on sale for $386.39,,12-June-2012,0662425821570,09-October-2014,,Panasonic,,,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Blue) BigVALUEInc Accessory Saver 16GB Bundle,DMC-TS4A B1,$599.95,662425821570,,,,,,,
