<page title>,an,battery model,cant find a,card format,colour,connectivity,exposure control,exposure modes,face detection technology,file formats,flash metering,flash type,focal length tele,focal length wide,image stabilisation,iso max,iso min,max aperture tele,max aperture wide,megapixels,minimum focus distance,movie mode,needs additional,optical zoom x,pictbridge,please add,requires,resolution,screen resolution pixels,screen size inches,sensor size,sensor type,shutter speed max,shutter speed min,size,the description needs,the information is,viewfinder type,weight g,hd movie mode,manufacturers link
Nikon Coolpix S6800 Digital Camera - Black (VNA520E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Black,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,300.0,25.0,Yes,6400,100,6.3,3.3,16.0,2 cm,1080p,specifications,23.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/4000 sec,4 sec,97 x 58 x 23 mm,further detail,incorrect,3 Inch LCD,145.0,1080p,Click here
Nikon Coolpix S3600 Digital Camera - Pink (VNA554E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Pink,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,3200,80,10.5,3.7,20.1,2 cm,720p HD,specifications,8.0,,more image angles,compatibility information,5152 x 3864,230000,2.7,1/1.23 Inch,CCD,1/1500 sec,4 sec,97 x 58 x 20 mm,further detail,incorrect,,125.0,720p,Click here
Nikon Coolpix S6800 Digital Camera - Pink (VNA523E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Pink,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,300.0,25.0,Yes,6400,100,6.3,3.3,16.0,2 cm,1080p,specifications,23.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/4000 sec,4 sec,97 x 58 x 23 mm,further detail,incorrect,3 Inch LCD,145.0,1080p,Click here
Nikon Coolpix P7800 Digital Camera - Black (VNA670E1) - Wex Photographic,image is incorrect,EN-EL14,related accessory,"Internal memory (approx. 86 MB), SD, SDHC, SDXC",Black,"Hi-Speed USB, Video output, HDMI output",,31 scene modes,,"JPEG, RAW, WAV, MOV",TTL auto flash with monitor preflashes,,200.0,28.0,,6400,80,4.0,2.0,12.2,,1080p,specifications,7.0,,more image angles,compatibility information,4000 x 3000,921000,3.0,1/1.7 inch,CMOS,1/4000 sec,60 sec,,further detail,incorrect,,399.0,,Click here
Olympus Stylus Tough TG-3 Digital Camera - Black (V104140BE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC, 36MB Internal Memory",Black,WiFi,,22 Scene Modes,Yes,,,Built in,100.0,25.0,Yes,6400,0,4.9,2.0,16.0,3cm,1080p,specifications,4.0,,more image angles,compatibility information,,460000,3.0,,BSI CMOS,,,111 x 66 x 31 mm,further detail,incorrect,3 Inch LCD,247.0,1080p,Click here
Sigma DP1 Merrill Black Digital Camera (C77900) - Wex Photographic,image is incorrect,BP-41,related accessory,"SD Card/Compatible with SDHC and SDXC, Multi Media Car",Black,USB 2.0,,"(P)Program AE (Program Shift is possible), (S)Shutter Speed Priority AE, (A)Aperture Priority AE, (M)Manual",,"JPEG, RAW",,,19.0,19.0,,0,0,2.8,2.8,46.0,20 cm,VGA,specifications,0.0,,more image angles,compatibility information,4704 x 3136,920000,3.0,23.5 x 15.7 mm,CMOS,,,122 x 68 x 64 mm,further detail,incorrect,TFT LCD,340.0,,Click here
Ricoh WG-4 GPS Digital Camera - Blue (08556) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",Blue,"USB2.0(Hi-Speed): USB/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, MPEG-4","Flash-on and Flash-off modes. ,Red-eye, compensation function employs a pre-discharge",Built-in,100.0,25.0,Yes,6400,125,4.9,2.0,16.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.3 inch,CMOS,1/4000 sec,4 sec,125.0 x 64.5 x 32.0 mm,further detail,incorrect,TFT colour LCD,209.0,1080p,
Nikon Coolpix S5300 Digital Camera - Black (VNA540E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Black,"Hi-Speed USB (USB2.0), HDMI",Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,6400,125,6.6,3.7,16.0,2 cm,1080p Full HD,specifications,8.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/1500 sec,4 sec,97 x 58 x 21 mm,further detail,incorrect,3 Inch LCD,138.0,1080p,Click here
Nikon Coolpix S01 Pink Digital Camera  (VNA214E1) - Wex Photographic,image is incorrect,Built-in rechargeable Li-ion battery,related accessory,Internal memory (approx. 7.3 GB),Pink,Hi-Speed USB,,,,"JPEG, MOV",TTL auto with monitor preflashes,Built-in,87.0,29.0,,1600,80,5.9,3.3,10.1,5 cm,720p,specifications,3.0,,more image angles,compatibility information,3648 x 2736,230000,2.5,1/2.9 inch,CCD,1/2000 sec,1 sec,77 x 51 x 17 mm,further detail,incorrect,Touch screen TFT LCD,96.0,,Click here
Olympus Stylus Tough TG-3 Digital Camera - Red (V104140RE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC, 36MB Internal Memory",Red,WiFi,,22 Scene Modes,Yes,,,Built in,100.0,25.0,Yes,6400,0,4.9,2.0,16.0,3cm,1080p,specifications,4.0,,more image angles,compatibility information,,460000,3.0,,BSI CMOS,,,111 x 66 x 31 mm,further detail,incorrect,3 Inch LCD,247.0,1080p,Click here
Fuji X100T Digital Camera - Black (P10NC13250A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Black,USB 2.0,+/- 3.0EV 1/3 Step,,Yes,"JPEG, RAW, RAW+JPEG",,Built-in,23.0,23.0,Yes,25600,200,2.0,2.0,16.3,10cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4896 x 3264,1040000,3.0,23.6 x 15.6 mm,CMOS,1/4000 sec,30 sec,126.5 x 74.4 x 52.4 mm,further detail,incorrect,Hybrid viewfinder,400.0,,
Sigma DP2 Merrill Black Digital Camera (C78900) - Wex Photographic,image is incorrect,BP-41,related accessory,"SD Card/Compatible with SDHC and SDXC, Multi Media Car",Black,USB 2.0,,"(P)Program AE (Program Shift is possible), (S)Shutter Speed Priority AE, (A)Aperture Priority AE, (M)Manual",,"JPEG, RAW",,,30.0,30.0,,0,0,2.8,2.8,15.4,28 cm,VGA,specifications,0.0,,more image angles,compatibility information,4800 x 3200,920000,3.0,23.5 x 15.7 mm,CMOS,,,122 x 67 x 59 mm,further detail,incorrect,,330.0,,Click here
Ricoh HZ15 Digital Camera - Black (12742) - Wex Photographic,image is incorrect,LB-050,related accessory,"Internal memory: 8MB, SD/ SDHC",Black,"AV terminal, NTSC/PAL, USB 2.0",,,,"JPEG, MOB",,Built- In,360.0,24.0,,1600,80,5.9,3.3,16.0,0.03 m,720p,specifications,15.0,,more image angles,compatibility information,4608Ã3456,230000,3.0,1/2.3 inch,CCD,1/2000 sec,4 sec,108.5 x 60 x 31 mm,further detail,incorrect,TFT color LCD,203.0,,
Fuji FinePix S9200 Digital Camera - Red (P10NC12710A) - Wex Photographic,image is incorrect,4 x AA Alkaline Batteries or 4 x AA Ni-MH Batteries EN-MH2 or 4 x AA Lithium Batteries,related accessory,"SD, SDHC, SDXC",Red,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Aperture Priority AE, Manual Exposure, 14 Scene Modes",Yes,"JPEG, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built-in (pop-up),1200.0,24.0,Yes,12800,100,6.5,2.9,16.2,7 cm,1080p,specifications,50.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/1700 sec,8 sec,122 Ã 86 Ã 116 mm,further detail,incorrect,0.2 Inch Electronic Viewfinder,670.0,1080p,
Fuji FinePix S8600 Digital Camera - White (P10NC12700A) - Wex Photographic,image is incorrect,3 x AA type alkaline batteries or 3 x AA type Ni-MH rechargeable batteries or 3 x AA type lithium batteries,related accessory,"SD, SDHC, SDXC",White,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Manual exposure, 13 Scene Modes",Yes,"JPEG, AVI","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built-in (pop-up),900.0,25.0,Yes,6400,100,6.9,2.9,16.0,7 cm,AVI,specifications,36.0,Yes,more image angles,compatibility information,4608 Ã 3456,460000,3.0,,CCD,1/2000 sec,,121 x 81 x 65 mm,further detail,incorrect,,450.0,,
Nikon Coolpix L330 Digital Camera (VNA690E1) - Wex Photographic,image is incorrect,4 x AA Alkaline Batteries or 4 x AA Ni-MH Batteries EN-MH2 or 4 x AA Lithium Batteries,related accessory,SD/SDHC/SDXC,Black,"Hi-Speed USB (USB2.0), A/V",Â±2.0EV 1/3EV step,19 Scene Modes,Yes,460000,,Pop-up,585.0,22.5,Yes,1600,80,9.9,3.1,20.2,1 cm,720p,specifications,26.0,,more image angles,compatibility information,5152 x 3864,0,3.0,,CCD,1/1500 sec,4 sec,111 x 76 x 83 mm,further detail,incorrect,3 Inch TFT,430.0,,Click here
Nikon Coolpix S3600 Digital Camera - Pink Line-Art (VNA555E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Pink,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,3200,80,10.5,3.7,20.1,2 cm,720p HD,specifications,8.0,,more image angles,compatibility information,5152 x 3864,230000,2.7,1/1.23 Inch,CCD,1/1500 sec,4 sec,97 x 58 x 20 mm,further detail,incorrect,,125.0,720p,Click here
Fuji FinePix XQ1 Digital Camera - Silver (P10NC11770A) - Wex Photographic,image is incorrect,NP-48,related accessory,"66MB Internal, SD, SDHC, SDXC",Silver,"USB 2.0, HDMI Micro connector",,14 Scene Modes,Yes,"JPEG, RAW, MOV, H.264","Auto, Forced Flash, Suppressed Flash, Slow Synchro.",Pop-up flash,100.0,25.0,Yes,12800,100,4.9,1.8,12.0,3 cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4000 x 3000,920000,3.0,2/3 inch,CMOS,1/4000 sec,30 sec,100 x 58.5 x 33.3 mm,further detail,incorrect,TFT colour LCD,206.0,,Click here
Nikon Coolpix S9700 Digital Camera - White (VNA652E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC, Internal Memory Approx 3.6GB",White,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,,750.0,25.0,Yes,1600,125,6.4,3.7,16.0,1cm,1080p Full HD,specifications,30.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/2000 sec,8 sec,109.6 x 63.5 x 34.5 mm,further detail,incorrect,3 Inch OLED Monitor,228.0,1080p,Click here
Sigma DP3 Merrill Black Digital Camera - Wex Photographic,image is incorrect,Li-ion Battery BP-41,related accessory,SD / SDHC / SDXC / Multi Media Card,Black,"USB 2.0, Video Out (NTSC/PAL),Audio Out (Monaural)",? 2.0EV,"(P)Program AE (Program Shift is possible), (S)Shutter Speed Priority AE, (A)Aperture Priority AE, (M)Manual",,"RAW, JPG, RAW + JPG, AVI",,Hot Shoe,50.0,50.0,,6400,100,2.8,2.8,46.0,23 cm,VGA,specifications,0.0,,more image angles,compatibility information,4704 x 3136,920000,3.0,23.5 x 15.7 mm,CMOS,1/2000 sec,30 sec,122 x 67 x 81 mm,further detail,incorrect,TFT LCD,400.0,,Click here
Nikon Coolpix S5300 Digital Camera - Plum (VNA542E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Purple,"Hi-Speed USB (USB2.0), HDMI",Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",Built in,,200.0,25.0,Yes,6400,125,6.6,3.7,16.0,2 cm,1080p Full HD,specifications,8.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/1500 sec,4 sec,97 x 58 x 21 mm,further detail,incorrect,3 Inch LCD,138.0,1080p,Click here
Canon PowerShot G1 X Mark II Digital Camera Premium Kit (9167B022AA) - Wex Photographic,image is incorrect,NB-12L,related accessory,"SD, SDHC and SDXC",Black,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi",,,,"RAW, JPEG, MP4",,,120.0,24.0,,12800,100,3.9,2.0,12.8,,1080p,specifications,5.0,,more image angles,compatibility information,4352 x 2904,1040000,3.0,18.7 x 14.0 mm,CMOS,1/4000 sec,60 sec,116.3 x 74.0 x 66.2 mm,further detail,incorrect,sRGB PureColor II Touchscreen LCD or Included Electronic Viewfinder EVF-DC1,558.0,,
Polaroid Z2300 White Instant Digital Camera (POLZ2300) - Wex Photographic,image is incorrect,,related accessory,SDHC (up to 32GB),White,USB 2.0,,,,,,,0.0,0.0,,0,0,0.0,0.0,10.0,,,specifications,0.0,,more image angles,compatibility information,,0,3.0,,,,,,further detail,incorrect,LCD,,,
Canon PowerShot SX60 HS Digital Camera (9543B009AA) - Wex Photographic,image is incorrect,NB-10L,related accessory,"SD, SDHC, SDXC",Black,"USB, Wi-Fi, NFC",,,Yes,"JPEG, JPEG + RAW",,Built-in,1365.0,21.0,Yes,6400,100,6.5,3.4,16.1,,1080p,specifications,65.0,Yes,more image angles,compatibility information,4608 x 2592,922000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,127.6 x 92.6 x 114.3 mm,further detail,incorrect,Electronic Viewfinder,607.0,,
Nikon Coolpix S6800 Digital Camera - Red (VNA521E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Red,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,300.0,25.0,Yes,6400,100,6.3,3.3,16.0,2 cm,1080p,specifications,23.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/4000 sec,4 sec,97 x 58 x 23 mm,further detail,incorrect,3 Inch LCD,145.0,1080p,Click here
Olympus Stylus SH-60 Digital Camera- White (V107070WE000) - Wex Photographic,image is incorrect,LI-90B,related accessory,"SD / SDHC / SDXC cards (UHS-I compatible) Eye-Fi card, FlashAir",White,"DC input, AV ouput, USB 2.0 Hi-Speed",+/- 2.0 EV (1/3 EV steps),17 Scene Modes,Yes,"DCF, EXIF 2.3, PIM III, DPOF, QuickTime Motion JPEGÂ®","Auto, Red-eye reduction, Fill-in, Off",Internal Flash,600.0,25.0,Yes,6400,125,6.9,3.0,16.0,4.5mm,1080i,specifications,24.0,Yes,more image angles,compatibility information,460000,460000,3.0,1/ 2.3 inch,CMOS,1/2000,1/4,112.1 x 63.5 x 42.4,further detail,incorrect,LCD Touch Panel,269.0,1080p,Click here
Olympus Stylus SH-1 Digital Camera - White (V107080WE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC, 37MB Internal Memory",White,"WiFi, USB (2.0), AV Output, HDMI",,16 Scene Modes,Yes,,,Built-in,600.0,25.0,Yes,6400,0,8.7,3.0,16.0,3cm,1080p,specifications,24.0,,more image angles,compatibility information,,460000,3.0,,BSI CMOS,,1/4 Sec,109 x 63 x 42 mm,further detail,incorrect,3 Inch LCD,271.0,1080p,Click here
Panasonic LUMIX DMC-FZ1000 Digital Camera (DMC-FZ1000EB) - Wex Photographic,image is incorrect,DMW-BLC12,related accessory,"SD, SDHC, SDXC",Black,"WiFi, NFC",+/- 5.0EV 1/3 Step,,Yes,"MPEG-4, AVCHD",,Built-in (pop-up),400.0,25.0,Yes,12800,125,4.0,2.8,20.1,3cm,4K,specifications,16.0,Yes,more image angles,compatibility information,5472 x 3648,921000,3.0,1 inch,CMOS,1/16000 sec,60 sec,137 x 99 x 131 mm,further detail,incorrect,OLED Electronic Viewfinder,831.0,4K,Click here
Panasonic LUMIX DMC-TZ60 Digital Camera (DMC-TZ60EB) - Wex Photographic,image is incorrect,DMW-BCM13,related accessory,"SD, SDHC, SDXC",Black,"microHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-2 EV",33 Scene Modes,Yes,"JPEG, RAW, AVCHD, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 6.4m (Wide / ISO Auto), 2.0 - 3.3m (Tele / ISO Auto)",Built-in,720.0,24.0,Yes,6400,100,6.4,3.3,18.1,3cm,1080p,specifications,30.0,Yes,more image angles,compatibility information,4896 x 3672,920000,3.0,1/2.3 inch,MOS,1/2000 sec,30 sec,110.6 x 34.4 x 64.3 mm,further detail,incorrect,LCD,214.0,,Click here
Sony Cyber-Shot RX100 III Digital Camera (DSCRX100M3.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC",Black,"Micro-USB, micro-HDMI (Type D)",+/- 3.0EV 1/3 Step,,,"JPEG, RAW, XAVC S, AVCHD ver. 2.0, MP4",,Pop up,70.0,24.0,Yes,12800,125,2.8,1.8,20.1,,1080p Full HD,specifications,2.9,,more image angles,compatibility information,5472 x 3648,1440000,3.0,1.0 Inch,Exmor R CMOS Sensor,1/2000 sec,30 sec,102 x 58 x41 mm,further detail,incorrect,Pop-up Electronic Viewfinder,290.0,1080p,Click here
Sony Cyber-shot HX50 Digital Camera - Black (DSCHX50CASDN.YG) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD, SDHC, SDXC",Black,"USB 2.0, HDMI","? 2.0EV, 1/3EV step",15 Scene Modes,Yes,"JPEG, MPEG-4, AVCHD","Auto, On, Off, Slow Sync, Rear Sync, Advanced Flash",Built-in (pop-up),720.0,24.0,Yes,12800,100,6.3,3.5,20.4,5 cm,1080i,specifications,30.0,Yes,more image angles,compatibility information,5184 x 2920,921000,3.0,1/2.3 inch,CMOS,1/4000 sec,30 sec,108 x 64 x 38 mm,further detail,incorrect,LCD,272.0,,Click here
Samsung WB350F Digital Smart Camera - White (EC-WB350FBPWGB) - Wex Photographic,image is incorrect,SLB-10A Lithium-Ion,related accessory,"microSD, microSDHC, microSDXC",White,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,20 Scene Modes,Yes,"JPEG, MP4",,Built-in,483.0,23.0,Yes,3200,80,5.9,2.8,16.3,10 cm,1080p,specifications,21.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/2000 sec,1/8 sec,114 x 65 x 25 mm,further detail,incorrect,3 Inch LCD,276.0,1080p,
Sony Cyber-Shot QX10 Lens Style Digital Camera - Black (DSCQX10B.CE7) - Wex Photographic,image is incorrect,NP-BN,related accessory,"Memory Stick Micro, Memory Stick Micro (mark 2), microSD Memory Card, microSDHC Memory Card, microSDXC Memory Card",Black,"Multi/Micro USB Terminal, Hi-Speed USB",,,Yes,"JPEG, MP4",,,250.0,25.0,,12800,100,5.9,3.3,18.0,0.5,1080p,specifications,10.0,,more image angles,compatibility information,,0,0.0,1/2.3 inch,CMOS,1/1600 sec,4 sec,62.4 x 61.8 x 33.3 mm,further detail,incorrect,,105.0,,Click here
Samsung WB35F Digital Smart Camera - White (EC-WB35FZBPWGB) - Wex Photographic,image is incorrect,EA-SLB10A,related accessory,"microSD, microSDHC, microSDXC",White,"Hi-Speed USB (USB2.0), WiFi, NFC",Â±2.0EV 1/3EV step,20 Scene Modes,Yes,"JPEG, MP4",,Built in,288.0,24.0,Yes,3200,80,6.3,3.1,16.2,5 cm,720p,specifications,12.0,,more image angles,compatibility information,4608 x 3456,230000,2.7,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,101 x 61 x 28 mm,further detail,incorrect,,142.0,720p,
Canon IXUS 150 Digital Camera - Red (9148B007AA) - Wex Photographic,image is incorrect,NB-11L,related accessory,"SD, SDHC, SDXC",Red,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,13 Scene Modes,Yes,"JPEG, MOV",,Built-in,224.0,28.0,Yes,1600,100,6.9,3.2,16.0,1 cm,720p,specifications,8.0,Yes,more image angles,compatibility information,4608 x 3456,230000,2.7,,CCD,1/2000 sec,15 sec,95 x 54 x 22 mm,further detail,incorrect,2.7 Inch TFT,130.0,720p,Click here
Panasonic LUMIX DMC-FT5 Digital Camera - Orange (DMC-FT5EB-D ) - Wex Photographic,image is incorrect,Li-ion Battery Pack (3.6V / 1250mAh / 4.5Wh),related accessory,"Built-in Memory approx. 15MB, SD Memory Card, SDHC Memory Card, SDXC Memory Card",Orange,"microHDMI, AV Output (PAL/NTSC), USB(AV/USB Multi), Wi-fi","? 2.0EV, 1/3EV step","Portrait, Soft Skin, Scenery, Night Portrait, Night Scenery, Hand Held Night Shot, HDR, Food, Baby1, Baby2, Pet, Sunset, High Sensitivity, Starry Sky, Glass Through, 3D Photo, Expressive, Retro, High Key, Low Key, Sepia, Dynamic Monochrome, Impressive Art, High Dynamic, Cross Process, Toy Effect, Miniature Effect, Soft Focus, Star Filter, One Point colour",Yes,"Still Image: JPEG(DCF/Exif2.3), DPOF / 3D Image: MPO / Motion picture: AVCHD, MP4",,Built-in,128.0,28.0,Yes,6400,100,5.9,3.3,16.1,5cm,1080p,specifications,4.6,Yes,more image angles,compatibility information,3456 x 3456,460000,3.0,1/2.3 inch,High Sensitivity MOS,1/1300 sec,4 sec,109 x 67 x 29 mm,further detail,incorrect,TFT LCD,214.0,,Click here
Samsung WB2200F Digital Smart Camera (EC-WB2200BPBGB) - Wex Photographic,image is incorrect,ED-BP1130,related accessory,"SD, SDHC, SCXC",Black,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,19 Scene Modes,Yes,"JPEG, MP4",,Built-in (pop-up),1200.0,20.0,Yes,6400,100,5.9,2.8,16.0,10 cm,1080p,specifications,60.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,119 x 122 x 89 mm,further detail,incorrect,0.2 Inch Electronic Viewfinder,608.0,1080p,
Canon IXUS 265 HS Digital Camera - Silver (9348B007AA) - Wex Photographic,image is incorrect,NB-11LH,related accessory,"SD, SDHC, SDXC",Silver,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,300.0,25.0,Yes,3200,100,7.0,3.6,16.0,1cm,1080p,specifications,12.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,99.7 x 57.6 x 22.4 mm,further detail,incorrect,LCD,147.0,,Click here
Fuji FinePix X100S Digital Camera - Black (P10NC12740A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Black,"USB 2.0 Hi-Speed, HDMI mini connector",+/- 2.0EV,,Yes,"JPG, RAW, H.264","Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.",Built-in,23.0,23.0,Yes,25600,100,16.0,2.0,16.3,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4896 x 3264,460000,2.8,23.6 x 15.8 mm,CMOS,1/4000 sec,30 sec,127 x 74 x 54 mm,further detail,incorrect,Hybrid viewfinder,405.0,,
Fuji FinePix X100S Digital Camera - Silver (P10NC09330A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Silver,"USB 2.0 Hi-Speed, HDMI mini connector",+/- 2.0EV,,Yes,"JPG, RAW, H.264","Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.",Built-in,23.0,23.0,Yes,25600,200,16.0,2.0,16.3,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4896 x 3264,460000,2.8,23.6 x 15.8 mm,CMOS,1/4000 sec,30 sec,127 x 74 x 54 mm,further detail,incorrect,Hybrid viewfinder,405.0,,Click here
Nikon Coolpix S9700 Digital Camera - Black (VNA650E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC, Internal Memory Approx 3.6GB",Black,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,,750.0,25.0,Yes,1600,125,6.4,3.7,16.0,1cm,1080p Full HD,specifications,30.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/2000 sec,8 sec,109.6 x 63.5 x 34.5 mm,further detail,incorrect,3 Inch OLED Monitor,228.0,1080p,Click here
Panasonic LUMIX DMC-FZ72 Digital Camera - Black (DMC-FZ72EB-K ) - Wex Photographic,image is incorrect,,related accessory,"Internal Memeory: 200MB, SD, SDHC, SDXC",Black,"miniHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)",,,,"JPEG, RAW, MPO, AVCHD, MP4",,Built-in,1200.0,20.0,,6400,100,5.9,2.8,16.1,1 cm,1080i,specifications,60.0,,more image angles,compatibility information,4608x3456,460000,3.0,1/2.3 inch,MOS,1/2000 sec,60 sec,130.2 x 97 x 118.2 mm,further detail,incorrect,TFT Screen LCD Display,606.0,,Click here
Samsung Galaxy Camera 2 Digital Camera - Black (EK-GC200ZKABTU) - Wex Photographic,image is incorrect,Built-in 2000 mAh,related accessory,,Black,"USB 2.0, HDMI, Wi-Fi","+/- 2.0EV, 1/3EV step",28 Scene Modes,Yes,"MPEG-4, H.264","Auto, auto w/redeye reduction, fill-in, slow sync, flash off, redeye fix",Built-in,483.0,23.0,Yes,3200,100,5.9,2.8,16.3,10cm,1080p HD,specifications,21.0,Yes,more image angles,compatibility information,4608 x 3456,1036800,4.8,1/2.3 inch,BSI CMOS,16 sec,1/2000 sec,132.5 x 71.2 x 19.3 mm,further detail,incorrect,HD Super Clear Touch LCD,283.0,,
Sony Cyber-shot RX1 Black Digital Camera  (DSCRX1) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO Duo (Hi-Speed), Memory Stick PRO-HG Duo, Memory Stick Micro*5, Memory Stick Micro (Mark2)*5, SD Memory Card, SDHC Memory Card, SDXC Memory Card, microSD Memory Card*5, microSDHC Memory Card*5",Black,"Micro USB, USB 2.0 Hi-Speed, Micro HDMI, Microphone jack, Multi Interface Shoe","? 3.0EV, 1/3EV step",7 Scene Modes,Yes,"JPEG, RAW, AVCHD Ver.2.0, MP4",Auto / Fill-flash / Slow Synchro / Rear Sync / Flash Off / Wireless,Built-in,35.0,35.0,Yes,102400,100,2.0,2.0,24.3,14 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,6000 x 4000,1229000,3.0,35.8 x 23.9 mm,CMOS,1/2000 sec,30 sec,113 x 65 x 70 mm,further detail,incorrect,TFT LCD,482.0,,Click here
