<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
"FUJI FINEPIX JV200 BLACK 14MP 5X 3"" 977115",N/A,None,14MP,"3:2, 4:3, 16:9",NP-45A,Yes,None,Up to 1.2 fps for up to 3 frames,Small & Easy,.,Black,USB 2.0,.,6.7x,LCD Rear Screen,14.0MP,"Modes: Program, Compensation; -2 EV to +2 EV (in 0.33 EV Steps)",None,JPEG,"Auto, Flash On w/ Red-eye Reduction, Forced On, Off, Red-eye Reduction, Slow Sync, Slow Sync./Red-eye Reduction","Telephoto: 2.62' (0.8 m) - Infinity
Wide Macro: 1.97"" (5 cm) - 2.62' (80 cm)
Tele Macro: 1.64' (50 cm) - 3.28' (100 cm)",Yes,100-3200,"EFL: 6.5-19.5 mm (35 mm equivalent: 36-108 mm)
Aperture: f/3.1 (W) - 5.6 (T)",SD/SDHC,N/A,"0 to 40C (32 to 104F)
Humidity: 10-90%",3x,N/A,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",8-1/1400 sec,LCD Display,1 year warranty,"Auto, Fluorescent, Fluorescent (Day White), Fluorescent (Natural White), Incandescent, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEICA C 12.1MP 7X 3"" LIGHT GOLD DIGITAL CAMERA 18485",ACA-DC11,None,12MP,3:2,BP-DC14,Yes,87MB,NA,Advanced,.,Light Gold,,.,4x,LCD,12.1MP,"Program, Aperture priority, Shutter speed priority, Manual setting",NA,Still: RAW/JPEG; Video: AVCHD with Dolby Digital/MP4 with AAC,"Auto , Auto /Red eye reduction, Slow sync./Red eye reduction, ON, OFF",P/A/S/M: 50 cm (20 in.) / 80 cm (31.5 in.) to infinity; Macro/Video: 3 cm (1.2 in.) / 80 cm (31.5 in.) to infinity,Optical,NA,NA,SD/SDHC/SDXC,"Multiple, Center-weighted, Spot",0-40C / 32 -104F,NA,NA,3.0 in.,no,MOS Sensor,"250 s to 1/4000 s; Starry Sky Mode: 15 s, 30 s, 60 s",LCD,,NA,,,,,,NA,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT G1X MKII 12.8MP 5X 3"" 9167B001",ACK-DC100,None,13MP,"1:1, 3:2, 4:3, 4:5, 16:9",NB-12L,Yes,No,Up to 5.2 shots/sec.,Advanced,.,Black,"AV Output, Audio Out, HDMI micro connector",.,4x,"Tilt, Touch Panel LCD",12.8MP,AE Lock,No,"JPEG, RAW","Auto, On, Slow Synchro, Off","Normal/Auto: 2.0 in. (5 cm) - infinity (W), 1.3 ft. (40 cm) - infinity (T); Macro/Underwater Macro: 2.0 in. - 1.6 ft. (5-50 cm) (W); Quick: 4.9-66.0 ft. (1.5-20 m) (W, T)",Yes,100-12800,12.5mm (W) - 62.5mm (T) (35mm film equivalent: 24-120mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),5x,via Smartphone/Tablet with CameraWindow app,"3.0""","2 Sec, 10 Sec, Custom","1.5"" CMOS",60sec-1/4000 sec,"LCD Display, Optional Electronic Viewfinder",,"Auto, Daylight, Shade, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Underwater, Custom 1, Custom 2, Multi-area White Balance",,,,,,No,No,No,,,,,,,,,516g (18.2 oz.),116.3 x 74.0 x 66.2mm (4.58 x 2.91 x 2.61 in.),,,,,,,,,,,,,,,,,,
"PANASONIC DMCXS1W WHITE 16.1MP 5X 2.7"" DMCXS1W",110-240V AC,8x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,90MB,"Up to 1 fps at 16.1 MP
Up to 10 fps at 3 MP",Small & Easy,.,White,"AV Output, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 1.97"" (5 cm) - Infinity
Telephoto: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Lumix DC Vario, 6 elements in 5 groups
3 Aspheric
EFL: 4.3-21.5 mm (35 mm equivalent: 24-120 mm)
Aperture: f/2.8 (W) - 6.9 (T) to f/22",Micro SD/SDHC,Multi,N/A,5x,N/A,"2.7""","2 Sec, 10 Sec","1/2.33"" CCD",8-1/1600 sec,LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Incandescent, Preset Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L30 RED 20.1MP 5X 3"" AA 32424",EH-65A (Sold Separately),None,20MP,NA,4 rechargeable EN-MH2 NiMH or 2 LR6/L40 (AA-size) alkaline or 2 FR6/L91 (AA-size) lithium,Yes,25MB,1.1 fps,Small & Easy,.,Red,"Hi-Speed USB, AV Output",.,4x,TFT Screen LCD Display,20.1MP,"Auto, Scene, Smart Portrait, Special Effects",None,"JPEG, AVI, WAV",TTL auto,W: 50cm to infinity; T: 80cm to infinity; Macro: 10cm to infinity,No,80-1600,4.6-23.0mm (35mm equivalent: 26-130mm),SD/SDHC/SDXC,"Matrix, Centre-weighted, Spot",0 to 40C (32F to 104F),5x,No,"3.0""",10 Sec,"1/2.3"" CCD",4 sec. to 1/2000 sec.,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual, White Balance Preset",,,,,,No,No,No,,,,,,,,,164g (5.8 oz.),95.4 x 60.3 x 29.0mm (3.8 x 2.4 x 1.2 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX AW120 BLUE 16MP 5X 3"" WATERPROOF 32359",EH-71P (Included); EH-62G (Sold Separately),None,16MP,NA,EN-EL12,Yes,329 MB,6.9 fps,Waterproof,.,Blue,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,OLED,16.0MP,Programmed auto,No,"JPEG, MOV",TTL Auto,"W: 50cm to infinity, T: 50cm to infinity, Macro mode: 1cm",Yes,125-6400,4.3-21.5mm (35mm equivalent: 24-120mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",-10 to 40C (14 to 104F),4x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",4 sec - 1/4000 sec,OLED,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",(0),(0),(0),(0),(1),No,Yes,Yes,,,,,,,,,213g (7.5 oz.),110.1 x 66.0 x 25.5mm (4.4 x 2.6 x 1.0 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT G16 12.1MP 5X WIDE ANGLE 3"" CMOS  HS 8406B005",CA-PS700,None,12MP,"16:9, 3:2, 4:3, 1:1, 4:5",NB-10L,Yes,N/A,Up to 12.2 fps for up to 6 frames; Up to 9.3 fps for 7 or more frames,Wi-Fi,.,Black,Mini-HDMI,.,4x,Real-image zoom viewfinder,12.1MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock, Compensation: Still Images: +3 stops in 1/3-stop increments",Hot Shoe,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal: 2.0 in. (5cm) - infinity (W), 1.3 ft. (40cm) - infinity (T); Auto/Manual: 0.4 in. (1cm) - infinity (W), 1.3 ft. (40cm) - infinity (T); Macro/Underwater Macro AF: 0.4 in. - 1.6 ft. (1-50cm) (W); Quick: 4.9 - 66 ft. (1.5 - 20m) (W,T)",Yes,80-12800,6.1 (W) - 30.5 (T) mm (35mm film equivalent: 28-140mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F); Humidity: 10-90%,5x,None,"3.0""","2 Sec., 10 Sec.","1/1.7"" CMOS",1-1/4000 sec.,LCD Display,1 year warranty,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Underwater, Custom 1, Custom 2�",(0),(0),(0),(0),(1),N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUJI FINEPIX X100S 16.3MP 23MM F2 BLACK 600013226,NA,NA,16MP,"1:1, 3:2, 16:9",NP-95,Yes,NA,Up to 6 fps for up to 31 frames,Advanced,.,Black,"HDMI C, USB 2.0",.,,LCD Screen,16.3MP,"Modes: Aperture Priority, Manual, Program, Shutter Priority
Compensation: -2 EV to +2 EV (in .3 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Normal: 1.64' (50 cm) - Infinity
Macro: 3.94"" (10 cm) - 6.56' (2 m)",NA,200-6400 (Custom Function: 100-25600),8 elements in 6 groups (1 Aspheric),SD/SDHC/SDXC,"Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",,NA,"2.8""","2 Sec, 10 Sec","23.6 x 15.8"" CMOS","Type: Mechanical
Speed: 30 - 1/4000 sec","Optical, Electronic, LCD Display",2 year warranty,"Auto, Custom, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent, Kelvin, Shade, Underwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S2800 RED 20.1MP 5X 3"" 32189",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,25.9MB,1.1 fps,Small & Easy,.,Red,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 80cm to infinity; Macro: 10cm to infinity,No,80-3200,4.6-23.0mm (35mm equivalent: 26-130mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),5x,No,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/2000 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,120g (4.23 oz.),93.8 x 58.4 x19.8mm (3.69 x 2.30 x 0.78 in.),,,,,,,,,,,,,,,,,,
"RICOH WG-4 GPS BLACK 16MP 4X WIDE ANGLE 3"" 08542",Optional AC adapter kit,NA,16MP,"1:1, 16:9",Rechargeable lithium-ion battery D-LI92,Yes,70MB,NA,Waterproof,.,Black,"USB2.0 (Hi-Speed): USB/AV terminal, HDMI terminal (Type D)",.,7.2x,LCD,16MP,NA,No,NA,Flash-on and Flash-off modes. Red-eye compensation function employs a pre-discharge,Standard: 0.4m - infinity / 1.31 ft. - infinity(entire zoom range); Macro:0.1 - 0.5m / 0.33 - 1.64ft. (entire zoom range); 1cm Macro: 0.01 - 0.3m / 0.03 - 0.98ft. (Mid-zoom to telephoto);,Yes,125 - 6400,"RICOH lens, 9 elements in 7 groups (4 aspherical elements)",SD/SDHC/SDXC,"Multi-segment, Center-weighted, Spot AE",NA,4x,Yes,"3.0""",Yes,"1/2.3"" CMOS","4 - 1/4,000 sec.",Display,,"Auto, Daylight, Shade,Tungsten light, Fluorescent light(D:Daylight Color, N:Daylight White, W:White Light), Manual",,,,,,Yes,Yes,Yes,,,,,,,,,216g (7.6 oz.),125 x 64.5 x 32mm (4.9 x 2.5 x 1.3 in.),,,,,,,,,,,,,,,,,,
"RICOH WG-4 GPS BLUE 16MP 4X WIDE ANGLE 3"" 08557",Optional AC adapter kit,NA,16MP,"1:1, 16:9",Rechargeable lithium-ion battery D-LI92,Yes,70MB,NA,Waterproof,.,Black,"USB2.0 (Hi-Speed): USB/AV terminal, HDMI terminal (Type D)",.,7.2x,LCD,16MP,NA,No,NA,Flash-on and Flash-off modes. Red-eye compensation function employs a pre-discharge,Standard: 0.4m - infinity / 1.31 ft. - infinity(entire zoom range); Macro:0.1 - 0.5m / 0.33 - 1.64ft. (entire zoom range); 1cm Macro: 0.01 - 0.3m / 0.03 - 0.98ft. (Mid-zoom to telephoto);,Yes,125 - 6400,"RICOH lens, 9 elements in 7 groups (4 aspherical elements)",SD/SDHC/SDXC,"Multi-segment, Center-weighted, Spot AE",NA,4x,Yes,"3.0""",Yes,"1/2.3"" CMOS","4 - 1/4,000 sec.",Display,,"Auto, Daylight, Shade,Tungsten light, Fluorescent light(D:Daylight Color, N:Daylight White, W:White Light), Manual",,,,,,Yes,Yes,Yes,,,,,,,,,216g (7.6 oz.),125 x 64.5 x 32mm (4.9 x 2.5 x 1.3 in.),,,,,,,,,,,,,,,,,,
"SONY DSC-RX10 20.2MP 24-200MM F2.8 3""LCD DSCRX10",AC-UB10,NA,20MP,3:2,NP-FW50,Yes,No,NA,Advanced,.,Black,"NFC; HDMI D micro, Tripod Mount, USB 2.0; Wi-Fi, Multi Interface Shoe, Microphone Input",.,66x,Tiltable Rear Screen LCD,20.2MP,"Program Auto (Program shift available), Aperture Priority, Shutter Speed Priority, Manual Exposure, MR (Memory Recall)1, MR2 [Movie] Movie Mode (Program Auto, Aperture Priority, Shutter Speed Priority, Manual Exposure) [Panorama] Scene Selection, AUTO (Intelligent Auto/Superior Auto)",Hot Shoe,"JPEG, RAW",Auto / Fill-flash / Slow Sync / Rear Sync / Off,NA,Yes,125 - 25600,"14 elements in 11 groups
7 Aspheric","Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO Duo (High Speed), Memory Stick PRO-HG Duo, Memory Stick XC-HG Duo, Memory Stick Micro, Memory Stick Micro (Mark2), microSD Memory Card, microSDHC Memory Card, microSDXC Memory Card, SD/SDHC/SDXC Memory Cards","Multi-segment, Center-weighted, Spot",-20 C to +60 degrees C / -4 F to +140 degrees F,8.3x,NFC (One-touch remote),"3.0""","2 Sec, 10 Sec",13.2 x 8.8mm CMOS,Bulb; 30-1/3200 sec,LCD Display,,"Auto / Daylight / Shade / Cloudy / Incandescent / Fluor (Warm White) / Fluor (Cool White) / Fluor (Day White) / Fluor (Daylight) / Flash / C. Temp., Filter / Custom",(0),(0),(0),(0),(1),NA,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT S200 10.1MP CCD 5X 3"" WIFI 8408B005",CB-2LY,None,10MP,"16:9, 3:2, 4:3, 1:1",NB-6LH,Yes,N/A,4.5 fps,Wi-Fi,.,Black,Hi-Speed USB,.,4x,N/A,10.1MP,Compensation: +-2 Stops in 1/3-stop increments,None,JPEG,"Auto, Flash On, Flash Off","3 cm (1.2 in.) - infinity (W), 30cm (12 in.) - infinity (T)",N/A,80-6400,5.2-26.0mm,SD/SDHC/SDXC,N/A,N/A; Humidity: 10-90%,5x,None,"3.0""","2 Sec., 10 Sec., Custom","1/1.7"" CCD",15-1/2000 sec.,LCD Display,1 year warranty,"Auto, Day Light, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L30 BLACK 20.1MP 5X 3"" AA 32423",EH-65A (Sold Separately),None,20MP,NA,4 rechargeable EN-MH2 NiMH or 2 LR6/L40 (AA-size) alkaline or 2 FR6/L91 (AA-size) lithium,Yes,25MB,1.1 fps,Small & Easy,.,Black,"Hi-Speed USB, AV Output",.,4x,TFT Screen LCD Display,20.1MP,"Auto, Scene, Smart Portrait, Special Effects",None,"JPEG, AVI, WAV",TTL auto,W: 50cm to infinity; T: 80cm to infinity; Macro: 10cm to infinity,No,80-1600,4.6-23.0mm (35mm equivalent: 26-130mm),SD/SDHC/SDXC,"Matrix, Centre-weighted, Spot",0 to 40C (32F to 104F),5x,No,"3.0""",10 Sec,"1/2.3"" CCD",4 sec. to 1/2000 sec.,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual, White Balance Preset",,,,,,No,No,No,,,,,,,,,164g (5.8 oz.),95.4 x 60.3 x 29.0mm (3.8 x 2.4 x 1.2 in.),,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 150IS BLACK 20MP 10X 2.7"" 9356B001",ACK-90,None,20MP,4:3,NB-11LH/NB-11L,Yes,No,0.8 shots/sec.; 2.2 shots/sec.,Zoom,.,Black,"AV Output, Audio Out",.,4x,TFT Colour LCD,20.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W, 3.3 ft. (1 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 3.3 ft. (1 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W)",Yes,100-1600,4.3 (W) - 43.0 (T) mm (35mm film equivalent: 24-240mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),10x,No,"2.7""","2 Sec, 10 Sec, Custom","1/2.3"" CCD",15 sec - 1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,125g (4.41 oz.),95.3 x 56.8 x 23.7mm (3.75 x 2.24 x 0.93 in.),,,,,,,,,,,,,,,,,,
SIGMA DP2 MERRILL 30MM F2.8 CAMERA DP2M,N/A,None,46MP,3:2,2 Rechargeable Lithium Ion Battery Packs,No,N/A,N/A,Advanced,.,Black,USB 2.0,.,None,LCD Rear Screen,46MP,"Modes: Aperture Priority, Manual, Program, Program Shift, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"JPEG, RAW",None,"Auto: 11.02"" (28 cm) - Infinity",None,N/A,"8 elements in 6 groups
EFL: 30 mm (35 mm equivalent: 45 mm)
Aperture: f/2.8",SD/SDHC,"Center-weighted, Evaluative, Spot",N/A,None,N/A,"3.0""","2 Sec, 10 Sec",23.5x15.7mm CMOS,N/A,LCD Display,10 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent, Incandescent, Overcast, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L610 BLACK 16MP 14X 3""LCD 32408",N/A,None,16MP,"4:3, 16:9",2 AA Batteries,Yes,28MB,Up to 1.9 fps at 16 MP for up to 4 frames,Small & Easy,.,Black,"AV Output, HDMI C, USB 2.0",.,2x,LCD Rear Screen,16.0MP,"Modes: Program, Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,"JPEG, MPO","Auto
Auto/Red-eye Reduction
Fill-in
Slow Sync","Wide: 1.67' (0.51 m) - Infinity
Telephoto: 3.33' (1.01 m) - Infinity
Macro: 0.4"" (1.02 cm) - Infinity",Yes,125-3200,"NIKKOR, 11 elements in 10 groups
EFL: 4.5-63 mm (35 mm equivalent: 25-350 mm)
Aperture: f/3.3 (W) - 5.9 (T)",SD/SDHC/SDXC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",14x,N/A,"3.0""",10 sec,"1/2.3"" CMOS","Type: Electronic & Mechanical
Speed: 4-1/1600 sec",LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",(1),(0),(0),(0),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGMA DP3 MERRILL W/50MM F2.8 46MP DP3M,SAC-5 (Optional),None,46MP,3:2,BP-41,No,N/A,Up to 4 fps at 46 MP for up to 7 frames,Advanced,.,Black,"AV Output, Audio Out, USB 2.0",.,None,LCD Rear Screen,46MP,"Modes: Aperture Priority, Manual, Program, Program Shift, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"JPEG, RAW",None,"Macro: 8.90"" (22.6 cm) - Infinity",None,100-6400,"10 elements in 8 groups
EFL: 50 mm (35 mm equivalent: 75 mm)
Aperture: f/2.8",SD/SDHC/SDXC/MMC,"Center-weighted, Evaluative, Spot",N/A,None,N/A,"3.0""","2 Sec, 10 Sec",23.5x15.7mm CMOS,"Type: Electronic & Mechanical
Speed: 30 - 1/2000 second",LCD Display,10 year warranty,"Auto, Custom, Daylight, Flash, Fluorescent, Incandescent, Overcast, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P7700 12.2MP 7.1X WIDE ANGLE 3"" VR 32008",N/A,None,12MP,"4:3, 16:9",EN-EL14,Yes,86MB,Up to 8 fps at 12.2 MP for up to 6 frames,Advanced,.,Black,"1/8"" Microphone, AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen,12.2MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in .33 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Fill-in
Off
Second-curtain Sync
Slow Sync","Auto: 0.8"" (2.03 cm) - Infinity",Yes,80-6400,"NIKKOR, 13 elements in 10 groups
EFL: 6.0-42.8 mm (35 mm equivalent: 28-200 mm)
Aperture: f/2.0 (W) - 4.0 (T)",SD/SDHC/SDXC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",7.1x,N/A,"3.0""","2 Sec, 10 Sec","1/1.7"" CMOS","Type: Electronic & Mechanical
Speed: 60 - 1/4000 sec",LCD Display,2 year warranty,"Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",(0),(0),(0),(1),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANASONIC DMCSZ8K BLACK 14.1MP 16X 3"" DMCSZ8K","AC Adaptor (Input: 110 - 240 V AC) (Included, connect with USB cable)",16.9x - 27.0x,16MP,"4:3, 3:2, 16:9, 1:1","Li-ion Battery Pack (3.6 V, 690 mAh, 2.5 Wh) (Included)",Yes,80MB,1.2 to 3 fps,Wi-Fi,.,Black,"AV Output (NTSC), USB (AV/USB Multi)",.,4x,TFT Screen LCD Display,16MP,Auto (Program AE),None,"JPEG, QuickTime Motion JPEG","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off",Normal / Intelligent Auto / Motion Picture: Wide 3 cm - infinity / Tele 150 cm - infinity,Yes,100-6400,8 elements in 8 groups (4 Aspherical Lenses / 8 Aspherical surfaces / 1 ED Lenses),SD/SDHC/SDXC,Intelligent Multiple,NA,12x,NA,"3.0""","2 Sec, 10 Sec","1/2.33"" CCD","60 - 1/2,000 sec",LCD Display,,Auto / Daylight / Cloudy / Shade / Incandescent / White Set,,,,,,No,No,No,,,,,,,,,144g (0.32 lbs.),99.8 x 60.4 x 26.5 mm (3.93 x 2.38 x 1.04 inch),,,,,,,,,,,,,,,,,,
"OLYMPUS SP-100 BLACK 16MP 50X 3"" CMOS V103070BU000",NA,2x Super Resolution Zoom,16MP,NA,LI-92B,Yes,37MB,Up to 7 fps,Super Zoom,.,Black,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto, Program Auto, Aperture Priority, Shutter Priority, Manual, Super Macro, Scene Modes (17), Art Filters (11), Panorama",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off, Off",NA,Yes,125-6400,4.3 - 215mm (35mm equivalent: 24 - 1200mm),"SD, SDHC, SDXC",NA,NA,50x,NA,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",30-1/1700 sec,LCD Display,,NA,(0),(0),(0),(0),(1),No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT ELPH 140IS RED 16MP 8X 2.7"" 9147B001",ACK-90,None,16MP,4:3,NB-11L/NB-11LH,Yes,No,0.8 shots/sec.; 3.3 shots/sec.,Zoom,.,Red,"AV Output, Audio Out",.,4x,TFT Colour LCD,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",No,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto: 0.4 in. (1 cm) - infinity (W, 4.3 ft. (1.3 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 4.3 ft. (1.3 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1-50 cm) (W)",Yes,100-1600,5.0 (W) - 40.0 (T) mm (35mm film equivalent: 28 - 224mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),8x,No,"2.7""","2 Sec, 10 Sec, Custom","1/2.3"" CCD",15 sec - 1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,115g (4.06 oz.),95.2 x 54.3 x 22.1mm (3.75 x 2.14 x 0.87 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P600 BLACK 16MP 60X 3"" 32016",EH-71P (Included); EH-67A (Sold Separately),None,16MP,NA,EN-EL23,Yes,56MB,7 fps,Super Zoom,.,Black,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,LCD,16.1MP,"Programmed auto exposure, Aperture-priority auto, Exposure bracketing, Manual, Shutter priority auto",No,"JPEG, MOV",TTL Auto,"W: 50cm to infinity, T: 2m to infinity, Macro mode: 1cm",Yes,100-12800,4.3-258mm (35mm equivalent: 24-1440mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),60x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",15 sec - 1/4000 sec,LCD,,"Auto, Color Temperature, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,565g (19.9 oz.),125.0 x 85.0 x 106.5mm (5.0 x 3.4 x 4.2 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S800C BLACK 16MP 10X 3.5""LCD 32301",NIEH69P (Optional),None,16MP,4:3,NIENEL12,Yes,1.7GB,Up to 8 fps for up to 3 frames,Advanced,.,Black,"HDMI C, USB 2.0",.,4x,OLED Rear Screen,16.0MP,"Modes: AE Lock, Programmed Auto
Compensation: -2 EV to +2 EV (in .33 EV steps)",N/A,JPEG,Auto,"Wide: 1.64' (0.50 m) - Infinity
Telephoto: 3.28' (1 m) - Infinity
Macro: 3.94"" (10 cm) - Infinity",Yes,125-3200,"NIKKOR, 8 elements in 8 groups
EFL: 4.5-45 mm (35 mm equivalent: 25-250 mm)
Aperture: f/3.2 (W) - 5.8 (T)",SD/SDHC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-84%",10x,N/A,"3.5""","2 Sec, 10 Sec","1/2.3"" CMOS","Type: Electronic & Mechanical
Speed: 4-1/4000 sec",LCD Display,2 year warranty,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
