<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
Sony CyberShot DSC-WX220 Point & Shoot Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,102x,Yes,Yes,NA,NA,,,,"Center-Weighted, Multi, Spot",,10x,,2.7 Inches,,,USB Hi-Speed,NA,,Yes,,Clear Photo TFT LCD,,,4.45 - 44.5 mm,460800 dots,Sony G Lens,,"SD, SDHC, SDXC",,,1/2.3 Inches,CMOS Sensor,,,,,Li-ion Battery,,"2014, February",Sony,,Available,,,AC Adapter AC-UB10C,,,,,,,,,,,,,,,,,Amazon Ebay Snapdeal Indiatimes Shopclues Flipkart Homeshop18,,,,,,,,,,,,
"Nikon Coolpix S02 Sliver Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,f/3.0 - f/5.9,,Hyderabad Chennai Mumbai Delhi Pune,,Silver,,4x,NA,NA,NA,Yes,"JPEG (DCF, EXIF 2.3, DPOF)",,ISO 125 - 1600,"Matrix, Spot, Center-Weighted",,3x,,2.7 Inches,10 sec,"Scene, Scene Auto Selector, Smart Portrait, Special Effects, Subject Tracking",USB Hi-Speed,1920 x 1080 pixels (Full HD) @ 30 fps,"H.264, MOV, MPEG-4 AVC",Contrast Detection AF,Yes,TFT LCD with Anti-Reflection Coating,,"Wide : 0.3 - 1.4 m ,Telephoto: 0.5 - 0.8 m",4.1 - 12.3 mm (35 mm Equivalent to 30 - 90 mm),230000 Dots,Nikkor Lens,1/2000 sec,,,1 sec,1/3 Inches,CMOS Sensor,,,,5 cm (W) - 50 cm (T),NA,,"2013, September",Nikon,77.1 x 51.3 x 17.5 mm,Available,,100 gms,AC Adaptor EH-70P,,,,,Yes,LPCM Stereo,,,,,,,,,,,,,,,,Homeshop18 Flipkart Ebay,,,,,,,
Olympus E 5 SLR Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,No,NA,,,NA,NA,NA,NA,,,,NA,,,,3 Inches,"2 sec, 12 sec",,NA,NA,,,Yes,,Retractable Flash,,,,,,,,,,,,,,,,,,,,,,,,Supersonic Wave Filter,,,,,,,,,,,,,,,,,,,Naaptol Homeshop18,,,,,,,,,
Panasonic HC V750 Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,Yes,NA,NA,Yes,,,,NA,,,,3 Inches,,,USB 2.0 Hi-Speed,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm FinePix JX500 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"10 % - 80 % Operating Humidity, 96 % LCD Frame Coverage, AF Frame Selection: Center / Tracking, Auto Shutter Speed: 1/4 sec to 1/1400 sec, Baby, Beach, Blink Detection, Crop, Date Stamp, Erase Selected Frames, Exposure Compensation: 2 EV in increments of 1/3 EV, Exposure Mode: Programmed AEm, Face Detection, Face Recognition, Favorite, Fireworks, Flower, Focus Modes: Single AF / Continuous AF (SR Auto, Frame Number Memory, Framing Guideline, Image Rotate, Image Search, Landscape, Lens Construction: 6 Elements in 5 Groups, Mark for Upload, Mini Focus Range: 50 cm (W) - 90 cm (T), Motion Panorama, Motion Panorama, Movie Edit, Movie), Multi-frame Playback (with Microthumbnail), Night, Night (Tripod), Other Functions: Exif Print, Panorama, Party, Photobook Assist, Photography Functions: SR Auto, Playback Functions: Face Detection, Protect, Resize, Scence Mode: Portrait, Silent Mode, Slide Show, Smile, Snow, Sport, Sunset, Text, Time Difference",,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 1.1 fps,6.7x,NA,Yes,NA,NA,"JPEG (EXIF 2.3, DCF, DPOF)",,Auto / 100 / 200 / 400 / 800 / 1600 / 3200,TTL 256-Zones,,5x,Yes,2.7 Inches,"2 sec, 10 sec","Auto, Natural Light, Natural Light With Flash, Program, Auto",Yes,NA,AVI Motion JPEG,Contrast Detection AF,Yes,TFT LCD,"Auto, Forced, Slow Sync, Suppressed Flash","Wide : 0.5 - 4.5m, Telephoto : 0.9 - 2.5m",4.6 - 23 mm (35 mm Equivalent to 26 - 130 mm),230000 Dots,Fujinon Lens,1/1400 sec,"SD, SDHC, SDXC",Monaural Microphone,8 sec,1/2.3 Inches,CCD Sensor,"Automatic Scene Recognition, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, W: Cool White)",Primary (RGB) Color Filter,,"10 - 80 cm (W), 80 - 1.3 m (T)",,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,26 mm Wide Angle,Gadgetsguru Snapdeal Indiatimes Discountsvu Ebay,,,,,,,,,
"Nikon 1 J1 Mirrorless 10-30 mm Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,f/3.5 - f/5.6,,Hyderabad Chennai Mumbai Delhi Pune,No,White,"Up to 5 frames per second 10, 30 or 60 fps using Electronic (Hi) shutter",,NA,Yes,No,No,"JPEG (NEF (RAW) 12, NEF (RAW + JPEG), EXIF 2.3, DCF, DPOF)",Yes,,"Center-Weighted, Matrix, Spot",,,Yes,3 Inches,"2, 5 & 10 sec","Motion Snapshot (16:9), Movie (Hd 16:9, Slow Motion 8:3), Smart Photo Selector (3:2), Still Image (3:2)",USB Hi-Speed,NA,"AVC, H.264, MOV, MPEG-4",Hybrid Autofocus (Phase Detection / Contrast Detection),Yes,LCD,"Fill-in, Rear Curtain Sync, Slow Sync Flash",,10 - 30 mm (35 mm Equivalent to 27 - 81 mm),460000 dots,Nikkor Lens,1/16000 sec in Steps of 1/3EV,"SD, SDHC, SDXC",Stereo Microphone,30 sec,13.2 x 8.8 mm,CMOS Sensor,"All Except Manual With Fine Tuning, Auto, Cloudy, Direct Sunlight, Flash, Fluorescent, Incandescent, Manual, Shade",,,,Rechargeable Li-ion Battery (EN-EL20),,,Nikon,4.17 x 2.4 x 1.17 Inches,Available,,234 gms,AC Adaptor EH-5B,Dust Shield Glass,,,Infibeam Indiatimes Flipkart Naaptol Shopclues,Yes,AAC,Yes,3 EV in increments of 1/3 EV,,"16:9, 3:2",26 Languages,Yes,,,,,,Yes,,,,,,,,,,,
"Nikon D4S Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,NA,Black,,,NA,NA,Yes,Yes,,,,"Center-Weighted, Multi, Spot",16.2 MP,NA,,3.2 Inches,"2 sec, 5 sec, 10 sec, 20 sec",,USB Hi-Speed,NA,,Yes,,LCD,,,,,Nikon F Lens,1/8000 sec,,Yes,30 sec,36 x 23.9 mm,CMOS Sensor,,,,,NA,,"2014, February",Nikon,,Available,Eye-level Pentamirror Single-Lens Reflex View Finder,,AC Adaptor EH-6b,NA,NA,NA,,Yes,,,,,,,,,,,,Naaptol,,,,,,,,,,,,
"Canon IXUS 115 HS Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,"Analog Audio Output (Stereo), A/V Output (NTSC or PAL)",Hyderabad Chennai Mumbai Delhi Pune,No,NA,"Up to 3.4 fps (In Program Mode), 8.2 fps (in High-Speed Burst mode)",4x,NA,Yes,NA,NA,JPEG (EXIF 2.3),Lens-shift type,Auto / ISO 80 / 100 / 200 / 400 / 800 / 1600 / 3200 (In P Mode),"Center-Weighted Average, Evaluative, Spot",12.1 MP,4x,,3 Inches,"2 sec, 10 sec","Auto, Beach, Best Image Selection, Color Accent, Color Swap, Fireworks, Fish-Eye Effect, Foliage, Handheld Night Scene, High-Speed Burst, Kids & Pets, Long Shutter, Low Light, Miniature Effect, Monochrome, Movie Digest, Night Snapshot, Program, Portrait, Poster Effect, Smart Shutter, Snow, Stitch Assist, Super Slow Motion Movie, Super Vivid, Toy Camera Effect, Underwater",USB Hi-Speed,1280 x 720 pixels (HD) @ 30 fps x 2,MOV,,NA,,"Auto, Slow Sync Flash","Wide : 0.3 - 4.0m, Telephoto : 0.5 - 2.0m, Wide : 0.3 - 3.9m, Telephoto : 0.4 - 2.0m","5 - 20 mm, (35 mm film Equivalent to 28(W) - 112(T) mm)",230000 dots,,,,,"1 - 1/1500 sec, 15 - 1/1500 sec (Total Shutter Speed Range)",1/2.3 Inches,CMOS Sensor,"Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent-H, Tungsten",,,3 - 50 cm,Battery Pack (NB-40L),,,,,,,,AC Adaptor Kit CA-DC10,NA,NA,NA,,,,,,,,,,,,,,,,,Gadgetsguru Indiatimes,,,,,,,,,
Samsung ES95 Point & Shoot Digital Camera White Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5 - 22.5 mm (35 mm Equivalent to 25 - 125 mm),,,,,,,,,,,,,,,,,,,,,,,,,Snapdeal Ebay Naaptol,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus VG-110 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,No,Black,,4x,NA,Yes,NA,NA,JPEG,Digital,Auto / 100/ 200/ 400/ 800/ 1600,"Digital ESP, Face Detection AE",,4x,Yes,2.7 Inches,"2 sec, 12 sec","Intelligent Auto, Magic Filter, Program Auto, Scene",USB 2.0,640 x 480 pixels (VGA) @ 30 fps,AVI Motion JPEG,Yes,Yes,,"Auto, Fill-in Flash",4.38m - 2.30m,4.8 - 19.2 mm (35 mm Equivalent to 27 - 108 mm),230000 dots,,1/2000 sec,,,30 sec,1/2.3 Inches,CCD Sensor,"Auto, Daylight, Fluorescent, Overcast, Tungsten",,Flipkart Indiatimes Bitfang,Yes,Battery (LI-70B),,,,,,,,AC Adaptor F-2AC,,,,,,,,,,,,,,,,,,,27 mm Wide Angle,,,,,,,,,,
"Nikon Coolpix L310 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","100% Horizontal and 100% Vertical Frame Coverage (Playback Mode), 3-speed Sport Continuous Mode (H, 97% Horizontal and 97% Vertical Frame Coverage (Shooting Mode), Anti-blur, DC Input Connector, EXPEED C2 Image Processing System, Easy Auto Mode with Scene Auto Selector, Humidity: 85%, L), M, MTP, PTP Data Transfer Protocol, Pet Portrait Mode, Scene Auto Selector, Smart Portrait System, Temperature: 0C - 40C, Tripod Socket, Vibration Reduction",,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),,No,NA,Up to 19 Shots at 0.7 fps,4x,NA,Yes,NA,NA,"JPEG (DCF, EXIF 2.3, DPOF)",,"Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 Auto (ISO 80-800), Sport Continuous Mode (ISO 400-3200)","256-Segment Matrix, Center-Weighted, Spot",,21x,,3 Inches,10 sec,"Auto, Easy Auto, Scene (Portrait, Landscape, Night Portrait, Party/Indoor, Beach, Snow, Sunset, Dusk/Dawn, Night Landscape, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Panorama Assist, Pet Portrait), Sport Continuous, Smart Portrait",USB Hi-Speed,1280 x 720 pixels (HD) @ 30 fps,"AVC, H.264, MOV, MPEG-4",Contrast Detection AF,Yes,TFT LCD,,"Wide : 0.5 - 6.0m, Telephoto : 1.5 - 3.0m",4.5 - 94.5 mm (35 mm Equivalent to 25 - 525 mm),230000 dots,Nikkor Lens,1/1000 sec,"SD, SDHC, SDXC",,1 sec,1/2.3 Inches,CCD Sensor,,,,,,,,,,,,,,,,,,,AAC,,,,,,,,,,,,,25 mm Wide Angle to 525 mm Super Telephoto Coverage,,,,,,,,,,
Nikon Coolpix S3300 Point & Shoot Digital Camera Purple Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Purple,,,Yes,Yes,NA,Yes,,,,"256-Segment Matrix, Center-Weighted, Multi, Spot",,,,2.7 Inches,,,USB Hi-Speed,NA,,,,,,,4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),,,,,,,,,,,,,,,,Nikon,,Available,,,,,,,,,,,,,,,,,,,,,,,,,Flipkart Kaunsa Naaptol,,,,,,,
Sony DSC-WX80 Point & Shoot Price in India with Offers & Full Specifications | PriceDekho.com,"10 M (20x), 12 M (16:9 Aspect Ratio 16x), 16.8 MP Gross Pixels, 2 M (16:9 Aspect Ratio 38x), 4:3 Aspect Ratio f=25 - 200 mm, 5 M (28x), 5 Steps Brightness Setting, 8 Faces Detectable Faces, Anti Motion Blur, Auto Focus Illuminator (Auto / Off), Auto Macro, BIONZ Imaging Processor, Backlight Correction HDR), Beach, Clear Image Zoom: 16 M (16x), Exposure Compensation: 2.0 EV in increments of 1/3 EV, Face Detection - Mode (Auto / Off / Child Priority / Adult Priority), Face Selection (Key, Fireworks, Focal Length (35 mm Conversion) Still Image 16:9 Aspect Ratio f=28 - 224 mm, Focus Range (iAuto): 5 cm (W) - 150 cm (T), Gourmet, Handheld Twilight, Landscape, Movie 16:9 Aspect Ratio f=28 - 224 mm (SteadyShot Standard), Movie 4:3 Aspect Ratio f=34 - 272 mm (SteadyShot Standard), Night Portrait, Night Scene, Pet, Scene Selection (High Sensitivity, Selected-face Memory), Snow, Soft Skin, Soft Snap, VGA (115x), f=28 - 314 mm (SteadyShot Active), f=34 - 381 mm (SteadyShot Active)",,,,,,,,,,,,,,,,,,,,,,f/3.3 (W) - f/6.3 (T),,,,Red,Up to 10 Shots at 10 fps,32x,NA,Yes,NA,Yes; HDMI Micro Connector,"JPEG (DCF, DPOF)",,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,"Center-Weighted, Multi Pattern, Spot",16.2 MP,8x,Yes,2.7 Inches,"2 sec, 10 sec","3D, Background Defocus, Easy Shooting, Intelligent Auto, Intelligent Sweep Panorama, Movie Mode, Panorama, Picture Effect, Program Auto, Scene Selection, Superior Auto",USB Hi-Speed,1920 x 1080 pixels (Full HD),"AVC, AVCHD 2.0, MPEG-4",Center Weighted AF,Yes,,"Advanced, Auto, Slow Sync Flash","Wide : 0.2 - 4.2m, Telephoto : 1.5m - 2.2m",4.5 - 36 mm (35 mm Equivalent to 25 - 200 mm),230400 dots,Carl Zeiss Vario-Tessar,1/1600 sec,"SD, SDHC, SDXC, Stick Duo, Stick PRO Duo, Stick PRO Duo (High Speed), Stick PRO HG Duo, Stick micro, Stick micro (Mark 2), microSD, microSDHC, microSDXC",Stereo Microphone,4 sec,1/2.3 Inches,Exmor R CMOS Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set",,,,,,,,113 x 76 x 43.5 mm,,,124 gms,,NA,NA,NA,,,,Yes,,48 MB,"16:9, 4:3",19 Languages,Yes,,,,,,,,,,,,,Yes,,,,
Olympus Stylus VH-520 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.3 - f/6.1,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,,Black,"Up to 50 Frames at 15 fps (3 MProgram Mode), 12 Frames at 2.5 fps (Full Image Size)",2x,Yes,Yes,No,No,"JPEG (DCF, EXIF 2.3, PIM III, DPOF)",,,ESP Light,,10x,Yes,3 Inches,"2 sec, 12 sec","Beauty Mode, Iauto, Magic Mode, P Mode, Panorama, SCN",USB 2.0 Hi-Speed,1920 x 1080 pixels (Full HD),"H.264, MOV",Contrast Detection AF,Yes,TFT LCD,"Auto, Fill-in Flash","(ISO 1600) : Wide : 0.2 - 4.6m, Telephoto : 1.5 - 2.5m",4.6 - 46 mm,460000 Dots,,1/2000 sec,"SD, SDHC, SDXC",,25 sec,1/2.3 Inches,CMOS Sensor,"Auto, Fluorescent-1, One-Touch White Balance, Overcast, Sunlight, Tungsten",Primary (RGB) Color Filter,,,,,,Olympus,4.01 x 2.24 x 1 Inches,Available,,148 gms,,,,,,,,Yes,,26.4 MB,"16:9, 4:3",40 Languages,Yes,,,,,,Yes,26 mm Wide Angle,,,,,,,,,,
"Nikon Coolpix S2800 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,NA,Black,,4x,NA,NA,NA,NA,,,ISO 80-1600,NA,20.1 MP,5x,,2.7 Inches,"2 sec, 10 sec",,USB Hi-Speed,1280 x 720 pixels (HD),,Yes,,TFT LCD,,,4.6 - 23 mm (angle of view Equivalent to that of 26 - 130 mm lens in 35 mm [135]),230000 Dots,Nikkor Lens,,"SD, SDHC, SDXC",,,1/2.3 Inches,CCD Sensor,,,,,NA,,"2014, February",Nikon,,Available,,,AC Adaptor EH-70P,NA,NA,NA,Snapdeal Flipkart Homeshop18,,,,,,,,Yes,,,,,,,,,,,,,,,,,
"Nikon Coolpix S9100 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,f/3.5 - f/5.9,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,"Up to 5 Shots at 9.5 fps (Continuous H), (upto 24 Shots at 1.8 fps (Continuous L)",4x,NA,Yes,No,Yes; HDMI Mini Connector,JPEG (EXIF),,"Auto (Auto Gain ISO 160-800), Fixed Range Auto (ISO 160-400), High Speed Continuous (ISO 160-3200), Manual Selection (ISO 160 / 200 / 400 / 800 / 1600 / 3200)","256-Segment Matrix, Center-Weighted, Spot",12.1 MP,18x,Yes,3 Inches,"2 sec, 10 sec","Auto, Backlit Scene HDR, Continous, Movie, Night Landscape, Night Portrait, Scene",USB Hi-Speed,1920 x 1080 pixels (Full HD),MOV,Contrast Detection AF,Yes,TFT LCD,"Auto, Fill-in, Slow Sync Flash","Wide : 0.5 - 4.0m, Telephoto : 1.5 - 2.5m",4.5 - 81 mm (35 mm (135 mm) Equivalent to 25 - 450 mm),921000 dots,Nikkor ED Lens,1/2000 sec,"SD, SDHC, SDXC",,1 sec,1/2.3 Inches,CMOS Sensor,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,,4 cm,Rechargeable Li-ion Battery (EN-EL12),,,Nikon,4.13 x 2.44 x 1.36 Inches,Available,,214 gms,AC Adaptor EH-62F (optional),NA,NA,NA,,Yes,WAV,,,74 MB,16:09,26 Languages,Yes,,Anti-reflection Coating,Gadgetsguru Kaunsa Indiatimes,,,,25 mm Wide Angle,,,,,,,,,,
Fujifilm FinePix AX550 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.3 (W) - f/5.9 (T),A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 1.1 fps,7.2x,NA,Yes,No,No,JPEG (EXIF 2.3),CCD Shift,Auto / ISO 64 / 100 / 200 / 400 / 800 / 1600 / 3200,TTL 256-Zones,,5x,Yes,2.7 Inches,"2 sec, 10 sec","Auto, Baby, Beach, Fireworks, Flower, Landscape, Motion Panorama, Movie, Natural Light, Natural Light & With Flash, Night, Night (Tripod), Program, Party, Portrait, Smile & Shoot, Snow, Sport, Sr Auto, Sunset, Text",USB 2.0 Hi-Speed,1920 x 1080 pixels (Full HD),AVI Motion JPEG,Contrast Detection AF,Yes,TFT LCD,"Auto, Forced, Slow Sync, Suppressed Flash","Wide : 0.6 - 3.0m, Telephoto : 0.6 - 2.0m",5.9 - 29.5 mm (35 mm Equivalent to 33 - 165 mm),230000 dots,Fujinon Lens,1/1400 sec,"SD, SDHC, SDXC",Monaural Microphone,25 sec,1/2.33 Inches,CCD Sensor,"Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, W: Cool White)",Primary (RGB) Color Filter,,"10 cm (W), 60 cm (T)",,,,Fujifilm,117 x 34.7 x 61 mm,Available,,408 gms,,,,,,,,Yes,,,"16:9, 3:2, 4:3",35 Languages,Yes,,,,,,Yes,,,,,,,,,,Gadgetsguru Flipkart Kaunsa Indiatimes,
Fujifilm FinePix F660EXR Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.5 (W) - f/5.3 (T),A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,"Up to 11 fps (Super High Size M, S), 8 fps (High Size L, M, S), 5 fps (Middle Size L, M, S), 3 fps (Low Size L, M, S)",3.4x,NA,Yes,No,Yes; HDMI Mini Connector,"JPEG (EXIF 2.3, DCF, DPOF, MPO)",Sensor Shift Type,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,TTL 256-Zones,,15x,Yes,3 Inches,"2 sec, 10 sec","Auto, Beach, Cat, Dog, Fireworks, Flower, Landscape, Manual, Natural Light & With Flash, Night, Night (Tripod), Program, Party, Portrait, Portrait Enhancer, S, Snow, Natural Light, Sport, Sunset, Text, Underwater",USB 2.0 Hi-Speed,NA,"H.264, MOV",Contrast Detection AF,Yes,TFT LCD,"Auto, Forced, Slow Sync, Suppressed Flash","Wide : 0.1 - 3.2m, Telephoto : 0.9 - 1.9m",4.4 - 66 mm (35 mm Equivalent to 24 - 360 mm),460000 dots,Fujinon Lens,1/2000 sec,"SD, SDHC, SDXC (UHS-I)",Stereo Microphone,8 sec,1/2 Inches,EXR CMOS Sensor,"Automatic Scene Recognition, Custom, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, Underwater, W: Cool White)",Primary (RGB) Color Filter,,"5 - 30 cm (W), 120 - 3.0 m (T)",Li-ion Battery,,,Fujifilm,4.07 x 2.33 x 1.28 Inches,Available,,217 gms,AC Adaptor AC-5VX,,,,,,,,,25 MB,"16:9, 3:2, 4:3",35 Languages,Yes,,,,,,Yes,24 mm Wide Angle,Indiatimes Homeshop18 Discountsvu,,,,,,,,,
"Canon EOS 550D DSLR Kit EF-S18-55mm IS Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","0.87x (-1 m -1 with 50 mm Lens at Infinity) Magnification, 19 mm Eyepoint (From Eyepiece Lens Center at -1 m - 1), 9 AF Points, 95% Coverage (Vertical / Horizontal), AF / AE Camera, AF Working Range: EV -0.5 - 18 (at 23deg C ), Adobe RGB, Auto Reset and Manual Reset, Automatic Image Brightness Correction: Auto Lighting Optimizer with Face Detection, Built-in Dioptric Adjustment: -3.0 - +1 m -1 dpt, Canon EF Lens Mount, Colour Space: sRGB, Compatible Lenses: Canon EF Lenses (Including EF-S Lenses), Depth-of Field Preview Enabled with Depth-of-field Preview Button, Faithful, File Numbering Consecutive Numbering, Fixed Focusing Scree, Highlight Tone Priority, Landscape, Lens Peripheral Illumination Correction, Mirror: Quick-return Type, Monochrome, Neutral, Noise Reduction Applicable to Long Exposures and High ISO Speed Shots, Picture Style Standard, Portrait, Recording Format: Design Rule for Camera File System 2.0, Single-lens Reflex, Type: Digital, User Def. 1-3",,,,,,,,,,,,,,,,,,,,,,,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 3.7 Shots at 1 fps,10x,Yes; Up to 4 GB,Yes,NA,Yes; Auto Switching of Resolution (Type C),"JPEG (RAW : 14-bit Canon Original, DPOF, EXIF)",,100,"AF Point, Center-Weighted, Evaluating, Spot",,Approx. 1.5x - 10x,,3 Inches,"2 sec, 10 sec","Movie Shooting, Still Photo Shooting",USB Hi-Speed,1920 x 1080 pixels (Full HD),"H.264, MOV","TTL Secondary Image-registration, Phase Detection",Yes,Liquid Crystal TFT,,,18 - 55 mm,1040000 dots,,1/4000 sec,"SD, SDHC, SDXC",Stereo Microphone,30 sec,22.3 x 14.9 mm,CMOS Sensor,"Auto, Cloudy, Custom, Daylight, Flash, Light, Shade, Tungsten, White Fluorescent",Primary (RGB) Color Filter,Snapdeal Kaunsa Letsshop Naaptol Indiatimes,,Li-ion Battery,,,,,,Eye-level Pentamirror,,AC Adaptor Kit ACK-E8,"Auto, Manual, Dust Delete Data Appending",,,,Yes,,Yes,,,3:2,,Yes,,,,Yes,,Yes,,,,,,,,,,,
"Sony H400 Price in India with Offers, Reviews & Full Specifications | PriceDekho.com",,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad Chennai Mumbai Delhi Pune,,Black,,,NA,Yes,NA,NA,,,,"Center-Weighted, Light, Multi, Spot",20 MP,63x,,3 Inches,,,USB Hi-Speed,NA,,Yes,,,,,4.4 - 277 mm,,Sony Lens,1/2000 sec,"SD, SDHC, SDXC",,30 sec,1/2.3 Inches,CCD Sensor,,,,,NA,,"2014, February",Sony,,Available,,,AC Adaptor AD-C53U,NA,NA,NA,,,,,,55 MB,,,,,,,,,,,,,Infibeam Flipkart,,,,,,,
Panasonic Lumix DMC-SZ7 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/3.1 - f/5.9,A/V Output (NTSC or PAL),Hyderabad Chennai Mumbai Delhi Pune,No,Black,Up to 10 fps,4x,NA,Yes,No,No,"JPEG (MPO, DCF, EXIF 2.3)",,Auto / ISO 100 / 200 / 400 / 800 / 1600,NA,,10x,Yes,3 Inches,"2 sec, 10 sec",,USB Hi-Speed,1920 x 1080 pixels (Full HD),"AVCHD, MP4",,Yes,TFT LCD,"Auto, Forced, Slow Sync Flash","(I.ISO) : Wide : 0.6 - 5.6m, Telephoto : 1.5 - 2.9m",4.5 - 45 mm (35 mm Equivalent to 25 - 250 mm),460000 dots,Leica DC Vario-Elmarit,1/1600 sec,"SD, SDHC, SDXC",,8 sec,1/2.33 Inches,MOS Sensor,"Auto, Cloudy, Daylight, Incandescent, Shade, White Balance Adjustment, White Set",Primary (RGB) Color Filter,,,,,,Panasonic,3.9 x 2.34 x 0.75 Inches,Available,,133 gms,,,,,,,,,"1/3 EV Steps, 2.0 EV",70 MB,"16:9, 3:2, 4:3, 1:1",22 Languages,Yes,,,,,,Yes,24 mm Ultra Wide Angle,,,Seventymm Gadgetsguru Kaunsa Bitfang Indiatimes Gadgets Naaptol,,,,,,,
